ID;TaxesAndSocialContributions;Periods;TaxesAndSocialContributions_1
3423;Commuter tax;2012;28.0
3424;Commuter tax;2013 1st quarter;6.0
3425;Commuter tax;2013 2nd quarter;8.0
3426;Commuter tax;2013 3rd quarter;7.0
3427;Commuter tax;2013 4th quarter;8.0
3428;Commuter tax;2013;29.0
3429;Commuter tax;2014 1st quarter;8.0
3430;Commuter tax;2014 2nd quarter;8.0
3431;Commuter tax;2014 3rd quarter;7.0
3432;Commuter tax;2014 4th quarter;5.0
3433;Commuter tax;2014;28.0
3434;Commuter tax;2015 1st quarter;5.0
3435;Commuter tax;2015 2nd quarter;6.0
3436;Commuter tax;2015 3rd quarter;7.0
3437;Commuter tax;2015 4th quarter;11.0
3438;Commuter tax;2015;29.0
3439;Commuter tax;2016 1st quarter;6.0
3440;Commuter tax;2016 2nd quarter;5.0
3441;Commuter tax;2016 3rd quarter;5.0
3442;Commuter tax;2016 4th quarter;14.0
3443;Commuter tax;2016;30.0
3444;Commuter tax;2017 1st quarter;8.0
3445;Commuter tax;2017 2nd quarter;7.0
3446;Commuter tax;2017 3rd quarter;9.0
3447;Commuter tax;2017 4th quarter;8.0
3448;Commuter tax;2017;32.0
3449;Commuter tax;2018 1st quarter;8.0
3450;Commuter tax;2018 2nd quarter;8.0
3451;Commuter tax;2018 3rd quarter;8.0
3452;Commuter tax;2018 4th quarter;9.0
3453;Commuter tax;2018;33.0
3454;Commuter tax;2019 1st quarter;8.0
3455;Commuter tax;2019 2nd quarter;8.0
3456;Commuter tax;2019 3rd quarter;9.0
3457;Commuter tax;2019 4th quarter;10.0
3458;Commuter tax;2019;35.0
3459;Commuter tax;2020 1st quarter;9.0
3460;Commuter tax;2020 2nd quarter;10.0
3461;Commuter tax;2020 3rd quarter;11.0
3462;Commuter tax;2020 4th quarter;9.0
3463;Commuter tax;2020;39.0
3464;Commuter tax;2021 1st quarter;10.0
3465;Commuter tax;2021 2nd quarter;11.0
3466;Commuter tax;2021 3rd quarter;10.0
3467;Commuter tax;2021 4th quarter;10.0
3468;Commuter tax;2021;41.0
3469;Commuter tax;2022 1st quarter;11.0
3470;Commuter tax;2022 2nd quarter;12.0
3471;Commuter tax;2022 3rd quarter;11.0
3472;Commuter tax;2022 4th quarter;12.0
3473;Commuter tax;2022;46.0
3474;Commuter tax;2023 1st quarter;11.0
3475;Commuter tax;2023 2nd quarter;11.0
3476;Commuter tax;2023 3rd quarter;10.0
3477;Commuter tax;2023 4th quarter;7.0
3478;Commuter tax;2023;39.0
3479;Commuter tax;2024 1st quarter;11.0
3480;Commuter tax;2024 2nd quarter;11.0
3481;Commuter tax;2024 3rd quarter;10.0
3482;Commuter tax;2024 4th quarter;9.0
3483;Commuter tax;2024;41.0
3484;Deposit guarantee scheme tax;1995;0.0
3485;Deposit guarantee scheme tax;1996;0.0
3486;Deposit guarantee scheme tax;1997;0.0
3487;Deposit guarantee scheme tax;1998;0.0
3488;Deposit guarantee scheme tax;1999 1st quarter;
3489;Deposit guarantee scheme tax;1999 2nd quarter;
3490;Deposit guarantee scheme tax;1999 3rd quarter;
3491;Deposit guarantee scheme tax;1999 4th quarter;
3492;Deposit guarantee scheme tax;1999;0.0
3493;Deposit guarantee scheme tax;2000 1st quarter;
3494;Deposit guarantee scheme tax;2000 2nd quarter;
3495;Deposit guarantee scheme tax;2000 3rd quarter;
3496;Deposit guarantee scheme tax;2000 4th quarter;
3497;Deposit guarantee scheme tax;2000;0.0
3498;Deposit guarantee scheme tax;2001 1st quarter;
3499;Deposit guarantee scheme tax;2001 2nd quarter;
3500;Deposit guarantee scheme tax;2001 3rd quarter;
3501;Deposit guarantee scheme tax;2001 4th quarter;
3502;Deposit guarantee scheme tax;2001;0.0
3503;Deposit guarantee scheme tax;2002 1st quarter;
3504;Deposit guarantee scheme tax;2002 2nd quarter;
3505;Deposit guarantee scheme tax;2002 3rd quarter;
3506;Deposit guarantee scheme tax;2002 4th quarter;
3507;Deposit guarantee scheme tax;2002;0.0
3508;Deposit guarantee scheme tax;2003 1st quarter;
3509;Deposit guarantee scheme tax;2003 2nd quarter;
3510;Deposit guarantee scheme tax;2003 3rd quarter;
3511;Deposit guarantee scheme tax;2003 4th quarter;
3512;Deposit guarantee scheme tax;2003;0.0
3513;Deposit guarantee scheme tax;2004 1st quarter;
3514;Deposit guarantee scheme tax;2004 2nd quarter;
3515;Deposit guarantee scheme tax;2004 3rd quarter;
3516;Deposit guarantee scheme tax;2004 4th quarter;
3517;Deposit guarantee scheme tax;2004;0.0
3518;Deposit guarantee scheme tax;2005 1st quarter;
3519;Deposit guarantee scheme tax;2005 2nd quarter;
3520;Deposit guarantee scheme tax;2005 3rd quarter;
3521;Deposit guarantee scheme tax;2005 4th quarter;
3522;Deposit guarantee scheme tax;2005;0.0
3523;Deposit guarantee scheme tax;2006 1st quarter;
3524;Deposit guarantee scheme tax;2006 2nd quarter;
3525;Deposit guarantee scheme tax;2006 3rd quarter;
3526;Deposit guarantee scheme tax;2006 4th quarter;
3527;Deposit guarantee scheme tax;2006;0.0
3528;Deposit guarantee scheme tax;2007 1st quarter;
3529;Deposit guarantee scheme tax;2007 2nd quarter;
3530;Deposit guarantee scheme tax;2007 3rd quarter;
3531;Deposit guarantee scheme tax;2007 4th quarter;
3532;Deposit guarantee scheme tax;2007;0.0
3533;Deposit guarantee scheme tax;2008 1st quarter;0.0
3534;Deposit guarantee scheme tax;2008 2nd quarter;0.0
3535;Deposit guarantee scheme tax;2008 3rd quarter;0.0
3536;Deposit guarantee scheme tax;2008 4th quarter;0.0
3537;Deposit guarantee scheme tax;2008;0.0
3538;Deposit guarantee scheme tax;2009 1st quarter;0.0
3539;Deposit guarantee scheme tax;2009 2nd quarter;0.0
3540;Deposit guarantee scheme tax;2009 3rd quarter;0.0
3541;Deposit guarantee scheme tax;2009 4th quarter;0.0
3542;Deposit guarantee scheme tax;2009;0.0
3543;Deposit guarantee scheme tax;2010 1st quarter;0.0
3544;Deposit guarantee scheme tax;2010 2nd quarter;0.0
3545;Deposit guarantee scheme tax;2010 3rd quarter;0.0
3546;Deposit guarantee scheme tax;2010 4th quarter;0.0
3547;Deposit guarantee scheme tax;2010;0.0
3548;Deposit guarantee scheme tax;2011 1st quarter;0.0
3549;Deposit guarantee scheme tax;2011 2nd quarter;0.0
3550;Deposit guarantee scheme tax;2011 3rd quarter;0.0
3551;Deposit guarantee scheme tax;2011 4th quarter;0.0
3552;Deposit guarantee scheme tax;2011;0.0
3553;Deposit guarantee scheme tax;2012 1st quarter;0.0
3554;Deposit guarantee scheme tax;2012 2nd quarter;0.0
3555;Deposit guarantee scheme tax;2012 3rd quarter;0.0
3556;Deposit guarantee scheme tax;2012 4th quarter;0.0
3557;Deposit guarantee scheme tax;2012;0.0
3558;Deposit guarantee scheme tax;2013 1st quarter;0.0
3559;Deposit guarantee scheme tax;2013 2nd quarter;0.0
3560;Deposit guarantee scheme tax;2013 3rd quarter;0.0
3561;Deposit guarantee scheme tax;2013 4th quarter;0.0
3562;Deposit guarantee scheme tax;2013;0.0
3563;Deposit guarantee scheme tax;2014 1st quarter;0.0
3564;Deposit guarantee scheme tax;2014 2nd quarter;0.0
3565;Deposit guarantee scheme tax;2014 3rd quarter;0.0
3566;Deposit guarantee scheme tax;2014 4th quarter;0.0
3567;Deposit guarantee scheme tax;2014;0.0
3568;Deposit guarantee scheme tax;2015 1st quarter;0.0
3569;Deposit guarantee scheme tax;2015 2nd quarter;0.0
3570;Deposit guarantee scheme tax;2015 3rd quarter;0.0
3571;Deposit guarantee scheme tax;2015 4th quarter;0.0
3572;Deposit guarantee scheme tax;2015;0.0
3573;Deposit guarantee scheme tax;2016 1st quarter;108.0
3574;Deposit guarantee scheme tax;2016 2nd quarter;110.0
3575;Deposit guarantee scheme tax;2016 3rd quarter;119.0
3576;Deposit guarantee scheme tax;2016 4th quarter;111.0
3577;Deposit guarantee scheme tax;2016;448.0
3578;Deposit guarantee scheme tax;2017 1st quarter;112.0
3579;Deposit guarantee scheme tax;2017 2nd quarter;118.0
3580;Deposit guarantee scheme tax;2017 3rd quarter;125.0
3581;Deposit guarantee scheme tax;2017 4th quarter;115.0
3582;Deposit guarantee scheme tax;2017;470.0
3583;Deposit guarantee scheme tax;2018 1st quarter;116.0
3584;Deposit guarantee scheme tax;2018 2nd quarter;116.0
3585;Deposit guarantee scheme tax;2018 3rd quarter;144.0
3586;Deposit guarantee scheme tax;2018 4th quarter;116.0
3587;Deposit guarantee scheme tax;2018;492.0
3588;Deposit guarantee scheme tax;2019 1st quarter;131.0
3589;Deposit guarantee scheme tax;2019 2nd quarter;141.0
3590;Deposit guarantee scheme tax;2019 3rd quarter;171.0
3591;Deposit guarantee scheme tax;2019 4th quarter;123.0
3592;Deposit guarantee scheme tax;2019;566.0
3593;Deposit guarantee scheme tax;2020 1st quarter;130.0
3594;Deposit guarantee scheme tax;2020 2nd quarter;136.0
3595;Deposit guarantee scheme tax;2020 3rd quarter;263.0
3596;Deposit guarantee scheme tax;2020 4th quarter;119.0
3597;Deposit guarantee scheme tax;2020;648.0
3598;Deposit guarantee scheme tax;2021 1st quarter;190.0
3599;Deposit guarantee scheme tax;2021 2nd quarter;183.0
3600;Deposit guarantee scheme tax;2021 3rd quarter;246.0
3601;Deposit guarantee scheme tax;2021 4th quarter;139.0
3602;Deposit guarantee scheme tax;2021;758.0
3603;Deposit guarantee scheme tax;2022 1st quarter;146.0
3604;Deposit guarantee scheme tax;2022 2nd quarter;140.0
3605;Deposit guarantee scheme tax;2022 3rd quarter;136.0
3606;Deposit guarantee scheme tax;2022 4th quarter;132.0
3607;Deposit guarantee scheme tax;2022;554.0
3608;Deposit guarantee scheme tax;2023 1st quarter;137.0
3609;Deposit guarantee scheme tax;2023 2nd quarter;133.0
3610;Deposit guarantee scheme tax;2023 3rd quarter;158.0
3611;Deposit guarantee scheme tax;2023 4th quarter;141.0
3612;Deposit guarantee scheme tax;2023;569.0
3613;Deposit guarantee scheme tax;2024 1st quarter;143.0
3614;Deposit guarantee scheme tax;2024 2nd quarter;63.0
3615;Deposit guarantee scheme tax;2024 3rd quarter;84.0
3616;Deposit guarantee scheme tax;2024 4th quarter;2.0
3617;Deposit guarantee scheme tax;2024;292.0
3618;Dividend tax;1995;955.0
3619;Dividend tax;1996;1059.0
3620;Dividend tax;1997;1481.0
3621;Dividend tax;1998;1936.0
3622;Dividend tax;1999 1st quarter;
3623;Dividend tax;1999 2nd quarter;
3624;Dividend tax;1999 3rd quarter;
3625;Dividend tax;1999 4th quarter;
3626;Dividend tax;1999;3022.0
3627;Dividend tax;2000 1st quarter;
3628;Dividend tax;2000 2nd quarter;
3629;Dividend tax;2000 3rd quarter;
3630;Dividend tax;2000 4th quarter;
3631;Dividend tax;2000;2588.0
3632;Dividend tax;2001 1st quarter;
3633;Dividend tax;2001 2nd quarter;
3634;Dividend tax;2001 3rd quarter;
3635;Dividend tax;2001 4th quarter;
3636;Dividend tax;2001;4308.0
3637;Dividend tax;2002 1st quarter;
3638;Dividend tax;2002 2nd quarter;
3639;Dividend tax;2002 3rd quarter;
3640;Dividend tax;2002 4th quarter;
3641;Dividend tax;2002;3490.0
3642;Dividend tax;2003 1st quarter;
3643;Dividend tax;2003 2nd quarter;
3644;Dividend tax;2003 3rd quarter;
3645;Dividend tax;2003 4th quarter;
3646;Dividend tax;2003;3128.0
3647;Dividend tax;2004 1st quarter;
3648;Dividend tax;2004 2nd quarter;
3649;Dividend tax;2004 3rd quarter;
3650;Dividend tax;2004 4th quarter;
3651;Dividend tax;2004;3388.0
3652;Dividend tax;2005 1st quarter;
3653;Dividend tax;2005 2nd quarter;
3654;Dividend tax;2005 3rd quarter;
3655;Dividend tax;2005 4th quarter;
3656;Dividend tax;2005;4262.0
3657;Dividend tax;2006 1st quarter;
3658;Dividend tax;2006 2nd quarter;
3659;Dividend tax;2006 3rd quarter;
3660;Dividend tax;2006 4th quarter;
3661;Dividend tax;2006;4226.0
3662;Dividend tax;2007 1st quarter;
3663;Dividend tax;2007 2nd quarter;
3664;Dividend tax;2007 3rd quarter;
3665;Dividend tax;2007 4th quarter;
3666;Dividend tax;2007;3750.0
3667;Dividend tax;2008 1st quarter;1206.0
3668;Dividend tax;2008 2nd quarter;1593.0
3669;Dividend tax;2008 3rd quarter;799.0
3670;Dividend tax;2008 4th quarter;353.0
3671;Dividend tax;2008;3951.0
3672;Dividend tax;2009 1st quarter;408.0
3673;Dividend tax;2009 2nd quarter;858.0
3674;Dividend tax;2009 3rd quarter;512.0
3675;Dividend tax;2009 4th quarter;306.0
3676;Dividend tax;2009;2084.0
3677;Dividend tax;2010 1st quarter;638.0
3678;Dividend tax;2010 2nd quarter;995.0
3679;Dividend tax;2010 3rd quarter;460.0
3680;Dividend tax;2010 4th quarter;307.0
3681;Dividend tax;2010;2400.0
3682;Dividend tax;2011 1st quarter;436.0
3683;Dividend tax;2011 2nd quarter;975.0
3684;Dividend tax;2011 3rd quarter;649.0
3685;Dividend tax;2011 4th quarter;530.0
3686;Dividend tax;2011;2590.0
3687;Dividend tax;2012 1st quarter;566.0
3688;Dividend tax;2012 2nd quarter;908.0
3689;Dividend tax;2012 3rd quarter;460.0
3690;Dividend tax;2012 4th quarter;547.0
3691;Dividend tax;2012;2481.0
3692;Dividend tax;2013 1st quarter;508.0
3693;Dividend tax;2013 2nd quarter;724.0
3694;Dividend tax;2013 3rd quarter;588.0
3695;Dividend tax;2013 4th quarter;371.0
3696;Dividend tax;2013;2191.0
3697;Dividend tax;2014 1st quarter;941.0
3698;Dividend tax;2014 2nd quarter;844.0
3699;Dividend tax;2014 3rd quarter;692.0
3700;Dividend tax;2014 4th quarter;997.0
3701;Dividend tax;2014;3474.0
3702;Dividend tax;2015 1st quarter;887.0
3703;Dividend tax;2015 2nd quarter;884.0
3704;Dividend tax;2015 3rd quarter;762.0
3705;Dividend tax;2015 4th quarter;581.0
3706;Dividend tax;2015;3114.0
3707;Dividend tax;2016 1st quarter;448.0
3708;Dividend tax;2016 2nd quarter;1578.0
3709;Dividend tax;2016 3rd quarter;516.0
3710;Dividend tax;2016 4th quarter;435.0
3711;Dividend tax;2016;2977.0
3712;Dividend tax;2017 1st quarter;441.0
3713;Dividend tax;2017 2nd quarter;1561.0
3714;Dividend tax;2017 3rd quarter;530.0
3715;Dividend tax;2017 4th quarter;1015.0
3716;Dividend tax;2017;3547.0
3717;Dividend tax;2018 1st quarter;718.0
3718;Dividend tax;2018 2nd quarter;1706.0
3719;Dividend tax;2018 3rd quarter;1029.0
3720;Dividend tax;2018 4th quarter;1066.0
3721;Dividend tax;2018;4519.0
3722;Dividend tax;2019 1st quarter;1130.0
3723;Dividend tax;2019 2nd quarter;1829.0
3724;Dividend tax;2019 3rd quarter;1153.0
3725;Dividend tax;2019 4th quarter;2190.0
3726;Dividend tax;2019;6302.0
3727;Dividend tax;2020 1st quarter;2033.0
3728;Dividend tax;2020 2nd quarter;1054.0
3729;Dividend tax;2020 3rd quarter;577.0
3730;Dividend tax;2020 4th quarter;1164.0
3731;Dividend tax;2020;4828.0
3732;Dividend tax;2021 1st quarter;1270.0
3733;Dividend tax;2021 2nd quarter;933.0
3734;Dividend tax;2021 3rd quarter;876.0
3735;Dividend tax;2021 4th quarter;1788.0
3736;Dividend tax;2021;4867.0
3737;Dividend tax;2022 1st quarter;840.0
3738;Dividend tax;2022 2nd quarter;2256.0
3739;Dividend tax;2022 3rd quarter;875.0
3740;Dividend tax;2022 4th quarter;1403.0
3741;Dividend tax;2022;5374.0
3742;Dividend tax;2023 1st quarter;1052.0
3743;Dividend tax;2023 2nd quarter;2573.0
3744;Dividend tax;2023 3rd quarter;949.0
3745;Dividend tax;2023 4th quarter;6846.0
3746;Dividend tax;2023;11420.0
3747;Dividend tax;2024 1st quarter;1397.0
3748;Dividend tax;2024 2nd quarter;2083.0
3749;Dividend tax;2024 3rd quarter;1188.0
3750;Dividend tax;2024 4th quarter;2151.0
3751;Dividend tax;2024;6819.0
3752;Dog-license tax;1995;37.0
3753;Dog-license tax;1996;38.0
3754;Dog-license tax;1997;38.0
3755;Dog-license tax;1998;38.0
3756;Dog-license tax;1999 1st quarter;
3757;Dog-license tax;1999 2nd quarter;
3758;Dog-license tax;1999 3rd quarter;
3759;Dog-license tax;1999 4th quarter;
3760;Dog-license tax;1999;40.0
3761;Dog-license tax;2000 1st quarter;
3762;Dog-license tax;2000 2nd quarter;
3763;Dog-license tax;2000 3rd quarter;
3764;Dog-license tax;2000 4th quarter;
3765;Dog-license tax;2000;39.0
3766;Dog-license tax;2001 1st quarter;
3767;Dog-license tax;2001 2nd quarter;
3768;Dog-license tax;2001 3rd quarter;
3769;Dog-license tax;2001 4th quarter;
3770;Dog-license tax;2001;40.0
3771;Dog-license tax;2002 1st quarter;
3772;Dog-license tax;2002 2nd quarter;
3773;Dog-license tax;2002 3rd quarter;
3774;Dog-license tax;2002 4th quarter;
3775;Dog-license tax;2002;42.0
3776;Dog-license tax;2003 1st quarter;
3777;Dog-license tax;2003 2nd quarter;
3778;Dog-license tax;2003 3rd quarter;
3779;Dog-license tax;2003 4th quarter;
3780;Dog-license tax;2003;44.0
3781;Dog-license tax;2004 1st quarter;
3782;Dog-license tax;2004 2nd quarter;
3783;Dog-license tax;2004 3rd quarter;
3784;Dog-license tax;2004 4th quarter;
3785;Dog-license tax;2004;46.0
3786;Dog-license tax;2005 1st quarter;
3787;Dog-license tax;2005 2nd quarter;
3788;Dog-license tax;2005 3rd quarter;
3789;Dog-license tax;2005 4th quarter;
3790;Dog-license tax;2005;50.0
3791;Dog-license tax;2006 1st quarter;
3792;Dog-license tax;2006 2nd quarter;
3793;Dog-license tax;2006 3rd quarter;
3794;Dog-license tax;2006 4th quarter;
3795;Dog-license tax;2006;52.0
3796;Dog-license tax;2007 1st quarter;
3797;Dog-license tax;2007 2nd quarter;
3798;Dog-license tax;2007 3rd quarter;
3799;Dog-license tax;2007 4th quarter;
3800;Dog-license tax;2007;53.0
3801;Dog-license tax;2008 1st quarter;14.0
3802;Dog-license tax;2008 2nd quarter;13.0
3803;Dog-license tax;2008 3rd quarter;14.0
3804;Dog-license tax;2008 4th quarter;13.0
3805;Dog-license tax;2008;54.0
3806;Dog-license tax;2009 1st quarter;15.0
3807;Dog-license tax;2009 2nd quarter;15.0
3808;Dog-license tax;2009 3rd quarter;13.0
3809;Dog-license tax;2009 4th quarter;14.0
3810;Dog-license tax;2009;57.0
3811;Dog-license tax;2010 1st quarter;15.0
3812;Dog-license tax;2010 2nd quarter;14.0
3813;Dog-license tax;2010 3rd quarter;14.0
3814;Dog-license tax;2010 4th quarter;15.0
3815;Dog-license tax;2010;58.0
3816;Dog-license tax;2011 1st quarter;15.0
3817;Dog-license tax;2011 2nd quarter;16.0
3818;Dog-license tax;2011 3rd quarter;13.0
3819;Dog-license tax;2011 4th quarter;15.0
3820;Dog-license tax;2011;59.0
3821;Dog-license tax;2012 1st quarter;16.0
3822;Dog-license tax;2012 2nd quarter;16.0
3823;Dog-license tax;2012 3rd quarter;16.0
3824;Dog-license tax;2012 4th quarter;15.0
3825;Dog-license tax;2012;63.0
3826;Dog-license tax;2013 1st quarter;21.0
3827;Dog-license tax;2013 2nd quarter;21.0
3828;Dog-license tax;2013 3rd quarter;14.0
3829;Dog-license tax;2013 4th quarter;9.0
3830;Dog-license tax;2013;65.0
3831;Dog-license tax;2014 1st quarter;23.0
3832;Dog-license tax;2014 2nd quarter;21.0
3833;Dog-license tax;2014 3rd quarter;12.0
3834;Dog-license tax;2014 4th quarter;9.0
3835;Dog-license tax;2014;65.0
3836;Dog-license tax;2015 1st quarter;25.0
3837;Dog-license tax;2015 2nd quarter;19.0
3838;Dog-license tax;2015 3rd quarter;6.0
3839;Dog-license tax;2015 4th quarter;13.0
3840;Dog-license tax;2015;63.0
3841;Dog-license tax;2016 1st quarter;22.0
3842;Dog-license tax;2016 2nd quarter;18.0
3843;Dog-license tax;2016 3rd quarter;16.0
3844;Dog-license tax;2016 4th quarter;9.0
3845;Dog-license tax;2016;65.0
