ID;CPA2015;Perioden;Prijsindex_1;Kwartaalmutaties_2;Jaarmutaties_3
5863;5223 Diensten ivm de luchtvaart;2021 1e kwartaal;98.3;;
5864;5223 Diensten ivm de luchtvaart;2021 2e kwartaal;100.6;2.4;
5865;5223 Diensten ivm de luchtvaart;2021 3e kwartaal;100.6;0.0;
5866;5223 Diensten ivm de luchtvaart;2021 4e kwartaal;100.6;0.0;
5867;5223 Diensten ivm de luchtvaart;2021;100.0;;
5868;5223 Diensten ivm de luchtvaart;2022 1e kwartaal;103.9;3.3;5.8
5869;5223 Diensten ivm de luchtvaart;2022 2e kwartaal;107.6;3.5;7.0
5870;5223 Diensten ivm de luchtvaart;2022 3e kwartaal;107.6;0.0;7.0
5871;5223 Diensten ivm de luchtvaart;2022 4e kwartaal;107.6;0.0;7.0
5872;5223 Diensten ivm de luchtvaart;2022;106.7;;6.7
5873;5223 Diensten ivm de luchtvaart;2023 1e kwartaal;110.9;3.1;6.7
5874;5223 Diensten ivm de luchtvaart;2023 2e kwartaal;121.1;9.2;12.6
5875;5223 Diensten ivm de luchtvaart;2023 3e kwartaal;121.1;0.0;12.6
5876;5223 Diensten ivm de luchtvaart;2023 4e kwartaal;121.1;0.0;12.6
5877;5223 Diensten ivm de luchtvaart;2023;118.5;;11.1
5878;5223 Diensten ivm de luchtvaart;2024 1e kwartaal;122.0;0.8;10.0
5879;5223 Diensten ivm de luchtvaart;2024 2e kwartaal;136.7;12.1;12.9
5880;5223 Diensten ivm de luchtvaart;2024 3e kwartaal;136.7;0.0;12.9
5881;5223 Diensten ivm de luchtvaart;2024 4e kwartaal;136.7;0.0;12.9
5882;5223 Diensten ivm de luchtvaart;2024;133.0;;12.2
5883;5224 Vrachtbehandeling;2002 4e kwartaal;;;
5884;5224 Vrachtbehandeling;2003 1e kwartaal;;;
5885;5224 Vrachtbehandeling;2003 2e kwartaal;;;
5886;5224 Vrachtbehandeling;2003 3e kwartaal;;;
5887;5224 Vrachtbehandeling;2003 4e kwartaal;;;
5888;5224 Vrachtbehandeling;2003;;;
5889;5224 Vrachtbehandeling;2004 1e kwartaal;;;
5890;5224 Vrachtbehandeling;2004 2e kwartaal;;;
5891;5224 Vrachtbehandeling;2004 3e kwartaal;;;
5892;5224 Vrachtbehandeling;2004 4e kwartaal;;;
5893;5224 Vrachtbehandeling;2004;;;
5894;5224 Vrachtbehandeling;2005 1e kwartaal;;;
5895;5224 Vrachtbehandeling;2005 2e kwartaal;;;
5896;5224 Vrachtbehandeling;2005 3e kwartaal;;;
5897;5224 Vrachtbehandeling;2005 4e kwartaal;;;
5898;5224 Vrachtbehandeling;2005;;;
5899;5224 Vrachtbehandeling;2006 1e kwartaal;86.5;;
5900;5224 Vrachtbehandeling;2006 2e kwartaal;87.5;1.1;
5901;5224 Vrachtbehandeling;2006 3e kwartaal;87.1;-0.5;
5902;5224 Vrachtbehandeling;2006 4e kwartaal;88.1;1.2;
5903;5224 Vrachtbehandeling;2006;87.3;;
5904;5224 Vrachtbehandeling;2007 1e kwartaal;88.3;0.2;2.1
5905;5224 Vrachtbehandeling;2007 2e kwartaal;88.9;0.7;1.6
5906;5224 Vrachtbehandeling;2007 3e kwartaal;88.9;0.0;2.1
5907;5224 Vrachtbehandeling;2007 4e kwartaal;88.4;-0.5;0.3
5908;5224 Vrachtbehandeling;2007;88.6;;1.5
5909;5224 Vrachtbehandeling;2008 1e kwartaal;91.7;3.8;3.9
5910;5224 Vrachtbehandeling;2008 2e kwartaal;92.7;1.0;4.2
5911;5224 Vrachtbehandeling;2008 3e kwartaal;91.6;-1.2;3.0
