ID;Geslacht;Leeftijd;RegioS;DiagnoseIndelingISHMT;Perioden;TotaalOpnamen_1;TotaalOpnamenPer10000Inwoners_2;Dagopnamen_3;DagopnamenPer10000Inwoners_4;KlinischeOpnamen_5;KlinischeOpnamenPer10000Inwoners_6;VerpleegdagenVanKlinischeOpnamen_7;VerpleegdagenPer10000Inwoners_8;GemVerpleegduurPerKlinischeOpname_9
119;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;102;2004;419.0;0.3;16.0;0.0;403.0;0.2;2428.0;1.5;6.0
120;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;102;2005;492.0;0.3;31.0;0.0;461.0;0.3;2781.0;1.7;6.0
121;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;102;2006;633.0;0.4;47.0;0.0;586.0;0.4;3090.0;1.8;5.3
122;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;102;2007;706.0;0.4;41.0;0.0;665.0;0.4;3975.0;2.4;6.0
123;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;102;2008;996.0;0.6;68.0;0.0;928.0;0.6;4474.0;2.7;4.8
124;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;102;2009;848.0;0.5;65.0;0.0;783.0;0.5;3893.0;2.4;5.0
125;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;102;2010;982.0;0.6;100.0;0.1;882.0;0.5;4851.0;2.9;5.5
126;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;102;2011;1144.0;0.6;126.0;0.1;1018.0;0.6;4629.0;2.7;4.5
127;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;102;2012;2705.0;1.6;499.0;0.3;2206.0;1.2;10062.0;6.0;4.5
128;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;103;1981;;;;;1044.0;0.6;38505.0;27.0;36.9
129;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;103;1982;;;;;923.0;0.6;32953.0;23.0;35.7
130;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;103;1983;;;;;964.0;0.6;31814.0;22.1;33.0
131;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;103;1984;;;;;933.0;0.6;29383.0;20.3;31.5
132;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;103;1985;;;;;856.0;0.6;26232.0;18.1;30.6
133;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;103;1986;;;;;809.0;0.6;25415.0;17.3;31.3
134;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;103;1987;;;;;765.0;0.5;22158.0;15.1;29.0
135;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;103;1988;;;;;850.0;0.6;26498.0;18.0;31.2
136;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;103;1989;;;;;736.0;0.5;19740.0;13.3;26.7
137;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;103;1990;;;;;742.0;0.5;20018.0;13.3;27.0
138;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;103;1991;;;;;847.0;0.6;26184.0;17.3;30.8
139;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;103;1992;;;;;853.0;0.6;26770.0;17.6;31.3
