ID;EconomicActivityNCEA2008;Periods;TotalNumberOfEnterprises_1;k_1PersonEmployed_2;k_2PersonsEmployed_3;k_3To5PersonsEmployed_4;k_5To10PersonsEmployed_5;k_10To20PersonsEmployed_6;k_20To50PersonsEmployed_7;k_50To100PersonsEmployed_8;k_100PersonsEmployedOrMore_9;PrivateLegalForms_10;PublicLegalForms_11
3293;469 Non-specialised wholesale;2009;1900;1260;365;145;65;30;25;5;5;1185;715
3294;469 Non-specialised wholesale;2010;1880;1255;365;145;60;30;15;0;5;1160;720
3295;46901 General wholesale consumer goods;2006;1130;685;300;80;45;15;5;0;5;795;335
3296;46901 General wholesale consumer goods;2007;1230;765;270;115;45;25;5;0;5;845;380
3297;46901 General wholesale consumer goods;2008;1290;835;280;95;50;20;5;5;5;860;435
3298;46901 General wholesale consumer goods;2009;1375;925;270;100;40;20;10;5;5;910;470
3299;46901 General wholesale consumer goods;2010;1355;920;265;100;40;15;10;0;5;885;470
3300;46902 Other non-specialised wholesale;2006;420;240;105;35;20;10;10;0;0;255;165
3301;46902 Other non-specialised wholesale;2007;460;265;100;40;30;10;10;0;0;265;195
3302;46902 Other non-specialised wholesale;2008;490;300;110;45;20;10;10;0;0;270;220
3303;46902 Other non-specialised wholesale;2009;525;335;100;45;25;10;15;0;0;280;245
3304;46902 Other non-specialised wholesale;2010;525;335;100;45;20;10;5;0;0;275;250
3305;47 Retail trade (not in motor vehicles);2006;73040;24425;23175;12790;7580;2920;1595;275;285;60335;12705
3306;47 Retail trade (not in motor vehicles);2007;75455;27945;18400;14405;9195;3245;1685;295;285;62305;13150
3307;47 Retail trade (not in motor vehicles);2008;76275;32245;19060;12475;7635;2845;1465;285;265;62685;13590
3308;47 Retail trade (not in motor vehicles);2009;77875;32975;19170;12365;8130;3050;1565;330;285;63690;14185
3309;47 Retail trade (not in motor vehicles);2010;77700;33590;19185;11940;7875;2985;1525;315;285;63305;14395
3310;471 Non-specialised retail sales.;2006;3245;565;740;425;355;415;615;75;55;2340;900
3311;471 Non-specialised retail sales.;2007;3205;635;540;465;395;405;620;90;55;2300;905
3312;471 Non-specialised retail sales.;2008;3230;735;580;390;355;420;615;90;50;2295;940
3313;471 Non-specialised retail sales.;2009;3305;740;585;395;385;435;610;110;50;2285;1025
3314;471 Non-specialised retail sales.;2010;3325;765;610;395;365;440;595;110;45;2235;1090
3315;4711 Supermarkets and similar stores;2006;2915;425;710;405;335;370;555;70;45;2245;670
3316;4711 Supermarkets and similar stores;2007;2875;490;520;435;380;360;555;90;50;2200;670
3317;4711 Supermarkets and similar stores;2008;2890;575;555;370;325;370;560;90;45;2200;690
3318;4711 Supermarkets and similar stores;2009;2940;565;560;370;360;390;540;105;45;2195;745
3319;4711 Supermarkets and similar stores;2010;2940;590;580;370;345;390;520;100;45;2150;790
3320;47191 Department stores;2006;135;20;10;15;15;30;35;0;5;50;85
3321;47191 Department stores;2007;140;20;15;20;10;35;35;0;5;50;90
3322;47191 Department stores;2008;145;25;15;15;20;40;25;0;5;45;95
3323;47191 Department stores;2009;175;30;20;20;20;45;30;5;5;50;120
3324;47191 Department stores;2010;190;30;25;20;20;45;40;5;5;45;145
3325;47192 Non-specialised stores (non-food);2006;195;120;15;10;5;15;30;5;0;50;145
3326;47192 Non-specialised stores (non-food);2007;195;125;10;10;5;10;30;0;0;50;145
3327;47192 Non-specialised stores (non-food);2008;200;135;10;5;5;10;30;0;0;45;150
3328;47192 Non-specialised stores (non-food);2009;195;140;5;5;5;0;35;0;0;40;160
3329;47192 Non-specialised stores (non-food);2010;200;145;5;5;5;5;35;0;0;45;155
3330;472 Specialised shops selling food;2006;9305;1905;3430;2295;1335;250;70;10;10;8555;750
3331;472 Specialised shops selling food;2007;9205;2110;2595;2475;1610;325;75;10;5;8445;760
3332;472 Specialised shops selling food;2008;8910;2500;2650;2080;1315;280;60;10;10;8145;760
3333;472 Specialised shops selling food;2009;8710;2405;2510;2000;1385;330;65;10;10;7945;765
3334;472 Specialised shops selling food;2010;8580;2395;2480;1955;1335;325;65;10;10;7805;775
3335;4721 Shops for vegetables and fruit;2006;1295;260;500;350;155;20;5;0;0;1240;60
3336;4721 Shops for vegetables and fruit;2007;1265;295;365;355;210;30;5;0;0;1205;60
3337;4721 Shops for vegetables and fruit;2008;1190;325;365;310;160;25;5;0;0;1135;55
3338;4721 Shops for vegetables and fruit;2009;1120;300;345;275;165;30;5;0;0;1065;60
3339;4721 Shops for vegetables and fruit;2010;1075;285;330;265;160;25;5;0;0;1020;55
3340;47221 Shops selling meat (no poultry);2006;2355;220;665;680;645;100;30;0;5;2170;185
3341;47221 Shops selling meat (no poultry);2007;2295;250;465;690;730;130;35;5;0;2105;190
3342;47221 Shops selling meat (no poultry);2008;2175;295;515;630;590;120;20;5;0;1990;185
3343;47221 Shops selling meat (no poultry);2009;2135;300;450;595;620;145;25;5;0;1945;185
3344;47221 Shops selling meat (no poultry);2010;2080;295;435;575;595;145;25;5;0;1885;195
3345;47222 Shops selling game and poultry;2006;215;25;95;70;25;5;0;0;0;200;15
3346;47222 Shops selling game and poultry;2007;210;30;70;65;35;10;0;0;0;200;15
3347;47222 Shops selling game and poultry;2008;205;35;70;55;30;5;0;0;0;190;10
3348;47222 Shops selling game and poultry;2009;195;30;60;60;35;10;0;0;0;180;10
3349;47222 Shops selling game and poultry;2010;200;40;60;60;35;10;0;0;0;185;15
3350;4723 Shops selling fish;2006;550;70;185;170;105;20;5;0;0;505;45
3351;4723 Shops selling fish;2007;565;75;145;185;130;25;5;0;0;520;45
3352;4723 Shops selling fish;2008;550;110;160;150;105;20;5;0;0;505;45
3353;4723 Shops selling fish;2009;565;100;155;160;110;25;5;0;0;515;50
3354;4723 Shops selling fish;2010;575;110;155;160;110;25;5;0;0;520;55
3355;47241 Shops selling bread and pastry;2006;655;115;210;160;125;35;15;0;0;600;55
3356;47241 Shops selling bread and pastry;2007;640;125;185;145;130;35;15;0;0;585;55
3357;47241 Shops selling bread and pastry;2008;590;155;165;115;100;35;15;5;0;540;50
3358;47241 Shops selling bread and pastry;2009;540;135;150;100;110;35;10;0;0;495;45
3359;47241 Shops selling bread and pastry;2010;565;155;160;100;105;30;10;0;0;525;40
3360;47242 Shops for chocolate, confectionary;2006;375;135;150;60;25;5;0;0;0;355;25
3361;47242 Shops for chocolate, confectionary;2007;380;145;115;80;25;10;0;0;0;355;25
3362;47242 Shops for chocolate, confectionary;2008;380;180;105;60;25;5;5;0;0;350;30
3363;47242 Shops for chocolate, confectionary;2009;385;185;95;55;35;10;0;0;0;355;30
3364;47242 Shops for chocolate, confectionary;2010;380;185;95;55;30;10;0;0;0;350;30
3365;4725 Shops selling beverages;2006;905;305;420;120;45;10;5;0;5;780;125
3366;4725 Shops selling beverages;2007;920;340;345;160;55;10;5;0;5;790;125
3367;4725 Shops selling beverages;2008;930;410;335;125;40;10;0;0;5;810;120
3368;4725 Shops selling beverages;2009;930;415;335;125;40;10;5;0;5;815;120
3369;4725 Shops selling beverages;2010;920;410;340;120;40;10;5;0;5;800;120
3370;4726 Shops selling tobacco products;2006;1160;280;515;295;65;10;0;0;0;1095;70
3371;4726 Shops selling tobacco products;2007;1155;305;390;345;100;10;5;0;0;1080;75
3372;4726 Shops selling tobacco products;2008;1135;365;405;280;75;10;5;0;0;1060;75
3373;4726 Shops selling tobacco products;2009;1105;345;395;265;85;10;0;0;0;1030;70
3374;4726 Shops selling tobacco products;2010;1075;340;380;265;85;10;0;0;0;1000;75
3375;47291 Shops selling cheese;2006;420;75;175;130;30;5;0;0;0;405;15
3376;47291 Shops selling cheese;2007;405;70;135;150;40;5;0;0;0;390;15
3377;47291 Shops selling cheese;2008;395;115;140;105;30;0;0;0;0;380;15
3378;47291 Shops selling cheese;2009;390;105;140;115;25;5;0;0;0;375;15
3379;47291 Shops selling cheese;2010;400;110;145;115;25;5;0;0;0;380;20
3380;47292 Shops for natural and health food;2006;370;120;105;80;45;15;0;0;0;310;60
3381;47292 Shops for natural and health food;2007;380;135;80;85;60;20;5;0;0;320;60
3382;47292 Shops for natural and health food;2008;375;145;95;65;50;15;5;0;0;310;60
3383;47292 Shops for natural and health food;2009;380;140;95;70;50;15;5;0;0;315;60
3384;47292 Shops for natural and health food;2010;370;145;90;70;50;15;5;0;0;310;65
3385;47293 Shops selling foreign food;2006;500;160;230;70;30;10;0;0;0;465;35
3386;47293 Shops selling foreign food;2007;485;180;170;90;30;15;0;0;0;445;40
3387;47293 Shops selling foreign food;2008;475;200;165;65;35;10;0;0;0;440;35
3388;47293 Shops selling foreign food;2009;455;190;155;65;35;10;0;0;0;420;35
3389;47293 Shops selling foreign food;2010;440;175;160;60;35;10;0;0;0;410;30
3390;47299 Other specialised shops for food;2006;500;140;175;110;55;15;5;0;0;435;60
3391;47299 Other specialised shops for food;2007;505;155;130;125;65;25;5;0;0;445;65
3392;47299 Other specialised shops for food;2008;505;165;135;120;65;15;5;0;0;430;75
3393;47299 Other specialised shops for food;2009;515;160;135;115;65;30;5;0;0;435;80
3394;47299 Other specialised shops for food;2010;500;155;130;115;65;30;5;0;0;420;80
3395;473 Petrol stations;2006;1080;155;240;310;245;85;30;10;10;625;460
3396;473 Petrol stations;2007;1060;145;175;310;280;95;35;5;10;600;460
3397;473 Petrol stations;2008;1075;190;195;305;255;85;30;5;5;580;495
3398;473 Petrol stations;2009;1075;180;190;285;235;110;60;10;5;535;545
3399;473 Petrol stations;2010;1060;185;180;280;235;110;60;10;5;500;555
3400;4730 Petrol stations;2006;1080;155;240;310;245;85;30;10;10;625;460
3401;4730 Petrol stations;2007;1060;145;175;310;280;95;35;5;10;600;460
3402;4730 Petrol stations;2008;1075;190;195;305;255;85;30;5;5;580;495
3403;4730 Petrol stations;2009;1075;180;190;285;235;110;60;10;5;535;545
3404;4730 Petrol stations;2010;1060;185;180;280;235;110;60;10;5;500;555
3405;474 Shops selling consumer electronics;2006;2585;1050;735;390;275;85;30;5;20;2025;560
3406;474 Shops selling consumer electronics;2007;2640;1155;540;475;325;85;35;5;20;2050;585
3407;474 Shops selling consumer electronics;2008;2585;1250;565;410;250;65;25;5;20;1995;590
3408;474 Shops selling consumer electronics;2009;2550;1210;550;395;270;80;20;5;20;1950;600
3409;474 Shops selling consumer electronics;2010;2420;1170;510;370;255;70;20;5;20;1830;585
3410;4741 Shops for computers and software;2006;1075;600;310;95;45;20;5;5;0;920;155
3411;4741 Shops for computers and software;2007;1090;655;210;135;60;15;10;5;5;930;160
3412;4741 Shops for computers and software;2008;1045;660;195;115;50;15;5;0;0;885;160
3413;4741 Shops for computers and software;2009;1025;640;195;110;50;15;5;0;0;860;165
3414;4741 Shops for computers and software;2010;950;600;175;95;50;15;5;0;0;785;160
3415;4742 Shops selling telecom equipment;2006;300;125;100;40;20;5;5;0;5;215;80
3416;4742 Shops selling telecom equipment;2007;335;140;85;65;25;5;5;0;5;230;100
3417;4742 Shops selling telecom equipment;2008;370;180;105;50;20;5;5;0;5;260;115
3418;4742 Shops selling telecom equipment;2009;400;200;105;50;30;10;5;0;5;280;120
3419;4742 Shops selling telecom equipment;2010;390;210;100;45;20;10;5;0;5;275;115
3420;47431 Shops for audio, video equipment;2006;685;220;195;130;105;20;5;0;5;515;165
3421;47431 Shops for audio, video equipment;2007;675;245;150;135;115;20;5;0;5;510;165
3422;47431 Shops for audio, video equipment;2008;645;280;145;115;80;20;5;0;0;485;160
3423;47431 Shops for audio, video equipment;2009;620;250;145;110;95;15;5;0;0;460;165
3424;47431 Shops for audio, video equipment;2010;595;245;140;105;85;15;5;0;5;435;160
3425;47432 Shops both brown and white goods;2006;525;100;130;125;105;40;10;0;10;370;155
3426;47432 Shops both brown and white goods;2007;540;120;90;135;130;40;15;0;10;385;155
3427;47432 Shops both brown and white goods;2008;525;130;115;135;95;25;10;0;10;365;155
3428;47432 Shops both brown and white goods;2009;500;120;100;125;95;35;10;5;10;350;150
3429;47432 Shops both brown and white goods;2010;485;120;95;120;95;35;5;0;10;335;150
3430;475 Shops for other household equipment;2006;10615;2910;3280;2065;1490;535;235;45;50;7545;3070
3431;475 Shops for other household equipment;2007;10755;3190;2585;2260;1780;590;255;45;50;7620;3135
3432;475 Shops for other household equipment;2008;10770;3755;2665;2075;1490;505;200;45;40;7550;3220
3433;475 Shops for other household equipment;2009;10790;3710;2650;2025;1570;530;210;45;45;7470;3315
3434;475 Shops for other household equipment;2010;10575;3680;2635;1950;1515;515;200;40;45;7260;3315
3435;47511 Shops selling clothing fabrics;2006;215;85;90;20;10;5;0;0;0;200;20
3436;47511 Shops selling clothing fabrics;2007;220;90;70;35;15;0;0;0;0;200;20
3437;47511 Shops selling clothing fabrics;2008;200;100;55;25;10;5;5;0;0;175;20
3438;47511 Shops selling clothing fabrics;2009;170;80;55;20;10;0;0;0;0;155;15
3439;47511 Shops selling clothing fabrics;2010;165;75;55;20;10;0;0;0;0;150;15
3440;47512 Shops selling household textiles;2006;65;20;20;5;15;0;0;0;0;50;15
3441;47512 Shops selling household textiles;2007;60;15;15;10;20;0;0;0;0;45;15
3442;47512 Shops selling household textiles;2008;55;20;15;10;10;0;0;0;0;45;10
3443;47512 Shops selling household textiles;2009;55;20;15;5;10;5;0;0;0;40;10
3444;47512 Shops selling household textiles;2010;55;25;15;5;10;5;0;0;0;40;10
3445;47513 Shops for wool and fancy work;2006;315;190;95;25;5;0;0;0;0;305;10
3446;47513 Shops for wool and fancy work;2007;320;205;80;20;10;0;0;0;0;305;10
3447;47513 Shops for wool and fancy work;2008;320;230;65;15;5;5;0;0;0;310;15
3448;47513 Shops for wool and fancy work;2009;305;220;65;15;5;5;0;0;0;290;15
3449;47513 Shops for wool and fancy work;2010;295;210;60;15;5;5;0;0;0;280;15
3450;47521 Shops selling hardware;2006;570;115;185;115;110;35;10;0;0;435;135
3451;47521 Shops selling hardware;2007;565;140;135;120;115;45;10;0;0;430;135
3452;47521 Shops selling hardware;2008;555;160;135;115;100;40;5;0;0;415;140
3453;47521 Shops selling hardware;2009;555;155;135;110;105;35;15;0;0;410;145
3454;47521 Shops selling hardware;2010;550;155;140;110;100;35;10;0;0;405;145
3455;47522 Shops selling paints and wallpaper;2006;510;105;180;125;70;25;0;0;0;405;105
3456;47522 Shops selling paints and wallpaper;2007;505;105;140;135;90;25;5;0;0;395;105
3457;47522 Shops selling paints and wallpaper;2008;485;120;130;135;70;25;0;0;0;375;110
3458;47522 Shops selling paints and wallpaper;2009;475;115;125;115;95;25;5;0;0;365;115
3459;47522 Shops selling paints and wallpaper;2010;460;115;125;105;90;25;5;0;0;345;115
3460;47523 Shops for wooden building material;2006;155;50;45;30;25;10;0;0;0;115;40
3461;47523 Shops for wooden building material;2007;165;60;35;40;20;10;0;0;0;125;40
3462;47523 Shops for wooden building material;2008;165;65;35;35;20;5;0;0;0;125;45
3463;47523 Shops for wooden building material;2009;170;70;35;30;20;10;0;0;0;125;45
3464;47523 Shops for wooden building material;2010;170;70;40;30;20;10;0;0;0;125;50
3465;47524 Shops selling tiles;2006;165;55;45;30;20;10;5;0;0;105;60
3466;47524 Shops selling tiles;2007;165;50;40;30;25;15;5;0;0;100;65
3467;47524 Shops selling tiles;2008;170;60;45;25;20;15;5;0;0;100;65
3468;47524 Shops selling tiles;2009;190;75;50;20;25;15;5;0;0;110;85
3469;47524 Shops selling tiles;2010;190;75;55;20;25;15;5;0;0;105;85
3470;47525 Shops selling kitchens;2006;565;115;125;125;110;55;25;10;0;245;315
3471;47525 Shops selling kitchens;2007;580;115;115;130;120;65;30;10;5;255;330
3472;47525 Shops selling kitchens;2008;615;155;135;130;110;55;20;5;5;250;360
3473;47525 Shops selling kitchens;2009;630;165;125;140;115;55;25;5;5;250;380
3474;47525 Shops selling kitchens;2010;620;160;125;135;115;55;20;5;5;240;375
3475;47526 Shops for parquet, cork floors etc;2006;455;200;125;60;45;20;5;0;0;375;80
3476;47526 Shops for parquet, cork floors etc;2007;470;220;100;70;55;25;5;0;0;385;85
3477;47526 Shops for parquet, cork floors etc;2008;510;255;130;55;50;20;5;0;0;415;95
3478;47526 Shops for parquet, cork floors etc;2009;535;260;120;90;45;15;0;0;0;430;105
3479;47526 Shops for parquet, cork floors etc;2010;520;255;115;85;40;15;0;0;0;415;105
3480;47527 Shops for other diy-articles;2006;355;115;95;65;60;20;5;0;0;215;140
3481;47527 Shops for other diy-articles;2007;385;130;80;85;65;20;5;0;0;230;160
3482;47527 Shops for other diy-articles;2008;400;140;90;80;60;20;10;0;0;230;170
3483;47527 Shops for other diy-articles;2009;425;145;100;85;60;25;10;5;0;245;185
3484;47527 Shops for other diy-articles;2010;415;150;95;75;55;20;10;5;0;230;185
3485;47528 Builder's merchants;2006;955;130;190;210;205;105;80;15;15;530;425
3486;47528 Builder's merchants;2007;945;140;155;200;225;120;85;10;15;530;420
3487;47528 Builder's merchants;2008;910;150;160;190;205;110;70;10;15;475;435
3488;47528 Builder's merchants;2009;880;135;140;185;215;115;70;5;15;450;430
3489;47528 Builder's merchants;2010;880;140;145;180;205;115;70;5;15;440;435
3490;4753 Shops for floor coverings, curtains;2006;1040;245;335;265;150;40;5;0;5;785;255
3491;4753 Shops for floor coverings, curtains;2007;1035;260;265;270;190;40;10;0;5;785;250
3492;4753 Shops for floor coverings, curtains;2008;1010;320;275;225;145;30;5;5;5;780;230
3493;4753 Shops for floor coverings, curtains;2009;1000;300;270;235;160;25;5;5;5;775;230
3494;4753 Shops for floor coverings, curtains;2010;970;290;265;225;155;25;5;5;5;740;230
3495;47541 Shops selling white goods;2006;200;55;70;35;35;5;0;0;0;160;45
3496;47541 Shops selling white goods;2007;210;65;55;40;40;5;0;0;0;160;50
3497;47541 Shops selling white goods;2008;210;75;55;45;30;5;0;0;0;160;50
3498;47541 Shops selling white goods;2009;215;75;55;45;30;5;0;0;0;165;50
3499;47541 Shops selling white goods;2010;215;75;55;45;30;5;0;0;0;160;50
3500;47542 Shops for sewing machines;2006;155;45;75;25;10;0;0;0;0;135;15
3501;47542 Shops for sewing machines;2007;150;45;60;35;10;0;0;0;0;135;15
3502;47542 Shops for sewing machines;2008;140;55;55;25;10;0;0;0;0;125;15
3503;47542 Shops for sewing machines;2009;140;50;55;25;5;0;0;0;0;125;15
3504;47542 Shops for sewing machines;2010;135;50;55;25;5;0;0;0;0;120;15
3505;47543 Shops for other electr. Appliances;2006;100;40;30;20;5;5;0;0;0;80;20
3506;47543 Shops for other electr. Appliances;2007;95;45;15;20;10;5;0;0;0;70;20
3507;47543 Shops for other electr. Appliances;2008;100;55;20;15;5;5;0;0;0;80;20
3508;47543 Shops for other electr. Appliances;2009;100;50;25;15;5;5;0;0;0;75;25
3509;47543 Shops for other electr. Appliances;2010;100;50;25;15;5;5;0;0;0;75;25
3510;47544 Shops selling electrical parts;2006;165;65;60;25;10;0;0;0;0;150;15
3511;47544 Shops selling electrical parts;2007;170;75;50;25;15;0;0;0;0;155;15
3512;47544 Shops selling electrical parts;2008;175;90;40;30;10;0;0;0;0;155;20
3513;47544 Shops selling electrical parts;2009;175;90;50;20;10;0;0;0;0;160;15
3514;47544 Shops selling electrical parts;2010;170;90;50;20;10;0;0;0;0;155;15
3515;47591 Shops selling furniture;2006;1855;505;595;345;245;95;50;10;15;1180;680
3516;47591 Shops selling furniture;2007;1875;560;455;385;310;90;50;10;15;1185;695
3517;47591 Shops selling furniture;2008;1910;680;485;355;250;80;45;10;10;1200;710
3518;47591 Shops selling furniture;2009;1940;690;480;355;260;90;40;10;15;1195;745
3519;47591 Shops selling furniture;2010;1905;680;490;340;250;85;40;10;15;1175;730
3520;47592 Shops for articles for lighting;2006;260;65;110;60;15;5;5;0;0;205;55
3521;47592 Shops for articles for lighting;2007;265;80;85;70;25;5;5;0;0;210;55
3522;47592 Shops for articles for lighting;2008;270;95;90;45;25;0;5;0;0;215;55
3523;47592 Shops for articles for lighting;2009;270;100;95;55;15;0;5;0;0;215;55
3524;47592 Shops for articles for lighting;2010;260;105;85;50;15;0;5;0;0;200;60
3525;47593 Shops for various home furnishings;2006;1125;260;335;250;190;55;20;5;5;735;390
3526;47593 Shops for various home furnishings;2007;1170;280;275;275;240;65;25;5;5;770;405
3527;47593 Shops for various home furnishings;2008;1210;365;285;290;185;60;10;5;5;800;410
