ID;Vogelsoorten;Perioden;Index_1;TrendGehelePeriode_2;TrendLaatste10Jaar_3
561;2230;1996;331.0;.                             ;.                             
562;2230;1997;154.0;.                             ;.                             
563;2230;1998;335.0;.                             ;.                             
564;2230;1999;141.0;.                             ;.                             
565;2230;2000;100.0;.                             ;.                             
566;2230;2001;371.0;.                             ;.                             
567;2230;2002;666.0;.                             ;.                             
568;2230;2003;276.0;.                             ;.                             
569;2230;2004;124.0;Matige afname                 ;Matige afname                 
570;1210;1975;;.                             ;.                             
571;1210;1976;;.                             ;.                             
572;1210;1977;;.                             ;.                             
573;1210;1978;;.                             ;.                             
574;1210;1979;0.0;.                             ;.                             
575;1210;1980;0.0;.                             ;.                             
576;1210;1981;0.0;.                             ;.                             
577;1210;1982;0.0;.                             ;.                             
578;1210;1983;0.0;.                             ;.                             
579;1210;1984;0.0;.                             ;.                             
580;1210;1985;0.0;.                             ;.                             
581;1210;1986;0.0;.                             ;.                             
582;1210;1987;2.0;.                             ;.                             
583;1210;1988;1.0;.                             ;.                             
584;1210;1989;2.0;.                             ;.                             
585;1210;1990;2.0;.                             ;.                             
586;1210;1991;5.0;.                             ;.                             
587;1210;1992;7.0;.                             ;.                             
588;1210;1993;5.0;.                             ;.                             
589;1210;1994;9.0;.                             ;.                             
590;1210;1995;9.0;.                             ;.                             
591;1210;1996;5.0;.                             ;.                             
592;1210;1997;15.0;.                             ;.                             
593;1210;1998;25.0;.                             ;.                             
594;1210;1999;44.0;.                             ;.                             
595;1210;2000;100.0;.                             ;.                             
596;1210;2001;171.0;.                             ;.                             
597;1210;2002;244.0;.                             ;.                             
598;1210;2003;349.0;.                             ;.                             
599;1210;2004;494.0;Sterke toename                ;Sterke toename                
600;5320;1975;58.0;.                             ;.                             
601;5320;1976;51.0;.                             ;.                             
602;5320;1977;71.0;.                             ;.                             
603;5320;1978;73.0;.                             ;.                             
604;5320;1979;80.0;.                             ;.                             
605;5320;1980;43.0;.                             ;.                             
606;5320;1981;42.0;.                             ;.                             
607;5320;1982;63.0;.                             ;.                             
608;5320;1983;67.0;.                             ;.                             
609;5320;1984;79.0;.                             ;.                             
610;5320;1985;192.0;.                             ;.                             
611;5320;1986;154.0;.                             ;.                             
612;5320;1987;85.0;.                             ;.                             
613;5320;1988;75.0;.                             ;.                             
614;5320;1989;80.0;.                             ;.                             
615;5320;1990;108.0;.                             ;.                             
616;5320;1991;145.0;.                             ;.                             
617;5320;1992;153.0;.                             ;.                             
618;5320;1993;87.0;.                             ;.                             
619;5320;1994;114.0;.                             ;.                             
620;5320;1995;66.0;.                             ;.                             
621;5320;1996;129.0;.                             ;.                             
622;5320;1997;91.0;.                             ;.                             
623;5320;1998;86.0;.                             ;.                             
624;5320;1999;104.0;.                             ;.                             
625;5320;2000;100.0;.                             ;.                             
626;5320;2001;88.0;.                             ;.                             
627;5320;2002;117.0;.                             ;.                             
628;5320;2003;82.0;.                             ;.                             
629;5320;2004;42.0;Stabiel                       ;Onzeker                       
630;4960;1975;68.0;.                             ;.                             
631;4960;1976;57.0;.                             ;.                             
632;4960;1977;80.0;.                             ;.                             
633;4960;1978;72.0;.                             ;.                             
634;4960;1979;68.0;.                             ;.                             
635;4960;1980;110.0;.                             ;.                             
636;4960;1981;61.0;.                             ;.                             
637;4960;1982;70.0;.                             ;.                             
638;4960;1983;86.0;.                             ;.                             
639;4960;1984;83.0;.                             ;.                             
640;4960;1985;52.0;.                             ;.                             
641;4960;1986;63.0;.                             ;.                             
642;4960;1987;52.0;.                             ;.                             
643;4960;1988;130.0;.                             ;.                             
644;4960;1989;73.0;.                             ;.                             
645;4960;1990;86.0;.                             ;.                             
646;4960;1991;121.0;.                             ;.                             
647;4960;1992;159.0;.                             ;.                             
648;4960;1993;157.0;.                             ;.                             
649;4960;1994;143.0;.                             ;.                             
650;4960;1995;92.0;.                             ;.                             
651;4960;1996;109.0;.                             ;.                             
652;4960;1997;101.0;.                             ;.                             
