ID;Voertuigsoort;KenmerkenVrachtautoSEnTrekkers;BedrijfstakkenBranchesSBI2008;Perioden;VoertuigenInGebruik_1;KilometersNederlandseVoertuigen_2;GemiddeldJaarkilometrage_3
179;Vrachtauto's en trekkers voor oplegger;Leeftijd: jonger dan 4 jaar;M-N Zakelijke dienstverlening;2023;2039.0;85.7;42010.0
180;Vrachtauto's en trekkers voor oplegger;Leeftijd: jonger dan 4 jaar;O-Q Overheid en zorg;2018;711.0;14.5;20345.0
181;Vrachtauto's en trekkers voor oplegger;Leeftijd: jonger dan 4 jaar;O-Q Overheid en zorg;2019;770.0;15.4;20055.0
182;Vrachtauto's en trekkers voor oplegger;Leeftijd: jonger dan 4 jaar;O-Q Overheid en zorg;2020;850.0;15.4;18122.0
183;Vrachtauto's en trekkers voor oplegger;Leeftijd: jonger dan 4 jaar;O-Q Overheid en zorg;2021;776.0;14.0;18104.0
184;Vrachtauto's en trekkers voor oplegger;Leeftijd: jonger dan 4 jaar;O-Q Overheid en zorg;2022;717.0;12.8;17853.0
185;Vrachtauto's en trekkers voor oplegger;Leeftijd: jonger dan 4 jaar;O-Q Overheid en zorg;2023;735.0;12.4;16817.0
186;Vrachtauto's en trekkers voor oplegger;Leeftijd: jonger dan 4 jaar;R-U Cultuur, recreatie, overige diensten;2018;498.0;23.0;46095.0
187;Vrachtauto's en trekkers voor oplegger;Leeftijd: jonger dan 4 jaar;R-U Cultuur, recreatie, overige diensten;2019;545.0;24.2;44422.0
188;Vrachtauto's en trekkers voor oplegger;Leeftijd: jonger dan 4 jaar;R-U Cultuur, recreatie, overige diensten;2020;573.0;23.2;40576.0
189;Vrachtauto's en trekkers voor oplegger;Leeftijd: jonger dan 4 jaar;R-U Cultuur, recreatie, overige diensten;2021;496.0;21.9;44066.0
190;Vrachtauto's en trekkers voor oplegger;Leeftijd: jonger dan 4 jaar;R-U Cultuur, recreatie, overige diensten;2022;508.0;21.0;41247.0
191;Vrachtauto's en trekkers voor oplegger;Leeftijd: jonger dan 4 jaar;R-U Cultuur, recreatie, overige diensten;2023;474.0;18.2;38398.0
192;Vrachtauto's en trekkers voor oplegger;Leeftijd: jonger dan 4 jaar;A Landbouw, bosbouw en visserij;2018;1062.0;73.8;69483.0
193;Vrachtauto's en trekkers voor oplegger;Leeftijd: jonger dan 4 jaar;A Landbouw, bosbouw en visserij;2019;1169.0;78.9;67482.0
194;Vrachtauto's en trekkers voor oplegger;Leeftijd: jonger dan 4 jaar;A Landbouw, bosbouw en visserij;2020;1168.0;77.7;66543.0
195;Vrachtauto's en trekkers voor oplegger;Leeftijd: jonger dan 4 jaar;A Landbouw, bosbouw en visserij;2021;1125.0;76.9;68369.0
196;Vrachtauto's en trekkers voor oplegger;Leeftijd: jonger dan 4 jaar;A Landbouw, bosbouw en visserij;2022;1055.0;67.2;63663.0
197;Vrachtauto's en trekkers voor oplegger;Leeftijd: jonger dan 4 jaar;A Landbouw, bosbouw en visserij;2023;938.0;55.1;58743.0
198;Vrachtauto's en trekkers voor oplegger;Leeftijd: jonger dan 4 jaar;B Delfstoffenwinning;2018;46.0;3.0;64716.0
199;Vrachtauto's en trekkers voor oplegger;Leeftijd: jonger dan 4 jaar;B Delfstoffenwinning;2019;51.0;3.0;59552.0
200;Vrachtauto's en trekkers voor oplegger;Leeftijd: jonger dan 4 jaar;B Delfstoffenwinning;2020;58.0;3.5;59650.0
201;Vrachtauto's en trekkers voor oplegger;Leeftijd: jonger dan 4 jaar;B Delfstoffenwinning;2021;44.0;2.4;55248.0
202;Vrachtauto's en trekkers voor oplegger;Leeftijd: jonger dan 4 jaar;B Delfstoffenwinning;2022;45.0;2.0;45330.0
203;Vrachtauto's en trekkers voor oplegger;Leeftijd: jonger dan 4 jaar;B Delfstoffenwinning;2023;32.0;1.5;46663.0
204;Vrachtauto's en trekkers voor oplegger;Leeftijd: jonger dan 4 jaar;C Industrie;2018;1927.0;101.7;52801.0
205;Vrachtauto's en trekkers voor oplegger;Leeftijd: jonger dan 4 jaar;C Industrie;2019;2166.0;113.8;52518.0
206;Vrachtauto's en trekkers voor oplegger;Leeftijd: jonger dan 4 jaar;C Industrie;2020;2050.0;107.5;52438.0
207;Vrachtauto's en trekkers voor oplegger;Leeftijd: jonger dan 4 jaar;C Industrie;2021;2004.0;105.8;52810.0
