ID;Perioden;BenzineEuro95_1;Diesel_2;Lpg_3
5369;2020 zondag 13 september;1.556;1.156;0.579
5370;2020 maandag 14 september;1.558;1.159;0.58
5371;2020 dinsdag 15 september;1.558;1.156;0.582
5372;2020 woensdag 16 september;1.557;1.155;0.585
5373;2020 donderdag 17 september;1.558;1.156;0.579
5374;2020 vrijdag 18 september;1.564;1.157;0.582
5375;2020 zaterdag 19 september;1.566;1.159;0.578
5376;2020 zondag 20 september;1.569;1.163;0.586
5377;2020 maandag 21 september;1.568;1.162;0.58
5378;2020 dinsdag 22 september;1.568;1.163;0.578
5379;2020 woensdag 23 september;1.565;1.16;0.587
5380;2020 donderdag 24 september;1.565;1.162;0.585
5381;2020 vrijdag 25 september;1.564;1.162;0.589
5382;2020 zaterdag 26 september;1.559;1.156;0.592
5383;2020 zondag 27 september;1.557;1.155;0.587
5384;2020 maandag 28 september;1.561;1.159;0.581
5385;2020 dinsdag 29 september;1.564;1.161;0.582
5386;2020 woensdag 30 september;1.564;1.163;0.589
5387;2020 donderdag 1 oktober;1.566;1.166;0.598
5388;2020 vrijdag 2 oktober;1.566;1.167;0.584
5389;2020 zaterdag 3 oktober;1.561;1.159;0.592
5390;2020 zondag 4 oktober;1.563;1.161;0.596
5391;2020 maandag 5 oktober;1.566;1.165;0.602
5392;2020 dinsdag 6 oktober;1.566;1.165;0.6
5393;2020 woensdag 7 oktober;1.566;1.166;0.602
5394;2020 donderdag 8 oktober;1.57;1.172;0.604
5395;2020 vrijdag 9 oktober;1.572;1.175;0.616
5396;2020 zaterdag 10 oktober;1.571;1.174;0.612
5397;2020 zondag 11 oktober;1.57;1.174;0.613
5398;2020 maandag 12 oktober;1.574;1.179;0.609
5399;2020 dinsdag 13 oktober;1.574;1.178;0.612
5400;2020 woensdag 14 oktober;1.571;1.177;0.617
5401;2020 donderdag 15 oktober;1.569;1.179;0.63
5402;2020 vrijdag 16 oktober;1.568;1.178;0.624
5403;2020 zaterdag 17 oktober;1.563;1.174;0.623
5404;2020 zondag 18 oktober;1.564;1.175;0.617
5405;2020 maandag 19 oktober;1.565;1.177;0.622
5406;2020 dinsdag 20 oktober;1.563;1.179;0.616
5407;2020 woensdag 21 oktober;1.558;1.179;0.632
5408;2020 donderdag 22 oktober;1.556;1.18;0.636
5409;2020 vrijdag 23 oktober;1.554;1.179;0.628
5410;2020 zaterdag 24 oktober;1.544;1.175;0.629
5411;2020 zondag 25 oktober;1.545;1.175;0.629
5412;2020 maandag 26 oktober;1.547;1.179;0.634
5413;2020 dinsdag 27 oktober;1.538;1.174;0.625
5414;2020 woensdag 28 oktober;1.532;1.169;0.631
5415;2020 donderdag 29 oktober;1.529;1.168;0.618
5416;2020 vrijdag 30 oktober;1.525;1.164;0.628
5417;2020 zaterdag 31 oktober;1.518;1.155;0.622
5418;2020 zondag 1 november;1.519;1.156;0.621
5419;2020 maandag 2 november;1.52;1.159;0.629
5420;2020 dinsdag 3 november;1.51;1.152;0.62
5421;2020 woensdag 4 november;1.503;1.15;0.617
5422;2020 donderdag 5 november;1.506;1.156;0.614
5423;2020 vrijdag 6 november;1.509;1.162;0.625
5424;2020 zaterdag 7 november;1.507;1.16;0.628
5425;2020 zondag 8 november;1.51;1.163;0.619
5426;2020 maandag 9 november;1.512;1.166;0.626
5427;2020 dinsdag 10 november;1.517;1.171;0.623
5428;2020 woensdag 11 november;1.519;1.178;0.626
5429;2020 donderdag 12 november;1.529;1.188;0.635
5430;2020 vrijdag 13 november;1.531;1.193;0.615
5431;2020 zaterdag 14 november;1.526;1.186;0.62
5432;2020 zondag 15 november;1.525;1.187;0.62
5433;2020 maandag 16 november;1.529;1.191;0.63
5434;2020 dinsdag 17 november;1.528;1.191;0.626
5435;2020 woensdag 18 november;1.525;1.191;0.625
5436;2020 donderdag 19 november;1.526;1.194;0.622
5437;2020 vrijdag 20 november;1.527;1.195;0.624
5438;2020 zaterdag 21 november;1.526;1.192;0.633
5439;2020 zondag 22 november;1.527;1.196;0.613
5440;2020 maandag 23 november;1.528;1.198;0.628
5441;2020 dinsdag 24 november;1.529;1.199;0.622
5442;2020 woensdag 25 november;1.532;1.204;0.618
5443;2020 donderdag 26 november;1.54;1.213;0.62
5444;2020 vrijdag 27 november;1.543;1.218;0.613
5445;2020 zaterdag 28 november;1.543;1.216;0.62
5446;2020 zondag 29 november;1.545;1.217;0.617
5447;2020 maandag 30 november;1.546;1.223;0.622
5448;2020 dinsdag 1 december;1.546;1.223;0.613
5449;2020 woensdag 2 december;1.543;1.22;0.623
5450;2020 donderdag 3 december;1.545;1.223;0.625
5451;2020 vrijdag 4 december;1.543;1.223;0.612
5452;2020 zaterdag 5 december;1.541;1.217;0.619
5453;2020 zondag 6 december;1.541;1.217;0.624
5454;2020 maandag 7 december;1.544;1.222;0.614
5455;2020 dinsdag 8 december;1.543;1.224;0.62
5456;2020 woensdag 9 december;1.541;1.222;0.624
5457;2020 donderdag 10 december;1.546;1.226;0.619
5458;2020 vrijdag 11 december;1.55;1.227;0.618
5459;2020 zaterdag 12 december;1.55;1.225;0.623
5460;2020 zondag 13 december;1.55;1.226;0.618
5461;2020 maandag 14 december;1.554;1.232;0.615
5462;2020 dinsdag 15 december;1.556;1.235;0.628
5463;2020 woensdag 16 december;1.554;1.235;0.625
5464;2020 donderdag 17 december;1.556;1.237;0.628
5465;2020 vrijdag 18 december;1.557;1.241;0.641
5466;2020 zaterdag 19 december;1.555;1.239;0.638
5467;2020 zondag 20 december;1.559;1.238;0.631
5468;2020 maandag 21 december;1.561;1.243;0.628
5469;2020 dinsdag 22 december;1.559;1.24;0.637
5470;2020 woensdag 23 december;1.559;1.242;0.629
5471;2020 donderdag 24 december;1.561;1.243;0.629
5472;2020 vrijdag 25 december;1.562;1.244;0.633
5473;2020 zaterdag 26 december;1.559;1.242;0.635
5474;2020 zondag 27 december;1.563;1.242;0.629
5475;2020 maandag 28 december;1.562;1.244;0.631
5476;2020 dinsdag 29 december;1.564;1.245;0.633
5477;2020 woensdag 30 december;1.565;1.247;0.635
5478;2020 donderdag 31 december;1.567;1.251;0.649
5479;2021 vrijdag 1 januari;1.573;1.252;0.649
5480;2021 zaterdag 2 januari;1.573;1.248;0.644
5481;2021 zondag 3 januari;1.575;1.252;0.658
5482;2021 maandag 4 januari;1.576;1.255;0.639
5483;2021 dinsdag 5 januari;1.58;1.258;0.647
5484;2021 woensdag 6 januari;1.583;1.261;0.648
5485;2021 donderdag 7 januari;1.592;1.271;0.659
5486;2021 vrijdag 8 januari;1.6;1.275;0.659
5487;2021 zaterdag 9 januari;1.607;1.28;0.668
5488;2021 zondag 10 januari;1.61;1.284;0.673
5489;2021 maandag 11 januari;1.612;1.286;0.661
5490;2021 dinsdag 12 januari;1.615;1.288;0.664
5491;2021 woensdag 13 januari;1.622;1.297;0.678
5492;2021 donderdag 14 januari;1.63;1.304;0.673
5493;2021 vrijdag 15 januari;1.632;1.305;0.692
5494;2021 zaterdag 16 januari;1.629;1.304;0.676
5495;2021 zondag 17 januari;1.631;1.305;0.685
5496;2021 maandag 18 januari;1.632;1.307;0.689
5497;2021 dinsdag 19 januari;1.631;1.304;0.683
5498;2021 woensdag 20 januari;1.628;1.301;0.683
5499;2021 donderdag 21 januari;1.63;1.303;0.69
5500;2021 vrijdag 22 januari;1.629;1.302;0.679
5501;2021 zaterdag 23 januari;1.625;1.298;0.691
5502;2021 zondag 24 januari;1.625;1.298;0.694
5503;2021 maandag 25 januari;1.627;1.302;0.687
5504;2021 dinsdag 26 januari;1.627;1.3;0.686
5505;2021 woensdag 27 januari;1.629;1.303;0.687
5506;2021 donderdag 28 januari;1.633;1.306;0.678
5507;2021 vrijdag 29 januari;1.635;1.306;0.692
5508;2021 zaterdag 30 januari;1.632;1.307;0.684
5509;2021 zondag 31 januari;1.633;1.309;0.692
5510;2021 maandag 1 februari;1.635;1.31;0.674
5511;2021 dinsdag 2 februari;1.638;1.311;0.686
5512;2021 woensdag 3 februari;1.644;1.316;0.69
5513;2021 donderdag 4 februari;1.648;1.323;0.687
5514;2021 vrijdag 5 februari;1.654;1.328;0.688
5515;2021 zaterdag 6 februari;1.659;1.332;0.692
5516;2021 zondag 7 februari;1.662;1.338;0.693
5517;2021 maandag 8 februari;1.666;1.34;0.697
5518;2021 dinsdag 9 februari;1.667;1.344;0.686
5519;2021 woensdag 10 februari;1.666;1.344;0.694
5520;2021 donderdag 11 februari;1.669;1.346;0.702
5521;2021 vrijdag 12 februari;1.672;1.345;0.695
5522;2021 zaterdag 13 februari;1.668;1.343;0.693
5523;2021 zondag 14 februari;1.671;1.346;0.693
5524;2021 maandag 15 februari;1.674;1.349;0.701
5525;2021 dinsdag 16 februari;1.676;1.354;0.713
5526;2021 woensdag 17 februari;1.678;1.358;0.708
5527;2021 donderdag 18 februari;1.685;1.367;0.714
5528;2021 vrijdag 19 februari;1.693;1.375;0.718
5529;2021 zaterdag 20 februari;1.693;1.376;0.729
5530;2021 zondag 21 februari;1.694;1.376;0.706
5531;2021 maandag 22 februari;1.697;1.38;0.717
5532;2021 dinsdag 23 februari;1.698;1.38;0.726
5533;2021 woensdag 24 februari;1.7;1.381;0.733
5534;2021 donderdag 25 februari;1.698;1.383;0.726
5535;2021 vrijdag 26 februari;1.704;1.388;0.734
5536;2021 zaterdag 27 februari;1.704;1.387;0.732
5537;2021 zondag 28 februari;1.704;1.388;0.731
5538;2021 maandag 1 maart;1.709;1.392;0.738
5539;2021 dinsdag 2 maart;1.711;1.392;0.736
5540;2021 woensdag 3 maart;1.711;1.389;0.742
5541;2021 donderdag 4 maart;1.712;1.39;0.735
5542;2021 vrijdag 5 maart;1.712;1.389;0.727
5543;2021 zaterdag 6 maart;1.715;1.393;0.726
5544;2021 zondag 7 maart;1.718;1.395;0.744
5545;2021 maandag 8 maart;1.721;1.398;0.728
5546;2021 dinsdag 9 maart;1.728;1.4;0.733
5547;2021 woensdag 10 maart;1.735;1.4;0.737
5548;2021 donderdag 11 maart;1.737;1.401;0.739
5549;2021 vrijdag 12 maart;1.739;1.4;0.749
5550;2021 zaterdag 13 maart;1.741;1.4;0.732
5551;2021 zondag 14 maart;1.743;1.401;0.742
5552;2021 maandag 15 maart;1.747;1.405;0.746
5553;2021 dinsdag 16 maart;1.748;1.405;0.743
5554;2021 woensdag 17 maart;1.748;1.401;0.747
5555;2021 donderdag 18 maart;1.747;1.4;0.744
5556;2021 vrijdag 19 maart;1.745;1.398;0.745
5557;2021 zaterdag 20 maart;1.735;1.388;0.741
5558;2021 zondag 21 maart;1.736;1.389;0.742
5559;2021 maandag 22 maart;1.737;1.391;0.744
5560;2021 dinsdag 23 maart;1.732;1.387;0.744
5561;2021 woensdag 24 maart;1.727;1.382;0.743
5562;2021 donderdag 25 maart;1.726;1.382;0.745
5563;2021 vrijdag 26 maart;1.726;1.381;0.746
5564;2021 zaterdag 27 maart;1.722;1.378;0.734
5565;2021 zondag 28 maart;1.724;1.378;0.728
5566;2021 maandag 29 maart;1.727;1.383;0.742
5567;2021 dinsdag 30 maart;1.732;1.383;0.734
5568;2021 woensdag 31 maart;1.733;1.383;0.742
5569;2021 donderdag 1 april;1.736;1.385;0.737
5570;2021 vrijdag 2 april;1.737;1.384;0.745
5571;2021 zaterdag 3 april;1.734;1.382;0.739
5572;2021 zondag 4 april;1.736;1.383;0.744
5573;2021 maandag 5 april;1.738;1.385;0.734
5574;2021 dinsdag 6 april;1.738;1.387;0.736
5575;2021 woensdag 7 april;1.736;1.383;0.73
5576;2021 donderdag 8 april;1.736;1.383;0.729
5577;2021 vrijdag 9 april;1.734;1.381;0.741
5578;2021 zaterdag 10 april;1.732;1.377;0.748
5579;2021 zondag 11 april;1.734;1.379;0.758
5580;2021 maandag 12 april;1.735;1.382;0.75
5581;2021 dinsdag 13 april;1.735;1.38;0.747
5582;2021 woensdag 14 april;1.733;1.379;0.737
5583;2021 donderdag 15 april;1.737;1.38;0.739
5584;2021 vrijdag 16 april;1.744;1.386;0.736
5585;2021 zaterdag 17 april;1.749;1.386;0.741
5586;2021 zondag 18 april;1.749;1.387;0.737
5587;2021 maandag 19 april;1.752;1.391;0.744
5588;2021 dinsdag 20 april;1.754;1.392;0.744
5589;2021 woensdag 21 april;1.758;1.392;0.743
5590;2021 donderdag 22 april;1.76;1.394;0.742
5591;2021 vrijdag 23 april;1.761;1.393;0.741
5592;2021 zaterdag 24 april;1.759;1.39;0.736
5593;2021 zondag 25 april;1.76;1.391;0.736
5594;2021 maandag 26 april;1.763;1.395;0.73
5595;2021 dinsdag 27 april;1.761;1.391;0.738
5596;2021 woensdag 28 april;1.76;1.393;0.735
5597;2021 donderdag 29 april;1.763;1.397;0.734
5598;2021 vrijdag 30 april;1.768;1.403;0.738
5599;2021 zaterdag 1 mei;1.768;1.404;0.742
5600;2021 zondag 2 mei;1.768;1.405;0.735
5601;2021 maandag 3 mei;1.771;1.408;0.749
5602;2021 dinsdag 4 mei;1.773;1.409;0.738
5603;2021 woensdag 5 mei;1.775;1.413;0.743
5604;2021 donderdag 6 mei;1.782;1.418;0.736
5605;2021 vrijdag 7 mei;1.783;1.419;0.743
5606;2021 zaterdag 8 mei;1.777;1.413;0.735
5607;2021 zondag 9 mei;1.777;1.413;0.737
5608;2021 maandag 10 mei;1.779;1.417;0.737
5609;2021 dinsdag 11 mei;1.778;1.414;0.745
5610;2021 woensdag 12 mei;1.773;1.41;0.744
5611;2021 donderdag 13 mei;1.778;1.413;0.74
5612;2021 vrijdag 14 mei;1.779;1.412;0.73
5613;2021 zaterdag 15 mei;1.779;1.41;0.726
5614;2021 zondag 16 mei;1.78;1.411;0.744
5615;2021 maandag 17 mei;1.781;1.414;0.742
5616;2021 dinsdag 18 mei;1.78;1.414;0.746
5617;2021 woensdag 19 mei;1.776;1.413;0.746
5618;2021 donderdag 20 mei;1.775;1.412;0.749
5619;2021 vrijdag 21 mei;1.774;1.41;0.745
5620;2021 zaterdag 22 mei;1.767;1.402;0.748
5621;2021 zondag 23 mei;1.768;1.405;0.738
5622;2021 maandag 24 mei;1.769;1.404;0.74
5623;2021 dinsdag 25 mei;1.768;1.404;0.746
5624;2021 woensdag 26 mei;1.763;1.401;0.745
5625;2021 donderdag 27 mei;1.762;1.399;0.736
5626;2021 vrijdag 28 mei;1.765;1.401;0.738
5627;2021 zaterdag 29 mei;1.764;1.4;0.742
5628;2021 zondag 30 mei;1.765;1.401;0.73
5629;2021 maandag 31 mei;1.767;1.404;0.739
5630;2021 dinsdag 1 juni;1.768;1.405;0.737
5631;2021 woensdag 2 juni;1.773;1.407;0.733
5632;2021 donderdag 3 juni;1.777;1.416;0.732
5633;2021 vrijdag 4 juni;1.782;1.42;0.734
5634;2021 zaterdag 5 juni;1.781;1.422;0.739
5635;2021 zondag 6 juni;1.782;1.424;0.733
5636;2021 maandag 7 juni;1.786;1.43;0.738
5637;2021 dinsdag 8 juni;1.786;1.432;0.74
5638;2021 woensdag 9 juni;1.782;1.43;0.741
5639;2021 donderdag 10 juni;1.784;1.434;0.741
5640;2021 vrijdag 11 juni;1.781;1.434;0.732
5641;2021 zaterdag 12 juni;1.782;1.432;0.736
5642;2021 zondag 13 juni;1.784;1.434;0.721
5643;2021 maandag 14 juni;1.785;1.437;0.737
5644;2021 dinsdag 15 juni;1.787;1.437;0.735
5645;2021 woensdag 16 juni;1.79;1.442;0.732
5646;2021 donderdag 17 juni;1.795;1.447;0.723
5647;2021 vrijdag 18 juni;1.798;1.451;0.736
5648;2021 zaterdag 19 juni;1.797;1.449;0.725
5649;2021 zondag 20 juni;1.797;1.448;0.72
5650;2021 maandag 21 juni;1.8;1.454;0.741
5651;2021 dinsdag 22 juni;1.802;1.452;0.74
5652;2021 woensdag 23 juni;1.804;1.451;0.732
5653;2021 donderdag 24 juni;1.811;1.455;0.736
5654;2021 vrijdag 25 juni;1.814;1.458;0.738
5655;2021 zaterdag 26 juni;1.812;1.455;0.735
5656;2021 zondag 27 juni;1.812;1.455;0.734
5657;2021 maandag 28 juni;1.815;1.461;0.74
5658;2021 dinsdag 29 juni;1.817;1.461;0.731
5659;2021 woensdag 30 juni;1.814;1.459;0.729
5660;2021 donderdag 1 juli;1.817;1.46;0.737
5661;2021 vrijdag 2 juli;1.823;1.464;0.741
5662;2021 zaterdag 3 juli;1.822;1.464;0.739
5663;2021 zondag 4 juli;1.822;1.464;0.736
5664;2021 maandag 5 juli;1.828;1.47;0.737
5665;2021 dinsdag 6 juli;1.831;1.47;0.742
5666;2021 woensdag 7 juli;1.836;1.471;0.746
5667;2021 donderdag 8 juli;1.839;1.473;0.746
5668;2021 vrijdag 9 juli;1.836;1.467;0.75
5669;2021 zaterdag 10 juli;1.833;1.462;0.741
5670;2021 zondag 11 juli;1.834;1.463;0.746
5671;2021 maandag 12 juli;1.836;1.467;0.746
5672;2021 dinsdag 13 juli;1.836;1.464;0.749
5673;2021 woensdag 14 juli;1.839;1.462;0.754
5674;2021 donderdag 15 juli;1.842;1.468;0.759
5675;2021 vrijdag 16 juli;1.839;1.465;0.757
5676;2021 zaterdag 17 juli;1.836;1.459;0.764
5677;2021 zondag 18 juli;1.837;1.46;0.755
5678;2021 maandag 19 juli;1.84;1.464;0.747
5679;2021 dinsdag 20 juli;1.839;1.461;0.758
5680;2021 woensdag 21 juli;1.829;1.457;0.757
5681;2021 donderdag 22 juli;1.827;1.457;0.753
5682;2021 vrijdag 23 juli;1.825;1.458;0.765
5683;2021 zaterdag 24 juli;1.826;1.456;0.749
5684;2021 zondag 25 juli;1.828;1.457;0.756
5685;2021 maandag 26 juli;1.829;1.461;0.759
5686;2021 dinsdag 27 juli;1.829;1.461;0.754
5687;2021 woensdag 28 juli;1.832;1.459;0.756
5688;2021 donderdag 29 juli;1.836;1.461;0.756
5689;2021 vrijdag 30 juli;1.837;1.461;0.766
5690;2021 zaterdag 31 juli;1.839;1.463;0.758
5691;2021 zondag 1 augustus;1.838;1.463;0.751
5692;2021 maandag 2 augustus;1.844;1.468;0.765
5693;2021 dinsdag 3 augustus;1.841;1.468;0.758
5694;2021 woensdag 4 augustus;1.839;1.467;0.766
5695;2021 donderdag 5 augustus;1.841;1.466;0.765
5696;2021 vrijdag 6 augustus;1.84;1.463;0.764
5697;2021 zaterdag 7 augustus;1.839;1.458;0.759
5698;2021 zondag 8 augustus;1.841;1.46;0.745
5699;2021 maandag 9 augustus;1.843;1.461;0.763
5700;2021 dinsdag 10 augustus;1.838;1.456;0.758
5701;2021 woensdag 11 augustus;1.833;1.452;0.759
5702;2021 donderdag 12 augustus;1.835;1.451;0.747
5703;2021 vrijdag 13 augustus;1.836;1.454;0.768
5704;2021 zaterdag 14 augustus;1.838;1.454;0.748
5705;2021 zondag 15 augustus;1.839;1.455;0.761
5706;2021 maandag 16 augustus;1.841;1.458;0.756
5707;2021 dinsdag 17 augustus;1.84;1.458;0.763
5708;2021 woensdag 18 augustus;1.838;1.455;0.754
5709;2021 donderdag 19 augustus;1.836;1.456;0.753
5710;2021 vrijdag 20 augustus;1.832;1.453;0.765
5711;2021 zaterdag 21 augustus;1.828;1.447;0.763
5712;2021 zondag 22 augustus;1.829;1.447;0.753
5713;2021 maandag 23 augustus;1.83;1.45;0.756
5714;2021 dinsdag 24 augustus;1.827;1.45;0.755
5715;2021 woensdag 25 augustus;1.825;1.448;0.764
5716;2021 donderdag 26 augustus;1.831;1.455;0.748
5717;2021 vrijdag 27 augustus;1.833;1.457;0.759
5718;2021 zaterdag 28 augustus;1.836;1.461;0.753
5719;2021 zondag 29 augustus;1.837;1.459;0.754
5720;2021 maandag 30 augustus;1.84;1.465;0.772
5721;2021 dinsdag 31 augustus;1.841;1.468;0.762
5722;2021 woensdag 1 september;1.841;1.466;0.764
5723;2021 donderdag 2 september;1.843;1.468;0.766
5724;2021 vrijdag 3 september;1.84;1.467;0.776
5725;2021 zaterdag 4 september;1.842;1.47;0.78
5726;2021 zondag 5 september;1.841;1.472;0.778
5727;2021 maandag 6 september;1.845;1.476;0.775
5728;2021 dinsdag 7 september;1.846;1.477;0.782
5729;2021 woensdag 8 september;1.847;1.477;0.773
5730;2021 donderdag 9 september;1.85;1.478;0.774
5731;2021 vrijdag 10 september;1.849;1.478;0.777
5732;2021 zaterdag 11 september;1.845;1.474;0.788
5733;2021 zondag 12 september;1.847;1.475;0.784
5734;2021 maandag 13 september;1.85;1.479;0.778
5735;2021 dinsdag 14 september;1.854;1.481;0.792
5736;2021 woensdag 15 september;1.854;1.484;0.785
5737;2021 donderdag 16 september;1.856;1.488;0.796
5738;2021 vrijdag 17 september;1.86;1.494;0.799
5739;2021 zaterdag 18 september;1.857;1.496;0.795
5740;2021 zondag 19 september;1.86;1.497;0.787
5741;2021 maandag 20 september;1.859;1.499;0.807
5742;2021 dinsdag 21 september;1.857;1.498;0.806
5743;2021 woensdag 22 september;1.853;1.499;0.804
5744;2021 donderdag 23 september;1.853;1.501;0.81
5745;2021 vrijdag 24 september;1.85;1.501;0.814
5746;2021 zaterdag 25 september;1.852;1.504;0.806
5747;2021 zondag 26 september;1.854;1.504;0.804
5748;2021 maandag 27 september;1.856;1.509;0.807
5749;2021 dinsdag 28 september;1.859;1.514;0.81
5750;2021 woensdag 29 september;1.862;1.522;0.826
5751;2021 donderdag 30 september;1.869;1.532;0.826
5752;2021 vrijdag 1 oktober;1.874;1.539;0.824
5753;2021 zaterdag 2 oktober;1.882;1.544;0.828
5754;2021 zondag 3 oktober;1.883;1.546;0.83
5755;2021 maandag 4 oktober;1.891;1.554;0.841
5756;2021 dinsdag 5 oktober;1.899;1.561;0.841
5757;2021 woensdag 6 oktober;1.909;1.573;0.85
5758;2021 donderdag 7 oktober;1.92;1.585;0.854
5759;2021 vrijdag 8 oktober;1.923;1.589;0.864
5760;2021 zaterdag 9 oktober;1.931;1.59;0.869
5761;2021 zondag 10 oktober;1.931;1.591;0.87
5762;2021 maandag 11 oktober;1.935;1.595;0.866
5763;2021 dinsdag 12 oktober;1.937;1.602;0.867
5764;2021 woensdag 13 oktober;1.938;1.605;0.873
5765;2021 donderdag 14 oktober;1.942;1.611;0.889
5766;2021 vrijdag 15 oktober;1.947;1.615;0.883
5767;2021 zaterdag 16 oktober;1.954;1.623;0.907
5768;2021 zondag 17 oktober;1.957;1.625;0.902
5769;2021 maandag 18 oktober;1.959;1.628;0.915
5770;2021 dinsdag 19 oktober;1.963;1.632;0.915
5771;2021 woensdag 20 oktober;1.963;1.635;0.912
5772;2021 donderdag 21 oktober;1.965;1.637;0.909
5773;2021 vrijdag 22 oktober;1.964;1.636;0.931
5774;2021 zaterdag 23 oktober;1.962;1.633;0.91
5775;2021 zondag 24 oktober;1.961;1.632;0.924
5776;2021 maandag 25 oktober;1.966;1.637;0.922
5777;2021 dinsdag 26 oktober;1.971;1.639;0.933
5778;2021 woensdag 27 oktober;1.973;1.639;0.923
5779;2021 donderdag 28 oktober;1.976;1.641;0.93
5780;2021 vrijdag 29 oktober;1.974;1.638;0.925
5781;2021 zaterdag 30 oktober;1.972;1.631;0.926
5782;2021 zondag 31 oktober;1.976;1.635;0.925
5783;2021 maandag 1 november;1.978;1.64;0.935
5784;2021 dinsdag 2 november;1.982;1.638;0.924
5785;2021 woensdag 3 november;1.986;1.638;0.936
5786;2021 donderdag 4 november;1.988;1.637;0.945
5787;2021 vrijdag 5 november;1.99;1.637;0.941
5788;2021 zaterdag 6 november;1.988;1.634;0.926
5789;2021 zondag 7 november;1.989;1.633;0.93
5790;2021 maandag 8 november;1.992;1.639;0.935
5791;2021 dinsdag 9 november;1.993;1.637;0.93
5792;2021 woensdag 10 november;1.997;1.636;0.927
5793;2021 donderdag 11 november;2.003;1.641;0.934
5794;2021 vrijdag 12 november;2.006;1.641;0.936
5795;2021 zaterdag 13 november;2.007;1.637;0.939
5796;2021 zondag 14 november;2.007;1.637;0.923
5797;2021 maandag 15 november;2.011;1.642;0.93
5798;2021 dinsdag 16 november;2.011;1.641;0.941
5799;2021 woensdag 17 november;2.017;1.642;0.932
5800;2021 donderdag 18 november;2.021;1.645;0.942
5801;2021 vrijdag 19 november;2.023;1.645;0.94
5802;2021 zaterdag 20 november;2.015;1.641;0.945
5803;2021 zondag 21 november;2.015;1.643;0.955
5804;2021 maandag 22 november;2.019;1.646;0.94
5805;2021 dinsdag 23 november;2.018;1.641;0.944
5806;2021 woensdag 24 november;2.014;1.639;0.945
5807;2021 donderdag 25 november;2.012;1.638;0.95
5808;2021 vrijdag 26 november;2.01;1.637;0.933
5809;2021 zaterdag 27 november;2.004;1.63;0.933
5810;2021 zondag 28 november;2.006;1.631;0.939
5811;2021 maandag 29 november;2.007;1.634;0.938
5812;2021 dinsdag 30 november;2.001;1.629;0.937
5813;2021 woensdag 1 december;1.994;1.622;0.936
5814;2021 donderdag 2 december;1.989;1.615;0.942
5815;2021 vrijdag 3 december;1.981;1.61;0.93
5816;2021 zaterdag 4 december;1.975;1.601;0.946
5817;2021 zondag 5 december;1.974;1.602;0.928
5818;2021 maandag 6 december;1.979;1.607;0.931
5819;2021 dinsdag 7 december;1.977;1.604;0.911
5820;2021 woensdag 8 december;1.974;1.605;0.922
5821;2021 donderdag 9 december;1.976;1.605;0.934
5822;2021 vrijdag 10 december;1.974;1.604;0.924
5823;2021 zaterdag 11 december;1.973;1.601;0.926
5824;2021 zondag 12 december;1.973;1.601;0.928
5825;2021 maandag 13 december;1.975;1.606;0.922
5826;2021 dinsdag 14 december;1.975;1.605;0.922
5827;2021 woensdag 15 december;1.968;1.604;0.934
5828;2021 donderdag 16 december;1.968;1.601;0.941
5829;2021 vrijdag 17 december;1.967;1.601;0.92
5830;2021 zaterdag 18 december;1.959;1.594;0.923
5831;2021 zondag 19 december;1.96;1.596;0.917
5832;2021 maandag 20 december;1.963;1.597;0.938
5833;2021 dinsdag 21 december;1.957;1.593;0.923
5834;2021 woensdag 22 december;1.952;1.588;0.926
5835;2021 donderdag 23 december;1.953;1.589;0.935
5836;2021 vrijdag 24 december;1.954;1.589;0.938
5837;2021 zaterdag 25 december;1.954;1.591;0.95
5838;2021 zondag 26 december;1.956;1.59;0.925
5839;2021 maandag 27 december;1.958;1.595;0.909
5840;2021 dinsdag 28 december;1.958;1.594;0.935
5841;2021 woensdag 29 december;1.961;1.597;0.927
5842;2021 donderdag 30 december;1.97;1.606;0.929
5843;2021 vrijdag 31 december;1.976;1.612;0.934
5844;2022 zaterdag 1 januari;1.974;1.613;0.912
5845;2022 zondag 2 januari;1.975;1.615;0.91
5846;2022 maandag 3 januari;1.976;1.62;0.915
5847;2022 dinsdag 4 januari;1.977;1.62;0.911
5848;2022 woensdag 5 januari;1.977;1.622;0.904
5849;2022 donderdag 6 januari;1.98;1.629;0.906
5850;2022 vrijdag 7 januari;1.98;1.638;0.911
5851;2022 zaterdag 8 januari;1.977;1.638;0.912
5852;2022 zondag 9 januari;1.979;1.64;0.914
5853;2022 maandag 10 januari;1.979;1.645;0.905
5854;2022 dinsdag 11 januari;1.976;1.646;0.91
5855;2022 woensdag 12 januari;1.973;1.644;0.909
5856;2022 donderdag 13 januari;1.978;1.65;0.915
5857;2022 vrijdag 14 januari;1.978;1.657;0.906
5858;2022 zaterdag 15 januari;1.981;1.661;0.908
5859;2022 zondag 16 januari;1.983;1.664;0.911
5860;2022 maandag 17 januari;1.985;1.666;0.904
5861;2022 dinsdag 18 januari;1.994;1.674;0.911
5862;2022 woensdag 19 januari;1.996;1.681;0.917
5863;2022 donderdag 20 januari;2.003;1.692;0.913
5864;2022 vrijdag 21 januari;2.003;1.698;0.909
5865;2022 zaterdag 22 januari;2.001;1.694;0.904
5866;2022 zondag 23 januari;2.002;1.696;0.909
5867;2022 maandag 24 januari;2.002;1.698;0.916
5868;2022 dinsdag 25 januari;2.003;1.698;0.909
