ID;EnterpriseSize;SectorBranchesSIC2008;Periods;TurnoverIndices_1;TurnoverYearOnYearChange_2
6816;10 or more employed persons;42 Civil engineering;2023 October;127.8;12.1
6817;10 or more employed persons;42 Civil engineering;2023 November;130.9;0.9
6818;10 or more employed persons;42 Civil engineering;2023 December;146.2;-1.8
6819;10 or more employed persons;42 Civil engineering;2023 4th quarter;135.0;3.1
6820;10 or more employed persons;42 Civil engineering;2023;110.4;5.4
6821;10 or more employed persons;42 Civil engineering;2024 January;63.3;2.3
6822;10 or more employed persons;42 Civil engineering;2024 February;84.9;-0.5
6823;10 or more employed persons;42 Civil engineering;2024 March;108.5;-2.4
6824;10 or more employed persons;42 Civil engineering;2024 1st quarter;85.6;-0.7
6825;10 or more employed persons;42 Civil engineering;2024 April;112.1;11.1
6826;10 or more employed persons;42 Civil engineering;2024 May;114.7;3.9
6827;10 or more employed persons;42 Civil engineering;2024 June;113.9;-12.2
6828;10 or more employed persons;42 Civil engineering;2024 2nd quarter;113.6;-0.1
6829;10 or more employed persons;42 Civil engineering;2024 July;123.5;2.8
6830;10 or more employed persons;42 Civil engineering;2024 August;90.9;2.5
6831;10 or more employed persons;42 Civil engineering;2024 September;118.4;6.4
6832;10 or more employed persons;42 Civil engineering;2024 3rd quarter;110.9;4.0
6833;10 or more employed persons;42 Civil engineering;2024 October;137.7;7.7
6834;10 or more employed persons;42 Civil engineering;2024 November;138.9;6.1
6835;10 or more employed persons;42 Civil engineering;2024 December;152.5;4.3
6836;10 or more employed persons;42 Civil engineering;2024 4th quarter;143.0;5.9
6837;10 or more employed persons;42 Civil engineering;2024;113.3;2.6
6838;10 or more employed persons;42 Civil engineering;2025 January;74.6;17.9
6839;10 or more employed persons;42 Civil engineering;2025 February;96.0;13.1
6840;10 or more employed persons;421 Construction of roads and railways;2005 January;34.5;10.0
6841;10 or more employed persons;421 Construction of roads and railways;2005 February;48.9;3.6
6842;10 or more employed persons;421 Construction of roads and railways;2005 March;55.3;-0.1
6843;10 or more employed persons;421 Construction of roads and railways;2005 1st quarter;46.2;3.6
6844;10 or more employed persons;421 Construction of roads and railways;2005 April;65.9;9.8
6845;10 or more employed persons;421 Construction of roads and railways;2005 May;68.2;6.6
6846;10 or more employed persons;421 Construction of roads and railways;2005 June;82.7;14.9
6847;10 or more employed persons;421 Construction of roads and railways;2005 2nd quarter;72.3;10.7
6848;10 or more employed persons;421 Construction of roads and railways;2005 July;69.0;17.1
6849;10 or more employed persons;421 Construction of roads and railways;2005 August;61.0;21.8
6850;10 or more employed persons;421 Construction of roads and railways;2005 September;82.8;7.5
6851;10 or more employed persons;421 Construction of roads and railways;2005 3rd quarter;70.9;14.4
6852;10 or more employed persons;421 Construction of roads and railways;2005 October;82.3;4.5
6853;10 or more employed persons;421 Construction of roads and railways;2005 November;89.8;10.4
6854;10 or more employed persons;421 Construction of roads and railways;2005 December;125.5;-2.3
6855;10 or more employed persons;421 Construction of roads and railways;2005 4th quarter;99.2;3.1
6856;10 or more employed persons;421 Construction of roads and railways;2005;72.1;7.6
6857;10 or more employed persons;421 Construction of roads and railways;2006 January;31.5;-8.6
6858;10 or more employed persons;421 Construction of roads and railways;2006 February;52.0;6.3
6859;10 or more employed persons;421 Construction of roads and railways;2006 March;64.2;16.2
6860;10 or more employed persons;421 Construction of roads and railways;2006 1st quarter;49.2;6.5
6861;10 or more employed persons;421 Construction of roads and railways;2006 April;65.7;-0.2
6862;10 or more employed persons;421 Construction of roads and railways;2006 May;81.8;19.9
6863;10 or more employed persons;421 Construction of roads and railways;2006 June;87.8;6.2
6864;10 or more employed persons;421 Construction of roads and railways;2006 2nd quarter;78.4;8.6
6865;10 or more employed persons;421 Construction of roads and railways;2006 July;72.5;4.9
6866;10 or more employed persons;421 Construction of roads and railways;2006 August;71.7;17.6
6867;10 or more employed persons;421 Construction of roads and railways;2006 September;93.8;13.4
6868;10 or more employed persons;421 Construction of roads and railways;2006 3rd quarter;79.3;11.8
6869;10 or more employed persons;421 Construction of roads and railways;2006 October;92.3;12.2
6870;10 or more employed persons;421 Construction of roads and railways;2006 November;100.7;12.1
6871;10 or more employed persons;421 Construction of roads and railways;2006 December;142.6;13.6
6872;10 or more employed persons;421 Construction of roads and railways;2006 4th quarter;111.8;12.8
6873;10 or more employed persons;421 Construction of roads and railways;2006;79.7;10.5
6874;10 or more employed persons;421 Construction of roads and railways;2007 January;39.2;24.3
6875;10 or more employed persons;421 Construction of roads and railways;2007 February;60.4;16.1
6876;10 or more employed persons;421 Construction of roads and railways;2007 March;70.6;10.0
6877;10 or more employed persons;421 Construction of roads and railways;2007 1st quarter;56.7;15.2
6878;10 or more employed persons;421 Construction of roads and railways;2007 April;69.4;5.5
6879;10 or more employed persons;421 Construction of roads and railways;2007 May;86.3;5.5
6880;10 or more employed persons;421 Construction of roads and railways;2007 June;91.4;4.1
6881;10 or more employed persons;421 Construction of roads and railways;2007 2nd quarter;82.4;5.0
6882;10 or more employed persons;421 Construction of roads and railways;2007 July;69.9;-3.5
6883;10 or more employed persons;421 Construction of roads and railways;2007 August;79.7;11.1
6884;10 or more employed persons;421 Construction of roads and railways;2007 September;89.8;-4.3
6885;10 or more employed persons;421 Construction of roads and railways;2007 3rd quarter;79.8;0.6
6886;10 or more employed persons;421 Construction of roads and railways;2007 October;97.1;5.2
6887;10 or more employed persons;421 Construction of roads and railways;2007 November;99.4;-1.3
6888;10 or more employed persons;421 Construction of roads and railways;2007 December;146.8;3.0
6889;10 or more employed persons;421 Construction of roads and railways;2007 4th quarter;114.4;2.3
6890;10 or more employed persons;421 Construction of roads and railways;2007;83.3;4.5
6891;10 or more employed persons;421 Construction of roads and railways;2008 January;39.5;1.0
6892;10 or more employed persons;421 Construction of roads and railways;2008 February;64.0;6.0
6893;10 or more employed persons;421 Construction of roads and railways;2008 March;75.2;6.5
6894;10 or more employed persons;421 Construction of roads and railways;2008 1st quarter;59.6;5.1
6895;10 or more employed persons;421 Construction of roads and railways;2008 April;82.7;19.3
6896;10 or more employed persons;421 Construction of roads and railways;2008 May;85.8;-0.6
6897;10 or more employed persons;421 Construction of roads and railways;2008 June;99.3;8.6
6898;10 or more employed persons;421 Construction of roads and railways;2008 2nd quarter;89.3;8.4
6899;10 or more employed persons;421 Construction of roads and railways;2008 July;74.6;6.7
6900;10 or more employed persons;421 Construction of roads and railways;2008 August;84.2;5.7
6901;10 or more employed persons;421 Construction of roads and railways;2008 September;97.0;8.1
6902;10 or more employed persons;421 Construction of roads and railways;2008 3rd quarter;85.2;6.9
6903;10 or more employed persons;421 Construction of roads and railways;2008 October;98.4;1.3
6904;10 or more employed persons;421 Construction of roads and railways;2008 November;96.0;-3.4
6905;10 or more employed persons;421 Construction of roads and railways;2008 December;144.3;-1.7
6906;10 or more employed persons;421 Construction of roads and railways;2008 4th quarter;112.9;-1.4
6907;10 or more employed persons;421 Construction of roads and railways;2008;86.7;4.1
6908;10 or more employed persons;421 Construction of roads and railways;2009 January;39.1;-1.1
6909;10 or more employed persons;421 Construction of roads and railways;2009 February;55.8;-12.9
6910;10 or more employed persons;421 Construction of roads and railways;2009 March;84.6;12.5
6911;10 or more employed persons;421 Construction of roads and railways;2009 1st quarter;59.8;0.4
6912;10 or more employed persons;421 Construction of roads and railways;2009 April;86.5;4.6
6913;10 or more employed persons;421 Construction of roads and railways;2009 May;84.9;-1.0
6914;10 or more employed persons;421 Construction of roads and railways;2009 June;90.8;-8.5
6915;10 or more employed persons;421 Construction of roads and railways;2009 2nd quarter;87.4;-2.1
6916;10 or more employed persons;421 Construction of roads and railways;2009 July;80.7;8.2
6917;10 or more employed persons;421 Construction of roads and railways;2009 August;84.8;0.7
6918;10 or more employed persons;421 Construction of roads and railways;2009 September;97.0;-0.1
6919;10 or more employed persons;421 Construction of roads and railways;2009 3rd quarter;87.5;2.6
6920;10 or more employed persons;421 Construction of roads and railways;2009 October;101.6;3.3
6921;10 or more employed persons;421 Construction of roads and railways;2009 November;95.1;-0.9
6922;10 or more employed persons;421 Construction of roads and railways;2009 December;132.6;-8.1
6923;10 or more employed persons;421 Construction of roads and railways;2009 4th quarter;109.8;-2.7
6924;10 or more employed persons;421 Construction of roads and railways;2009;86.1;-0.7
6925;10 or more employed persons;421 Construction of roads and railways;2010 January;40.0;2.4
6926;10 or more employed persons;421 Construction of roads and railways;2010 February;48.9;-12.4
6927;10 or more employed persons;421 Construction of roads and railways;2010 March;63.2;-25.3
6928;10 or more employed persons;421 Construction of roads and railways;2010 1st quarter;50.7;-15.2
6929;10 or more employed persons;421 Construction of roads and railways;2010 April;81.4;-6.0
6930;10 or more employed persons;421 Construction of roads and railways;2010 May;78.5;-7.5
6931;10 or more employed persons;421 Construction of roads and railways;2010 June;96.7;6.4
6932;10 or more employed persons;421 Construction of roads and railways;2010 2nd quarter;85.5;-2.2
6933;10 or more employed persons;421 Construction of roads and railways;2010 July;93.8;16.2
6934;10 or more employed persons;421 Construction of roads and railways;2010 August;61.9;-27.0
6935;10 or more employed persons;421 Construction of roads and railways;2010 September;86.6;-10.7
6936;10 or more employed persons;421 Construction of roads and railways;2010 3rd quarter;80.7;-7.7
6937;10 or more employed persons;421 Construction of roads and railways;2010 October;95.4;-6.1
6938;10 or more employed persons;421 Construction of roads and railways;2010 November;105.4;10.8
6939;10 or more employed persons;421 Construction of roads and railways;2010 December;126.4;-4.7
6940;10 or more employed persons;421 Construction of roads and railways;2010 4th quarter;109.1;-0.7
6941;10 or more employed persons;421 Construction of roads and railways;2010;81.5;-5.4
6942;10 or more employed persons;421 Construction of roads and railways;2011 January;39.9;-0.3
6943;10 or more employed persons;421 Construction of roads and railways;2011 February;58.9;20.6
6944;10 or more employed persons;421 Construction of roads and railways;2011 March;82.1;29.9
6945;10 or more employed persons;421 Construction of roads and railways;2011 1st quarter;60.3;19.0
6946;10 or more employed persons;421 Construction of roads and railways;2011 April;84.3;3.7
6947;10 or more employed persons;421 Construction of roads and railways;2011 May;102.2;30.2
6948;10 or more employed persons;421 Construction of roads and railways;2011 June;89.2;-7.7
6949;10 or more employed persons;421 Construction of roads and railways;2011 2nd quarter;91.9;7.5
6950;10 or more employed persons;421 Construction of roads and railways;2011 July;89.9;-4.2
6951;10 or more employed persons;421 Construction of roads and railways;2011 August;68.7;11.0
6952;10 or more employed persons;421 Construction of roads and railways;2011 September;103.5;19.6
6953;10 or more employed persons;421 Construction of roads and railways;2011 3rd quarter;87.4;8.2
6954;10 or more employed persons;421 Construction of roads and railways;2011 October;103.2;8.2
6955;10 or more employed persons;421 Construction of roads and railways;2011 November;117.0;10.9
6956;10 or more employed persons;421 Construction of roads and railways;2011 December;143.4;13.4
6957;10 or more employed persons;421 Construction of roads and railways;2011 4th quarter;121.2;11.1
6958;10 or more employed persons;421 Construction of roads and railways;2011;90.2;10.7
6959;10 or more employed persons;421 Construction of roads and railways;2012 January;42.4;6.3
6960;10 or more employed persons;421 Construction of roads and railways;2012 February;60.6;2.9
6961;10 or more employed persons;421 Construction of roads and railways;2012 March;85.2;3.7
6962;10 or more employed persons;421 Construction of roads and railways;2012 1st quarter;62.7;4.0
6963;10 or more employed persons;421 Construction of roads and railways;2012 April;87.5;3.7
6964;10 or more employed persons;421 Construction of roads and railways;2012 May;92.2;-9.8
6965;10 or more employed persons;421 Construction of roads and railways;2012 June;97.4;9.2
6966;10 or more employed persons;421 Construction of roads and railways;2012 2nd quarter;92.4;0.5
6967;10 or more employed persons;421 Construction of roads and railways;2012 July;85.5;-4.8
6968;10 or more employed persons;421 Construction of roads and railways;2012 August;65.9;-4.1
6969;10 or more employed persons;421 Construction of roads and railways;2012 September;112.6;8.8
6970;10 or more employed persons;421 Construction of roads and railways;2012 3rd quarter;88.0;0.8
6971;10 or more employed persons;421 Construction of roads and railways;2012 October;103.7;0.5
6972;10 or more employed persons;421 Construction of roads and railways;2012 November;121.5;3.9
6973;10 or more employed persons;421 Construction of roads and railways;2012 December;129.1;-9.9
6974;10 or more employed persons;421 Construction of roads and railways;2012 4th quarter;118.1;-2.5
6975;10 or more employed persons;421 Construction of roads and railways;2012;90.3;0.1
6976;10 or more employed persons;421 Construction of roads and railways;2013 January;52.0;22.6
6977;10 or more employed persons;421 Construction of roads and railways;2013 February;51.6;-14.9
6978;10 or more employed persons;421 Construction of roads and railways;2013 March;77.8;-8.6
6979;10 or more employed persons;421 Construction of roads and railways;2013 1st quarter;60.5;-3.6
6980;10 or more employed persons;421 Construction of roads and railways;2013 April;81.7;-6.6
6981;10 or more employed persons;421 Construction of roads and railways;2013 May;90.6;-1.7
6982;10 or more employed persons;421 Construction of roads and railways;2013 June;94.7;-2.8
6983;10 or more employed persons;421 Construction of roads and railways;2013 2nd quarter;89.0;-3.6
6984;10 or more employed persons;421 Construction of roads and railways;2013 July;83.7;-2.1
6985;10 or more employed persons;421 Construction of roads and railways;2013 August;65.6;-0.5
6986;10 or more employed persons;421 Construction of roads and railways;2013 September;104.6;-7.2
6987;10 or more employed persons;421 Construction of roads and railways;2013 3rd quarter;84.6;-3.9
6988;10 or more employed persons;421 Construction of roads and railways;2013 October;100.5;-3.1
6989;10 or more employed persons;421 Construction of roads and railways;2013 November;107.5;-11.5
6990;10 or more employed persons;421 Construction of roads and railways;2013 December;114.0;-11.7
6991;10 or more employed persons;421 Construction of roads and railways;2013 4th quarter;107.3;-9.1
6992;10 or more employed persons;421 Construction of roads and railways;2013;85.4;-5.5
6993;10 or more employed persons;421 Construction of roads and railways;2014 January;43.9;-15.7
6994;10 or more employed persons;421 Construction of roads and railways;2014 February;56.8;10.0
6995;10 or more employed persons;421 Construction of roads and railways;2014 March;71.9;-7.7
6996;10 or more employed persons;421 Construction of roads and railways;2014 1st quarter;57.5;-4.9
6997;10 or more employed persons;421 Construction of roads and railways;2014 April;78.4;-4.0
6998;10 or more employed persons;421 Construction of roads and railways;2014 May;85.6;-5.5
6999;10 or more employed persons;421 Construction of roads and railways;2014 June;86.0;-9.2
7000;10 or more employed persons;421 Construction of roads and railways;2014 2nd quarter;83.4;-6.3
7001;10 or more employed persons;421 Construction of roads and railways;2014 July;83.2;-0.6
7002;10 or more employed persons;421 Construction of roads and railways;2014 August;64.6;-1.5
7003;10 or more employed persons;421 Construction of roads and railways;2014 September;99.2;-5.1
7004;10 or more employed persons;421 Construction of roads and railways;2014 3rd quarter;82.3;-2.7
7005;10 or more employed persons;421 Construction of roads and railways;2014 October;96.6;-3.8
7006;10 or more employed persons;421 Construction of roads and railways;2014 November;100.5;-6.5
7007;10 or more employed persons;421 Construction of roads and railways;2014 December;126.2;10.7
7008;10 or more employed persons;421 Construction of roads and railways;2014 4th quarter;107.8;0.4
7009;10 or more employed persons;421 Construction of roads and railways;2014;82.8;-3.1
7010;10 or more employed persons;421 Construction of roads and railways;2015 January;44.7;1.8
7011;10 or more employed persons;421 Construction of roads and railways;2015 February;51.2;-9.8
7012;10 or more employed persons;421 Construction of roads and railways;2015 March;72.9;1.4
7013;10 or more employed persons;421 Construction of roads and railways;2015 1st quarter;56.3;-2.2
7014;10 or more employed persons;421 Construction of roads and railways;2015 April;70.9;-9.6
7015;10 or more employed persons;421 Construction of roads and railways;2015 May;75.0;-12.4
7016;10 or more employed persons;421 Construction of roads and railways;2015 June;92.6;7.7
7017;10 or more employed persons;421 Construction of roads and railways;2015 2nd quarter;79.5;-4.6
7018;10 or more employed persons;421 Construction of roads and railways;2015 July;87.0;4.6
7019;10 or more employed persons;421 Construction of roads and railways;2015 August;86.2;33.5
7020;10 or more employed persons;421 Construction of roads and railways;2015 September;96.6;-2.7
7021;10 or more employed persons;421 Construction of roads and railways;2015 3rd quarter;90.0;9.2
7022;10 or more employed persons;421 Construction of roads and railways;2015 October;107.0;10.7
7023;10 or more employed persons;421 Construction of roads and railways;2015 November;110.5;9.9
7024;10 or more employed persons;421 Construction of roads and railways;2015 December;119.3;-5.5
7025;10 or more employed persons;421 Construction of roads and railways;2015 4th quarter;112.3;4.1
7026;10 or more employed persons;421 Construction of roads and railways;2015;84.5;2.1
7027;10 or more employed persons;421 Construction of roads and railways;2016 January;42.5;-5.0
7028;10 or more employed persons;421 Construction of roads and railways;2016 February;58.9;15.0
7029;10 or more employed persons;421 Construction of roads and railways;2016 March;76.1;4.4
7030;10 or more employed persons;421 Construction of roads and railways;2016 1st quarter;59.2;5.1
7031;10 or more employed persons;421 Construction of roads and railways;2016 April;78.1;10.2
7032;10 or more employed persons;421 Construction of roads and railways;2016 May;77.2;2.9
7033;10 or more employed persons;421 Construction of roads and railways;2016 June;92.2;-0.5
7034;10 or more employed persons;421 Construction of roads and railways;2016 2nd quarter;82.5;3.8
7035;10 or more employed persons;421 Construction of roads and railways;2016 July;87.6;0.6
7036;10 or more employed persons;421 Construction of roads and railways;2016 August;71.6;-17.0
7037;10 or more employed persons;421 Construction of roads and railways;2016 September;90.7;-6.1
7038;10 or more employed persons;421 Construction of roads and railways;2016 3rd quarter;83.3;-7.4
7039;10 or more employed persons;421 Construction of roads and railways;2016 October;103.3;-3.5
7040;10 or more employed persons;421 Construction of roads and railways;2016 November;105.3;-4.6
7041;10 or more employed persons;421 Construction of roads and railways;2016 December;135.3;13.4
7042;10 or more employed persons;421 Construction of roads and railways;2016 4th quarter;114.6;2.1
7043;10 or more employed persons;421 Construction of roads and railways;2016;84.9;0.5
7044;10 or more employed persons;421 Construction of roads and railways;2017 January;44.1;3.8
7045;10 or more employed persons;421 Construction of roads and railways;2017 February;56.5;-4.0
7046;10 or more employed persons;421 Construction of roads and railways;2017 March;88.1;15.8
7047;10 or more employed persons;421 Construction of roads and railways;2017 1st quarter;62.9;6.4
7048;10 or more employed persons;421 Construction of roads and railways;2017 April;82.0;5.0
7049;10 or more employed persons;421 Construction of roads and railways;2017 May;94.5;22.4
7050;10 or more employed persons;421 Construction of roads and railways;2017 June;103.7;12.4
7051;10 or more employed persons;421 Construction of roads and railways;2017 2nd quarter;93.4;13.2
7052;10 or more employed persons;421 Construction of roads and railways;2017 July;101.9;16.3
7053;10 or more employed persons;421 Construction of roads and railways;2017 August;77.9;8.8
7054;10 or more employed persons;421 Construction of roads and railways;2017 September;104.2;14.9
7055;10 or more employed persons;421 Construction of roads and railways;2017 3rd quarter;94.6;13.6
7056;10 or more employed persons;421 Construction of roads and railways;2017 October;112.6;9.0
7057;10 or more employed persons;421 Construction of roads and railways;2017 November;114.5;8.7
7058;10 or more employed persons;421 Construction of roads and railways;2017 December;145.6;7.6
7059;10 or more employed persons;421 Construction of roads and railways;2017 4th quarter;124.2;8.4
7060;10 or more employed persons;421 Construction of roads and railways;2017;93.8;10.5
7061;10 or more employed persons;421 Construction of roads and railways;2018 January;53.7;21.8
7062;10 or more employed persons;421 Construction of roads and railways;2018 February;65.3;15.5
7063;10 or more employed persons;421 Construction of roads and railways;2018 March;87.1;-1.1
7064;10 or more employed persons;421 Construction of roads and railways;2018 1st quarter;68.7;9.2
7065;10 or more employed persons;421 Construction of roads and railways;2018 April;92.9;13.3
7066;10 or more employed persons;421 Construction of roads and railways;2018 May;101.0;6.8
7067;10 or more employed persons;421 Construction of roads and railways;2018 June;106.1;2.4
7068;10 or more employed persons;421 Construction of roads and railways;2018 2nd quarter;100.0;7.1
7069;10 or more employed persons;421 Construction of roads and railways;2018 July;103.4;1.4
7070;10 or more employed persons;421 Construction of roads and railways;2018 August;82.0;5.3
7071;10 or more employed persons;421 Construction of roads and railways;2018 September;102.0;-2.1
7072;10 or more employed persons;421 Construction of roads and railways;2018 3rd quarter;95.8;1.2
7073;10 or more employed persons;421 Construction of roads and railways;2018 October;116.0;3.0
7074;10 or more employed persons;421 Construction of roads and railways;2018 November;120.1;4.9
7075;10 or more employed persons;421 Construction of roads and railways;2018 December;136.2;-6.4
7076;10 or more employed persons;421 Construction of roads and railways;2018 4th quarter;124.1;-0.1
7077;10 or more employed persons;421 Construction of roads and railways;2018;97.1;3.6
7078;10 or more employed persons;421 Construction of roads and railways;2019 January;57.2;6.5
7079;10 or more employed persons;421 Construction of roads and railways;2019 February;70.3;7.7
7080;10 or more employed persons;421 Construction of roads and railways;2019 March;94.5;8.4
7081;10 or more employed persons;421 Construction of roads and railways;2019 1st quarter;74.0;7.7
7082;10 or more employed persons;421 Construction of roads and railways;2019 April;96.4;3.8
7083;10 or more employed persons;421 Construction of roads and railways;2019 May;104.3;3.3
7084;10 or more employed persons;421 Construction of roads and railways;2019 June;98.8;-6.8
7085;10 or more employed persons;421 Construction of roads and railways;2019 2nd quarter;99.8;-0.2
7086;10 or more employed persons;421 Construction of roads and railways;2019 July;110.6;7.0
7087;10 or more employed persons;421 Construction of roads and railways;2019 August;79.3;-3.2
7088;10 or more employed persons;421 Construction of roads and railways;2019 September;104.4;2.4
7089;10 or more employed persons;421 Construction of roads and railways;2019 3rd quarter;98.1;2.5
7090;10 or more employed persons;421 Construction of roads and railways;2019 October;118.5;2.2
7091;10 or more employed persons;421 Construction of roads and railways;2019 November;116.4;-3.1
7092;10 or more employed persons;421 Construction of roads and railways;2019 December;134.6;-1.2
7093;10 or more employed persons;421 Construction of roads and railways;2019 4th quarter;123.2;-0.7
7094;10 or more employed persons;421 Construction of roads and railways;2019;98.8;1.7
7095;10 or more employed persons;421 Construction of roads and railways;2020 January;56.5;-1.2
7096;10 or more employed persons;421 Construction of roads and railways;2020 February;70.7;0.4
7097;10 or more employed persons;421 Construction of roads and railways;2020 March;94.2;-0.3
7098;10 or more employed persons;421 Construction of roads and railways;2020 1st quarter;73.8;-0.3
7099;10 or more employed persons;421 Construction of roads and railways;2020 April;97.6;1.2
7100;10 or more employed persons;421 Construction of roads and railways;2020 May;94.6;-9.2
7101;10 or more employed persons;421 Construction of roads and railways;2020 June;109.0;10.3
7102;10 or more employed persons;421 Construction of roads and railways;2020 2nd quarter;100.4;0.6
7103;10 or more employed persons;421 Construction of roads and railways;2020 July;105.5;-4.6
7104;10 or more employed persons;421 Construction of roads and railways;2020 August;80.8;1.9
7105;10 or more employed persons;421 Construction of roads and railways;2020 September;108.2;3.6
7106;10 or more employed persons;421 Construction of roads and railways;2020 3rd quarter;98.2;0.1
7107;10 or more employed persons;421 Construction of roads and railways;2020 October;112.8;-4.8
7108;10 or more employed persons;421 Construction of roads and railways;2020 November;113.6;-2.4
7109;10 or more employed persons;421 Construction of roads and railways;2020 December;122.2;-9.2
7110;10 or more employed persons;421 Construction of roads and railways;2020 4th quarter;116.2;-5.6
7111;10 or more employed persons;421 Construction of roads and railways;2020;97.2;-1.7
7112;10 or more employed persons;421 Construction of roads and railways;2021 January;56.4;-0.3
7113;10 or more employed persons;421 Construction of roads and railways;2021 February;70.4;-0.4
7114;10 or more employed persons;421 Construction of roads and railways;2021 March;103.1;9.5
7115;10 or more employed persons;421 Construction of roads and railways;2021 1st quarter;76.6;3.8
7116;10 or more employed persons;421 Construction of roads and railways;2021 April;98.8;1.2
7117;10 or more employed persons;421 Construction of roads and railways;2021 May;95.0;0.4
7118;10 or more employed persons;421 Construction of roads and railways;2021 June;110.2;1.1
7119;10 or more employed persons;421 Construction of roads and railways;2021 2nd quarter;101.4;0.9
7120;10 or more employed persons;421 Construction of roads and railways;2021 July;114.2;8.2
7121;10 or more employed persons;421 Construction of roads and railways;2021 August;69.7;-13.8
7122;10 or more employed persons;421 Construction of roads and railways;2021 September;97.3;-10.1
7123;10 or more employed persons;421 Construction of roads and railways;2021 3rd quarter;93.7;-4.6
7124;10 or more employed persons;421 Construction of roads and railways;2021 October;109.0;-3.4
7125;10 or more employed persons;421 Construction of roads and railways;2021 November;123.7;8.9
7126;10 or more employed persons;421 Construction of roads and railways;2021 December;152.2;24.5
7127;10 or more employed persons;421 Construction of roads and railways;2021 4th quarter;128.3;10.4
7128;10 or more employed persons;421 Construction of roads and railways;2021;100.0;2.9
7129;10 or more employed persons;421 Construction of roads and railways;2022 January;51.4;-8.7
7130;10 or more employed persons;421 Construction of roads and railways;2022 February;79.7;13.2
7131;10 or more employed persons;421 Construction of roads and railways;2022 March;107.6;4.3
7132;10 or more employed persons;421 Construction of roads and railways;2022 1st quarter;79.6;3.8
7133;10 or more employed persons;421 Construction of roads and railways;2022 April;94.1;-4.7
7134;10 or more employed persons;421 Construction of roads and railways;2022 May;110.4;16.2
7135;10 or more employed persons;421 Construction of roads and railways;2022 June;115.5;4.8
7136;10 or more employed persons;421 Construction of roads and railways;2022 2nd quarter;106.7;5.3
7137;10 or more employed persons;421 Construction of roads and railways;2022 July;111.3;-2.5
7138;10 or more employed persons;421 Construction of roads and railways;2022 August;76.8;10.3
7139;10 or more employed persons;421 Construction of roads and railways;2022 September;104.1;7.0
7140;10 or more employed persons;421 Construction of roads and railways;2022 3rd quarter;97.4;4.0
7141;10 or more employed persons;421 Construction of roads and railways;2022 October;116.7;7.0
7142;10 or more employed persons;421 Construction of roads and railways;2022 November;133.3;7.7
7143;10 or more employed persons;421 Construction of roads and railways;2022 December;161.2;5.9
7144;10 or more employed persons;421 Construction of roads and railways;2022 4th quarter;137.1;6.8
7145;10 or more employed persons;421 Construction of roads and railways;2022;105.2;5.2
7146;10 or more employed persons;421 Construction of roads and railways;2023 January;55.7;8.2
7147;10 or more employed persons;421 Construction of roads and railways;2023 February;83.5;4.8
7148;10 or more employed persons;421 Construction of roads and railways;2023 March;116.8;8.6
7149;10 or more employed persons;421 Construction of roads and railways;2023 1st quarter;85.3;7.2
7150;10 or more employed persons;421 Construction of roads and railways;2023 April;103.1;9.5
7151;10 or more employed persons;421 Construction of roads and railways;2023 May;113.5;2.8
7152;10 or more employed persons;421 Construction of roads and railways;2023 June;132.0;14.3
7153;10 or more employed persons;421 Construction of roads and railways;2023 2nd quarter;116.2;8.9
7154;10 or more employed persons;421 Construction of roads and railways;2023 July;123.0;10.5
7155;10 or more employed persons;421 Construction of roads and railways;2023 August;91.5;19.1
7156;10 or more employed persons;421 Construction of roads and railways;2023 September;118.5;13.8
7157;10 or more employed persons;421 Construction of roads and railways;2023 3rd quarter;111.0;13.9
7158;10 or more employed persons;421 Construction of roads and railways;2023 October;131.6;12.8
7159;10 or more employed persons;421 Construction of roads and railways;2023 November;134.3;0.8
7160;10 or more employed persons;421 Construction of roads and railways;2023 December;156.6;-2.9
7161;10 or more employed persons;421 Construction of roads and railways;2023 4th quarter;140.8;2.7
7162;10 or more employed persons;421 Construction of roads and railways;2023;113.3;7.8
7163;10 or more employed persons;421 Construction of roads and railways;2024 January;62.3;12.0
7164;10 or more employed persons;421 Construction of roads and railways;2024 February;87.6;4.9
7165;10 or more employed persons;421 Construction of roads and railways;2024 March;120.8;3.4
7166;10 or more employed persons;421 Construction of roads and railways;2024 1st quarter;90.3;5.8
7167;10 or more employed persons;421 Construction of roads and railways;2024 April;122.7;19.0
7168;10 or more employed persons;421 Construction of roads and railways;2024 May;125.5;10.6
7169;10 or more employed persons;421 Construction of roads and railways;2024 June;125.2;-5.1
7170;10 or more employed persons;421 Construction of roads and railways;2024 2nd quarter;124.5;7.1
7171;10 or more employed persons;421 Construction of roads and railways;2024 July;130.5;6.0
7172;10 or more employed persons;421 Construction of roads and railways;2024 August;99.0;8.2
7173;10 or more employed persons;421 Construction of roads and railways;2024 September;125.7;6.1
7174;10 or more employed persons;421 Construction of roads and railways;2024 3rd quarter;118.4;6.7
7175;10 or more employed persons;421 Construction of roads and railways;2024 October;146.5;11.3
7176;10 or more employed persons;421 Construction of roads and railways;2024 November;151.1;12.5
7177;10 or more employed persons;421 Construction of roads and railways;2024 December;166.0;6.0
7178;10 or more employed persons;421 Construction of roads and railways;2024 4th quarter;154.5;9.7
7179;10 or more employed persons;421 Construction of roads and railways;2024;121.9;7.6
7180;10 or more employed persons;421 Construction of roads and railways;2025 January;73.6;18.1
7181;10 or more employed persons;421 Construction of roads and railways;2025 February;100.8;15.0
