ID;KenmerkenVanHuishoudens;Perioden;AantalHuishoudensMetLaagInkomen_1;PercentageVanHetTotaal_2;GemiddeldeGrootteMetLaagInkomen_3;AantalHuishMetLangdurigLaagInkomen_4;PercentageVanHuishMetLaagInkomen_5;PercentageVanHetTotaal_6;GemGrootteMetLangdurigLaagInkomen_7;AantalHuishMetSociaalMinimum_8;PercentageVanHetTotaal_9;GemiddeldeGrootteMetSociaalMinimum_10;AantalHuishMetLangdurigSocMinimum_11;PercentageVanHuishMetSocMinimum_12;PercentageVanHetTotaal_13;GemGrootteMetLangdurigSocMinimum_14;TotaalAantalParticuliereHuishoudens_15;GemiddeldeHuishoudensgrootte_16;AantalHuishoudensMetHeleJaarInkomen_17;NietIngedeeldeHuishoudens_18
325;Inkomensbron: pensioen;1996;313;19.8;1.2;200.0;63.8;12.6;1.2;173;10.9;1.3;99.0;57.2;6.2;1.2;1591;1.5;1581;10
326;Inkomensbron: pensioen;1997;297;18.4;1.2;204.0;68.8;12.7;1.2;169;10.5;1.3;98.0;58.3;6.1;1.2;1618;1.5;1609;9
327;Inkomensbron: pensioen;1998;245;15.2;1.2;172.0;70.0;10.6;1.2;169;10.5;1.3;101.0;59.8;6.3;1.2;1624;1.5;1615;9
328;Inkomensbron: pensioen;1999;251;15.5;1.2;164.0;65.2;10.1;1.2;187;11.5;1.3;103.0;55.2;6.4;1.2;1635;1.5;1625;10
329;Inkomensbron: pensioen;2000;221;13.4;1.2;148.0;66.7;8.9;1.2;172;10.4;1.3;100.0;57.9;6.0;1.2;1666;1.5;1657;9
330;Inkomensbron: uitkering;1990;377;55.3;2.1;;;;;317;46.6;2.1;;;;;910;2.0;682;228
331;Inkomensbron: uitkering;1991;391;55.5;2.1;;;;;333;47.3;2.1;;;;;924;2.0;705;219
332;Inkomensbron: uitkering;1992;389;54.2;2.2;165.0;42.4;23.0;2.1;329;45.9;2.1;124.0;37.8;17.3;2.0;944;2.0;718;226
333;Inkomensbron: uitkering;1993;405;54.5;2.2;173.0;42.8;23.3;2.1;330;44.4;2.1;130.0;39.5;17.5;2.0;985;2.0;744;241
334;Inkomensbron: uitkering;1994;438;56.1;2.2;181.0;41.4;23.2;2.2;349;44.7;2.1;134.0;38.3;17.1;2.0;1017;2.0;780;237
335;Inkomensbron: uitkering;1995;443;57.4;2.1;188.0;42.5;24.4;2.2;361;46.7;2.1;140.0;38.8;18.1;2.0;997;2.0;773;224
336;Inkomensbron: uitkering;1996;429;56.9;2.1;188.0;43.9;25.0;2.2;346;46.0;2.1;132.0;38.2;17.5;2.0;941;2.0;753;188
337;Inkomensbron: uitkering;1997;416;56.6;2.1;193.0;46.3;26.2;2.1;335;45.5;2.0;134.0;40.1;18.2;2.0;891;2.0;736;155
338;Inkomensbron: uitkering;1998;390;56.6;2.0;183.0;46.9;26.5;2.1;323;46.8;2.0;130.0;40.2;18.8;2.0;838;1.9;689;149
339;Inkomensbron: uitkering;1999;357;55.7;2.0;169.0;47.5;26.5;2.0;294;45.9;2.0;118.0;40.2;18.5;1.9;790;1.9;640;150
340;Inkomensbron: uitkering;2000;330;52.4;2.0;159.0;48.3;25.3;1.9;274;43.6;2.0;112.0;40.9;17.8;1.8;761;1.9;629;132
341;Inkomensbron: overige inkomsten;1990;12;15.5;1.9;;;;;11;13.8;1.9;;;;;101;2.7;80;21
342;Inkomensbron: overige inkomsten;1991;11;14.3;2.3;;;;;9;11.7;2.4;;;;;95;2.8;79;16
343;Inkomensbron: overige inkomsten;1992;12;15.1;2.4;2.0;12.9;2.0;1.7;11;14.3;2.3;1.0;9.9;1.4;2.0;92;2.8;78;14
344;Inkomensbron: overige inkomsten;1993;18;18.8;2.2;2.0;12.8;2.4;1.9;16;16.8;2.2;2.0;10.0;1.7;2.0;104;2.7;97;7
345;Inkomensbron: overige inkomsten;1994;16;16.9;2.2;2.0;14.7;2.5;2.1;14;14.7;2.2;1.0;10.4;1.5;2.1;104;2.7;96;8
346;Inkomensbron: overige inkomsten;1995;11;10.4;2.6;1.0;11.6;1.2;2.5;8;7.9;2.3;1.0;;;;129;2.7;105;24
347;Inkomensbron: overige inkomsten;1996;14;11.5;2.4;3.0;19.1;2.2;2.2;11;9.2;2.4;1.0;11.2;1.0;2.6;140;2.7;118;22
348;Inkomensbron: overige inkomsten;1997;15;11.5;2.7;1.0;10.0;1.2;3.2;12;9.4;2.5;1.0;9.1;0.9;3.0;151;2.7;128;23
349;Inkomensbron: overige inkomsten;1998;12;9.9;2.7;1.0;11.9;1.2;2.9;10;8.2;2.6;1.0;;;;142;2.8;124;18
350;Inkomensbron: overige inkomsten;1999;14;10.5;2.6;1.0;8.2;0.9;2.7;11;8.5;2.4;1.0;;;;157;2.7;133;24
351;Inkomensbron: overige inkomsten;2000;14;10.8;2.5;1.0;;;;12;9.6;2.4;0.0;;;;154;2.7;128;26
352;1;1990;41;18.9;2.0;;;;;27;12.6;1.9;;;;;245;2.2;215;30
353;1;1991;43;19.8;1.9;;;;;29;13.3;1.8;;;;;246;2.2;217;29
354;1;1992;40;18.1;1.9;18.0;46.1;8.3;1.6;27;12.3;2.0;10.0;37.7;4.6;1.6;250;2.2;220;30
355;1;1993;39;17.9;1.9;19.0;47.7;8.5;1.8;27;12.2;1.8;11.0;41.0;5.0;1.7;252;2.2;219;33
356;1;1994;44;19.7;1.8;20.0;44.8;8.8;1.8;30;13.2;1.8;12.0;39.4;5.2;1.7;254;2.1;226;28
357;1;1995;41;18.1;1.9;19.0;45.3;8.2;1.8;28;12.3;1.9;11.0;40.4;5.0;1.8;257;2.1;227;30
358;1;1996;43;19.3;1.8;21.0;47.8;9.2;1.7;27;12.2;1.8;10.0;35.5;4.3;1.7;257;2.1;225;32
359;1;1997;46;19.6;1.7;21.0;44.9;8.8;1.6;29;12.5;1.7;11.0;38.5;4.8;1.7;260;2.1;233;27
360;1;1998;40;17.1;1.8;18.0;45.9;7.8;1.6;28;12.1;1.6;12.0;41.0;4.9;1.6;259;2.1;233;26
361;1;1999;37;15.9;1.8;18.0;48.7;7.7;1.6;28;11.7;1.7;12.0;42.5;5.0;1.6;261;2.1;235;26
362;1;2000;34;14.3;1.8;17.0;49.2;7.1;1.5;26;10.9;1.8;11.0;42.9;4.7;1.5;264;2.1;236;28
363;2;1990;38;16.8;2.2;;;;;23;10.4;2.0;;;;;239;2.5;225;14
364;2;1991;39;17.2;2.2;;;;;26;11.3;2.1;;;;;242;2.4;226;16
365;2;1992;38;16.6;2.2;17.0;44.5;7.4;2.1;24;10.5;2.1;9.0;38.5;4.1;1.9;242;2.4;226;16
366;2;1993;39;16.8;2.2;15.0;39.8;6.7;2.0;24;10.4;2.2;9.0;37.1;3.9;1.8;246;2.4;231;15
367;2;1994;40;16.9;2.1;16.0;39.1;6.6;2.0;25;10.6;2.1;10.0;38.5;4.1;1.9;247;2.4;235;12
368;2;1995;39;16.2;2.1;16.0;42.2;6.8;1.9;24;10.0;2.0;8.0;35.0;3.5;1.9;254;2.4;239;15
369;2;1996;40;16.5;2.1;17.0;43.8;7.2;1.9;24;10.1;2.1;8.0;32.6;3.3;1.8;255;2.4;240;15
370;2;1997;41;16.8;2.2;19.0;46.4;7.8;1.8;26;10.6;2.2;9.0;34.3;3.6;1.7;258;2.4;245;13
371;2;1998;35;14.1;2.1;16.0;46.6;6.6;1.8;25;10.0;2.0;9.0;37.3;3.8;1.7;263;2.3;248;15
372;2;1999;37;14.6;2.1;15.0;39.7;5.8;2.0;26;10.3;1.9;7.0;28.9;3.0;1.9;265;2.3;250;15
373;2;2000;32;12.5;2.1;13.0;40.8;5.1;2.1;24;9.5;2.0;7.0;30.6;2.9;1.9;270;2.3;255;15
374;3;1990;25;15.0;2.1;;;;;16;9.7;2.0;;;;;171;2.5;165;6
375;3;1991;22;13.1;2.1;;;;;15;8.6;2.0;;;;;174;2.5;169;5
376;3;1992;24;14.3;2.0;11.0;45.7;6.5;1.8;15;8.7;2.0;6.0;41.8;3.7;1.6;177;2.5;170;7
377;3;1993;25;14.2;2.0;11.0;43.3;6.1;1.7;17;9.5;1.9;7.0;39.4;3.7;1.6;179;2.5;175;4
378;3;1994;27;15.2;2.0;11.0;40.1;6.1;1.7;15;8.7;2.0;7.0;43.3;3.8;1.6;183;2.4;176;7
379;3;1995;28;15.2;2.0;12.0;42.1;6.4;1.7;17;9.3;1.9;7.0;38.6;3.6;1.6;187;2.4;181;6
380;3;1996;27;14.7;2.0;12.0;43.6;6.4;1.7;18;9.7;2.0;7.0;37.5;3.6;1.6;189;2.4;184;5
381;3;1997;27;14.6;2.1;12.0;43.3;6.3;1.8;17;9.4;2.0;6.0;36.0;3.4;1.7;191;2.4;185;6
382;3;1998;23;12.3;2.1;11.0;46.4;5.7;1.7;16;8.5;2.0;6.0;38.8;3.3;1.6;193;2.4;187;6
383;3;1999;23;11.9;2.0;11.0;48.5;5.8;1.7;17;8.7;1.9;6.0;36.8;3.2;1.6;196;2.3;191;5
384;3;2000;20;10.5;1.9;11.0;52.6;5.5;1.6;15;7.9;1.9;6.0;37.2;3.0;1.6;198;2.4;193;5
385;4;1990;57;15.5;2.2;;;;;39;10.7;2.1;;;;;394;2.6;367;27
386;4;1991;57;15.3;2.2;;;;;37;9.9;2.1;;;;;397;2.5;369;28
387;4;1992;61;16.1;2.1;27.0;43.6;7.0;1.9;42;11.0;2.1;16.0;39.0;4.3;1.9;406;2.5;380;26
388;4;1993;65;16.9;2.1;28.0;42.8;7.2;2.0;43;11.2;2.1;17.0;39.7;4.5;2.0;412;2.5;382;30
389;4;1994;66;17.0;2.1;29.0;43.1;7.3;2.0;39;10.1;2.2;18.0;44.4;4.5;2.0;417;2.5;389;28
390;4;1995;69;17.3;2.0;30.0;44.2;7.7;1.9;40;10.0;2.1;17.0;43.5;4.4;2.0;422;2.4;395;27
391;4;1996;69;17.3;2.1;32.0;45.6;7.9;1.9;41;10.4;2.2;16.0;39.0;4.0;1.9;425;2.4;399;26
392;4;1997;67;16.4;2.1;34.0;50.3;8.3;2.0;43;10.6;2.1;17.0;39.0;4.1;2.0;430;2.4;407;23
393;4;1998;57;13.7;2.1;29.0;51.9;7.1;1.9;41;9.9;2.1;17.0;42.4;4.2;1.9;435;2.4;412;23
394;4;1999;54;13.1;2.1;26.0;48.1;6.3;1.8;38;9.3;2.1;15.0;40.4;3.7;1.9;435;2.4;410;25
395;4;2000;50;11.8;2.1;23.0;45.5;5.4;1.8;36;8.5;2.0;13.0;37.6;3.2;1.8;446;2.4;421;25
396;5;1990;9;12.3;2.3;;;;;7;9.2;2.2;;;;;81;2.7;77;4
397;5;1991;10;12.4;2.5;;;;;6;7.5;2.6;;;;;85;2.7;81;4
398;5;1992;11;13.3;2.4;4.0;36.4;4.8;1.9;8;9.3;2.6;2.0;26.2;2.4;2.1;90;2.7;85;5
399;5;1993;14;15.3;2.5;5.0;32.6;5.0;1.8;10;11.1;2.7;3.0;26.9;3.0;1.8;95;2.6;91;4
400;5;1994;14;14.6;2.3;5.0;32.6;4.8;2.1;8;8.8;2.3;2.0;24.2;2.1;1.9;99;2.6;95;4
401;5;1995;12;12.2;2.3;5.0;37.7;4.6;2.1;8;7.9;2.3;2.0;22.8;1.8;2.0;104;2.6;102;2
402;5;1996;13;13.0;2.3;5.0;39.2;5.1;1.9;9;8.5;2.3;2.0;28.3;2.4;1.9;108;2.6;104;4
403;5;1997;13;11.9;2.3;6.0;43.1;5.1;1.8;9;8.2;2.2;3.0;31.1;2.6;1.7;112;2.6;108;4
404;5;1998;14;12.4;2.2;5.0;35.7;4.4;2.1;9;7.8;2.0;2.0;25.5;2.0;1.5;118;2.6;113;5
405;5;1999;14;11.8;2.1;5.0;35.2;4.2;2.0;9;8.2;2.1;2.0;21.2;1.7;1.9;120;2.6;116;4
406;5;2000;13;10.5;2.3;4.0;33.9;3.6;2.0;10;7.9;2.2;3.0;26.8;2.1;2.0;124;2.6;120;4
407;6;1990;98;14.6;2.0;;;;;65;9.7;1.9;;;;;713;2.5;670;43
408;6;1991;101;14.8;2.0;;;;;67;9.8;1.9;;;;;725;2.5;682;43
409;6;1992;98;14.2;2.0;43.0;44.2;6.3;1.8;68;9.8;2.0;25.0;36.9;3.6;1.6;735;2.4;691;44
410;6;1993;105;14.9;2.0;44.0;42.2;6.3;1.8;70;10.1;1.9;26.0;37.2;3.7;1.6;749;2.4;701;48
411;6;1994;110;15.4;1.9;44.0;40.2;6.2;1.8;71;9.9;1.9;26.0;37.1;3.7;1.6;756;2.4;713;43
412;6;1995;104;14.5;2.0;45.0;43.0;6.2;1.8;69;9.6;1.9;27.0;38.5;3.7;1.7;762;2.4;719;43
413;6;1996;106;14.5;1.9;46.0;43.0;6.3;1.8;72;9.8;1.9;27.0;37.7;3.7;1.7;771;2.4;731;40
414;6;1997;103;13.8;1.9;49.0;47.2;6.5;1.8;65;8.6;1.8;26.0;39.9;3.4;1.6;786;2.4;749;37
415;6;1998;94;12.4;1.9;42.0;44.8;5.6;1.7;66;8.8;1.9;26.0;39.2;3.4;1.6;794;2.3;758;36
416;6;1999;90;11.9;1.9;42.0;45.9;5.5;1.7;65;8.5;1.9;25.0;39.0;3.3;1.6;802;2.3;761;41
417;6;2000;88;11.4;1.9;39.0;44.7;5.1;1.6;67;8.6;1.9;26.0;38.5;3.3;1.5;809;2.3;770;39
418;7;1990;44;11.4;2.1;;;;;32;8.2;2.1;;;;;421;2.4;387;34
419;7;1991;46;11.8;2.2;;;;;33;8.4;2.2;;;;;428;2.4;392;36
420;7;1992;46;11.6;2.1;19.0;41.8;4.8;1.9;33;8.4;2.2;13.0;37.7;3.2;1.9;435;2.3;397;38
421;7;1993;46;11.5;2.1;19.0;40.2;4.6;2.0;33;8.1;2.1;12.0;37.1;3.0;1.9;443;2.3;404;39
422;7;1994;52;12.6;2.1;20.0;39.0;4.9;1.9;35;8.5;2.2;12.0;34.9;3.0;2.0;450;2.3;410;40
423;7;1995;49;11.7;2.0;21.0;42.9;5.0;1.9;32;7.6;2.1;13.0;40.3;3.1;1.9;459;2.3;418;41
424;7;1996;48;11.2;2.1;20.0;41.4;4.6;1.9;33;7.6;2.1;12.0;35.5;2.7;2.0;463;2.3;428;35
425;7;1997;49;11.1;2.0;19.0;39.4;4.4;1.9;31;7.1;2.0;11.0;33.9;2.4;2.0;471;2.3;438;33
426;7;1998;43;9.6;2.0;16.0;38.1;3.7;2.0;32;7.1;1.9;9.0;29.7;2.1;2.0;479;2.2;444;35
427;7;1999;41;9.2;2.0;14.0;34.3;3.2;2.0;31;7.0;2.0;9.0;28.2;2.0;1.8;483;2.2;445;38
428;7;2000;39;8.6;2.0;13.0;33.5;2.9;1.9;29;6.4;1.9;9.0;30.4;1.9;1.7;491;2.2;452;39
429;9;1990;201;15.8;1.9;;;;;147;11.5;1.9;;;;;1371;2.3;1274;97
430;9;1991;208;16.1;1.9;;;;;152;11.7;2.0;;;;;1384;2.3;1293;91
431;9;1992;211;16.1;1.9;95.0;45.1;7.3;1.7;154;11.8;2.0;59.0;38.2;4.5;1.7;1406;2.3;1311;95
432;9;1993;219;16.5;1.9;99.0;45.3;7.5;1.7;155;11.7;1.9;64.0;41.1;4.8;1.7;1426;2.3;1328;98
433;9;1994;232;17.4;1.9;105.0;45.4;7.9;1.7;158;11.9;2.0;67.0;42.3;5.0;1.7;1430;2.3;1333;97
434;9;1995;229;16.9;1.9;110.0;48.1;8.1;1.7;157;11.6;2.0;70.0;44.7;5.2;1.8;1446;2.2;1353;93
435;9;1996;231;16.9;1.9;109.0;47.2;8.0;1.8;161;11.8;1.9;64.0;39.5;4.7;1.7;1460;2.2;1367;93
436;9;1997;230;16.6;1.9;109.0;47.1;7.8;1.7;164;11.9;1.9;64.0;38.9;4.6;1.7;1471;2.2;1385;86
437;9;1998;208;14.9;1.9;99.0;47.4;7.1;1.7;163;11.6;1.9;66.0;40.4;4.7;1.7;1487;2.2;1401;86
438;9;1999;203;14.4;1.9;95.0;47.0;6.8;1.7;159;11.3;1.8;65.0;41.0;4.6;1.6;1505;2.2;1413;92
439;9;2000;195;13.6;1.8;91.0;46.4;6.3;1.7;157;10.9;1.8;66.0;42.0;4.6;1.6;1521;2.2;1437;84
440;8;1990;148;15.2;1.9;;;;;111;11.5;1.9;;;;;1052;2.2;968;84
441;8;1991;158;16.0;1.9;;;;;121;12.2;1.9;;;;;1077;2.2;993;84
442;8;1992;160;15.9;1.9;69.0;43.0;6.8;1.7;124;12.3;1.9;45.0;36.6;4.5;1.6;1088;2.2;1007;81
443;8;1993;161;15.9;1.9;70.0;43.2;6.9;1.7;119;11.8;1.9;46.0;38.7;4.6;1.6;1098;2.2;1015;83
444;8;1994;170;16.8;1.9;70.0;40.9;6.9;1.7;118;11.7;1.9;44.0;37.3;4.4;1.6;1100;2.2;1016;84
445;8;1995;172;16.6;1.9;72.0;42.1;7.0;1.7;122;11.8;1.9;48.0;39.1;4.6;1.7;1113;2.2;1033;80
446;8;1996;177;17.0;1.8;73.0;41.2;7.0;1.7;124;11.9;1.9;46.0;36.8;4.4;1.7;1125;2.1;1043;82
447;8;1997;171;16.1;1.8;73.0;42.5;6.8;1.7;120;11.2;1.8;45.0;37.4;4.2;1.7;1135;2.1;1064;71
448;8;1998;162;15.0;1.8;69.0;42.9;6.4;1.7;118;10.9;1.8;46.0;38.7;4.2;1.6;1149;2.1;1082;67
449;8;1999;149;13.6;1.9;64.0;43.2;5.9;1.7;114;10.5;1.8;42.0;37.2;3.9;1.5;1164;2.1;1091;73
450;8;2000;136;12.3;1.8;58.0;42.4;5.2;1.6;108;9.8;1.8;40.0;37.4;3.7;1.5;1175;2.1;1103;72
451;10;1990;19;13.9;1.9;;;;;13;9.4;1.9;;;;;143;2.4;138;5
452;10;1991;21;14.9;1.9;;;;;14;10.0;1.9;;;;;143;2.5;138;5
453;10;1992;20;13.9;2.0;8.0;42.1;5.9;1.8;12;8.5;2.1;4.0;32.0;2.7;1.8;146;2.4;141;5
454;10;1993;20;13.8;2.0;9.0;44.7;6.2;1.7;11;7.9;2.1;4.0;34.1;2.7;1.7;148;2.4;142;6
455;10;1994;21;14.4;2.0;10.0;49.7;7.2;1.7;12;8.4;2.2;4.0;33.2;2.8;1.7;148;2.4;143;5
456;10;1995;21;14.5;1.9;10.0;48.9;7.1;1.7;13;9.1;1.9;4.0;30.2;2.7;1.6;150;2.4;146;4
457;10;1996;20;13.9;1.9;10.0;48.7;6.8;1.8;12;8.3;1.9;4.0;32.0;2.7;1.6;152;2.4;147;5
458;10;1997;20;13.3;1.8;9.0;44.9;6.0;1.6;12;8.0;1.8;4.0;31.9;2.6;1.6;155;2.3;149;6
459;10;1998;17;11.5;1.8;8.0;45.5;5.2;1.5;12;8.0;1.8;4.0;37.0;3.0;1.5;156;2.3;151;5
460;10;1999;18;11.6;1.8;8.0;47.8;5.5;1.4;13;8.7;1.7;5.0;38.5;3.3;1.3;157;2.3;151;6
461;10;2000;17;10.8;1.9;8.0;51.2;5.5;1.4;12;8.1;1.9;5.0;39.9;3.2;1.4;159;2.3;152;7
462;11;1990;116;14.4;2.0;;;;;81;10.0;1.9;;;;;860;2.5;810;50
463;11;1991;115;13.9;2.0;;;;;79;9.6;2.0;;;;;873;2.5;825;48
464;11;1992;112;13.5;2.0;50.0;44.4;6.0;1.8;80;9.5;2.0;29.0;35.8;3.4;1.6;888;2.5;833;55
465;11;1993;116;13.7;2.1;52.0;45.2;6.2;1.8;79;9.3;2.1;31.0;39.4;3.7;1.7;901;2.5;845;56
466;11;1994;128;14.9;2.1;54.0;42.2;6.3;1.8;83;9.6;2.1;31.0;37.1;3.6;1.7;911;2.4;862;49
467;11;1995;125;14.2;2.0;52.0;42.1;6.0;1.8;80;9.1;2.0;30.0;37.9;3.5;1.7;929;2.4;879;50
468;11;1996;125;14.0;1.9;55.0;44.2;6.2;1.8;81;9.1;1.9;30.0;37.4;3.4;1.7;943;2.4;896;47
469;11;1997;123;13.4;1.9;57.0;46.5;6.2;1.7;83;9.1;1.9;32.0;38.3;3.5;1.6;959;2.4;916;43
470;11;1998;105;11.3;2.0;47.0;44.8;5.1;1.7;75;8.2;2.0;28.0;36.9;3.0;1.6;967;2.4;925;42
471;11;1999;107;11.5;2.0;43.0;40.5;4.7;1.7;81;8.7;2.0;27.0;33.7;2.9;1.6;982;2.3;932;50
472;11;2000;100;10.5;2.0;39.0;39.2;4.1;1.6;76;8.0;2.0;25.0;32.3;2.6;1.6;994;2.3;948;46
473;12;1990;61;14.7;2.1;;;;;46;11.0;2.0;;;;;440;2.5;418;22
474;12;1991;63;15.0;2.0;;;;;48;11.3;1.9;;;;;445;2.5;423;22
475;12;1992;62;14.5;2.0;28.0;44.7;6.5;1.9;46;10.7;2.0;18.0;39.5;4.2;1.8;446;2.5;425;21
476;12;1993;65;15.0;2.1;27.0;42.0;6.3;1.9;47;10.8;1.9;18.0;38.5;4.2;1.6;453;2.4;430;23
477;12;1994;66;15.1;2.0;28.0;43.1;6.5;1.8;44;10.1;1.9;18.0;40.5;4.1;1.6;460;2.4;436;24
478;12;1995;65;14.8;1.9;29.0;44.5;6.6;1.8;44;9.9;1.9;18.0;40.6;4.0;1.6;465;2.4;442;23
479;12;1996;70;15.7;1.9;29.0;41.7;6.5;1.8;46;10.3;1.9;18.0;39.1;4.0;1.6;470;2.4;446;24
480;12;1997;63;13.9;1.9;29.0;45.5;6.4;1.6;45;9.9;1.8;18.0;39.3;3.9;1.5;477;2.3;453;24
481;12;1998;63;13.8;1.9;29.0;46.4;6.4;1.7;46;10.1;1.8;17.0;37.4;3.8;1.5;481;2.3;457;24
482;12;1999;63;13.7;1.9;29.0;46.0;6.3;1.6;46;10.1;1.8;18.0;39.0;3.9;1.5;486;2.3;460;26
483;12;2000;58;12.7;1.8;26.0;44.7;5.7;1.6;46;10.1;1.8;17.0;37.4;3.8;1.4;490;2.3;460;30
484;Amsterdam;1990;77;25.2;1.9;;;;;60;19.7;1.9;;;;;359;1.8;306;53
485;Amsterdam;1991;86;27.2;1.9;;;;;67;21.4;1.8;;;;;372;1.8;316;56
486;Amsterdam;1992;85;26.2;1.8;37.0;43.4;11.4;1.7;67;20.8;1.9;26.0;38.1;7.9;1.7;377;1.8;324;53
487;Amsterdam;1993;84;25.9;1.9;37.0;44.2;11.5;1.7;65;20.1;1.8;26.0;39.5;7.9;1.6;379;1.8;324;55
488;Amsterdam;1994;85;26.2;1.9;37.0;44.0;11.5;1.8;63;19.6;1.9;25.0;39.3;7.7;1.7;377;1.8;322;55
489;Amsterdam;1995;89;26.9;1.8;38.0;42.4;11.4;1.8;67;20.1;1.9;27.0;39.9;8.0;1.8;380;1.8;332;48
490;Amsterdam;1996;89;26.9;1.8;39.0;43.8;11.8;1.8;65;19.7;1.8;26.0;39.2;7.7;1.7;384;1.8;331;53
491;Amsterdam;1997;86;25.4;1.8;38.0;44.3;11.3;1.7;63;18.4;1.8;25.0;39.7;7.3;1.7;383;1.8;340;43
492;Amsterdam;1998;82;23.5;1.8;37.0;45.3;10.6;1.7;61;17.4;1.8;26.0;42.3;7.3;1.7;390;1.8;350;40
493;Amsterdam;1999;76;21.2;1.8;35.0;46.4;9.8;1.7;60;16.7;1.7;25.0;41.1;6.9;1.5;399;1.8;357;42
494;Amsterdam;2000;70;19.7;1.8;31.0;43.6;8.6;1.7;57;15.8;1.8;23.0;39.7;6.3;1.5;401;1.8;359;42
495;Rotterdam;1990;63;25.5;1.8;;;;;47;19.0;1.8;;;;;274;2.0;247;27
496;Rotterdam;1991;66;26.2;1.9;;;;;51;20.2;1.9;;;;;278;2.0;254;24
497;Rotterdam;1992;64;25.3;1.9;31.0;48.7;12.3;1.8;51;20.0;2.0;21.0;40.6;8.1;1.7;282;2.0;255;27
498;Rotterdam;1993;69;27.4;2.0;33.0;47.9;13.1;1.8;51;20.0;2.0;22.0;44.3;8.9;1.8;281;2.0;253;28
499;Rotterdam;1994;70;27.9;2.0;34.0;48.0;13.4;1.9;52;20.6;2.1;24.0;45.8;9.4;1.9;279;2.0;251;28
500;Rotterdam;1995;71;27.7;2.0;37.0;52.1;14.4;1.9;54;21.1;2.0;26.0;48.8;10.3;1.9;279;2.0;255;24
501;Rotterdam;1996;70;27.5;1.9;38.0;53.9;14.8;1.9;52;20.2;2.0;25.0;47.9;9.7;1.8;279;2.0;256;23
502;Rotterdam;1997;73;27.8;1.9;39.0;52.8;14.7;1.8;56;21.2;1.9;26.0;45.9;9.7;1.8;284;2.0;263;21
503;Rotterdam;1998;67;24.9;1.9;36.0;53.5;13.3;1.8;55;20.4;1.9;26.0;48.0;9.8;1.8;291;2.0;270;21
504;Rotterdam;1999;63;23.5;1.9;33.0;52.2;12.3;1.8;51;19.2;1.9;25.0;48.1;9.2;1.8;295;1.9;269;26
505;Rotterdam;2000;62;22.7;1.8;33.0;52.1;11.8;1.8;53;19.4;1.9;26.0;48.0;9.3;1.8;298;1.9;275;23
506;'s-Gravenhage;1990;39;20.4;1.9;;;;;32;16.5;1.9;;;;;212;2.0;192;20
507;'s-Gravenhage;1991;41;20.8;1.9;;;;;33;16.7;2.0;;;;;216;2.0;196;20
508;'s-Gravenhage;1992;45;22.3;1.8;19.0;42.2;9.4;1.7;34;17.1;1.9;13.0;38.6;6.6;1.7;221;1.9;200;21
509;'s-Gravenhage;1993;44;22.2;1.8;18.0;41.4;9.2;1.7;33;16.6;1.8;13.0;39.1;6.5;1.7;218;1.9;199;19
510;'s-Gravenhage;1994;46;23.3;1.9;20.0;44.4;10.3;1.7;33;17.1;1.9;14.0;41.1;7.0;1.7;215;2.0;196;19
511;'s-Gravenhage;1995;46;23.1;1.9;21.0;44.9;10.4;1.7;33;16.6;1.9;14.0;43.1;7.2;1.8;220;1.9;200;20
512;'s-Gravenhage;1996;47;23.1;1.8;20.0;43.6;10.1;1.7;35;17.3;1.8;13.0;37.2;6.5;1.7;221;1.9;202;19
513;'s-Gravenhage;1997;45;22.2;1.8;20.0;45.1;10.0;1.7;34;16.5;1.8;13.0;38.8;6.4;1.7;221;2.0;204;17
514;'s-Gravenhage;1998;41;20.7;1.8;18.0;44.1;9.1;1.8;32;16.2;1.8;13.0;39.7;6.4;1.7;217;2.0;198;19
515;'s-Gravenhage;1999;40;19.9;1.7;18.0;45.7;9.1;1.7;32;16.0;1.7;13.0;40.6;6.5;1.5;219;1.9;200;19
516;'s-Gravenhage;2000;38;18.6;1.8;16.0;43.2;8.0;1.6;31;15.2;1.7;12.0;40.0;6.1;1.6;221;1.9;202;19
517;Utrecht (stad);1990;16;17.3;2.1;;;;;13;14.0;2.2;;;;;115;1.9;95;20
518;Utrecht (stad);1991;16;17.3;2.2;;;;;13;13.7;2.3;;;;;115;2.0;93;22
519;Utrecht (stad);1992;18;18.7;2.0;7.0;39.0;7.3;2.3;14;14.9;2.2;5.0;36.0;5.3;2.3;116;1.9;94;22
520;Utrecht (stad);1993;17;17.8;2.1;7.0;40.2;7.2;2.2;13;13.8;2.1;6.0;42.1;5.8;2.1;118;1.9;97;21
521;Utrecht (stad);1994;20;20.5;2.1;8.0;41.9;8.6;2.1;15;15.5;2.1;6.0;41.7;6.5;2.2;121;1.9;99;22
522;Utrecht (stad);1995;20;20.4;2.0;10.0;48.3;9.8;2.0;14;14.0;2.0;7.0;51.5;7.2;1.9;121;1.9;99;22
523;Utrecht (stad);1996;19;18.5;2.0;8.0;43.1;8.0;2.0;13;12.9;2.1;6.0;43.1;5.5;2.1;122;1.9;102;20
524;Utrecht (stad);1997;20;19.0;1.9;8.0;38.9;7.4;2.1;13;12.8;2.0;5.0;34.5;4.4;2.1;124;1.8;105;19
525;Utrecht (stad);1998;17;15.7;1.9;6.0;35.2;5.5;2.4;14;12.7;1.9;4.0;28.0;3.5;2.4;131;1.8;110;21
