ID;Perioden;Indexcijfers_1;Mutaties_2;Indexcijfers_3;Mutaties_4;Indexcijfers_5;Mutaties_6
336;2009 november;104.8;-2.1;95.3;-4.1;99.9;-6.1
337;2009 december;102.0;-3.2;96.4;-0.2;98.3;-3.4
338;2009 4e kwartaal;103.2;-2.3;96.1;-3.9;99.2;-6.1
339;2009;103.2;0.0;96.7;-8.5;99.7;-8.5
340;2010 januari;103.1;-2.9;100.9;3.6;104.1;0.7
341;2010 februari;103.6;-1.1;101.4;3.6;105.0;2.5
342;2010 maart;102.8;-1.2;102.4;5.9;105.2;4.7
343;2010 1e kwartaal;103.2;-1.7;101.6;4.4;104.8;2.6
344;2010 april;102.5;-1.3;104.1;9.0;106.7;7.6
345;2010 mei;101.8;-0.2;106.5;9.0;108.4;8.7
346;2010 juni;101.7;0.4;106.4;7.5;108.3;7.9
347;2010 2e kwartaal;102.0;-0.4;105.6;8.5;107.8;8.1
348;2010 juli;102.4;-0.4;104.2;8.4;106.7;8.0
349;2010 augustus;101.9;0.4;103.9;7.3;105.9;7.8
350;2010 september;103.0;0.5;102.5;7.6;105.5;8.2
351;2010 3e kwartaal;102.4;0.2;103.5;7.8;106.1;8.0
352;2010 oktober;102.6;-0.2;103.4;7.1;106.1;6.8
353;2010 november;104.3;-0.4;102.9;8.0;107.4;7.5
354;2010 december;101.0;-1.0;106.2;10.1;107.2;9.0
355;2010 4e kwartaal;102.6;-0.5;104.2;8.4;106.9;7.8
356;2010;102.5;-0.6;103.8;7.3;106.4;6.7
357;2011 januari;104.1;1.0;106.2;5.2;110.6;6.3
358;2011 februari;103.2;-0.4;109.9;8.4;113.4;8.0
359;2011 maart;103.4;0.6;108.3;5.8;112.0;6.5
360;2011 1e kwartaal;103.6;0.4;108.2;6.5;112.0;6.9
361;2011 april;104.4;1.8;107.1;2.9;111.8;4.8
362;2011 mei;101.9;0.1;110.9;4.1;113.0;4.2
363;2011 juni;103.1;1.3;107.2;0.7;110.5;2.0
364;2011 2e kwartaal;103.1;1.1;108.4;2.6;111.8;3.7
365;2011 juli;101.5;-0.9;111.3;6.8;113.0;5.9
366;2011 augustus;101.2;-0.7;109.6;5.4;110.9;4.7
367;2011 september;100.8;-2.1;110.3;7.6;111.2;5.4
368;2011 3e kwartaal;101.2;-1.2;110.4;6.6;111.7;5.3
369;2011 oktober;101.9;-0.7;110.2;6.5;112.2;5.8
370;2011 november;105.7;1.3;106.7;3.7;112.8;5.1
371;2011 december;101.5;0.5;109.0;2.7;110.7;3.2
372;2011 4e kwartaal;103.0;0.4;108.6;4.3;111.9;4.7
373;2011;102.7;0.2;108.9;4.9;111.8;5.1
374;2012 januari;104.5;0.4;109.9;3.5;114.9;3.9
375;2012 februari;102.8;-0.4;113.4;3.2;116.5;2.8
376;2012 maart;103.1;-0.3;111.5;2.9;114.9;2.6
377;2012 1e kwartaal;103.5;-0.1;111.6;3.2;115.5;3.1
378;2012 april;103.9;-0.5;109.9;2.5;114.2;2.1
379;2012 mei;101.3;-0.6;113.3;2.2;114.8;1.7
380;2012 juni;102.6;-0.5;108.5;1.2;111.3;0.8
381;2012 2e kwartaal;102.6;-0.5;110.6;2.0;113.4;1.5
382;2012 juli;100.5;-1.0;114.4;2.8;115.0;1.8
383;2012 augustus;99.9;-1.2;115.0;5.0;115.0;3.7
384;2012 september;100.5;-0.4;113.9;3.3;114.4;2.9
385;2012 3e kwartaal;100.3;-0.9;114.4;3.7;114.8;2.8
386;2012 oktober;101.2;-0.6;113.2;2.7;114.6;2.1
387;2012 november;104.8;-0.8;109.1;2.2;114.4;1.4
388;2012 december;101.3;-0.3;110.1;1.0;111.5;0.8
389;2012 4e kwartaal;102.4;-0.6;110.8;2.0;113.5;1.4
390;2012;102.2;-0.5;111.8;2.7;114.3;2.2
391;2013 januari;104.6;0.1;110.1;0.1;115.1;0.2
392;2013 februari;103.0;0.3;113.5;0.0;116.9;0.3
393;2013 maart;104.0;0.9;109.6;-1.7;114.0;-0.8
394;2013 1e kwartaal;103.9;0.4;111.1;-0.5;115.3;-0.1
395;2013 april;105.3;1.3;106.3;-3.2;112.0;-1.9
