ID;EnergyCommodities;Periods;Amount_1;ChangeYearOnYear_2;PriceIndex_3;ChangeYearOnYear_4
1258;Hard coal and coal products;2000 January;28.0;-9.1;54.6;4.5
1259;Hard coal and coal products;2000 February;27.0;-6.4;53.5;-3.3
1260;Hard coal and coal products;2000 March;27.0;6.3;54.2;-3.9
1261;Hard coal and coal products;2000 1st quarter;82.0;-3.5;54.1;-1.0
1262;Hard coal and coal products;2000 April;25.0;-7.9;52.0;-1.7
1263;Hard coal and coal products;2000 May;27.0;15.2;51.8;-2.8
1264;Hard coal and coal products;2000 June;26.0;21.0;52.6;3.2
1265;Hard coal and coal products;2000 2nd quarter;78.0;8.3;52.1;-0.5
1266;Hard coal and coal products;2000 July;27.0;8.6;52.2;-2.9
1267;Hard coal and coal products;2000 August;31.0;28.9;53.6;0.9
1268;Hard coal and coal products;2000 September;29.0;7.2;53.8;-2.1
1269;Hard coal and coal products;2000 3rd quarter;87.0;14.5;53.2;-1.4
1270;Hard coal and coal products;2000 October;30.0;6.8;55.4;4.1
1271;Hard coal and coal products;2000 November;26.0;-10.6;55.8;7.3
1272;Hard coal and coal products;2000 December;25.0;0.5;55.4;0.5
1273;Hard coal and coal products;2000 4th quarter;81.0;-1.2;55.5;3.9
1274;Hard coal and coal products;2000;329.0;4.4;53.7;0.3
1275;Hard coal and coal products;2001 January;30.0;8.7;59.5;9.1
1276;Hard coal and coal products;2001 February;28.0;5.2;60.7;13.4
1277;Hard coal and coal products;2001 March;34.0;22.6;60.1;10.9
1278;Hard coal and coal products;2001 1st quarter;92.0;12.2;60.1;11.1
1279;Hard coal and coal products;2001 April;32.0;28.5;61.8;18.7
1280;Hard coal and coal products;2001 May;28.0;1.7;59.4;14.5
1281;Hard coal and coal products;2001 June;29.0;13.6;59.5;13.2
1282;Hard coal and coal products;2001 2nd quarter;89.0;14.1;60.2;15.5
1283;Hard coal and coal products;2001 July;30.0;8.3;60.4;15.6
1284;Hard coal and coal products;2001 August;30.0;-2.3;61.7;14.9
1285;Hard coal and coal products;2001 September;28.0;-2.0;60.4;12.1
1286;Hard coal and coal products;2001 3rd quarter;88.0;1.1;60.8;14.2
1287;Hard coal and coal products;2001 October;28.0;-5.0;60.5;9.2
1288;Hard coal and coal products;2001 November;26.0;0.7;60.7;8.8
1289;Hard coal and coal products;2001 December;28.0;9.2;60.0;8.2
1290;Hard coal and coal products;2001 4th quarter;82.0;1.2;60.4;8.8
1291;Hard coal and coal products;2001;351.0;6.7;60.4;12.3
1292;Hard coal and coal products;2002 January;32.0;5.2;58.5;-1.8
1293;Hard coal and coal products;2002 February;26.0;-7.6;58.9;-3.0
1294;Hard coal and coal products;2002 March;31.0;-7.2;59.4;-1.1
1295;Hard coal and coal products;2002 1st quarter;89.0;-3.3;58.9;-2.0
1296;Hard coal and coal products;2002 April;30.0;-4.7;55.8;-9.6
1297;Hard coal and coal products;2002 May;26.0;-5.2;56.9;-4.1
1298;Hard coal and coal products;2002 June;25.0;-13.8;58.1;-2.4
1299;Hard coal and coal products;2002 2nd quarter;82.0;-7.9;56.9;-5.4
1300;Hard coal and coal products;2002 July;31.0;5.5;56.3;-6.8
1301;Hard coal and coal products;2002 August;32.0;5.0;55.7;-9.6
1302;Hard coal and coal products;2002 September;27.0;-4.1;55.3;-8.4
1303;Hard coal and coal products;2002 3rd quarter;90.0;2.3;55.8;-8.3
1304;Hard coal and coal products;2002 October;28.0;-0.8;55.8;-7.9
1305;Hard coal and coal products;2002 November;30.0;17.6;56.1;-7.6
1306;Hard coal and coal products;2002 December;34.0;20.5;56.5;-5.8
1307;Hard coal and coal products;2002 4th quarter;92.0;12.2;56.1;-7.1
1308;Hard coal and coal products;2002;353.0;0.6;56.9;-5.7
1309;Hard coal and coal products;2003 January;34.0;5.8;56.2;-3.9
1310;Hard coal and coal products;2003 February;31.0;20.1;56.6;-3.9
1311;Hard coal and coal products;2003 March;32.0;3.0;56.6;-4.8
1312;Hard coal and coal products;2003 1st quarter;97.0;9.0;56.4;-4.2
1313;Hard coal and coal products;2003 April;32.0;7.1;55.6;-0.3
1314;Hard coal and coal products;2003 May;31.0;18.2;55.1;-3.2
1315;Hard coal and coal products;2003 June;27.0;8.1;55.3;-4.9
1316;Hard coal and coal products;2003 2nd quarter;91.0;11.0;55.3;-2.8
1317;Hard coal and coal products;2003 July;32.0;0.7;55.3;-1.8
1318;Hard coal and coal products;2003 August;33.0;4.6;56.4;1.3
1319;Hard coal and coal products;2003 September;29.0;8.6;55.5;0.4
1320;Hard coal and coal products;2003 3rd quarter;94.0;4.4;55.7;0.0
1321;Hard coal and coal products;2003 October;27.0;-5.4;56.6;1.6
1322;Hard coal and coal products;2003 November;26.0;-12.9;57.0;1.6
1323;Hard coal and coal products;2003 December;29.0;-13.6;57.2;1.2
1324;Hard coal and coal products;2003 4th quarter;82.0;-10.9;56.9;1.4
1325;Hard coal and coal products;2003;364.0;3.1;56.1;-1.4
1326;Hard coal and coal products;2004 January;30.0;-11.2;59.8;6.4
1327;Hard coal and coal products;2004 February;27.0;-12.6;63.2;11.7
1328;Hard coal and coal products;2004 March;30.0;-7.1;63.2;11.7
1329;Hard coal and coal products;2004 1st quarter;87.0;-10.3;62.1;10.0
1330;Hard coal and coal products;2004 April;26.0;-19.8;74.3;33.6
1331;Hard coal and coal products;2004 May;30.0;-4.0;74.7;35.7
1332;Hard coal and coal products;2004 June;29.0;6.0;75.4;36.3
1333;Hard coal and coal products;2004 2nd quarter;85.0;-6.6;74.8;35.2
1334;Hard coal and coal products;2004 July;31.0;-2.5;77.0;39.2
1335;Hard coal and coal products;2004 August;32.0;-3.7;76.4;35.3
1336;Hard coal and coal products;2004 September;31.0;6.9;77.1;38.8
1337;Hard coal and coal products;2004 3rd quarter;94.0;0.0;76.8;37.8
1338;Hard coal and coal products;2004 October;31.0;14.5;77.1;36.1
1339;Hard coal and coal products;2004 November;31.0;18.5;77.9;36.8
1340;Hard coal and coal products;2004 December;32.0;11.3;78.0;36.4
1341;Hard coal and coal products;2004 4th quarter;94.0;14.6;77.7;36.4
1342;Hard coal and coal products;2004;360.0;-1.1;72.8;29.8
1343;Hard coal and coal products;2005 January;32.0;8.0;77.2;29.0
1344;Hard coal and coal products;2005 February;29.0;6.8;76.8;21.5
1345;Hard coal and coal products;2005 March;29.0;-4.2;74.5;17.9
1346;Hard coal and coal products;2005 1st quarter;90.0;3.4;76.2;22.7
1347;Hard coal and coal products;2005 April;28.0;8.0;83.9;12.8
1348;Hard coal and coal products;2005 May;28.0;-6.6;75.3;0.7
1349;Hard coal and coal products;2005 June;25.0;-14.2;79.6;5.7
1350;Hard coal and coal products;2005 2nd quarter;81.0;-4.7;79.6;6.4
1351;Hard coal and coal products;2005 July;28.0;-10.4;76.5;-0.6
1352;Hard coal and coal products;2005 August;29.0;-7.3;76.5;0.2
1353;Hard coal and coal products;2005 September;28.0;-11.1;74.2;-3.8
1354;Hard coal and coal products;2005 3rd quarter;85.0;-9.6;75.7;-1.4
1355;Hard coal and coal products;2005 October;28.0;-8.7;69.4;-10.0
1356;Hard coal and coal products;2005 November;26.0;-15.3;69.7;-10.5
1357;Hard coal and coal products;2005 December;31.0;-4.8;71.3;-8.6
1358;Hard coal and coal products;2005 4th quarter;85.0;-9.6;70.1;-9.7
1359;Hard coal and coal products;2005;342.0;-5.0;75.4;3.5
1360;Hard coal and coal products;2006 January;31.0;-2.4;73.2;-5.1
1361;Hard coal and coal products;2006 February;26.0;-10.5;76.1;-0.9
1362;Hard coal and coal products;2006 March;28.0;-0.5;85.9;15.2
1363;Hard coal and coal products;2006 1st quarter;86.0;-4.4;78.4;2.9
1364;Hard coal and coal products;2006 April;27.0;-3.0;82.8;-1.3
1365;Hard coal and coal products;2006 May;30.0;5.4;79.4;5.5
1366;Hard coal and coal products;2006 June;26.0;5.3;80.2;0.7
1367;Hard coal and coal products;2006 2nd quarter;83.0;2.5;80.8;1.5
1368;Hard coal and coal products;2006 July;28.0;1.9;79.5;4.0
1369;Hard coal and coal products;2006 August;28.0;-3.3;79.7;4.2
1370;Hard coal and coal products;2006 September;26.0;-5.6;79.9;7.8
1371;Hard coal and coal products;2006 3rd quarter;83.0;-2.4;79.7;5.3
1372;Hard coal and coal products;2006 October;24.0;-13.6;79.3;14.2
1373;Hard coal and coal products;2006 November;22.0;-18.3;81.7;17.2
1374;Hard coal and coal products;2006 December;28.0;-7.7;82.5;15.8
1375;Hard coal and coal products;2006 4th quarter;74.0;-12.9;81.2;15.7
1376;Hard coal and coal products;2006;325.0;-5.0;80.0;6.1
1377;Hard coal and coal products;2007 January;33.0;4.0;83.7;14.3
1378;Hard coal and coal products;2007 February;29.0;11.9;83.8;10.2
1379;Hard coal and coal products;2007 March;31.0;9.2;82.2;-4.3
1380;Hard coal and coal products;2007 1st quarter;93.0;8.1;83.2;6.2
1381;Hard coal and coal products;2007 April;24.0;-10.5;84.8;2.4
1382;Hard coal and coal products;2007 May;26.0;-10.6;83.6;5.4
1383;Hard coal and coal products;2007 June;27.0;3.7;86.0;7.2
1384;Hard coal and coal products;2007 2nd quarter;78.0;-6.0;84.8;5.0
1385;Hard coal and coal products;2007 July;30.0;7.8;89.6;12.7
1386;Hard coal and coal products;2007 August;28.0;-1.3;93.3;17.0
1387;Hard coal and coal products;2007 September;33.0;23.3;98.2;22.9
1388;Hard coal and coal products;2007 3rd quarter;91.0;9.6;93.7;17.5
1389;Hard coal and coal products;2007 October;33.0;38.9;99.0;24.9
1390;Hard coal and coal products;2007 November;31.0;41.3;102.4;25.3
1391;Hard coal and coal products;2007 December;31.0;9.5;110.9;34.4
1392;Hard coal and coal products;2007 4th quarter;95.0;28.4;104.1;28.3
1393;Hard coal and coal products;2007;357.0;9.8;91.5;14.3
1394;Hard coal and coal products;2008 January;30.0;-6.9;110.2;31.7
1395;Hard coal and coal products;2008 February;28.0;-3.9;115.2;37.4
1396;Hard coal and coal products;2008 March;32.0;4.6;117.1;42.5
1397;Hard coal and coal products;2008 1st quarter;91.0;-2.2;114.2;37.2
1398;Hard coal and coal products;2008 April;30.0;24.8;119.0;40.4
1399;Hard coal and coal products;2008 May;31.0;15.4;125.9;50.6
1400;Hard coal and coal products;2008 June;26.0;-4.0;126.3;46.9
1401;Hard coal and coal products;2008 2nd quarter;87.0;11.5;123.7;45.9
1402;Hard coal and coal products;2008 July;27.0;-10.0;177.9;98.6
1403;Hard coal and coal products;2008 August;26.0;-8.0;171.3;83.5
1404;Hard coal and coal products;2008 September;25.0;-23.7;167.8;70.8
1405;Hard coal and coal products;2008 3rd quarter;78.0;-14.3;172.3;83.9
1406;Hard coal and coal products;2008 October;28.0;-15.6;129.7;31.0
1407;Hard coal and coal products;2008 November;28.0;-9.8;128.5;25.4
1408;Hard coal and coal products;2008 December;27.0;-12.2;112.5;1.4
1409;Hard coal and coal products;2008 4th quarter;83.0;-12.6;123.5;18.7
1410;Hard coal and coal products;2008;338.0;-5.3;133.4;45.9
1411;Hard coal and coal products;2009 January;30.0;-2.9;94.5;-14.3
1412;Hard coal and coal products;2009 February;25.0;-11.4;86.4;-25.0
1413;Hard coal and coal products;2009 March;28.0;-12.1;74.7;-36.2
1414;Hard coal and coal products;2009 1st quarter;83.0;-8.8;85.2;-25.4
1415;Hard coal and coal products;2009 April;25.0;-18.1;78.2;-34.3
1416;Hard coal and coal products;2009 May;25.0;-16.8;73.4;-41.7
1417;Hard coal and coal products;2009 June;21.0;-20.6;72.2;-42.8
1418;Hard coal and coal products;2009 2nd quarter;71.0;-18.4;74.6;-39.7
1419;Hard coal and coal products;2009 July;26.0;-3.1;73.9;-58.5
1420;Hard coal and coal products;2009 August;27.0;2.9;75.4;-56.0
1421;Hard coal and coal products;2009 September;26.0;4.4;74.0;-55.9
1422;Hard coal and coal products;2009 3rd quarter;79.0;1.3;74.4;-56.8
1423;Hard coal and coal products;2009 October;23.0;-17.6;77.3;-40.4
1424;Hard coal and coal products;2009 November;28.0;0.8;80.5;-37.3
1425;Hard coal and coal products;2009 December;30.0;10.1;79.3;-29.5
1426;Hard coal and coal products;2009 4th quarter;81.0;-2.4;79.0;-36.0
1427;Hard coal and coal products;2009;313.0;-7.4;78.3;-41.3
1428;Hard coal and coal products;2010 January;32.0;8.2;91.0;-3.7
1429;Hard coal and coal products;2010 February;25.0;1.9;80.2;-7.1
1430;Hard coal and coal products;2010 March;28.0;-3.2;81.9;9.7
1431;Hard coal and coal products;2010 1st quarter;85.0;2.4;84.4;-1.0
1432;Hard coal and coal products;2010 April;21.0;-14.4;98.2;25.5
1433;Hard coal and coal products;2010 May;24.0;-7.1;106.0;44.4
1434;Hard coal and coal products;2010 June;24.0;16.4;101.7;40.9
1435;Hard coal and coal products;2010 2nd quarter;69.0;-2.8;102.0;36.7
1436;Hard coal and coal products;2010 July;24.0;-9.2;96.8;31.1
1437;Hard coal and coal products;2010 August;24.0;-8.1;101.6;34.7
1438;Hard coal and coal products;2010 September;28.0;6.1;116.5;57.3
1439;Hard coal and coal products;2010 3rd quarter;76.0;-3.8;105.0;41.0
1440;Hard coal and coal products;2010 October;30.0;28.0;106.2;37.3
1441;Hard coal and coal products;2010 November;29.0;5.9;108.5;34.7
1442;Hard coal and coal products;2010 December;29.0;-3.8;111.5;40.6
1443;Hard coal and coal products;2010 4th quarter;88.0;8.6;108.7;37.5
1444;Hard coal and coal products;2010;318.0;1.6;100.0;27.7
1445;Hard coal and coal products;2011 January;26.0;-18.4;112.7;23.8
1446;Hard coal and coal products;2011 February;25.0;-3.6;115.0;43.5
1447;Hard coal and coal products;2011 March;28.0;2.8;112.8;37.7
1448;Hard coal and coal products;2011 1st quarter;79.0;-7.1;113.5;34.5
1449;Hard coal and coal products;2011 April;27.0;24.8;112.4;14.4
1450;Hard coal and coal products;2011 May;27.0;15.8;108.9;2.7
1451;Hard coal and coal products;2011 June;23.0;-4.2;114.3;12.4
1452;Hard coal and coal products;2011 2nd quarter;77.0;11.6;111.9;9.7
1453;Hard coal and coal products;2011 July;23.0;-3.8;124.5;28.5
1454;Hard coal and coal products;2011 August;22.0;-8.5;120.1;18.2
1455;Hard coal and coal products;2011 September;25.0;-10.9;121.4;4.2
1456;Hard coal and coal products;2011 3rd quarter;70.0;-7.9;122.0;16.2
1457;Hard coal and coal products;2011 October;29.0;-2.2;123.8;16.6
1458;Hard coal and coal products;2011 November;28.0;-4.6;119.0;9.7
1459;Hard coal and coal products;2011 December;30.0;3.4;123.9;11.1
1460;Hard coal and coal products;2011 4th quarter;87.0;-1.1;122.2;12.4
1461;Hard coal and coal products;2011;313.0;-1.6;117.4;17.4
1462;Hard coal and coal products;2012 January;29.0;11.3;118.1;4.8
1463;Hard coal and coal products;2012 February;31.0;25.3;114.4;-0.5
1464;Hard coal and coal products;2012 March;31.0;10.0;118.3;4.9
1465;Hard coal and coal products;2012 1st quarter;91.0;15.2;116.9;3.0
1466;Hard coal and coal products;2012 April;28.0;5.3;111.3;-0.9
1467;Hard coal and coal products;2012 May;23.0;-14.5;110.6;1.5
1468;Hard coal and coal products;2012 June;22.0;-6.3;107.2;-6.3
1469;Hard coal and coal products;2012 2nd quarter;73.0;-5.2;109.7;-1.9
1470;Hard coal and coal products;2012 July;30.0;29.6;121.2;-2.6
1471;Hard coal and coal products;2012 August;29.0;29.9;108.9;-9.3
1472;Hard coal and coal products;2012 September;29.0;18.3;106.3;-12.4
1473;Hard coal and coal products;2012 3rd quarter;88.0;25.7;112.1;-8.1
1474;Hard coal and coal products;2012 October;33.0;14.3;101.3;-18.1
1475;Hard coal and coal products;2012 November;30.0;7.8;101.1;-15.0
1476;Hard coal and coal products;2012 December;28.0;-4.6;98.3;-20.7
1477;Hard coal and coal products;2012 4th quarter;92.0;5.7;100.2;-18.0
1478;Hard coal and coal products;2012;344.0;9.9;109.8;-6.5
1479;Hard coal and coal products;2013 January;28.0;-4.3;95.3;-19.3
1480;Hard coal and coal products;2013 February;25.0;-17.5;90.7;-20.7
1481;Hard coal and coal products;2013 March;28.0;-10.8;93.5;-21.0
1482;Hard coal and coal products;2013 1st quarter;81.0;-11.0;93.2;-20.3
1483;Hard coal and coal products;2013 April;30.0;8.5;96.5;-13.3
1484;Hard coal and coal products;2013 May;27.0;16.3;91.4;-17.4
1485;Hard coal and coal products;2013 June;18.0;-14.8;87.6;-18.3
1486;Hard coal and coal products;2013 2nd quarter;76.0;4.1;91.8;-16.3
1487;Hard coal and coal products;2013 July;28.0;-5.6;87.9;-27.5
1488;Hard coal and coal products;2013 August;30.0;3.9;73.3;-32.7
1489;Hard coal and coal products;2013 September;30.0;1.9;81.2;-23.7
1490;Hard coal and coal products;2013 3rd quarter;88.0;0.0;80.8;-28.0
1491;Hard coal and coal products;2013 October;31.0;-7.5;82.8;-18.3
1492;Hard coal and coal products;2013 November;34.0;13.3;83.5;-17.4
1493;Hard coal and coal products;2013 December;32.0;12.2;82.7;-15.8
1494;Hard coal and coal products;2013 4th quarter;97.0;5.4;83.0;-17.2
1495;Hard coal and coal products;2013;342.0;-0.6;87.2;-20.6
1496;Hard coal and coal products;2014 January;33.0;18.3;85.0;-10.8
1497;Hard coal and coal products;2014 February;29.0;15.9;79.8;-12.0
1498;Hard coal and coal products;2014 March;34.0;21.1;77.3;-17.3
1499;Hard coal and coal products;2014 1st quarter;96.0;18.5;80.7;-13.4
1500;Hard coal and coal products;2014 April;32.0;5.3;75.4;-21.9
1501;Hard coal and coal products;2014 May;28.0;4.4;73.1;-20.0
1502;Hard coal and coal products;2014 June;30.0;60.7;73.8;-15.7
1503;Hard coal and coal products;2014 2nd quarter;90.0;18.4;74.1;-19.3
1504;Hard coal and coal products;2014 July;27.0;-4.5;72.9;-17.1
1505;Hard coal and coal products;2014 August;30.0;-0.9;72.2;-1.4
1506;Hard coal and coal products;2014 September;26.0;-11.7;72.5;-10.7
1507;Hard coal and coal products;2014 3rd quarter;83.0;-5.7;72.5;-10.2
1508;Hard coal and coal products;2014 October;34.0;8.9;71.3;-13.9
1509;Hard coal and coal products;2014 November;38.0;9.6;71.5;-14.3
1510;Hard coal and coal products;2014 December;39.0;21.8;71.2;-13.9
1511;Hard coal and coal products;2014 4th quarter;110.0;13.4;71.3;-14.0
1512;Hard coal and coal products;2014;379.0;10.8;74.7;-14.4
1513;Hard coal and coal products;2015 January;41.0;23.6;68.5;-19.4
1514;Hard coal and coal products;2015 February;36.0;23.0;75.1;-5.9
1515;Hard coal and coal products;2015 March;38.0;13.3;75.3;-2.6
1516;Hard coal and coal products;2015 1st quarter;115.0;19.8;73.0;-9.6
1517;Hard coal and coal products;2015 April;42.0;31.9;73.0;-3.2
1518;Hard coal and coal products;2015 May;38.0;35.0;70.9;-3.0
1519;Hard coal and coal products;2015 June;35.0;19.8;71.3;-3.3
1520;Hard coal and coal products;2015 2nd quarter;116.0;28.9;71.8;-3.2
1521;Hard coal and coal products;2015 July;37.0;37.8;74.2;1.9
1522;Hard coal and coal products;2015 August;36.0;20.2;66.2;-8.3
1523;Hard coal and coal products;2015 September;44.0;68.0;74.0;2.1
1524;Hard coal and coal products;2015 3rd quarter;117.0;41.0;71.5;-1.4
1525;Hard coal and coal products;2015 October;41.0;22.2;73.0;2.5
1526;Hard coal and coal products;2015 November;34.0;-10.9;63.6;-11.0
1527;Hard coal and coal products;2015 December;39.0;-0.9;64.7;-9.2
1528;Hard coal and coal products;2015 4th quarter;113.0;2.7;67.1;-5.9
1529;Hard coal and coal products;2015;461.0;21.6;70.8;-5.1
1530;Hard coal and coal products;2016 January;35.0;-12.8;65.8;-3.9
1531;Hard coal and coal products;2016 February;35.0;-1.9;59.4;-20.9
1532;Hard coal and coal products;2016 March;38.0;-0.3;59.3;-21.3
1533;Hard coal and coal products;2016 1st quarter;109.0;-5.2;61.5;-15.7
1534;Hard coal and coal products;2016 April;37.0;-13.1;62.2;-14.8
1535;Hard coal and coal products;2016 May;37.0;-4.5;60.2;-15.2
1536;Hard coal and coal products;2016 June;33.0;-7.8;65.6;-8.1
1537;Hard coal and coal products;2016 2nd quarter;106.0;-8.6;62.6;-12.7
1538;Hard coal and coal products;2016 July;29.0;-21.5;67.0;-9.7
1539;Hard coal and coal products;2016 August;31.0;-14.1;64.4;-2.8
1540;Hard coal and coal products;2016 September;37.0;-15.8;62.6;-15.4
1541;Hard coal and coal products;2016 3rd quarter;97.0;-17.1;64.6;-9.6
1542;Hard coal and coal products;2016 October;40.0;-1.6;72.2;-1.2
1543;Hard coal and coal products;2016 November;38.0;14.4;79.6;25.0
1544;Hard coal and coal products;2016 December;37.0;-3.0;83.8;29.6
1545;Hard coal and coal products;2016 4th quarter;116.0;2.7;78.5;17.0
1546;Hard coal and coal products;2016;428.0;-7.2;66.8;-5.7
1547;Hard coal and coal products;2017 January;39.0;9.2;124.7;89.4
1548;Hard coal and coal products;2017 February;38.0;8.4;116.3;95.9
1549;Hard coal and coal products;2017 March;34.0;-11.1;121.4;104.8
1550;Hard coal and coal products;2017 1st quarter;;;120.8;96.4
1551;Hard coal and coal products;2017 April;29.0;-21.0;113.0;81.8
1552;Hard coal and coal products;2017 May;31.0;-16.1;108.2;79.9
1553;Hard coal and coal products;2017 June;34.0;2.9;123.4;88.3
1554;Hard coal and coal products;2017 2nd quarter;;;114.9;83.5
1555;Hard coal and coal products;2017 July;32.0;8.3;101.8;52.0
1556;Hard coal and coal products;2017 August;29.0;-7.5;98.9;53.7
1557;Hard coal and coal products;2017 September;24.0;-35.2;109.1;74.2
1558;Hard coal and coal products;2017 3rd quarter;;;103.3;59.7
1559;Hard coal and coal products;2017 October;29.0;-26.9;112.2;55.4
1560;Hard coal and coal products;2017 November;32.0;-16.0;91.7;15.3
1561;Hard coal and coal products;2017 December;32.0;-14.5;107.6;28.4
1562;Hard coal and coal products;2017 4th quarter;;;103.9;32.3
1563;Hard coal and coal products;2017;382.0;-10.7;110.7;65.7
1564;Other energy commodities;1995 January;12.0;6.6;;
1565;Other energy commodities;1995 February;11.0;10.5;;
1566;Other energy commodities;1995 March ;12.0;6.6;;
1567;Other energy commodities;1995 1st quarter;35.0;7.9;;
1568;Other energy commodities;1995 April;12.0;9.4;;
1569;Other energy commodities;1995 May;12.0;8.6;;
1570;Other energy commodities;1995 June;12.0;10.5;;
1571;Other energy commodities;1995 2nd quarter;36.0;9.5;;
1572;Other energy commodities;1995 July;13.0;11.0;;
1573;Other energy commodities;1995 August;13.0;13.8;;
1574;Other energy commodities;1995 September;12.0;6.7;;
1575;Other energy commodities;1995 3rd quarter;38.0;10.5;;
1576;Other energy commodities;1995 October;12.0;3.9;;
1577;Other energy commodities;1995 November;12.0;6.6;;
1578;Other energy commodities;1995 December;11.0;-4.2;;
1579;Other energy commodities;1995 4th quarter;34.0;2.1;;
1580;Other energy commodities;1995;143.0;7.5;;
1581;Other energy commodities;1996 January;13.0;8.9;;
1582;Other energy commodities;1996 February;12.0;5.5;;
1583;Other energy commodities;1996 March ;12.0;7.3;;
1584;Other energy commodities;1996 1st quarter;37.0;7.2;;
1585;Other energy commodities;1996 April;12.0;1.7;;
1586;Other energy commodities;1996 May;13.0;4.9;;
1587;Other energy commodities;1996 June;13.0;5.2;;
1588;Other energy commodities;1996 2nd quarter;38.0;4.0;;
1589;Other energy commodities;1996 July;13.0;-2.6;;
1590;Other energy commodities;1996 August;13.0;-3.2;;
1591;Other energy commodities;1996 September;12.0;2.2;;
1592;Other energy commodities;1996 3rd quarter;38.0;-1.3;;
1593;Other energy commodities;1996 October;12.0;4.6;;
1594;Other energy commodities;1996 November;12.0;4.4;;
1595;Other energy commodities;1996 December;12.0;14.4;;
1596;Other energy commodities;1996 4th quarter;37.0;7.5;;
1597;Other energy commodities;1996;149.0;4.2;;
1598;Other energy commodities;1997 January;11.0;-14.4;;
1599;Other energy commodities;1997 February;12.0;-2.4;;
1600;Other energy commodities;1997 March ;12.0;-1.6;;
1601;Other energy commodities;1997 1st quarter;35.0;-6.2;;
1602;Other energy commodities;1997 April;12.0;-0.3;;
1603;Other energy commodities;1997 May;13.0;2.3;;
1604;Other energy commodities;1997 June;13.0;2.7;;
1605;Other energy commodities;1997 2nd quarter;38.0;1.6;;
1606;Other energy commodities;1997 July;13.0;0.1;;
1607;Other energy commodities;1997 August;12.0;-3.0;;
1608;Other energy commodities;1997 September;12.0;-0.4;;
1609;Other energy commodities;1997 3rd quarter;37.0;-1.1;;
1610;Other energy commodities;1997 October;12.0;-3.0;;
1611;Other energy commodities;1997 November;12.0;-0.4;;
1612;Other energy commodities;1997 December;12.0;-3.7;;
1613;Other energy commodities;1997 4th quarter;36.0;-2.4;;
1614;Other energy commodities;1997;146.0;-2.0;;
1615;Other energy commodities;1998 January;14.0;27.1;;
1616;Other energy commodities;1998 February;13.0;11.6;;
1617;Other energy commodities;1998 March ;13.0;10.5;;
1618;Other energy commodities;1998 1st quarter;40.0;16.0;;
1619;Other energy commodities;1998 April;13.0;9.0;;
1620;Other energy commodities;1998 May;13.0;2.5;;
1621;Other energy commodities;1998 June;14.0;4.8;;
1622;Other energy commodities;1998 2nd quarter;40.0;5.4;;
1623;Other energy commodities;1998 July;14.0;10.0;;
1624;Other energy commodities;1998 August;14.0;10.0;;
1625;Other energy commodities;1998 September;13.0;8.1;;
1626;Other energy commodities;1998 3rd quarter;41.0;9.4;;
1627;Other energy commodities;1998 October;14.0;16.8;;
1628;Other energy commodities;1998 November;13.0;10.4;;
1629;Other energy commodities;1998 December;13.0;13.8;;
1630;Other energy commodities;1998 4th quarter;41.0;13.6;;
1631;Other energy commodities;1998;162.0;11.0;;
1632;Other energy commodities;1999 January;15.0;11.4;;
1633;Other energy commodities;1999 February;15.0;13.4;;
1634;Other energy commodities;1999 March ;16.0;17.2;;
1635;Other energy commodities;1999 1st quarter;46.0;14.0;;
1636;Other energy commodities;1999 April;15.0;15.3;;
1637;Other energy commodities;1999 May;16.0;22.8;;
1638;Other energy commodities;1999 June;16.0;12.7;;
1639;Other energy commodities;1999 2nd quarter;47.0;16.9;;
1640;Other energy commodities;1999 July;14.0;3.3;;
1641;Other energy commodities;1999 August;14.0;4.2;;
1642;Other energy commodities;1999 September;14.0;8.1;;
1643;Other energy commodities;1999 3rd quarter;43.0;5.2;;
1644;Other energy commodities;1999 October;17.0;25.2;;
1645;Other energy commodities;1999 November;17.0;25.4;;
1646;Other energy commodities;1999 December;17.0;26.8;;
1647;Other energy commodities;1999 4th quarter;51.0;25.8;;
1648;Other energy commodities;1999;187.0;15.4;;
1649;Other energy commodities;2000 January;17.0;8.6;;
1650;Other energy commodities;2000 February;16.0;5.5;;
1651;Other energy commodities;2000 March;17.0;5.5;;
1652;Other energy commodities;2000 1st quarter;49.0;6.5;;
1653;Other energy commodities;2000 April;15.0;-0.9;;
1654;Other energy commodities;2000 May;15.0;-6.0;;
1655;Other energy commodities;2000 June;16.0;0.7;;
1656;Other energy commodities;2000 2nd quarter;46.0;-2.1;;
1657;Other energy commodities;2000 July;15.0;7.1;;
1658;Other energy commodities;2000 August;15.0;5.0;;
1659;Other energy commodities;2000 September;16.0;8.9;;
1660;Other energy commodities;2000 3rd quarter;46.0;7.0;;
1661;Other energy commodities;2000 October;17.0;-2.0;;
1662;Other energy commodities;2000 November;17.0;1.0;;
1663;Other energy commodities;2000 December;17.0;1.1;;
1664;Other energy commodities;2000 4th quarter;51.0;0.0;;
1665;Other energy commodities;2000;195.0;4.3;;
1666;Other energy commodities;2001 January;16.0;-1.4;;
1667;Other energy commodities;2001 February;16.0;-1.5;;
1668;Other energy commodities;2001 March;15.0;-9.2;;
1669;Other energy commodities;2001 1st quarter;47.0;-4.1;;
1670;Other energy commodities;2001 April;15.0;-1.5;;
1671;Other energy commodities;2001 May;16.0;5.5;;
1672;Other energy commodities;2001 June;16.0;2.5;;
