ID;CommodityFlows;CommodityGroups;Continents;Periods;Estimate_1;LowerBound95ConfidenceInterval_2;UpperBound95ConfidenceInterval_3;ConfidenceInterval_4;ShareInCommodityFlow_5;GrowthIndication_6;Estimate_7;LowerBound95ConfidenceInterval_8;UpperBound95ConfidenceInterval_9;ConfidenceInterval_10;ShareInCommodityFlow_11;GrowthIndication_12
7307;"Exports; total";5 Metal products;Unspecified countries and areas;2010;10;10;11;5.0;0;1.0;9;8;10;10.0;0;2.0
7308;"Exports; total";5 Metal products;Unspecified countries and areas;2011;7;6;7;5.0;0;1.0;1;1;1;23.0;0;1.0
7309;"Exports; total";5 Metal products;Unspecified countries and areas;2012;14;13;14;5.0;0;5.0;1;1;2;40.0;0;9.0
7310;"Exports; total";5 Metal products;Unspecified countries and areas;2013;11;10;12;5.0;0;1.0;2;2;3;34.0;0;5.0
7311;"Exports; total";5 Metal products;Unspecified countries and areas;2014;5;5;6;6.0;0;1.0;1;0;1;43.0;0;1.0
7312;"Exports; total";5 Metal products;Unspecified countries and areas;2015;24;23;25;3.0;0;5.0;10;10;11;8.0;0;5.0
7313;"Exports; total";5 Metal products;Unspecified countries and areas;2016;12;12;13;5.0;0;1.0;4;4;5;10.0;0;1.0
7314;"Exports; total";5 Metal products;Unspecified countries and areas;2017;86;85;87;1.0;0;5.0;3;2;4;23.0;0;1.0
7315;"Exports; total";6 Crude and manufactured minerals, buil…;Total all continents;2007;1759;1686;1831;4.0;1;;25272;23079;27466;9.0;9;
7316;"Exports; total";6 Crude and manufactured minerals, buil…;Total all continents;2008;1883;1808;1958;4.0;1;4.0;26576;24327;28825;8.0;9;9.0
7317;"Exports; total";6 Crude and manufactured minerals, buil…;Total all continents;2009;1404;1348;1459;4.0;0;1.0;21648;19930;23367;8.0;8;1.0
7318;"Exports; total";6 Crude and manufactured minerals, buil…;Total all continents;2010;1696;1625;1767;4.0;0;5.0;24483;22472;26494;8.0;8;5.0
7319;"Exports; total";6 Crude and manufactured minerals, buil…;Total all continents;2011;1843;1765;1921;4.0;0;4.0;24615;22401;26830;9.0;8;9.0
7320;"Exports; total";6 Crude and manufactured minerals, buil…;Total all continents;2012;1923;1846;2000;4.0;0;4.0;21025;19155;22894;9.0;7;1.0
7321;"Exports; total";6 Crude and manufactured minerals, buil…;Total all continents;2013;1982;1902;2062;4.0;0;9.0;24886;22669;27104;9.0;8;5.0
7322;"Exports; total";6 Crude and manufactured minerals, buil…;Total all continents;2014;1941;1860;2022;4.0;0;9.0;26566;24314;28817;8.0;8;9.0
7323;"Exports; total";6 Crude and manufactured minerals, buil…;Total all continents;2015;2087;2000;2174;4.0;1;4.0;21826;20102;23550;8.0;7;1.0
7324;"Exports; total";6 Crude and manufactured minerals, buil…;Total all continents;2016;2285;2193;2378;4.0;1;4.0;19310;17493;21127;9.0;6;1.0
7325;"Exports; total";6 Crude and manufactured minerals, buil…;Total all continents;2017;2308;2212;2405;4.0;0;9.0;28415;25673;31157;10.0;8;5.0
7326;"Exports; total";6 Crude and manufactured minerals, buil…;Africa;2007;32;31;33;4.0;0;;246;225;267;8.0;0;
7327;"Exports; total";6 Crude and manufactured minerals, buil…;Africa;2008;53;50;55;5.0;0;5.0;320;293;348;9.0;0;5.0
7328;"Exports; total";6 Crude and manufactured minerals, buil…;Africa;2009;25;24;26;4.0;0;1.0;251;230;271;8.0;0;1.0
7329;"Exports; total";6 Crude and manufactured minerals, buil…;Africa;2010;30;28;31;4.0;0;5.0;163;149;177;9.0;0;1.0
7330;"Exports; total";6 Crude and manufactured minerals, buil…;Africa;2011;28;26;29;5.0;0;2.0;129;119;140;8.0;0;1.0
7331;"Exports; total";6 Crude and manufactured minerals, buil…;Africa;2012;51;49;53;4.0;0;5.0;266;242;289;9.0;0;5.0
7332;"Exports; total";6 Crude and manufactured minerals, buil…;Africa;2013;35;33;36;4.0;0;1.0;120;110;130;9.0;0;1.0
7333;"Exports; total";6 Crude and manufactured minerals, buil…;Africa;2014;37;35;38;5.0;0;4.0;129;118;141;9.0;0;9.0
7334;"Exports; total";6 Crude and manufactured minerals, buil…;Africa;2015;33;31;35;5.0;0;1.0;103;93;113;10.0;0;1.0
7335;"Exports; total";6 Crude and manufactured minerals, buil…;Africa;2016;30;28;31;4.0;0;1.0;124;113;135;9.0;0;5.0
7336;"Exports; total";6 Crude and manufactured minerals, buil…;Africa;2017;17;16;17;4.0;0;1.0;48;44;52;8.0;0;1.0
7337;"Exports; total";6 Crude and manufactured minerals, buil…;America;2007;64;61;67;4.0;0;;362;328;395;9.0;0;
7338;"Exports; total";6 Crude and manufactured minerals, buil…;America;2008;64;61;67;4.0;0;9.0;354;322;386;9.0;0;9.0
7339;"Exports; total";6 Crude and manufactured minerals, buil…;America;2009;49;47;52;5.0;0;1.0;322;293;351;9.0;0;2.0
7340;"Exports; total";6 Crude and manufactured minerals, buil…;America;2010;53;51;55;5.0;0;4.0;274;249;299;9.0;0;1.0
7341;"Exports; total";6 Crude and manufactured minerals, buil…;America;2011;55;53;58;5.0;0;4.0;190;174;206;9.0;0;1.0
7342;"Exports; total";6 Crude and manufactured minerals, buil…;America;2012;68;65;70;4.0;0;5.0;293;269;317;8.0;0;5.0
7343;"Exports; total";6 Crude and manufactured minerals, buil…;America;2013;60;57;62;4.0;0;1.0;245;225;266;8.0;0;1.0
7344;"Exports; total";6 Crude and manufactured minerals, buil…;America;2014;59;56;62;5.0;0;9.0;278;255;301;8.0;0;5.0
7345;"Exports; total";6 Crude and manufactured minerals, buil…;America;2015;73;69;76;5.0;0;5.0;325;297;352;9.0;0;5.0
7346;"Exports; total";6 Crude and manufactured minerals, buil…;America;2016;73;69;76;5.0;0;9.0;346;316;377;9.0;0;9.0
7347;"Exports; total";6 Crude and manufactured minerals, buil…;America;2017;84;80;88;5.0;0;5.0;474;434;515;9.0;0;5.0
7348;"Exports; total";6 Crude and manufactured minerals, buil…;Asia;2007;77;74;81;4.0;0;;178;163;193;8.0;0;
7349;"Exports; total";6 Crude and manufactured minerals, buil…;Asia;2008;106;101;110;4.0;0;5.0;271;249;292;8.0;0;5.0
7350;"Exports; total";6 Crude and manufactured minerals, buil…;Asia;2009;73;69;76;5.0;0;1.0;158;144;172;9.0;0;1.0
7351;"Exports; total";6 Crude and manufactured minerals, buil…;Asia;2010;78;75;82;5.0;0;4.0;160;146;174;9.0;0;9.0
7352;"Exports; total";6 Crude and manufactured minerals, buil…;Asia;2011;114;109;119;4.0;0;5.0;216;198;234;8.0;0;5.0
7353;"Exports; total";6 Crude and manufactured minerals, buil…;Asia;2012;109;105;113;4.0;0;2.0;213;196;230;8.0;0;9.0
7354;"Exports; total";6 Crude and manufactured minerals, buil…;Asia;2013;145;141;149;3.0;0;5.0;210;194;226;8.0;0;9.0
7355;"Exports; total";6 Crude and manufactured minerals, buil…;Asia;2014;95;90;99;4.0;0;1.0;196;179;213;9.0;0;9.0
7356;"Exports; total";6 Crude and manufactured minerals, buil…;Asia;2015;118;113;124;4.0;0;5.0;214;195;232;9.0;0;4.0
7357;"Exports; total";6 Crude and manufactured minerals, buil…;Asia;2016;114;109;120;5.0;0;9.0;203;185;220;9.0;0;9.0
7358;"Exports; total";6 Crude and manufactured minerals, buil…;Asia;2017;125;119;131;5.0;0;4.0;234;214;254;9.0;0;5.0
7359;"Exports; total";6 Crude and manufactured minerals, buil…;Europe;2007;1580;1508;1652;5.0;0;;24472;22279;26666;9.0;9;
7360;"Exports; total";6 Crude and manufactured minerals, buil…;Europe;2008;1651;1576;1726;5.0;0;4.0;25619;23370;27868;9.0;9;9.0
7361;"Exports; total";6 Crude and manufactured minerals, buil…;Europe;2009;1242;1187;1298;4.0;0;1.0;20478;18760;22197;8.0;8;1.0
7362;"Exports; total";6 Crude and manufactured minerals, buil…;Europe;2010;1515;1445;1586;5.0;0;5.0;23733;21722;25744;8.0;8;5.0
7363;"Exports; total";6 Crude and manufactured minerals, buil…;Europe;2011;1632;1554;1710;5.0;0;4.0;24066;21851;26281;9.0;8;9.0
7364;"Exports; total";6 Crude and manufactured minerals, buil…;Europe;2012;1674;1598;1751;5.0;0;9.0;20185;18316;22055;9.0;7;1.0
7365;"Exports; total";6 Crude and manufactured minerals, buil…;Europe;2013;1727;1647;1807;5.0;0;9.0;24252;22034;26469;9.0;7;5.0
7366;"Exports; total";6 Crude and manufactured minerals, buil…;Europe;2014;1737;1656;1817;5.0;0;9.0;25915;23663;28166;9.0;8;9.0
7367;"Exports; total";6 Crude and manufactured minerals, buil…;Europe;2015;1853;1767;1939;5.0;0;4.0;21132;19408;22856;8.0;7;1.0
7368;"Exports; total";6 Crude and manufactured minerals, buil…;Europe;2016;2053;1961;2145;4.0;0;5.0;18598;16781;20415;10.0;6;1.0
7369;"Exports; total";6 Crude and manufactured minerals, buil…;Europe;2017;2070;1974;2167;5.0;0;9.0;27627;24885;30369;10.0;8;5.0
7370;"Exports; total";6 Crude and manufactured minerals, buil…;Oceania;2007;4;4;4;7.0;0;;6;5;6;8.0;0;
7371;"Exports; total";6 Crude and manufactured minerals, buil…;Oceania;2008;10;10;11;5.0;0;5.0;12;11;13;7.0;0;5.0
7372;"Exports; total";6 Crude and manufactured minerals, buil…;Oceania;2009;5;5;5;6.0;0;1.0;8;7;8;7.0;0;1.0
7373;"Exports; total";6 Crude and manufactured minerals, buil…;Oceania;2010;4;3;4;7.0;0;1.0;6;5;6;8.0;0;1.0
7374;"Exports; total";6 Crude and manufactured minerals, buil…;Oceania;2011;5;5;6;5.0;0;5.0;8;8;9;7.0;0;5.0
7375;"Exports; total";6 Crude and manufactured minerals, buil…;Oceania;2012;6;6;6;5.0;0;4.0;7;7;8;8.0;0;1.0
7376;"Exports; total";6 Crude and manufactured minerals, buil…;Oceania;2013;7;7;7;4.0;0;5.0;12;11;13;5.0;0;5.0
7377;"Exports; total";6 Crude and manufactured minerals, buil…;Oceania;2014;6;5;6;5.0;0;1.0;10;10;11;6.0;0;1.0
7378;"Exports; total";6 Crude and manufactured minerals, buil…;Oceania;2015;7;6;7;5.0;0;5.0;10;9;11;9.0;0;9.0
7379;"Exports; total";6 Crude and manufactured minerals, buil…;Oceania;2016;8;8;8;4.0;0;5.0;11;10;12;8.0;0;5.0
7380;"Exports; total";6 Crude and manufactured minerals, buil…;Oceania;2017;6;6;6;4.0;0;1.0;7;7;8;8.0;0;1.0
7381;"Exports; total";6 Crude and manufactured minerals, buil…;Unspecified countries and areas;2007;1;0;1;52.0;0;;8;7;9;9.0;0;
7382;"Exports; total";6 Crude and manufactured minerals, buil…;Unspecified countries and areas;2008;0;0;0;;0;;0;0;0;;0;
7383;"Exports; total";6 Crude and manufactured minerals, buil…;Unspecified countries and areas;2009;9;8;10;10.0;0;;432;404;459;6.0;0;
7384;"Exports; total";6 Crude and manufactured minerals, buil…;Unspecified countries and areas;2010;16;15;17;5.0;0;5.0;147;133;162;10.0;0;1.0
7385;"Exports; total";6 Crude and manufactured minerals, buil…;Unspecified countries and areas;2011;8;7;9;10.0;0;1.0;6;5;6;8.0;0;1.0
7386;"Exports; total";6 Crude and manufactured minerals, buil…;Unspecified countries and areas;2012;15;14;16;5.0;0;5.0;61;60;61;1.0;0;5.0
7387;"Exports; total";6 Crude and manufactured minerals, buil…;Unspecified countries and areas;2013;9;9;10;8.0;0;1.0;47;46;47;1.0;0;1.0
7388;"Exports; total";6 Crude and manufactured minerals, buil…;Unspecified countries and areas;2014;8;7;9;10.0;0;1.0;38;37;38;1.0;0;1.0
7389;"Exports; total";6 Crude and manufactured minerals, buil…;Unspecified countries and areas;2015;3;3;3;9.0;0;1.0;43;41;44;3.0;0;5.0
7390;"Exports; total";6 Crude and manufactured minerals, buil…;Unspecified countries and areas;2016;7;7;7;2.0;0;5.0;28;26;29;6.0;0;1.0
7391;"Exports; total";6 Crude and manufactured minerals, buil…;Unspecified countries and areas;2017;6;6;7;5.0;0;1.0;24;22;26;10.0;0;1.0
7392;"Exports; total";7 Fertilizers;Total all continents;2007;1443;1389;1498;4.0;0;;8867;8253;9481;7.0;3;
7393;"Exports; total";7 Fertilizers;Total all continents;2008;2164;2079;2249;4.0;1;5.0;8233;7583;8884;8.0;3;2.0
7394;"Exports; total";7 Fertilizers;Total all continents;2009;1304;1253;1354;4.0;0;1.0;7706;7110;8302;8.0;3;9.0
7395;"Exports; total";7 Fertilizers;Total all continents;2010;1558;1499;1616;4.0;0;5.0;8450;7833;9067;7.0;3;4.0
7396;"Exports; total";7 Fertilizers;Total all continents;2011;1991;1919;2062;4.0;0;5.0;8149;7551;8746;7.0;3;9.0
7397;"Exports; total";7 Fertilizers;Total all continents;2012;2240;2156;2324;4.0;1;5.0;9349;8534;10164;9.0;3;5.0
7398;"Exports; total";7 Fertilizers;Total all continents;2013;2232;2150;2314;4.0;1;9.0;9503;8821;10185;7.0;3;9.0
7399;"Exports; total";7 Fertilizers;Total all continents;2014;1973;1897;2049;4.0;0;1.0;9633;8969;10296;7.0;3;9.0
7400;"Exports; total";7 Fertilizers;Total all continents;2015;2230;2152;2307;3.0;1;5.0;9556;8939;10173;6.0;3;9.0
7401;"Exports; total";7 Fertilizers;Total all continents;2016;1837;1756;1918;4.0;0;1.0;9841;9145;10537;7.0;3;9.0
7402;"Exports; total";7 Fertilizers;Total all continents;2017;1837;1750;1924;5.0;0;9.0;9939;9252;10626;7.0;3;9.0
7403;"Exports; total";7 Fertilizers;Africa;2007;22;21;23;5.0;0;;87;78;95;9.0;0;
7404;"Exports; total";7 Fertilizers;Africa;2008;19;18;20;5.0;0;1.0;47;43;52;9.0;0;1.0
7405;"Exports; total";7 Fertilizers;Africa;2009;16;15;17;5.0;0;1.0;59;53;64;9.0;0;5.0
7406;"Exports; total";7 Fertilizers;Africa;2010;26;25;28;5.0;0;5.0;158;143;173;10.0;0;5.0
7407;"Exports; total";7 Fertilizers;Africa;2011;37;35;39;5.0;0;5.0;168;152;184;10.0;0;9.0
7408;"Exports; total";7 Fertilizers;Africa;2012;39;37;41;5.0;0;4.0;120;109;132;10.0;0;1.0
7409;"Exports; total";7 Fertilizers;Africa;2013;44;43;46;4.0;0;5.0;153;140;166;9.0;0;5.0
7410;"Exports; total";7 Fertilizers;Africa;2014;26;24;28;7.0;0;1.0;110;101;119;8.0;0;1.0
7411;"Exports; total";7 Fertilizers;Africa;2015;57;53;60;6.0;0;5.0;144;133;156;8.0;0;5.0
7412;"Exports; total";7 Fertilizers;Africa;2016;48;45;51;6.0;0;1.0;150;137;162;8.0;0;9.0
7413;"Exports; total";7 Fertilizers;Africa;2017;58;55;62;6.0;0;5.0;205;188;222;8.0;0;5.0
7414;"Exports; total";7 Fertilizers;America;2007;161;153;169;5.0;0;;1060;965;1156;9.0;0;
7415;"Exports; total";7 Fertilizers;America;2008;165;157;173;5.0;0;9.0;577;524;630;9.0;0;1.0
7416;"Exports; total";7 Fertilizers;America;2009;135;129;142;5.0;0;1.0;885;803;967;9.0;0;5.0
7417;"Exports; total";7 Fertilizers;America;2010;147;140;155;5.0;0;4.0;767;695;839;9.0;0;1.0
7418;"Exports; total";7 Fertilizers;America;2011;286;272;300;5.0;0;5.0;1187;1072;1301;10.0;0;5.0
7419;"Exports; total";7 Fertilizers;America;2012;334;319;350;5.0;0;5.0;1333;1216;1450;9.0;0;5.0
7420;"Exports; total";7 Fertilizers;America;2013;296;282;310;5.0;0;1.0;1572;1431;1713;9.0;0;5.0
7421;"Exports; total";7 Fertilizers;America;2014;265;252;278;5.0;0;1.0;1519;1397;1641;8.0;0;9.0
7422;"Exports; total";7 Fertilizers;America;2015;312;298;326;4.0;0;5.0;1634;1502;1767;8.0;1;9.0
7423;"Exports; total";7 Fertilizers;America;2016;264;250;278;5.0;0;1.0;1669;1519;1820;9.0;1;9.0
7424;"Exports; total";7 Fertilizers;America;2017;275;260;289;5.0;0;9.0;1593;1457;1729;9.0;0;9.0
7425;"Exports; total";7 Fertilizers;Asia;2007;42;40;44;5.0;0;;194;175;213;10.0;0;
7426;"Exports; total";7 Fertilizers;Asia;2008;69;65;72;5.0;0;5.0;221;200;242;10.0;0;5.0
7427;"Exports; total";7 Fertilizers;Asia;2009;43;41;45;5.0;0;1.0;169;153;186;10.0;0;1.0
7428;"Exports; total";7 Fertilizers;Asia;2010;62;59;65;5.0;0;5.0;214;193;235;10.0;0;5.0
7429;"Exports; total";7 Fertilizers;Asia;2011;76;72;80;5.0;0;5.0;208;189;227;9.0;0;9.0
7430;"Exports; total";7 Fertilizers;Asia;2012;87;83;91;5.0;0;5.0;236;215;256;9.0;0;5.0
7431;"Exports; total";7 Fertilizers;Asia;2013;109;104;114;5.0;0;5.0;304;278;329;8.0;0;5.0
7432;"Exports; total";7 Fertilizers;Asia;2014;91;85;96;6.0;0;1.0;297;272;321;8.0;0;9.0
7433;"Exports; total";7 Fertilizers;Asia;2015;126;121;132;4.0;0;5.0;346;317;375;8.0;0;5.0
7434;"Exports; total";7 Fertilizers;Asia;2016;112;106;117;5.0;0;1.0;314;288;341;8.0;0;2.0
7435;"Exports; total";7 Fertilizers;Asia;2017;121;113;128;6.0;0;4.0;347;313;381;10.0;0;5.0
7436;"Exports; total";7 Fertilizers;Europe;2007;1205;1151;1258;4.0;0;;7492;6885;8098;8.0;3;
7437;"Exports; total";7 Fertilizers;Europe;2008;1876;1792;1961;5.0;1;5.0;7329;6682;7977;9.0;3;9.0
7438;"Exports; total";7 Fertilizers;Europe;2009;1099;1049;1149;5.0;0;1.0;6570;5980;7161;9.0;2;1.0
7439;"Exports; total";7 Fertilizers;Europe;2010;1304;1246;1362;4.0;0;5.0;7268;6656;7880;8.0;2;5.0
7440;"Exports; total";7 Fertilizers;Europe;2011;1573;1503;1643;4.0;0;5.0;6547;5961;7134;9.0;2;2.0
7441;"Exports; total";7 Fertilizers;Europe;2012;1759;1677;1842;5.0;0;5.0;7621;6813;8429;11.0;3;5.0
7442;"Exports; total";7 Fertilizers;Europe;2013;1767;1687;1848;5.0;0;9.0;7441;6774;8108;9.0;2;9.0
7443;"Exports; total";7 Fertilizers;Europe;2014;1576;1501;1651;5.0;0;1.0;7662;7010;8315;9.0;2;9.0
7444;"Exports; total";7 Fertilizers;Europe;2015;1716;1640;1793;4.0;0;4.0;7400;6798;8002;8.0;2;9.0
7445;"Exports; total";7 Fertilizers;Europe;2016;1400;1320;1479;6.0;0;1.0;7684;7004;8363;9.0;2;9.0
7446;"Exports; total";7 Fertilizers;Europe;2017;1366;1280;1451;6.0;0;9.0;7763;7090;8436;9.0;2;9.0
7447;"Exports; total";7 Fertilizers;Oceania;2007;14;13;14;5.0;0;;34;31;37;10.0;0;
7448;"Exports; total";7 Fertilizers;Oceania;2008;34;33;36;5.0;0;5.0;56;51;62;9.0;0;5.0
7449;"Exports; total";7 Fertilizers;Oceania;2009;11;10;11;5.0;0;1.0;21;19;23;9.0;0;1.0
7450;"Exports; total";7 Fertilizers;Oceania;2010;17;16;18;5.0;0;5.0;40;36;44;10.0;0;5.0
7451;"Exports; total";7 Fertilizers;Oceania;2011;18;17;19;5.0;0;4.0;36;33;40;10.0;0;1.0
7452;"Exports; total";7 Fertilizers;Oceania;2012;20;19;21;5.0;0;4.0;38;35;42;9.0;0;9.0
7453;"Exports; total";7 Fertilizers;Oceania;2013;14;14;15;5.0;0;1.0;31;28;34;9.0;0;1.0
7454;"Exports; total";7 Fertilizers;Oceania;2014;14;14;15;5.0;0;9.0;42;39;46;8.0;0;5.0
7455;"Exports; total";7 Fertilizers;Oceania;2015;18;17;18;4.0;0;5.0;27;25;30;8.0;0;1.0
7456;"Exports; total";7 Fertilizers;Oceania;2016;15;14;15;6.0;0;1.0;24;22;26;8.0;0;1.0
7457;"Exports; total";7 Fertilizers;Oceania;2017;17;16;18;6.0;0;5.0;31;26;35;15.0;0;5.0
7458;"Exports; total";7 Fertilizers;Unspecified countries and areas;2007;0;0;0;;0;;0;0;0;;0;
7459;"Exports; total";7 Fertilizers;Unspecified countries and areas;2008;0;0;1;68.0;0;;2;2;3;11.0;0;
7460;"Exports; total";7 Fertilizers;Unspecified countries and areas;2009;0;0;0;;0;;2;1;2;16.0;0;1.0
7461;"Exports; total";7 Fertilizers;Unspecified countries and areas;2010;0;0;1;59.0;0;;2;2;2;14.0;0;5.0
7462;"Exports; total";7 Fertilizers;Unspecified countries and areas;2011;0;0;1;56.0;0;9.0;2;2;3;13.0;0;5.0
7463;"Exports; total";7 Fertilizers;Unspecified countries and areas;2012;0;0;1;87.0;0;1.0;1;1;1;34.0;0;1.0
7464;"Exports; total";7 Fertilizers;Unspecified countries and areas;2013;0;0;1;75.0;0;9.0;3;2;3;12.0;0;5.0
7465;"Exports; total";7 Fertilizers;Unspecified countries and areas;2014;0;0;1;70.0;0;9.0;2;2;2;14.0;0;1.0
7466;"Exports; total";7 Fertilizers;Unspecified countries and areas;2015;1;1;1;29.0;0;5.0;4;4;4;10.0;0;5.0
7467;"Exports; total";7 Fertilizers;Unspecified countries and areas;2016;0;0;0;;0;;0;0;0;;0;
7468;"Exports; total";7 Fertilizers;Unspecified countries and areas;2017;0;0;0;;0;;1;0;1;26.0;0;
7469;"Exports; total";8 Chemicals;Total all continents;2007;59061;56843;61278;4.0;17;;44746;41570;47921;7.0;16;
7470;"Exports; total";8 Chemicals;Total all continents;2008;64955;62360;67550;4.0;18;4.0;43826;40730;46922;7.0;16;9.0
7471;"Exports; total";8 Chemicals;Total all continents;2009;58562;56210;60914;4.0;19;2.0;42286;39409;45164;7.0;16;9.0
7472;"Exports; total";8 Chemicals;Total all continents;2010;67723;64974;70472;4.0;18;5.0;43524;40286;46762;7.0;15;9.0
7473;"Exports; total";8 Chemicals;Total all continents;2011;73958;71216;76700;4.0;18;4.0;46496;43242;49749;7.0;15;9.0
7474;"Exports; total";8 Chemicals;Total all continents;2012;77782;74786;80779;4.0;18;4.0;46686;43424;49948;7.0;16;9.0
7475;"Exports; total";8 Chemicals;Total all continents;2013;75026;71910;78142;4.0;17;9.0;43885;40733;47038;7.0;13;9.0
7476;"Exports; total";8 Chemicals;Total all continents;2014;74341;71384;77298;4.0;17;9.0;44034;40840;47228;7.0;14;9.0
7477;"Exports; total";8 Chemicals;Total all continents;2015;73967;71021;76913;4.0;18;9.0;44004;40895;47112;7.0;14;9.0
7478;"Exports; total";8 Chemicals;Total all continents;2016;74108;70974;77241;4.0;18;9.0;49336;46046;52626;7.0;15;5.0
7479;"Exports; total";8 Chemicals;Total all continents;2017;87477;84008;90945;4.0;19;5.0;61616;57912;65320;6.0;18;5.0
7480;"Exports; total";8 Chemicals;Africa;2007;1034;986;1082;5.0;0;;612;561;664;8.0;0;
7481;"Exports; total";8 Chemicals;Africa;2008;1086;1034;1138;5.0;0;4.0;642;589;695;8.0;0;9.0
7482;"Exports; total";8 Chemicals;Africa;2009;1056;1006;1107;5.0;0;9.0;750;688;813;8.0;0;5.0
7483;"Exports; total";8 Chemicals;Africa;2010;1113;1062;1165;5.0;0;4.0;674;617;731;8.0;0;1.0
7484;"Exports; total";8 Chemicals;Africa;2011;1212;1157;1267;5.0;0;4.0;651;594;708;9.0;0;9.0
7485;"Exports; total";8 Chemicals;Africa;2012;1477;1408;1546;5.0;0;5.0;805;734;877;9.0;0;5.0
7486;"Exports; total";8 Chemicals;Africa;2013;1444;1372;1517;5.0;0;9.0;755;692;819;8.0;0;9.0
7487;"Exports; total";8 Chemicals;Africa;2014;1452;1383;1521;5.0;0;9.0;658;602;715;9.0;0;1.0
7488;"Exports; total";8 Chemicals;Africa;2015;1512;1439;1584;5.0;0;9.0;697;631;764;10.0;0;9.0
7489;"Exports; total";8 Chemicals;Africa;2016;1460;1401;1520;4.0;0;9.0;846;767;924;9.0;0;5.0
7490;"Exports; total";8 Chemicals;Africa;2017;2121;2050;2191;3.0;0;5.0;2344;2123;2566;9.0;1;5.0
7491;"Exports; total";8 Chemicals;America;2007;5085;4766;5405;6.0;1;;2219;2037;2402;8.0;1;
7492;"Exports; total";8 Chemicals;America;2008;4602;4275;4928;7.0;1;2.0;2147;1975;2319;8.0;1;9.0
7493;"Exports; total";8 Chemicals;America;2009;4647;4280;5014;8.0;2;9.0;2149;1973;2324;8.0;1;9.0
7494;"Exports; total";8 Chemicals;America;2010;5575;5115;6035;8.0;2;5.0;2431;2224;2637;9.0;1;5.0
7495;"Exports; total";8 Chemicals;America;2011;5695;5242;6148;8.0;1;9.0;2131;1957;2305;8.0;1;1.0
7496;"Exports; total";8 Chemicals;America;2012;6050;5637;6464;7.0;1;9.0;2351;2157;2546;8.0;1;5.0
7497;"Exports; total";8 Chemicals;America;2013;4936;4617;5256;6.0;1;1.0;1865;1709;2020;8.0;1;1.0
7498;"Exports; total";8 Chemicals;America;2014;4411;4138;4685;6.0;1;1.0;1903;1741;2065;9.0;1;9.0
7499;"Exports; total";8 Chemicals;America;2015;5094;4793;5394;6.0;1;5.0;2016;1849;2182;8.0;1;9.0
7500;"Exports; total";8 Chemicals;America;2016;4456;4148;4764;7.0;1;1.0;2144;1965;2322;8.0;1;9.0
7501;"Exports; total";8 Chemicals;America;2017;5212;4870;5553;7.0;1;5.0;2834;2599;3070;8.0;1;5.0
7502;"Exports; total";8 Chemicals;Asia;2007;4279;4082;4477;5.0;1;;4796;4369;5224;9.0;2;
7503;"Exports; total";8 Chemicals;Asia;2008;4625;4403;4848;5.0;1;4.0;5771;5307;6235;8.0;2;5.0
7504;"Exports; total";8 Chemicals;Asia;2009;5003;4763;5243;5.0;2;4.0;7038;6513;7563;7.0;3;5.0
7505;"Exports; total";8 Chemicals;Asia;2010;5538;5275;5801;5.0;2;5.0;5228;4765;5691;9.0;2;1.0
7506;"Exports; total";8 Chemicals;Asia;2011;6280;5988;6573;5.0;2;5.0;6260;5768;6753;8.0;2;5.0
7507;"Exports; total";8 Chemicals;Asia;2012;7209;6857;7560;5.0;2;5.0;6542;5989;7096;8.0;2;9.0
7508;"Exports; total";8 Chemicals;Asia;2013;6802;6458;7146;5.0;2;2.0;5105;4656;5554;9.0;2;1.0
7509;"Exports; total";8 Chemicals;Asia;2014;6815;6468;7161;5.0;2;9.0;4918;4497;5338;9.0;2;9.0
7510;"Exports; total";8 Chemicals;Asia;2015;7664;7274;8054;5.0;2;5.0;5980;5477;6483;8.0;2;5.0
7511;"Exports; total";8 Chemicals;Asia;2016;9009;8595;9422;5.0;2;5.0;9692;8828;10556;9.0;3;5.0
7512;"Exports; total";8 Chemicals;Asia;2017;11705;11176;12234;5.0;3;5.0;16626;15153;18098;9.0;5;5.0
7513;"Exports; total";8 Chemicals;Europe;2007;48344;46165;50524;5.0;14;;37006;33874;40138;8.0;13;
7514;"Exports; total";8 Chemicals;Europe;2008;54296;51736;56856;5.0;15;5.0;35182;32134;38230;9.0;12;9.0
7515;"Exports; total";8 Chemicals;Europe;2009;47493;45186;49800;5.0;15;1.0;32274;29459;35088;9.0;12;2.0
7516;"Exports; total";8 Chemicals;Europe;2010;55129;52434;57824;5.0;15;5.0;35115;31924;38305;9.0;12;9.0
7517;"Exports; total";8 Chemicals;Europe;2011;60304;57623;62985;4.0;15;4.0;37388;34186;40590;9.0;12;9.0
7518;"Exports; total";8 Chemicals;Europe;2012;62538;59598;65479;5.0;15;9.0;36911;33713;40109;9.0;12;9.0
7519;"Exports; total";8 Chemicals;Europe;2013;61276;58204;64347;5.0;14;9.0;36074;32966;39181;9.0;11;9.0
7520;"Exports; total";8 Chemicals;Europe;2014;61026;58107;63945;5.0;14;9.0;36452;33298;39605;9.0;11;9.0
7521;"Exports; total";8 Chemicals;Europe;2015;59017;56119;61915;5.0;14;9.0;35209;32157;38261;9.0;11;9.0
7522;"Exports; total";8 Chemicals;Europe;2016;58510;55427;61594;5.0;14;9.0;36446;33292;39601;9.0;11;9.0
