ID;OutputAndImportPrices;ProductsAccordingToPRODCOMList;Periods;PriceIndexNumbersExcludingExcise_1;MonthOnMonthDevelopment_2;YearOnYearDevelopment_3
7689;Total sales;10513 Butter and dairy spreads;2015 July;98.7;-2.5;
7690;Total sales;10513 Butter and dairy spreads;2015 August;95.6;-3.1;
7691;Total sales;10513 Butter and dairy spreads;2015 September;;;
7692;Total sales;10513 Butter and dairy spreads;2015 October;;;
7693;Total sales;10513 Butter and dairy spreads;2015 November;;;
7694;Total sales;10513 Butter and dairy spreads;2015 December;;;
7695;Total sales;10513 Butter and dairy spreads;2015;100.0;;
7696;Total sales;10513 Butter and dairy spreads;2016 January;;;
7697;Total sales;10513 Butter and dairy spreads;2016 February;;;
7698;Total sales;10513 Butter and dairy spreads;2016 March;;;
7699;Total sales;10513 Butter and dairy spreads;2016 April;;;
7700;Total sales;10513 Butter and dairy spreads;2016 May;;;
7701;Total sales;10513 Butter and dairy spreads;2016 June;;;
7702;Total sales;10513 Butter and dairy spreads;2016 July;;;
7703;Total sales;10513 Butter and dairy spreads;2016 August;;;
7704;Total sales;10513 Butter and dairy spreads;2016 September;;;
7705;Total sales;10513 Butter and dairy spreads;2016 October;;;
7706;Total sales;10513 Butter and dairy spreads;2016 November;;;
7707;Total sales;10513 Butter and dairy spreads;2016 December;;;
7708;Total sales;10513 Butter and dairy spreads;2016;;;
7709;Total sales;10513 Butter and dairy spreads;2017 January;;;
7710;Total sales;10513 Butter and dairy spreads;2017 February;;;
7711;Total sales;10513 Butter and dairy spreads;2017 March;;;
7712;Total sales;10513 Butter and dairy spreads;2017 April;;;
7713;Total sales;10513 Butter and dairy spreads;2017 May;;;
7714;Total sales;10513 Butter and dairy spreads;2017 June;;;
7715;Total sales;10513 Butter and dairy spreads;2017 July;;;
7716;Total sales;10513 Butter and dairy spreads;2017 August;;;
7717;Total sales;10513 Butter and dairy spreads;2017 September;;;
7718;Total sales;10513 Butter and dairy spreads;2017 October;;;
7719;Total sales;10513 Butter and dairy spreads;2017 November;;;
7720;Total sales;10513 Butter and dairy spreads;2017 December;;;
7721;Total sales;10513 Butter and dairy spreads;2017;;;
7722;Total sales;10513 Butter and dairy spreads;2018 January;;;
7723;Total sales;10513 Butter and dairy spreads;2018 February;;;
7724;Total sales;10513 Butter and dairy spreads;2018 March;;;
7725;Total sales;10513 Butter and dairy spreads;2018 April;;;
7726;Total sales;10513 Butter and dairy spreads;2018 May;;;
7727;Total sales;10513 Butter and dairy spreads;2018 June;;;
7728;Total sales;10513 Butter and dairy spreads;2018 July;;;
7729;Total sales;10513 Butter and dairy spreads;2018 August;;;
7730;Total sales;10513 Butter and dairy spreads;2018 September;;;
7731;Total sales;10513 Butter and dairy spreads;2018 October;;;
7732;Total sales;10513 Butter and dairy spreads;2018 November;;;
7733;Total sales;10513 Butter and dairy spreads;2018 December;;;
7734;Total sales;10513 Butter and dairy spreads;2018;;;
7735;Total sales;10513 Butter and dairy spreads;2019 January;;;
7736;Total sales;10513 Butter and dairy spreads;2019 February;;;
7737;Total sales;10513 Butter and dairy spreads;2019 March;;;
7738;Total sales;10513 Butter and dairy spreads;2019 April;;;
7739;Total sales;10513 Butter and dairy spreads;2019 May;;;
7740;Total sales;10513 Butter and dairy spreads;2019 June;;;
7741;Total sales;10513 Butter and dairy spreads;2019 July;;;
7742;Total sales;10513 Butter and dairy spreads;2019 August;;;
7743;Total sales;10513 Butter and dairy spreads;2019 September;;;
7744;Total sales;10513 Butter and dairy spreads;2019 October;;;
7745;Total sales;10513 Butter and dairy spreads;2019 November;;;
7746;Total sales;10513 Butter and dairy spreads;2019 December;;;
7747;Total sales;10513 Butter and dairy spreads;2019;115.4;;
7748;Total sales;10513 Butter and dairy spreads;2020 January;;;
7749;Total sales;10513 Butter and dairy spreads;2020 February;;;
7750;Total sales;10513 Butter and dairy spreads;2020 March;;;
7751;Total sales;10513 Butter and dairy spreads;2020 April;;;
7752;Total sales;10513 Butter and dairy spreads;2020 May;;;
7753;Total sales;10513 Butter and dairy spreads;2020 June;;;
7754;Total sales;10513 Butter and dairy spreads;2020 July;;;
7755;Total sales;10513 Butter and dairy spreads;2020 August;;;
7756;Total sales;10513 Butter and dairy spreads;2020 September;;;
7757;Total sales;10513 Butter and dairy spreads;2020 October;;;
7758;Total sales;10513 Butter and dairy spreads;2020 November;;;
7759;Total sales;10513 Butter and dairy spreads;2020 December;;;
7760;Total sales;10513 Butter and dairy spreads;2020;99.0;;-14.2
7761;Total sales;10513 Butter and dairy spreads;2021 January;;;
7762;Total sales;10513 Butter and dairy spreads;2021 February;;;
7763;Total sales;10513 Butter and dairy spreads;2021 March;;;
7764;Total sales;10513 Butter and dairy spreads;2021 April;;;
7765;Total sales;10513 Butter and dairy spreads;2021 May;;;
7766;Total sales;10513 Butter and dairy spreads;2021 June;;;
7767;Total sales;10513 Butter and dairy spreads;2021 July;;;
7768;Total sales;10513 Butter and dairy spreads;2021 August;;;
7769;Total sales;10513 Butter and dairy spreads;2021 September;;;
7770;Total sales;10513 Butter and dairy spreads;2021 October;;;
7771;Total sales;10513 Butter and dairy spreads;2021 November;;;
7772;Total sales;10513 Butter and dairy spreads;2021 December;;;
7773;Total sales;10513 Butter and dairy spreads;2021;108.9;;10.0
7774;Total sales;10513 Butter and dairy spreads;2022 January;;;
7775;Total sales;10513 Butter and dairy spreads;2022 February;;;
7776;Total sales;10513 Butter and dairy spreads;2022 March;;;
7777;Total sales;10513 Butter and dairy spreads;2022 April;;;
7778;Total sales;10513 Butter and dairy spreads;2022 May;;;
7779;Total sales;10513 Butter and dairy spreads;2022 June;;;
7780;Total sales;10513 Butter and dairy spreads;2022 July;;;
7781;Total sales;10513 Butter and dairy spreads;2022 August;;;
7782;Total sales;10513 Butter and dairy spreads;2022 September;;;
7783;Total sales;10513 Butter and dairy spreads;2022 October;;;
7784;Total sales;10513 Butter and dairy spreads;2022 November;;;
7785;Total sales;10513 Butter and dairy spreads;2022 December;;;
7786;Total sales;10513 Butter and dairy spreads;2022;;;
7787;Total sales;10513 Butter and dairy spreads;2023 January;;;
7788;Total sales;10513 Butter and dairy spreads;2023 February;;;
7789;Total sales;10513 Butter and dairy spreads;2023 March;;;
7790;Total sales;10513 Butter and dairy spreads;2023 April;;;
7791;Total sales;10513 Butter and dairy spreads;2023 May;;;
7792;Total sales;10513 Butter and dairy spreads;2023 June;;;
7793;Total sales;10513 Butter and dairy spreads;2023 July;;;
7794;Total sales;10513 Butter and dairy spreads;2023 August;;;
7795;Total sales;10513 Butter and dairy spreads;2023 September;;;
7796;Total sales;10513 Butter and dairy spreads;2023 October;;;
7797;Total sales;10513 Butter and dairy spreads;2023 November;;;
7798;Total sales;10513 Butter and dairy spreads;2023 December;;;
7799;Total sales;10513 Butter and dairy spreads;2023;;;
7800;Total sales;10514 Cheese and curd;2012 January;110.8;;
7801;Total sales;10514 Cheese and curd;2012 February;109.8;-0.9;
7802;Total sales;10514 Cheese and curd;2012 March;109.1;-0.7;
7803;Total sales;10514 Cheese and curd;2012 April;108.3;-0.7;
7804;Total sales;10514 Cheese and curd;2012 May;108.0;-0.3;
7805;Total sales;10514 Cheese and curd;2012 June;108.3;0.3;
7806;Total sales;10514 Cheese and curd;2012 July;108.2;-0.1;
7807;Total sales;10514 Cheese and curd;2012 August;107.9;-0.2;
7808;Total sales;10514 Cheese and curd;2012 September;108.9;0.9;
7809;Total sales;10514 Cheese and curd;2012 October;110.3;1.3;
7810;Total sales;10514 Cheese and curd;2012 November;110.9;0.6;
7811;Total sales;10514 Cheese and curd;2012 December;111.5;0.5;
7812;Total sales;10514 Cheese and curd;2012;109.3;;
7813;Total sales;10514 Cheese and curd;2013 January;111.6;0.0;0.7
7814;Total sales;10514 Cheese and curd;2013 February;111.9;0.3;1.9
7815;Total sales;10514 Cheese and curd;2013 March;111.8;-0.2;2.5
7816;Total sales;10514 Cheese and curd;2013 April;111.9;0.2;3.4
7817;Total sales;10514 Cheese and curd;2013 May;114.0;1.8;5.6
7818;Total sales;10514 Cheese and curd;2013 June;115.6;1.4;6.8
7819;Total sales;10514 Cheese and curd;2013 July;115.5;-0.1;6.8
7820;Total sales;10514 Cheese and curd;2013 August;116.1;0.5;7.6
7821;Total sales;10514 Cheese and curd;2013 September;117.2;0.9;7.6
7822;Total sales;10514 Cheese and curd;2013 October;118.2;0.8;7.2
7823;Total sales;10514 Cheese and curd;2013 November;118.5;0.3;6.8
7824;Total sales;10514 Cheese and curd;2013 December;121.3;2.4;8.8
7825;Total sales;10514 Cheese and curd;2013;115.3;;5.5
7826;Total sales;10514 Cheese and curd;2014 January;123.3;1.6;10.5
7827;Total sales;10514 Cheese and curd;2014 February;122.9;-0.3;9.8
7828;Total sales;10514 Cheese and curd;2014 March;123.0;0.1;10.1
7829;Total sales;10514 Cheese and curd;2014 April;122.0;-0.8;9.0
7830;Total sales;10514 Cheese and curd;2014 May;121.3;-0.6;6.4
7831;Total sales;10514 Cheese and curd;2014 June;121.6;0.3;5.2
7832;Total sales;10514 Cheese and curd;2014 July;123.2;1.3;6.6
7833;Total sales;10514 Cheese and curd;2014 August;122.0;-0.9;5.1
7834;Total sales;10514 Cheese and curd;2014 September;119.5;-2.1;2.0
7835;Total sales;10514 Cheese and curd;2014 October;117.3;-1.9;-0.8
7836;Total sales;10514 Cheese and curd;2014 November;115.2;-1.7;-2.8
7837;Total sales;10514 Cheese and curd;2014 December;111.8;-3.0;-7.8
7838;Total sales;10514 Cheese and curd;2014;120.3;;4.3
7839;Total sales;10514 Cheese and curd;2015 January;107.9;-3.5;-12.5
7840;Total sales;10514 Cheese and curd;2015 February;101.5;-6.0;-17.4
7841;Total sales;10514 Cheese and curd;2015 March;101.5;0.0;-17.5
7842;Total sales;10514 Cheese and curd;2015 April;102.3;0.8;-16.2
7843;Total sales;10514 Cheese and curd;2015 May;100.8;-1.5;-16.9
7844;Total sales;10514 Cheese and curd;2015 June;98.9;-1.8;-18.7
7845;Total sales;10514 Cheese and curd;2015 July;97.7;-1.2;-20.7
7846;Total sales;10514 Cheese and curd;2015 August;97.4;-0.3;-20.2
7847;Total sales;10514 Cheese and curd;2015 September;;;
7848;Total sales;10514 Cheese and curd;2015 October;96.9;;-17.3
7849;Total sales;10514 Cheese and curd;2015 November;99.2;2.3;-13.9
7850;Total sales;10514 Cheese and curd;2015 December;99.1;-0.2;-11.4
7851;Total sales;10514 Cheese and curd;2015;;;
7852;Total sales;10514 Cheese and curd;2016 January;98.8;-0.3;-8.5
7853;Total sales;10514 Cheese and curd;2016 February;97.7;-1.1;-3.7
7854;Total sales;10514 Cheese and curd;2016 March;96.4;-1.3;-5.0
7855;Total sales;10514 Cheese and curd;2016 April;95.0;-1.4;-7.1
7856;Total sales;10514 Cheese and curd;2016 May;93.0;-2.1;-7.7
7857;Total sales;10514 Cheese and curd;2016 June;95.5;2.7;-3.4
7858;Total sales;10514 Cheese and curd;2016 July;93.4;-2.2;-4.4
7859;Total sales;10514 Cheese and curd;2016 August;93.9;0.5;-3.6
7860;Total sales;10514 Cheese and curd;2016 September;96.1;2.3;
7861;Total sales;10514 Cheese and curd;2016 October;97.9;1.9;1.0
7862;Total sales;10514 Cheese and curd;2016 November;97.4;-0.5;-1.8
7863;Total sales;10514 Cheese and curd;2016 December;97.2;-0.2;-1.9
7864;Total sales;10514 Cheese and curd;2016;96.0;;
7865;Total sales;10514 Cheese and curd;2017 January;101.1;4.1;2.4
7866;Total sales;10514 Cheese and curd;2017 February;115.0;13.7;17.7
7867;Total sales;10514 Cheese and curd;2017 March;113.9;-0.9;18.2
7868;Total sales;10514 Cheese and curd;2017 April;113.6;-0.3;19.6
7869;Total sales;10514 Cheese and curd;2017 May;116.4;2.4;25.1
7870;Total sales;10514 Cheese and curd;2017 June;116.6;0.2;22.0
7871;Total sales;10514 Cheese and curd;2017 July;118.6;1.8;27.0
7872;Total sales;10514 Cheese and curd;2017 August;119.2;0.5;26.9
7873;Total sales;10514 Cheese and curd;2017 September;119.4;0.2;24.2
7874;Total sales;10514 Cheese and curd;2017 October;119.0;-0.3;21.6
7875;Total sales;10514 Cheese and curd;2017 November;117.2;-1.5;20.3
7876;Total sales;10514 Cheese and curd;2017 December;121.0;3.2;24.5
7877;Total sales;10514 Cheese and curd;2017;115.9;;20.7
7878;Total sales;10514 Cheese and curd;2018 January;123.8;2.3;22.4
7879;Total sales;10514 Cheese and curd;2018 February;125.5;1.4;9.1
7880;Total sales;10514 Cheese and curd;2018 March;126.6;0.9;11.1
7881;Total sales;10514 Cheese and curd;2018 April;121.8;-3.8;7.2
7882;Total sales;10514 Cheese and curd;2018 May;117.6;-3.4;1.1
7883;Total sales;10514 Cheese and curd;2018 June;119.1;1.2;2.1
7884;Total sales;10514 Cheese and curd;2018 July;118.1;-0.8;-0.5
7885;Total sales;10514 Cheese and curd;2018 August;117.0;-0.9;-1.8
7886;Total sales;10514 Cheese and curd;2018 September;117.5;0.4;-1.6
7887;Total sales;10514 Cheese and curd;2018 October;118.9;1.2;-0.1
7888;Total sales;10514 Cheese and curd;2018 November;120.6;1.5;2.9
7889;Total sales;10514 Cheese and curd;2018 December;121.7;0.9;0.6
7890;Total sales;10514 Cheese and curd;2018;120.7;;4.1
7891;Total sales;10514 Cheese and curd;2019 January;122.7;0.9;-0.8
7892;Total sales;10514 Cheese and curd;2019 February;122.9;0.1;-2.0
7893;Total sales;10514 Cheese and curd;2019 March;123.0;0.1;-2.8
7894;Total sales;10514 Cheese and curd;2019 April;124.4;1.1;2.1
7895;Total sales;10514 Cheese and curd;2019 May;123.9;-0.4;5.3
7896;Total sales;10514 Cheese and curd;2019 June;124.8;0.8;4.8
7897;Total sales;10514 Cheese and curd;2019 July;124.1;-0.6;5.1
7898;Total sales;10514 Cheese and curd;2019 August;122.2;-1.5;4.5
7899;Total sales;10514 Cheese and curd;2019 September;122.3;0.1;4.1
7900;Total sales;10514 Cheese and curd;2019 October;121.2;-0.9;2.0
7901;Total sales;10514 Cheese and curd;2019 November;120.9;-0.3;0.2
7902;Total sales;10514 Cheese and curd;2019 December;120.9;0.0;-0.7
7903;Total sales;10514 Cheese and curd;2019;122.8;;1.8
7904;Total sales;10514 Cheese and curd;2020 January;122.0;0.9;-0.7
7905;Total sales;10514 Cheese and curd;2020 February;122.7;0.6;-0.2
7906;Total sales;10514 Cheese and curd;2020 March;122.8;0.1;-0.2
7907;Total sales;10514 Cheese and curd;2020 April;122.6;-0.1;-1.4
7908;Total sales;10514 Cheese and curd;2020 May;122.5;-0.1;-1.1
7909;Total sales;10514 Cheese and curd;2020 June;122.6;0.1;-1.8
7910;Total sales;10514 Cheese and curd;2020 July;121.9;-0.6;-1.8
7911;Total sales;10514 Cheese and curd;2020 August;116.9;-4.1;-4.4
7912;Total sales;10514 Cheese and curd;2020 September;116.1;-0.7;-5.1
7913;Total sales;10514 Cheese and curd;2020 October;115.4;-0.6;-4.8
7914;Total sales;10514 Cheese and curd;2020 November;118.5;2.7;-1.9
7915;Total sales;10514 Cheese and curd;2020 December;118.6;0.0;-1.9
7916;Total sales;10514 Cheese and curd;2020;120.2;;-2.1
7917;Total sales;10514 Cheese and curd;2021 January;118.4;-0.1;-2.9
7918;Total sales;10514 Cheese and curd;2021 February;119.0;0.5;-3.0
7919;Total sales;10514 Cheese and curd;2021 March;119.2;0.1;-2.9
7920;Total sales;10514 Cheese and curd;2021 April;119.7;0.4;-2.4
7921;Total sales;10514 Cheese and curd;2021 May;119.6;-0.1;-2.4
7922;Total sales;10514 Cheese and curd;2021 June;119.2;-0.3;-2.8
7923;Total sales;10514 Cheese and curd;2021 July;119.4;0.1;-2.1
7924;Total sales;10514 Cheese and curd;2021 August;119.5;0.1;2.2
7925;Total sales;10514 Cheese and curd;2021 September;119.9;0.4;3.3
7926;Total sales;10514 Cheese and curd;2021 October;120.3;0.4;4.3
7927;Total sales;10514 Cheese and curd;2021 November;120.7;0.3;1.8
7928;Total sales;10514 Cheese and curd;2021 December;120.5;-0.2;1.6
7929;Total sales;10514 Cheese and curd;2021;119.6;;-0.5
7930;Total sales;10514 Cheese and curd;2022 January;126.7;5.2;7.0
7931;Total sales;10514 Cheese and curd;2022 February;126.4;-0.2;6.2
7932;Total sales;10514 Cheese and curd;2022 March;127.2;0.7;6.8
7933;Total sales;10514 Cheese and curd;2022 April;128.9;1.3;7.7
7934;Total sales;10514 Cheese and curd;2022 May;130.0;0.9;8.7
7935;Total sales;10514 Cheese and curd;2022 June;132.1;1.6;10.8
7936;Total sales;10514 Cheese and curd;2022 July;138.3;4.7;15.9
7937;Total sales;10514 Cheese and curd;2022 August;139.7;1.0;16.9
7938;Total sales;10514 Cheese and curd;2022 September;140.0;0.2;16.7
7939;Total sales;10514 Cheese and curd;2022 October;140.0;0.1;16.4
7940;Total sales;10514 Cheese and curd;2022 November;139.9;-0.1;15.9
7941;Total sales;10514 Cheese and curd;2022 December;138.7;-0.8;15.1
7942;Total sales;10514 Cheese and curd;2022;134.0;;12.0
7943;Total sales;10514 Cheese and curd;2023 January;136.6;-1.5;7.8
7944;Total sales;10514 Cheese and curd;2023 February;129.2;-5.4;2.2
7945;Total sales;10514 Cheese and curd;2023 March;129.1;-0.1;1.5
7946;Total sales;10514 Cheese and curd;2023 April;125.7;-2.7;-2.5
7947;Total sales;10514 Cheese and curd;2023 May;124.9;-0.7;-4.0
7948;Total sales;10514 Cheese and curd;2023 June;124.4;-0.4;-5.8
7949;Total sales;10514 Cheese and curd;2023 July;124.1;-0.2;-10.2
7950;Total sales;10514 Cheese and curd;2023 August;125.1;0.7;-10.5
7951;Total sales;10514 Cheese and curd;2023 September;124.4;-0.5;-11.1
7952;Total sales;10514 Cheese and curd;2023 October;125.3;0.7;-10.6
7953;Total sales;10514 Cheese and curd;2023 November;125.1;-0.1;-10.5
7954;Total sales;10514 Cheese and curd;2023 December;126.2;0.9;-9.0
7955;Total sales;10514 Cheese and curd;2023;126.7;;-5.5
7956;Total sales;10515 Other dairy products;2012 January;105.4;;
7957;Total sales;10515 Other dairy products;2012 February;105.6;0.1;
7958;Total sales;10515 Other dairy products;2012 March;107.0;1.3;
7959;Total sales;10515 Other dairy products;2012 April;105.4;-1.5;
7960;Total sales;10515 Other dairy products;2012 May;105.5;0.1;
7961;Total sales;10515 Other dairy products;2012 June;106.9;1.3;
7962;Total sales;10515 Other dairy products;2012 July;109.7;2.7;
7963;Total sales;10515 Other dairy products;2012 August;109.8;0.1;
7964;Total sales;10515 Other dairy products;2012 September;109.6;-0.1;
7965;Total sales;10515 Other dairy products;2012 October;110.5;0.8;
7966;Total sales;10515 Other dairy products;2012 November;111.5;0.9;
7967;Total sales;10515 Other dairy products;2012 December;110.3;-1.1;
7968;Total sales;10515 Other dairy products;2012;108.1;;
7969;Total sales;10515 Other dairy products;2013 January;109.7;-0.6;4.0
7970;Total sales;10515 Other dairy products;2013 February;109.9;0.2;4.1
7971;Total sales;10515 Other dairy products;2013 March;108.2;-1.6;1.1
7972;Total sales;10515 Other dairy products;2013 April;108.9;0.7;3.3
7973;Total sales;10515 Other dairy products;2013 May;110.0;1.0;4.3
7974;Total sales;10515 Other dairy products;2013 June;110.7;0.7;3.6
7975;Total sales;10515 Other dairy products;2013 July;110.9;0.1;1.0
7976;Total sales;10515 Other dairy products;2013 August;113.3;2.2;3.2
7977;Total sales;10515 Other dairy products;2013 September;114.9;1.5;4.8
7978;Total sales;10515 Other dairy products;2013 October;109.9;-4.3;-0.5
7979;Total sales;10515 Other dairy products;2013 November;108.8;-1.0;-2.5
7980;Total sales;10515 Other dairy products;2013 December;110.4;1.5;0.1
7981;Total sales;10515 Other dairy products;2013;110.5;;2.2
7982;Total sales;10515 Other dairy products;2014 January;111.9;1.4;2.0
7983;Total sales;10515 Other dairy products;2014 February;112.1;0.2;2.0
7984;Total sales;10515 Other dairy products;2014 March;111.2;-0.8;2.8
7985;Total sales;10515 Other dairy products;2014 April;110.7;-0.5;1.7
7986;Total sales;10515 Other dairy products;2014 May;110.2;-0.5;0.2
7987;Total sales;10515 Other dairy products;2014 June;108.6;-1.5;-1.9
7988;Total sales;10515 Other dairy products;2014 July;108.5;0.0;-2.1
7989;Total sales;10515 Other dairy products;2014 August;107.8;-0.7;-4.8
7990;Total sales;10515 Other dairy products;2014 September;108.8;0.9;-5.3
7991;Total sales;10515 Other dairy products;2014 October;107.9;-0.8;-1.8
7992;Total sales;10515 Other dairy products;2014 November;107.6;-0.4;-1.1
7993;Total sales;10515 Other dairy products;2014 December;106.0;-1.4;-4.0
7994;Total sales;10515 Other dairy products;2014;109.3;;-1.1
7995;Total sales;10515 Other dairy products;2015 January;;;
7996;Total sales;10515 Other dairy products;2015 February;107.1;;-4.5
7997;Total sales;10515 Other dairy products;2015 March;108.4;1.2;-2.6
7998;Total sales;10515 Other dairy products;2015 April;106.7;-1.5;-3.6
7999;Total sales;10515 Other dairy products;2015 May;106.6;-0.1;-3.3
8000;Total sales;10515 Other dairy products;2015 June;102.5;-3.8;-5.6
8001;Total sales;10515 Other dairy products;2015 July;99.2;-3.3;-8.6
8002;Total sales;10515 Other dairy products;2015 August;92.6;-6.6;-14.1
8003;Total sales;10515 Other dairy products;2015 September;92.5;-0.1;-14.9
8004;Total sales;10515 Other dairy products;2015 October;92.2;-0.3;-14.6
8005;Total sales;10515 Other dairy products;2015 November;92.4;0.2;-14.1
8006;Total sales;10515 Other dairy products;2015 December;92.6;0.2;-12.7
8007;Total sales;10515 Other dairy products;2015;;;
8008;Total sales;10515 Other dairy products;2016 January;91.2;-1.5;
8009;Total sales;10515 Other dairy products;2016 February;90.6;-0.6;-15.4
8010;Total sales;10515 Other dairy products;2016 March;90.7;0.2;-16.3
8011;Total sales;10515 Other dairy products;2016 April;88.5;-2.5;-17.1
8012;Total sales;10515 Other dairy products;2016 May;88.2;-0.3;-17.2
8013;Total sales;10515 Other dairy products;2016 June;88.7;0.6;-13.5
8014;Total sales;10515 Other dairy products;2016 July;90.5;1.9;-8.8
8015;Total sales;10515 Other dairy products;2016 August;92.2;2.0;-0.4
8016;Total sales;10515 Other dairy products;2016 September;100.2;8.7;8.3
8017;Total sales;10515 Other dairy products;2016 October;102.2;1.9;10.8
8018;Total sales;10515 Other dairy products;2016 November;102.7;0.5;11.1
8019;Total sales;10515 Other dairy products;2016 December;105.7;2.9;14.1
8020;Total sales;10515 Other dairy products;2016;94.3;;
8021;Total sales;10515 Other dairy products;2017 January;109.9;4.0;20.5
8022;Total sales;10515 Other dairy products;2017 February;110.2;0.3;21.6
8023;Total sales;10515 Other dairy products;2017 March;110.9;0.7;22.2
8024;Total sales;10515 Other dairy products;2017 April;111.2;0.3;25.6
8025;Total sales;10515 Other dairy products;2017 May;111.7;0.5;26.6
8026;Total sales;10515 Other dairy products;2017 June;112.6;0.8;26.9
8027;Total sales;10515 Other dairy products;2017 July;112.5;0.0;24.4
8028;Total sales;10515 Other dairy products;2017 August;110.8;-1.6;20.1
8029;Total sales;10515 Other dairy products;2017 September;107.9;-2.6;7.6
8030;Total sales;10515 Other dairy products;2017 October;101.5;-5.9;-0.6
8031;Total sales;10515 Other dairy products;2017 November;99.2;-2.3;-3.3
8032;Total sales;10515 Other dairy products;2017 December;98.7;-0.5;-6.5
8033;Total sales;10515 Other dairy products;2017;108.1;;14.7
8034;Total sales;10515 Other dairy products;2018 January;98.5;-0.3;-10.4
8035;Total sales;10515 Other dairy products;2018 February;97.9;-0.6;-11.2
8036;Total sales;10515 Other dairy products;2018 March;97.2;-0.7;-12.4
8037;Total sales;10515 Other dairy products;2018 April;97.3;0.1;-12.5
8038;Total sales;10515 Other dairy products;2018 May;98.4;1.2;-11.9
8039;Total sales;10515 Other dairy products;2018 June;101.0;2.7;-10.2
8040;Total sales;10515 Other dairy products;2018 July;104.2;3.2;-7.4
8041;Total sales;10515 Other dairy products;2018 August;103.7;-0.5;-6.4
8042;Total sales;10515 Other dairy products;2018 September;106.6;2.8;-1.2
8043;Total sales;10515 Other dairy products;2018 October;107.0;0.3;5.3
8044;Total sales;10515 Other dairy products;2018 November;107.2;0.2;8.0
8045;Total sales;10515 Other dairy products;2018 December;107.7;0.5;9.1
8046;Total sales;10515 Other dairy products;2018;102.2;;-5.4
8047;Total sales;10515 Other dairy products;2019 January;112.4;4.4;14.2
8048;Total sales;10515 Other dairy products;2019 February;115.2;2.5;17.7
8049;Total sales;10515 Other dairy products;2019 March;115.3;0.1;18.6
8050;Total sales;10515 Other dairy products;2019 April;115.4;0.2;18.7
8051;Total sales;10515 Other dairy products;2019 May;115.2;-0.2;17.1
8052;Total sales;10515 Other dairy products;2019 June;114.7;-0.4;13.6
8053;Total sales;10515 Other dairy products;2019 July;114.9;0.1;10.3
8054;Total sales;10515 Other dairy products;2019 August;113.9;-0.8;9.9
8055;Total sales;10515 Other dairy products;2019 September;113.3;-0.6;6.3
8056;Total sales;10515 Other dairy products;2019 October;112.9;-0.3;5.6
8057;Total sales;10515 Other dairy products;2019 November;113.1;0.2;5.5
8058;Total sales;10515 Other dairy products;2019 December;113.2;0.1;5.1
8059;Total sales;10515 Other dairy products;2019;114.1;;11.7
8060;Total sales;10515 Other dairy products;2020 January;114.5;1.2;1.9
8061;Total sales;10515 Other dairy products;2020 February;117.0;2.2;1.6
8062;Total sales;10515 Other dairy products;2020 March;119.2;1.9;3.4
8063;Total sales;10515 Other dairy products;2020 April;118.0;-1.0;2.2
8064;Total sales;10515 Other dairy products;2020 May;117.3;-0.6;1.8
8065;Total sales;10515 Other dairy products;2020 June;119.1;1.5;3.8
8066;Total sales;10515 Other dairy products;2020 July;119.5;0.4;4.0
8067;Total sales;10515 Other dairy products;2020 August;119.8;0.2;5.1
8068;Total sales;10515 Other dairy products;2020 September;119.4;-0.3;5.4
8069;Total sales;10515 Other dairy products;2020 October;119.5;0.1;5.8
8070;Total sales;10515 Other dairy products;2020 November;120.9;1.2;6.9
8071;Total sales;10515 Other dairy products;2020 December;121.0;0.0;6.8
8072;Total sales;10515 Other dairy products;2020;118.8;;4.1
8073;Total sales;10515 Other dairy products;2021 January;121.0;0.1;5.7
8074;Total sales;10515 Other dairy products;2021 February;125.4;3.6;7.2
8075;Total sales;10515 Other dairy products;2021 March;128.9;2.8;8.1
8076;Total sales;10515 Other dairy products;2021 April;130.7;1.4;10.7
8077;Total sales;10515 Other dairy products;2021 May;130.5;-0.1;11.2
8078;Total sales;10515 Other dairy products;2021 June;130.8;0.2;9.9
8079;Total sales;10515 Other dairy products;2021 July;131.9;0.8;10.4
8080;Total sales;10515 Other dairy products;2021 August;130.3;-1.2;8.8
8081;Total sales;10515 Other dairy products;2021 September;131.2;0.7;9.9
8082;Total sales;10515 Other dairy products;2021 October;132.4;0.9;10.8
8083;Total sales;10515 Other dairy products;2021 November;132.8;0.3;9.8
8084;Total sales;10515 Other dairy products;2021 December;134.6;1.4;11.3
8085;Total sales;10515 Other dairy products;2021;130.0;;9.5
8086;Total sales;10515 Other dairy products;2022 January;146.2;8.6;20.8
8087;Total sales;10515 Other dairy products;2022 February;146.2;0.0;16.6
8088;Total sales;10515 Other dairy products;2022 March;150.7;3.0;16.9
8089;Total sales;10515 Other dairy products;2022 April;155.1;3.0;18.7
8090;Total sales;10515 Other dairy products;2022 May;155.8;0.4;19.4
8091;Total sales;10515 Other dairy products;2022 June;149.1;-4.3;14.0
8092;Total sales;10515 Other dairy products;2022 July;154.9;3.9;17.4
8093;Total sales;10515 Other dairy products;2022 August;152.9;-1.3;17.3
8094;Total sales;10515 Other dairy products;2022 September;153.4;0.4;17.0
8095;Total sales;10515 Other dairy products;2022 October;152.1;-0.9;14.9
8096;Total sales;10515 Other dairy products;2022 November;150.3;-1.2;13.2
8097;Total sales;10515 Other dairy products;2022 December;148.2;-1.4;10.1
