ID;TypeOfCapitalGood;SectorsBranchesSIC2008;Periods;CapitalStockClosingBalanceSheet_1;VolumeIndices2010100_2;CapitalStockOpeningBalanceSheet_3;Revaluation_4;InvestInFixedAssetsProdAndImport_5;Depreciation_6;TradeAndOtherChanges_7;StatisticalDiscrepancy_8;CapitalStockClosingBalanceSheet_9
7732;Other road transport equipment;A Agriculture, forestry and fishing;2005;170.0;43.0;133.0;2.0;61.0;25.0;0.0;0.0;170.0
7733;Other road transport equipment;A Agriculture, forestry and fishing;2006;195.0;49.0;170.0;1.0;53.0;30.0;0.0;0.0;195.0
7734;Other road transport equipment;A Agriculture, forestry and fishing;2007;236.0;57.9;195.0;5.0;71.0;35.0;0.0;0.0;236.0
7735;Other road transport equipment;A Agriculture, forestry and fishing;2008;273.0;65.0;236.0;7.0;70.0;40.0;0.0;0.0;273.0
7736;Other road transport equipment;A Agriculture, forestry and fishing;2009;315.0;75.0;273.0;0.0;89.0;46.0;0.0;0.0;315.0
7737;Other road transport equipment;A Agriculture, forestry and fishing;2010;432.0;100.0;315.0;9.0;165.0;58.0;0.0;0.0;432.0
7738;Other road transport equipment;A Agriculture, forestry and fishing;2011;559.0;128.2;432.0;4.0;198.0;75.0;0.0;0.0;559.0
7739;Other road transport equipment;A Agriculture, forestry and fishing;2012;655.0;149.2;559.0;4.0;183.0;91.0;0.0;0.0;655.0
7740;Other road transport equipment;A Agriculture, forestry and fishing;2013;704.0;158.9;655.0;6.0;146.0;103.0;0.0;0.0;704.0
7741;Other road transport equipment;A Agriculture, forestry and fishing;2014;724.0;165.3;704.0;-8.0;137.0;109.0;0.0;0.0;724.0
7742;Other road transport equipment;A Agriculture, forestry and fishing;2015;752.0;172.1;724.0;-2.0;145.0;114.0;0.0;0.0;752.0
7743;Other road transport equipment;A Agriculture, forestry and fishing;2016;807.0;183.7;752.0;;;;;;807.0
7744;Other road transport equipment;B-E Industry (no construction), energy;1995;316.0;62.6;317.0;4.0;68.0;81.0;3.0;5.0;316.0
7745;Other road transport equipment;B-E Industry (no construction), energy;1996;324.0;63.8;316.0;2.0;79.0;79.0;0.0;6.0;324.0
7746;Other road transport equipment;B-E Industry (no construction), energy;1997;344.0;67.8;324.0;0.0;95.0;80.0;0.0;5.0;344.0
7747;Other road transport equipment;B-E Industry (no construction), energy;1998;363.0;71.9;344.0;-2.0;104.0;83.0;0.0;0.0;363.0
7748;Other road transport equipment;B-E Industry (no construction), energy;1999;391.0;77.4;363.0;0.0;110.0;87.0;0.0;4.0;391.0
7749;Other road transport equipment;B-E Industry (no construction), energy;2000;428.0;83.0;391.0;8.0;123.0;94.0;0.0;0.0;428.0
7750;Other road transport equipment;B-E Industry (no construction), energy;2001;450.0;86.8;428.0;2.0;119.0;99.0;0.0;0.0;450.0
7751;Other road transport equipment;B-E Industry (no construction), energy;2002;454.0;87.0;450.0;3.0;103.0;101.0;0.0;0.0;454.0
7752;Other road transport equipment;B-E Industry (no construction), energy;2003;462.0;88.4;454.0;1.0;108.0;102.0;0.0;1.0;462.0
7753;Other road transport equipment;B-E Industry (no construction), energy;2004;466.0;88.6;462.0;3.0;104.0;103.0;0.0;0.0;466.0
7754;Other road transport equipment;B-E Industry (no construction), energy;2005;475.0;89.3;466.0;5.0;108.0;103.0;-1.0;0.0;475.0
7755;Other road transport equipment;B-E Industry (no construction), energy;2006;496.0;92.9;475.0;2.0;123.0;103.0;-1.0;0.0;496.0
7756;Other road transport equipment;B-E Industry (no construction), energy;2007;534.0;97.6;496.0;12.0;134.0;108.0;0.0;0.0;534.0
7757;Other road transport equipment;B-E Industry (no construction), energy;2008;574.0;101.9;534.0;16.0;137.0;114.0;0.0;0.0;574.0
7758;Other road transport equipment;B-E Industry (no construction), energy;2009;577.0;102.6;574.0;-1.0;118.0;114.0;0.0;0.0;577.0
7759;Other road transport equipment;B-E Industry (no construction), energy;2010;580.0;100.0;577.0;18.0;101.0;115.0;-1.0;0.0;580.0
7760;Other road transport equipment;B-E Industry (no construction), energy;2011;588.0;100.3;580.0;6.0;120.0;114.0;-4.0;0.0;588.0
7761;Other road transport equipment;B-E Industry (no construction), energy;2012;602.0;102.2;588.0;3.0;127.0;115.0;-2.0;0.0;602.0
7762;Other road transport equipment;B-E Industry (no construction), energy;2013;619.0;103.9;602.0;7.0;127.0;117.0;0.0;0.0;619.0
7763;Other road transport equipment;B-E Industry (no construction), energy;2014;597.0;101.5;619.0;-8.0;101.0;115.0;0.0;0.0;597.0
7764;Other road transport equipment;B-E Industry (no construction), energy;2015;617.0;105.4;597.0;-3.0;137.0;115.0;0.0;0.0;617.0
7765;Other road transport equipment;B-E Industry (no construction), energy;2016;662.0;112.4;617.0;;;;;;662.0
7766;Other road transport equipment;B Mining and quarrying ;1995;5.0;95.8;6.0;0.0;1.0;2.0;0.0;0.0;5.0
7767;Other road transport equipment;B Mining and quarrying ;1996;5.0;95.2;5.0;0.0;1.0;2.0;0.0;0.0;5.0
7768;Other road transport equipment;B Mining and quarrying ;1997;4.0;76.2;5.0;0.0;1.0;1.0;0.0;0.0;4.0
7769;Other road transport equipment;B Mining and quarrying ;1998;4.0;76.6;4.0;0.0;1.0;1.0;0.0;0.0;4.0
7770;Other road transport equipment;B Mining and quarrying ;1999;5.0;95.6;4.0;0.0;2.0;1.0;0.0;0.0;5.0
7771;Other road transport equipment;B Mining and quarrying ;2000;7.0;131.3;5.0;0.0;4.0;2.0;0.0;0.0;7.0
7772;Other road transport equipment;B Mining and quarrying ;2001;7.0;116.7;7.0;0.0;1.0;2.0;0.0;0.0;7.0
7773;Other road transport equipment;B Mining and quarrying ;2002;6.0;100.0;7.0;0.0;1.0;2.0;0.0;0.0;6.0
7774;Other road transport equipment;B Mining and quarrying ;2003;5.0;83.3;6.0;0.0;1.0;2.0;0.0;0.0;5.0
7775;Other road transport equipment;B Mining and quarrying ;2004;5.0;83.3;5.0;0.0;1.0;1.0;0.0;0.0;5.0
7776;Other road transport equipment;B Mining and quarrying ;2005;5.0;83.3;5.0;0.0;1.0;1.0;0.0;0.0;5.0
7777;Other road transport equipment;B Mining and quarrying ;2006;5.0;83.3;5.0;0.0;1.0;1.0;0.0;0.0;5.0
7778;Other road transport equipment;B Mining and quarrying ;2007;4.0;66.7;5.0;0.0;1.0;1.0;0.0;0.0;4.0
7779;Other road transport equipment;B Mining and quarrying ;2008;6.0;100.0;4.0;0.0;3.0;1.0;0.0;0.0;6.0
7780;Other road transport equipment;B Mining and quarrying ;2009;7.0;116.7;6.0;0.0;2.0;2.0;0.0;0.0;7.0
7781;Other road transport equipment;B Mining and quarrying ;2010;6.0;100.0;7.0;0.0;1.0;2.0;0.0;0.0;6.0
7782;Other road transport equipment;B Mining and quarrying ;2011;7.0;116.7;6.0;0.0;2.0;2.0;0.0;0.0;7.0
7783;Other road transport equipment;B Mining and quarrying ;2012;7.0;116.7;7.0;0.0;2.0;2.0;0.0;0.0;7.0
7784;Other road transport equipment;B Mining and quarrying ;2013;9.0;150.0;7.0;0.0;3.0;2.0;0.0;0.0;9.0
7785;Other road transport equipment;B Mining and quarrying ;2014;9.0;150.0;9.0;0.0;2.0;2.0;0.0;0.0;9.0
7786;Other road transport equipment;B Mining and quarrying ;2015;9.0;150.0;9.0;0.0;2.0;2.0;0.0;0.0;9.0
7787;Other road transport equipment;B Mining and quarrying ;2016;9.0;150.0;9.0;;;;;;9.0
7788;Other road transport equipment;C Manufacturing;1995;193.0;75.2;195.0;2.0;44.0;51.0;3.0;0.0;193.0
7789;Other road transport equipment;C Manufacturing;1996;189.0;73.2;193.0;1.0;45.0;50.0;0.0;0.0;189.0
7790;Other road transport equipment;C Manufacturing;1997;199.0;77.1;189.0;0.0;59.0;49.0;0.0;0.0;199.0
7791;Other road transport equipment;C Manufacturing;1998;209.0;81.4;199.0;-1.0;61.0;50.0;0.0;0.0;209.0
7792;Other road transport equipment;C Manufacturing;1999;217.0;84.4;209.0;0.0;60.0;52.0;0.0;-1.0;217.0
7793;Other road transport equipment;C Manufacturing;2000;225.0;85.8;217.0;4.0;57.0;53.0;0.0;0.0;225.0
7794;Other road transport equipment;C Manufacturing;2001;224.0;84.6;225.0;1.0;52.0;54.0;0.0;0.0;224.0
7795;Other road transport equipment;C Manufacturing;2002;218.0;82.0;224.0;1.0;45.0;53.0;0.0;0.0;218.0
7796;Other road transport equipment;C Manufacturing;2003;215.0;80.5;218.0;1.0;47.0;51.0;0.0;1.0;215.0
7797;Other road transport equipment;C Manufacturing;2004;215.0;80.1;215.0;1.0;49.0;51.0;0.0;0.0;215.0
7798;Other road transport equipment;C Manufacturing;2005;222.0;82.0;215.0;2.0;55.0;51.0;0.0;0.0;222.0
7799;Other road transport equipment;C Manufacturing;2006;229.0;84.2;222.0;1.0;57.0;51.0;0.0;0.0;229.0
7800;Other road transport equipment;C Manufacturing;2007;247.0;88.5;229.0;6.0;65.0;52.0;0.0;0.0;247.0
7801;Other road transport equipment;C Manufacturing;2008;277.0;96.5;247.0;7.0;78.0;56.0;0.0;0.0;277.0
7802;Other road transport equipment;C Manufacturing;2009;286.0;100.0;277.0;-1.0;68.0;58.0;0.0;0.0;286.0
7803;Other road transport equipment;C Manufacturing;2010;295.0;100.0;286.0;9.0;60.0;60.0;0.0;0.0;295.0
7804;Other road transport equipment;C Manufacturing;2011;312.0;104.7;295.0;3.0;79.0;61.0;-4.0;0.0;312.0
7805;Other road transport equipment;C Manufacturing;2012;327.0;109.0;312.0;2.0;79.0;63.0;-2.0;0.0;327.0
7806;Other road transport equipment;C Manufacturing;2013;354.0;116.6;327.0;4.0;90.0;67.0;0.0;0.0;354.0
7807;Other road transport equipment;C Manufacturing;2014;353.0;117.6;354.0;-4.0;71.0;68.0;0.0;0.0;353.0
7808;Other road transport equipment;C Manufacturing;2015;386.0;129.0;353.0;-1.0;106.0;71.0;0.0;0.0;386.0
7809;Other road transport equipment;C Manufacturing;2016;436.0;144.6;386.0;;;;;;436.0
7810;Other road transport equipment;10-12 Manufacture of food and beverages;1995;60.0;140.8;67.0;1.0;9.0;16.0;0.0;0.0;60.0
7811;Other road transport equipment;10-12 Manufacture of food and beverages;1996;56.0;130.5;60.0;0.0;10.0;15.0;0.0;0.0;56.0
7812;Other road transport equipment;10-12 Manufacture of food and beverages;1997;54.0;125.9;56.0;0.0;11.0;13.0;0.0;0.0;54.0
7813;Other road transport equipment;10-12 Manufacture of food and beverages;1998;54.0;126.5;54.0;0.0;13.0;13.0;0.0;0.0;54.0
7814;Other road transport equipment;10-12 Manufacture of food and beverages;1999;52.0;121.8;54.0;0.0;11.0;12.0;0.0;0.0;52.0
7815;Other road transport equipment;10-12 Manufacture of food and beverages;2000;52.0;119.4;52.0;1.0;11.0;12.0;0.0;0.0;52.0
7816;Other road transport equipment;10-12 Manufacture of food and beverages;2001;52.0;118.1;52.0;0.0;11.0;12.0;0.0;0.0;52.0
7817;Other road transport equipment;10-12 Manufacture of food and beverages;2002;49.0;111.3;52.0;0.0;9.0;11.0;0.0;0.0;49.0
7818;Other road transport equipment;10-12 Manufacture of food and beverages;2003;48.0;109.0;49.0;0.0;10.0;11.0;0.0;0.0;48.0
7819;Other road transport equipment;10-12 Manufacture of food and beverages;2004;47.0;106.7;48.0;0.0;9.0;11.0;0.0;0.0;47.0
7820;Other road transport equipment;10-12 Manufacture of food and beverages;2005;48.0;106.7;47.0;1.0;11.0;11.0;0.0;0.0;48.0
7821;Other road transport equipment;10-12 Manufacture of food and beverages;2006;45.0;100.0;48.0;0.0;7.0;10.0;0.0;0.0;45.0
7822;Other road transport equipment;10-12 Manufacture of food and beverages;2007;45.0;97.9;45.0;1.0;8.0;10.0;0.0;0.0;45.0
7823;Other road transport equipment;10-12 Manufacture of food and beverages;2008;46.0;97.9;45.0;1.0;10.0;10.0;0.0;0.0;46.0
7824;Other road transport equipment;10-12 Manufacture of food and beverages;2009;47.0;100.0;46.0;0.0;11.0;10.0;0.0;0.0;47.0
7825;Other road transport equipment;10-12 Manufacture of food and beverages;2010;49.0;100.0;47.0;2.0;10.0;10.0;0.0;0.0;49.0
7826;Other road transport equipment;10-12 Manufacture of food and beverages;2011;48.0;96.0;49.0;1.0;8.0;10.0;0.0;0.0;48.0
7827;Other road transport equipment;10-12 Manufacture of food and beverages;2012;46.0;92.0;48.0;0.0;7.0;9.0;0.0;0.0;46.0
7828;Other road transport equipment;10-12 Manufacture of food and beverages;2013;46.0;90.0;46.0;1.0;9.0;9.0;0.0;0.0;46.0
7829;Other road transport equipment;10-12 Manufacture of food and beverages;2014;45.0;90.0;46.0;-1.0;9.0;9.0;0.0;0.0;45.0
7830;Other road transport equipment;10-12 Manufacture of food and beverages;2015;46.0;92.0;45.0;0.0;10.0;9.0;0.0;0.0;46.0
7831;Other road transport equipment;10-12 Manufacture of food and beverages;2016;49.0;98.0;46.0;;;;;;49.0
7832;Other road transport equipment;13-15 Man. of textile-, leather products;1995;6.0;115.0;6.0;0.0;2.0;2.0;0.0;0.0;6.0
7833;Other road transport equipment;13-15 Man. of textile-, leather products;1996;6.0;114.2;6.0;0.0;1.0;2.0;0.0;0.0;6.0
7834;Other road transport equipment;13-15 Man. of textile-, leather products;1997;7.0;133.3;6.0;0.0;2.0;1.0;0.0;0.0;7.0
7835;Other road transport equipment;13-15 Man. of textile-, leather products;1998;7.0;134.0;7.0;0.0;2.0;2.0;0.0;0.0;7.0
7836;Other road transport equipment;13-15 Man. of textile-, leather products;1999;7.0;133.9;7.0;0.0;2.0;2.0;0.0;0.0;7.0
7837;Other road transport equipment;13-15 Man. of textile-, leather products;2000;8.0;150.0;7.0;0.0;2.0;2.0;0.0;0.0;8.0
7838;Other road transport equipment;13-15 Man. of textile-, leather products;2001;7.0;116.7;8.0;0.0;1.0;2.0;0.0;0.0;7.0
7839;Other road transport equipment;13-15 Man. of textile-, leather products;2002;7.0;116.7;7.0;0.0;1.0;2.0;0.0;0.0;7.0
7840;Other road transport equipment;13-15 Man. of textile-, leather products;2003;6.0;100.0;7.0;0.0;1.0;1.0;0.0;0.0;6.0
7841;Other road transport equipment;13-15 Man. of textile-, leather products;2004;6.0;100.0;6.0;0.0;1.0;1.0;0.0;0.0;6.0
7842;Other road transport equipment;13-15 Man. of textile-, leather products;2005;6.0;100.0;6.0;0.0;1.0;1.0;0.0;0.0;6.0
7843;Other road transport equipment;13-15 Man. of textile-, leather products;2006;6.0;100.0;6.0;0.0;1.0;1.0;0.0;0.0;6.0
7844;Other road transport equipment;13-15 Man. of textile-, leather products;2007;6.0;100.0;6.0;0.0;2.0;1.0;0.0;0.0;6.0
7845;Other road transport equipment;13-15 Man. of textile-, leather products;2008;6.0;100.0;6.0;0.0;1.0;1.0;0.0;0.0;6.0
7846;Other road transport equipment;13-15 Man. of textile-, leather products;2009;6.0;100.0;6.0;0.0;1.0;1.0;0.0;0.0;6.0
7847;Other road transport equipment;13-15 Man. of textile-, leather products;2010;6.0;100.0;6.0;0.0;1.0;1.0;0.0;0.0;6.0
7848;Other road transport equipment;13-15 Man. of textile-, leather products;2011;6.0;100.0;6.0;0.0;1.0;1.0;0.0;0.0;6.0
7849;Other road transport equipment;13-15 Man. of textile-, leather products;2012;6.0;100.0;6.0;0.0;1.0;1.0;0.0;0.0;6.0
7850;Other road transport equipment;13-15 Man. of textile-, leather products;2013;6.0;100.0;6.0;0.0;1.0;1.0;0.0;0.0;6.0
7851;Other road transport equipment;13-15 Man. of textile-, leather products;2014;6.0;100.0;6.0;0.0;1.0;1.0;0.0;0.0;6.0
7852;Other road transport equipment;13-15 Man. of textile-, leather products;2015;6.0;100.0;6.0;0.0;1.0;1.0;0.0;0.0;6.0
7853;Other road transport equipment;13-15 Man. of textile-, leather products;2016;6.0;100.0;6.0;;;;;;6.0
7854;Other road transport equipment;16-18 Man. wood en paper prod., printing;1995;19.0;95.0;17.0;0.0;7.0;6.0;0.0;0.0;19.0
7855;Other road transport equipment;16-18 Man. wood en paper prod., printing;1996;21.0;104.3;19.0;0.0;8.0;6.0;0.0;0.0;21.0
7856;Other road transport equipment;16-18 Man. wood en paper prod., printing;1997;25.0;124.2;21.0;0.0;10.0;6.0;0.0;0.0;25.0
7857;Other road transport equipment;16-18 Man. wood en paper prod., printing;1998;26.0;129.8;25.0;0.0;8.0;7.0;0.0;0.0;26.0
7858;Other road transport equipment;16-18 Man. wood en paper prod., printing;1999;26.0;129.7;26.0;0.0;8.0;7.0;0.0;0.0;26.0
7859;Other road transport equipment;16-18 Man. wood en paper prod., printing;2000;28.0;137.0;26.0;1.0;8.0;7.0;0.0;0.0;28.0
7860;Other road transport equipment;16-18 Man. wood en paper prod., printing;2001;26.0;127.2;28.0;0.0;6.0;7.0;0.0;0.0;26.0
7861;Other road transport equipment;16-18 Man. wood en paper prod., printing;2002;24.0;117.4;26.0;0.0;5.0;7.0;0.0;0.0;24.0
7862;Other road transport equipment;16-18 Man. wood en paper prod., printing;2003;25.0;122.3;24.0;0.0;7.0;7.0;0.0;0.0;25.0
7863;Other road transport equipment;16-18 Man. wood en paper prod., printing;2004;24.0;117.4;25.0;0.0;6.0;7.0;0.0;0.0;24.0
7864;Other road transport equipment;16-18 Man. wood en paper prod., printing;2005;25.0;122.3;24.0;0.0;7.0;7.0;0.0;0.0;25.0
7865;Other road transport equipment;16-18 Man. wood en paper prod., printing;2006;24.0;117.4;25.0;0.0;6.0;6.0;0.0;0.0;24.0
7866;Other road transport equipment;16-18 Man. wood en paper prod., printing;2007;26.0;122.1;24.0;1.0;8.0;7.0;0.0;0.0;26.0
7867;Other road transport equipment;16-18 Man. wood en paper prod., printing;2008;27.0;122.1;26.0;1.0;6.0;7.0;0.0;0.0;27.0
7868;Other road transport equipment;16-18 Man. wood en paper prod., printing;2009;25.0;113.0;27.0;0.0;5.0;6.0;0.0;0.0;25.0
7869;Other road transport equipment;16-18 Man. wood en paper prod., printing;2010;23.0;100.0;25.0;1.0;3.0;6.0;0.0;0.0;23.0
7870;Other road transport equipment;16-18 Man. wood en paper prod., printing;2011;24.0;104.3;23.0;0.0;6.0;6.0;0.0;0.0;24.0
7871;Other road transport equipment;16-18 Man. wood en paper prod., printing;2012;21.0;91.3;24.0;0.0;3.0;5.0;0.0;0.0;21.0
7872;Other road transport equipment;16-18 Man. wood en paper prod., printing;2013;20.0;87.0;21.0;0.0;3.0;5.0;0.0;0.0;20.0
7873;Other road transport equipment;16-18 Man. wood en paper prod., printing;2014;18.0;78.3;20.0;0.0;3.0;4.0;0.0;0.0;18.0
7874;Other road transport equipment;16-18 Man. wood en paper prod., printing;2015;18.0;78.3;18.0;0.0;4.0;4.0;0.0;0.0;18.0
7875;Other road transport equipment;16-18 Man. wood en paper prod., printing;2016;18.0;78.3;18.0;;;;;;18.0
7876;Other road transport equipment;19 Manufacture of coke and petroleum ;1995;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7877;Other road transport equipment;19 Manufacture of coke and petroleum ;1996;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7878;Other road transport equipment;19 Manufacture of coke and petroleum ;1997;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7879;Other road transport equipment;19 Manufacture of coke and petroleum ;1998;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7880;Other road transport equipment;19 Manufacture of coke and petroleum ;1999;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7881;Other road transport equipment;19 Manufacture of coke and petroleum ;2000;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7882;Other road transport equipment;19 Manufacture of coke and petroleum ;2001;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7883;Other road transport equipment;19 Manufacture of coke and petroleum ;2002;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7884;Other road transport equipment;19 Manufacture of coke and petroleum ;2003;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7885;Other road transport equipment;19 Manufacture of coke and petroleum ;2004;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7886;Other road transport equipment;19 Manufacture of coke and petroleum ;2005;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7887;Other road transport equipment;19 Manufacture of coke and petroleum ;2006;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7888;Other road transport equipment;19 Manufacture of coke and petroleum ;2007;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7889;Other road transport equipment;19 Manufacture of coke and petroleum ;2008;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7890;Other road transport equipment;19 Manufacture of coke and petroleum ;2009;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7891;Other road transport equipment;19 Manufacture of coke and petroleum ;2010;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7892;Other road transport equipment;19 Manufacture of coke and petroleum ;2011;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7893;Other road transport equipment;19 Manufacture of coke and petroleum ;2012;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7894;Other road transport equipment;19 Manufacture of coke and petroleum ;2013;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7895;Other road transport equipment;19 Manufacture of coke and petroleum ;2014;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7896;Other road transport equipment;19 Manufacture of coke and petroleum ;2015;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7897;Other road transport equipment;19 Manufacture of coke and petroleum ;2016;0.0;100.0;0.0;;;;;;0.0
7898;Other road transport equipment;20 Manufacture of chemicals;1995;7.0;100.6;7.0;0.0;2.0;1.0;0.0;0.0;7.0
7899;Other road transport equipment;20 Manufacture of chemicals;1996;7.0;99.9;7.0;0.0;1.0;1.0;0.0;0.0;7.0
7900;Other road transport equipment;20 Manufacture of chemicals;1997;7.0;100.0;7.0;0.0;1.0;1.0;0.0;0.0;7.0
7901;Other road transport equipment;20 Manufacture of chemicals;1998;6.0;86.1;7.0;0.0;1.0;1.0;0.0;0.0;6.0
7902;Other road transport equipment;20 Manufacture of chemicals;1999;7.0;100.4;6.0;0.0;2.0;1.0;0.0;0.0;7.0
7903;Other road transport equipment;20 Manufacture of chemicals;2000;8.0;112.5;7.0;0.0;2.0;1.0;0.0;0.0;8.0
7904;Other road transport equipment;20 Manufacture of chemicals;2001;7.0;87.5;8.0;0.0;1.0;1.0;0.0;0.0;7.0
7905;Other road transport equipment;20 Manufacture of chemicals;2002;7.0;87.5;7.0;0.0;1.0;1.0;0.0;0.0;7.0
7906;Other road transport equipment;20 Manufacture of chemicals;2003;8.0;100.0;7.0;0.0;2.0;1.0;0.0;0.0;8.0
7907;Other road transport equipment;20 Manufacture of chemicals;2004;7.0;87.5;8.0;0.0;1.0;1.0;0.0;0.0;7.0
7908;Other road transport equipment;20 Manufacture of chemicals;2005;7.0;87.5;7.0;0.0;1.0;1.0;0.0;0.0;7.0
7909;Other road transport equipment;20 Manufacture of chemicals;2006;8.0;100.0;7.0;0.0;2.0;1.0;0.0;0.0;8.0
7910;Other road transport equipment;20 Manufacture of chemicals;2007;9.0;112.5;8.0;0.0;3.0;2.0;0.0;0.0;9.0
7911;Other road transport equipment;20 Manufacture of chemicals;2008;10.0;125.0;9.0;0.0;2.0;2.0;0.0;0.0;10.0
7912;Other road transport equipment;20 Manufacture of chemicals;2009;9.0;112.5;10.0;0.0;1.0;2.0;0.0;0.0;9.0
7913;Other road transport equipment;20 Manufacture of chemicals;2010;8.0;100.0;9.0;0.0;0.0;2.0;0.0;0.0;8.0
7914;Other road transport equipment;20 Manufacture of chemicals;2011;7.0;87.5;8.0;0.0;0.0;1.0;0.0;0.0;7.0
7915;Other road transport equipment;20 Manufacture of chemicals;2012;6.0;75.0;7.0;0.0;0.0;1.0;0.0;0.0;6.0
7916;Other road transport equipment;20 Manufacture of chemicals;2013;5.0;62.5;6.0;0.0;0.0;1.0;0.0;0.0;5.0
7917;Other road transport equipment;20 Manufacture of chemicals;2014;4.0;50.0;5.0;0.0;0.0;1.0;0.0;0.0;4.0
7918;Other road transport equipment;20 Manufacture of chemicals;2015;3.0;37.5;4.0;0.0;0.0;1.0;0.0;0.0;3.0
7919;Other road transport equipment;20 Manufacture of chemicals;2016;3.0;37.5;3.0;;;;;;3.0
7920;Other road transport equipment;21 Manufacture of pharmaceuticals;1995;2.0;76.7;2.0;0.0;0.0;0.0;0.0;0.0;2.0
7921;Other road transport equipment;21 Manufacture of pharmaceuticals;1996;2.0;76.1;2.0;0.0;0.0;0.0;0.0;0.0;2.0
7922;Other road transport equipment;21 Manufacture of pharmaceuticals;1997;2.0;76.2;2.0;0.0;1.0;0.0;0.0;0.0;2.0
7923;Other road transport equipment;21 Manufacture of pharmaceuticals;1998;2.0;76.6;2.0;0.0;0.0;0.0;0.0;0.0;2.0
7924;Other road transport equipment;21 Manufacture of pharmaceuticals;1999;1.0;38.2;2.0;0.0;0.0;0.0;0.0;0.0;1.0
7925;Other road transport equipment;21 Manufacture of pharmaceuticals;2000;1.0;37.5;1.0;0.0;0.0;0.0;0.0;0.0;1.0
7926;Other road transport equipment;21 Manufacture of pharmaceuticals;2001;1.0;33.3;1.0;0.0;0.0;0.0;0.0;0.0;1.0
7927;Other road transport equipment;21 Manufacture of pharmaceuticals;2002;2.0;66.7;1.0;0.0;1.0;0.0;0.0;0.0;2.0
7928;Other road transport equipment;21 Manufacture of pharmaceuticals;2003;1.0;33.3;2.0;0.0;0.0;0.0;0.0;0.0;1.0
7929;Other road transport equipment;21 Manufacture of pharmaceuticals;2004;2.0;66.7;1.0;0.0;1.0;0.0;0.0;0.0;2.0
7930;Other road transport equipment;21 Manufacture of pharmaceuticals;2005;3.0;100.0;2.0;0.0;1.0;0.0;0.0;0.0;3.0
7931;Other road transport equipment;21 Manufacture of pharmaceuticals;2006;3.0;100.0;3.0;0.0;1.0;1.0;0.0;0.0;3.0
7932;Other road transport equipment;21 Manufacture of pharmaceuticals;2007;4.0;133.3;3.0;0.0;1.0;1.0;0.0;0.0;4.0
7933;Other road transport equipment;21 Manufacture of pharmaceuticals;2008;4.0;133.3;4.0;0.0;1.0;1.0;0.0;0.0;4.0
7934;Other road transport equipment;21 Manufacture of pharmaceuticals;2009;3.0;100.0;4.0;0.0;0.0;1.0;0.0;0.0;3.0
7935;Other road transport equipment;21 Manufacture of pharmaceuticals;2010;3.0;100.0;3.0;0.0;0.0;1.0;0.0;0.0;3.0
7936;Other road transport equipment;21 Manufacture of pharmaceuticals;2011;3.0;100.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0
7937;Other road transport equipment;21 Manufacture of pharmaceuticals;2012;2.0;66.7;3.0;0.0;0.0;0.0;0.0;0.0;2.0
7938;Other road transport equipment;21 Manufacture of pharmaceuticals;2013;2.0;66.7;2.0;0.0;0.0;0.0;0.0;0.0;2.0
7939;Other road transport equipment;21 Manufacture of pharmaceuticals;2014;2.0;66.7;2.0;0.0;0.0;0.0;0.0;0.0;2.0
7940;Other road transport equipment;21 Manufacture of pharmaceuticals;2015;1.0;33.3;2.0;0.0;0.0;0.0;0.0;0.0;1.0
7941;Other road transport equipment;21 Manufacture of pharmaceuticals;2016;1.0;33.3;1.0;;;;;;1.0
7942;Other road transport equipment;22-23 Man. plastics and constructionprod;1995;13.0;74.7;12.0;0.0;4.0;4.0;0.0;0.0;13.0
7943;Other road transport equipment;22-23 Man. plastics and constructionprod;1996;12.0;68.5;13.0;0.0;3.0;4.0;0.0;0.0;12.0
7944;Other road transport equipment;22-23 Man. plastics and constructionprod;1997;13.0;74.3;12.0;0.0;4.0;3.0;0.0;0.0;13.0
