ID;Periods;Euro95_1;Diesel_2;LPG_3
536;2007 Thursday 21 June;1.46;1.061;0.523
537;2007 Friday 22 June;1.46;1.064;0.522
538;2007 Saturday 23 June;1.46;1.065;0.522
539;2007 Sunday 24 June;1.461;1.066;0.524
540;2007 Monday 25 June;1.461;1.066;0.523
541;2007 Tuesday 26 June;1.46;1.061;0.521
542;2007 Wednesday 27 June;1.459;1.06;0.523
543;2007 Thursday 28 June;1.454;1.059;0.521
544;2007 Friday 29 June;1.45;1.056;0.522
545;2007 Saturday 30 June;1.45;1.057;0.522
546;2007 Sunday 1 July;1.451;1.057;0.526
547;2007 Monday 2 July;1.451;1.058;0.523
548;2007 Tuesday 3 July;1.453;1.058;0.522
549;2007 Wednesday 4 July;1.453;1.06;0.52
550;2007 Thursday 5 July;1.453;1.059;0.52
551;2007 Friday 6 July;1.452;1.059;0.518
552;2007 Saturday 7 July;1.458;1.061;0.518
553;2007 Sunday 8 July;1.459;1.061;0.517
554;2007 Monday 9 July;1.459;1.062;0.519
555;2007 Tuesday 10 July;1.462;1.063;0.516
556;2007 Wednesday 11 July;1.467;1.066;0.52
557;2007 Thursday 12 July;1.469;1.067;0.515
558;2007 Friday 13 July;1.468;1.067;0.515
559;2007 Saturday 14 July;1.465;1.068;0.515
560;2007 Sunday 15 July;1.465;1.069;0.516
561;2007 Monday 16 July;1.465;1.068;0.514
562;2007 Tuesday 17 July;1.457;1.068;0.513
563;2007 Wednesday 18 July;1.444;1.067;0.515
564;2007 Thursday 19 July;1.432;1.063;0.52
565;2007 Friday 20 July;1.435;1.066;0.518
566;2007 Saturday 21 July;1.435;1.067;0.514
567;2007 Sunday 22 July;1.435;1.067;0.516
568;2007 Monday 23 July;1.434;1.066;0.517
569;2007 Tuesday 24 July;1.431;1.067;0.518
570;2007 Wednesday 25 July;1.421;1.061;0.521
571;2007 Thursday 26 July;1.414;1.06;0.52
572;2007 Friday 27 July;1.416;1.062;0.521
573;2007 Saturday 28 July;1.415;1.063;0.52
574;2007 Sunday 29 July;1.414;1.062;0.521
575;2007 Monday 30 July;1.414;1.062;0.521
576;2007 Tuesday 31 July;1.414;1.064;0.522
577;2007 Wednesday 1 August;1.415;1.066;0.526
578;2007 Thursday 2 August;1.419;1.068;0.527
579;2007 Friday 3 August;1.419;1.066;0.525
580;2007 Saturday 4 August;1.419;1.067;0.523
581;2007 Sunday 5 August;1.416;1.067;0.524
582;2007 Monday 6 August;1.418;1.067;0.526
583;2007 Tuesday 7 August;1.413;1.06;0.526
584;2007 Wednesday 8 August;1.404;1.049;0.532
585;2007 Thursday 9 August;1.402;1.045;0.532
586;2007 Friday 10 August;1.401;1.046;0.537
587;2007 Saturday 11 August;1.401;1.046;0.534
588;2007 Sunday 12 August;1.401;1.046;0.537
589;2007 Monday 13 August;1.402;1.047;0.533
590;2007 Tuesday 14 August;1.403;1.047;0.535
591;2007 Wednesday 15 August;1.402;1.047;0.531
592;2007 Thursday 16 August;1.407;1.05;0.531
593;2007 Friday 17 August;1.411;1.051;0.531
594;2007 Saturday 18 August;1.413;1.051;0.528
595;2007 Sunday 19 August;1.413;1.051;0.531
596;2007 Monday 20 August;1.414;1.051;0.53
597;2007 Tuesday 21 August;1.411;1.049;0.53
598;2007 Wednesday 22 August;1.408;1.049;0.53
599;2007 Thursday 23 August;1.403;1.049;0.53
600;2007 Friday 24 August;1.4;1.048;0.529
601;2007 Saturday 25 August;1.399;1.047;0.526
602;2007 Sunday 26 August;1.4;1.048;0.53
603;2007 Monday 27 August;1.401;1.047;0.53
604;2007 Tuesday 28 August;1.401;1.047;0.53
605;2007 Wednesday 29 August;1.406;1.048;0.531
606;2007 Thursday 30 August;1.41;1.049;0.533
607;2007 Friday 31 August;1.421;1.055;0.531
608;2007 Saturday 1 September;1.422;1.056;0.529
609;2007 Sunday 2 September;1.423;1.057;0.532
610;2007 Monday 3 September;1.424;1.058;0.531
611;2007 Tuesday 4 September;1.428;1.061;0.531
612;2007 Wednesday 5 September;1.429;1.063;0.533
613;2007 Thursday 6 September;1.433;1.066;0.534
614;2007 Friday 7 September;1.434;1.067;0.532
615;2007 Saturday 8 September;1.43;1.073;0.532
616;2007 Sunday 9 September;1.432;1.075;0.533
617;2007 Monday 10 September;1.431;1.076;0.533
618;2007 Tuesday 11 September;1.425;1.079;0.53
619;2007 Wednesday 12 September;1.419;1.081;0.538
620;2007 Thursday 13 September;1.416;1.084;0.543
621;2007 Friday 14 September;1.417;1.084;0.542
622;2007 Saturday 15 September;1.422;1.088;0.547
623;2007 Sunday 16 September;1.421;1.087;0.543
624;2007 Monday 17 September;1.422;1.088;0.543
625;2007 Tuesday 18 September;1.423;1.089;0.541
626;2007 Wednesday 19 September;1.429;1.092;0.547
627;2007 Thursday 20 September;1.429;1.094;0.545
628;2007 Friday 21 September;1.426;1.091;0.547
629;2007 Saturday 22 September;1.426;1.091;0.544
630;2007 Sunday 23 September;1.427;1.093;0.545
631;2007 Monday 24 September;1.428;1.093;0.547
632;2007 Tuesday 25 September;1.425;1.094;0.546
633;2007 Wednesday 26 September;1.422;1.094;0.548
634;2007 Thursday 27 September;1.419;1.091;0.55
635;2007 Friday 28 September;1.414;1.089;0.555
636;2007 Saturday 29 September;1.412;1.09;0.557
637;2007 Sunday 30 September;1.413;1.09;0.554
638;2007 Monday 1 October;1.413;1.09;0.559
639;2007 Tuesday 2 October;1.408;1.089;0.562
640;2007 Wednesday 3 October;1.397;1.081;0.565
641;2007 Thursday 4 October;1.395;1.08;0.566
642;2007 Friday 5 October;1.395;1.079;0.567
643;2007 Saturday 6 October;1.402;1.083;0.568
644;2007 Sunday 7 October;1.401;1.083;0.564
645;2007 Monday 8 October;1.402;1.084;0.567
646;2007 Tuesday 9 October;1.406;1.085;0.565
647;2007 Wednesday 10 October;1.406;1.081;0.572
648;2007 Thursday 11 October;1.406;1.08;0.571
649;2007 Friday 12 October;1.406;1.081;0.569
650;2007 Saturday 13 October;1.408;1.083;0.574
651;2007 Sunday 14 October;1.407;1.083;0.571
652;2007 Monday 15 October;1.408;1.084;0.57
653;2007 Tuesday 16 October;1.409;1.085;0.572
654;2007 Wednesday 17 October;1.42;1.097;0.579
655;2007 Thursday 18 October;1.424;1.099;0.584
656;2007 Friday 19 October;1.426;1.098;0.581
657;2007 Saturday 20 October;1.428;1.103;0.578
658;2007 Sunday 21 October;1.427;1.102;0.579
659;2007 Monday 22 October;1.428;1.103;0.581
660;2007 Tuesday 23 October;1.426;1.104;0.58
661;2007 Wednesday 24 October;1.423;1.105;0.582
662;2007 Thursday 25 October;1.423;1.105;0.585
663;2007 Friday 26 October;1.424;1.106;0.584
664;2007 Saturday 27 October;1.438;1.116;0.584
665;2007 Sunday 28 October;1.437;1.117;0.586
666;2007 Monday 29 October;1.437;1.117;0.583
667;2007 Tuesday 30 October;1.445;1.122;0.587
668;2007 Wednesday 31 October;1.452;1.128;0.586
669;2007 Thursday 1 November;1.456;1.133;0.588
670;2007 Friday 2 November;1.474;1.151;0.586
671;2007 Saturday 3 November;1.477;1.162;0.584
672;2007 Sunday 4 November;1.478;1.162;0.588
673;2007 Monday 5 November;1.477;1.163;0.587
674;2007 Tuesday 6 November;1.477;1.182;0.588
675;2007 Wednesday 7 November;1.478;1.199;0.593
676;2007 Thursday 8 November;1.479;1.205;0.597
677;2007 Friday 9 November;1.479;1.206;0.596
678;2007 Saturday 10 November;1.478;1.2;0.596
679;2007 Sunday 11 November;1.478;1.199;0.597
680;2007 Monday 12 November;1.477;1.199;0.594
681;2007 Tuesday 13 November;1.477;1.197;0.598
682;2007 Wednesday 14 November;1.473;1.187;0.6
683;2007 Thursday 15 November;1.469;1.181;0.606
684;2007 Friday 16 November;1.466;1.18;0.61
685;2007 Saturday 17 November;1.462;1.182;0.61
686;2007 Sunday 18 November;1.463;1.182;0.606
687;2007 Monday 19 November;1.463;1.182;0.61
688;2007 Tuesday 20 November;1.462;1.183;0.612
689;2007 Wednesday 21 November;1.462;1.186;0.616
690;2007 Thursday 22 November;1.464;1.199;0.621
691;2007 Friday 23 November;1.464;1.199;0.62
692;2007 Saturday 24 November;1.463;1.197;0.619
693;2007 Sunday 25 November;1.463;1.197;0.618
694;2007 Monday 26 November;1.462;1.197;0.619
695;2007 Tuesday 27 November;1.462;1.196;0.619
696;2007 Wednesday 28 November;1.459;1.192;0.628
697;2007 Thursday 29 November;1.458;1.192;0.632
698;2007 Friday 30 November;1.451;1.188;0.633
699;2007 Saturday 1 December;1.441;1.177;0.632
700;2007 Sunday 2 December;1.441;1.175;0.632
701;2007 Monday 3 December;1.44;1.175;0.632
702;2007 Tuesday 4 December;1.433;1.162;0.633
703;2007 Wednesday 5 December;1.431;1.153;0.632
704;2007 Thursday 6 December;1.431;1.151;0.632
705;2007 Friday 7 December;1.43;1.137;0.635
706;2007 Saturday 8 December;1.437;1.135;0.633
707;2007 Sunday 9 December;1.436;1.135;0.631
708;2007 Monday 10 December;1.436;1.135;0.634
709;2007 Tuesday 11 December;1.436;1.133;0.63
710;2007 Wednesday 12 December;1.434;1.128;0.626
711;2007 Thursday 13 December;1.434;1.127;0.628
712;2007 Friday 14 December;1.452;1.142;0.629
713;2007 Saturday 15 December;1.457;1.154;0.629
714;2007 Sunday 16 December;1.457;1.154;0.63
715;2007 Monday 17 December;1.457;1.155;0.625
716;2007 Tuesday 18 December;1.457;1.156;0.627
717;2007 Wednesday 19 December;1.458;1.157;0.622
718;2007 Thursday 20 December;1.455;1.153;0.627
719;2007 Friday 21 December;1.456;1.155;0.626
720;2007 Saturday 22 December;1.454;1.158;0.629
721;2007 Sunday 23 December;1.455;1.157;0.625
722;2007 Monday 24 December;1.455;1.157;0.627
723;2007 Tuesday 25 December;1.454;1.156;0.628
724;2007 Wednesday 26 December;1.455;1.157;0.624
725;2007 Thursday 27 December;1.455;1.157;0.628
726;2007 Friday 28 December;1.459;1.158;0.629
727;2007 Saturday 29 December;1.47;1.161;0.63
728;2007 Sunday 30 December;1.468;1.161;0.628
729;2007 Monday 31 December;1.471;1.161;0.631
730;2008 Tuesday 1 January;1.48;1.165;0.629
731;2008 Wednesday 2 January;1.483;1.166;0.63
732;2008 Thursday 3 January;1.489;1.169;0.629
733;2008 Friday 4 January;1.496;1.172;0.632
734;2008 Saturday 5 January;1.5;1.173;0.63
735;2008 Sunday 6 January;1.499;1.173;0.63
736;2008 Monday 7 January;1.499;1.173;0.63
737;2008 Tuesday 8 January;1.497;1.17;0.628
738;2008 Wednesday 9 January;1.492;1.167;0.63
739;2008 Thursday 10 January;1.491;1.165;0.63
740;2008 Friday 11 January;1.483;1.158;0.631
741;2008 Saturday 12 January;1.469;1.145;0.632
742;2008 Sunday 13 January;1.468;1.143;0.631
743;2008 Monday 14 January;1.468;1.143;0.631
744;2008 Tuesday 15 January;1.462;1.14;0.629
745;2008 Wednesday 16 January;1.458;1.138;0.627
746;2008 Thursday 17 January;1.448;1.133;0.624
747;2008 Friday 18 January;1.447;1.133;0.621
748;2008 Saturday 19 January;1.445;1.132;0.621
749;2008 Sunday 20 January;1.444;1.131;0.623
750;2008 Monday 21 January;1.444;1.132;0.622
751;2008 Tuesday 22 January;1.444;1.132;0.62
752;2008 Wednesday 23 January;1.439;1.127;0.615
753;2008 Thursday 24 January;1.437;1.125;0.616
754;2008 Friday 25 January;1.438;1.124;0.617
755;2008 Saturday 26 January;1.443;1.13;0.617
756;2008 Sunday 27 January;1.444;1.13;0.614
757;2008 Monday 28 January;1.444;1.131;0.617
758;2008 Tuesday 29 January;1.447;1.13;0.617
759;2008 Wednesday 30 January;1.448;1.136;0.609
760;2008 Thursday 31 January;1.449;1.137;0.608
761;2008 Friday 1 February;1.45;1.138;0.608
762;2008 Saturday 2 February;1.447;1.134;0.609
763;2008 Sunday 3 February;1.447;1.133;0.609
764;2008 Monday 4 February;1.446;1.134;0.607
765;2008 Tuesday 5 February;1.439;1.128;0.607
766;2008 Wednesday 6 February;1.437;1.126;0.605
767;2008 Thursday 7 February;1.436;1.127;0.605
768;2008 Friday 8 February;1.436;1.126;0.606
769;2008 Saturday 9 February;1.449;1.141;0.603
770;2008 Sunday 10 February;1.448;1.142;0.604
771;2008 Monday 11 February;1.447;1.142;0.602
772;2008 Tuesday 12 February;1.463;1.155;0.602
773;2008 Wednesday 13 February;1.473;1.17;0.602
774;2008 Thursday 14 February;1.474;1.172;0.601
775;2008 Friday 15 February;1.48;1.18;0.6
776;2008 Saturday 16 February;1.487;1.182;0.599
777;2008 Sunday 17 February;1.487;1.182;0.601
778;2008 Monday 18 February;1.487;1.182;0.599
779;2008 Tuesday 19 February;1.492;1.186;0.602
780;2008 Wednesday 20 February;1.5;1.197;0.6
781;2008 Thursday 21 February;1.504;1.202;0.6
782;2008 Friday 22 February;1.506;1.202;0.6
783;2008 Saturday 23 February;1.505;1.204;0.602
784;2008 Sunday 24 February;1.504;1.203;0.599
785;2008 Monday 25 February;1.504;1.204;0.599
786;2008 Tuesday 26 February;1.504;1.205;0.599
787;2008 Wednesday 27 February;1.502;1.205;0.601
788;2008 Thursday 28 February;1.503;1.205;0.604
789;2008 Friday 29 February;1.498;1.202;0.605
790;2008 Saturday 1 March;1.492;1.204;0.604
791;2008 Sunday 2 March;1.492;1.204;0.603
792;2008 Monday 3 March;1.491;1.204;0.601
793;2008 Tuesday 4 March;1.489;1.207;0.605
794;2008 Wednesday 5 March;1.49;1.219;0.603
795;2008 Thursday 6 March;1.486;1.227;0.605
796;2008 Friday 7 March;1.486;1.241;0.606
797;2008 Saturday 8 March;1.484;1.243;0.603
798;2008 Sunday 9 March;1.483;1.242;0.603
799;2008 Monday 10 March;1.484;1.243;0.605
800;2008 Tuesday 11 March;1.485;1.244;0.605
801;2008 Wednesday 12 March;1.486;1.252;0.6
802;2008 Thursday 13 March;1.486;1.254;0.601
803;2008 Friday 14 March;1.485;1.255;0.602
804;2008 Saturday 15 March;1.483;1.258;0.602
805;2008 Sunday 16 March;1.482;1.257;0.596
806;2008 Monday 17 March;1.481;1.258;0.6
807;2008 Tuesday 18 March;1.481;1.258;0.599
808;2008 Wednesday 19 March;1.465;1.25;0.598
809;2008 Thursday 20 March;1.459;1.243;0.599
810;2008 Friday 21 March;1.454;1.23;0.602
811;2008 Saturday 22 March;1.456;1.225;0.598
812;2008 Sunday 23 March;1.455;1.224;0.598
813;2008 Monday 24 March;1.456;1.224;0.599
814;2008 Tuesday 25 March;1.456;1.224;0.6
815;2008 Wednesday 26 March;1.462;1.213;0.597
816;2008 Thursday 27 March;1.472;1.203;0.592
817;2008 Friday 28 March;1.481;1.209;0.592
818;2008 Saturday 29 March;1.491;1.225;0.591
819;2008 Sunday 30 March;1.491;1.226;0.588
820;2008 Monday 31 March;1.491;1.227;0.589
821;2008 Tuesday 1 April;1.493;1.228;0.588
822;2008 Wednesday 2 April;1.491;1.218;0.588
823;2008 Thursday 3 April;1.49;1.214;0.59
824;2008 Friday 4 April;1.494;1.216;0.588
825;2008 Saturday 5 April;1.502;1.22;0.586
826;2008 Sunday 6 April;1.501;1.219;0.589
827;2008 Monday 7 April;1.503;1.22;0.591
828;2008 Tuesday 8 April;1.507;1.23;0.589
829;2008 Wednesday 9 April;1.507;1.241;0.588
830;2008 Thursday 10 April;1.507;1.241;0.587
831;2008 Friday 11 April;1.51;1.256;0.584
832;2008 Saturday 12 April;1.51;1.256;0.583
833;2008 Sunday 13 April;1.51;1.256;0.583
834;2008 Monday 14 April;1.51;1.258;0.588
835;2008 Tuesday 15 April;1.511;1.258;0.588
836;2008 Wednesday 16 April;1.512;1.264;0.589
837;2008 Thursday 17 April;1.511;1.27;0.59
838;2008 Friday 18 April;1.52;1.274;0.59
839;2008 Saturday 19 April;1.526;1.277;0.586
840;2008 Sunday 20 April;1.526;1.277;0.588
841;2008 Monday 21 April;1.526;1.277;0.591
842;2008 Tuesday 22 April;1.53;1.278;0.588
843;2008 Wednesday 23 April;1.528;1.278;0.588
844;2008 Thursday 24 April;1.53;1.277;0.587
845;2008 Friday 25 April;1.537;1.284;0.587
846;2008 Saturday 26 April;1.54;1.299;0.59
847;2008 Sunday 27 April;1.541;1.301;0.589
848;2008 Monday 28 April;1.541;1.302;0.59
849;2008 Tuesday 29 April;1.547;1.309;0.594
850;2008 Wednesday 30 April;1.544;1.314;0.594
851;2008 Thursday 1 May;1.543;1.314;0.589
852;2008 Friday 2 May;1.544;1.314;0.591
853;2008 Saturday 3 May;1.532;1.302;0.593
854;2008 Sunday 4 May;1.531;1.302;0.593
855;2008 Monday 5 May;1.531;1.302;0.592
856;2008 Tuesday 6 May;1.53;1.298;0.596
857;2008 Wednesday 7 May;1.546;1.302;0.603
858;2008 Thursday 8 May;1.553;1.312;0.603
859;2008 Friday 9 May;1.56;1.327;0.603
860;2008 Saturday 10 May;1.57;1.352;0.606
861;2008 Sunday 11 May;1.57;1.352;0.607
862;2008 Monday 12 May;1.571;1.352;0.607
863;2008 Tuesday 13 May;1.571;1.354;0.606
864;2008 Wednesday 14 May;1.571;1.36;0.61
865;2008 Thursday 15 May;1.575;1.383;0.617
866;2008 Friday 16 May;1.578;1.395;0.619
867;2008 Saturday 17 May;1.579;1.396;0.619
868;2008 Sunday 18 May;1.578;1.396;0.621
869;2008 Monday 19 May;1.579;1.397;0.619
870;2008 Tuesday 20 May;1.578;1.398;0.619
871;2008 Wednesday 21 May;1.578;1.395;0.621
872;2008 Thursday 22 May;1.58;1.398;0.625
873;2008 Friday 23 May;1.603;1.423;0.626
874;2008 Saturday 24 May;1.608;1.431;0.622
875;2008 Sunday 25 May;1.608;1.431;0.621
876;2008 Monday 26 May;1.609;1.432;0.623
877;2008 Tuesday 27 May;1.608;1.437;0.626
878;2008 Wednesday 28 May;1.609;1.437;0.621
879;2008 Thursday 29 May;1.605;1.428;0.62
880;2008 Friday 30 May;1.609;1.422;0.624
881;2008 Saturday 31 May;1.611;1.405;0.623
882;2008 Sunday 1 June;1.611;1.402;0.624
883;2008 Monday 2 June;1.611;1.403;0.623
884;2008 Tuesday 3 June;1.609;1.386;0.625
885;2008 Wednesday 4 June;1.61;1.381;0.623
886;2008 Thursday 5 June;1.611;1.381;0.624
887;2008 Friday 6 June;1.602;1.372;0.621
888;2008 Saturday 7 June;1.615;1.389;0.623
889;2008 Sunday 8 June;1.614;1.389;0.618
890;2008 Monday 9 June;1.616;1.389;0.623
891;2008 Tuesday 10 June;1.633;1.409;0.623
892;2008 Wednesday 11 June;1.637;1.42;0.623
893;2008 Thursday 12 June;1.635;1.419;0.621
894;2008 Friday 13 June;1.634;1.415;0.622
895;2008 Saturday 14 June;1.641;1.416;0.628
896;2008 Sunday 15 June;1.642;1.418;0.633
897;2008 Monday 16 June;1.644;1.42;0.629
898;2008 Tuesday 17 June;1.643;1.416;0.631
899;2008 Wednesday 18 June;1.634;1.407;0.634
900;2008 Thursday 19 June;1.632;1.403;0.639
901;2008 Friday 20 June;1.633;1.4;0.639
902;2008 Saturday 21 June;1.631;1.394;0.638
903;2008 Sunday 22 June;1.631;1.393;0.639
904;2008 Monday 23 June;1.631;1.393;0.643
905;2008 Tuesday 24 June;1.636;1.394;0.64
906;2008 Wednesday 25 June;1.636;1.395;0.643
907;2008 Thursday 26 June;1.635;1.393;0.641
908;2008 Friday 27 June;1.627;1.388;0.641
909;2008 Saturday 28 June;1.631;1.395;0.647
910;2008 Sunday 29 June;1.631;1.394;0.648
911;2008 Monday 30 June;1.63;1.396;0.647
912;2008 Tuesday 1 July;1.633;1.428;0.663
913;2008 Wednesday 2 July;1.638;1.435;0.669
914;2008 Thursday 3 July;1.638;1.436;0.666
915;2008 Friday 4 July;1.64;1.452;0.664
916;2008 Saturday 5 July;1.644;1.459;0.667
917;2008 Sunday 6 July;1.643;1.459;0.664
918;2008 Monday 7 July;1.643;1.461;0.667
919;2008 Tuesday 8 July;1.643;1.46;0.672
920;2008 Wednesday 9 July;1.635;1.444;0.675
921;2008 Thursday 10 July;1.631;1.439;0.675
922;2008 Friday 11 July;1.625;1.433;0.677
923;2008 Saturday 12 July;1.641;1.452;0.679
924;2008 Sunday 13 July;1.64;1.452;0.676
925;2008 Monday 14 July;1.642;1.454;0.678
926;2008 Tuesday 15 July;1.641;1.454;0.677
927;2008 Wednesday 16 July;1.642;1.457;0.676
928;2008 Thursday 17 July;1.631;1.448;0.68
929;2008 Friday 18 July;1.619;1.436;0.68
930;2008 Saturday 19 July;1.608;1.419;0.68
931;2008 Sunday 20 July;1.607;1.418;0.679
932;2008 Monday 21 July;1.605;1.417;0.675
933;2008 Tuesday 22 July;1.598;1.41;0.678
934;2008 Wednesday 23 July;1.593;1.404;0.674
935;2008 Thursday 24 July;1.579;1.393;0.671
936;2008 Friday 25 July;1.57;1.381;0.673
937;2008 Saturday 26 July;1.564;1.374;0.668
938;2008 Sunday 27 July;1.564;1.374;0.669
939;2008 Monday 28 July;1.564;1.374;0.669
940;2008 Tuesday 29 July;1.563;1.371;0.666
941;2008 Wednesday 30 July;1.563;1.37;0.66
942;2008 Thursday 31 July;1.555;1.363;0.662
943;2008 Friday 1 August;1.556;1.363;0.659
944;2008 Saturday 2 August;1.551;1.354;0.654
945;2008 Sunday 3 August;1.551;1.353;0.655
946;2008 Monday 4 August;1.55;1.353;0.657
947;2008 Tuesday 5 August;1.559;1.35;0.657
948;2008 Wednesday 6 August;1.554;1.332;0.649
949;2008 Thursday 7 August;1.551;1.323;0.649
950;2008 Friday 8 August;1.551;1.318;0.648
951;2008 Saturday 9 August;1.551;1.314;0.648
952;2008 Sunday 10 August;1.55;1.314;0.645
953;2008 Monday 11 August;1.55;1.313;0.646
954;2008 Tuesday 12 August;1.549;1.312;0.643
955;2008 Wednesday 13 August;1.547;1.307;0.636
956;2008 Thursday 14 August;1.546;1.304;0.638
957;2008 Friday 15 August;1.552;1.304;0.635
958;2008 Saturday 16 August;1.552;1.304;0.631
959;2008 Sunday 17 August;1.551;1.304;0.636
960;2008 Monday 18 August;1.552;1.304;0.631
961;2008 Tuesday 19 August;1.55;1.304;0.635
962;2008 Wednesday 20 August;1.547;1.302;0.626
963;2008 Thursday 21 August;1.549;1.308;0.628
964;2008 Friday 22 August;1.552;1.312;0.627
965;2008 Saturday 23 August;1.572;1.326;0.626
966;2008 Sunday 24 August;1.571;1.327;0.627
967;2008 Monday 25 August;1.572;1.328;0.625
968;2008 Tuesday 26 August;1.57;1.323;0.623
969;2008 Wednesday 27 August;1.571;1.321;0.626
970;2008 Thursday 28 August;1.571;1.322;0.627
971;2008 Friday 29 August;1.583;1.333;0.627
972;2008 Saturday 30 August;1.58;1.331;0.631
973;2008 Sunday 31 August;1.58;1.33;0.631
974;2008 Monday 1 September;1.581;1.33;0.631
975;2008 Tuesday 2 September;1.581;1.324;0.635
976;2008 Wednesday 3 September;1.563;1.308;0.642
977;2008 Thursday 4 September;1.554;1.304;0.644
978;2008 Friday 5 September;1.553;1.303;0.644
979;2008 Saturday 6 September;1.553;1.299;0.646
980;2008 Sunday 7 September;1.552;1.299;0.645
981;2008 Monday 8 September;1.553;1.299;0.648
982;2008 Tuesday 9 September;1.561;1.3;0.648
983;2008 Wednesday 10 September;1.561;1.299;0.659
984;2008 Thursday 11 September;1.562;1.296;0.656
985;2008 Friday 12 September;1.571;1.295;0.654
986;2008 Saturday 13 September;1.582;1.302;0.654
987;2008 Sunday 14 September;1.581;1.302;0.657
988;2008 Monday 15 September;1.582;1.302;0.655
989;2008 Tuesday 16 September;1.563;1.287;0.654
990;2008 Wednesday 17 September;1.541;1.272;0.662
991;2008 Thursday 18 September;1.524;1.269;0.665
992;2008 Friday 19 September;1.511;1.267;0.663
993;2008 Saturday 20 September;1.51;1.269;0.659
994;2008 Sunday 21 September;1.51;1.268;0.664
995;2008 Monday 22 September;1.51;1.27;0.665
996;2008 Tuesday 23 September;1.521;1.278;0.66
997;2008 Wednesday 24 September;1.53;1.286;0.651
998;2008 Thursday 25 September;1.531;1.289;0.649
999;2008 Friday 26 September;1.53;1.288;0.647
1000;2008 Saturday 27 September;1.522;1.288;0.643
1001;2008 Sunday 28 September;1.521;1.288;0.645
1002;2008 Monday 29 September;1.521;1.289;0.642
1003;2008 Tuesday 30 September;1.519;1.286;0.644
1004;2008 Wednesday 1 October;1.505;1.283;0.636
1005;2008 Thursday 2 October;1.509;1.287;0.63
1006;2008 Friday 3 October;1.507;1.287;0.632
1007;2008 Saturday 4 October;1.496;1.281;0.626
1008;2008 Sunday 5 October;1.494;1.28;0.627
1009;2008 Monday 6 October;1.494;1.28;0.629
1010;2008 Tuesday 7 October;1.481;1.261;0.627
1011;2008 Wednesday 8 October;1.474;1.245;0.627
1012;2008 Thursday 9 October;1.457;1.229;0.625
