ID;SectorBranchesSIC93;Periods;JobsPersonsEmployed_1;LabourVolumePersonsEmployed_2;EmployeesOnTheCompanyPayroll_3;LabourVolumeEmployeesOnThePayroll_4;TotalBusinessReturns_5;BusinessTurnoverNet_6;OtherBusinessReturns_7;TotalBusinessCosts_8;PurchaseValueOfTurnover_9;PersonnelCosts_10;TotalOtherBusinessCosts_11;EnergyCosts_12;HousingCosts_13;EquipmentAndInventoryCosts_14;TransportCosts_15;SalesCosts_16;CommunicationCosts_17;ServicesProvidedByThirdParties_18;BusinessCostsNotElsewhereClassified_19;DepreciationFixedAssets_20;ProfitLoss_21;ProfitLossBeforeTax_22
380;5260a Retail sale not in stores and ..;2008;53.3;41.2;19.3;12.6;4893.0;4797.0;97.0;4352.0;3080.0;408.0;775.0;24.0;111.0;26.0;75.0;287.0;48.0;87.0;118.0;88.0;542.0;523.0
381;5261 Retail sale via mail order houses;2006;9.5;7.3;6.3;4.4;1771.0;1722.0;50.0;1645.0;928.0;213.0;464.0;5.0;28.0;10.0;12.0;270.0;41.0;49.0;49.0;40.0;126.0;103.0
382;5261 Retail sale via mail order houses;2007;10.4;7.9;5.4;4.2;2106.0;2032.0;74.0;2010.0;1288.0;210.0;474.0;5.0;27.0;12.0;8.0;234.0;38.0;78.0;72.0;38.0;95.0;103.0
383;5261 Retail sale via mail order houses;2008;12.3;8.2;5.1;4.1;2387.0;2324.0;63.0;2269.0;1561.0;212.0;460.0;5.0;36.0;11.0;12.0;231.0;36.0;69.0;60.0;36.0;117.0;121.0
384;5262 Retail sale via stalls and markets;2006;20.9;16.1;7.1;3.6;1084.0;1080.0;5.0;928.0;707.0;56.0;131.0;7.0;32.0;6.0;27.0;30.0;4.0;8.0;17.0;33.0;157.0;152.0
385;5262 Retail sale via stalls and markets;2007;22.6;17.5;7.6;3.9;1042.0;1030.0;12.0;882.0;670.0;55.0;130.0;7.0;29.0;6.0;27.0;30.0;4.0;8.0;18.0;27.0;160.0;143.0
386;5262 Retail sale via stalls and markets;2008;22.3;17.2;7.4;3.8;1031.0;1024.0;7.0;851.0;636.0;55.0;135.0;7.0;32.0;6.0;28.0;31.0;4.0;8.0;18.0;25.0;180.0;166.0
387;5263 Other non-store retail sale;2006;11.9;10.1;3.4;2.2;871.0;856.0;14.0;769.0;583.0;61.0;108.0;7.0;20.0;5.0;26.0;17.0;4.0;6.0;24.0;17.0;102.0;101.0
388;5263 Other non-store retail sale;2007;12.2;10.3;3.6;2.2;931.0;910.0;22.0;817.0;623.0;63.0;117.0;6.0;24.0;5.0;27.0;21.0;4.0;4.0;25.0;14.0;114.0;109.0
389;5263 Other non-store retail sale;2008;11.2;9.5;3.0;1.9;873.0;856.0;16.0;757.0;590.0;54.0;101.0;6.0;19.0;4.0;22.0;18.0;4.0;4.0;23.0;13.0;116.0;110.0
390;527 Repair of personal and household..;2006;6.7;5.6;3.3;2.5;512.0;503.0;9.0;404.0;258.0;70.0;61.0;4.0;19.0;4.0;9.0;5.0;2.0;4.0;14.0;14.0;108.0;104.0
391;527 Repair of personal and household..;2007;7.5;6.3;3.8;2.9;554.0;547.0;7.0;444.0;287.0;78.0;67.0;5.0;20.0;4.0;9.0;5.0;2.0;5.0;17.0;11.0;111.0;106.0
392;527 Repair of personal and household..;2008;7.5;6.3;3.7;2.8;603.0;592.0;11.0;474.0;294.0;87.0;79.0;6.0;24.0;5.0;12.0;6.0;3.0;6.0;18.0;14.0;129.0;126.0
393;55 Hotels and restaurants;2006;401.7;226.6;318.4;169.0;15589.0;15288.0;301.0;13762.0;4408.0;4324.0;4134.0;455.0;1705.0;245.0;136.0;425.0;84.0;261.0;821.0;897.0;1826.0;1711.0
394;55 Hotels and restaurants;2007;453.9;249.6;348.3;180.8;16917.0;16606.0;312.0;14884.0;4757.0;4811.0;4500.0;503.0;1757.0;279.0;138.0;466.0;100.0;312.0;945.0;817.0;2033.0;1923.0
395;55 Hotels and restaurants;2008;456.5;253.4;356.8;184.2;17773.0;17486.0;287.0;15612.0;5137.0;4895.0;4679.0;541.0;1895.0;282.0;155.0;488.0;104.0;294.0;919.0;902.0;2161.0;1998.0
396;551 Hotels;2006;59.7;38.1;52.8;32.8;3271.0;3250.0;21.0;2882.0;522.0;1067.0;1059.0;98.0;427.0;52.0;18.0;96.0;15.0;65.0;287.0;235.0;389.0;334.0
397;551 Hotels;2007;65.6;40.7;57.1;34.3;3516.0;3493.0;24.0;3022.0;547.0;1141.0;1112.0;106.0;448.0;56.0;16.0;105.0;17.0;71.0;292.0;221.0;495.0;464.0
398;551 Hotels;2008;66.6;41.0;57.8;35.4;3605.0;3584.0;21.0;3154.0;559.0;1186.0;1158.0;118.0;488.0;52.0;20.0;108.0;17.0;61.0;295.0;251.0;452.0;413.0
399;552 Provision of short-stay acc..;2006;25.8;12.8;20.3;8.9;1385.0;1333.0;52.0;1231.0;345.0;294.0;463.0;70.0;185.0;25.0;13.0;66.0;14.0;29.0;61.0;129.0;154.0;169.0
400;552 Provision of short-stay acc..;2007;27.6;14.8;21.6;10.1;1540.0;1489.0;50.0;1375.0;363.0;340.0;553.0;90.0;196.0;31.0;17.0;64.0;17.0;38.0;99.0;119.0;164.0;157.0
401;552 Provision of short-stay acc..;2008;27.7;14.4;20.6;9.5;1642.0;1601.0;41.0;1407.0;376.0;335.0;566.0;90.0;227.0;34.0;14.0;70.0;19.0;35.0;78.0;130.0;235.0;214.0
402;553 Restaurants, cafetarias, ice cream..;2006;181.1;108.3;143.6;79.1;6118.0;5961.0;157.0;5380.0;1847.0;1550.0;1632.0;178.0;727.0;95.0;52.0;162.0;30.0;87.0;302.0;351.0;738.0;667.0
403;553 Restaurants, cafetarias, ice cream..;2007;209.0;123.6;163.5;88.4;6624.0;6459.0;165.0;5864.0;2041.0;1727.0;1789.0;202.0;746.0;122.0;59.0;181.0;34.0;102.0;343.0;307.0;760.0;705.0
404;553 Restaurants, cafetarias, ice cream..;2008;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
405;55301 Restaurants;2006;114.5;68.9;93.6;53.2;3917.0;3862.0;55.0;3476.0;1152.0;1114.0;990.0;103.0;464.0;59.0;26.0;93.0;19.0;57.0;169.0;219.0;441.0;399.0
406;55301 Restaurants;2007;132.5;77.6;106.5;58.3;4225.0;4168.0;57.0;3755.0;1247.0;1239.0;1069.0;116.0;460.0;79.0;31.0;106.0;22.0;66.0;189.0;200.0;471.0;439.0
407;55301 Restaurants;2008;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
408;5530b Cafetarias and ice cream parlours;2006;66.6;39.3;50.0;25.9;2201.0;2099.0;102.0;1904.0;695.0;436.0;642.0;75.0;263.0;36.0;26.0;69.0;10.0;30.0;133.0;132.0;296.0;268.0
409;5530b Cafetarias and ice cream parlours;2007;76.5;46.0;57.0;30.1;2399.0;2291.0;108.0;2109.0;794.0;488.0;721.0;86.0;286.0;43.0;28.0;75.0;12.0;37.0;154.0;107.0;289.0;265.0
410;5530b Cafetarias and ice cream parlours;2008;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
411;554 Cafes;2006;89.3;39.1;67.7;26.8;2601.0;2584.0;18.0;2237.0;793.0;594.0;717.0;88.0;290.0;56.0;21.0;67.0;15.0;55.0;125.0;133.0;365.0;358.0
412;554 Cafes;2007;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
413;554 Cafes;2008;85.8;35.5;64.2;22.9;2743.0;2718.0;25.0;2354.0;933.0;610.0;701.0;86.0;264.0;50.0;21.0;77.0;21.0;61.0;123.0;109.0;389.0;352.0
414;555 Canteens and catering;2006;45.7;28.4;34.1;21.3;2213.0;2160.0;53.0;2032.0;901.0;818.0;263.0;22.0;76.0;18.0;33.0;33.0;10.0;25.0;46.0;50.0;181.0;183.0
415;555 Canteens and catering;2007;60.3;31.2;39.4;23.5;2485.0;2433.0;52.0;2248.0;966.0;907.0;321.0;24.0;94.0;17.0;33.0;39.0;13.0;32.0;68.0;54.0;237.0;238.0
416;555 Canteens and catering;2008;56.0;32.3;41.6;23.2;2624.0;2569.0;54.0;2352.0;1059.0;899.0;328.0;31.0;93.0;24.0;39.0;39.0;13.0;34.0;56.0;65.0;272.0;278.0
417;I Transport, storage, communications;2006;544.6;441.0;451.1;373.5;92109.0;88923.0;3186.0;83572.0;29107.0;20303.0;26940.0;421.0;2112.0;877.0;10864.0;2497.0;462.0;6524.0;3183.0;7222.0;8537.0;9274.0
418;I Transport, storage, communications;2007;575.2;456.7;467.6;385.4;98744.0;95103.0;3641.0;89835.0;32047.0;21693.0;28261.0;444.0;2237.0;814.0;11428.0;2564.0;458.0;6481.0;3837.0;7834.0;8909.0;7963.0
419;I Transport, storage, communications;2008;576.7;465.7;469.7;389.1;101654.0;98199.0;3455.0;93061.0;32218.0;22820.0;30170.0;484.0;2608.0;786.0;13059.0;2382.0;428.0;5820.0;4603.0;7854.0;8592.0;6823.0
420;"60 Land transport; transport via ..";2006;219.7;184.7;191.3;161.4;24103.0;22601.0;1501.0;22468.0;5387.0;7738.0;8004.0;88.0;461.0;109.0;5304.0;187.0;158.0;660.0;1036.0;1339.0;1634.0;1438.0
421;"60 Land transport; transport via ..";2007;233.3;192.3;201.7;170.1;25938.0;24297.0;1641.0;24394.0;6240.0;8351.0;8505.0;85.0;506.0;145.0;5724.0;194.0;154.0;651.0;1046.0;1297.0;1544.0;1564.0
422;"60 Land transport; transport via ..";2008;230.7;195.3;199.6;169.3;27140.0;25612.0;1529.0;25802.0;6782.0;8780.0;8809.0;92.0;536.0;130.0;6008.0;199.0;143.0;700.0;1001.0;1431.0;1338.0;1332.0
423;601 Transport via railways;2006;;;;;;;;;;;;;;;;;;;;;;
424;601 Transport via railways;2007;;;;;;;;;;;;;;;;;;;;;;
425;601 Transport via railways;2008;;;;;;;;;;;;;;;;;;;;;;
426;602 Road transport;2006;208.1;173.7;180.0;150.7;21755.0;20379.0;1376.0;20443.0;5279.0;7165.0;6831.0;78.0;426.0;88.0;4651.0;153.0;141.0;615.0;679.0;1167.0;1312.0;1122.0
427;602 Road transport;2007;220.3;180.2;189.1;158.3;23588.0;22059.0;1529.0;22246.0;6120.0;7697.0;7308.0;78.0;459.0;130.0;5017.0;151.0;138.0;603.0;732.0;1120.0;1342.0;1353.0
428;602 Road transport;2008;217.3;182.6;186.6;157.1;24632.0;23223.0;1409.0;23524.0;6666.0;8044.0;7557.0;83.0;487.0;116.0;5266.0;152.0;130.0;636.0;687.0;1257.0;1108.0;1090.0
429;6022 Taxi operation;2006;43.7;28.6;36.8;22.9;1450.0;1436.0;14.0;1320.0;190.0;659.0;394.0;5.0;27.0;7.0;250.0;10.0;15.0;21.0;58.0;77.0;130.0;126.0
430;6022 Taxi operation;2007;41.6;27.4;35.0;22.7;1568.0;1558.0;11.0;1386.0;238.0;652.0;421.0;4.0;21.0;8.0;255.0;12.0;15.0;20.0;86.0;74.0;183.0;174.0
431;6022 Taxi operation;2008;41.3;28.2;33.8;22.0;1621.0;1613.0;8.0;1465.0;219.0;711.0;444.0;5.0;24.0;6.0;260.0;14.0;14.0;25.0;97.0;91.0;156.0;152.0
432;6024 Freight transport by road;2006;133.2;118.2;115.0;103.3;17688.0;17574.0;114.0;16662.0;4898.0;5253.0;5668.0;62.0;344.0;58.0;3905.0;105.0;111.0;546.0;537.0;842.0;1026.0;925.0
433;6024 Freight transport by road;2007;145.1;124.8;123.2;109.6;19091.0;18953.0;138.0;17967.0;5403.0;5686.0;5983.0;62.0;373.0;72.0;4178.0;109.0;108.0;540.0;542.0;895.0;1124.0;1110.0
434;6024 Freight transport by road;2008;142.9;125.6;123.0;109.4;20116.0;19996.0;120.0;19166.0;5984.0;5922.0;6287.0;69.0;395.0;81.0;4476.0;104.0;103.0;563.0;496.0;973.0;950.0;946.0
435;6021a Passenger transport by tram or bus;2006;31.2;26.9;28.2;24.5;2618.0;1369.0;1248.0;2462.0;191.0;1253.0;769.0;11.0;56.0;23.0;495.0;38.0;15.0;47.0;84.0;248.0;156.0;71.0
436;6021a Passenger transport by tram or bus;2007;33.6;28.1;30.9;26.0;2929.0;1549.0;1380.0;2893.0;479.0;1360.0;904.0;12.0;65.0;50.0;584.0;31.0;14.0;43.0;104.0;151.0;36.0;68.0
437;6021a Passenger transport by tram or bus;2008;33.1;28.8;29.8;25.7;2894.0;1614.0;1280.0;2892.0;463.0;1410.0;826.0;10.0;68.0;28.0;530.0;34.0;13.0;48.0;95.0;193.0;2.0;-8.0
438;603 Transport via pipelines;2006;;;;;;;;;;;;;;;;;;;;;;
439;603 Transport via pipelines;2007;;;;;;;;;;;;;;;;;;;;;;
440;603 Transport via pipelines;2008;;;;;;;;;;;;;;;;;;;;;;
441;61 Water transport;2006;29.2;26.3;15.4;14.0;7023.0;6958.0;65.0;6055.0;1853.0;984.0;2415.0;8.0;37.0;37.0;1503.0;100.0;26.0;444.0;260.0;802.0;968.0;1170.0
442;61 Water transport;2007;31.8;28.3;16.8;14.8;7852.0;7777.0;75.0;6586.0;2007.0;1018.0;2737.0;15.0;43.0;60.0;1602.0;125.0;28.0;533.0;331.0;825.0;1266.0;1291.0
443;61 Water transport;2008;30.8;27.9;16.0;14.8;8223.0;8133.0;89.0;6829.0;1539.0;1079.0;3347.0;6.0;54.0;82.0;1998.0;168.0;27.0;563.0;448.0;865.0;1394.0;1357.0
444;611 Sea and coastal water transport;2006;14.0;13.1;7.2;6.8;5122.0;5079.0;43.0;4544.0;1666.0;643.0;1654.0;2.0;18.0;9.0;1033.0;77.0;9.0;334.0;172.0;580.0;579.0;774.0
445;611 Sea and coastal water transport;2007;15.6;14.3;8.1;7.4;5746.0;5695.0;50.0;4930.0;1719.0;633.0;1984.0;2.0;19.0;27.0;1173.0;91.0;13.0;422.0;236.0;594.0;815.0;897.0
446;611 Sea and coastal water transport;2008;14.4;13.6;7.5;7.2;5894.0;5835.0;60.0;5084.0;1219.0;683.0;2545.0;2.0;27.0;54.0;1491.0;142.0;12.0;477.0;340.0;638.0;810.0;804.0
447;612 Inland water transport;2006;15.1;13.2;8.2;7.2;1901.0;1879.0;22.0;1511.0;187.0;341.0;760.0;7.0;19.0;28.0;470.0;23.0;17.0;110.0;88.0;222.0;389.0;397.0
448;612 Inland water transport;2007;16.3;13.9;8.7;7.3;2106.0;2081.0;25.0;1656.0;287.0;384.0;753.0;13.0;24.0;33.0;430.0;34.0;15.0;110.0;95.0;231.0;451.0;393.0
449;612 Inland water transport;2008;16.4;14.2;8.5;7.7;2328.0;2298.0;30.0;1745.0;320.0;396.0;802.0;4.0;27.0;28.0;508.0;26.0;16.0;86.0;108.0;227.0;584.0;553.0
450;62 Air transport;2006;36.6;31.3;34.0;28.8;9335.0;9320.0;14.0;8781.0;323.0;2153.0;5754.0;21.0;76.0;89.0;3269.0;615.0;45.0;1589.0;51.0;551.0;554.0;595.0
451;62 Air transport;2007;37.7;32.2;35.6;30.2;9525.0;9521.0;4.0;8899.0;442.0;2225.0;5688.0;2.0;115.0;94.0;3194.0;641.0;40.0;1146.0;456.0;543.0;626.0;314.0
452;62 Air transport;2008;39.9;34.7;38.0;32.9;10222.0;10218.0;4.0;10078.0;457.0;2360.0;6647.0;9.0;121.0;86.0;4145.0;449.0;38.0;1104.0;695.0;615.0;144.0;-236.0
453;63 Supporting and auxiliary transport ..;2006;116.9;100.8;97.3;85.3;27698.0;26382.0;1316.0;25677.0;15807.0;4836.0;4035.0;201.0;1047.0;278.0;420.0;484.0;146.0;547.0;911.0;1000.0;2021.0;2026.0
454;63 Supporting and auxiliary transport ..;2007;121.6;105.7;99.7;87.5;30699.0;29214.0;1485.0;28534.0;17553.0;5151.0;4272.0;209.0;1071.0;288.0;485.0;500.0;151.0;634.0;934.0;1557.0;2165.0;2354.0
455;63 Supporting and auxiliary transport ..;2008;128.0;112.0;105.6;92.1;31696.0;30080.0;1616.0;29455.0;17350.0;5682.0;4959.0;239.0;1300.0;337.0;475.0;611.0;150.0;707.0;1140.0;1463.0;2242.0;2217.0
456;631 Cargo handling and storage;2006;28.7;25.9;22.9;21.4;4898.0;4832.0;66.0;4442.0;1404.0;1415.0;1309.0;123.0;423.0;193.0;110.0;36.0;22.0;78.0;325.0;314.0;456.0;409.0
457;631 Cargo handling and storage;2007;31.4;27.5;24.9;22.6;5583.0;5516.0;67.0;5067.0;1799.0;1549.0;1361.0;132.0;448.0;204.0;129.0;40.0;21.0;102.0;285.0;358.0;517.0;473.0
458;631 Cargo handling and storage;2008;32.5;29.3;26.3;23.7;6098.0;6019.0;78.0;5459.0;1945.0;1694.0;1484.0;147.0;520.0;233.0;136.0;39.0;24.0;135.0;251.0;335.0;639.0;627.0
459;6311 Cargo handling;2006;11.6;10.7;9.7;9.2;2091.0;2069.0;22.0;1904.0;633.0;640.0;505.0;45.0;180.0;113.0;61.0;9.0;7.0;27.0;63.0;126.0;188.0;155.0
460;6311 Cargo handling;2007;12.4;11.7;10.3;9.9;2466.0;2445.0;21.0;2234.0;859.0;693.0;540.0;44.0;202.0;107.0;70.0;13.0;7.0;33.0;66.0;142.0;231.0;185.0
461;6311 Cargo handling;2008;13.3;12.5;11.3;10.7;2801.0;2774.0;27.0;2503.0;968.0;788.0;601.0;51.0;216.0;125.0;75.0;15.0;8.0;46.0;65.0;146.0;298.0;313.0
462;6312 Storage and warehousing;2006;17.1;15.2;13.2;12.2;2807.0;2762.0;44.0;2538.0;771.0;775.0;804.0;78.0;244.0;80.0;49.0;26.0;15.0;51.0;262.0;188.0;269.0;253.0
463;6312 Storage and warehousing;2007;19.1;15.7;14.6;12.6;3118.0;3071.0;46.0;2832.0;940.0;856.0;820.0;88.0;246.0;97.0;59.0;27.0;14.0;69.0;218.0;216.0;285.0;288.0
464;6312 Storage and warehousing;2008;19.2;16.7;15.0;13.0;3297.0;3245.0;52.0;2956.0;977.0;906.0;883.0;96.0;304.0;108.0;61.0;23.0;16.0;88.0;186.0;190.0;341.0;314.0
465;632 Other supporting transport act..;2006;19.1;16.9;15.2;13.9;4009.0;2906.0;1103.0;3189.0;960.0;961.0;809.0;35.0;253.0;22.0;37.0;44.0;19.0;294.0;103.0;459.0;820.0;861.0
466;632 Other supporting transport act..;2007;19.7;17.5;15.3;13.6;4312.0;3117.0;1195.0;3759.0;910.0;1047.0;836.0;32.0;240.0;22.0;39.0;45.0;25.0;302.0;131.0;966.0;553.0;769.0
467;632 Other supporting transport act..;2008;21.4;18.5;16.5;14.2;4548.0;3199.0;1349.0;3995.0;981.0;1133.0;991.0;36.0;278.0;26.0;44.0;51.0;32.0;335.0;191.0;889.0;553.0;526.0
468;6321 Supporting land transport act..;2006;8.7;7.3;6.8;6.0;1784.0;716.0;1068.0;1513.0;793.0;366.0;202.0;7.0;96.0;11.0;6.0;7.0;3.0;42.0;29.0;153.0;271.0;82.0
469;6321 Supporting land transport act..;2007;8.8;7.5;7.1;6.1;1848.0;731.0;1117.0;1877.0;638.0;404.0;211.0;7.0;89.0;7.0;11.0;7.0;6.0;45.0;39.0;624.0;-29.0;111.0
470;6321 Supporting land transport act..;2008;9.5;8.1;7.6;6.5;2007.0;711.0;1295.0;1943.0;677.0;434.0;251.0;8.0;116.0;6.0;13.0;7.0;5.0;46.0;50.0;581.0;64.0;91.0
471;6322 Supporting water transport act..;2006;4.2;4.0;3.0;2.9;1001.0;982.0;19.0;635.0;140.0;236.0;131.0;4.0;30.0;5.0;24.0;15.0;6.0;10.0;37.0;128.0;366.0;307.0
472;6322 Supporting water transport act..;2007;4.3;4.1;2.8;2.7;1185.0;1130.0;54.0;813.0;246.0;256.0;141.0;4.0;27.0;3.0;23.0;15.0;5.0;11.0;52.0;170.0;372.0;321.0
473;6322 Supporting water transport act..;2008;5.2;4.4;3.1;2.8;1236.0;1206.0;30.0;910.0;257.0;300.0;225.0;4.0;32.0;4.0;26.0;20.0;9.0;29.0;101.0;127.0;325.0;226.0
474;6323 Airports/supporting air transport..;2006;6.1;5.5;5.4;5.0;1223.0;1207.0;16.0;1042.0;28.0;359.0;476.0;24.0;127.0;6.0;7.0;21.0;10.0;242.0;38.0;178.0;182.0;473.0
475;6323 Airports/supporting air transport..;2007;6.6;5.9;5.4;4.8;1280.0;1256.0;24.0;1069.0;26.0;387.0;484.0;21.0;123.0;12.0;5.0;23.0;14.0;246.0;40.0;172.0;210.0;337.0
476;6323 Airports/supporting air transport..;2008;6.8;5.9;5.8;4.9;1305.0;1281.0;25.0;1142.0;47.0;398.0;515.0;23.0;129.0;16.0;6.0;24.0;17.0;260.0;40.0;181.0;164.0;209.0
477;633 Travel agencies and tour operators;2006;24.7;18.8;22.0;16.7;5711.0;5627.0;84.0;5539.0;4208.0;632.0;630.0;10.0;81.0;13.0;22.0;304.0;44.0;49.0;108.0;69.0;173.0;180.0
478;633 Travel agencies and tour operators;2007;24.7;19.1;22.3;17.1;6271.0;6182.0;89.0;6004.0;4601.0;662.0;678.0;10.0;88.0;13.0;20.0;302.0;43.0;73.0;129.0;63.0;267.0;284.0
479;633 Travel agencies and tour operators;2008;24.9;19.4;22.3;17.1;6606.0;6529.0;77.0;6287.0;4756.0;681.0;784.0;11.0;84.0;12.0;20.0;404.0;38.0;66.0;150.0;66.0;319.0;346.0
480;634 Forwarding agencies;2006;44.4;39.3;37.1;33.2;13080.0;13017.0;63.0;12508.0;9235.0;1828.0;1288.0;34.0;290.0;51.0;251.0;100.0;61.0;126.0;375.0;158.0;572.0;575.0
481;634 Forwarding agencies;2007;45.8;41.6;37.2;34.2;14532.0;14399.0;133.0;13704.0;10243.0;1894.0;1397.0;34.0;295.0;50.0;297.0;113.0;61.0;157.0;390.0;170.0;828.0;827.0
482;634 Forwarding agencies;2008;49.2;44.8;40.5;37.0;14444.0;14334.0;111.0;13714.0;9668.0;2173.0;1700.0;46.0;418.0;67.0;275.0;118.0;56.0;172.0;548.0;173.0;730.0;718.0
483;64 Post and telecommunications;2006;142.2;97.8;113.1;84.0;23950.0;23662.0;289.0;20590.0;5737.0;4592.0;6732.0;103.0;491.0;363.0;367.0;1110.0;88.0;3284.0;925.0;3530.0;3360.0;4046.0
484;64 Post and telecommunications;2007;150.8;98.1;113.8;82.9;24731.0;24294.0;437.0;21423.0;5805.0;4948.0;7059.0;133.0;502.0;228.0;421.0;1103.0;85.0;3517.0;1070.0;3611.0;3308.0;2440.0
485;64 Post and telecommunications;2008;147.3;95.8;110.6;80.0;24373.0;24156.0;217.0;20898.0;6091.0;4919.0;6408.0;138.0;597.0;151.0;432.0;955.0;69.0;2746.0;1319.0;3480.0;3475.0;2154.0
486;641 Post and courier activities;2006;;;;;;;;;;;;;;;;;;;;;;
487;641 Post and courier activities;2007;;;;;;;;;;;;;;;;;;;;;;
488;641 Post and courier activities;2008;96.4;52.7;71.8;44.8;5533.0;5445.0;88.0;4632.0;1201.0;1991.0;1280.0;26.0;187.0;28.0;317.0;59.0;23.0;214.0;425.0;159.0;902.0;1044.0
489;6411 National post activities;2006;;;;;;;;;;;;;;;;;;;;;;
490;6411 National post activities;2007;;;;;;;;;;;;;;;;;;;;;;
491;6411 National post activities;2008;;;;;;;;;;;;;;;;;;;;;;
492;6412 Local post and courier activities;2006;19.4;16.2;15.2;12.3;2087.0;2052.0;35.0;1818.0;642.0;526.0;601.0;6.0;50.0;15.0;138.0;25.0;16.0;28.0;322.0;50.0;269.0;221.0
493;6412 Local post and courier activities;2007;21.5;16.7;15.5;12.3;2374.0;2277.0;97.0;2157.0;789.0;566.0;758.0;8.0;48.0;20.0;161.0;28.0;16.0;20.0;456.0;43.0;217.0;256.0
494;6412 Local post and courier activities;2008;;;;;;;;;;;;;;;;;;;;;;
495;642 Telecommunications;2006;;;;;;;;;;;;;;;;;;;;;;
496;642 Telecommunications;2007;;;;;;;;;;;;;;;;;;;;;;
497;642 Telecommunications;2008;50.9;43.2;38.8;35.2;18840.0;18711.0;129.0;16266.0;4890.0;2928.0;5128.0;113.0;410.0;123.0;116.0;896.0;46.0;2532.0;893.0;3320.0;2574.0;1110.0
498;71 Renting of machinery and equipment;2006;31.2;25.3;22.6;18.5;7970.0;7871.0;99.0;7317.0;3218.0;867.0;725.0;20.0;132.0;33.0;123.0;118.0;40.0;98.0;159.0;2507.0;653.0;668.0
499;71 Renting of machinery and equipment;2007;33.3;26.8;24.9;20.2;8743.0;8623.0;120.0;7872.0;3230.0;990.0;848.0;24.0;158.0;30.0;154.0;110.0;42.0;115.0;215.0;2803.0;872.0;0.0
500;71 Renting of machinery and equipment;2008;35.1;26.7;25.8;20.0;9364.0;9233.0;131.0;8445.0;3663.0;1003.0;829.0;23.0;160.0;33.0;140.0;115.0;42.0;114.0;202.0;2950.0;920.0;737.0
501;7110a Renting of transport equipment;2006;8.5;7.3;7.0;6.2;5424.0;5365.0;59.0;5122.0;2333.0;346.0;296.0;6.0;50.0;8.0;31.0;54.0;20.0;52.0;76.0;2146.0;302.0;320.0
502;7110a Renting of transport equipment;2007;9.9;8.2;8.5;7.2;5907.0;5826.0;81.0;5501.0;2320.0;398.0;368.0;7.0;66.0;8.0;55.0;45.0;20.0;61.0;105.0;2415.0;407.0;0.0
503;7110a Renting of transport equipment;2008;9.6;7.8;8.4;6.9;6226.0;6151.0;75.0;5805.0;2545.0;393.0;325.0;7.0;55.0;7.0;32.0;46.0;20.0;54.0;105.0;2542.0;421.0;254.0
504;713 Renting of other machinery and ..;2006;9.9;8.4;7.1;6.2;1397.0;1385.0;11.0;1204.0;494.0;284.0;235.0;6.0;44.0;13.0;51.0;42.0;11.0;25.0;42.0;190.0;193.0;201.0
505;713 Renting of other machinery and ..;2007;10.7;9.2;7.9;7.0;1664.0;1655.0;9.0;1361.0;501.0;347.0;275.0;9.0;51.0;14.0;55.0;41.0;12.0;34.0;60.0;237.0;303.0;306.0
506;713 Renting of other machinery and ..;2008;12.0;9.5;8.8;7.3;1944.0;1914.0;30.0;1604.0;675.0;376.0;299.0;8.0;63.0;15.0;61.0;47.0;14.0;36.0;54.0;255.0;341.0;328.0
507;714 Renting of other moveable property;2006;12.9;9.7;8.5;6.1;1150.0;1121.0;29.0;992.0;390.0;237.0;194.0;8.0;38.0;12.0;41.0;23.0;9.0;21.0;41.0;170.0;158.0;147.0
508;714 Renting of other moveable property;2007;12.7;9.4;8.5;6.0;1172.0;1143.0;29.0;1011.0;409.0;244.0;206.0;8.0;41.0;8.0;44.0;23.0;10.0;20.0;50.0;152.0;161.0;143.0
509;714 Renting of other moveable property;2008;13.5;9.5;8.7;5.9;1194.0;1168.0;26.0;1037.0;444.0;234.0;206.0;8.0;42.0;10.0;47.0;23.0;9.0;24.0;43.0;153.0;158.0;156.0
510;72 Computer service, information techn..;2006;164.9;145.0;133.9;120.8;18466.0;18321.0;144.0;16489.0;5002.0;7650.0;3317.0;55.0;503.0;210.0;675.0;484.0;172.0;352.0;866.0;520.0;1976.0;2327.0
511;72 Computer service, information techn..;2007;174.0;150.5;138.8;125.6;20899.0;20720.0;179.0;18659.0;5914.0;8344.0;3856.0;56.0;547.0;181.0;739.0;532.0;193.0;450.0;1157.0;545.0;2240.0;2746.0
512;72 Computer service, information techn..;2008;189.8;162.3;148.7;133.5;23355.0;23137.0;218.0;20876.0;6539.0;9454.0;4254.0;66.0;597.0;216.0;847.0;511.0;188.0;573.0;1256.0;630.0;2478.0;2817.0
