ID;Woningkenmerken;WijkenEnBuurten;Gemeentenaam_1;SoortRegio_2;Codering_3;GemiddeldAardgasverbruik_4;GemiddeldElektriciteitsverbruik_5;Stadsverwarming_6
204;Totaal woningen;Essen;Essen                                   ;Buurt     ;BU00170103;2800.0;4300.0;
205;Totaal woningen;Verspr.h. ten W. van Noord-Willemskanaal;Verspreide huizen ten westen van Noord-W;Buurt     ;BU00170106;2700.0;4600.0;
206;Totaal woningen;Verspreide huizen op de Hondsrug;Verspreide huizen op de Hondsrug        ;Buurt     ;BU00170107;2850.0;4400.0;
207;Totaal woningen;Verspreide huizen Onner Esch;Verspreide huizen Onner Esch            ;Buurt     ;BU00170108;2950.0;5100.0;
208;Totaal woningen;Verspr.h. ten oosten van de Hondsrug;Verspreide huizen ten oosten van de Hond;Buurt     ;BU00170109;2500.0;;
209;Totaal woningen;Hoogezand-Sappemeer;Hoogezand-Sappemeer                     ;Gemeente  ;GM0018    ;1650.0;3150.0;
210;Totaal woningen;Wijk 01 Foxham en Hoogezand-Noord;Wijk 01 Foxham en Hoogezand-Noord       ;Wijk      ;WK001801  ;1450.0;2700.0;
211;Totaal woningen;Noorderpark;Noorderpark                             ;Buurt     ;BU00180101;1250.0;2350.0;
212;Totaal woningen;Westerpark;Westerpark                              ;Buurt     ;BU00180102;1550.0;2900.0;
213;Totaal woningen;Beukemabuurt;Beukemabuurt                            ;Buurt     ;BU00180103;1400.0;2550.0;
214;Totaal woningen;Oosterpark;Oosterpark                              ;Buurt     ;BU00180104;2550.0;3650.0;
215;Totaal woningen;Martenshoek;Martenshoek                             ;Buurt     ;BU00180105;1350.0;2900.0;
216;Totaal woningen;Industriegebied Martenshoek;Industriegebied Martenshoek             ;Buurt     ;BU00180106;2000.0;3700.0;
217;Totaal woningen;Stadshart-Noord;Stadshart-Noord                         ;Buurt     ;BU00180107;1300.0;2500.0;
218;Totaal woningen;Wijk 02 Hoogezand-Zuid;Wijk 02 Hoogezand-Zuid                  ;Wijk      ;WK001802  ;1500.0;2900.0;
219;Totaal woningen;Spoorstraat en Kieldiep;Spoorstraat en Kieldiep                 ;Buurt     ;BU00180201;1400.0;2500.0;
220;Totaal woningen;Burgemeester van Royenstraat en omgeving;Burgemeester van Royenstraat en omgeving;Buurt     ;BU00180202;1800.0;3400.0;
221;Totaal woningen;Gorecht-Noord;Gorecht-Noord                           ;Buurt     ;BU00180203;1000.0;2150.0;16.0
222;Totaal woningen;Gorechtpark;                                        ;          ;          ;;;
223;Totaal woningen;Gorecht-West;Gorecht-West                            ;Buurt     ;BU00180205;1650.0;3150.0;
224;Totaal woningen;Woldwijck-West;Woldwijck-West                          ;Buurt     ;BU00180206;1700.0;3600.0;
225;Totaal woningen;Woldwijck-Midden;Woldwijck-Midden                        ;Buurt     ;BU00180207;1550.0;2800.0;
226;Totaal woningen;Woldwijck-Oost;Woldwijck-Oost                          ;Buurt     ;BU00180208;1650.0;3350.0;
227;Totaal woningen;Kropswolderpolder;                                        ;          ;          ;;;
228;Totaal woningen;Gorechtpark-Oost;Gorechtpark-Oost                        ;Buurt     ;BU00180210;2300.0;3050.0;
229;Totaal woningen;Wijk 03 Kalkwijk;Wijk 03 Kalkwijk                        ;Wijk      ;WK001803  ;1650.0;3600.0;
230;Totaal woningen;Stadshart-Zuid;Stadshart-Zuid                          ;Buurt     ;BU00180301;900.0;2100.0;
231;Totaal woningen;Zuiderpark;Zuiderpark                              ;Buurt     ;BU00180302;2300.0;3650.0;
232;Totaal woningen;De Dreven;De Dreven                               ;Buurt     ;BU00180303;1750.0;4100.0;
