ID;CPIWithUnderlyingInflation;Periods;PriceIndex_1;YearOnYearChange_2
525;Underlying series II;2015 October;112.99;0.4
526;Underlying series II;2015 November;112.34;0.5
527;Underlying series II;2015 December;112.24;0.5
528;Underlying series III;2006 January;98.7;
529;Underlying series III;2006 February;99.39;
530;Underlying series III;2006 March;100.34;
531;Underlying series III;2006 April;100.71;
532;Underlying series III;2006 May;100.74;
533;Underlying series III;2006 June;100.14;
534;Underlying series III;2006 July;99.03;
535;Underlying series III;2006 August;99.72;
536;Underlying series III;2006 September;100.61;
537;Underlying series III;2006 October;100.51;
538;Underlying series III;2006 November;100.35;
539;Underlying series III;2006 December;99.78;
540;Underlying series III;2007 January;99.49;0.8
541;Underlying series III;2007 February;100.12;0.7
542;Underlying series III;2007 March;101.42;1.1
543;Underlying series III;2007 April;101.89;1.2
544;Underlying series III;2007 May;101.8;1.0
545;Underlying series III;2007 June;101.19;1.0
546;Underlying series III;2007 July;100.44;1.4
547;Underlying series III;2007 August;100.69;1.0
548;Underlying series III;2007 September;101.43;0.8
549;Underlying series III;2007 October;101.62;1.1
550;Underlying series III;2007 November;101.59;1.2
551;Underlying series III;2007 December;101.02;1.2
552;Underlying series III;2008 January;101.11;1.6
553;Underlying series III;2008 February;102.06;1.9
554;Underlying series III;2008 March;103.35;1.9
555;Underlying series III;2008 April;103.62;1.7
556;Underlying series III;2008 May;103.85;2.0
557;Underlying series III;2008 June;103.28;2.1
558;Underlying series III;2008 July;102.54;2.1
559;Underlying series III;2008 August;102.96;2.3
560;Underlying series III;2008 September;103.68;2.2
561;Underlying series III;2008 October;104.01;2.4
562;Underlying series III;2008 November;103.86;2.2
563;Underlying series III;2008 December;103.23;2.2
564;Underlying series III;2009 January;102.76;1.6
565;Underlying series III;2009 February;103.75;1.7
566;Underlying series III;2009 March;105.21;1.8
567;Underlying series III;2009 April;105.55;1.9
568;Underlying series III;2009 May;105.53;1.6
569;Underlying series III;2009 June;104.8;1.5
570;Underlying series III;2009 July;103.8;1.2
571;Underlying series III;2009 August;103.97;1.0
572;Underlying series III;2009 September;104.84;1.1
573;Underlying series III;2009 October;105.13;1.1
574;Underlying series III;2009 November;104.9;1.0
575;Underlying series III;2009 December;104.08;0.8
576;Underlying series III;2010 January;103.67;0.9
577;Underlying series III;2010 February;104.73;0.9
578;Underlying series III;2010 March;106.26;1.0
579;Underlying series III;2010 April;106.53;0.9
580;Underlying series III;2010 May;106.46;0.9
581;Underlying series III;2010 June;105.7;0.9
582;Underlying series III;2010 July;104.74;0.9
