ID;RegioS;Kiesgerechtigden_1;Opkomst_2;TotaalStemmen_3;GeldigeStemmen_4;AVD_5;CDA_6;CU_7;D66_8;Conserv_9;DN_10;GL_11;LN_12;LPF_13;Veldhoen_14;NCPN_15;PvdA_16;PvdT_17;PvdD_18;Ratelband_19;SGP_20;SP_21;VIP_22;VVD_23;AVD_24;CDA_25;CU_26;D66_27;Conserv_28;DN_29;GL_30;LN_31;LPF_32;Veldhoen_33;NCPN_34;PvdA_35;PvdT_36;PvdD_37;Ratelband_38;SGP_39;SP_40;VIP_41;VVD_42;LandsdeelCode_43;ProvincieCode_44;KamerkieskringCode_45;CoropCode_46;GemeenteCode_47
359;Schiedam;55464;74.0;41051;40972;2.0;8020;443;1443;20.0;143.0;1900;194;5174;5.0;29;13384;60;293.0;55;133;2973;20.0;6681;0.0;19.6;1.1;3.5;0.0;0.3;4.6;0.5;12.6;0.0;0.1;32.7;0.1;0.7;0.1;0.3;7.3;0.0;16.3;3;28;14;29;0606
360;Schiermonnikoog;805;91.4;736;735;0.0;206;9;31;;0.0;37;6;20;;0;241;2;3.0;0;2;36;;142;0.0;28.0;1.2;4.2;;0.0;5.0;0.8;2.7;;0.0;32.8;0.3;0.4;0.0;0.3;4.9;;19.3;1;21;00;04;0088
361;Schijndel;17490;77.8;13614;13576;0.0;4845;11;407;3.0;0.0;411;42;649;;4;3132;40;67.0;10;9;1802;4.0;2140;0.0;35.7;0.1;3.0;0.0;0.0;3.0;0.3;4.8;;0.0;23.1;0.3;0.5;0.1;0.1;13.3;0.0;15.8;4;30;00;35;0844
362;Schinnen;10335;83.3;8607;8602;;3653;52;258;4.0;0.0;398;38;362;;0;2196;12;44.0;7;1;450;;1127;;42.5;0.6;3.0;0.0;0.0;4.6;0.4;4.2;;0.0;25.5;0.1;0.5;0.1;0.0;5.2;;13.1;4;31;00;39;0962
363;Schipluiden;7977;90.4;7208;7204;2.0;3297;113;309;1.0;0.0;273;24;349;1.0;0;1037;9;24.0;9;29;253;0.0;1474;0.0;45.8;1.6;4.3;0.0;0.0;3.8;0.3;4.8;0.0;0.0;14.4;0.1;0.3;0.1;0.4;3.5;0.0;20.5;3;28;00;27;0607
364;Schoonhoven;9118;86.0;7837;7831;0.0;2331;265;340;4.0;0.0;339;20;563;;2;1809;15;33.0;6;189;395;0.0;1520;0.0;29.8;3.4;4.3;0.1;0.0;4.3;0.3;7.2;;0.0;23.1;0.2;0.4;0.1;2.4;5.0;0.0;19.4;3;28;00;28;0608
365;Schouwen-Duiveland;26602;85.0;22600;22533;;6571;657;642;;4.0;736;95;1310;;5;5029;24;141.0;8;1673;935;;4703;;29.2;2.9;2.8;;0.0;3.3;0.4;5.8;;0.0;22.3;0.1;0.6;0.0;7.4;4.1;;20.9;3;29;00;32;1676
366;Sevenum;5507;83.4;4595;4587;;2583;12;107;2.0;0.0;157;13;158;;0;676;6;11.0;2;1;307;;552;;56.3;0.3;2.3;0.0;0.0;3.4;0.3;3.4;;0.0;14.7;0.1;0.2;0.0;0.0;6.7;;12.0;4;31;00;37;0964
367;Simpelveld;8591;77.9;6689;6683;;2769;14;148;6.0;1.0;241;127;363;;2;1886;6;36.0;3;0;407;;674;;41.4;0.2;2.2;0.1;0.0;3.6;1.9;5.4;;0.0;28.2;0.1;0.5;0.0;0.0;6.1;;10.1;4;31;00;39;0965
368;Sint Anthonis;8607;88.5;7614;7600;0.0;4224;9;156;2.0;1.0;264;30;305;;2;1190;12;21.0;4;1;480;0.0;899;0.0;55.6;0.1;2.1;0.0;0.0;3.5;0.4;4.0;;0.0;15.7;0.2;0.3;0.1;0.0;6.3;0.0;11.8;4;30;00;35;1702
369;Sint-Michielsgestel;21180;82.0;17371;17354;3.0;6725;42;609;5.0;0.0;602;99;700;;7;4130;53;55.0;13;2;1417;2.0;2890;0.0;38.8;0.2;3.5;0.0;0.0;3.5;0.6;4.0;;0.0;23.8;0.3;0.3;0.1;0.0;8.2;0.0;16.7;4;30;00;35;0845
370;Sint-Oedenrode;12830;84.2;10806;10799;2.0;4768;16;259;1.0;0.0;375;40;524;;2;2231;48;27.0;17;2;811;0.0;1676;0.0;44.2;0.1;2.4;0.0;0.0;3.5;0.4;4.9;;0.0;20.7;0.4;0.3;0.2;0.0;7.5;0.0;15.5;4;30;00;35;0846
371;Sittard-Geleen;74822;74.6;55794;55722;;19695;183;1595;19.0;12.0;3234;238;2782;;10;16439;44;341.0;76;31;3884;;7139;;35.3;0.3;2.9;0.0;0.0;5.8;0.4;5.0;;0.0;29.5;0.1;0.6;0.1;0.1;7.0;;12.8;4;31;20;39;1883
372;Skarsterlân;20253;85.6;17333;17326;1.0;6573;327;467;;0.0;613;117;629;;11;5308;34;67.0;12;27;834;;2306;0.0;37.9;1.9;2.7;;0.0;3.5;0.7;3.6;;0.1;30.6;0.2;0.4;0.1;0.2;4.8;;13.3;1;21;00;06;0051
373;Sliedrecht;17873;82.9;14815;14801;0.0;3948;943;294;4.0;7.0;336;69;857;5.0;10;3775;10;55.0;10;1947;633;0.0;1898;0.0;26.7;6.4;2.0;0.0;0.0;2.3;0.5;5.8;0.0;0.1;25.5;0.1;0.4;0.1;13.2;4.3;0.0;12.8;3;28;15;30;0610
374;Slochteren;11375;83.2;9465;9456;3.0;1991;773;305;;0.0;385;51;383;;11;3458;10;34.0;2;67;474;;1509;0.0;21.1;8.2;3.2;;0.0;4.1;0.5;4.1;;0.1;36.6;0.1;0.4;0.0;0.7;5.0;;16.0;1;20;00;03;0040
375;Sluis;18141;76.5;13879;13865;;4609;106;376;;3.0;468;60;724;;17;3914;13;70.0;14;97;639;;2755;;33.2;0.8;2.7;;0.0;3.4;0.4;5.2;;0.1;28.2;0.1;0.5;0.1;0.7;4.6;;19.9;3;29;00;31;1714
376;Smallingerland;40447;84.0;33957;33932;0.0;10276;2080;943;;4.0;1448;106;910;;10;12299;36;107.0;13;203;2049;;3448;0.0;30.3;6.1;2.8;;0.0;4.3;0.3;2.7;;0.0;36.2;0.1;0.3;0.0;0.6;6.0;;10.2;1;21;00;06;0090
377;Sneek;24672;80.8;19941;19925;0.0;5615;491;655;;8.0;934;115;777;;15;6804;34;65.0;28;16;1389;;2979;0.0;28.2;2.5;3.3;;0.0;4.7;0.6;3.9;;0.1;34.1;0.2;0.3;0.1;0.1;7.0;;15.0;1;21;00;05;0091
378;Soest;33553;84.4;28323;28303;6.0;8417;645;1391;5.0;78.0;1354;105;1496;;9;5369;31;128.0;20;259;1298;0.0;7692;0.0;29.7;2.3;4.9;0.0;0.3;4.8;0.4;5.3;;0.0;19.0;0.1;0.5;0.1;0.9;4.6;0.0;27.2;3;26;00;17;0342
379;Someren;13468;81.4;10969;10961;2.0;5544;37;222;0.0;0.0;291;65;684;;2;1757;38;49.0;4;11;650;0.0;1605;0.0;50.6;0.3;2.0;0.0;0.0;2.7;0.6;6.2;;0.0;16.0;0.3;0.4;0.0;0.1;5.9;0.0;14.6;4;30;00;36;0847
380;Son en Breugel;11370;84.5;9605;9599;1.0;3546;42;463;3.0;2.0;367;60;523;;0;1640;40;50.0;3;2;494;0.0;2363;0.0;36.9;0.4;4.8;0.0;0.0;3.8;0.6;5.4;;0.0;17.1;0.4;0.5;0.0;0.0;5.1;0.0;24.6;4;30;19;36;0848
381;Spijkenisse;56711;75.6;42869;42780;6.0;7664;587;1480;27.0;6.0;1446;337;5822;13.0;23;13355;55;357.0;86;237;2629;24.0;8626;0.0;17.9;1.4;3.5;0.1;0.0;3.4;0.8;13.6;0.0;0.1;31.2;0.1;0.8;0.2;0.6;6.1;0.1;20.2;3;28;14;29;0612
382;Stadskanaal;26037;78.8;20522;20500;3.0;6352;1380;360;;0.0;501;45;709;;24;7944;27;74.0;17;64;1089;;1911;0.0;31.0;6.7;1.8;;0.0;2.4;0.2;3.5;;0.1;38.8;0.1;0.4;0.1;0.3;5.3;;9.3;1;20;00;01;0037
383;Staphorst;10631;91.7;9750;9748;;3197;1335;96;3.0;;116;13;275;;2;930;18;;2;2799;125;;837;;32.8;13.7;1.0;0.0;;1.2;0.1;2.8;;0.0;9.5;0.2;;0.0;28.7;1.3;;8.6;2;23;00;10;0180
384;Stede Broec;15797;82.5;13025;13011;1.0;4074;87;522;;1.0;565;98;918;;2;3138;18;80.0;11;21;768;;2707;0.0;31.3;0.7;4.0;;0.0;4.3;0.8;7.1;;0.0;24.1;0.1;0.6;0.1;0.2;5.9;;20.8;3;27;00;18;0532
385;Steenbergen;18076;76.3;13790;13777;4.0;4350;129;422;3.0;2.0;378;64;1000;;4;3723;28;60.0;11;171;771;0.0;2657;0.0;31.6;0.9;3.1;0.0;0.0;2.7;0.5;7.3;;0.0;27.0;0.2;0.4;0.1;1.2;5.6;0.0;19.3;4;30;00;33;0851
386;Steenderen;3812;89.5;3413;3409;0.0;1536;30;98;0.0;0.0;95;6;112;;3;804;7;10.0;0;12;148;;548;0.0;45.1;0.9;2.9;0.0;0.0;2.8;0.2;3.3;;0.1;23.6;0.2;0.3;0.0;0.4;4.3;;16.1;2;25;00;14;0280
387;Steenwijkerland;31822;84.5;26895;26870;;9276;1251;711;6.0;;950;98;1147;;12;8119;51;;20;130;1125;;3974;;34.5;4.7;2.6;0.0;;3.5;0.4;4.3;;0.0;30.2;0.2;;0.1;0.5;4.2;;14.8;2;23;00;10;1708
388;Stein;20931;76.7;16046;16028;;6046;48;465;6.0;0.0;654;95;974;;6;4560;24;124.0;18;8;985;;2015;;37.7;0.3;2.9;0.0;0.0;4.1;0.6;6.1;;0.0;28.5;0.1;0.8;0.1;0.0;6.1;;12.6;4;31;20;39;0971
389;Strijen;7084;84.8;6010;5998;1.0;1846;140;172;10.0;0.0;198;24;477;2.0;0;1418;6;31.0;4;196;274;1.0;1198;0.0;30.8;2.3;2.9;0.2;0.0;3.3;0.4;8.0;0.0;0.0;23.6;0.1;0.5;0.1;3.3;4.6;0.0;20.0;3;28;00;29;0617
390;Swalmen;6693;72.4;4847;4843;;1824;9;135;3.0;5.0;153;25;278;;3;1297;13;34.0;10;0;366;;688;;37.7;0.2;2.8;0.1;0.1;3.2;0.5;5.7;;0.1;26.8;0.3;0.7;0.2;0.0;7.6;;14.2;4;31;00;38;0975
391;Terneuzen;40500;74.7;30254;30238;;9849;1315;837;;14.0;976;112;1897;;18;8111;28;128.0;30;1043;1436;;4444;;32.6;4.3;2.8;;0.0;3.2;0.4;6.3;;0.1;26.8;0.1;0.4;0.1;3.4;4.7;;14.7;3;29;00;31;0715
392;Terschelling;3796;84.6;3211;3206;0.0;789;26;154;;0.0;170;22;151;;1;921;1;15.0;3;2;158;;793;0.0;24.6;0.8;4.8;;0.0;5.3;0.7;4.7;;0.0;28.7;0.0;0.5;0.1;0.1;4.9;;24.7;1;21;00;04;0093
393;Texel;10273;86.7;8910;8906;0.0;2715;99;371;;1.0;548;34;423;;5;2184;12;36.0;6;45;614;;1813;0.0;30.5;1.1;4.2;;0.0;6.2;0.4;4.7;;0.1;24.5;0.1;0.4;0.1;0.5;6.9;;20.4;3;27;00;18;0448
394;Tholen;17405;84.1;14639;14623;;4219;589;226;;2.0;279;94;810;;5;3016;25;83.0;15;3104;505;;1651;;28.9;4.0;1.5;;0.0;1.9;0.6;5.5;;0.0;20.6;0.2;0.6;0.1;21.2;3.5;;11.3;3;29;00;32;0716
395;Thorn;1973;80.9;1597;1586;;674;3;47;0.0;0.0;47;6;81;;0;386;2;6.0;6;0;75;;253;;42.5;0.2;3.0;0.0;0.0;3.0;0.4;5.1;;0.0;24.3;0.1;0.4;0.4;0.0;4.7;;16.0;4;31;00;38;0977
396;Tiel;28839;77.8;22428;22410;;5037;284;811;;166.0;1001;87;1477;;7;7305;25;103.0;21;156;1277;;4653;;22.5;1.3;3.6;;0.7;4.5;0.4;6.6;;0.0;32.6;0.1;0.5;0.1;0.7;5.7;;20.8;2;25;00;16;0281
397;Tilburg;148702;70.7;105113;104989;23.0;28010;463;4491;49.0;209.0;6447;500;5680;;50;28779;273;506.0;92;69;11211;28.0;18109;0.0;26.7;0.4;4.3;0.0;0.2;6.1;0.5;5.4;;0.0;27.4;0.3;0.5;0.1;0.1;10.7;0.0;17.2;4;30;17;34;0855
398;Tubbergen;14683;88.4;12981;12977;;9313;13;189;5.0;;203;31;348;;0;1335;15;;2;16;311;;1196;;71.8;0.1;1.5;0.0;;1.6;0.2;2.7;;0.0;10.3;0.1;;0.0;0.1;2.4;;9.2;2;23;00;12;0183
399;Twenterand;24822;83.8;20804;20794;;10266;1580;267;3.0;;409;73;604;;7;4895;26;;11;551;595;;1507;;49.4;7.6;1.3;0.0;;2.0;0.4;2.9;;0.0;23.5;0.1;;0.1;2.6;2.9;;7.2;2;23;00;12;1700
400;Tynaarlo;24226;86.3;20906;20895;;4023;506;1138;1.0;4.0;1190;84;806;;13;7090;25;55.0;11;31;923;;4995;;19.3;2.4;5.4;0.0;0.0;5.7;0.4;3.9;;0.1;33.9;0.1;0.3;0.1;0.1;4.4;;23.9;1;22;00;07;1730
401;Tytsjerksteradiel;23967;87.1;20873;20864;3.0;8407;713;516;;3.0;842;121;703;;4;6175;22;48.0;7;115;900;;2285;0.0;40.3;3.4;2.5;;0.0;4.0;0.6;3.4;;0.0;29.6;0.1;0.2;0.0;0.6;4.3;;11.0;1;21;00;04;0737
402;Ubbergen;7275;87.0;6326;6319;;2152;26;225;;1.0;465;15;217;;2;1790;4;31.0;9;7;457;;918;;34.1;0.4;3.6;;0.0;7.4;0.2;3.4;;0.0;28.3;0.1;0.5;0.1;0.1;7.2;;14.5;2;25;00;15;0282
403;Uden;30229;79.9;24143;24118;2.0;8826;59;783;6.0;27.0;780;83;1168;;6;4637;53;99.0;12;10;2792;1.0;4774;0.0;36.6;0.2;3.2;0.0;0.1;3.2;0.3;4.8;;0.0;19.2;0.2;0.4;0.0;0.0;11.6;0.0;19.8;4;30;00;35;0856
404;Uitgeest;8655;86.3;7471;7463;0.0;2032;34;364;;0.0;451;47;424;;5;1962;7;41.0;6;6;415;;1669;0.0;27.2;0.5;4.9;;0.0;6.0;0.6;5.7;;0.1;26.3;0.1;0.5;0.1;0.1;5.6;;22.4;3;27;00;20;0450
405;Uithoorn;19785;85.0;16827;16809;4.0;4993;139;847;9.0;2.0;700;77;943;;4;3462;10;97.0;24;19;816;;4663;0.0;29.7;0.8;5.0;0.1;0.0;4.2;0.5;5.6;;0.0;20.6;0.1;0.6;0.1;0.1;4.9;;27.7;3;27;00;23;0451
406;Urk;10154;91.3;9271;9270;0.0;4206;1558;16;;0.0;13;4;157;;0;68;5;5.0;2;3094;37;;105;0.0;45.4;16.8;0.2;;0.0;0.1;0.0;1.7;;0.0;0.7;0.1;0.1;0.0;33.4;0.4;;1.1;2;24;00;40;0184
407;Utrecht;199114;77.6;154451;154228;17.0;25660;2068;11020;35.0;219.0;18387;476;7117;;64;48302;104;777.0;124;444;13576;29.0;25809;0.0;16.6;1.3;7.1;0.0;0.1;11.9;0.3;4.6;;0.0;31.3;0.1;0.5;0.1;0.3;8.8;0.0;16.7;3;26;09;17;0344
408;Vaals;6106;70.6;4311;4309;;1647;10;78;3.0;1.0;197;18;214;;7;1427;1;26.0;2;3;216;;459;;38.2;0.2;1.8;0.1;0.0;4.6;0.4;5.0;;0.2;33.1;0.0;0.6;0.0;0.1;5.0;;10.7;4;31;00;39;0981
409;Valkenburg;2717;86.1;2340;2339;1.0;1151;161;64;0.0;0.0;55;8;107;;0;297;3;7.0;7;25;64;0.0;389;0.0;49.2;6.9;2.7;0.0;0.0;2.4;0.3;4.6;;0.0;12.7;0.1;0.3;0.3;1.1;2.7;0.0;16.6;3;28;12;25;0619
410;Valkenburg aan de Geul;14003;82.2;11512;11505;;5509;29;321;5.0;0.0;388;21;465;;4;2230;12;72.0;11;4;967;;1467;;47.9;0.3;2.8;0.0;0.0;3.4;0.2;4.0;;0.0;19.4;0.1;0.6;0.1;0.0;8.4;;12.8;4;31;00;39;0994
411;Valkenswaard;23931;81.2;19441;19422;3.0;6782;54;595;4.0;1.0;670;90;1122;;4;4542;81;89.0;17;6;1467;1.0;3894;0.0;34.9;0.3;3.1;0.0;0.0;3.4;0.5;5.8;;0.0;23.4;0.4;0.5;0.1;0.0;7.6;0.0;20.0;4;30;00;36;0858
412;Veendam;21983;78.4;17244;17223;4.0;2807;403;548;;30.0;541;68;665;;18;8552;17;82.0;8;24;1031;;2425;0.0;16.3;2.3;3.2;;0.2;3.1;0.4;3.9;;0.1;49.7;0.1;0.5;0.0;0.1;6.0;;14.1;1;20;00;01;0047
413;Veenendaal;43515;85.2;37096;37063;0.0;13504;3162;771;13.0;8.0;1139;99;1611;;7;6520;51;85.0;23;2924;1305;1.0;5840;0.0;36.4;8.5;2.1;0.0;0.0;3.1;0.3;4.3;;0.0;17.6;0.1;0.2;0.1;7.9;3.5;0.0;15.8;3;26;00;17;0345
414;Veere;16537;88.0;14549;14546;;5497;511;373;;2.0;556;32;528;;10;2250;11;76.0;11;1704;485;;2500;;37.8;3.5;2.6;;0.0;3.8;0.2;3.6;;0.1;15.5;0.1;0.5;0.1;11.7;3.3;;17.2;3;29;00;32;0717
415;Veghel;26671;81.3;21672;21654;7.0;9529;59;574;12.0;12.0;608;90;1013;;7;4315;65;74.0;11;7;1723;1.0;3547;0.0;44.0;0.3;2.7;0.1;0.1;2.8;0.4;4.7;;0.0;19.9;0.3;0.3;0.1;0.0;8.0;0.0;16.4;4;30;00;35;0860
416;Veldhoven;31993;80.6;25789;25770;2.0;8870;156;913;5.0;1.0;978;140;1551;;11;5602;101;123.0;16;11;2003;1.0;5286;0.0;34.4;0.6;3.5;0.0;0.0;3.8;0.5;6.0;;0.0;21.7;0.4;0.5;0.1;0.0;7.8;0.0;20.5;4;30;19;36;0861
417;Velsen;50441;80.1;40416;40382;4.0;9642;688;1976;11.0;17.0;1924;221;2964;;23;11363;52;248.0;41;67;2484;;8657;0.0;23.9;1.7;4.9;0.0;0.0;4.8;0.5;7.3;;0.1;28.1;0.1;0.6;0.1;0.2;6.2;;21.4;3;27;00;20;0453
418;Venhuizen;5788;86.2;4992;4982;1.0;1588;27;196;;0.0;201;30;302;;4;938;6;26.0;3;6;245;;1409;0.0;31.9;0.5;3.9;;0.0;4.0;0.6;6.1;;0.1;18.8;0.1;0.5;0.1;0.1;4.9;;28.3;3;27;00;18;0454
419;Venlo;67292;72.3;48634;48570;;17085;168;1413;16.0;45.0;2497;208;3057;;8;12365;72;261.0;55;23;2918;;8379;;35.2;0.3;2.9;0.0;0.1;5.1;0.4;6.3;;0.0;25.5;0.1;0.5;0.1;0.0;6.0;;17.3;4;31;00;37;0983
420;Venray;28650;77.9;22320;22303;;9384;43;688;8.0;19.0;878;93;1163;;8;5140;32;92.0;11;7;1572;;3165;;42.1;0.2;3.1;0.0;0.1;3.9;0.4;5.2;;0.0;23.0;0.1;0.4;0.0;0.0;7.0;;14.2;4;31;00;37;0984
421;Vianen;14719;82.3;12119;12110;0.0;3663;157;440;1.0;1.0;460;64;748;;8;3118;19;45.0;6;325;754;3.0;2298;0.0;30.2;1.3;3.6;0.0;0.0;3.8;0.5;6.2;;0.1;25.7;0.2;0.4;0.0;2.7;6.2;0.0;19.0;3;26;00;17;0620
422;Vlaardingen;56950;77.1;43925;43847;6.0;9960;803;1524;25.0;33.0;1868;194;4520;10.0;14;13174;58;290.0;47;723;3347;12.0;7239;0.0;22.7;1.8;3.5;0.1;0.1;4.3;0.4;10.3;0.0;0.0;30.0;0.1;0.7;0.1;1.6;7.6;0.0;16.5;3;28;14;29;0622
423;Vlagtwedde;13029;77.9;10148;10135;1.0;2820;195;175;;1.0;312;24;451;;11;4196;12;76.0;11;13;592;;1245;0.0;27.8;1.9;1.7;;0.0;3.1;0.2;4.4;;0.1;41.4;0.1;0.7;0.1;0.1;5.8;;12.3;1;20;00;01;0048
424;Vlieland;859;81.8;703;702;0.0;98;1;48;;0.0;34;3;28;;0;194;1;3.0;1;0;34;;257;0.0;14.0;0.1;6.8;;0.0;4.8;0.4;4.0;;0.0;27.6;0.1;0.4;0.1;0.0;4.8;;36.6;1;21;00;04;0096
425;Vlissingen;34404;75.4;25950;25914;;6661;500;782;;30.0;1137;117;1850;;17;7723;30;247.0;31;420;1955;;4414;;25.7;1.9;3.0;;0.1;4.4;0.5;7.1;;0.1;29.8;0.1;1.0;0.1;1.6;7.5;;17.0;3;29;00;32;0718
426;Vlist;7348;87.5;6432;6428;0.0;2206;160;219;4.0;0.0;167;33;362;;1;1244;5;25.0;2;508;224;0.0;1268;0.0;34.3;2.5;3.4;0.1;0.0;2.6;0.5;5.6;;0.0;19.4;0.1;0.4;0.0;7.9;3.5;0.0;19.7;3;28;00;28;0623
427;Voerendaal;10188;83.9;8547;8542;;3852;22;256;0.0;0.0;334;30;402;;3;1920;9;54.0;6;1;479;;1174;;45.1;0.3;3.0;0.0;0.0;3.9;0.4;4.7;;0.0;22.5;0.1;0.6;0.1;0.0;5.6;;13.7;4;31;00;39;0986
428;Voorhout;10102;88.1;8901;8892;0.0;3115;63;478;2.0;3.0;375;28;483;;3;1411;10;25.0;8;17;380;0.0;2491;0.0;35.0;0.7;5.4;0.0;0.0;4.2;0.3;5.4;;0.0;15.9;0.1;0.3;0.1;0.2;4.3;0.0;28.0;3;28;00;25;0625
429;Voorschoten;16369;86.7;14187;14171;1.0;4148;143;938;1.0;1.0;791;39;727;;4;2727;5;78.0;14;59;522;3.0;3970;0.0;29.3;1.0;6.6;0.0;0.0;5.6;0.3;5.1;;0.0;19.2;0.0;0.6;0.1;0.4;3.7;0.0;28.0;3;28;12;25;0626
430;Voorst;17957;85.3;15325;15308;2.0;5930;82;499;1.0;4.0;522;48;534;;10;4016;27;60.0;13;203;553;;2804;0.0;38.7;0.5;3.3;0.0;0.0;3.4;0.3;3.5;;0.1;26.2;0.2;0.4;0.1;1.3;3.6;;18.3;2;25;00;13;0285
431;Vorden;6657;88.3;5875;5871;2.0;2349;50;184;0.0;0.0;217;15;193;;0;1398;16;22.0;2;10;260;;1153;0.0;40.0;0.9;3.1;0.0;0.0;3.7;0.3;3.3;;0.0;23.8;0.3;0.4;0.0;0.2;4.4;;19.6;2;25;00;14;0286
432;Vught;19061;82.2;15677;15663;1.0;4950;58;768;3.0;1.0;875;58;646;;10;3710;26;72.0;24;7;1065;0.0;3389;0.0;31.6;0.4;4.9;0.0;0.0;5.6;0.4;4.1;;0.1;23.7;0.2;0.5;0.2;0.0;6.8;0.0;21.6;4;30;18;35;0865
433;Waalre;12172;86.6;10547;10540;1.0;3597;40;545;2.0;2.0;419;40;534;;2;1874;48;63.0;6;4;540;0.0;2823;0.0;34.1;0.4;5.2;0.0;0.0;4.0;0.4;5.1;;0.0;17.8;0.5;0.6;0.1;0.0;5.1;0.0;26.8;4;30;19;36;0866
434;Waalwijk;34866;78.3;27312;27278;3.0;9523;417;798;6.0;19.0;896;144;1673;;8;6165;73;113.0;37;510;1877;0.0;5016;0.0;34.9;1.5;2.9;0.0;0.1;3.3;0.5;6.1;;0.0;22.6;0.3;0.4;0.1;1.9;6.9;0.0;18.4;4;30;00;34;0867
435;Waddinxveen;19613;85.2;16705;16689;3.0;5255;907;618;8.0;6.0;505;62;1047;;3;3216;21;80.0;18;964;561;0.0;3415;0.0;31.5;5.4;3.7;0.0;0.0;3.0;0.4;6.3;;0.0;19.3;0.1;0.5;0.1;5.8;3.4;0.0;20.5;3;28;00;28;0627
436;Wageningen;25727;84.2;21663;21636;0.0;4282;628;1424;4.0;4.0;2825;40;504;;8;6856;27;85.0;10;250;1752;;2937;0.0;19.8;2.9;6.6;0.0;0.0;13.1;0.2;2.3;;0.0;31.7;0.1;0.4;0.0;1.2;8.1;;13.6;2;25;00;13;0289
437;Warmond;3842;85.9;3302;3299;0.0;1231;12;181;1.0;0.0;148;11;220;;1;547;7;21.0;4;7;143;0.0;765;0.0;37.3;0.4;5.5;0.0;0.0;4.5;0.3;6.7;;0.0;16.6;0.2;0.6;0.1;0.2;4.3;0.0;23.2;3;28;12;25;0628
438;Warnsveld;6828;87.2;5953;5946;0.0;1491;119;352;0.0;2.0;336;18;151;;0;1928;3;29.0;3;6;431;;1077;0.0;25.1;2.0;5.9;0.0;0.0;5.7;0.3;2.5;;0.0;32.4;0.1;0.5;0.1;0.1;7.2;;18.1;2;25;00;14;0291
439;Wassenaar;17825;86.0;15331;15318;0.0;4661;82;724;5.0;1.0;436;34;960;;3;1736;6;67.0;16;29;365;0.0;6193;0.0;30.4;0.5;4.7;0.0;0.0;2.8;0.2;6.3;;0.0;11.3;0.0;0.4;0.1;0.2;2.4;0.0;40.4;3;28;13;26;0629
440;Wateringen;12033;84.6;10175;10152;0.0;4156;84;383;5.0;1.0;309;50;944;1.0;5;1464;13;46.0;15;17;296;0.0;2363;0.0;40.9;0.8;3.8;0.0;0.0;3.0;0.5;9.3;0.0;0.0;14.4;0.1;0.5;0.1;0.2;2.9;0.0;23.3;3;28;13;27;0630
441;Waterland;13074;88.7;11599;11595;1.0;3254;106;606;;0.0;602;45;810;;6;2838;12;73.0;11;10;601;;2620;0.0;28.1;0.9;5.2;;0.0;5.2;0.4;7.0;;0.1;24.5;0.1;0.6;0.1;0.1;5.2;;22.6;3;27;00;23;0852
442;Weert;36759;76.4;28080;28056;;9289;86;843;6.0;11.0;970;118;1595;;12;6976;20;130.0;22;15;1832;;6131;;33.1;0.3;3.0;0.0;0.0;3.5;0.4;5.7;;0.0;24.9;0.1;0.5;0.1;0.1;6.5;;21.9;4;31;00;38;0988
443;Weesp;13560;81.4;11034;11024;1.0;2578;92;621;7.0;3.0;715;63;649;;5;3131;23;69.0;16;34;733;;2284;0.0;23.4;0.8;5.6;0.1;0.0;6.5;0.6;5.9;;0.0;28.4;0.2;0.6;0.1;0.3;6.6;;20.7;3;27;00;24;0457
444;Wehl;5136;81.2;4171;4170;0.0;2056;7;69;0.0;1.0;105;13;152;;0;1123;9;24.0;2;6;153;;450;0.0;49.3;0.2;1.7;0.0;0.0;2.5;0.3;3.6;;0.0;26.9;0.2;0.6;0.0;0.1;3.7;;10.8;2;25;00;14;0292
445;Werkendam;19733;84.9;16756;16738;1.0;6749;574;313;3.0;0.0;360;66;894;;1;3068;29;62.0;6;1659;615;2.0;2336;0.0;40.3;3.4;1.9;0.0;0.0;2.2;0.4;5.3;;0.0;18.3;0.2;0.4;0.0;9.9;3.7;0.0;14.0;4;30;00;34;0870
446;Wervershoof;6250;86.2;5386;5383;6.0;2363;23;141;;2.0;178;36;350;;4;930;8;21.0;7;1;233;;1080;0.1;43.9;0.4;2.6;;0.0;3.3;0.7;6.5;;0.1;17.3;0.1;0.4;0.1;0.0;4.3;;20.1;3;27;00;18;0459
447;West Maas en Waal;14061;85.3;11990;11976;;4653;18;322;;3.0;400;40;647;;5;3007;15;33.0;6;6;678;;2143;;38.9;0.2;2.7;;0.0;3.3;0.3;5.4;;0.0;25.1;0.1;0.3;0.1;0.1;5.7;;17.9;2;25;00;16;0668
448;Wester-Koggenland;10205;86.6;8839;8833;2.0;3568;23;318;;1.0;355;48;436;;5;1657;6;50.0;3;8;365;;1988;0.0;40.4;0.3;3.6;;0.0;4.0;0.5;4.9;;0.1;18.8;0.1;0.6;0.0;0.1;4.1;;22.5;3;27;00;18;0558
449;Westerveld;14845;86.8;12889;12882;;2852;128;446;1.0;4.0;581;47;565;;0;4635;19;51.0;7;20;580;;2946;;22.1;1.0;3.5;0.0;0.0;4.5;0.4;4.4;;0.0;36.0;0.1;0.4;0.1;0.2;4.5;;22.9;1;22;00;09;1701
