ID;Waterusers;Periods;TotalUseOfTapWater_1;UseOfDrinkingWater_2;UseOfIndustrialWater_3;UseOfIndustrialWaterForCooling_4;OtherUseOfIndustrialWater_5;TotalUseOfGroundwater_6;UseOfGroundwaterForCooling_7;OtherUseOfGroundwater_8;TotalUseOfSurfaceWater_9;TotalUseOfFreshSurfaceWater_10;UseOfFreshSurfaceWaterForCooling_11;OtherUseOfFreshSurfaceWater_12;TotalUseOfSaltSurfaceWater_13;UseOfSaltSurfaceWaterForCooling_14;OtherUseOfSaltSurfaceWater_15
689;36 Water collection and distribution;2020;0.2;0.2;0.0;;;839.8;0.0;839.8;493.7;493.7;;;0.0;;
690;36 Water collection and distribution;2021;0.2;0.2;0.0;;;812.0;0.0;812.0;482.8;482.8;;;0.0;;
691;36 Water collection and distribution;2022;;;;;;805.8;0.0;805.8;488.9;488.9;0.0;488.9;0.0;0.0;0.0
692;36 Water collection and distribution;2023;;;;;;792.4;0.0;792.4;467.0;467.0;0.0;467.0;0.0;0.0;0.0
693;37 Sewerage;2003;1.1;1.1;0.0;;;0.0;;0.0;0.0;0.0;;;0.0;;
694;37 Sewerage;2004;1.1;1.1;0.0;;;0.0;;0.0;0.0;0.0;;;0.0;;
695;37 Sewerage;2005;1.2;1.2;0.0;;;0.0;;0.0;0.0;0.0;;;0.0;;
696;37 Sewerage;2006;1.2;1.2;0.0;;;0.0;;0.0;0.0;0.0;;;0.0;;
697;37 Sewerage;2007;1.2;1.2;0.0;;;0.0;;0.0;0.0;0.0;;;0.0;;
698;37 Sewerage;2008;1.3;1.3;0.0;;;0.0;;0.0;0.0;0.0;;;0.0;;
699;37 Sewerage;2009;1.3;1.3;0.0;;;0.0;;0.0;0.0;0.0;;;0.0;;
700;37 Sewerage;2010;1.2;1.2;0.0;;;0.1;;0.1;1.0;1.0;;;0.0;;
701;37 Sewerage;2011;1.1;1.1;0.0;;;0.1;;0.1;1.1;1.1;;;0.0;;
702;37 Sewerage;2012;1.2;1.2;0.0;;;0.1;;0.1;1.2;1.2;;;0.0;;
703;37 Sewerage;2013;1.1;1.1;0.0;;;0.0;;0.0;0.9;0.9;;;0.0;;
704;37 Sewerage;2014;1.0;1.0;0.0;;;0.1;;0.1;0.6;0.6;;;0.0;;
705;37 Sewerage;2015;1.0;1.0;0.0;;;0.1;;0.1;0.6;0.6;;;0.0;;
706;37 Sewerage;2016;0.8;0.8;0.0;;;0.1;;0.1;0.4;0.4;;;0.0;;
707;37 Sewerage;2017;0.9;0.9;0.0;;;0.1;0.0;0.1;0.1;0.1;;;0.0;;
708;37 Sewerage;2018;1.1;1.1;0.0;;;0.1;0.0;0.1;0.2;0.2;;;0.0;;
709;37 Sewerage;2019;1.4;1.4;0.0;;;0.1;0.0;0.1;0.5;0.5;;;0.0;;
710;37 Sewerage;2020;2.0;2.0;0.0;;;0.2;0.0;0.2;0.8;0.8;;;0.0;;
711;37 Sewerage;2021;1.6;1.6;0.0;;;0.2;0.0;0.2;0.5;0.5;;;0.0;;
712;37 Sewerage;2022;;;;;;0.1;0.0;0.1;0.4;0.4;0.0;0.4;0.0;0.0;0.0
713;37 Sewerage;2023;;;;;;0.1;0.0;0.1;0.4;0.4;0.1;0.3;0.0;0.0;0.0
714;38 Waste collection and treatment;2003;4.0;3.9;0.1;;;2.0;;2.0;558.5;558.5;;;0.0;;
715;38 Waste collection and treatment;2004;4.1;4.0;0.1;;;2.5;;2.5;562.2;562.2;;;0.0;;
716;38 Waste collection and treatment;2005;3.2;3.1;0.1;;;1.6;;1.6;513.3;513.3;;;0.0;;
717;38 Waste collection and treatment;2006;4.1;4.0;0.1;;;2.7;;2.7;551.5;551.5;;;0.0;;
718;38 Waste collection and treatment;2007;3.5;3.4;0.1;;;2.8;;2.8;518.8;518.8;;;0.0;;
719;38 Waste collection and treatment;2008;5.1;5.0;0.1;;;1.4;;1.4;472.9;472.9;;;0.0;;
720;38 Waste collection and treatment;2009;4.0;3.9;0.1;;;0.3;;0.3;446.7;443.8;;;2.9;;
721;38 Waste collection and treatment;2010;4.8;4.7;0.1;;;1.9;;1.9;568.1;566.1;;;2.1;;
722;38 Waste collection and treatment;2011;3.6;3.5;0.1;;;0.8;;0.8;552.5;550.9;;;1.6;;
723;38 Waste collection and treatment;2012;4.4;4.3;0.1;;;0.7;;0.7;522.3;519.7;;;2.6;;
724;38 Waste collection and treatment;2013;3.4;2.2;1.2;;;0.9;;0.9;553.4;551.4;;;2.0;;
725;38 Waste collection and treatment;2014;3.3;2.3;1.0;;;1.0;;1.0;512.1;511.0;;;1.1;;
726;38 Waste collection and treatment;2015;2.6;2.2;0.4;;;1.1;;1.1;527.9;526.3;;;1.6;;
727;38 Waste collection and treatment;2016;3.3;2.8;0.5;;;1.3;;1.3;554.5;552.4;;;2.1;;
728;38 Waste collection and treatment;2017;3.2;2.8;0.4;;;1.4;0.1;1.3;487.4;486.0;;;1.4;;
729;38 Waste collection and treatment;2018;4.2;3.8;0.4;;;2.7;0.7;2.0;652.2;643.8;;;8.4;;
730;38 Waste collection and treatment;2019;4.9;4.6;0.3;;;3.0;1.1;1.9;662.6;660.7;;;1.9;;
731;38 Waste collection and treatment;2020;4.8;4.5;0.3;;;3.1;1.4;1.7;718.8;717.2;;;1.6;;
732;38 Waste collection and treatment;2021;5.3;5.0;0.3;;;3.0;1.3;1.6;764.4;762.8;;;1.6;;
733;38 Waste collection and treatment;2022;;;;;;3.1;1.6;1.5;886.4;886.4;881.2;5.3;0.0;0.0;0.0
734;38 Waste collection and treatment;2023;;;;;;3.1;1.6;1.5;891.9;891.9;890.6;1.4;0.0;0.0;0.0
735;39 Remediation, other waste management;2003;0.0;0.0;0.0;;;0.0;;0.0;0.0;0.0;;;0.0;;
736;39 Remediation, other waste management;2004;0.0;0.0;0.0;;;0.0;;0.0;0.0;0.0;;;0.0;;
737;39 Remediation, other waste management;2005;0.0;0.0;0.0;;;0.0;;0.0;0.0;0.0;;;0.0;;
738;39 Remediation, other waste management;2006;0.0;0.0;0.0;;;0.0;;0.0;0.0;0.0;;;0.0;;
739;39 Remediation, other waste management;2007;0.0;0.0;0.0;;;0.0;;0.0;0.0;0.0;;;0.0;;
740;39 Remediation, other waste management;2008;0.0;0.0;0.0;;;0.0;;0.0;0.0;0.0;;;0.0;;
741;39 Remediation, other waste management;2009;0.0;0.0;0.0;;;0.0;;0.0;0.0;0.0;;;0.0;;
742;39 Remediation, other waste management;2010;0.0;0.0;0.0;;;0.0;;0.0;0.0;0.0;;;0.0;;
743;39 Remediation, other waste management;2011;0.0;0.0;0.0;;;0.0;;0.0;0.0;0.0;;;0.0;;
744;39 Remediation, other waste management;2012;0.0;0.0;0.0;;;0.0;;0.0;0.0;0.0;;;0.0;;
745;39 Remediation, other waste management;2013;0.0;0.0;0.0;;;0.0;;0.0;0.0;0.0;;;0.0;;
746;39 Remediation, other waste management;2014;0.0;0.0;0.0;;;0.0;;0.0;0.0;0.0;;;0.0;;
747;39 Remediation, other waste management;2015;0.0;0.0;0.0;;;0.0;;0.0;0.0;0.0;;;0.0;;
748;39 Remediation, other waste management;2016;0.0;0.0;0.0;;;0.0;;0.0;0.0;0.0;;;0.0;;
749;39 Remediation, other waste management;2017;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
750;39 Remediation, other waste management;2018;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
751;39 Remediation, other waste management;2019;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
752;39 Remediation, other waste management;2020;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
753;39 Remediation, other waste management;2021;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;0.0;;
754;39 Remediation, other waste management;2022;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
755;39 Remediation, other waste management;2023;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
756;F Construction;2003;3.0;3.0;0.0;;;;;;;;;;;;
757;F Construction;2004;3.0;3.0;0.0;;;;;;;;;;;;
758;F Construction;2005;3.0;3.0;0.0;;;;;;;;;;;;
759;F Construction;2006;3.0;3.0;0.0;;;;;;;;;;;;
760;F Construction;2007;3.1;3.1;0.0;;;;;;;;;;;;
761;F Construction;2008;3.1;3.1;0.0;;;;;;;;;;;;
762;F Construction;2009;3.0;3.0;0.0;;;;;;;;;;;;
763;F Construction;2010;2.9;2.9;0.0;;;;;;;;;;;;
764;F Construction;2011;2.8;2.8;0.0;;;;;;;;;;;;
765;F Construction;2012;2.8;2.8;0.0;;;;;;;;;;;;
766;F Construction;2013;2.6;2.6;0.0;;;;;;;;;;;;
767;F Construction;2014;2.5;2.5;0.0;;;;;;;;;;;;
768;F Construction;2015;2.6;2.6;0.0;;;;;;;;;;;;
769;F Construction;2016;2.7;2.7;0.0;;;;;;;;;;;;
770;F Construction;2017;2.4;2.4;0.0;;;;;;;;;;;;
771;F Construction;2018;2.8;2.8;0.0;;;;;;;;;;;;
772;F Construction;2019;2.6;2.6;0.0;;;;;;;;;;;;
773;F Construction;2020;2.8;2.8;0.0;;;;;;;;;;;;
774;F Construction;2021;2.9;2.9;0.0;;;;;;;;;;;;
775;F Construction;2022;;;;;;;;;;;;;;;
776;F Construction;2023;;;;;;;;;;;;;;;
777;G Wholesale and retail trade;2003;13.3;13.3;0.0;;;;;;;;;;;;
778;G Wholesale and retail trade;2004;13.2;13.2;0.0;;;;;;;;;;;;
779;G Wholesale and retail trade;2005;13.1;13.1;0.0;;;;;;;;;;;;
780;G Wholesale and retail trade;2006;13.3;13.3;0.0;;;;;;;;;;;;
781;G Wholesale and retail trade;2007;13.6;13.6;0.0;;;;;;;;;;;;
782;G Wholesale and retail trade;2008;13.7;13.7;0.0;;;;;;;;;;;;
783;G Wholesale and retail trade;2009;13.5;13.5;0.0;;;;;;;;;;;;
784;G Wholesale and retail trade;2010;13.4;13.4;0.0;;;;;;;;;;;;
785;G Wholesale and retail trade;2011;13.6;13.6;0.0;;;;;;;;;;;;
786;G Wholesale and retail trade;2012;13.7;13.7;0.0;;;;;;;;;;;;
787;G Wholesale and retail trade;2013;13.4;13.4;0.0;;;;;;;;;;;;
788;G Wholesale and retail trade;2014;13.3;13.3;0.0;;;;;;;;;;;;
789;G Wholesale and retail trade;2015;13.6;13.6;0.0;;;;;;;;;;;;
790;G Wholesale and retail trade;2016;13.4;13.4;0.0;;;;;;;;;;;;
791;G Wholesale and retail trade;2017;12.1;12.1;0.0;;;;;;;;;;;;
792;G Wholesale and retail trade;2018;13.5;13.5;0.0;;;;;;;;;;;;
793;G Wholesale and retail trade;2019;13.5;13.5;0.0;;;;;;;;;;;;
794;G Wholesale and retail trade;2020;14.0;14.0;0.0;;;;;;;;;;;;
795;G Wholesale and retail trade;2021;14.0;14.0;0.0;;;;;;;;;;;;
796;G Wholesale and retail trade;2022;;;;;;;;;;;;;;;
797;G Wholesale and retail trade;2023;;;;;;;;;;;;;;;
798;H Transportation and storage;2003;3.5;3.5;0.0;;;;;;;;;;;;
799;H Transportation and storage;2004;3.6;3.6;0.0;;;;;;;;;;;;
800;H Transportation and storage;2005;3.5;3.5;0.0;;;;;;;;;;;;
801;H Transportation and storage;2006;3.5;3.5;0.0;;;;;;;;;;;;
802;H Transportation and storage;2007;3.6;3.6;0.0;;;;;;;;;;;;
803;H Transportation and storage;2008;3.7;3.7;0.0;;;;;;;;;;;;
804;H Transportation and storage;2009;3.6;3.6;0.0;;;;;;;;;;;;
805;H Transportation and storage;2010;3.6;3.6;0.0;;;;;;;;;;;;
806;H Transportation and storage;2011;3.6;3.6;0.0;;;;;;;;;;;;
807;H Transportation and storage;2012;3.6;3.6;0.0;;;;;;;;;;;;
808;H Transportation and storage;2013;3.6;3.6;0.0;;;;;;;;;;;;
809;H Transportation and storage;2014;3.7;3.7;0.0;;;;;;;;;;;;
810;H Transportation and storage;2015;4.1;4.1;0.0;;;;;;;;;;;;
811;H Transportation and storage;2016;4.5;4.5;0.0;;;;;;;;;;;;
812;H Transportation and storage;2017;4.2;4.2;0.0;;;;;;;;;;;;
813;H Transportation and storage;2018;4.7;4.7;0.0;;;;;;;;;;;;
814;H Transportation and storage;2019;4.0;4.0;0.0;;;;;;;;;;;;
815;H Transportation and storage;2020;4.1;4.1;0.0;;;;;;;;;;;;
816;H Transportation and storage;2021;4.2;4.2;0.0;;;;;;;;;;;;
817;H Transportation and storage;2022;;;;;;;;;;;;;;;
818;H Transportation and storage;2023;;;;;;;;;;;;;;;
819;I Accommodation and food serving;2003;17.1;17.1;0.0;;;;;;;;;;;;
820;I Accommodation and food serving;2004;17.1;17.1;0.0;;;;;;;;;;;;
821;I Accommodation and food serving;2005;17.1;17.1;0.0;;;;;;;;;;;;
822;I Accommodation and food serving;2006;17.5;17.5;0.0;;;;;;;;;;;;
823;I Accommodation and food serving;2007;18.1;18.1;0.0;;;;;;;;;;;;
824;I Accommodation and food serving;2008;18.6;18.6;0.0;;;;;;;;;;;;
825;I Accommodation and food serving;2009;18.3;18.3;0.0;;;;;;;;;;;;
826;I Accommodation and food serving;2010;18.5;18.5;0.0;;;;;;;;;;;;
827;I Accommodation and food serving;2011;19.0;19.0;0.0;;;;;;;;;;;;
828;I Accommodation and food serving;2012;19.2;19.2;0.0;;;;;;;;;;;;
829;I Accommodation and food serving;2013;19.2;19.2;0.0;;;;;;;;;;;;
830;I Accommodation and food serving;2014;19.6;19.6;0.0;;;;;;;;;;;;
831;I Accommodation and food serving;2015;19.9;19.9;0.0;;;;;;;;;;;;
832;I Accommodation and food serving;2016;20.1;20.1;0.0;;;;;;;;;;;;
833;I Accommodation and food serving;2017;18.2;18.2;0.0;;;;;;;;;;;;
834;I Accommodation and food serving;2018;20.3;20.3;0.0;;;;;;;;;;;;
835;I Accommodation and food serving;2019;22.5;22.5;0.0;;;;;;;;;;;;
836;I Accommodation and food serving;2020;21.5;21.5;0.0;;;;;;;;;;;;
837;I Accommodation and food serving;2021;21.0;21.0;0.0;;;;;;;;;;;;
838;I Accommodation and food serving;2022;;;;;;;;;;;;;;;
839;I Accommodation and food serving;2023;;;;;;;;;;;;;;;
840;J Information and communication;2003;0.9;0.9;0.0;;;;;;;;;;;;
841;J Information and communication;2004;0.8;0.8;0.0;;;;;;;;;;;;
842;J Information and communication;2005;0.8;0.8;0.0;;;;;;;;;;;;
843;J Information and communication;2006;0.9;0.9;0.0;;;;;;;;;;;;
844;J Information and communication;2007;0.9;0.9;0.0;;;;;;;;;;;;
845;J Information and communication;2008;0.9;0.9;0.0;;;;;;;;;;;;
846;J Information and communication;2009;0.8;0.8;0.0;;;;;;;;;;;;
847;J Information and communication;2010;0.8;0.8;0.0;;;;;;;;;;;;
848;J Information and communication;2011;0.8;0.8;0.0;;;;;;;;;;;;
849;J Information and communication;2012;0.8;0.8;0.0;;;;;;;;;;;;
850;J Information and communication;2013;0.8;0.8;0.0;;;;;;;;;;;;
851;J Information and communication;2014;0.8;0.8;0.0;;;;;;;;;;;;
852;J Information and communication;2015;0.9;0.9;0.0;;;;;;;;;;;;
853;J Information and communication;2016;0.9;0.9;0.0;;;;;;;;;;;;
854;J Information and communication;2017;0.9;0.9;0.0;;;;;;;;;;;;
855;J Information and communication;2018;1.0;1.0;0.0;;;;;;;;;;;;
856;J Information and communication;2019;0.9;0.9;0.0;;;;;;;;;;;;
857;J Information and communication;2020;1.0;1.0;0.0;;;;;;;;;;;;
858;J Information and communication;2021;1.0;1.0;0.0;;;;;;;;;;;;
859;J Information and communication;2022;;;;;;;;;;;;;;;
860;J Information and communication;2023;;;;;;;;;;;;;;;
861;K Financial institutions;2003;2.1;2.1;0.0;;;;;;;;;;;;
862;K Financial institutions;2004;2.0;2.0;0.0;;;;;;;;;;;;
863;K Financial institutions;2005;2.1;2.1;0.0;;;;;;;;;;;;
864;K Financial institutions;2006;2.1;2.1;0.0;;;;;;;;;;;;
865;K Financial institutions;2007;2.1;2.1;0.0;;;;;;;;;;;;
866;K Financial institutions;2008;2.1;2.1;0.0;;;;;;;;;;;;
867;K Financial institutions;2009;2.1;2.1;0.0;;;;;;;;;;;;
868;K Financial institutions;2010;2.0;2.0;0.0;;;;;;;;;;;;
869;K Financial institutions;2011;2.0;2.0;0.0;;;;;;;;;;;;
870;K Financial institutions;2012;1.9;1.9;0.0;;;;;;;;;;;;
871;K Financial institutions;2013;1.9;1.9;0.0;;;;;;;;;;;;
872;K Financial institutions;2014;1.8;1.8;0.0;;;;;;;;;;;;
873;K Financial institutions;2015;1.9;1.9;0.0;;;;;;;;;;;;
874;K Financial institutions;2016;1.9;1.9;0.0;;;;;;;;;;;;
875;K Financial institutions;2017;1.7;1.7;0.0;;;;;;;;;;;;
876;K Financial institutions;2018;1.9;1.9;0.0;;;;;;;;;;;;
877;K Financial institutions;2019;1.5;1.5;0.0;;;;;;;;;;;;
878;K Financial institutions;2020;1.6;1.6;0.0;;;;;;;;;;;;
879;K Financial institutions;2021;1.6;1.6;0.0;;;;;;;;;;;;
880;K Financial institutions;2022;;;;;;;;;;;;;;;
881;K Financial institutions;2023;;;;;;;;;;;;;;;
882;L Renting, buying, selling real estate;2003;3.8;3.8;0.0;;;;;;;;;;;;
883;L Renting, buying, selling real estate;2004;3.8;3.8;0.0;;;;;;;;;;;;
884;L Renting, buying, selling real estate;2005;3.9;3.9;0.0;;;;;;;;;;;;
885;L Renting, buying, selling real estate;2006;3.9;3.9;0.0;;;;;;;;;;;;
886;L Renting, buying, selling real estate;2007;4.0;4.0;0.0;;;;;;;;;;;;
887;L Renting, buying, selling real estate;2008;4.1;4.1;0.0;;;;;;;;;;;;
888;L Renting, buying, selling real estate;2009;4.2;4.2;0.0;;;;;;;;;;;;
889;L Renting, buying, selling real estate;2010;4.0;4.0;0.0;;;;;;;;;;;;
890;L Renting, buying, selling real estate;2011;3.9;3.9;0.0;;;;;;;;;;;;
891;L Renting, buying, selling real estate;2012;3.8;3.8;0.0;;;;;;;;;;;;
892;L Renting, buying, selling real estate;2013;3.7;3.7;0.0;;;;;;;;;;;;
893;L Renting, buying, selling real estate;2014;3.6;3.6;0.0;;;;;;;;;;;;
894;L Renting, buying, selling real estate;2015;3.9;3.9;0.0;;;;;;;;;;;;
895;L Renting, buying, selling real estate;2016;4.1;4.1;0.0;;;;;;;;;;;;
896;L Renting, buying, selling real estate;2017;3.8;3.8;0.0;;;;;;;;;;;;
897;L Renting, buying, selling real estate;2018;4.1;4.1;0.0;;;;;;;;;;;;
898;L Renting, buying, selling real estate;2019;3.5;3.5;0.0;;;;;;;;;;;;
899;L Renting, buying, selling real estate;2020;3.7;3.7;0.0;;;;;;;;;;;;
900;L Renting, buying, selling real estate;2021;3.7;3.7;0.0;;;;;;;;;;;;
901;L Renting, buying, selling real estate;2022;;;;;;;;;;;;;;;
902;L Renting, buying, selling real estate;2023;;;;;;;;;;;;;;;
903;M Other specialised business services;2003;2.9;2.9;0.0;;;;;;;;;;;;
904;M Other specialised business services;2004;2.9;2.9;0.0;;;;;;;;;;;;
905;M Other specialised business services;2005;2.9;2.9;0.0;;;;;;;;;;;;
906;M Other specialised business services;2006;3.0;3.0;0.0;;;;;;;;;;;;
907;M Other specialised business services;2007;3.1;3.1;0.0;;;;;;;;;;;;
908;M Other specialised business services;2008;3.3;3.3;0.0;;;;;;;;;;;;
909;M Other specialised business services;2009;3.3;3.3;0.0;;;;;;;;;;;;
910;M Other specialised business services;2010;3.1;3.1;0.0;;;;;;;;;;;;
911;M Other specialised business services;2011;3.1;3.1;0.0;;;;;;;;;;;;
912;M Other specialised business services;2012;3.2;3.2;0.0;;;;;;;;;;;;
913;M Other specialised business services;2013;3.1;3.1;0.0;;;;;;;;;;;;
914;M Other specialised business services;2014;3.2;3.2;0.0;;;;;;;;;;;;
915;M Other specialised business services;2015;3.4;3.4;0.0;;;;;;;;;;;;
916;M Other specialised business services;2016;3.4;3.4;0.0;;;;;;;;;;;;
917;M Other specialised business services;2017;3.2;3.2;0.0;;;;;;;;;;;;
918;M Other specialised business services;2018;3.5;3.5;0.0;;;;;;;;;;;;
919;M Other specialised business services;2019;3.4;3.4;0.0;;;;;;;;;;;;
920;M Other specialised business services;2020;3.5;3.5;0.0;;;;;;;;;;;;
921;M Other specialised business services;2021;3.6;3.6;0.0;;;;;;;;;;;;
922;M Other specialised business services;2022;;;;;;;;;;;;;;;
923;M Other specialised business services;2023;;;;;;;;;;;;;;;
924;N Renting and other business support;2003;0.8;0.8;0.0;;;;;;;;;;;;
925;N Renting and other business support;2004;0.8;0.8;0.0;;;;;;;;;;;;
926;N Renting and other business support;2005;0.9;0.9;0.0;;;;;;;;;;;;
927;N Renting and other business support;2006;0.9;0.9;0.0;;;;;;;;;;;;
928;N Renting and other business support;2007;0.9;0.9;0.0;;;;;;;;;;;;
929;N Renting and other business support;2008;0.9;0.9;0.0;;;;;;;;;;;;
930;N Renting and other business support;2009;0.9;0.9;0.0;;;;;;;;;;;;
931;N Renting and other business support;2010;0.9;0.9;0.0;;;;;;;;;;;;
932;N Renting and other business support;2011;0.9;0.9;0.0;;;;;;;;;;;;
933;N Renting and other business support;2012;0.9;0.9;0.0;;;;;;;;;;;;
934;N Renting and other business support;2013;0.9;0.9;0.0;;;;;;;;;;;;
935;N Renting and other business support;2014;0.9;0.9;0.0;;;;;;;;;;;;
936;N Renting and other business support;2015;0.9;0.9;0.0;;;;;;;;;;;;
937;N Renting and other business support;2016;1.0;1.0;0.0;;;;;;;;;;;;
938;N Renting and other business support;2017;0.9;0.9;0.0;;;;;;;;;;;;
939;N Renting and other business support;2018;1.0;1.0;0.0;;;;;;;;;;;;
940;N Renting and other business support;2019;1.0;1.0;0.0;;;;;;;;;;;;
941;N Renting and other business support;2020;1.0;1.0;0.0;;;;;;;;;;;;
942;N Renting and other business support;2021;1.0;1.0;0.0;;;;;;;;;;;;
943;N Renting and other business support;2022;;;;;;;;;;;;;;;
944;N Renting and other business support;2023;;;;;;;;;;;;;;;
945;O Public administration and services;2003;6.1;6.1;0.0;;;;;;;;;;;;
946;O Public administration and services;2004;5.9;5.9;0.0;;;;;;;;;;;;
947;O Public administration and services;2005;5.7;5.7;0.0;;;;;;;;;;;;
948;O Public administration and services;2006;5.7;5.7;0.0;;;;;;;;;;;;
949;O Public administration and services;2007;5.6;5.6;0.0;;;;;;;;;;;;
950;O Public administration and services;2008;5.6;5.6;0.0;;;;;;;;;;;;
951;O Public administration and services;2009;5.8;5.8;0.0;;;;;;;;;;;;
952;O Public administration and services;2010;6.0;6.0;0.0;;;;;;;;;;;;
953;O Public administration and services;2011;5.8;5.8;0.0;;;;;;;;;;;;
954;O Public administration and services;2012;5.7;5.7;0.0;;;;;;;;;;;;
955;O Public administration and services;2013;5.7;5.7;0.0;;;;;;;;;;;;
956;O Public administration and services;2014;5.6;5.6;0.0;;;;;;;;;;;;
957;O Public administration and services;2015;6.1;6.1;0.0;;;;;;;;;;;;
958;O Public administration and services;2016;4.2;4.2;0.0;;;;;;;;;;;;
959;O Public administration and services;2017;3.9;3.9;0.0;;;;;;;;;;;;
960;O Public administration and services;2018;4.7;4.7;0.0;;;;;;;;;;;;
961;O Public administration and services;2019;5.3;5.3;0.0;;;;;;;;;;;;
962;O Public administration and services;2020;5.6;5.6;0.0;;;;;;;;;;;;
963;O Public administration and services;2021;5.7;5.7;0.0;;;;;;;;;;;;
964;O Public administration and services;2022;;;;;;;;;;;;;;;
965;O Public administration and services;2023;;;;;;;;;;;;;;;
966;P Education;2003;5.4;5.4;0.0;;;;;;;;;;;;
967;P Education;2004;5.3;5.3;0.0;;;;;;;;;;;;
968;P Education;2005;5.3;5.3;0.0;;;;;;;;;;;;
969;P Education;2006;5.3;5.3;0.0;;;;;;;;;;;;
970;P Education;2007;5.5;5.5;0.0;;;;;;;;;;;;
971;P Education;2008;5.5;5.5;0.0;;;;;;;;;;;;
972;P Education;2009;5.6;5.6;0.0;;;;;;;;;;;;
973;P Education;2010;5.6;5.6;0.0;;;;;;;;;;;;
974;P Education;2011;5.6;5.6;0.0;;;;;;;;;;;;
975;P Education;2012;5.5;5.5;0.0;;;;;;;;;;;;
976;P Education;2013;5.5;5.5;0.0;;;;;;;;;;;;
977;P Education;2014;5.5;5.5;0.0;;;;;;;;;;;;
978;P Education;2015;5.7;5.7;0.0;;;;;;;;;;;;
979;P Education;2016;6.3;6.3;0.0;;;;;;;;;;;;
980;P Education;2017;5.8;5.8;0.0;;;;;;;;;;;;
981;P Education;2018;6.6;6.6;0.0;;;;;;;;;;;;
982;P Education;2019;5.5;5.5;0.0;;;;;;;;;;;;
983;P Education;2020;5.7;5.7;0.0;;;;;;;;;;;;
984;P Education;2021;5.9;5.9;0.0;;;;;;;;;;;;
985;P Education;2022;;;;;;;;;;;;;;;
986;P Education;2023;;;;;;;;;;;;;;;
987;Q Health and social work activities;2003;15.2;15.2;0.0;;;;;;;;;;;;
988;Q Health and social work activities;2004;15.4;15.4;0.0;;;;;;;;;;;;
989;Q Health and social work activities;2005;15.6;15.6;0.0;;;;;;;;;;;;
990;Q Health and social work activities;2006;16.0;16.0;0.0;;;;;;;;;;;;
991;Q Health and social work activities;2007;16.2;16.2;0.0;;;;;;;;;;;;
992;Q Health and social work activities;2008;16.7;16.7;0.0;;;;;;;;;;;;
993;Q Health and social work activities;2009;17.1;17.1;0.0;;;;;;;;;;;;
994;Q Health and social work activities;2010;17.9;17.9;0.0;;;;;;;;;;;;
995;Q Health and social work activities;2011;18.3;18.3;0.0;;;;;;;;;;;;
996;Q Health and social work activities;2012;18.5;18.5;0.0;;;;;;;;;;;;
997;Q Health and social work activities;2013;18.3;18.3;0.0;;;;;;;;;;;;
998;Q Health and social work activities;2014;18.0;18.0;0.0;;;;;;;;;;;;
999;Q Health and social work activities;2015;18.2;18.2;0.0;;;;;;;;;;;;
1000;Q Health and social work activities;2016;18.7;18.7;0.0;;;;;;;;;;;;
1001;Q Health and social work activities;2017;17.0;17.0;0.0;;;;;;;;;;;;
1002;Q Health and social work activities;2018;19.0;19.0;0.0;;;;;;;;;;;;
1003;Q Health and social work activities;2019;17.8;17.8;0.0;;;;;;;;;;;;
1004;Q Health and social work activities;2020;18.8;18.8;0.0;;;;;;;;;;;;
1005;Q Health and social work activities;2021;19.1;19.1;0.0;;;;;;;;;;;;
1006;Q Health and social work activities;2022;;;;;;;;;;;;;;;
1007;Q Health and social work activities;2023;;;;;;;;;;;;;;;
1008;R Culture, sports and recreation;2003;11.7;11.7;0.0;;;;;;;;;;;;
1009;R Culture, sports and recreation;2004;11.7;11.7;0.0;;;;;;;;;;;;
1010;R Culture, sports and recreation;2005;11.9;11.9;0.0;;;;;;;;;;;;
1011;R Culture, sports and recreation;2006;12.1;12.1;0.0;;;;;;;;;;;;
1012;R Culture, sports and recreation;2007;12.3;12.3;0.0;;;;;;;;;;;;
1013;R Culture, sports and recreation;2008;14.0;14.0;0.0;;;;;;;;;;;;
1014;R Culture, sports and recreation;2009;14.5;14.5;0.0;;;;;;;;;;;;
1015;R Culture, sports and recreation;2010;14.9;14.9;0.0;;;;;;;;;;;;
1016;R Culture, sports and recreation;2011;15.1;15.1;0.0;;;;;;;;;;;;
1017;R Culture, sports and recreation;2012;15.5;15.5;0.0;;;;;;;;;;;;
1018;R Culture, sports and recreation;2013;15.7;15.7;0.0;;;;;;;;;;;;
1019;R Culture, sports and recreation;2014;15.8;15.8;0.0;;;;;;;;;;;;
1020;R Culture, sports and recreation;2015;16.2;16.2;0.0;;;;;;;;;;;;
1021;R Culture, sports and recreation;2016;17.1;17.1;0.0;;;;;;;;;;;;
1022;R Culture, sports and recreation;2017;15.5;15.5;0.0;;;;;;;;;;;;
