ID;SalesAndConsumption;SBI93;Periods;WeightFactor_1;IndexNumbers_2;MonthOnMonthDevelopment_3;YearOnYearDevelopment_4;WeightFactor_5;IndexNumbers_6;MonthOnMonthDevelopment_7;YearOnYearDevelopment_8
7999;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2003 May;10370;94.6;0.7;3.9;10370;94.6;0.7;3.9
8000;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2003 June;10370;102.1;7.9;6.2;10370;102.1;7.9;6.2
8001;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2003 July;10370;96.2;-5.8;4.9;10370;96.2;-5.8;4.9
8002;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2003 August;10370;106.8;11.0;10.1;10370;106.8;11.0;10.1
8003;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2003 September;10370;97.0;-9.2;-2.2;10370;97.0;-9.2;-2.2
8004;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2003 October;10370;104.2;7.4;4.3;10370;104.2;7.4;4.3
8005;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2003 November;10370;106.2;1.9;7.4;10370;106.2;1.9;7.4
8006;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2003 December;10370;99.9;-5.9;5.1;10370;99.9;-5.9;5.1
8007;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2003;10370;100.0;;5.0;10370;100.0;;5.0
8008;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2004 January;10370;96.8;-3.2;-7.0;10370;96.8;-3.2;-7.0
8009;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2004 February;10370;97.6;0.9;-1.5;10370;97.6;0.9;-1.5
8010;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2004 March;10370;97.8;0.1;1.3;10370;97.8;0.1;1.3
8011;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2004 April;10370;92.8;-5.0;-1.2;10370;92.8;-5.0;-1.2
8012;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2004 May;10370;94.5;1.8;-0.1;10370;94.5;1.8;-0.1
8013;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2004 June;10370;95.1;0.7;-6.8;10370;95.1;0.7;-6.8
8014;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2004 July;10370;96.6;1.5;0.4;10370;96.6;1.5;0.4
8015;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2004 August;10370;97.3;0.8;-8.8;10370;97.3;0.8;-8.8
8016;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2004 September;10370;98.2;0.9;1.3;10370;98.2;0.9;1.3
8017;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2004 October;10370;98.1;-0.1;-5.8;10370;98.1;-0.1;-5.8
8018;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2004 November;10370;102.3;4.3;-3.7;10370;102.3;4.3;-3.7
8019;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2004 December;10370;100.0;-2.3;0.0;10370;100.0;-2.3;0.0
8020;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2004;10370;97.2;;-2.8;10370;97.2;;-2.8
8021;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2005 January;10370;100.1;0.2;3.5;10370;100.1;0.2;3.5
8022;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2005 February;10370;102.6;2.4;5.1;10370;102.6;2.4;5.1
8023;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2005 March;10370;105.3;2.6;7.7;10370;105.3;2.6;7.7
8024;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2005 April;10370;102.8;-2.4;10.7;10370;102.8;-2.4;10.7
8025;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2005 May;10370;101.9;-0.9;7.8;10370;101.9;-0.9;7.8
8026;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2005 June;10370;105.0;3.1;10.4;10370;105.0;3.1;10.4
8027;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2005 July;10370;106.5;1.4;10.3;10370;106.5;1.4;10.3
8028;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2005 August;10370;108.0;1.4;10.9;10370;108.0;1.4;10.9
8029;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2005 September;10370;113.3;5.0;15.4;10370;113.3;5.0;15.4
8030;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2005 October;10370;117.5;3.7;19.8;10370;117.5;3.7;19.8
8031;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2005 November;10370;121.4;3.3;18.7;10370;121.4;3.3;18.7
8032;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2005 December;10370;122.6;1.0;22.7;10370;122.6;1.0;22.7
8033;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2005;10370;108.9;;12.0;10370;108.9;;12.0
8034;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2006 January;10370;137.2;11.9;37.0;10370;137.2;11.9;37.0
8035;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2006 February;10370;141.9;3.4;38.3;10370;141.9;3.4;38.3
8036;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2006 March;10370;138.0;-2.7;31.1;10370;138.0;-2.7;31.1
8037;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2006 April;10370;129.4;-6.2;25.9;10370;129.4;-6.2;25.9
8038;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2006 May;10370;125.7;-2.8;23.5;10370;125.7;-2.8;23.5
8039;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2006 June;10370;129.0;2.6;22.9;10370;129.0;2.6;22.9
8040;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2006 July;10370;138.2;7.1;29.8;10370;138.2;7.1;29.8
8041;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2006 August;10370;130.1;-5.9;20.5;10370;130.1;-5.9;20.5
8042;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2006 September;10370;133.6;2.7;17.9;10370;133.6;2.7;17.9
8043;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2006 October;10370;136.9;2.4;16.4;10370;136.9;2.4;16.4
8044;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2006 November;10370;139.3;1.8;14.8;10370;139.3;1.8;14.8
8045;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2006 December;10370;133.8;-4.0;9.1;10370;133.8;-4.0;9.1
8046;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2006;10370;134.4;;23.4;10370;134.4;;23.4
8047;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2007 January;10370;139.1;4.0;1.4;10370;139.1;4.0;1.4
8048;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2007 February;10370;136.6;-1.8;-3.7;10370;136.6;-1.8;-3.7
8049;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2007 March;10370;134.1;-1.8;-2.8;10370;134.1;-1.8;-2.8
8050;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2007 April;10370;135.3;0.9;4.6;10370;135.3;0.9;4.6
8051;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2007 May;10370;138.4;2.3;10.0;10370;138.4;2.3;10.0
8052;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2007 June;10370;135.4;-2.1;5.0;10370;135.4;-2.1;5.0
8053;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2007 July;10370;131.7;-2.8;-4.7;10370;131.7;-2.8;-4.7
8054;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2007 August;10370;131.9;0.2;1.4;10370;131.9;0.2;1.4
8055;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2007 September;10370;134.0;1.6;0.3;10370;134.0;1.6;0.3
8056;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2007 October;10370;147.7;10.2;7.9;10370;147.7;10.2;7.9
8057;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2007 November;10370;152.3;3.1;9.3;10370;152.3;3.1;9.3
8058;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2007 December;10370;149.4;-1.9;11.7;10370;149.4;-1.9;11.7
8059;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2007;10370;138.8;;3.3;10370;138.8;;3.3
8060;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2008 January;10370;149.4;0.1;7.5;10370;149.4;0.1;7.5
8061;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2008 February;10370;148.4;-0.7;8.6;10370;148.4;-0.7;8.6
8062;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2008 March;10370;147.8;-0.4;10.2;10370;147.8;-0.4;10.2
8063;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2008 April;10370;150.3;1.7;11.1;10370;150.3;1.7;11.1
8064;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2008 May;10370;146.5;-2.5;5.9;10370;146.5;-2.5;5.9
8065;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2008 June;10370;152.0;3.7;12.2;10370;152.0;3.7;12.2
8066;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2008 July;10370;154.1;1.4;17.0;10370;154.1;1.4;17.0
8067;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2008 August;10370;151.5;-1.7;14.8;10370;151.5;-1.7;14.8
8068;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2008 September;10370;161.4;6.5;20.4;10370;161.4;6.5;20.4
8069;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2008 October;10370;166.7;3.3;12.8;10370;166.7;3.3;12.8
8070;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2008 November;10370;160.1;-4.0;5.1;10370;160.1;-4.0;5.1
8071;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2008 December;10370;157.4;-1.7;5.4;10370;157.4;-1.7;5.4
8072;Domestic sales (total);E PUBLIC UTILITY COMPANIES;2008;10370;153.8;;10.8;10370;153.8;;10.8
8073;Domestic sales (total);DJA Manufacture of metal products and el;2000 January;17091;99.0;;;17093;99.0;;
8074;Domestic sales (total);DJA Manufacture of metal products and el;2000 February;17091;99.0;0.2;;17093;99.0;0.2;
8075;Domestic sales (total);DJA Manufacture of metal products and el;2000 March;17091;99.0;0.0;;17093;99.0;0.0;
8076;Domestic sales (total);DJA Manufacture of metal products and el;2000 April;17091;100.0;0.7;;17093;100.0;0.7;
8077;Domestic sales (total);DJA Manufacture of metal products and el;2000 May;17091;100.0;0.2;;17093;100.0;0.2;
8078;Domestic sales (total);DJA Manufacture of metal products and el;2000 June;17091;100.0;0.1;;17093;100.0;0.1;
8079;Domestic sales (total);DJA Manufacture of metal products and el;2000 July;17091;101.0;0.7;;17093;101.0;0.7;
8080;Domestic sales (total);DJA Manufacture of metal products and el;2000 August;17091;101.0;0.0;;17093;101.0;0.0;
8081;Domestic sales (total);DJA Manufacture of metal products and el;2000 September;17091;101.0;0.1;;17093;101.0;0.1;
8082;Domestic sales (total);DJA Manufacture of metal products and el;2000 October;17091;101.0;0.3;;17093;101.0;0.3;
8083;Domestic sales (total);DJA Manufacture of metal products and el;2000 November;17091;101.0;0.0;;17093;101.0;0.0;
8084;Domestic sales (total);DJA Manufacture of metal products and el;2000 December;17091;101.0;-0.1;;17093;101.0;-0.1;
8085;Domestic sales (total);DJA Manufacture of metal products and el;2000;17091;100.0;;;17093;100.0;;
8086;Domestic sales (total);DJA Manufacture of metal products and el;2001 January;17091;102.0;1.0;3.3;17093;102.0;1.0;3.3
8087;Domestic sales (total);DJA Manufacture of metal products and el;2001 February;17091;102.0;0.0;3.2;17093;102.0;0.0;3.2
8088;Domestic sales (total);DJA Manufacture of metal products and el;2001 March;17091;102.0;0.0;3.1;17093;102.0;0.0;3.1
8089;Domestic sales (total);DJA Manufacture of metal products and el;2001 April;17091;102.0;-0.2;2.3;17093;102.0;-0.2;2.3
8090;Domestic sales (total);DJA Manufacture of metal products and el;2001 May;17091;102.0;0.0;2.1;17093;102.0;0.0;2.1
8091;Domestic sales (total);DJA Manufacture of metal products and el;2001 June;17091;102.0;0.0;2.0;17093;102.0;0.0;2.0
8092;Domestic sales (total);DJA Manufacture of metal products and el;2001 July;17091;102.0;0.0;1.3;17093;102.0;0.0;1.3
8093;Domestic sales (total);DJA Manufacture of metal products and el;2001 August;17091;102.0;0.1;1.4;17093;102.0;0.1;1.4
8094;Domestic sales (total);DJA Manufacture of metal products and el;2001 September;17091;102.0;0.1;1.3;17093;102.0;0.1;1.3
8095;Domestic sales (total);DJA Manufacture of metal products and el;2001 October;17091;102.0;-0.1;0.8;17093;102.0;-0.1;0.8
8096;Domestic sales (total);DJA Manufacture of metal products and el;2001 November;17091;102.0;0.0;0.9;17093;102.0;0.0;0.9
8097;Domestic sales (total);DJA Manufacture of metal products and el;2001 December;17091;102.0;0.0;1.0;17093;102.0;0.0;1.0
8098;Domestic sales (total);DJA Manufacture of metal products and el;2001;17091;102.0;;1.9;17093;102.0;;1.9
8099;Domestic sales (total);DJA Manufacture of metal products and el;2002 January;17091;103.0;0.7;0.7;17093;103.0;0.7;0.7
8100;Domestic sales (total);DJA Manufacture of metal products and el;2002 February;17091;103.0;0.1;0.8;17093;103.0;0.1;0.8
8101;Domestic sales (total);DJA Manufacture of metal products and el;2002 March;17091;103.0;0.1;0.9;17093;103.0;0.1;0.9
8102;Domestic sales (total);DJA Manufacture of metal products and el;2002 April;17091;103.0;0.2;1.3;17093;103.0;0.2;1.3
8103;Domestic sales (total);DJA Manufacture of metal products and el;2002 May;17091;103.0;0.0;1.3;17093;103.0;0.0;1.3
8104;Domestic sales (total);DJA Manufacture of metal products and el;2002 June;17091;103.0;0.1;1.3;17093;103.0;0.1;1.3
8105;Domestic sales (total);DJA Manufacture of metal products and el;2002 July;17091;103.0;0.2;1.5;17093;103.0;0.2;1.5
8106;Domestic sales (total);DJA Manufacture of metal products and el;2002 August;17091;103.0;-0.1;1.3;17093;103.0;-0.1;1.3
8107;Domestic sales (total);DJA Manufacture of metal products and el;2002 September;17091;103.0;-0.1;1.2;17093;103.0;-0.1;1.2
8108;Domestic sales (total);DJA Manufacture of metal products and el;2002 October;17091;104.0;0.5;1.9;17093;104.0;0.5;1.9
8109;Domestic sales (total);DJA Manufacture of metal products and el;2002 November;17091;104.0;-0.1;1.8;17093;104.0;-0.1;1.8
8110;Domestic sales (total);DJA Manufacture of metal products and el;2002 December;17091;104.0;0.1;1.9;17093;104.0;0.1;1.9
8111;Domestic sales (total);DJA Manufacture of metal products and el;2002;17091;103.0;;1.3;17093;103.0;;1.3
8112;Domestic sales (total);DJA Manufacture of metal products and el;2003 January;17091;105.0;0.8;2.0;17093;105.0;0.8;2.0
8113;Domestic sales (total);DJA Manufacture of metal products and el;2003 February;17091;105.0;0.2;2.1;17093;105.0;0.2;2.1
8114;Domestic sales (total);DJA Manufacture of metal products and el;2003 March;17091;105.0;0.0;2.0;17093;105.0;0.0;2.0
8115;Domestic sales (total);DJA Manufacture of metal products and el;2003 April;17091;105.0;0.0;1.8;17093;105.0;0.0;1.8
8116;Domestic sales (total);DJA Manufacture of metal products and el;2003 May;17091;105.0;0.0;1.8;17093;105.0;0.0;1.8
8117;Domestic sales (total);DJA Manufacture of metal products and el;2003 June;17091;105.0;-0.1;1.7;17093;105.0;-0.1;1.7
8118;Domestic sales (total);DJA Manufacture of metal products and el;2003 July;17091;105.0;0.0;1.5;17093;105.0;0.0;1.5
8119;Domestic sales (total);DJA Manufacture of metal products and el;2003 August;17091;105.0;-0.1;1.5;17093;105.0;-0.1;1.5
8120;Domestic sales (total);DJA Manufacture of metal products and el;2003 September;17091;105.0;0.1;1.7;17093;105.0;0.1;1.7
8121;Domestic sales (total);DJA Manufacture of metal products and el;2003 October;17091;105.0;0.0;1.2;17093;105.0;0.0;1.2
8122;Domestic sales (total);DJA Manufacture of metal products and el;2003 November;17091;105.0;0.2;1.4;17093;105.0;0.2;1.4
8123;Domestic sales (total);DJA Manufacture of metal products and el;2003 December;17091;105.0;0.0;1.2;17093;105.0;0.0;1.2
8124;Domestic sales (total);DJA Manufacture of metal products and el;2003;17091;105.0;;1.6;17093;105.0;;1.6
8125;Domestic sales (total);DJA Manufacture of metal products and el;2004 January;17091;105.0;0.2;0.6;17093;105.0;0.2;0.6
8126;Domestic sales (total);DJA Manufacture of metal products and el;2004 February;17091;105.0;0.1;0.5;17093;105.0;0.1;0.5
8127;Domestic sales (total);DJA Manufacture of metal products and el;2004 March;17091;106.0;0.4;0.9;17093;106.0;0.4;0.9
8128;Domestic sales (total);DJA Manufacture of metal products and el;2004 April;17091;107.0;1.5;2.4;17093;107.0;1.5;2.4
8129;Domestic sales (total);DJA Manufacture of metal products and el;2004 May;17091;107.0;0.1;2.4;17093;107.0;0.1;2.4
8130;Domestic sales (total);DJA Manufacture of metal products and el;2004 June;17091;108.0;0.1;2.6;17093;108.0;0.1;2.6
8131;Domestic sales (total);DJA Manufacture of metal products and el;2004 July;17091;109.0;1.2;3.8;17093;109.0;1.2;3.8
8132;Domestic sales (total);DJA Manufacture of metal products and el;2004 August;17091;109.0;0.2;4.1;17093;109.0;0.2;4.1
8133;Domestic sales (total);DJA Manufacture of metal products and el;2004 September;17091;109.0;0.2;4.1;17093;109.0;0.2;4.1
8134;Domestic sales (total);DJA Manufacture of metal products and el;2004 October;17091;110.0;0.6;4.8;17093;110.0;0.6;4.8
8135;Domestic sales (total);DJA Manufacture of metal products and el;2004 November;17091;110.0;-0.2;4.4;17093;110.0;-0.2;4.4
8136;Domestic sales (total);DJA Manufacture of metal products and el;2004 December;17091;110.0;-0.1;4.4;17093;110.0;-0.1;4.4
8137;Domestic sales (total);DJA Manufacture of metal products and el;2004;17091;108.0;;2.9;17093;108.0;;2.9
8138;Domestic sales (total);DJA Manufacture of metal products and el;2005 January;17091;112.0;2.0;6.3;17093;112.0;2.0;6.3
8139;Domestic sales (total);DJA Manufacture of metal products and el;2005 February;17091;112.0;0.0;6.1;17093;112.0;0.0;6.1
8140;Domestic sales (total);DJA Manufacture of metal products and el;2005 March;17091;112.0;0.2;5.9;17093;112.0;0.2;5.9
8141;Domestic sales (total);DJA Manufacture of metal products and el;2005 April;17091;112.0;0.3;4.7;17093;112.0;0.3;4.7
8142;Domestic sales (total);DJA Manufacture of metal products and el;2005 May;17091;112.0;-0.1;4.5;17093;112.0;-0.1;4.5
8143;Domestic sales (total);DJA Manufacture of metal products and el;2005 June;17091;113.0;0.3;4.7;17093;113.0;0.3;4.7
8144;Domestic sales (total);DJA Manufacture of metal products and el;2005 July;17091;112.0;-0.4;3.0;17093;112.0;-0.4;3.0
8145;Domestic sales (total);DJA Manufacture of metal products and el;2005 August;17091;112.0;0.0;2.9;17093;112.0;0.0;2.9
8146;Domestic sales (total);DJA Manufacture of metal products and el;2005 September;17091;112.0;0.2;2.8;17093;112.0;0.2;2.8
8147;Domestic sales (total);DJA Manufacture of metal products and el;2005 October;17091;113.0;0.7;2.9;17093;113.0;0.7;2.9
8148;Domestic sales (total);DJA Manufacture of metal products and el;2005 November;17091;113.0;0.0;3.1;17093;113.0;0.0;3.1
8149;Domestic sales (total);DJA Manufacture of metal products and el;2005 December;17091;113.0;0.1;3.3;17093;113.0;0.1;3.3
8150;Domestic sales (total);DJA Manufacture of metal products and el;2005;17091;112.0;;4.2;17093;112.0;;4.2
8151;Domestic sales (total);DJA Manufacture of metal products and el;2006 January;17091;114.0;1.0;2.2;17093;114.0;1.0;2.2
8152;Domestic sales (total);DJA Manufacture of metal products and el;2006 February;17091;114.0;0.1;2.3;17093;114.0;0.1;2.3
8153;Domestic sales (total);DJA Manufacture of metal products and el;2006 March;17091;115.0;0.2;2.3;17093;115.0;0.2;2.3
8154;Domestic sales (total);DJA Manufacture of metal products and el;2006 April;17091;116.0;1.0;3.0;17093;116.0;1.0;3.0
8155;Domestic sales (total);DJA Manufacture of metal products and el;2006 May;17091;116.0;0.2;3.2;17093;116.0;0.2;3.2
8156;Domestic sales (total);DJA Manufacture of metal products and el;2006 June;17091;116.0;0.2;3.1;17093;116.0;0.2;3.1
8157;Domestic sales (total);DJA Manufacture of metal products and el;2006 July;17091;118.0;1.4;5.0;17093;118.0;1.4;5.0
8158;Domestic sales (total);DJA Manufacture of metal products and el;2006 August;17091;118.0;0.3;5.2;17093;118.0;0.3;5.2
8159;Domestic sales (total);DJA Manufacture of metal products and el;2006 September;17091;118.0;-0.1;4.9;17093;118.0;-0.1;4.9
8160;Domestic sales (total);DJA Manufacture of metal products and el;2006 October;17091;119.0;0.8;5.1;17093;119.0;0.8;5.0
8161;Domestic sales (total);DJA Manufacture of metal products and el;2006 November;17091;119.0;0.1;5.2;17093;119.0;0.1;5.2
8162;Domestic sales (total);DJA Manufacture of metal products and el;2006 December;17091;119.0;0.0;5.0;17093;119.0;0.0;5.0
8163;Domestic sales (total);DJA Manufacture of metal products and el;2006;17091;117.0;;3.9;17093;117.0;;3.9
8164;Domestic sales (total);DJA Manufacture of metal products and el;2007 January;17091;120.0;1.1;5.2;17093;120.0;1.1;5.2
8165;Domestic sales (total);DJA Manufacture of metal products and el;2007 February;17091;120.0;-0.1;5.0;17093;120.0;-0.1;5.0
8166;Domestic sales (total);DJA Manufacture of metal products and el;2007 March;17091;120.0;0.1;4.9;17093;120.0;0.1;4.9
8167;Domestic sales (total);DJA Manufacture of metal products and el;2007 April;17091;121.0;0.7;4.7;17093;121.0;0.7;4.7
8168;Domestic sales (total);DJA Manufacture of metal products and el;2007 May;17091;121.0;0.2;4.7;17093;121.0;0.2;4.7
8169;Domestic sales (total);DJA Manufacture of metal products and el;2007 June;17091;121.0;0.0;4.5;17093;121.0;0.0;4.5
8170;Domestic sales (total);DJA Manufacture of metal products and el;2007 July;17091;122.0;0.3;3.4;17093;122.0;0.3;3.4
8171;Domestic sales (total);DJA Manufacture of metal products and el;2007 August;17091;122.0;0.0;3.1;17093;122.0;0.0;3.1
8172;Domestic sales (total);DJA Manufacture of metal products and el;2007 September;17091;122.0;0.0;3.2;17093;122.0;0.0;3.2
8173;Domestic sales (total);DJA Manufacture of metal products and el;2007 October;17091;122.0;0.5;2.8;17093;122.0;0.5;2.8
8174;Domestic sales (total);DJA Manufacture of metal products and el;2007 November;17091;122.0;-0.1;2.6;17093;122.0;-0.1;2.6
8175;Domestic sales (total);DJA Manufacture of metal products and el;2007 December;17091;122.0;-0.1;2.6;17093;122.0;-0.1;2.6
8176;Domestic sales (total);DJA Manufacture of metal products and el;2007;17091;121.0;;3.9;17093;121.0;;3.9
8177;Domestic sales (total);DJA Manufacture of metal products and el;2008 January;17091;124.0;1.4;2.9;17093;124.0;1.4;2.9
8178;Domestic sales (total);DJA Manufacture of metal products and el;2008 February;17091;124.0;0.1;3.0;17093;124.0;0.1;3.0
8179;Domestic sales (total);DJA Manufacture of metal products and el;2008 March;17091;124.0;0.1;3.0;17093;124.0;0.1;3.0
8180;Domestic sales (total);DJA Manufacture of metal products and el;2008 April;17091;125.0;1.1;3.4;17093;125.0;1.1;3.4
8181;Domestic sales (total);DJA Manufacture of metal products and el;2008 May;17091;126.0;0.3;3.5;17093;126.0;0.3;3.5
8182;Domestic sales (total);DJA Manufacture of metal products and el;2008 June;17091;126.0;0.3;3.8;17093;126.0;0.3;3.8
8183;Domestic sales (total);DJA Manufacture of metal products and el;2008 July;17091;128.0;1.6;5.2;17093;128.0;1.6;5.2
8184;Domestic sales (total);DJA Manufacture of metal products and el;2008 August;17091;128.0;0.2;5.5;17093;128.0;0.2;5.5
8185;Domestic sales (total);DJA Manufacture of metal products and el;2008 September;17091;128.0;-0.1;5.4;17093;128.0;-0.1;5.4
8186;Domestic sales (total);DJA Manufacture of metal products and el;2008 October;17091;128.0;-0.1;4.8;17093;128.0;-0.1;4.8
8187;Domestic sales (total);DJA Manufacture of metal products and el;2008 November;17091;128.0;-0.3;4.6;17093;128.0;-0.3;4.6
8188;Domestic sales (total);DJA Manufacture of metal products and el;2008 December;17091;128.0;-0.1;4.5;17093;128.0;-0.1;4.5
8189;Domestic sales (total);DJA Manufacture of metal products and el;2008;17091;126.0;;4.1;17093;126.0;;4.1
8190;Domestic sales intermediary goods;C MINING AND QUARRYING;2000 January;6295;;;;6295;;;
8191;Domestic sales intermediary goods;C MINING AND QUARRYING;2000 February;6295;;;;6295;;;
8192;Domestic sales intermediary goods;C MINING AND QUARRYING;2000 March;6295;;;;6295;;;
8193;Domestic sales intermediary goods;C MINING AND QUARRYING;2000 April;6295;;;;6295;;;
8194;Domestic sales intermediary goods;C MINING AND QUARRYING;2000 May;6295;;;;6295;;;
8195;Domestic sales intermediary goods;C MINING AND QUARRYING;2000 June;6295;;;;6295;;;
8196;Domestic sales intermediary goods;C MINING AND QUARRYING;2000 July;6295;;;;6295;;;
8197;Domestic sales intermediary goods;C MINING AND QUARRYING;2000 August;6295;;;;6295;;;
8198;Domestic sales intermediary goods;C MINING AND QUARRYING;2000 September;6295;;;;6295;;;
8199;Domestic sales intermediary goods;C MINING AND QUARRYING;2000 October;6295;;;;6295;;;
8200;Domestic sales intermediary goods;C MINING AND QUARRYING;2000 November;6295;;;;6295;;;
8201;Domestic sales intermediary goods;C MINING AND QUARRYING;2000 December;6295;;;;6295;;;
8202;Domestic sales intermediary goods;C MINING AND QUARRYING;2000;6295;100.0;;;6295;100.0;;
8203;Domestic sales intermediary goods;C MINING AND QUARRYING;2001 January;6295;;;;6295;;;
8204;Domestic sales intermediary goods;C MINING AND QUARRYING;2001 February;6295;;;;6295;;;
8205;Domestic sales intermediary goods;C MINING AND QUARRYING;2001 March;6295;;;;6295;;;
8206;Domestic sales intermediary goods;C MINING AND QUARRYING;2001 April;6295;;;;6295;;;
8207;Domestic sales intermediary goods;C MINING AND QUARRYING;2001 May;6295;;;;6295;;;
8208;Domestic sales intermediary goods;C MINING AND QUARRYING;2001 June;6295;;;;6295;;;
8209;Domestic sales intermediary goods;C MINING AND QUARRYING;2001 July;6295;;;;6295;;;
8210;Domestic sales intermediary goods;C MINING AND QUARRYING;2001 August;6295;;;;6295;;;
8211;Domestic sales intermediary goods;C MINING AND QUARRYING;2001 September;6295;;;;6295;;;
8212;Domestic sales intermediary goods;C MINING AND QUARRYING;2001 October;6295;;;;6295;;;
8213;Domestic sales intermediary goods;C MINING AND QUARRYING;2001 November;6295;;;;6295;;;
8214;Domestic sales intermediary goods;C MINING AND QUARRYING;2001 December;6295;;;;6295;;;
8215;Domestic sales intermediary goods;C MINING AND QUARRYING;2001;6295;;;;6295;;;
8216;Domestic sales intermediary goods;C MINING AND QUARRYING;2002 January;6295;;;;6295;;;
8217;Domestic sales intermediary goods;C MINING AND QUARRYING;2002 February;6295;;;;6295;;;
8218;Domestic sales intermediary goods;C MINING AND QUARRYING;2002 March;6295;;;;6295;;;
8219;Domestic sales intermediary goods;C MINING AND QUARRYING;2002 April;6295;;;;6295;;;
8220;Domestic sales intermediary goods;C MINING AND QUARRYING;2002 May;6295;;;;6295;;;
8221;Domestic sales intermediary goods;C MINING AND QUARRYING;2002 June;6295;;;;6295;;;
8222;Domestic sales intermediary goods;C MINING AND QUARRYING;2002 July;6295;;;;6295;;;
8223;Domestic sales intermediary goods;C MINING AND QUARRYING;2002 August;6295;;;;6295;;;
8224;Domestic sales intermediary goods;C MINING AND QUARRYING;2002 September;6295;;;;6295;;;
8225;Domestic sales intermediary goods;C MINING AND QUARRYING;2002 October;6295;;;;6295;;;
8226;Domestic sales intermediary goods;C MINING AND QUARRYING;2002 November;6295;;;;6295;;;
8227;Domestic sales intermediary goods;C MINING AND QUARRYING;2002 December;6295;;;;6295;;;
8228;Domestic sales intermediary goods;C MINING AND QUARRYING;2002;6295;;;;6295;;;
