ID;WijkenEnBuurten;Woningkenmerken;Gemeentenaam_1;SoortRegio_2;Codering_3;GemiddeldAardgasverbruik_4;GemiddeldeElektriciteitslevering_5;GemiddeldeNettoElektriciteitslevering_6;Stadsverwarming_7;IndelingswijzigingWijkenEnBuurten_8
189;Wijk 07 Spijkerboor;Vrijstaande woning;Aa en Hunze                             ;Wijk      ;WK168007  ;1680.0;3410.0;2280.0;;1.0
190;Wijk 07 Spijkerboor;Eigen woning;Aa en Hunze                             ;Wijk      ;WK168007  ;1570.0;3330.0;2290.0;;1.0
191;Wijk 07 Spijkerboor;Huurwoning;Aa en Hunze                             ;Wijk      ;WK168007  ;1020.0;1720.0;1180.0;;1.0
192;Spijkerboor;Totaal woningen;Aa en Hunze                             ;Buurt     ;BU16800700;1530.0;3200.0;2210.0;;1.0
193;Spijkerboor;Appartement;Aa en Hunze                             ;Buurt     ;BU16800700;;;;;1.0
194;Spijkerboor;Tussenwoning;Aa en Hunze                             ;Buurt     ;BU16800700;;;;;1.0
195;Spijkerboor;Hoekwoning;Aa en Hunze                             ;Buurt     ;BU16800700;;;;;1.0
196;Spijkerboor;Twee-onder-één-kap woning;Aa en Hunze                             ;Buurt     ;BU16800700;1240.0;2800.0;2060.0;;1.0
197;Spijkerboor;Vrijstaande woning;Aa en Hunze                             ;Buurt     ;BU16800700;1680.0;3410.0;2280.0;;1.0
198;Spijkerboor;Eigen woning;Aa en Hunze                             ;Buurt     ;BU16800700;1570.0;3330.0;2290.0;;1.0
199;Spijkerboor;Huurwoning;Aa en Hunze                             ;Buurt     ;BU16800700;1020.0;1720.0;1180.0;;1.0
200;Verspreide huizen Spijkerboor;Totaal woningen;Aa en Hunze                             ;Buurt     ;BU16800709;;;;;1.0
201;Verspreide huizen Spijkerboor;Appartement;Aa en Hunze                             ;Buurt     ;BU16800709;;;;;1.0
202;Verspreide huizen Spijkerboor;Tussenwoning;Aa en Hunze                             ;Buurt     ;BU16800709;;;;;1.0
203;Verspreide huizen Spijkerboor;Hoekwoning;Aa en Hunze                             ;Buurt     ;BU16800709;;;;;1.0
204;Verspreide huizen Spijkerboor;Twee-onder-één-kap woning;Aa en Hunze                             ;Buurt     ;BU16800709;;;;;1.0
205;Verspreide huizen Spijkerboor;Vrijstaande woning;Aa en Hunze                             ;Buurt     ;BU16800709;;;;;1.0
206;Verspreide huizen Spijkerboor;Eigen woning;Aa en Hunze                             ;Buurt     ;BU16800709;;;;;1.0
207;Verspreide huizen Spijkerboor;Huurwoning;Aa en Hunze                             ;Buurt     ;BU16800709;;;;;1.0
208;Wijk 08 Nieuw-Annerveen;Totaal woningen;Aa en Hunze                             ;Wijk      ;WK168008  ;1640.0;3380.0;1830.0;;1.0
209;Wijk 08 Nieuw-Annerveen;Appartement;Aa en Hunze                             ;Wijk      ;WK168008  ;;;;;1.0
