ID;TypeOfBankruptcy;SectorBranchesSIC2008;Periods;PronouncedBankruptcies_1
8883;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2012 January;0
8884;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2012 February;1
8885;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2012 March;0
8886;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2012 1st quarter;1
8887;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2012 April;0
8888;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2012 May;0
8889;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2012 June;0
8890;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2012 2nd quarter;0
8891;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2012 July;1
8892;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2012 August;0
8893;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2012 September;0
8894;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2012 3rd quarter;1
8895;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2012 October;2
8896;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2012 November;0
8897;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2012 December;0
8898;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2012 4th quarter;2
8899;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2012;4
8900;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2013 January;0
8901;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2013 February;0
8902;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2013 March;0
8903;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2013 1st quarter;0
8904;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2013 April;0
8905;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2013 May;0
8906;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2013 June;0
8907;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2013 2nd quarter;0
8908;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2013 July;0
8909;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2013 August;0
8910;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2013 September;0
8911;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2013 3rd quarter;0
8912;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2013 October;0
8913;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2013 November;0
8914;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2013 December;0
8915;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2013 4th quarter;0
8916;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2013;0
8917;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2014 January;0
8918;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2014 February;0
8919;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2014 March;0
8920;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2014 1st quarter;0
8921;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2014 April;0
8922;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2014 May;0
8923;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2014 June;0
8924;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2014 2nd quarter;0
8925;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2014 July;0
8926;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2014 August;0
8927;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2014 September;0
8928;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2014 3rd quarter;0
8929;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2014 October;0
8930;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2014 November;0
8931;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2014 December;0
8932;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2014 4th quarter;0
8933;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2014;0
8934;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2015 January;0
8935;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2015 February;0
8936;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2015 March;0
8937;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2015 1st quarter;0
8938;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2015 April;0
8939;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2015 May;0
8940;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2015 June;0
8941;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2015 2nd quarter;0
8942;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2015 July;0
8943;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2015 August;0
8944;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2015 September;0
8945;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2015 3rd quarter;0
8946;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2015 October;0
8947;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2015 November;0
8948;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2015 December;0
8949;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2015 4th quarter;0
8950;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2015;0
8951;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2016 January;0
8952;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2016 February;0
8953;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2016 March;0
8954;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2016 1st quarter;0
8955;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2016 April;0
8956;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2016 May;0
8957;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2016 June;0
8958;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2016 2nd quarter;0
8959;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2016 July;0
8960;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2016 August;0
8961;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2016 September;0
8962;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2016 3rd quarter;0
8963;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2016 October;0
8964;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2016 November;0
8965;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2016 December;0
8966;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2016 4th quarter;0
8967;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2016;0
8968;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2017 January;0
8969;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2017 February;0
8970;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2017 March;0
8971;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2017 1st quarter;0
8972;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2017 April;0
8973;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2017 May;0
8974;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2017 June;0
8975;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2017 2nd quarter;0
8976;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2017 July;0
8977;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2017 August;0
8978;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2017 September;0
8979;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2017 3rd quarter;0
8980;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2017 October;0
8981;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2017 November;0
8982;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2017 December;0
8983;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2017 4th quarter;0
8984;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2017;0
8985;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2018 January;0
8986;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2018 February;0
8987;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2018 March;0
8988;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2018 1st quarter;0
8989;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2018 April;0
8990;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2018 May;0
8991;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2018 June;0
8992;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2018 2nd quarter;0
8993;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2018 July;0
8994;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2018 August;0
8995;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2018 September;0
8996;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2018 3rd quarter;0
8997;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2018 October;0
8998;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2018 November;0
8999;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2018 December;0
9000;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2018 4th quarter;0
9001;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2018;0
9002;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2019 January;0
9003;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2019 February;0
9004;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2019 March;0
9005;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2019 1st quarter;0
9006;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2019 April;0
9007;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2019 May;0
9008;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2019 June;0
9009;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2019 2nd quarter;0
9010;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2019 July;0
9011;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2019 August;0
9012;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2019 September;0
9013;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2019 3rd quarter;0
9014;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2019 October;0
9015;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2019 November;0
9016;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2019 December;0
9017;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2019 4th quarter;0
9018;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2019;0
9019;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2020 January;0
9020;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2020 February;0
9021;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2020 March;0
9022;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2020 1st quarter;0
9023;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2020 April;0
9024;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2020 May;0
9025;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2020 June;0
9026;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2020 2nd quarter;0
9027;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2020 July;0
9028;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2020 August;0
9029;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2020 September;0
9030;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2020 3rd quarter;0
9031;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2020 October;0
9032;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2020 November;0
9033;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2020 December;0
9034;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2020 4th quarter;0
9035;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2020;0
9036;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2021 January;0
9037;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2021 February;0
9038;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2021 March;0
9039;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2021 1st quarter;0
9040;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2021 April;0
9041;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2021 May;0
9042;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2021 June;0
9043;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2021 2nd quarter;0
9044;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2021 July;0
9045;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2021 August;0
9046;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2021 September;0
9047;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2021 3rd quarter;0
9048;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2021 October;0
9049;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2021 November;0
9050;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2021 December;0
9051;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2021 4th quarter;0
9052;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2021;0
9053;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2022 January;0
9054;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2022 February;0
9055;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2022 March;0
9056;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2022 1st quarter;0
9057;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2022 April;0
9058;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2022 May;0
9059;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2022 June;0
9060;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2022 2nd quarter;0
9061;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2022 July;0
9062;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2022 August;0
9063;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2022 September;0
9064;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2022 3rd quarter;0
9065;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2022 October;0
9066;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2022 November;1
9067;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2022 December;0
9068;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2022 4th quarter;1
9069;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2022;1
9070;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2023 January;0
9071;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2023 February;0
9072;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2023 March;0
9073;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2023 1st quarter;0
9074;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2023 April;0
9075;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2023 May;0
9076;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2023 June;0
9077;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2023 2nd quarter;0
9078;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2023 July;0
9079;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2023 August;0
9080;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2023 September;0
9081;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2023 3rd quarter;0
9082;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2023 October;0
9083;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2023 November;0
9084;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2023 December;0
9085;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2023 4th quarter;0
9086;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2023;0
9087;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2024 January;0
9088;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2024 February;0
9089;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2024 March;0
9090;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2024 1st quarter;0
9091;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2024 April;0
9092;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2024 May;0
9093;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2024 June;0
9094;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2024 2nd quarter;0
9095;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2024 July;0
9096;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2024 August;0
9097;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2024 September;0
9098;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2024 3rd quarter;0
9099;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2024 October;0
9100;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2024 November;0
9101;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2024 December;0
9102;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2024 4th quarter;0
9103;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2024;0
9104;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2025 January;0
9105;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2025 February;0
9106;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2025 March;0
9107;Total entities with/without legal pers.;104 Manufacture of edible oils and fats;2025 1st quarter;0
9108;Total entities with/without legal pers.;105 Manufacture of dairy products;2009 January;0
9109;Total entities with/without legal pers.;105 Manufacture of dairy products;2009 February;0
9110;Total entities with/without legal pers.;105 Manufacture of dairy products;2009 March;0
9111;Total entities with/without legal pers.;105 Manufacture of dairy products;2009 1st quarter;0
9112;Total entities with/without legal pers.;105 Manufacture of dairy products;2009 April;0
9113;Total entities with/without legal pers.;105 Manufacture of dairy products;2009 May;0
9114;Total entities with/without legal pers.;105 Manufacture of dairy products;2009 June;0
9115;Total entities with/without legal pers.;105 Manufacture of dairy products;2009 2nd quarter;0
9116;Total entities with/without legal pers.;105 Manufacture of dairy products;2009 July;0
9117;Total entities with/without legal pers.;105 Manufacture of dairy products;2009 August;0
9118;Total entities with/without legal pers.;105 Manufacture of dairy products;2009 September;0
9119;Total entities with/without legal pers.;105 Manufacture of dairy products;2009 3rd quarter;0
9120;Total entities with/without legal pers.;105 Manufacture of dairy products;2009 October;0
9121;Total entities with/without legal pers.;105 Manufacture of dairy products;2009 November;0
9122;Total entities with/without legal pers.;105 Manufacture of dairy products;2009 December;0
9123;Total entities with/without legal pers.;105 Manufacture of dairy products;2009 4th quarter;0
9124;Total entities with/without legal pers.;105 Manufacture of dairy products;2009;0
9125;Total entities with/without legal pers.;105 Manufacture of dairy products;2010 January;0
9126;Total entities with/without legal pers.;105 Manufacture of dairy products;2010 February;0
9127;Total entities with/without legal pers.;105 Manufacture of dairy products;2010 March;0
9128;Total entities with/without legal pers.;105 Manufacture of dairy products;2010 1st quarter;0
9129;Total entities with/without legal pers.;105 Manufacture of dairy products;2010 April;0
9130;Total entities with/without legal pers.;105 Manufacture of dairy products;2010 May;0
9131;Total entities with/without legal pers.;105 Manufacture of dairy products;2010 June;0
9132;Total entities with/without legal pers.;105 Manufacture of dairy products;2010 2nd quarter;0
9133;Total entities with/without legal pers.;105 Manufacture of dairy products;2010 July;0
9134;Total entities with/without legal pers.;105 Manufacture of dairy products;2010 August;0
9135;Total entities with/without legal pers.;105 Manufacture of dairy products;2010 September;0
9136;Total entities with/without legal pers.;105 Manufacture of dairy products;2010 3rd quarter;0
9137;Total entities with/without legal pers.;105 Manufacture of dairy products;2010 October;0
9138;Total entities with/without legal pers.;105 Manufacture of dairy products;2010 November;0
9139;Total entities with/without legal pers.;105 Manufacture of dairy products;2010 December;0
9140;Total entities with/without legal pers.;105 Manufacture of dairy products;2010 4th quarter;0
9141;Total entities with/without legal pers.;105 Manufacture of dairy products;2010;0
9142;Total entities with/without legal pers.;105 Manufacture of dairy products;2011 January;0
9143;Total entities with/without legal pers.;105 Manufacture of dairy products;2011 February;0
9144;Total entities with/without legal pers.;105 Manufacture of dairy products;2011 March;0
9145;Total entities with/without legal pers.;105 Manufacture of dairy products;2011 1st quarter;0
9146;Total entities with/without legal pers.;105 Manufacture of dairy products;2011 April;1
9147;Total entities with/without legal pers.;105 Manufacture of dairy products;2011 May;0
9148;Total entities with/without legal pers.;105 Manufacture of dairy products;2011 June;0
9149;Total entities with/without legal pers.;105 Manufacture of dairy products;2011 2nd quarter;1
9150;Total entities with/without legal pers.;105 Manufacture of dairy products;2011 July;0
9151;Total entities with/without legal pers.;105 Manufacture of dairy products;2011 August;0
9152;Total entities with/without legal pers.;105 Manufacture of dairy products;2011 September;0
9153;Total entities with/without legal pers.;105 Manufacture of dairy products;2011 3rd quarter;0
9154;Total entities with/without legal pers.;105 Manufacture of dairy products;2011 October;0
9155;Total entities with/without legal pers.;105 Manufacture of dairy products;2011 November;0
9156;Total entities with/without legal pers.;105 Manufacture of dairy products;2011 December;0
9157;Total entities with/without legal pers.;105 Manufacture of dairy products;2011 4th quarter;0
9158;Total entities with/without legal pers.;105 Manufacture of dairy products;2011;1
9159;Total entities with/without legal pers.;105 Manufacture of dairy products;2012 January;1
9160;Total entities with/without legal pers.;105 Manufacture of dairy products;2012 February;0
9161;Total entities with/without legal pers.;105 Manufacture of dairy products;2012 March;0
9162;Total entities with/without legal pers.;105 Manufacture of dairy products;2012 1st quarter;1
9163;Total entities with/without legal pers.;105 Manufacture of dairy products;2012 April;0
9164;Total entities with/without legal pers.;105 Manufacture of dairy products;2012 May;0
9165;Total entities with/without legal pers.;105 Manufacture of dairy products;2012 June;0
9166;Total entities with/without legal pers.;105 Manufacture of dairy products;2012 2nd quarter;0
9167;Total entities with/without legal pers.;105 Manufacture of dairy products;2012 July;0
9168;Total entities with/without legal pers.;105 Manufacture of dairy products;2012 August;0
9169;Total entities with/without legal pers.;105 Manufacture of dairy products;2012 September;0
9170;Total entities with/without legal pers.;105 Manufacture of dairy products;2012 3rd quarter;0
9171;Total entities with/without legal pers.;105 Manufacture of dairy products;2012 October;0
9172;Total entities with/without legal pers.;105 Manufacture of dairy products;2012 November;0
9173;Total entities with/without legal pers.;105 Manufacture of dairy products;2012 December;0
9174;Total entities with/without legal pers.;105 Manufacture of dairy products;2012 4th quarter;0
9175;Total entities with/without legal pers.;105 Manufacture of dairy products;2012;1
9176;Total entities with/without legal pers.;105 Manufacture of dairy products;2013 January;0
9177;Total entities with/without legal pers.;105 Manufacture of dairy products;2013 February;0
9178;Total entities with/without legal pers.;105 Manufacture of dairy products;2013 March;0
9179;Total entities with/without legal pers.;105 Manufacture of dairy products;2013 1st quarter;0
9180;Total entities with/without legal pers.;105 Manufacture of dairy products;2013 April;0
9181;Total entities with/without legal pers.;105 Manufacture of dairy products;2013 May;0
9182;Total entities with/without legal pers.;105 Manufacture of dairy products;2013 June;0
9183;Total entities with/without legal pers.;105 Manufacture of dairy products;2013 2nd quarter;0
9184;Total entities with/without legal pers.;105 Manufacture of dairy products;2013 July;0
9185;Total entities with/without legal pers.;105 Manufacture of dairy products;2013 August;0
9186;Total entities with/without legal pers.;105 Manufacture of dairy products;2013 September;0
9187;Total entities with/without legal pers.;105 Manufacture of dairy products;2013 3rd quarter;0
9188;Total entities with/without legal pers.;105 Manufacture of dairy products;2013 October;0
9189;Total entities with/without legal pers.;105 Manufacture of dairy products;2013 November;1
9190;Total entities with/without legal pers.;105 Manufacture of dairy products;2013 December;0
9191;Total entities with/without legal pers.;105 Manufacture of dairy products;2013 4th quarter;1
9192;Total entities with/without legal pers.;105 Manufacture of dairy products;2013;1
9193;Total entities with/without legal pers.;105 Manufacture of dairy products;2014 January;0
9194;Total entities with/without legal pers.;105 Manufacture of dairy products;2014 February;0
9195;Total entities with/without legal pers.;105 Manufacture of dairy products;2014 March;0
9196;Total entities with/without legal pers.;105 Manufacture of dairy products;2014 1st quarter;0
9197;Total entities with/without legal pers.;105 Manufacture of dairy products;2014 April;0
9198;Total entities with/without legal pers.;105 Manufacture of dairy products;2014 May;0
9199;Total entities with/without legal pers.;105 Manufacture of dairy products;2014 June;0
9200;Total entities with/without legal pers.;105 Manufacture of dairy products;2014 2nd quarter;0
9201;Total entities with/without legal pers.;105 Manufacture of dairy products;2014 July;0
9202;Total entities with/without legal pers.;105 Manufacture of dairy products;2014 August;0
9203;Total entities with/without legal pers.;105 Manufacture of dairy products;2014 September;0
9204;Total entities with/without legal pers.;105 Manufacture of dairy products;2014 3rd quarter;0
9205;Total entities with/without legal pers.;105 Manufacture of dairy products;2014 October;0
9206;Total entities with/without legal pers.;105 Manufacture of dairy products;2014 November;0
9207;Total entities with/without legal pers.;105 Manufacture of dairy products;2014 December;0
9208;Total entities with/without legal pers.;105 Manufacture of dairy products;2014 4th quarter;0
9209;Total entities with/without legal pers.;105 Manufacture of dairy products;2014;0
9210;Total entities with/without legal pers.;105 Manufacture of dairy products;2015 January;1
9211;Total entities with/without legal pers.;105 Manufacture of dairy products;2015 February;0
9212;Total entities with/without legal pers.;105 Manufacture of dairy products;2015 March;0
9213;Total entities with/without legal pers.;105 Manufacture of dairy products;2015 1st quarter;1
9214;Total entities with/without legal pers.;105 Manufacture of dairy products;2015 April;0
9215;Total entities with/without legal pers.;105 Manufacture of dairy products;2015 May;0
9216;Total entities with/without legal pers.;105 Manufacture of dairy products;2015 June;0
9217;Total entities with/without legal pers.;105 Manufacture of dairy products;2015 2nd quarter;0
9218;Total entities with/without legal pers.;105 Manufacture of dairy products;2015 July;0
9219;Total entities with/without legal pers.;105 Manufacture of dairy products;2015 August;0
9220;Total entities with/without legal pers.;105 Manufacture of dairy products;2015 September;0
9221;Total entities with/without legal pers.;105 Manufacture of dairy products;2015 3rd quarter;0
9222;Total entities with/without legal pers.;105 Manufacture of dairy products;2015 October;0
9223;Total entities with/without legal pers.;105 Manufacture of dairy products;2015 November;0
9224;Total entities with/without legal pers.;105 Manufacture of dairy products;2015 December;1
9225;Total entities with/without legal pers.;105 Manufacture of dairy products;2015 4th quarter;1
9226;Total entities with/without legal pers.;105 Manufacture of dairy products;2015;2
9227;Total entities with/without legal pers.;105 Manufacture of dairy products;2016 January;0
9228;Total entities with/without legal pers.;105 Manufacture of dairy products;2016 February;0
9229;Total entities with/without legal pers.;105 Manufacture of dairy products;2016 March;0
9230;Total entities with/without legal pers.;105 Manufacture of dairy products;2016 1st quarter;0
9231;Total entities with/without legal pers.;105 Manufacture of dairy products;2016 April;0
9232;Total entities with/without legal pers.;105 Manufacture of dairy products;2016 May;0
9233;Total entities with/without legal pers.;105 Manufacture of dairy products;2016 June;0
9234;Total entities with/without legal pers.;105 Manufacture of dairy products;2016 2nd quarter;0
9235;Total entities with/without legal pers.;105 Manufacture of dairy products;2016 July;0
9236;Total entities with/without legal pers.;105 Manufacture of dairy products;2016 August;0
9237;Total entities with/without legal pers.;105 Manufacture of dairy products;2016 September;0
9238;Total entities with/without legal pers.;105 Manufacture of dairy products;2016 3rd quarter;0
9239;Total entities with/without legal pers.;105 Manufacture of dairy products;2016 October;0
9240;Total entities with/without legal pers.;105 Manufacture of dairy products;2016 November;0
9241;Total entities with/without legal pers.;105 Manufacture of dairy products;2016 December;0
