ID;TypeOfMonument;Regions2019;Periods;ListedMonumentsAndHistoricBuildings_1
6850;Listed monuments total;Delfzijl;1995;96
6851;Listed monuments total;Delfzijl;1996;96
6852;Listed monuments total;Delfzijl;1997;96
6853;Listed monuments total;Delfzijl;1998;96
6854;Listed monuments total;Delfzijl;1999;96
6855;Listed monuments total;Delfzijl;2000;97
6856;Listed monuments total;Delfzijl;2001;118
6857;Listed monuments total;Delfzijl;2002;118
6858;Listed monuments total;Delfzijl;2003;118
6859;Listed monuments total;Delfzijl;2004;119
6860;Listed monuments total;Delfzijl;2005;125
6861;Listed monuments total;Delfzijl;2006;125
6862;Listed monuments total;Delfzijl;2007;125
6863;Listed monuments total;Delfzijl;2008;125
6864;Listed monuments total;Delfzijl;2009;125
6865;Listed monuments total;Delfzijl;2010;130
6866;Listed monuments total;Delfzijl;2011;130
6867;Listed monuments total;Delfzijl;2012;130
6868;Listed monuments total;Delfzijl;2013;130
6869;Listed monuments total;Delfzijl;2014;130
6870;Listed monuments total;Delfzijl;2015;130
6871;Listed monuments total;Delfzijl;2016;130
6872;Listed monuments total;Delfzijl;2017;130
6873;Listed monuments total;Delfzijl;2018;130
6874;Listed monuments total;Delfzijl;2019;130
6875;Listed monuments total;Deurne;1965;0
6876;Listed monuments total;Deurne;1966;0
6877;Listed monuments total;Deurne;1967;12
6878;Listed monuments total;Deurne;1968;12
6879;Listed monuments total;Deurne;1969;12
6880;Listed monuments total;Deurne;1970;12
6881;Listed monuments total;Deurne;1971;12
6882;Listed monuments total;Deurne;1972;12
6883;Listed monuments total;Deurne;1973;12
6884;Listed monuments total;Deurne;1974;12
6885;Listed monuments total;Deurne;1975;12
6886;Listed monuments total;Deurne;1976;12
6887;Listed monuments total;Deurne;1977;12
6888;Listed monuments total;Deurne;1978;12
6889;Listed monuments total;Deurne;1979;12
6890;Listed monuments total;Deurne;1980;12
6891;Listed monuments total;Deurne;1981;12
6892;Listed monuments total;Deurne;1982;12
6893;Listed monuments total;Deurne;1983;13
6894;Listed monuments total;Deurne;1984;13
6895;Listed monuments total;Deurne;1985;13
6896;Listed monuments total;Deurne;1986;13
6897;Listed monuments total;Deurne;1987;13
6898;Listed monuments total;Deurne;1988;13
6899;Listed monuments total;Deurne;1989;13
6900;Listed monuments total;Deurne;1990;13
6901;Listed monuments total;Deurne;1991;13
6902;Listed monuments total;Deurne;1992;13
6903;Listed monuments total;Deurne;1993;13
6904;Listed monuments total;Deurne;1994;13
6905;Listed monuments total;Deurne;1995;13
6906;Listed monuments total;Deurne;1996;13
6907;Listed monuments total;Deurne;1997;13
6908;Listed monuments total;Deurne;1998;13
6909;Listed monuments total;Deurne;1999;13
6910;Listed monuments total;Deurne;2000;13
6911;Listed monuments total;Deurne;2001;45
6912;Listed monuments total;Deurne;2002;56
6913;Listed monuments total;Deurne;2003;56
6914;Listed monuments total;Deurne;2004;56
6915;Listed monuments total;Deurne;2005;57
6916;Listed monuments total;Deurne;2006;57
6917;Listed monuments total;Deurne;2007;57
6918;Listed monuments total;Deurne;2008;57
6919;Listed monuments total;Deurne;2009;57
6920;Listed monuments total;Deurne;2010;57
6921;Listed monuments total;Deurne;2011;57
6922;Listed monuments total;Deurne;2012;57
6923;Listed monuments total;Deurne;2013;57
6924;Listed monuments total;Deurne;2014;57
6925;Listed monuments total;Deurne;2015;57
6926;Listed monuments total;Deurne;2016;57
6927;Listed monuments total;Deurne;2017;57
6928;Listed monuments total;Deurne;2018;57
6929;Listed monuments total;Deurne;2019;57
6930;Listed monuments total;Deventer;1965;0
6931;Listed monuments total;Deventer;1966;0
6932;Listed monuments total;Deventer;1967;0
6933;Listed monuments total;Deventer;1968;446
6934;Listed monuments total;Deventer;1969;446
6935;Listed monuments total;Deventer;1970;447
6936;Listed monuments total;Deventer;1971;461
6937;Listed monuments total;Deventer;1972;461
6938;Listed monuments total;Deventer;1973;466
6939;Listed monuments total;Deventer;1974;467
6940;Listed monuments total;Deventer;1975;481
6941;Listed monuments total;Deventer;1976;481
6942;Listed monuments total;Deventer;1977;487
6943;Listed monuments total;Deventer;1978;488
6944;Listed monuments total;Deventer;1979;489
6945;Listed monuments total;Deventer;1980;492
6946;Listed monuments total;Deventer;1981;492
6947;Listed monuments total;Deventer;1982;492
6948;Listed monuments total;Deventer;1983;493
6949;Listed monuments total;Deventer;1984;494
6950;Listed monuments total;Deventer;1985;494
6951;Listed monuments total;Deventer;1986;498
6952;Listed monuments total;Deventer;1987;498
6953;Listed monuments total;Deventer;1988;498
6954;Listed monuments total;Deventer;1989;498
6955;Listed monuments total;Deventer;1990;499
6956;Listed monuments total;Deventer;1991;501
6957;Listed monuments total;Deventer;1992;501
6958;Listed monuments total;Deventer;1993;501
6959;Listed monuments total;Deventer;1994;501
6960;Listed monuments total;Deventer;1995;501
6961;Listed monuments total;Deventer;1996;501
6962;Listed monuments total;Deventer;1997;501
6963;Listed monuments total;Deventer;1998;517
6964;Listed monuments total;Deventer;1999;571
6965;Listed monuments total;Deventer;2000;574
6966;Listed monuments total;Deventer;2001;574
6967;Listed monuments total;Deventer;2002;576
6968;Listed monuments total;Deventer;2003;576
6969;Listed monuments total;Deventer;2004;577
6970;Listed monuments total;Deventer;2005;577
6971;Listed monuments total;Deventer;2006;584
6972;Listed monuments total;Deventer;2007;584
6973;Listed monuments total;Deventer;2008;584
6974;Listed monuments total;Deventer;2009;584
6975;Listed monuments total;Deventer;2010;584
6976;Listed monuments total;Deventer;2011;585
6977;Listed monuments total;Deventer;2012;585
6978;Listed monuments total;Deventer;2013;585
6979;Listed monuments total;Deventer;2014;585
6980;Listed monuments total;Deventer;2015;585
6981;Listed monuments total;Deventer;2016;585
6982;Listed monuments total;Deventer;2017;585
6983;Listed monuments total;Deventer;2018;585
6984;Listed monuments total;Deventer;2019;585
6985;Listed monuments total;Diemen;1965;0
6986;Listed monuments total;Diemen;1966;0
6987;Listed monuments total;Diemen;1967;0
6988;Listed monuments total;Diemen;1968;0
6989;Listed monuments total;Diemen;1969;0
6990;Listed monuments total;Diemen;1970;0
6991;Listed monuments total;Diemen;1971;0
6992;Listed monuments total;Diemen;1972;0
6993;Listed monuments total;Diemen;1973;0
6994;Listed monuments total;Diemen;1974;0
6995;Listed monuments total;Diemen;1975;0
6996;Listed monuments total;Diemen;1976;0
6997;Listed monuments total;Diemen;1977;0
6998;Listed monuments total;Diemen;1978;0
6999;Listed monuments total;Diemen;1979;0
7000;Listed monuments total;Diemen;1980;0
7001;Listed monuments total;Diemen;1981;0
7002;Listed monuments total;Diemen;1982;0
7003;Listed monuments total;Diemen;1983;0
7004;Listed monuments total;Diemen;1984;0
7005;Listed monuments total;Diemen;1985;0
7006;Listed monuments total;Diemen;1986;0
7007;Listed monuments total;Diemen;1987;0
7008;Listed monuments total;Diemen;1988;0
7009;Listed monuments total;Diemen;1989;0
7010;Listed monuments total;Diemen;1990;0
7011;Listed monuments total;Diemen;1991;0
7012;Listed monuments total;Diemen;1992;0
7013;Listed monuments total;Diemen;1993;1
7014;Listed monuments total;Diemen;1994;1
7015;Listed monuments total;Diemen;1995;1
7016;Listed monuments total;Diemen;1996;1
7017;Listed monuments total;Diemen;1997;1
7018;Listed monuments total;Diemen;1998;15
7019;Listed monuments total;Diemen;1999;15
7020;Listed monuments total;Diemen;2000;15
7021;Listed monuments total;Diemen;2001;15
7022;Listed monuments total;Diemen;2002;15
7023;Listed monuments total;Diemen;2003;15
7024;Listed monuments total;Diemen;2004;16
7025;Listed monuments total;Diemen;2005;16
7026;Listed monuments total;Diemen;2006;16
7027;Listed monuments total;Diemen;2007;17
7028;Listed monuments total;Diemen;2008;17
7029;Listed monuments total;Diemen;2009;17
7030;Listed monuments total;Diemen;2010;17
7031;Listed monuments total;Diemen;2011;17
7032;Listed monuments total;Diemen;2012;17
7033;Listed monuments total;Diemen;2013;17
7034;Listed monuments total;Diemen;2014;17
7035;Listed monuments total;Diemen;2015;17
7036;Listed monuments total;Diemen;2016;17
7037;Listed monuments total;Diemen;2017;17
7038;Listed monuments total;Diemen;2018;17
7039;Listed monuments total;Diemen;2019;17
7040;Listed monuments total;Dinkelland;1965;38
7041;Listed monuments total;Dinkelland;1966;38
7042;Listed monuments total;Dinkelland;1967;38
7043;Listed monuments total;Dinkelland;1968;38
7044;Listed monuments total;Dinkelland;1969;38
7045;Listed monuments total;Dinkelland;1970;38
7046;Listed monuments total;Dinkelland;1971;38
7047;Listed monuments total;Dinkelland;1972;56
7048;Listed monuments total;Dinkelland;1973;58
7049;Listed monuments total;Dinkelland;1974;58
7050;Listed monuments total;Dinkelland;1975;59
7051;Listed monuments total;Dinkelland;1976;59
7052;Listed monuments total;Dinkelland;1977;74
7053;Listed monuments total;Dinkelland;1978;80
7054;Listed monuments total;Dinkelland;1979;82
7055;Listed monuments total;Dinkelland;1980;83
7056;Listed monuments total;Dinkelland;1981;83
7057;Listed monuments total;Dinkelland;1982;83
7058;Listed monuments total;Dinkelland;1983;83
7059;Listed monuments total;Dinkelland;1984;83
7060;Listed monuments total;Dinkelland;1985;83
7061;Listed monuments total;Dinkelland;1986;83
7062;Listed monuments total;Dinkelland;1987;83
7063;Listed monuments total;Dinkelland;1988;83
7064;Listed monuments total;Dinkelland;1989;83
7065;Listed monuments total;Dinkelland;1990;83
7066;Listed monuments total;Dinkelland;1991;83
7067;Listed monuments total;Dinkelland;1992;84
7068;Listed monuments total;Dinkelland;1993;84
7069;Listed monuments total;Dinkelland;1994;84
7070;Listed monuments total;Dinkelland;1995;84
7071;Listed monuments total;Dinkelland;1996;84
7072;Listed monuments total;Dinkelland;1997;84
7073;Listed monuments total;Dinkelland;1998;91
7074;Listed monuments total;Dinkelland;1999;124
7075;Listed monuments total;Dinkelland;2000;124
7076;Listed monuments total;Dinkelland;2001;124
7077;Listed monuments total;Dinkelland;2002;124
7078;Listed monuments total;Dinkelland;2003;124
7079;Listed monuments total;Dinkelland;2004;124
7080;Listed monuments total;Dinkelland;2005;124
7081;Listed monuments total;Dinkelland;2006;143
7082;Listed monuments total;Dinkelland;2007;143
7083;Listed monuments total;Dinkelland;2008;143
7084;Listed monuments total;Dinkelland;2009;143
7085;Listed monuments total;Dinkelland;2010;143
7086;Listed monuments total;Dinkelland;2011;143
7087;Listed monuments total;Dinkelland;2012;143
7088;Listed monuments total;Dinkelland;2013;143
7089;Listed monuments total;Dinkelland;2014;143
7090;Listed monuments total;Dinkelland;2015;143
7091;Listed monuments total;Dinkelland;2016;143
7092;Listed monuments total;Dinkelland;2017;143
7093;Listed monuments total;Dinkelland;2018;143
7094;Listed monuments total;Dinkelland;2019;143
7095;Listed monuments total;Doesburg;1965;0
7096;Listed monuments total;Doesburg;1966;137
7097;Listed monuments total;Doesburg;1967;137
7098;Listed monuments total;Doesburg;1968;140
7099;Listed monuments total;Doesburg;1969;140
7100;Listed monuments total;Doesburg;1970;140
7101;Listed monuments total;Doesburg;1971;140
7102;Listed monuments total;Doesburg;1972;140
7103;Listed monuments total;Doesburg;1973;140
7104;Listed monuments total;Doesburg;1974;140
7105;Listed monuments total;Doesburg;1975;140
7106;Listed monuments total;Doesburg;1976;140
7107;Listed monuments total;Doesburg;1977;140
7108;Listed monuments total;Doesburg;1978;140
7109;Listed monuments total;Doesburg;1979;140
7110;Listed monuments total;Doesburg;1980;142
7111;Listed monuments total;Doesburg;1981;143
7112;Listed monuments total;Doesburg;1982;143
7113;Listed monuments total;Doesburg;1983;143
7114;Listed monuments total;Doesburg;1984;143
7115;Listed monuments total;Doesburg;1985;143
7116;Listed monuments total;Doesburg;1986;143
7117;Listed monuments total;Doesburg;1987;143
7118;Listed monuments total;Doesburg;1988;143
7119;Listed monuments total;Doesburg;1989;143
7120;Listed monuments total;Doesburg;1990;143
7121;Listed monuments total;Doesburg;1991;143
7122;Listed monuments total;Doesburg;1992;143
7123;Listed monuments total;Doesburg;1993;144
7124;Listed monuments total;Doesburg;1994;144
7125;Listed monuments total;Doesburg;1995;144
7126;Listed monuments total;Doesburg;1996;144
7127;Listed monuments total;Doesburg;1997;144
7128;Listed monuments total;Doesburg;1998;144
7129;Listed monuments total;Doesburg;1999;157
7130;Listed monuments total;Doesburg;2000;157
7131;Listed monuments total;Doesburg;2001;157
7132;Listed monuments total;Doesburg;2002;157
7133;Listed monuments total;Doesburg;2003;157
7134;Listed monuments total;Doesburg;2004;157
7135;Listed monuments total;Doesburg;2005;158
7136;Listed monuments total;Doesburg;2006;158
7137;Listed monuments total;Doesburg;2007;158
7138;Listed monuments total;Doesburg;2008;158
7139;Listed monuments total;Doesburg;2009;158
7140;Listed monuments total;Doesburg;2010;158
7141;Listed monuments total;Doesburg;2011;158
7142;Listed monuments total;Doesburg;2012;158
7143;Listed monuments total;Doesburg;2013;158
7144;Listed monuments total;Doesburg;2014;158
7145;Listed monuments total;Doesburg;2015;158
7146;Listed monuments total;Doesburg;2016;158
7147;Listed monuments total;Doesburg;2017;158
7148;Listed monuments total;Doesburg;2018;158
7149;Listed monuments total;Doesburg;2019;158
7150;Listed monuments total;Doetinchem;1965;0
7151;Listed monuments total;Doetinchem;1966;12
7152;Listed monuments total;Doetinchem;1967;12
7153;Listed monuments total;Doetinchem;1968;12
7154;Listed monuments total;Doetinchem;1969;12
7155;Listed monuments total;Doetinchem;1970;12
7156;Listed monuments total;Doetinchem;1971;12
7157;Listed monuments total;Doetinchem;1972;12
7158;Listed monuments total;Doetinchem;1973;12
7159;Listed monuments total;Doetinchem;1974;12
7160;Listed monuments total;Doetinchem;1975;12
7161;Listed monuments total;Doetinchem;1976;14
7162;Listed monuments total;Doetinchem;1977;14
7163;Listed monuments total;Doetinchem;1978;14
7164;Listed monuments total;Doetinchem;1979;14
7165;Listed monuments total;Doetinchem;1980;14
7166;Listed monuments total;Doetinchem;1981;14
7167;Listed monuments total;Doetinchem;1982;14
7168;Listed monuments total;Doetinchem;1983;15
7169;Listed monuments total;Doetinchem;1984;15
7170;Listed monuments total;Doetinchem;1985;15
7171;Listed monuments total;Doetinchem;1986;15
7172;Listed monuments total;Doetinchem;1987;15
7173;Listed monuments total;Doetinchem;1988;15
7174;Listed monuments total;Doetinchem;1989;15
7175;Listed monuments total;Doetinchem;1990;15
7176;Listed monuments total;Doetinchem;1991;15
7177;Listed monuments total;Doetinchem;1992;15
7178;Listed monuments total;Doetinchem;1993;15
7179;Listed monuments total;Doetinchem;1994;16
7180;Listed monuments total;Doetinchem;1995;16
7181;Listed monuments total;Doetinchem;1996;16
7182;Listed monuments total;Doetinchem;1997;16
7183;Listed monuments total;Doetinchem;1998;16
7184;Listed monuments total;Doetinchem;1999;26
7185;Listed monuments total;Doetinchem;2000;29
7186;Listed monuments total;Doetinchem;2001;29
7187;Listed monuments total;Doetinchem;2002;29
7188;Listed monuments total;Doetinchem;2003;29
7189;Listed monuments total;Doetinchem;2004;29
7190;Listed monuments total;Doetinchem;2005;35
7191;Listed monuments total;Doetinchem;2006;35
7192;Listed monuments total;Doetinchem;2007;35
7193;Listed monuments total;Doetinchem;2008;35
7194;Listed monuments total;Doetinchem;2009;35
7195;Listed monuments total;Doetinchem;2010;35
7196;Listed monuments total;Doetinchem;2011;35
7197;Listed monuments total;Doetinchem;2012;35
7198;Listed monuments total;Doetinchem;2013;35
7199;Listed monuments total;Doetinchem;2014;35
7200;Listed monuments total;Doetinchem;2015;35
7201;Listed monuments total;Doetinchem;2016;35
7202;Listed monuments total;Doetinchem;2017;35
7203;Listed monuments total;Doetinchem;2018;35
7204;Listed monuments total;Doetinchem;2019;36
7205;Listed monuments total;Dongen;1965;0
7206;Listed monuments total;Dongen;1966;0
7207;Listed monuments total;Dongen;1967;0
7208;Listed monuments total;Dongen;1968;0
7209;Listed monuments total;Dongen;1969;0
7210;Listed monuments total;Dongen;1970;12
7211;Listed monuments total;Dongen;1971;12
7212;Listed monuments total;Dongen;1972;12
7213;Listed monuments total;Dongen;1973;15
7214;Listed monuments total;Dongen;1974;15
7215;Listed monuments total;Dongen;1975;16
7216;Listed monuments total;Dongen;1976;17
7217;Listed monuments total;Dongen;1977;19
7218;Listed monuments total;Dongen;1978;21
7219;Listed monuments total;Dongen;1979;21
7220;Listed monuments total;Dongen;1980;25
7221;Listed monuments total;Dongen;1981;25
7222;Listed monuments total;Dongen;1982;25
7223;Listed monuments total;Dongen;1983;25
7224;Listed monuments total;Dongen;1984;25
7225;Listed monuments total;Dongen;1985;25
7226;Listed monuments total;Dongen;1986;25
7227;Listed monuments total;Dongen;1987;25
7228;Listed monuments total;Dongen;1988;25
7229;Listed monuments total;Dongen;1989;25
7230;Listed monuments total;Dongen;1990;25
7231;Listed monuments total;Dongen;1991;25
7232;Listed monuments total;Dongen;1992;25
7233;Listed monuments total;Dongen;1993;25
7234;Listed monuments total;Dongen;1994;25
7235;Listed monuments total;Dongen;1995;25
7236;Listed monuments total;Dongen;1996;25
7237;Listed monuments total;Dongen;1997;25
7238;Listed monuments total;Dongen;1998;25
7239;Listed monuments total;Dongen;1999;25
7240;Listed monuments total;Dongen;2000;25
7241;Listed monuments total;Dongen;2001;25
7242;Listed monuments total;Dongen;2002;65
7243;Listed monuments total;Dongen;2003;66
7244;Listed monuments total;Dongen;2004;67
7245;Listed monuments total;Dongen;2005;67
7246;Listed monuments total;Dongen;2006;68
7247;Listed monuments total;Dongen;2007;68
7248;Listed monuments total;Dongen;2008;68
7249;Listed monuments total;Dongen;2009;68
7250;Listed monuments total;Dongen;2010;68
7251;Listed monuments total;Dongen;2011;68
7252;Listed monuments total;Dongen;2012;68
7253;Listed monuments total;Dongen;2013;68
7254;Listed monuments total;Dongen;2014;68
7255;Listed monuments total;Dongen;2015;68
7256;Listed monuments total;Dongen;2016;68
7257;Listed monuments total;Dongen;2017;68
7258;Listed monuments total;Dongen;2018;68
7259;Listed monuments total;Dongen;2019;68
7260;Listed monuments total;Dordrecht;1965;0
7261;Listed monuments total;Dordrecht;1966;717
7262;Listed monuments total;Dordrecht;1967;717
7263;Listed monuments total;Dordrecht;1968;717
7264;Listed monuments total;Dordrecht;1969;717
7265;Listed monuments total;Dordrecht;1970;717
7266;Listed monuments total;Dordrecht;1971;728
7267;Listed monuments total;Dordrecht;1972;728
7268;Listed monuments total;Dordrecht;1973;728
7269;Listed monuments total;Dordrecht;1974;728
7270;Listed monuments total;Dordrecht;1975;733
7271;Listed monuments total;Dordrecht;1976;735
7272;Listed monuments total;Dordrecht;1977;737
7273;Listed monuments total;Dordrecht;1978;738
7274;Listed monuments total;Dordrecht;1979;738
7275;Listed monuments total;Dordrecht;1980;738
7276;Listed monuments total;Dordrecht;1981;738
7277;Listed monuments total;Dordrecht;1982;738
7278;Listed monuments total;Dordrecht;1983;738
7279;Listed monuments total;Dordrecht;1984;738
7280;Listed monuments total;Dordrecht;1985;738
7281;Listed monuments total;Dordrecht;1986;738
7282;Listed monuments total;Dordrecht;1987;738
7283;Listed monuments total;Dordrecht;1988;738
7284;Listed monuments total;Dordrecht;1989;738
7285;Listed monuments total;Dordrecht;1990;739
7286;Listed monuments total;Dordrecht;1991;739
7287;Listed monuments total;Dordrecht;1992;739
7288;Listed monuments total;Dordrecht;1993;739
7289;Listed monuments total;Dordrecht;1994;739
7290;Listed monuments total;Dordrecht;1995;739
7291;Listed monuments total;Dordrecht;1996;761
7292;Listed monuments total;Dordrecht;1997;761
7293;Listed monuments total;Dordrecht;1998;761
7294;Listed monuments total;Dordrecht;1999;761
7295;Listed monuments total;Dordrecht;2000;761
7296;Listed monuments total;Dordrecht;2001;872
7297;Listed monuments total;Dordrecht;2002;874
7298;Listed monuments total;Dordrecht;2003;875
7299;Listed monuments total;Dordrecht;2004;875
7300;Listed monuments total;Dordrecht;2005;875
7301;Listed monuments total;Dordrecht;2006;875
7302;Listed monuments total;Dordrecht;2007;879
7303;Listed monuments total;Dordrecht;2008;879
7304;Listed monuments total;Dordrecht;2009;879
7305;Listed monuments total;Dordrecht;2010;879
7306;Listed monuments total;Dordrecht;2011;879
7307;Listed monuments total;Dordrecht;2012;879
7308;Listed monuments total;Dordrecht;2013;879
7309;Listed monuments total;Dordrecht;2014;879
7310;Listed monuments total;Dordrecht;2015;879
7311;Listed monuments total;Dordrecht;2016;879
7312;Listed monuments total;Dordrecht;2017;879
7313;Listed monuments total;Dordrecht;2018;879
7314;Listed monuments total;Dordrecht;2019;879
7315;Listed monuments total;Drechterland;1965;0
7316;Listed monuments total;Drechterland;1966;0
7317;Listed monuments total;Drechterland;1967;0
7318;Listed monuments total;Drechterland;1968;0
7319;Listed monuments total;Drechterland;1969;0
7320;Listed monuments total;Drechterland;1970;0
7321;Listed monuments total;Drechterland;1971;7
7322;Listed monuments total;Drechterland;1972;13
7323;Listed monuments total;Drechterland;1973;14
7324;Listed monuments total;Drechterland;1974;39
7325;Listed monuments total;Drechterland;1975;40
7326;Listed monuments total;Drechterland;1976;40
7327;Listed monuments total;Drechterland;1977;41
7328;Listed monuments total;Drechterland;1978;43
7329;Listed monuments total;Drechterland;1979;43
7330;Listed monuments total;Drechterland;1980;43
7331;Listed monuments total;Drechterland;1981;43
7332;Listed monuments total;Drechterland;1982;43
7333;Listed monuments total;Drechterland;1983;43
7334;Listed monuments total;Drechterland;1984;43
7335;Listed monuments total;Drechterland;1985;43
7336;Listed monuments total;Drechterland;1986;43
7337;Listed monuments total;Drechterland;1987;43
7338;Listed monuments total;Drechterland;1988;43
7339;Listed monuments total;Drechterland;1989;43
7340;Listed monuments total;Drechterland;1990;43
7341;Listed monuments total;Drechterland;1991;43
7342;Listed monuments total;Drechterland;1992;43
7343;Listed monuments total;Drechterland;1993;43
7344;Listed monuments total;Drechterland;1994;43
7345;Listed monuments total;Drechterland;1995;43
7346;Listed monuments total;Drechterland;1996;52
7347;Listed monuments total;Drechterland;1997;52
7348;Listed monuments total;Drechterland;1998;61
7349;Listed monuments total;Drechterland;1999;61
7350;Listed monuments total;Drechterland;2000;61
7351;Listed monuments total;Drechterland;2001;61
7352;Listed monuments total;Drechterland;2002;61
7353;Listed monuments total;Drechterland;2003;61
7354;Listed monuments total;Drechterland;2004;61
7355;Listed monuments total;Drechterland;2005;61
7356;Listed monuments total;Drechterland;2006;61
7357;Listed monuments total;Drechterland;2007;61
7358;Listed monuments total;Drechterland;2008;61
7359;Listed monuments total;Drechterland;2009;61
7360;Listed monuments total;Drechterland;2010;61
7361;Listed monuments total;Drechterland;2011;61
7362;Listed monuments total;Drechterland;2012;61
7363;Listed monuments total;Drechterland;2013;61
7364;Listed monuments total;Drechterland;2014;61
7365;Listed monuments total;Drechterland;2015;61
7366;Listed monuments total;Drechterland;2016;61
7367;Listed monuments total;Drechterland;2017;61
7368;Listed monuments total;Drechterland;2018;61
7369;Listed monuments total;Drechterland;2019;61
7370;Listed monuments total;Drimmelen;1965;0
7371;Listed monuments total;Drimmelen;1966;0
7372;Listed monuments total;Drimmelen;1967;0
7373;Listed monuments total;Drimmelen;1968;12
7374;Listed monuments total;Drimmelen;1969;12
7375;Listed monuments total;Drimmelen;1970;19
7376;Listed monuments total;Drimmelen;1971;31
7377;Listed monuments total;Drimmelen;1972;32
7378;Listed monuments total;Drimmelen;1973;33
7379;Listed monuments total;Drimmelen;1974;33
7380;Listed monuments total;Drimmelen;1975;35
7381;Listed monuments total;Drimmelen;1976;35
7382;Listed monuments total;Drimmelen;1977;35
7383;Listed monuments total;Drimmelen;1978;35
7384;Listed monuments total;Drimmelen;1979;36
7385;Listed monuments total;Drimmelen;1980;36
7386;Listed monuments total;Drimmelen;1981;36
7387;Listed monuments total;Drimmelen;1982;36
7388;Listed monuments total;Drimmelen;1983;36
7389;Listed monuments total;Drimmelen;1984;37
7390;Listed monuments total;Drimmelen;1985;37
7391;Listed monuments total;Drimmelen;1986;37
7392;Listed monuments total;Drimmelen;1987;37
7393;Listed monuments total;Drimmelen;1988;37
7394;Listed monuments total;Drimmelen;1989;37
7395;Listed monuments total;Drimmelen;1990;37
7396;Listed monuments total;Drimmelen;1991;37
7397;Listed monuments total;Drimmelen;1992;37
7398;Listed monuments total;Drimmelen;1993;37
7399;Listed monuments total;Drimmelen;1994;37
7400;Listed monuments total;Drimmelen;1995;37
7401;Listed monuments total;Drimmelen;1996;37
7402;Listed monuments total;Drimmelen;1997;38
7403;Listed monuments total;Drimmelen;1998;38
7404;Listed monuments total;Drimmelen;1999;39
7405;Listed monuments total;Drimmelen;2000;39
7406;Listed monuments total;Drimmelen;2001;39
7407;Listed monuments total;Drimmelen;2002;52
7408;Listed monuments total;Drimmelen;2003;54
7409;Listed monuments total;Drimmelen;2004;55
7410;Listed monuments total;Drimmelen;2005;57
7411;Listed monuments total;Drimmelen;2006;58
7412;Listed monuments total;Drimmelen;2007;58
7413;Listed monuments total;Drimmelen;2008;58
7414;Listed monuments total;Drimmelen;2009;58
7415;Listed monuments total;Drimmelen;2010;58
7416;Listed monuments total;Drimmelen;2011;58
7417;Listed monuments total;Drimmelen;2012;58
7418;Listed monuments total;Drimmelen;2013;58
7419;Listed monuments total;Drimmelen;2014;58
7420;Listed monuments total;Drimmelen;2015;58
7421;Listed monuments total;Drimmelen;2016;58
7422;Listed monuments total;Drimmelen;2017;58
7423;Listed monuments total;Drimmelen;2018;58
7424;Listed monuments total;Drimmelen;2019;58
7425;Listed monuments total;Dronten;1965;0
7426;Listed monuments total;Dronten;1966;0
7427;Listed monuments total;Dronten;1967;0
7428;Listed monuments total;Dronten;1968;0
7429;Listed monuments total;Dronten;1969;0
7430;Listed monuments total;Dronten;1970;0
7431;Listed monuments total;Dronten;1971;0
7432;Listed monuments total;Dronten;1972;0
7433;Listed monuments total;Dronten;1973;0
7434;Listed monuments total;Dronten;1974;0
7435;Listed monuments total;Dronten;1975;0
7436;Listed monuments total;Dronten;1976;0
7437;Listed monuments total;Dronten;1977;0
7438;Listed monuments total;Dronten;1978;0
7439;Listed monuments total;Dronten;1979;0
7440;Listed monuments total;Dronten;1980;0
7441;Listed monuments total;Dronten;1981;0
7442;Listed monuments total;Dronten;1982;0
7443;Listed monuments total;Dronten;1983;0
7444;Listed monuments total;Dronten;1984;0
7445;Listed monuments total;Dronten;1985;0
7446;Listed monuments total;Dronten;1986;0
7447;Listed monuments total;Dronten;1987;0
7448;Listed monuments total;Dronten;1988;0
7449;Listed monuments total;Dronten;1989;0
7450;Listed monuments total;Dronten;1990;0
7451;Listed monuments total;Dronten;1991;0
7452;Listed monuments total;Dronten;1992;0
7453;Listed monuments total;Dronten;1993;0
7454;Listed monuments total;Dronten;1994;0
7455;Listed monuments total;Dronten;1995;0
7456;Listed monuments total;Dronten;1996;0
7457;Listed monuments total;Dronten;1997;0
7458;Listed monuments total;Dronten;1998;0
7459;Listed monuments total;Dronten;1999;0
7460;Listed monuments total;Dronten;2000;0
7461;Listed monuments total;Dronten;2001;0
7462;Listed monuments total;Dronten;2002;0
7463;Listed monuments total;Dronten;2003;0
7464;Listed monuments total;Dronten;2004;0
7465;Listed monuments total;Dronten;2005;0
7466;Listed monuments total;Dronten;2006;0
7467;Listed monuments total;Dronten;2007;0
7468;Listed monuments total;Dronten;2008;0
7469;Listed monuments total;Dronten;2009;0
7470;Listed monuments total;Dronten;2010;1
7471;Listed monuments total;Dronten;2011;1
7472;Listed monuments total;Dronten;2012;1
7473;Listed monuments total;Dronten;2013;1
7474;Listed monuments total;Dronten;2014;1
7475;Listed monuments total;Dronten;2015;1
7476;Listed monuments total;Dronten;2016;1
7477;Listed monuments total;Dronten;2017;3
7478;Listed monuments total;Dronten;2018;3
7479;Listed monuments total;Dronten;2019;3
7480;Listed monuments total;Druten;1965;0
7481;Listed monuments total;Druten;1966;0
7482;Listed monuments total;Druten;1967;0
7483;Listed monuments total;Druten;1968;0
7484;Listed monuments total;Druten;1969;0
7485;Listed monuments total;Druten;1970;0
