ID;BuildingPhases;Aspects;Periods;TotalBuildingCosts_1;BuildingCostsAlteration_2;BuildingCostsNewBuildings_3;Dwelling_4;Agriculture_5;ManufacturingAndConstructionIndustry_6;TradeHotelsAndRestaurants_7;TransportStorageAndCommunication_8;ProvisionOfBusinessServices_9;GovernmentAndPublicAdministration_10;Education_11;HealthAndSocialWork_12;OtherServiceActivities_13
8686;Orders received by contractors;Noord-Brabant;1999;2575.0;472.0;2103.0;1068.0;117.0;161.0;165.0;113.0;315.0;34.0;36.0;49.0;43.0
8687;Orders received by contractors;Noord-Brabant;2000 January;263.0;47.0;216.0;125.0;9.0;15.0;18.0;4.0;30.0;0.0;0.0;12.0;3.0
8688;Orders received by contractors;Noord-Brabant;2000 February;201.0;55.0;146.0;55.0;8.0;24.0;18.0;5.0;27.0;1.0;5.0;2.0;1.0
8689;Orders received by contractors;Noord-Brabant;2000 March;198.0;44.0;154.0;97.0;6.0;15.0;11.0;2.0;14.0;0.0;2.0;3.0;4.0
8690;Orders received by contractors;Noord-Brabant;2000 1st quarter;662.0;145.0;516.0;278.0;24.0;53.0;47.0;11.0;71.0;1.0;7.0;17.0;9.0
8691;Orders received by contractors;Noord-Brabant;2000 April;225.0;42.0;182.0;103.0;9.0;20.0;6.0;13.0;19.0;0.0;1.0;10.0;2.0
8692;Orders received by contractors;Noord-Brabant;2000 May;208.0;41.0;167.0;85.0;7.0;12.0;10.0;19.0;20.0;1.0;4.0;5.0;4.0
8693;Orders received by contractors;Noord-Brabant;2000 June;218.0;76.0;141.0;74.0;11.0;20.0;5.0;3.0;14.0;0.0;4.0;8.0;3.0
8694;Orders received by contractors;Noord-Brabant;2000 2nd quarter;650.0;159.0;491.0;262.0;28.0;51.0;21.0;35.0;52.0;2.0;9.0;23.0;8.0
8695;Orders received by contractors;Noord-Brabant;2000 July;211.0;70.0;141.0;78.0;14.0;10.0;7.0;9.0;8.0;4.0;1.0;4.0;7.0
8696;Orders received by contractors;Noord-Brabant;2000 August;263.0;67.0;196.0;81.0;7.0;13.0;23.0;4.0;55.0;2.0;7.0;3.0;2.0
8697;Orders received by contractors;Noord-Brabant;2000 September;243.0;49.0;194.0;78.0;9.0;11.0;18.0;12.0;31.0;0.0;22.0;10.0;3.0
8698;Orders received by contractors;Noord-Brabant;2000 3rd quarter;717.0;185.0;531.0;237.0;29.0;34.0;48.0;25.0;94.0;6.0;30.0;17.0;11.0
8699;Orders received by contractors;Noord-Brabant;2000 October;194.0;35.0;159.0;94.0;11.0;9.0;18.0;4.0;10.0;1.0;4.0;5.0;4.0
8700;Orders received by contractors;Noord-Brabant;2000 November;258.0;42.0;216.0;92.0;10.0;8.0;23.0;12.0;55.0;0.0;13.0;1.0;1.0
8701;Orders received by contractors;Noord-Brabant;2000 December;263.0;61.0;202.0;111.0;9.0;24.0;11.0;5.0;24.0;1.0;2.0;4.0;12.0
8702;Orders received by contractors;Noord-Brabant;2000 4th quarter;715.0;138.0;577.0;297.0;30.0;41.0;52.0;21.0;89.0;2.0;19.0;10.0;17.0
8703;Orders received by contractors;Noord-Brabant;2000;2744.0;628.0;2116.0;1073.0;110.0;179.0;168.0;92.0;306.0;11.0;65.0;66.0;45.0
8704;Orders received by contractors;Noord-Brabant;2001 January;193.0;56.0;137.0;49.0;6.0;8.0;11.0;4.0;10.0;1.0;0.0;5.0;43.0
8705;Orders received by contractors;Noord-Brabant;2001 February;211.0;48.0;164.0;84.0;10.0;17.0;6.0;6.0;14.0;1.0;24.0;2.0;1.0
8706;Orders received by contractors;Noord-Brabant;2001 March;213.0;47.0;166.0;83.0;10.0;19.0;16.0;4.0;26.0;4.0;1.0;1.0;3.0
8707;Orders received by contractors;Noord-Brabant;2001 1st quarter;617.0;150.0;467.0;216.0;26.0;44.0;34.0;14.0;49.0;6.0;25.0;7.0;48.0
8708;Orders received by contractors;Noord-Brabant;2001 April;251.0;57.0;194.0;92.0;7.0;13.0;4.0;4.0;43.0;6.0;4.0;9.0;13.0
8709;Orders received by contractors;Noord-Brabant;2001 May;186.0;45.0;141.0;58.0;12.0;19.0;16.0;12.0;18.0;1.0;1.0;4.0;1.0
8710;Orders received by contractors;Noord-Brabant;2001 June;238.0;52.0;186.0;81.0;9.0;21.0;21.0;15.0;21.0;7.0;5.0;1.0;5.0
8711;Orders received by contractors;Noord-Brabant;2001 2nd quarter;675.0;154.0;521.0;231.0;27.0;53.0;40.0;30.0;81.0;14.0;10.0;14.0;20.0
8712;Orders received by contractors;Noord-Brabant;2001 July;291.0;83.0;208.0;112.0;12.0;8.0;19.0;2.0;34.0;8.0;7.0;6.0;1.0
8713;Orders received by contractors;Noord-Brabant;2001 August;118.0;23.0;95.0;48.0;8.0;8.0;7.0;0.0;3.0;10.0;0.0;4.0;6.0
8714;Orders received by contractors;Noord-Brabant;2001 September;272.0;65.0;207.0;74.0;8.0;25.0;7.0;15.0;72.0;1.0;2.0;3.0;1.0
8715;Orders received by contractors;Noord-Brabant;2001 3rd quarter;681.0;171.0;511.0;234.0;28.0;42.0;33.0;17.0;109.0;19.0;9.0;13.0;8.0
8716;Orders received by contractors;Noord-Brabant;2001 October;302.0;77.0;225.0;108.0;14.0;19.0;18.0;21.0;33.0;3.0;2.0;5.0;3.0
8717;Orders received by contractors;Noord-Brabant;2001 November;290.0;60.0;230.0;145.0;9.0;30.0;12.0;5.0;15.0;1.0;4.0;5.0;6.0
8718;Orders received by contractors;Noord-Brabant;2001 December;316.0;68.0;248.0;123.0;13.0;15.0;19.0;7.0;37.0;23.0;2.0;8.0;3.0
8719;Orders received by contractors;Noord-Brabant;2001 4th quarter;908.0;205.0;704.0;376.0;35.0;64.0;50.0;32.0;85.0;26.0;7.0;18.0;11.0
8720;Orders received by contractors;Noord-Brabant;2001;2882.0;678.0;2203.0;1056.0;115.0;203.0;156.0;94.0;324.0;65.0;51.0;52.0;86.0
8721;Orders received by contractors;Noord-Brabant;2002 January;227.0;45.0;181.0;90.0;7.0;16.0;28.0;14.0;14.0;6.0;1.0;3.0;3.0
8722;Orders received by contractors;Noord-Brabant;2002 February;179.0;34.0;145.0;71.0;6.0;7.0;10.0;10.0;12.0;24.0;1.0;1.0;2.0
8723;Orders received by contractors;Noord-Brabant;2002 March;213.0;55.0;157.0;82.0;13.0;17.0;4.0;12.0;14.0;0.0;4.0;11.0;1.0
8724;Orders received by contractors;Noord-Brabant;2002 1st quarter;618.0;135.0;483.0;243.0;26.0;40.0;42.0;36.0;39.0;31.0;6.0;15.0;5.0
8725;Orders received by contractors;Noord-Brabant;2002 April;198.0;49.0;150.0;62.0;9.0;7.0;10.0;2.0;14.0;32.0;3.0;3.0;7.0
8726;Orders received by contractors;Noord-Brabant;2002 May;233.0;47.0;186.0;108.0;10.0;16.0;12.0;4.0;19.0;8.0;1.0;6.0;1.0
8727;Orders received by contractors;Noord-Brabant;2002 June;282.0;82.0;200.0;128.0;12.0;17.0;9.0;6.0;18.0;3.0;2.0;3.0;2.0
8728;Orders received by contractors;Noord-Brabant;2002 2nd quarter;713.0;177.0;536.0;299.0;31.0;40.0;31.0;13.0;51.0;44.0;5.0;12.0;11.0
8729;Orders received by contractors;Noord-Brabant;2002 July;294.0;81.0;213.0;125.0;10.0;11.0;28.0;3.0;19.0;4.0;4.0;6.0;2.0
8730;Orders received by contractors;Noord-Brabant;2002 August;260.0;71.0;190.0;112.0;10.0;7.0;12.0;3.0;27.0;1.0;6.0;6.0;5.0
8731;Orders received by contractors;Noord-Brabant;2002 September;208.0;54.0;154.0;94.0;9.0;17.0;7.0;4.0;13.0;2.0;2.0;4.0;3.0
8732;Orders received by contractors;Noord-Brabant;2002 3rd quarter;763.0;206.0;556.0;331.0;28.0;35.0;48.0;11.0;59.0;7.0;11.0;15.0;10.0
8733;Orders received by contractors;Noord-Brabant;2002 October;345.0;95.0;250.0;157.0;9.0;14.0;9.0;5.0;28.0;3.0;2.0;3.0;21.0
8734;Orders received by contractors;Noord-Brabant;2002 November;223.0;65.0;158.0;93.0;11.0;10.0;13.0;11.0;10.0;3.0;1.0;1.0;6.0
8735;Orders received by contractors;Noord-Brabant;2002 December;365.0;73.0;292.0;207.0;10.0;18.0;10.0;4.0;17.0;2.0;3.0;14.0;7.0
8736;Orders received by contractors;Noord-Brabant;2002 4th quarter;933.0;233.0;700.0;457.0;29.0;42.0;32.0;19.0;55.0;8.0;5.0;18.0;34.0
8737;Orders received by contractors;Noord-Brabant;2002;3027.0;751.0;2275.0;1330.0;115.0;157.0;154.0;78.0;204.0;90.0;28.0;60.0;60.0
8738;Orders received by contractors;Noord-Brabant;2003 January;78.0;26.0;52.0;24.0;5.0;9.0;1.0;3.0;1.0;0.0;0.0;8.0;0.0
8739;Orders received by contractors;Noord-Brabant;2003 February;153.0;47.0;105.0;61.0;3.0;7.0;9.0;1.0;10.0;1.0;11.0;2.0;1.0
8740;Orders received by contractors;Noord-Brabant;2003 March;253.0;37.0;217.0;154.0;6.0;19.0;10.0;5.0;4.0;0.0;2.0;14.0;3.0
8741;Orders received by contractors;Noord-Brabant;2003 1st quarter;484.0;110.0;374.0;239.0;14.0;34.0;20.0;9.0;15.0;2.0;14.0;24.0;3.0
8742;Orders received by contractors;Noord-Brabant;2003 April;248.0;36.0;212.0;138.0;9.0;18.0;2.0;7.0;17.0;1.0;0.0;10.0;10.0
8743;Orders received by contractors;Noord-Brabant;2003 May;171.0;26.0;145.0;107.0;7.0;6.0;2.0;3.0;8.0;0.0;2.0;10.0;1.0
8744;Orders received by contractors;Noord-Brabant;2003 June;280.0;77.0;203.0;129.0;14.0;15.0;21.0;0.0;9.0;0.0;1.0;6.0;8.0
8745;Orders received by contractors;Noord-Brabant;2003 2nd quarter;700.0;140.0;560.0;375.0;30.0;38.0;24.0;10.0;34.0;1.0;3.0;26.0;19.0
8746;Orders received by contractors;Noord-Brabant;2003 July;91.0;27.0;65.0;37.0;6.0;4.0;3.0;0.0;9.0;0.0;0.0;3.0;2.0
8747;Orders received by contractors;Noord-Brabant;2003 August;303.0;107.0;196.0;129.0;10.0;9.0;8.0;2.0;24.0;6.0;0.0;2.0;7.0
8748;Orders received by contractors;Noord-Brabant;2003 September;171.0;47.0;124.0;49.0;10.0;16.0;12.0;1.0;8.0;0.0;7.0;20.0;1.0
8749;Orders received by contractors;Noord-Brabant;2003 3rd quarter;566.0;181.0;385.0;215.0;26.0;30.0;23.0;2.0;42.0;6.0;7.0;25.0;10.0
8750;Orders received by contractors;Noord-Brabant;2003 October;213.0;62.0;151.0;92.0;9.0;12.0;5.0;1.0;6.0;0.0;8.0;11.0;7.0
8751;Orders received by contractors;Noord-Brabant;2003 November;199.0;46.0;153.0;107.0;10.0;5.0;2.0;10.0;10.0;0.0;4.0;4.0;1.0
8752;Orders received by contractors;Noord-Brabant;2003 December;368.0;58.0;310.0;168.0;21.0;22.0;24.0;8.0;10.0;10.0;38.0;4.0;4.0
8753;Orders received by contractors;Noord-Brabant;2003 4th quarter;779.0;165.0;614.0;367.0;40.0;40.0;31.0;19.0;26.0;10.0;50.0;19.0;11.0
8754;Orders received by contractors;Noord-Brabant;2003;2530.0;596.0;1933.0;1197.0;110.0;142.0;98.0;41.0;116.0;19.0;75.0;93.0;43.0
8755;Orders received by contractors;Noord-Brabant;2004 January;203.0;33.0;170.0;91.0;6.0;4.0;2.0;0.0;33.0;8.0;4.0;20.0;1.0
8756;Orders received by contractors;Noord-Brabant;2004 February;128.0;40.0;88.0;40.0;9.0;3.0;7.0;1.0;10.0;0.0;0.0;14.0;4.0
8757;Orders received by contractors;Noord-Brabant;2004 March;202.0;47.0;155.0;104.0;9.0;5.0;19.0;1.0;4.0;7.0;0.0;5.0;0.0
8758;Orders received by contractors;Noord-Brabant;2004 1st quarter;533.0;120.0;413.0;234.0;25.0;12.0;28.0;2.0;48.0;15.0;5.0;39.0;5.0
8759;Orders received by contractors;Noord-Brabant;2004 April;316.0;57.0;258.0;173.0;12.0;27.0;7.0;5.0;10.0;0.0;13.0;10.0;1.0
8760;Orders received by contractors;Noord-Brabant;2004 May;148.0;51.0;97.0;59.0;6.0;9.0;9.0;0.0;1.0;1.0;5.0;7.0;1.0
8761;Orders received by contractors;Noord-Brabant;2004 June;253.0;67.0;186.0;123.0;9.0;10.0;10.0;2.0;11.0;2.0;13.0;3.0;4.0
8762;Orders received by contractors;Noord-Brabant;2004 2nd quarter;716.0;175.0;541.0;355.0;27.0;46.0;26.0;7.0;21.0;3.0;30.0;20.0;6.0
8763;Orders received by contractors;Noord-Brabant;2004 July;208.0;49.0;159.0;102.0;10.0;3.0;5.0;0.0;18.0;0.0;0.0;19.0;0.0
8764;Orders received by contractors;Noord-Brabant;2004 August;231.0;62.0;169.0;106.0;5.0;5.0;9.0;4.0;9.0;2.0;5.0;20.0;4.0
8765;Orders received by contractors;Noord-Brabant;2004 September;186.0;32.0;154.0;81.0;4.0;5.0;26.0;20.0;5.0;2.0;4.0;1.0;6.0
8766;Orders received by contractors;Noord-Brabant;2004 3rd quarter;625.0;143.0;482.0;289.0;19.0;13.0;40.0;24.0;32.0;4.0;9.0;40.0;11.0
8767;Orders received by contractors;Noord-Brabant;2004 October;187.0;43.0;144.0;104.0;5.0;6.0;2.0;5.0;2.0;0.0;3.0;16.0;2.0
8768;Orders received by contractors;Noord-Brabant;2004 November;311.0;75.0;235.0;164.0;11.0;13.0;7.0;4.0;17.0;1.0;5.0;4.0;10.0
8769;Orders received by contractors;Noord-Brabant;2004 December;426.0;103.0;323.0;214.0;16.0;15.0;12.0;1.0;11.0;20.0;0.0;32.0;2.0
8770;Orders received by contractors;Noord-Brabant;2004 4th quarter;923.0;221.0;702.0;482.0;32.0;34.0;21.0;9.0;29.0;22.0;7.0;52.0;14.0
8771;Orders received by contractors;Noord-Brabant;2004;2798.0;660.0;2138.0;1360.0;102.0;104.0;116.0;43.0;130.0;44.0;52.0;151.0;37.0
8772;Orders received by contractors;Noord-Brabant;2005 January;173.0;55.0;118.0;79.0;4.0;10.0;1.0;1.0;4.0;6.0;2.0;10.0;1.0
8773;Orders received by contractors;Noord-Brabant;2005 February;178.0;31.0;148.0;111.0;6.0;4.0;10.0;1.0;4.0;1.0;4.0;7.0;0.0
8774;Orders received by contractors;Noord-Brabant;2005 March;245.0;72.0;173.0;98.0;15.0;4.0;27.0;0.0;5.0;0.0;9.0;14.0;2.0
8775;Orders received by contractors;Noord-Brabant;2005 1st quarter;597.0;158.0;439.0;288.0;25.0;19.0;37.0;2.0;12.0;7.0;14.0;32.0;3.0
8776;Orders received by contractors;Noord-Brabant;2005 April;177.0;37.0;140.0;100.0;12.0;5.0;10.0;1.0;6.0;0.0;4.0;1.0;1.0
8777;Orders received by contractors;Noord-Brabant;2005 May;240.0;61.0;180.0;87.0;11.0;4.0;2.0;0.0;12.0;6.0;30.0;24.0;2.0
8778;Orders received by contractors;Noord-Brabant;2005 June;287.0;91.0;196.0;160.0;12.0;5.0;9.0;1.0;2.0;0.0;0.0;3.0;4.0
8779;Orders received by contractors;Noord-Brabant;2005 2nd quarter;705.0;189.0;516.0;346.0;34.0;14.0;21.0;3.0;21.0;6.0;35.0;28.0;8.0
8780;Orders received by contractors;Noord-Brabant;2005 July;304.0;55.0;249.0;160.0;8.0;13.0;22.0;0.0;9.0;0.0;0.0;26.0;11.0
8781;Orders received by contractors;Noord-Brabant;2005 August;249.0;48.0;201.0;150.0;10.0;8.0;11.0;0.0;9.0;0.0;1.0;12.0;0.0
8782;Orders received by contractors;Noord-Brabant;2005 September;207.0;68.0;139.0;71.0;9.0;4.0;5.0;14.0;4.0;13.0;3.0;17.0;0.0
8783;Orders received by contractors;Noord-Brabant;2005 3rd quarter;760.0;171.0;589.0;381.0;26.0;25.0;38.0;14.0;22.0;14.0;4.0;55.0;11.0
8784;Orders received by contractors;Noord-Brabant;2005 October;303.0;58.0;245.0;169.0;14.0;9.0;6.0;0.0;10.0;2.0;21.0;11.0;3.0
8785;Orders received by contractors;Noord-Brabant;2005 November;498.0;55.0;443.0;313.0;11.0;6.0;41.0;5.0;15.0;4.0;18.0;16.0;13.0
8786;Orders received by contractors;Noord-Brabant;2005 December;349.0;58.0;291.0;179.0;15.0;31.0;1.0;8.0;18.0;8.0;4.0;21.0;5.0
8787;Orders received by contractors;Noord-Brabant;2005 4th quarter;1150.0;172.0;978.0;662.0;41.0;46.0;48.0;14.0;43.0;13.0;43.0;48.0;21.0
8788;Orders received by contractors;Noord-Brabant;2005;3211.0;690.0;2522.0;1676.0;126.0;103.0;145.0;32.0;98.0;39.0;95.0;163.0;43.0
8789;Orders received by contractors;Noord-Brabant;2006 January;218.0;40.0;178.0;78.0;8.0;34.0;2.0;0.0;5.0;19.0;2.0;27.0;3.0
8790;Orders received by contractors;Noord-Brabant;2006 February;156.0;32.0;125.0;98.0;9.0;5.0;0.0;0.0;9.0;0.0;1.0;0.0;1.0
8791;Orders received by contractors;Noord-Brabant;2006 March;311.0;68.0;243.0;151.0;12.0;6.0;23.0;6.0;8.0;25.0;6.0;1.0;4.0
8792;Orders received by contractors;Noord-Brabant;2006 1st quarter;685.0;139.0;546.0;327.0;28.0;46.0;26.0;6.0;23.0;44.0;10.0;28.0;8.0
8793;Orders received by contractors;Noord-Brabant;2006 April;205.0;52.0;153.0;108.0;7.0;11.0;10.0;7.0;3.0;1.0;0.0;0.0;6.0
8794;Orders received by contractors;Noord-Brabant;2006 May;241.0;70.0;170.0;138.0;3.0;8.0;2.0;5.0;5.0;4.0;1.0;3.0;1.0
8795;Orders received by contractors;Noord-Brabant;2006 June;243.0;72.0;171.0;116.0;8.0;7.0;5.0;0.0;3.0;4.0;6.0;20.0;2.0
8796;Orders received by contractors;Noord-Brabant;2006 2nd quarter;689.0;195.0;494.0;362.0;18.0;26.0;17.0;13.0;10.0;8.0;7.0;23.0;10.0
8797;Orders received by contractors;Noord-Brabant;2006 July;239.0;63.0;176.0;105.0;6.0;11.0;6.0;1.0;27.0;13.0;2.0;2.0;4.0
8798;Orders received by contractors;Noord-Brabant;2006 August;440.0;118.0;323.0;200.0;17.0;25.0;17.0;10.0;6.0;0.0;1.0;7.0;39.0
8799;Orders received by contractors;Noord-Brabant;2006 September;258.0;39.0;219.0;119.0;18.0;15.0;8.0;14.0;21.0;0.0;4.0;12.0;10.0
8800;Orders received by contractors;Noord-Brabant;2006 3rd quarter;938.0;220.0;718.0;423.0;41.0;50.0;30.0;25.0;55.0;13.0;7.0;21.0;53.0
8801;Orders received by contractors;Noord-Brabant;2006 October;408.0;55.0;353.0;123.0;13.0;17.0;7.0;17.0;19.0;1.0;7.0;147.0;3.0
8802;Orders received by contractors;Noord-Brabant;2006 November;348.0;77.0;272.0;205.0;13.0;15.0;15.0;4.0;4.0;6.0;3.0;3.0;4.0
8803;Orders received by contractors;Noord-Brabant;2006 December;289.0;55.0;234.0;153.0;17.0;14.0;7.0;1.0;6.0;1.0;2.0;27.0;8.0
8804;Orders received by contractors;Noord-Brabant;2006 4th quarter;1046.0;187.0;859.0;480.0;43.0;47.0;28.0;22.0;28.0;8.0;12.0;177.0;15.0
8805;Orders received by contractors;Noord-Brabant;2006;3358.0;741.0;2616.0;1592.0;130.0;168.0;101.0;66.0;116.0;72.0;36.0;249.0;86.0
8806;Orders received by contractors;Noord-Brabant;2007 January;370.0;70.0;300.0;218.0;13.0;21.0;21.0;10.0;4.0;0.0;10.0;4.0;0.0
8807;Orders received by contractors;Noord-Brabant;2007 February;254.0;48.0;206.0;136.0;17.0;12.0;3.0;4.0;4.0;0.0;0.0;27.0;3.0
8808;Orders received by contractors;Noord-Brabant;2007 March;245.0;50.0;195.0;112.0;9.0;9.0;10.0;1.0;6.0;10.0;6.0;27.0;3.0
8809;Orders received by contractors;Noord-Brabant;2007 1st quarter;869.0;168.0;700.0;466.0;39.0;42.0;34.0;15.0;14.0;11.0;16.0;58.0;7.0
8810;Orders received by contractors;Noord-Brabant;2007 April;290.0;34.0;256.0;120.0;10.0;24.0;8.0;20.0;6.0;3.0;15.0;33.0;17.0
8811;Orders received by contractors;Noord-Brabant;2007 May;232.0;60.0;172.0;128.0;16.0;10.0;2.0;0.0;16.0;0.0;0.0;0.0;0.0
8812;Orders received by contractors;Noord-Brabant;2007 June;379.0;88.0;291.0;143.0;10.0;20.0;9.0;8.0;14.0;12.0;4.0;70.0;1.0
8813;Orders received by contractors;Noord-Brabant;2007 2nd quarter;902.0;183.0;719.0;391.0;36.0;53.0;19.0;28.0;36.0;15.0;20.0;104.0;18.0
8814;Orders received by contractors;Noord-Brabant;2007 July;299.0;47.0;252.0;169.0;12.0;26.0;5.0;1.0;15.0;0.0;1.0;24.0;0.0
8815;Orders received by contractors;Noord-Brabant;2007 August;267.0;72.0;194.0;111.0;16.0;16.0;30.0;4.0;6.0;0.0;6.0;1.0;3.0
8816;Orders received by contractors;Noord-Brabant;2007 September;372.0;51.0;322.0;206.0;11.0;22.0;12.0;8.0;12.0;2.0;4.0;38.0;5.0
8817;Orders received by contractors;Noord-Brabant;2007 3rd quarter;938.0;170.0;768.0;487.0;39.0;64.0;48.0;13.0;34.0;2.0;11.0;63.0;8.0
8818;Orders received by contractors;Noord-Brabant;2007 October;292.0;41.0;251.0;183.0;15.0;17.0;6.0;2.0;7.0;6.0;5.0;8.0;3.0
8819;Orders received by contractors;Noord-Brabant;2007 November;432.0;66.0;366.0;261.0;37.0;14.0;13.0;2.0;9.0;4.0;17.0;9.0;0.0
8820;Orders received by contractors;Noord-Brabant;2007 December;455.0;98.0;357.0;264.0;10.0;17.0;3.0;6.0;26.0;16.0;7.0;0.0;7.0
8821;Orders received by contractors;Noord-Brabant;2007 4th quarter;1178.0;205.0;973.0;708.0;62.0;48.0;21.0;9.0;42.0;26.0;29.0;17.0;10.0
8822;Orders received by contractors;Noord-Brabant;2007;3887.0;726.0;3161.0;2051.0;176.0;206.0;122.0;65.0;126.0;54.0;76.0;242.0;43.0
8823;Orders received by contractors;Noord-Brabant;2008 January;258.0;55.0;204.0;129.0;11.0;28.0;16.0;4.0;10.0;0.0;1.0;5.0;0.0
8824;Orders received by contractors;Noord-Brabant;2008 February;198.0;42.0;156.0;90.0;16.0;9.0;1.0;8.0;9.0;0.0;0.0;21.0;2.0
8825;Orders received by contractors;Noord-Brabant;2008 March;239.0;73.0;166.0;101.0;14.0;21.0;6.0;5.0;13.0;0.0;1.0;3.0;1.0
8826;Orders received by contractors;Noord-Brabant;2008 1st quarter;695.0;170.0;526.0;319.0;41.0;58.0;23.0;17.0;32.0;0.0;2.0;29.0;3.0
8827;Orders received by contractors;Noord-Brabant;2008 April;368.0;47.0;320.0;180.0;14.0;48.0;32.0;23.0;15.0;0.0;2.0;4.0;2.0
8828;Orders received by contractors;Noord-Brabant;2008 May;311.0;50.0;261.0;129.0;10.0;38.0;25.0;40.0;13.0;0.0;0.0;5.0;1.0
8829;Orders received by contractors;Noord-Brabant;2008 June;213.0;53.0;160.0;105.0;13.0;5.0;4.0;20.0;5.0;2.0;0.0;3.0;4.0
8830;Orders received by contractors;Noord-Brabant;2008 2nd quarter;892.0;150.0;742.0;414.0;38.0;91.0;61.0;83.0;33.0;2.0;2.0;11.0;7.0
8831;Orders received by contractors;Noord-Brabant;2008 July;440.0;59.0;381.0;151.0;37.0;16.0;7.0;102.0;20.0;10.0;10.0;26.0;2.0
8832;Orders received by contractors;Noord-Brabant;2008 August;333.0;55.0;278.0;171.0;11.0;22.0;4.0;4.0;16.0;7.0;8.0;23.0;13.0
8833;Orders received by contractors;Noord-Brabant;2008 September;473.0;73.0;399.0;244.0;26.0;35.0;11.0;28.0;7.0;7.0;2.0;30.0;10.0
8834;Orders received by contractors;Noord-Brabant;2008 3rd quarter;1246.0;188.0;1058.0;566.0;75.0;73.0;22.0;134.0;43.0;24.0;20.0;78.0;25.0
8835;Orders received by contractors;Noord-Brabant;2008 October;427.0;80.0;347.0;183.0;14.0;21.0;16.0;22.0;16.0;0.0;3.0;31.0;39.0
8836;Orders received by contractors;Noord-Brabant;2008 November;434.0;53.0;381.0;191.0;11.0;44.0;22.0;25.0;22.0;7.0;2.0;24.0;33.0
8837;Orders received by contractors;Noord-Brabant;2008 December;514.0;81.0;432.0;331.0;14.0;15.0;9.0;8.0;24.0;0.0;15.0;4.0;12.0
8838;Orders received by contractors;Noord-Brabant;2008 4th quarter;1375.0;215.0;1160.0;705.0;40.0;80.0;47.0;55.0;63.0;7.0;20.0;59.0;84.0
8839;Orders received by contractors;Noord-Brabant;2008;4208.0;722.0;3486.0;2005.0;193.0;302.0;153.0;289.0;171.0;33.0;43.0;178.0;118.0
8840;Orders received by contractors;Noord-Brabant;2009 January;167.0;30.0;137.0;47.0;16.0;10.0;22.0;21.0;17.0;0.0;0.0;2.0;1.0
8841;Orders received by contractors;Noord-Brabant;2009 February;212.0;43.0;168.0;97.0;7.0;10.0;12.0;10.0;3.0;5.0;10.0;15.0;1.0
8842;Orders received by contractors;Noord-Brabant;2009 March;305.0;42.0;263.0;197.0;20.0;12.0;10.0;9.0;6.0;0.0;2.0;3.0;4.0
8843;Orders received by contractors;Noord-Brabant;2009 1st quarter;684.0;116.0;568.0;342.0;42.0;32.0;44.0;40.0;26.0;5.0;12.0;19.0;7.0
8844;Orders received by contractors;Noord-Brabant;2009 April;274.0;49.0;225.0;97.0;19.0;35.0;25.0;7.0;7.0;2.0;9.0;23.0;1.0
8845;Orders received by contractors;Noord-Brabant;2009 May;233.0;40.0;194.0;135.0;12.0;9.0;14.0;1.0;6.0;0.0;6.0;7.0;1.0
8846;Orders received by contractors;Noord-Brabant;2009 June;256.0;49.0;206.0;114.0;17.0;37.0;2.0;0.0;8.0;3.0;16.0;7.0;2.0
8847;Orders received by contractors;Noord-Brabant;2009 2nd quarter;763.0;138.0;625.0;346.0;48.0;81.0;41.0;8.0;22.0;5.0;32.0;37.0;5.0
8848;Orders received by contractors;Noord-Brabant;2009 July;331.0;59.0;272.0;191.0;22.0;17.0;8.0;0.0;7.0;4.0;14.0;7.0;2.0
8849;Orders received by contractors;Noord-Brabant;2009 August;215.0;35.0;180.0;74.0;11.0;1.0;24.0;0.0;12.0;1.0;20.0;37.0;1.0
8850;Orders received by contractors;Noord-Brabant;2009 September;311.0;82.0;228.0;136.0;24.0;22.0;10.0;2.0;6.0;1.0;3.0;19.0;6.0
8851;Orders received by contractors;Noord-Brabant;2009 3rd quarter;857.0;176.0;681.0;400.0;57.0;40.0;42.0;3.0;25.0;6.0;37.0;62.0;8.0
8852;Orders received by contractors;Noord-Brabant;2009 October;282.0;58.0;224.0;133.0;28.0;16.0;7.0;0.0;6.0;2.0;9.0;9.0;15.0
8853;Orders received by contractors;Noord-Brabant;2009 November;245.0;54.0;191.0;133.0;13.0;6.0;2.0;11.0;7.0;2.0;6.0;7.0;4.0
8854;Orders received by contractors;Noord-Brabant;2009 December;367.0;68.0;298.0;212.0;12.0;30.0;10.0;0.0;13.0;0.0;2.0;3.0;18.0
8855;Orders received by contractors;Noord-Brabant;2009 4th quarter;894.0;181.0;713.0;477.0;53.0;52.0;19.0;11.0;26.0;4.0;17.0;19.0;37.0
8856;Orders received by contractors;Noord-Brabant;2009;3199.0;611.0;2587.0;1565.0;200.0;205.0;145.0;61.0;98.0;20.0;98.0;138.0;56.0
8857;Orders received by contractors;Noord-Brabant;2010 January;131.0;40.0;91.0;62.0;9.0;4.0;0.0;0.0;4.0;8.0;0.0;0.0;3.0
8858;Orders received by contractors;Noord-Brabant;2010 February;111.0;34.0;77.0;38.0;5.0;0.0;3.0;11.0;1.0;0.0;0.0;1.0;19.0
8859;Orders received by contractors;Noord-Brabant;2010 March;298.0;94.0;204.0;96.0;13.0;3.0;4.0;2.0;3.0;0.0;4.0;76.0;4.0
