ID;RegioS;Kiesgerechtigden_1;Opkomstpercentage_2;TotaalStemmen_3;GeldigeStemmen_4;OngeldigeStemmen_5;AmsterdamAnders_6;CDA_7;CU_8;CUSGP_9;D66_10;DeGroenen_11;DeGroenenNoordHollandAnders_12;DemocratischPlatformNederland_13;DrenthsBelangDOP_14;FNP_15;GemeentebelangenFrieslandGF_16;GL_17;LeefbaarBrabantBOF_18;LeefbaarFlevoland_19;LeefbaarGelderlandDeGroenen_20;LeefbaarNoordHolland_21;LeefbaarProvincialePartijLPP_22;LeefbaarProvincieUtrecht_23;LeefbaarZuidHolland_24;LijstHolsteijn_25;LijstNieuwePolitiekLNP_26;LijstVeldhoen_27;LPF_28;MOOIZUIDHOLLANDDeGroenen_29;NederlandseVolksUnieNVU_30;NieuweCommunistischePartijNCPN_31;NieuweToekomstPartijNTP_32;NSap_33;OnafhankelijkePartijDrenthe_34;OuderenpartijNHVSP_35;PartijNieuwLimburgPNL_36;PartijVoorHetNoorden_37;PARTIJVOORZEELANDPVZ_38;PolitiekePartijAlianza_39;PvdA_40;SGP_41;SP_42;VERENIGDESENIORENPARTIJ_43;VIPVooruitstrevendeIntegratiePartij_44;VVD_45;AmsterdamAnders_46;CDA_47;CU_48;CUSGP_49;D66_50;DeGroenen_51;DeGroenenNoordHollandAnders_52;DemocratischPlatformNederland_53;DrenthsBelangDOP_54;FNP_55;GemeentebelangenFrieslandGF_56;GL_57;LeefbaarBrabantBOF_58;LeefbaarFlevoland_59;LeefbaarGelderlandDeGroenen_60;LeefbaarNoordHolland_61;LeefbaarProvincialePartijLPP_62;LeefbaarProvincieUtrecht_63;LeefbaarZuidHolland_64;LijstHolsteijn_65;LijstNieuwePolitiekLNP_66;LijstVeldhoen_67;LPF_68;MOOIZUIDHOLLANDDeGroenen_69;NederlandseVolksUnieNVU_70;NieuweCommunistischePartijNCPN_71;NieuweToekomstPartijNTP_72;NSap_73;OnafhankelijkePartijDrenthe_74;OuderenpartijNHVSP_75;PartijNieuwLimburgPNL_76;PartijVoorHetNoorden_77;PARTIJVOORZEELANDPVZ_78;PolitiekePartijAlianza_79;PvdA_80;SGP_81;SP_82;VERENIGDESENIORENPARTIJ_83;VIPVooruitstrevendeIntegratiePartij_84;VVD_85;Gemeente_86;Landsdeel_87;Provincie_88;COROPGebied_89;Kamerkieskring_90;Stadsgewest_91;GrootstedelijkeAgglomeratie_92
199;Houten;28844;51.5;14867;14856;11;;3641;890.0;;1065;26.0;;;;;;1452;;;;;;103.0;;;;;276;;;;;;;;;;;;3117;546.0;741.0;;;2999;;24.5;6.0;;7.2;0.2;;;;;;9.8;;;;;;0.7;;;;;1.9;;;;;;;;;;;;21.0;3.7;5.0;;;20.2;0321;3;26;17;08;09;00
200;Huizen;30857;52.2;16095;16079;16;19.0;3783;;1631.0;904;;43.0;;;;;1046;;;;59.0;87.0;;;;;;305;;;5.0;18.0;;;271.0;;;;;3039;;625.0;;;4244;0.1;23.5;;10.1;5.6;;0.3;;;;;6.5;;;;0.4;0.5;;;;;;1.9;;;0.0;0.1;;;1.7;;;;;18.9;;3.9;;;26.4;0406;3;27;24;10;00;00
201;Hulst;19977;42.7;8523;8509;14;;2977;52.0;;161;;;;;;;236;;;;;;;;;;;226;;;;;;;;;;1634.0;;1885;35.0;332.0;;;971;;35.0;0.6;;1.9;;;;;;;2.8;;;;;;;;;;;2.7;;;;;;;;;;19.2;;22.2;0.4;3.9;;;11.4;0677;3;29;31;16;00;00
202;Hummelo en Keppel;3529;63.9;2256;2256;0;;770;15.0;;111;;;;;;;72;;;21.0;;;;;;;;40;;2.0;;;;;;;;;;555;13.0;83.0;;;574;;34.1;0.7;;4.9;;;;;;;3.2;;;0.9;;;;;;;;1.8;;0.1;;;;;;;;;;24.6;0.6;3.7;;;25.4;0256;2;25;14;07;00;00
203;Hunsel;4542;51.7;2348;2345;3;;1482;;;32;;;;;;;78;;;;;;;;;;;51;;;;;;;;29.0;;;;301;;88.0;;;284;;63.2;;;1.4;;;;;;;3.3;;;;;;;;;;;2.2;;;;;;;;1.2;;;;12.8;;3.8;;;12.1;0925;4;31;38;19;00;00
204;IJsselstein;23914;43.4;10368;10365;3;;2678;283.0;;598;36.0;;;;;;643;;;;;;103.0;;;;;313;;;;;;;;;;;;2399;261.0;499.0;;;2552;;25.8;2.7;;5.8;0.3;;;;;;6.2;;;;;;1.0;;;;;3.0;;;;;;;;;;;;23.1;2.5;4.8;;;24.6;0353;3;26;17;08;09;09
205;Jacobswoude;8071;53.4;4308;4308;0;;1731;57.0;;185;;;;;;;207;;;;;;;25.0;1.0;3.0;0.0;121;30.0;;;1.0;0.0;;;;;;0.0;611;56.0;154.0;11.0;0.0;1115;;40.2;1.3;;4.3;;;;;;;4.8;;;;;;;0.6;0.0;0.1;0.0;2.8;0.7;;;0.0;0.0;;;;;;0.0;14.2;1.3;3.6;0.3;0.0;25.9;0645;3;28;28;15;00;00
206;Kampen;35515;57.4;20392;20381;11;;6727;3610.0;;353;;;;;;;953;;;;;;;;;;;317;;;;;;;;;;;;3303;2539.0;676.0;;;1903;;33.0;17.7;;1.7;;;;;;;4.7;;;;;;;;;;;1.6;;;;;;;;;;;;16.2;12.5;3.3;;;9.3;0166;2;23;10;04;00;00
207;Kapelle;8564;60.4;5176;5172;4;;1679;288.0;;126;;;;;;;322;;;;;;;;;;;126;;;;;;;;;;300.0;;828;709.0;108.0;;;686;;32.5;5.6;;2.4;;;;;;;6.2;;;;;;;;;;;2.4;;;;;;;;;;5.8;;16.0;13.7;2.1;;;13.3;0678;3;29;32;16;00;00
208;Katwijk;30622;49.5;15157;15147;10;;5581;1382.0;;200;;;;;;;382;;;;;;;144.0;0.0;12.0;2.0;342;34.0;;;6.0;0.0;;;;;;1.0;1344;2823.0;314.0;34.0;0.0;2546;;36.8;9.1;;1.3;;;;;;;2.5;;;;;;;1.0;0.0;0.1;0.0;2.3;0.2;;;0.0;0.0;;;;;;0.0;8.9;18.6;2.1;0.2;0.0;16.8;0537;3;28;25;15;12;12
209;Kerkrade;36576;37.2;13619;13595;24;;4988;;;194;;;;;;;829;;;;;;;;;;;397;;;;;;;;439.0;;;;4310;;1073.0;;;1365;;36.7;;;1.4;;;;;;;6.1;;;;;;;;;;;2.9;;;;;;;;3.2;;;;31.7;;7.9;;;10.0;0928;4;31;39;19;21;21
210;Kessel;3189;53.5;1707;1705;2;;1095;;;23;;;;;;;36;;;;;;;;;;;27;;;;;;;;29.0;;;;211;;29.0;;;255;;64.2;;;1.3;;;;;;;2.1;;;;;;;;;;;1.6;;;;;;;;1.7;;;;12.4;;1.7;;;15.0;0929;4;31;37;19;00;00
211;Kesteren;15670;60.2;9432;9429;3;;2007;486.0;;158;;;;;;;162;;;50.0;;;;;;;;160;;14.0;;;;;;;;;;2069;3015.0;177.0;;;1131;;21.3;5.2;;1.7;;;;;;;1.7;;;0.5;;;;;;;;1.7;;0.1;;;;;;;;;;21.9;32.0;1.9;;;12.0;0258;2;25;16;06;00;00
212;Kollumerland c.a.;9960;59.7;5950;5941;9;;2343;;545.0;55;;;;;1315.0;41.0;148;;;;;;;;;;;79;;;7.0;;;;;;;;;857;;167.0;;;384;;39.4;;9.2;0.9;;;;;22.1;0.7;2.5;;;;;;;;;;;1.3;;;0.1;;;;;;;;;14.4;;2.8;;;6.5;0079;1;21;04;02;00;00
213;Korendijk;8165;55.0;4487;4482;5;;1004;156.0;;126;;;1.0;;;;176;;;;;;;58.0;2.0;5.0;1.0;162;18.0;;;3.0;0.0;;;;;;1.0;714;1088.0;129.0;1.0;0.0;837;;22.4;3.5;;2.8;;;0.0;;;;3.9;;;;;;;1.3;0.0;0.1;0.0;3.6;0.4;;;0.1;0.0;;;;;;0.0;15.9;24.3;2.9;0.0;0.0;18.7;0588;3;28;29;14;00;00
214;Krimpen aan den IJssel;21878;54.4;11902;11892;10;;2227;848.0;;426;;;;;;;456;;;;;;;94.0;3.0;8.0;0.0;510;36.0;;;2.0;0.0;;;;;;5.0;2640;2159.0;328.0;33.0;0.0;2117;;18.7;7.1;;3.6;;;;;;;3.8;;;;;;;0.8;0.0;0.1;0.0;4.3;0.3;;;0.0;0.0;;;;;;0.0;22.2;18.2;2.8;0.3;0.0;17.8;0542;3;28;29;15;14;14
215;Laarbeek;16290;46.0;7495;7483;12;;3337;;11.0;226;;;;;;;267;210.0;;;;;;;;9.0;;207;;;;;;;;;;;;1456;;473.0;80.0;;1207;;44.6;;0.1;3.0;;;;;;;3.6;2.8;;;;;;;;0.1;;2.8;;;;;;;;;;;;19.5;;6.3;1.1;;16.1;1659;4;30;36;18;00;00
216;Landerd;10963;49.9;5474;5470;4;;2828;;4.0;123;;;;;;;132;58.0;;;;;;;;2.0;;95;;;;;;;;;;;;883;;469.0;10.0;;866;;51.7;;0.1;2.2;;;;;;;2.4;1.1;;;;;;;;0.0;;1.7;;;;;;;;;;;;16.1;;8.6;0.2;;15.8;1685;4;30;35;18;00;00
217;Landgraaf;30600;40.0;12241;12230;11;;4829;;;357;;;;;;;976;;;;;;;;;;;274;;;;;;;;343.0;;;;3043;;1118.0;;;1290;;39.5;;;2.9;;;;;;;8.0;;;;;;;;;;;2.2;;;;;;;;2.8;;;;24.9;;9.1;;;10.5;0882;4;31;39;19;21;21
218;Landsmeer;7907;52.6;4163;4160;3;9.0;562;;34.0;293;;20.0;;;;;329;;;;33.0;22.0;;;;;;155;;;5.0;7.0;;;32.0;;;;;1330;;239.0;;;1090;0.2;13.5;;0.8;7.0;;0.5;;;;;7.9;;;;0.8;0.5;;;;;;3.7;;;0.1;0.2;;;0.8;;;;;32.0;;5.7;;;26.2;0415;3;27;23;11;10;10
219;Langedijk;18365;50.1;9209;9203;6;3.0;2706;;348.0;510;;43.0;;;;;756;;;;70.0;31.0;;;;;;225;;;13.0;17.0;;;84.0;;;;;1907;;380.0;;;2110;0.0;29.4;;3.8;5.5;;0.5;;;;;8.2;;;;0.8;0.3;;;;;;2.4;;;0.1;0.2;;;0.9;;;;;20.7;;4.1;;;22.9;0416;3;27;19;11;00;00
220;Laren;8597;58.8;5054;5051;3;1.0;1161;;20.0;295;;17.0;;;;;255;;;;9.0;11.0;;;;;;100;;;0.0;2.0;;;41.0;;;;;815;;170.0;;;2154;0.0;23.0;;0.4;5.8;;0.3;;;;;5.0;;;;0.2;0.2;;;;;;2.0;;;0.0;0.0;;;0.8;;;;;16.1;;3.4;;;42.6;0417;3;27;24;10;00;00
221;Leek;14196;59.4;8439;8434;5;;2165;952.0;;254;;;;;;;541;;;;;;;;;;;137;;;15.0;;;;;;182.0;;;2527;;361.0;;;1300;;25.7;11.3;;3.0;;;;;;;6.4;;;;;;;;;;;1.6;;;0.2;;;;;;2.2;;;30.0;;4.3;;;15.4;0022;1;20;03;01;01;00
222;Leerdam;15285;46.8;7151;7147;4;;2037;546.0;;175;;;2.0;;;;225;;;;;;;35.0;0.0;10.0;0.0;218;17.0;;;2.0;1.0;;;;;;32.0;1555;798.0;258.0;11.0;0.0;1225;;28.5;7.6;;2.4;;;0.0;;;;3.1;;;;;;;0.5;0.0;0.1;0.0;3.1;0.2;;;0.0;0.0;;;;;;0.4;21.8;11.2;3.6;0.2;0.0;17.1;0545;3;28;30;14;00;00
223;Leersum;5544;59.3;3287;3282;5;;842;81.0;;152;6.0;;;;;;268;;;;;;16.0;;;;;105;;;;;;;;;;;;582;209.0;71.0;;;950;;25.7;2.5;;4.6;0.2;;;;;;8.2;;;;;;0.5;;;;;3.2;;;;;;;;;;;;17.7;6.4;2.2;;;28.9;0326;3;26;17;08;00;00
224;Leeuwarden;70960;49.5;35150;35118;32;;6483;;1442.0;1604;;;;;2477.0;414.0;3173;;;;;;;;;;;764;;;62.0;;;;;;;;;11664;;3174.0;;;3861;;18.5;;4.1;4.6;;;;;7.1;1.2;9.0;;;;;;;;;;;2.2;;;0.2;;;;;;;;;33.2;;9.0;;;11.0;0080;1;21;04;02;02;02
225;Leeuwarderadeel;7801;67.9;5295;5287;8;;1129;;159.0;98;;;;;821.0;718.0;266;;;;;;;;;;;63;;;3.0;;;;;;;;;1345;;225.0;;;460;;21.4;;3.0;1.9;;;;;15.5;13.6;5.0;;;;;;;;;;;1.2;;;0.1;;;;;;;;;25.4;;4.3;;;8.7;0081;1;21;04;02;02;00
226;Leiden;88410;52.2;46176;46044;132;;5941;814.0;;4313;;;;;;;6752;;;;;;;322.0;8.0;42.0;4.0;1160;371.0;;;7.0;2.0;;;;;;13.0;13312;233.0;3830.0;204.0;9.0;8707;;12.9;1.8;;9.4;;;;;;;14.7;;;;;;;0.7;0.0;0.1;0.0;2.5;0.8;;;0.0;0.0;;;;;;0.0;28.9;0.5;8.3;0.4;0.0;18.9;0546;3;28;25;15;12;12
227;Leiderdorp;19489;52.2;10168;10159;9;;2296;157.0;;703;;;;;;;890;;;;;;;55.0;0.0;9.0;1.0;307;60.0;;;4.0;0.0;;;;;;3.0;2214;149.0;515.0;66.0;0.0;2730;;22.6;1.5;;6.9;;;;;;;8.8;;;;;;;0.5;0.0;0.1;0.0;3.0;0.6;;;0.0;0.0;;;;;;0.0;21.8;1.5;5.1;0.6;0.0;26.9;0547;3;28;25;15;12;12
228;Leidschendam-Voorburg;56112;50.7;28427;28383;44;;7600;406.0;;1720;;;;;;;1720;;;;;;;288.0;0.0;14.0;4.0;1165;98.0;;;31.0;3.0;;;;;;27.0;5469;121.0;1574.0;143.0;7.0;7993;;26.8;1.4;;6.1;;;;;;;6.1;;;;;;;1.0;0.0;0.0;0.0;4.1;0.3;;;0.1;0.0;;;;;;0.1;19.3;0.4;5.5;0.5;0.0;28.2;1916;3;28;26;15;13;13
229;Lelystad;50025;42.5;21242;21213;29;;3342;1030.0;;1046;;;;;;;1897;;299.0;;;;;;;56.0;;1007;;;;;;;;;;;;5974;151.0;1397.0;184.0;;4830;;15.8;4.9;;4.9;;;;;;;8.9;;1.4;;;;;;;0.3;;4.7;;;;;;;;;;;;28.2;0.7;6.6;0.9;;22.8;0995;2;24;40;05;00;00
230;Lemsterland;9806;54.2;5310;5304;6;;1484;;250.0;147;;;;;342.0;176.0;163;;;;;;;;;;;121;;;412.0;;;;;;;;;1244;;163.0;;;802;;28.0;;4.7;2.8;;;;;6.4;3.3;3.1;;;;;;;;;;;2.3;;;7.8;;;;;;;;;23.5;;3.1;;;15.1;0082;1;21;05;02;00;00
231;Leusden;21317;56.8;12112;12108;4;;3401;783.0;;774;24.0;;;;;;880;;;;;;67.0;;;;;217;;;;;;;;;;;;2282;231.0;447.0;;;3002;;28.1;6.5;;6.4;0.2;;;;;;7.3;;;;;;0.6;;;;;1.8;;;;;;;;;;;;18.8;1.9;3.7;;;24.8;0327;3;26;17;08;08;08
232;Lichtenvoorde;14205;53.6;7607;7601;6;;4316;18.0;;172;;;;;;;197;;;56.0;;;;;;;;100;;5.0;;;;;;;;;;1206;5.0;371.0;;;1155;;56.8;0.2;;2.3;;;;;;;2.6;;;0.7;;;;;;;;1.3;;0.1;;;;;;;;;;15.9;0.1;4.9;;;15.2;0260;2;25;14;07;00;00
233;Liemeer;4826;48.3;2332;2330;2;;1053;94.0;;66;;;;;;;86;;;;;;;18.0;1.0;0.0;0.0;91;10.0;;;0.0;0.0;;;;;;0.0;253;38.0;70.0;7.0;0.0;543;;45.2;4.0;;2.8;;;;;;;3.7;;;;;;;0.8;0.0;0.0;0.0;3.9;0.4;;;0.0;0.0;;;;;;0.0;10.9;1.6;3.0;0.3;0.0;23.3;1673;3;28;28;15;00;00
234;De Lier;8078;50.9;4113;4106;7;;2275;140.0;;80;;;0.0;;;;104;;;;;;;23.0;0.0;1.0;0.0;109;8.0;;;0.0;2.0;;;;;;0.0;376;8.0;57.0;2.0;0.0;921;;55.4;3.4;;1.9;;;0.0;;;;2.5;;;;;;;0.6;0.0;0.0;0.0;2.7;0.2;;;0.0;0.0;;;;;;0.0;9.2;0.2;1.4;0.0;0.0;22.4;0552;3;28;27;14;00;00
235;Liesveld;6971;63.2;4405;4402;3;;1347;570.0;;62;;;2.0;;;;89;;;;;;;26.0;0.0;1.0;0.0;86;15.0;;;0.0;0.0;;;;;;1.0;709;746.0;95.0;5.0;0.0;648;;30.6;12.9;;1.4;;;0.0;;;;2.0;;;;;;;0.6;0.0;0.0;0.0;2.0;0.3;;;0.0;0.0;;;;;;0.0;16.1;16.9;2.2;0.1;0.0;14.7;0694;3;28;30;14;00;00
236;Lingewaal;7958;56.6;4503;4501;2;;1530;280.0;;119;;;;;;;124;;;34.0;;;;;;;;123;;5.0;;;;;;;;;;1082;283.0;103.0;;;818;;34.0;6.2;;2.6;;;;;;;2.8;;;0.8;;;;;;;;2.7;;0.1;;;;;;;;;;24.0;6.3;2.3;;;18.2;0733;2;25;16;06;00;00
237;Lingewaard;32441;42.9;13927;13924;3;;5365;78.0;;1078;;;;;;;657;;;230.0;;;;;;;;319;;17.0;;;;;;;;;;3243;31.0;644.0;;;2262;;38.5;0.6;;7.7;;;;;;;4.7;;;1.7;;;;;;;;2.3;;0.1;;;;;;;;;;23.3;0.2;4.6;;;16.2;1705;2;25;15;07;06;00
238;Lisse;16498;51.1;8430;8429;1;;3160;227.0;;389;;;;;;;346;;;;;;;35.0;2.0;20.0;2.0;222;37.0;;;2.0;0.0;;;;;;0.0;1262;642.0;244.0;19.0;0.0;1820;;37.5;2.7;;4.6;;;;;;;4.1;;;;;;;0.4;0.0;0.2;0.0;2.6;0.4;;;0.0;0.0;;;;;;0.0;15.0;7.6;2.9;0.2;0.0;21.6;0553;3;28;25;15;00;00
239;Lith;4981;50.3;2504;2497;7;;1263;;8.0;65;;;;;;;65;53.0;;;;;;;;2.0;;87;;;;;;;;;;;;353;;211.0;6.0;;384;;50.6;;0.3;2.6;;;;;;;2.6;2.1;;;;;;;;0.1;;3.5;;;;;;;;;;;;14.1;;8.5;0.2;;15.4;0808;4;30;35;18;00;00
240;Littenseradiel;7908;67.4;5333;5332;1;;1449;;117.0;164;;;;;1478.0;34.0;270;;;;;;;;;;;57;;;5.0;;;;;;;;;969;;249.0;;;540;;27.2;;2.2;3.1;;;;;27.7;0.6;5.1;;;;;;;;;;;1.1;;;0.1;;;;;;;;;18.2;;4.7;;;10.1;0140;1;21;04;02;00;00
241;Lochem;14931;59.7;8921;8916;5;;2381;72.0;;470;;;;;;;582;;;73.0;;;;;;;;182;;4.0;;;;;;;;;;2466;13.0;330.0;;;2343;;26.7;0.8;;5.3;;;;;;;6.5;;;0.8;;;;;;;;2.0;;0.0;;;;;;;;;;27.7;0.1;3.7;;;26.3;0262;2;25;14;07;00;00
242;Loenen;6265;61.0;3824;3820;4;;1070;84.0;;251;14.0;;;;;;197;;;;;;27.0;;;;;207;;;;;;;;;;;;654;102.0;150.0;;;1064;;28.0;2.2;;6.6;0.4;;;;;;5.2;;;;;;0.7;;;;;5.4;;;;;;;;;;;;17.1;2.7;3.9;;;27.9;0329;3;26;17;08;00;00
243;Loon op Zand;17480;42.0;7333;7328;5;;2944;;118.0;254;;;;;;;518;62.0;;;;;;;;5.0;;175;;;;;;;;;;;;1327;;370.0;44.0;;1511;;40.2;;1.6;3.5;;;;;;;7.1;0.8;;;;;;;;0.1;;2.4;;;;;;;;;;;;18.1;;5.0;0.6;;20.6;0809;4;30;34;17;00;00
244;Lopik;9907;56.1;5558;5557;1;;2342;549.0;;100;7.0;;;;;;128;;;;;;54.0;;;;;212;;;;;;;;;;;;650;590.0;143.0;;;782;;42.1;9.9;;1.8;0.1;;;;;;2.3;;;;;;1.0;;;;;3.8;;;;;;;;;;;;11.7;10.6;2.6;;;14.1;0331;3;26;17;08;00;00
245;Loppersum;8296;67.3;5582;5581;1;;1869;549.0;;147;;;;;;;412;;;;;;;;;;;76;;;17.0;;;;;;189.0;;;1547;;193.0;;;582;;33.5;9.8;;2.6;;;;;;;7.4;;;;;;;;;;;1.4;;;0.3;;;;;;3.4;;;27.7;;3.5;;;10.4;0024;1;20;02;01;00;00
246;Losser;16987;45.7;7757;7749;8;;4035;56.0;;225;;;;;;;248;;;;;;;;;;;184;;;;;;;;;;;;1720;6.0;262.0;;;1013;;52.1;0.7;;2.9;;;;;;;3.2;;;;;;;;;;;2.4;;;;;;;;;;;;22.2;0.1;3.4;;;13.1;0168;2;23;12;04;04;00
247;Maarn;4420;68.0;3004;3003;1;;763;44.0;;164;6.0;;;;;;147;;;;;;15.0;;;;;92;;;;;;;;;;;;713;120.0;81.0;;;858;;25.4;1.5;;5.5;0.2;;;;;;4.9;;;;;;0.5;;;;;3.1;;;;;;;;;;;;23.7;4.0;2.7;;;28.6;0332;3;26;17;08;00;00
248;Maarssen;29837;46.2;13797;13786;11;;3270;356.0;;826;45.0;;;;;;1050;;;;;;133.0;;;;;413;;;;;;;;;;;;3530;98.0;649.0;;;3416;;23.7;2.6;;6.0;0.3;;;;;;7.6;;;;;;1.0;;;;;3.0;;;;;;;;;;;;25.6;0.7;4.7;;;24.8;0333;3;26;17;08;09;09
249;Maasbracht;10719;51.8;5550;5550;0;;3179;;;72;;;;;;;184;;;;;;;;;;;111;;;;;;;;179.0;;;;970;;155.0;;;700;;57.3;;;1.3;;;;;;;3.3;;;;;;;;;;;2.0;;;;;;;;3.2;;;;17.5;;2.8;;;12.6;0933;4;31;38;19;00;00
250;Maasbree;9595;50.2;4818;4814;4;;2163;;;99;;;;;;;168;;;;;;;;;;;84;;;;;;;;817.0;;;;636;;104.0;;;743;;44.9;;;2.1;;;;;;;3.5;;;;;;;;;;;1.7;;;;;;;;17.0;;;;13.2;;2.2;;;15.4;0934;4;31;37;19;00;00
251;Maasdonk;8426;45.3;3818;3818;0;;2081;;5.0;79;;;;;;;101;107.0;;;;;;;;1.0;;91;;;;;;;;;;;;476;;312.0;11.0;;554;;54.5;;0.1;2.1;;;;;;;2.6;2.8;;;;;;;;0.0;;2.4;;;;;;;;;;;;12.5;;8.2;0.3;;14.5;1671;4;30;35;18;00;00
252;Maasdriel;17813;46.3;8253;8248;5;;3695;109.0;;277;;;;;;;322;;;68.0;;;;;;;;183;;16.0;;;;;;;;;;1471;271.0;260.0;;;1576;;44.8;1.3;;3.4;;;;;;;3.9;;;0.8;;;;;;;;2.2;;0.2;;;;;;;;;;17.8;3.3;3.2;;;19.1;0263;2;25;16;06;00;00
253;Maasland;4984;59.6;2970;2965;5;;1473;121.0;;82;;;0.0;;;;101;;;;;;;19.0;0.0;1.0;1.0;80;11.0;;;0.0;0.0;;;;;;2.0;328;32.0;45.0;11.0;0.0;658;;49.7;4.1;;2.8;;;0.0;;;;3.4;;;;;;;0.6;0.0;0.0;0.0;2.7;0.4;;;0.0;0.0;;;;;;0.1;11.1;1.1;1.5;0.4;0.0;22.2;0555;3;28;27;14;14;14
254;Maassluis;24580;45.4;11166;11158;8;;3015;449.0;;392;;;2.0;;;;388;;;;;;;100.0;1.0;6.0;1.0;636;30.0;;;1.0;1.0;;;;;;5.0;2590;121.0;475.0;425.0;6.0;2514;;27.0;4.0;;3.5;;;0.0;;;;3.5;;;;;;;0.9;0.0;0.1;0.0;5.7;0.3;;;0.0;0.0;;;;;;0.0;23.2;1.1;4.3;3.8;0.1;22.5;0556;3;28;29;14;14;14
255;Maastricht;95016;39.0;37042;36992;50;;11315;;;1920;;;;;;;3868;;;;;;;;;;;1110;;;;;;;;527.0;;;;10943;;2520.0;;;4789;;30.6;;;5.2;;;;;;;10.5;;;;;;;;;;;3.0;;;;;;;;1.4;;;;29.6;;6.8;;;12.9;0935;4;31;39;19;22;22
256;Margraten;10166;59.7;6074;6063;11;;3010;;;213;;;;;;;314;;;;;;;;;;;140;;;;;;;;339.0;;;;1030;;152.0;;;865;;49.6;;;3.5;;;;;;;5.2;;;;;;;;;;;2.3;;;;;;;;5.6;;;;17.0;;2.5;;;14.3;0936;4;31;39;19;22;00
257;De Marne;8461;64.2;5428;5422;6;;1400;571.0;;108;;;;;;;444;;;;;;;;;;;100;;;17.0;;;;;;170.0;;;1530;;290.0;;;792;;25.8;10.5;;2.0;;;;;;;8.2;;;;;;;;;;;1.8;;;0.3;;;;;;3.1;;;28.2;;5.3;;;14.6;1663;1;20;03;01;00;00
258;Marum;7494;56.4;4228;4221;7;;1249;288.0;;107;;;;;;;201;;;;;;;;;;;122;;;14.0;;;;;;118.0;;;1235;;136.0;;;751;;29.6;6.8;;2.5;;;;;;;4.8;;;;;;;;;;;2.9;;;0.3;;;;;;2.8;;;29.3;;3.2;;;17.8;0025;1;20;03;01;01;00
259;Medemblik;5841;40.2;2348;2348;0;4.0;639;;70.0;67;;5.0;;;;;178;;;;15.0;5.0;;;;;;120;;;4.0;2.0;;;48.0;;;;;519;;102.0;;;570;0.2;27.2;;3.0;2.9;;0.2;;;;;7.6;;;;0.6;0.2;;;;;;5.1;;;0.2;0.1;;;2.0;;;;;22.1;;4.3;;;24.3;0420;3;27;18;11;00;00
260;Meerlo-Wanssum;5790;51.5;2982;2976;6;;1671;;;82;;;;;;;136;;;;;;;;;;;63;;;;;;;;17.0;;;;500;;126.0;;;381;;56.1;;;2.8;;;;;;;4.6;;;;;;;;;;;2.1;;;;;;;;0.6;;;;16.8;;4.2;;;12.8;0993;4;31;37;19;00;00
261;Meerssen;15553;51.6;8033;8029;4;;3636;;;254;;;;;;;390;;;;;;;;;;;146;;;;;;;;195.0;;;;1367;;307.0;;;1734;;45.3;;;3.2;;;;;;;4.9;;;;;;;;;;;1.8;;;;;;;;2.4;;;;17.0;;3.8;;;21.6;0938;4;31;39;19;22;00
262;Meijel;4456;45.0;2004;1999;5;;1126;;;28;;;;;;;40;;;;;;;;;;;39;;;;;;;;14.0;;;;368;;67.0;;;317;;56.3;;;1.4;;;;;;;2.0;;;;;;;;;;;2.0;;;;;;;;0.7;;;;18.4;;3.4;;;15.9;0941;4;31;37;19;00;00
263;Menaldumadeel;10529;65.4;6882;6880;2;;1592;;196.0;149;;;;;1454.0;353.0;401;;;;;;;;;;;94;;;6.0;;;;;;;;;1706;;217.0;;;712;;23.1;;2.8;2.2;;;;;21.1;5.1;5.8;;;;;;;;;;;1.4;;;0.1;;;;;;;;;24.8;;3.2;;;10.3;0083;1;21;04;02;02;00
264;Menterwolde;9776;52.4;5121;5119;2;;772;197.0;;161;;;;;;;304;;;;;;;;;;;97;;;37.0;;;;;;306.0;;;2201;;366.0;;;678;;15.1;3.8;;3.1;;;;;;;5.9;;;;;;;;;;;1.9;;;0.7;;;;;;6.0;;;43.0;;7.1;;;13.2;1987;1;20;01;01;00;00
265;Meppel;23040;53.4;12300;12289;11;;2866;729.0;;426;;;;200.0;;;777;;;;;;;;;;;227;;;;;;205.0;;;;;;4420;44.0;;;;2395;;23.3;5.9;;3.5;;;;1.6;;;6.3;;;;;;;;;;;1.8;;;;;;1.7;;;;;;36.0;0.4;;;;19.5;0119;1;22;09;03;00;00
266;Middelburg;34648;54.2;18765;18748;17;;4496;1386.0;;716;;;;;;;1680;;;;;;;;;;;511;;;;;;;;;;578.0;;4107;2047.0;1077.0;;;2150;;24.0;7.4;;3.8;;;;;;;9.0;;;;;;;;;;;2.7;;;;;;;;;;3.1;;21.9;10.9;5.7;;;11.5;0687;3;29;32;16;00;00
267;Middelharnis;13214;55.1;7287;7280;7;;1494;712.0;;149;;;11.0;;;;137;;;;;;;30.0;1.0;3.0;2.0;171;14.0;;;1.0;2.0;;;;;;1.0;1461;1639.0;309.0;19.0;1.0;1123;;20.5;9.8;;2.0;;;0.2;;;;1.9;;;;;;;0.4;0.0;0.0;0.0;2.3;0.2;;;0.0;0.0;;;;;;0.0;20.1;22.5;4.2;0.3;0.0;15.4;0559;3;28;29;14;00;00
