ID;CentralDecentralProduction;EnergyCommodities;Periods;TotalElectricityAndHeatTJ_1;ElectricityMWh_2;ElectricityTJ_3;Electricity_4;HeatTJ_5;InputTJ_6
905;Decentral electricity production;Wind energy;2019;41429.0;11507927.0;41429.0;9.5;;
906;Decentral electricity production;Wind energy;2020;55000.0;15277726.0;55000.0;12.4;;
907;Decentral electricity production;Wind energy;2021;65244.0;18123360.0;65244.0;14.8;;
908;Decentral electricity production;Wind energy;2022;77637.0;21565971.0;77637.0;17.7;;
909;Decentral electricity production;Wind energy;2023;106290.0;29525082.0;106290.0;24.3;;
910;Decentral electricity production;Hydro power;1998;404.0;112310.0;404.0;0.1;;
911;Decentral electricity production;Hydro power;1999;325.0;90249.0;325.0;0.1;;
912;Decentral electricity production;Hydro power;2000;513.0;142393.0;513.0;0.2;;
913;Decentral electricity production;Hydro power;2001;422.0;117324.0;422.0;0.1;;
914;Decentral electricity production;Hydro power;2002;395.0;109636.0;395.0;0.1;;
915;Decentral electricity production;Hydro power;2003;259.0;72023.0;259.0;0.1;;
916;Decentral electricity production;Hydro power;2004;345.0;95732.0;345.0;0.1;;
917;Decentral electricity production;Hydro power;2005;317.0;88000.0;317.0;0.1;;
918;Decentral electricity production;Hydro power;2006;379.0;105199.0;379.0;0.1;;
919;Decentral electricity production;Hydro power;2007;385.0;107000.0;385.0;0.1;;
920;Decentral electricity production;Hydro power;2008;360.0;100000.0;360.0;0.1;;
921;Decentral electricity production;Hydro power;2009;350.0;97222.0;350.0;0.1;;
922;Decentral electricity production;Hydro power;2010;375.0;104167.0;375.0;0.1;;
923;Decentral electricity production;Hydro power;2011;205.0;57000.0;205.0;0.1;;
924;Decentral electricity production;Hydro power;2012;376.0;104388.0;376.0;0.1;;
925;Decentral electricity production;Hydro power;2013;412.0;114312.0;412.0;0.1;;
926;Decentral electricity production;Hydro power;2014;403.0;111925.0;403.0;0.1;;
927;Decentral electricity production;Hydro power;2015;334.0;92700.0;334.0;0.1;;
928;Decentral electricity production;Hydro power;2016;360.0;100079.0;360.0;0.1;;
929;Decentral electricity production;Hydro power;2017;219.0;60757.0;219.0;0.1;;
930;Decentral electricity production;Hydro power;2018;260.0;72348.0;260.0;0.1;;
931;Decentral electricity production;Hydro power;2019;267.0;74182.0;267.0;0.1;;
932;Decentral electricity production;Hydro power;2020;166.0;46066.0;166.0;0.0;;
933;Decentral electricity production;Hydro power;2021;318.0;88240.0;318.0;0.1;;
934;Decentral electricity production;Hydro power;2022;180.0;49998.0;180.0;0.0;;
935;Decentral electricity production;Hydro power;2023;250.0;69369.0;250.0;0.1;;
936;Decentral electricity production;Biomass;1998;7522.0;1489481.0;5362.0;1.6;2160.0;24791.0
937;Decentral electricity production;Biomass;1999;7826.0;1623488.0;5845.0;1.9;1981.0;26366.0
938;Decentral electricity production;Biomass;2000;8303.0;1805294.0;6499.0;2.0;1804.0;28870.0
939;Decentral electricity production;Biomass;2001;8533.0;1766884.0;6361.0;1.9;2172.0;29051.0
940;Decentral electricity production;Biomass;2002;8815.0;1772272.0;6380.0;1.9;2434.0;29327.0
941;Decentral electricity production;Biomass;2003;8773.0;1752744.0;6310.0;1.8;2463.0;28730.0
942;Decentral electricity production;Biomass;2004;8554.0;1716296.0;6179.0;1.7;2375.0;29144.0
943;Decentral electricity production;Biomass;2005;9075.0;1827959.0;6581.0;1.8;2494.0;30330.0
944;Decentral electricity production;Biomass;2006;9820.0;1950130.0;7020.0;2.0;2799.0;31277.0
945;Decentral electricity production;Biomass;2007;10860.0;2210592.0;7958.0;2.1;2902.0;34368.0
946;Decentral electricity production;Biomass;2008;13033.0;2806684.0;10104.0;2.6;2929.0;44388.0
947;Decentral electricity production;Biomass;2009;16184.0;3496000.0;12586.0;3.1;3598.0;50452.0
948;Decentral electricity production;Biomass;2010;17679.0;3821111.0;13756.0;3.2;3923.0;53045.0
949;Decentral electricity production;Biomass;2011;18920.0;3901111.0;14044.0;3.5;4876.0;54285.0
950;Decentral electricity production;Biomass;2012;26303.0;4250270.0;15301.0;4.1;11002.0;62347.0
951;Decentral electricity production;Biomass;2013;25264.0;4139696.0;14903.0;4.1;10361.0;63809.0
952;Decentral electricity production;Biomass;2014;28852.0;4080182.0;14688.0;3.9;14164.0;64756.0
953;Decentral electricity production;Biomass;2015;32718.0;4422582.0;15921.0;4.0;16796.0;68402.0
954;Decentral electricity production;Biomass;2016;32062.0;4462537.0;16065.0;3.9;15997.0;70391.0
955;Decentral electricity production;Biomass;2017;33053.0;4070514.0;14654.0;3.5;18400.0;68772.0
956;Decentral electricity production;Biomass;2018;30930.0;3912408.0;14085.0;3.4;16845.0;66367.0
957;Decentral electricity production;Biomass;2019;33733.0;3948991.0;14216.0;3.3;19517.0;69736.0
958;Decentral electricity production;Biomass;2020;35067.0;4088439.0;14718.0;3.3;20349.0;72054.0
959;Decentral electricity production;Biomass;2021;38067.0;4147185.0;14930.0;3.4;23138.0;76810.0
960;Decentral electricity production;Biomass;2022;36074.0;4278841.0;15404.0;3.5;20670.0;76687.0
961;Decentral electricity production;Biomass;2023;31757.0;3838445.0;13818.0;3.2;17939.0;67667.0
962;Decentral electricity production;Nuclear energy;1998;;;;;;
963;Decentral electricity production;Nuclear energy;1999;;;;;;
964;Decentral electricity production;Nuclear energy;2000;;;;;;
965;Decentral electricity production;Nuclear energy;2001;;;;;;
966;Decentral electricity production;Nuclear energy;2002;;;;;;
967;Decentral electricity production;Nuclear energy;2003;;;;;;
968;Decentral electricity production;Nuclear energy;2004;;;;;;
969;Decentral electricity production;Nuclear energy;2005;;;;;;
970;Decentral electricity production;Nuclear energy;2006;;;;;;
971;Decentral electricity production;Nuclear energy;2007;;;;;;
972;Decentral electricity production;Nuclear energy;2008;;;;;;
973;Decentral electricity production;Nuclear energy;2009;;;;;;
974;Decentral electricity production;Nuclear energy;2010;;;;;;
975;Decentral electricity production;Nuclear energy;2011;;;;;;
976;Decentral electricity production;Nuclear energy;2012;;;;;;
977;Decentral electricity production;Nuclear energy;2013;;;;;;
978;Decentral electricity production;Nuclear energy;2014;;;;;;
979;Decentral electricity production;Nuclear energy;2015;;;;;;
980;Decentral electricity production;Nuclear energy;2016;;;;;;
981;Decentral electricity production;Nuclear energy;2017;;;;;;
982;Decentral electricity production;Nuclear energy;2018;;;;;;
983;Decentral electricity production;Nuclear energy;2019;;;;;;
984;Decentral electricity production;Nuclear energy;2020;;;;;;
985;Decentral electricity production;Nuclear energy;2021;;;;;;
986;Decentral electricity production;Nuclear energy;2022;;;;;;
987;Decentral electricity production;Nuclear energy;2023;;;;;;
988;Decentral electricity production;Other energy commodities;1998;18488.0;2021495.0;7278.0;2.2;11211.0;38566.0
989;Decentral electricity production;Other energy commodities;1999;17464.0;1959498.0;7054.0;2.2;10409.0;34606.0
990;Decentral electricity production;Other energy commodities;2000;18843.0;1973330.0;7104.0;2.2;11739.0;34626.0
991;Decentral electricity production;Other energy commodities;2001;19069.0;2043167.0;7356.0;2.2;11714.0;34260.0
992;Decentral electricity production;Other energy commodities;2002;18835.0;2065545.0;7436.0;2.2;11401.0;34303.0
993;Decentral electricity production;Other energy commodities;2003;17799.0;2102340.0;7568.0;2.1;10231.0;34292.0
994;Decentral electricity production;Other energy commodities;2004;18953.0;2190832.0;7888.0;2.1;11065.0;33286.0
995;Decentral electricity production;Other energy commodities;2005;17236.0;2059934.0;7416.0;2.0;9820.0;35064.0
996;Decentral electricity production;Other energy commodities;2006;17236.0;1917068.0;6901.0;1.9;10335.0;36055.0
997;Decentral electricity production;Other energy commodities;2007;17446.0;1910133.0;6876.0;1.8;10570.0;35758.0
998;Decentral electricity production;Other energy commodities;2008;16212.0;1798614.0;6475.0;1.7;9737.0;33431.0
999;Decentral electricity production;Other energy commodities;2009;16738.0;2088329.0;7518.0;1.8;9220.0;36333.0
1000;Decentral electricity production;Other energy commodities;2010;15140.0;2406944.0;8665.0;2.1;6475.0;37095.0
1001;Decentral electricity production;Other energy commodities;2011;16296.0;2384771.0;8585.0;2.1;7711.0;37449.0
1002;Decentral electricity production;Other energy commodities;2012;20834.0;2535450.0;9128.0;2.5;11706.0;41695.0
1003;Decentral electricity production;Other energy commodities;2013;22409.0;2273657.0;8185.0;2.3;14224.0;44718.0
1004;Decentral electricity production;Other energy commodities;2014;23466.0;2436116.0;8770.0;2.4;14695.0;44021.0
1005;Decentral electricity production;Other energy commodities;2015;19050.0;2232861.0;8038.0;2.0;11012.0;42216.0
1006;Decentral electricity production;Other energy commodities;2016;18708.0;2275048.0;8190.0;2.0;10518.0;42427.0
1007;Decentral electricity production;Other energy commodities;2017;19079.0;2248404.0;8094.0;1.9;10985.0;41927.0
1008;Decentral electricity production;Other energy commodities;2018;16593.0;2589530.0;9322.0;2.3;7271.0;42246.0
1009;Decentral electricity production;Other energy commodities;2019;16448.0;2468791.0;8888.0;2.0;7560.0;41334.0
1010;Decentral electricity production;Other energy commodities;2020;15667.0;2406417.0;8663.0;2.0;7004.0;39625.0
1011;Decentral electricity production;Other energy commodities;2021;16954.0;2424454.0;8728.0;2.0;8226.0;41184.0
1012;Decentral electricity production;Other energy commodities;2022;17058.0;2520522.0;9074.0;2.1;7985.0;41849.0
1013;Decentral electricity production;Other energy commodities;2023;16109.0;2345614.0;8444.0;1.9;7665.0;38882.0
