ID;EnergyCommodities;Periods;TotalPrimaryEnergySupplyTPES_1;IndigenousProduction_2;Imports_3;Exports_4;NetImports_5;Bunkers_6;StockChange_7;StatisticalDifferences_8;TotalEnergyConsumption_9;TotalEnergyTransformationInput_10;ElectricityAndCHPTransformationInput_11;OtherTransformationInput_12;TotalEnergyTransformationOutput_13;ElectricityCHPTransformationOutput_14;OtherTransformationOutput_15;TotalNetEnergyTransformation_16;NetElectricityCHPTransformation_17;NetOtherTransformation_18;Total_19;ProductionOfHeatAndPower_20;ExtractionOfCrudePetroleumAndGas_21;CokeOvenPlants_22;BlastFurnaces_23;OilRefineryInstallations_24;OtherInstallations_25;DistributionLosses_26;TotalFinalConsumption_27;Total_28;Total_29;IronAndSteel_30;ChemicalAndPetrochemical_31;NonFerrousMetals_32;NonMetallicMinerals_33;TransportEquipment_34;Machinery_35;MiningAndQuarrying_36;FoodAndTobacco_37;PaperPulpAndPrinting_38;WoodAndWoodProducts_39;Construction_40;TextileAndLeather_41;OtherIndustryAndNonSpecified_42;Total_43;DomesticAviation_44;RoadTransport_45;RailTransport_46;PipelineTransport_47;DomesticNavigation_48;NonSpecified_49;Total_50;ServicesWasteWaterAndRepair_51;Dwellings_52;Agriculture_53;Fishing_54;NonSpecified_55;Total_56;IndustryExcludingTheEnergySector_57;OfWhichChemicalAndPetrochemical_58;Transport_59;OtherSectors_60
495;Steam coal;1967;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
496;Steam coal;1968;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
497;Steam coal;1969;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
498;Steam coal;1970;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
499;Steam coal;1971;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
500;Steam coal;1972;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
501;Steam coal;1973;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
502;Steam coal;1974;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
503;Steam coal;1975;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
504;Steam coal;1976;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
505;Steam coal;1977;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
506;Steam coal;1978;45.4;;53.5;11.6;41.9;;3.5;-0.1;45.5;41.8;41.7;0.1;;;;41.8;41.7;0.1;;;;;;;;;3.7;3.7;1.4;;1.2;;;;0.0;;;;;0.1;;0.0;;;;;;;;2.3;;1.8;;;0.5;;;;;
507;Steam coal;1979;37.3;;63.1;23.9;39.2;;-1.9;4.9;32.4;28.7;28.6;0.1;;;;28.7;28.6;0.1;;;;;;;;;3.7;3.7;1.4;;1.1;;;;0.1;;;;;0.1;;;;;;;;;;2.3;;1.7;;;0.6;;;;;
508;Steam coal;1980;60.1;;92.0;36.9;55.1;;5.0;-2.8;62.9;58.8;58.7;0.1;;;;58.8;58.7;0.1;;;;;;;;;4.1;4.1;1.7;;1.4;;;;0.1;;;;;0.2;;;;;;;;;;2.4;;1.8;;;0.7;;;;;
509;Steam coal;1981;72.4;;128.5;23.7;104.8;;-32.4;-10.6;83.0;78.9;78.8;0.1;;;;78.9;78.8;0.1;;;;;;;;;4.1;4.1;1.7;;1.6;;;;0.0;;;;;0.1;;;;;;;;;;2.4;;1.8;;;0.5;;;;;
510;Steam coal;1982;67.4;;131.7;16.3;115.4;;-48.0;-47.2;114.6;107.0;106.9;0.1;;;;107.0;106.9;0.1;;;;;;;;;7.6;7.6;5.8;;5.2;0.0;0.1;;0.0;;0.5;;;;;;;;;;;;;1.8;;1.5;;;0.3;;;;;
511;Steam coal;1983;116.6;2.7;117.2;19.9;97.3;;16.6;-3.5;120.1;113.3;111.6;1.7;;;;113.3;111.6;1.7;;;;;;;;;6.8;6.8;5.2;0.2;3.2;;1.1;;;;0.6;;;;;0.1;;;;;;;;1.6;;1.5;;;0.1;;;;;
512;Steam coal;1984;153.1;2.7;173.3;29.3;144.0;;6.3;9.0;144.1;133.5;124.9;8.6;;;;133.5;124.9;8.6;;;;;;;;;10.6;10.6;9.7;0.7;6.8;0.0;1.6;;0.0;;0.4;;;;0.0;;;;;;;;;0.9;;0.9;;;0.0;;;;;
513;Steam coal;1985;152.3;2.4;182.2;32.7;149.5;;0.3;11.4;140.9;129.7;120.5;9.2;;;;129.7;120.5;9.2;;;;;;;;;11.2;11.2;8.7;0.7;6.0;0.1;1.3;;0.0;;0.7;;;;0.0;;;;;;;;;2.5;;1.2;;;1.3;;;;;
514;Steam coal;1986;163.8;1.9;206.3;53.2;153.1;;8.8;11.2;152.6;141.6;132.5;9.1;;;;141.6;132.5;9.1;;;;;;;;;11.0;11.0;8.3;0.4;5.1;0.0;1.2;;0.0;;1.6;;;;;;;;;;;;;2.7;;1.3;;;1.4;;;;;
515;Steam coal;1987;175.7;;231.2;45.2;186.0;;-10.3;0.1;175.6;159.3;147.7;11.6;;;;159.3;147.7;11.6;;;;;;;;;16.3;16.3;13.6;0.6;7.1;0.1;1.3;;0.0;;4.4;;;;;0.0;;;;;;;;2.7;;1.2;;;1.5;;;;;
516;Steam coal;1988;214.3;;260.1;47.1;213.0;;1.3;-7.1;221.4;205.4;189.9;15.5;;;;205.4;189.9;15.5;;;;;;;;;16.0;16.0;13.3;1.5;8.8;0.0;1.1;;0.0;;1.6;;;;0.0;0.2;;;;;;;;2.7;;0.9;;;1.8;;;;;
517;Steam coal;1989;218.3;;251.6;27.8;223.8;;-5.5;-8.8;227.1;210.6;189.9;20.7;;;;210.6;189.9;20.7;;;;;;;;;16.5;16.2;14.6;3.4;8.3;;0.9;;;;1.9;;;;0.0;0.0;;;;;;;;1.6;;0.5;;;1.1;0.3;0.3;;;
518;Steam coal;1990;241.4;;241.4;;241.4;;;;241.4;233.0;233.0;;;;;233.0;233.0;;;;;;;;;;8.4;8.4;8.4;;8.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
519;Steam coal;1991;217.4;;217.4;;217.4;;;;217.4;209.9;209.9;;;;;209.9;209.9;;;;;;;;;;7.5;7.5;7.5;;7.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
520;Steam coal;1992;215.2;;215.2;;215.2;;;;215.2;215.2;215.2;;;;;215.2;215.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
521;Steam coal;1993;209.2;;209.2;;209.2;;;;209.2;209.1;209.1;;;;;209.1;209.1;;;;;;;;;;0.1;0.1;0.1;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;Steam coal;1994;230.9;;230.9;;230.9;;;0.0;230.9;230.7;230.7;;;;;230.7;230.7;;;;;;;;;;0.2;0.2;0.2;;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
523;Steam coal;1995;242.8;;242.8;;242.8;;;0.0;242.8;242.6;242.6;;;;;242.6;242.6;;;;;;;;;;0.1;0.1;0.1;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
524;Steam coal;1996;229.9;;229.9;;229.9;;;0.0;229.9;229.5;229.5;;;;;229.5;229.5;;;;;;;;;;0.5;0.5;0.5;;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
525;Steam coal;1997;216.3;;216.3;;216.3;;;0.0;216.3;215.5;215.5;;;;;215.5;215.5;;;;;;;;;;0.8;0.8;0.8;;0.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
526;Steam coal;1998;227.4;;227.4;;227.4;;;0.0;227.4;226.6;226.6;;;;;226.6;226.6;;;;;;;;;;0.8;0.8;0.8;;0.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
527;Steam coal;1999;188.9;;188.9;;188.9;;;0.0;188.9;187.7;187.7;;;;;187.7;187.7;;;;;;;;;;1.1;1.1;1.1;;1.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
528;Steam coal;2000;209.4;;209.4;;209.4;;;0.0;209.4;209.3;209.3;;;;;209.3;209.3;;;;;;;;;;0.1;0.1;0.1;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
529;Steam coal;2001;223.9;;222.2;;222.2;;1.8;;223.9;223.9;223.9;;;;;223.9;223.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
530;Steam coal;2002;225.8;;228.9;;228.9;;-3.0;0.0;225.8;225.8;225.8;;;;;225.8;225.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
531;Steam coal;2003;230.6;;229.1;;229.1;;1.5;;230.6;230.6;230.6;;;;;230.6;230.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
532;Steam coal;2004;222.6;;225.6;;225.6;;-3.0;;222.6;222.6;222.6;;;;;222.6;222.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
533;Steam coal;2005;207.5;;207.5;;207.5;;0.0;0.0;207.5;207.5;207.5;;;;;207.5;207.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
534;Steam coal;2006;204.6;;201.9;;201.9;;2.7;0.0;204.6;204.6;204.6;;;;;204.6;204.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
535;Steam coal;2007;214.5;;215.7;;215.7;;-1.3;0.0;214.5;214.5;214.5;;;;;214.5;214.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
536;Steam coal;2008;202.9;;201.2;;201.2;;1.7;0.0;202.9;202.9;202.9;;;;;202.9;202.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
537;Steam coal;2009;208.5;;212.6;;212.6;;-4.1;0.0;208.5;208.5;208.5;;;;;208.5;208.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
538;Steam coal;2010;195.4;;193.8;;193.8;;1.7;0.0;195.4;195.4;195.4;;;;;195.4;195.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
539;Steam coal;2011;183.1;;181.4;;181.4;;1.6;0.0;183.1;182.1;182.1;;;;;182.1;182.1;;;;;;;;;;0.9;0.9;0.9;;;;;;;;0.9;;;;;;;;;;;;;;;;;;;;;;;
540;Steam coal;2012;212.5;;212.2;;212.2;;0.3;0.0;212.5;211.4;211.4;;;;;211.4;211.4;;;;;;;;;;1.1;1.1;1.1;;;;;;;;1.1;;;;;;;;;;;;;;;;;;;;;;;
541;Steam coal;2013;221.6;;222.3;;222.3;;-0.7;0.0;221.6;220.7;220.7;;;;;220.7;220.7;;;;;;;;;;0.9;0.9;0.9;;;;;;;;0.9;;;;;;;;;;;;;;;;;;;;;;;
542;Steam coal;2014;256.1;;262.0;;262.0;;-5.8;0.0;256.1;255.1;255.1;;;;;255.1;255.1;;;;;;;;;;1.0;1.0;1.0;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;
543;Steam coal;2015;337.4;;332.9;;332.9;;4.5;;337.4;336.6;336.6;;;;;336.6;336.6;;;;;;;;;;0.8;0.8;0.8;;;;;;;;0.8;;;;;;;;;;;;;;;;;;;;;;;
544;Steam coal;2016;305.5;;303.1;;303.1;;2.4;;305.5;304.7;304.7;;;;;304.7;304.7;;;;;;;;;;0.8;0.8;0.8;;;;;;;;0.8;;;;;;;;;;;;;;;;;;;;;;;
545;Steam coal;2017;257.5;;257.1;;257.1;;0.5;;257.5;256.5;256.5;;;;;256.5;256.5;;;;;;;;;;1.0;1.0;1.0;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;
546;Steam coal;2018;222.3;;223.0;;223.0;;-0.7;;222.3;221.5;221.5;;;;;221.5;221.5;;;;;;;;;;0.9;0.9;0.9;;;;;;;;0.9;;;;;;;;;;;;;;;;;;;;;;;
547;Steam coal;2019;147.5;;151.0;;151.0;;-3.5;;147.5;146.6;146.6;;;;;146.6;146.6;;;;;;;;;;0.9;0.9;0.9;;;;;;;;0.9;;;;;;;;;;;;;;;;;;;;;;;
548;Steam coal;2020;64.5;;60.0;;60.0;;4.5;;64.5;63.9;63.9;;;;;63.9;63.9;;;;;;;;;;0.6;0.6;0.6;;;;;;;;0.6;;;;;;;;;;;;;;;;;;;;;;;
549;Steam coal;2021;119.1;;116.5;;116.5;;2.6;;119.1;118.5;118.5;;;;;118.5;118.5;;;;;;;;;;0.7;0.7;0.7;;;;;;;;0.7;;;;;;;;;;;;;;;;;;;;;;;
550;Steam coal;2022;120.8;;127.0;;127.0;;-6.2;;120.8;120.4;120.4;;;;;120.4;120.4;;;;;;;;;;0.4;0.4;0.4;;;;;;;;0.4;;;;;;;;;;;;;;;;;;;;;;;
551;Steam coal;2023;71.6;;70.3;;70.3;;1.4;;71.6;71.3;71.3;;;;;71.3;71.3;;;;;;;;;;0.3;0.3;0.3;;;;;;;;0.3;;;;;;;;;;;;;;;;;;;;;;;
552;Steam coal;2024;62.1;;59.5;;59.5;;2.5;;62.1;61.8;61.8;;;;;61.8;61.8;;;;;;;;;;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
553;Lignite;1946;;9.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
554;Lignite;1947;;9.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
555;Lignite;1948;;5.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
556;Lignite;1949;;4.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
557;Lignite;1950;;3.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
558;Lignite;1951;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
559;Lignite;1952;;4.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
560;Lignite;1953;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
561;Lignite;1954;;3.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
562;Lignite;1955;;5.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
563;Lignite;1956;;5.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
564;Lignite;1957;;5.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
565;Lignite;1958;;5.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
566;Lignite;1959;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
567;Lignite;1960;4.1;0.1;4.0;;4.0;;;;4.1;3.0;;3.0;;;;3.0;;3.0;1.1;;;;;;1.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
568;Lignite;1961;4.7;;4.7;;4.7;;;;4.7;3.6;;3.6;;;;3.6;;3.6;1.1;;;;;;1.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
569;Lignite;1962;4.4;;4.4;;4.4;;;;4.4;3.4;;3.4;;;;3.4;;3.4;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
570;Lignite;1963;3.9;;3.9;;3.9;;;;3.9;3.0;;3.0;;;;3.0;;3.0;0.9;;;;;;0.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
571;Lignite;1964;4.0;;4.0;;4.0;;;;4.0;3.3;;3.3;;;;3.3;;3.3;0.7;;;;;;0.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
572;Lignite;1965;2.9;;2.9;;2.9;;;;2.9;2.2;;2.2;;;;2.2;;2.2;0.7;;;;;;0.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
573;Lignite;1966;2.6;;2.6;;2.6;;;;2.7;2.1;;2.1;;;;2.1;;2.1;0.6;;;;;;0.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
574;Lignite;1967;1.8;;1.8;;1.8;;;;1.8;1.3;;1.3;;;;1.3;;1.3;0.5;;;;;;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
575;Lignite;1968;1.5;;1.5;;1.5;;;;1.4;1.0;;1.0;;;;1.0;;1.0;0.4;;;;;;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
576;Lignite;1969;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
577;Lignite;1970;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
578;Lignite;1971;0.6;;0.6;;0.6;;;;0.6;;;;;;;;;;;;;;;;;;0.6;0.6;0.6;;;;;;;;;;;;;0.6;;;;;;;;;;;;;;;;;;
579;Lignite;1972;0.4;;0.4;;0.4;;;;0.4;;;;;;;;;;;;;;;;;;0.4;0.4;0.4;;;;;;;;;;;;;0.4;;;;;;;;;;;;;;;;;;
580;Lignite;1973;0.4;;0.4;;0.4;;;;0.4;;;;;;;;;;;;;;;;;;0.4;0.4;0.4;;;;;;;;;;;;;0.4;;;;;;;;;;;;;;;;;;
581;Lignite;1974;0.4;;0.4;;0.4;;;;0.4;;;;;;;;;;;;;;;;;;0.4;0.4;0.4;;;;;;;;;;;;;0.4;;;;;;;;;;;;;;;;;;
582;Lignite;1975;0.2;;0.2;;0.2;;;;0.2;;;;;;;;;;;;;;;;;;0.2;0.2;0.2;;;;;;;;;;;;;0.2;;;;;;;;;;;;;;;;;;
583;Lignite;1976;0.2;;0.3;;0.3;;0.0;;0.2;;;;;;;;;;;;;;;;;;0.2;0.2;0.2;;;;;;;;;;;;;0.2;;;;;;;;;;;;;;;;;;
584;Lignite;1977;0.3;;0.3;;0.3;;;;0.3;;;;;;;;;;;;;;;;;;0.3;0.3;0.3;;;;;;;;;;;;;0.3;;;;;;;;;;;;;;;;;;
585;Lignite;1978;1.4;;1.4;0.0;1.4;;;;1.4;;;;;;;;;;;;;;;;;;1.4;1.4;1.3;;;;1.3;;;;;;;;;;;;;;;;;0.1;;;;;0.1;;;;;
586;Lignite;1979;3.6;;3.7;0.0;3.7;;;;3.6;;;;;;;;;;;;;;;;;;3.6;3.7;3.6;;;;3.6;;;;;;;;;;;;;;;;;0.1;;;;;0.1;;;;;
587;Lignite;1980;3.1;;3.1;;3.1;;;;3.1;;;;;;;;;;;;;;;;;;3.1;3.2;3.1;;;;3.1;;;;;;;;;;;;;;;;;0.1;;;;;0.1;;;;;
588;Lignite;1981;3.0;;3.0;;3.0;;;;3.0;;;;;;;;;;;;;;;;;;3.0;3.0;3.0;;;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
589;Lignite;1982;2.6;;2.6;;2.6;;0.0;;2.6;;;;;;;;;;;;;;;;;;2.6;2.6;2.5;;;;2.5;;;;;;;;;;;;;;;;;0.1;;;;;0.1;;;;;
590;Lignite;1983;1.9;;1.9;;1.9;;0.0;;1.9;;;;;;;;;;;;;;;;;;1.9;1.9;1.9;;;;1.9;;;;;;;;;;;;;;;;;0.0;;;;;0.0;;;;;
591;Lignite;1984;1.9;;1.9;0.0;1.9;;;;1.9;;;;;;;;;;;;;;;;;;1.9;1.8;1.8;;;;1.8;;;;;;;;;;;;;;;;;0.0;;;;;0.0;;;;;
592;Lignite;1985;2.1;;2.1;0.1;2.0;;;;2.1;;;;;;;;;;;;;;;;;;2.1;2.1;2.0;;;;2.0;;;;;;;;;;;;;;;;;0.1;;;;;0.1;;;;;
593;Lignite;1986;2.2;;2.3;0.0;2.3;;-0.1;;2.2;;;;;;;;;;;;;;;;;;2.2;2.2;1.5;;;;1.3;;;;;;;;;0.1;;;;;;;;0.7;;0.7;;;0.1;;;;;
594;Lignite;1987;1.7;;1.8;0.0;1.8;;-0.1;0.0;1.7;;;;;;;;;;;;;;;;;;1.7;1.8;1.2;;;;1.1;;;;;;;;;0.0;;;;;;;;0.6;;0.5;;;0.0;;;;;
595;Lignite;1988;1.2;;1.2;;1.2;;0.1;;1.2;;;;;;;;;;;;;;;;;;1.2;1.2;1.0;;;;0.9;;;;;;;;;0.1;;;;;;;;0.2;;0.2;;;0.0;;;;;
596;Lignite;1989;1.1;;1.3;0.2;1.1;;0.0;;1.1;;;;;;;;;;;;;;;;;;1.1;1.1;1.0;;;;0.9;;;;;;;;;0.0;;;;;;;;0.1;;0.1;;;0.0;;;;;
597;Lignite;1990;1.1;;1.1;;1.1;;0.0;;1.1;;;;;;;;;;;;;;;;;;1.1;1.1;1.1;;;;1.1;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;
598;Lignite;1991;0.8;;0.8;;0.8;;;;0.8;;;;;;;;;;;;;;;;;;0.8;0.8;0.8;;;;0.8;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;
599;Lignite;1992;0.6;;0.6;;0.6;;;;0.6;;;;;;;;;;;;;;;;;;0.6;0.6;0.6;;;;0.5;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;
600;Lignite;1993;0.7;;0.8;;0.8;;-0.1;;0.7;;;;;;;;;;;;;;;;;;0.7;0.7;0.7;;;;0.7;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;
601;Lignite;1994;0.4;;0.4;;0.4;;;;0.4;;;;;;;;;;;;;;;;;;0.4;0.4;0.4;;;;0.3;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;
602;Lignite;1995;0.5;;0.5;;0.5;;0.0;;0.5;;;;;;;;;;;;;;;;;;0.5;0.5;0.5;;;;0.4;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;
603;Lignite;1996;0.4;;0.5;;0.5;;0.0;;0.4;;;;;;;;;;;;;;;;;;0.4;0.4;0.4;;;;0.4;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;
604;Lignite;1997;0.6;;0.6;;0.6;;0.0;;0.6;;;;;;;;;;;;;;;;;;0.6;0.6;0.6;;;;0.5;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;
605;Lignite;1998;0.1;;0.1;;0.1;;0.0;;0.1;;;;;;;;;;;;;;;;;;0.1;0.1;0.1;;;;0.0;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;
606;Lignite;1999;0.4;;0.4;;0.4;;0.0;;0.4;;;;;;;;;;;;;;;;;;0.4;0.4;0.4;;;;0.3;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;
607;Lignite;2000;0.6;;0.6;;0.6;;0.0;0.0;0.6;;;;;;;;;;;;;;;;;;0.6;0.6;0.6;;;;0.5;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;
608;Lignite;2001;0.8;;0.8;;0.8;;0.0;0.0;0.8;;;;;;;;;;;;;;;;;;0.8;0.8;0.8;;;;0.7;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;
609;Lignite;2002;0.7;;0.7;;0.7;;0.0;0.0;0.7;;;;;;;;;;;;;;;;;;0.7;0.7;0.7;;;;0.6;;;0.2;;;;;;;;;;;;;;;;;;;;;;;;
610;Lignite;2003;0.5;;0.5;;0.5;;0.0;0.0;0.5;;;;;;;;;;;;;;;;;;0.5;0.5;0.5;;;;0.4;;;0.2;;;;;;;;;;;;;;;;;;;;;;;;
611;Lignite;2004;0.5;;0.5;;0.5;;0.0;;0.5;;;;;;;;;;;;;;;;;;0.5;0.5;0.5;;;;0.4;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;
612;Lignite;2005;0.6;;0.6;;0.6;;0.0;;0.6;;;;;;;;;;;;;;;;;;0.6;0.6;0.6;;;;0.5;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;
613;Lignite;2006;0.3;;0.3;;0.3;;0.0;;0.3;;;;;;;;;;;;;;;;;;0.3;0.3;0.3;;;;0.2;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;
614;Lignite;2007;0.5;;0.5;;0.5;;;;0.5;;;;;;;;;;;;;;;;;;0.5;0.5;0.5;;;;0.4;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;
615;Lignite;2008;0.1;;0.1;;0.1;;0.0;;0.1;;;;;;;;;;;;;;;;;;0.1;0.1;0.1;;;;;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;
616;Lignite;2009;0.4;;0.7;;0.7;;-0.2;;0.4;;;;;;;;;;;;;;;;;;0.4;0.4;0.4;;;;0.3;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;
617;Lignite;2010;0.5;;0.4;;0.4;;0.1;;0.5;;;;;;;;;;;;;;;;;;0.5;0.5;0.5;;;;0.4;;;0.2;;;;;;;;;;;;;;;;;;;;;;;;
618;Lignite;2011;0.5;;0.4;;0.4;;0.1;;0.5;;;;;;;;;;;;;;;;;;0.5;0.5;0.5;;;;0.3;;;0.2;;;;;;;;;;;;;;;;;;;;;;;;
619;Lignite;2012;0.6;;0.6;;0.6;;0.0;;0.6;;;;;;;;;;;;;;;;;;0.6;0.6;0.6;;;;0.4;;;0.2;;;;;;;;;;;;;;;;;;;;;;;;
620;Lignite;2013;0.5;;0.8;;0.8;;-0.3;;0.5;;;;;;;;;;;;;;;;;;0.5;0.5;0.5;;;;0.3;;;0.2;;;;;;;;;;;;;;;;;;;;;;;;
621;Lignite;2014;0.6;;0.8;;0.8;;-0.2;;0.6;;;;;;;;;;;;;;;;;;0.6;0.6;0.6;;;;0.5;;;0.2;;;;;;;;;;;;;;;;;;;;;;;;
622;Lignite;2015;0.9;;0.9;;0.9;;0.0;0.0;0.9;;;;;;;;;;;;;;;;;;0.9;0.9;0.7;;;;0.5;;;0.2;;;;;;0.0;;;;;;;;0.2;0.2;;;;;;;;;
623;Lignite;2016;0.9;;0.9;;0.9;;0.0;;0.9;;;;;;;;;;;;;;;;;;0.9;0.9;0.7;;;;0.5;;;0.2;;;;;;0.0;;;;;;;;0.2;0.2;;;;;;;;;
624;Lignite;2017;1.1;;1.1;;1.1;;0.0;0.0;1.1;;;;;;;;;;;;;;;;;;1.1;1.1;0.9;;;;0.7;;;0.2;;;;;;0.0;;;;;;;;0.2;0.2;;;;;;;;;
625;Lignite;2018;1.0;;1.0;;1.0;;0.0;;1.0;;;;;;;;;;;;;;;;;;1.0;1.0;0.9;;;;0.7;;;0.1;;;;;;0.0;;;;;;;;0.1;0.1;;;;;;;;;
