ID;RegioS;SamenstellingVanHetHuishouden;AantalHuishoudensMet52WekenInkomen_1;PercentageHuishMetEenLaagInkomen_2
1416;Beverwijk;Eenpersoonshuishouden;5.4;10.9
1417;Beverwijk;Paar zonder kinderen;4.9;2.9
1418;Beverwijk;Paar met kinderen;4.2;4.7
1419;Beverwijk;Eenoudergezin;0.9;39.2
1420;Blaricum;Totaal particulier huishouden;3.7;5.5
1421;Blaricum;Eenpersoonshuishouden;1.0;7.3
1422;Blaricum;Paar zonder kinderen;1.3;3.4
1423;Blaricum;Paar met kinderen;1.2;6.1
1424;Blaricum;Eenoudergezin;0.2;9.2
1425;Bloemendaal;Totaal particulier huishouden;6.6;5.9
1426;Bloemendaal;Eenpersoonshuishouden;2.0;8.4
1427;Bloemendaal;Paar zonder kinderen;2.1;2.9
1428;Bloemendaal;Paar met kinderen;2.0;6.1
1429;Bloemendaal;Eenoudergezin;0.3;13.0
1430;Bussum;Totaal particulier huishouden;14.0;7.5
1431;Bussum;Eenpersoonshuishouden;5.7;9.3
1432;Bussum;Paar zonder kinderen;3.9;3.8
1433;Bussum;Paar met kinderen;3.4;6.0
1434;Bussum;Eenoudergezin;0.6;22.6
1435;Castricum;Totaal particulier huishouden;14.0;4.8
1436;Castricum;Eenpersoonshuishouden;3.8;9.2
1437;Castricum;Paar zonder kinderen;4.8;1.7
1438;Castricum;Paar met kinderen;4.5;2.6
1439;Castricum;Eenoudergezin;0.6;22.8
1440;Diemen;Totaal particulier huishouden;9.9;8.7
1441;Diemen;Eenpersoonshuishouden;3.5;11.8
1442;Diemen;Paar zonder kinderen;2.8;3.5
1443;Diemen;Paar met kinderen;2.5;6.5
1444;Diemen;Eenoudergezin;0.7;21.1
1445;Edam-Volendam;Totaal particulier huishouden;10.6;4.8
1446;Edam-Volendam;Eenpersoonshuishouden;2.5;9.8
1447;Edam-Volendam;Paar zonder kinderen;3.0;3.0
1448;Edam-Volendam;Paar met kinderen;4.4;2.5
1449;Edam-Volendam;Eenoudergezin;0.3;13.1
1450;Enkhuizen;Totaal particulier huishouden;7.1;7.4
1451;Enkhuizen;Eenpersoonshuishouden;2.3;8.6
1452;Enkhuizen;Paar zonder kinderen;2.3;4.6
1453;Enkhuizen;Paar met kinderen;2.0;5.7
1454;Enkhuizen;Eenoudergezin;0.3;33.4
1455;Haarlem;Totaal particulier huishouden;66.1;9.3
1456;Haarlem;Eenpersoonshuishouden;27.6;12.6
1457;Haarlem;Paar zonder kinderen;18.2;4.0
1458;Haarlem;Paar met kinderen;14.4;5.7
1459;Haarlem;Eenoudergezin;3.1;29.3
1460;Haarlemmerliede en Spaarnwoude;Totaal particulier huishouden;2.2;2.5
1461;Haarlemmerliede en Spaarnwoude;Eenpersoonshuishouden;0.6;4.2
1462;Haarlemmerliede en Spaarnwoude;Paar zonder kinderen;0.7;2.7
1463;Haarlemmerliede en Spaarnwoude;Paar met kinderen;0.8;0.2
1464;Haarlemmerliede en Spaarnwoude;Eenoudergezin;;
1465;Haarlemmermeer;Totaal particulier huishouden;47.6;6.5
1466;Haarlemmermeer;Eenpersoonshuishouden;12.3;10.9
1467;Haarlemmermeer;Paar zonder kinderen;14.9;3.2
1468;Haarlemmermeer;Paar met kinderen;16.4;4.0
1469;Haarlemmermeer;Eenoudergezin;1.9;27.3
1470;Harenkarspel;Totaal particulier huishouden;6.0;6.6
1471;Harenkarspel;Eenpersoonshuishouden;1.5;10.3
1472;Harenkarspel;Paar zonder kinderen;1.9;3.9
1473;Harenkarspel;Paar met kinderen;2.1;4.5
1474;Harenkarspel;Eenoudergezin;0.2;26.2
1475;Heemskerk;Totaal particulier huishouden;14.6;7.7
1476;Heemskerk;Eenpersoonshuishouden;4.2;11.7
1477;Heemskerk;Paar zonder kinderen;4.7;2.9
1478;Heemskerk;Paar met kinderen;4.4;4.9
1479;Heemskerk;Eenoudergezin;0.8;31.3
1480;Heemstede;Totaal particulier huishouden;10.7;5.6
1481;Heemstede;Eenpersoonshuishouden;3.6;8.6
1482;Heemstede;Paar zonder kinderen;3.4;2.3
1483;Heemstede;Paar met kinderen;2.9;3.9
1484;Heemstede;Eenoudergezin;0.5;17.5
1485;Heerhugowaard;Totaal particulier huishouden;18.0;8.0
1486;Heerhugowaard;Eenpersoonshuishouden;4.5;14.8
1487;Heerhugowaard;Paar zonder kinderen;5.9;3.0
1488;Heerhugowaard;Paar met kinderen;6.2;4.9
1489;Heerhugowaard;Eenoudergezin;0.8;30.7
1490;Heiloo;Totaal particulier huishouden;8.9;5.2
1491;Heiloo;Eenpersoonshuishouden;2.5;7.0
1492;Heiloo;Paar zonder kinderen;3.2;3.4
1493;Heiloo;Paar met kinderen;2.7;4.0
1494;Heiloo;Eenoudergezin;0.3;23.2
1495;Den Helder;Totaal particulier huishouden;25.6;9.5
1496;Den Helder;Eenpersoonshuishouden;8.6;13.8
1497;Den Helder;Paar zonder kinderen;8.1;2.9
1498;Den Helder;Paar met kinderen;6.6;5.5
1499;Den Helder;Eenoudergezin;1.5;36.4
1500;Hilversum;Totaal particulier huishouden;37.0;8.3
1501;Hilversum;Eenpersoonshuishouden;14.4;11.8
1502;Hilversum;Paar zonder kinderen;11.0;3.3
1503;Hilversum;Paar met kinderen;8.6;5.6
1504;Hilversum;Eenoudergezin;1.7;24.1
1505;Hoorn;Totaal particulier huishouden;27.6;8.7
1506;Hoorn;Eenpersoonshuishouden;8.6;14.4
1507;Hoorn;Paar zonder kinderen;8.4;3.2
1508;Hoorn;Paar met kinderen;8.1;4.7
1509;Hoorn;Eenoudergezin;1.5;31.0
1510;Huizen;Totaal particulier huishouden;16.6;7.3
1511;Huizen;Eenpersoonshuishouden;4.7;11.1
1512;Huizen;Paar zonder kinderen;4.8;3.1
1513;Huizen;Paar met kinderen;5.6;5.3
1514;Huizen;Eenoudergezin;0.9;23.1
1515;Niedorp;Totaal particulier huishouden;4.3;5.3
1516;Niedorp;Eenpersoonshuishouden;0.8;8.3
1517;Niedorp;Paar zonder kinderen;1.6;3.9
1518;Niedorp;Paar met kinderen;1.6;4.4
1519;Niedorp;Eenoudergezin;0.1;16.1
1520;Landsmeer;Totaal particulier huishouden;4.1;6.3
1521;Landsmeer;Eenpersoonshuishouden;1.1;8.7
1522;Landsmeer;Paar zonder kinderen;1.4;3.2
1523;Landsmeer;Paar met kinderen;1.4;5.0
1524;Landsmeer;Eenoudergezin;0.2;25.0
1525;Langedijk;Totaal particulier huishouden;9.3;6.0
1526;Langedijk;Eenpersoonshuishouden;2.1;9.2
1527;Langedijk;Paar zonder kinderen;3.0;3.4
1528;Langedijk;Paar met kinderen;3.5;3.6
1529;Langedijk;Eenoudergezin;0.4;24.7
1530;Laren (NH.);Totaal particulier huishouden;4.4;7.7
1531;Laren (NH.);Eenpersoonshuishouden;1.4;10.8
1532;Laren (NH.);Paar zonder kinderen;1.5;3.8
1533;Laren (NH.);Paar met kinderen;1.2;8.6
1534;Laren (NH.);Eenoudergezin;0.1;13.3
1535;Medemblik;Totaal particulier huishouden;3.3;10.2
1536;Medemblik;Eenpersoonshuishouden;0.9;14.5
1537;Medemblik;Paar zonder kinderen;1.1;3.7
1538;Medemblik;Paar met kinderen;1.0;7.0
1539;Medemblik;Eenoudergezin;0.2;54.1
1540;Muiden;Totaal particulier huishouden;2.7;8.9
1541;Muiden;Eenpersoonshuishouden;0.7;15.0
1542;Muiden;Paar zonder kinderen;0.9;4.0
1543;Muiden;Paar met kinderen;0.8;6.6
1544;Muiden;Eenoudergezin;0.1;16.4
1545;Naarden;Totaal particulier huishouden;7.0;5.8
1546;Naarden;Eenpersoonshuishouden;2.3;7.7
1547;Naarden;Paar zonder kinderen;2.2;3.0
1548;Naarden;Paar met kinderen;2.0;5.8
1549;Naarden;Eenoudergezin;0.3;15.9
1550;Obdam;Totaal particulier huishouden;2.5;4.6
1551;Obdam;Eenpersoonshuishouden;0.5;8.6
1552;Obdam;Paar zonder kinderen;0.8;4.3
1553;Obdam;Paar met kinderen;1.0;3.0
1554;Obdam;Eenoudergezin;0.1;3.7
1555;Oostzaan;Totaal particulier huishouden;3.6;4.0
1556;Oostzaan;Eenpersoonshuishouden;0.8;9.3
1557;Oostzaan;Paar zonder kinderen;1.2;1.7
1558;Oostzaan;Paar met kinderen;1.2;2.2
1559;Oostzaan;Eenoudergezin;0.1;9.6
1560;Opmeer;Totaal particulier huishouden;4.2;5.2
1561;Opmeer;Eenpersoonshuishouden;1.0;4.7
1562;Opmeer;Paar zonder kinderen;1.4;3.8
1563;Opmeer;Paar met kinderen;1.6;4.9
1564;Opmeer;Eenoudergezin;0.1;16.0
1565;Ouder-Amstel;Totaal particulier huishouden;5.4;5.7
1566;Ouder-Amstel;Eenpersoonshuishouden;1.7;8.5
1567;Ouder-Amstel;Paar zonder kinderen;1.6;2.9
1568;Ouder-Amstel;Paar met kinderen;1.6;3.8
1569;Ouder-Amstel;Eenoudergezin;0.3;20.7
1570;Purmerend;Totaal particulier huishouden;30.9;8.3
1571;Purmerend;Eenpersoonshuishouden;9.1;12.6
1572;Purmerend;Paar zonder kinderen;9.4;3.4
1573;Purmerend;Paar met kinderen;9.4;4.3
1574;Purmerend;Eenoudergezin;1.7;33.4
1575;Schagen;Totaal particulier huishouden;7.2;6.7
1576;Schagen;Eenpersoonshuishouden;2.1;11.4
1577;Schagen;Paar zonder kinderen;2.5;2.6
1578;Schagen;Paar met kinderen;2.0;4.0
1579;Schagen;Eenoudergezin;0.4;23.7
1580;Texel;Totaal particulier huishouden;5.5;10.7
1581;Texel;Eenpersoonshuishouden;1.7;13.2
1582;Texel;Paar zonder kinderen;1.8;6.1
1583;Texel;Paar met kinderen;1.6;8.7
1584;Texel;Eenoudergezin;0.2;40.3
1585;Uitgeest;Totaal particulier huishouden;4.5;4.7
1586;Uitgeest;Eenpersoonshuishouden;1.1;10.9
1587;Uitgeest;Paar zonder kinderen;1.5;1.9
1588;Uitgeest;Paar met kinderen;1.7;2.5
1589;Uitgeest;Eenoudergezin;0.1;13.0
1590;Uithoorn;Totaal particulier huishouden;10.9;4.9
1591;Uithoorn;Eenpersoonshuishouden;3.1;8.2
1592;Uithoorn;Paar zonder kinderen;3.7;2.4
1593;Uithoorn;Paar met kinderen;3.4;3.3
1594;Uithoorn;Eenoudergezin;0.5;15.3
1595;Velsen;Totaal particulier huishouden;28.0;7.2
1596;Velsen;Eenpersoonshuishouden;8.8;9.5
1597;Velsen;Paar zonder kinderen;8.6;3.1
1598;Velsen;Paar met kinderen;8.4;4.4
1599;Velsen;Eenoudergezin;1.3;34.9
1600;Venhuizen;Totaal particulier huishouden;2.9;6.1
1601;Venhuizen;Eenpersoonshuishouden;0.6;7.9
1602;Venhuizen;Paar zonder kinderen;1.0;4.0
1603;Venhuizen;Paar met kinderen;1.1;6.1
1604;Venhuizen;Eenoudergezin;;
1605;Weesp;Totaal particulier huishouden;7.9;7.6
1606;Weesp;Eenpersoonshuishouden;3.0;8.6
1607;Weesp;Paar zonder kinderen;2.4;4.8
1608;Weesp;Paar met kinderen;1.9;6.3
1609;Weesp;Eenoudergezin;0.4;27.3
1610;Schermer;Totaal particulier huishouden;1.8;5.6
1611;Schermer;Eenpersoonshuishouden;0.4;7.0
1612;Schermer;Paar zonder kinderen;0.6;4.1
1613;Schermer;Paar met kinderen;0.7;5.8
1614;Schermer;Eenoudergezin;;
1615;Wervershoof;Totaal particulier huishouden;3.1;7.3
1616;Wervershoof;Eenpersoonshuishouden;0.8;7.9
1617;Wervershoof;Paar zonder kinderen;0.9;4.9
1618;Wervershoof;Paar met kinderen;1.2;5.9
1619;Wervershoof;Eenoudergezin;0.1;30.9
1620;Wieringen;Totaal particulier huishouden;3.4;5.8
1621;Wieringen;Eenpersoonshuishouden;0.9;8.2
1622;Wieringen;Paar zonder kinderen;1.3;3.2
1623;Wieringen;Paar met kinderen;1.0;3.5
1624;Wieringen;Eenoudergezin;0.1;33.4
1625;Wieringermeer;Totaal particulier huishouden;4.9;7.9
1626;Wieringermeer;Eenpersoonshuishouden;1.2;7.7
1627;Wieringermeer;Paar zonder kinderen;1.7;6.0
1628;Wieringermeer;Paar met kinderen;1.7;5.9
1629;Wieringermeer;Eenoudergezin;0.2;37.1
1630;Wognum;Totaal particulier huishouden;2.8;5.7
1631;Wognum;Eenpersoonshuishouden;0.6;11.8
1632;Wognum;Paar zonder kinderen;0.9;3.1
1633;Wognum;Paar met kinderen;1.2;3.5
1634;Wognum;Eenoudergezin;0.1;17.8
1635;Zandvoort;Totaal particulier huishouden;7.6;9.5
1636;Zandvoort;Eenpersoonshuishouden;3.1;11.8
1637;Zandvoort;Paar zonder kinderen;2.3;5.1
1638;Zandvoort;Paar met kinderen;1.6;7.0
1639;Zandvoort;Eenoudergezin;0.4;26.0
1640;Zijpe;Totaal particulier huishouden;4.4;9.3
1641;Zijpe;Eenpersoonshuishouden;1.1;16.6
1642;Zijpe;Paar zonder kinderen;1.6;4.0
1643;Zijpe;Paar met kinderen;1.3;7.0
1644;Zijpe;Eenoudergezin;0.2;28.4
1645;Zeevang;Totaal particulier huishouden;2.4;5.5
1646;Zeevang;Eenpersoonshuishouden;0.5;8.6
1647;Zeevang;Paar zonder kinderen;1.0;2.6
1648;Zeevang;Paar met kinderen;0.9;5.4
1649;Zeevang;Eenoudergezin;;
1650;Zaanstad;Totaal particulier huishouden;58.2;8.2
1651;Zaanstad;Eenpersoonshuishouden;18.0;11.7
1652;Zaanstad;Paar zonder kinderen;18.3;3.2
1653;Zaanstad;Paar met kinderen;16.1;5.2
1654;Zaanstad;Eenoudergezin;3.2;32.1
1655;Ter Aar;Totaal particulier huishouden;3.1;4.3
1656;Ter Aar;Eenpersoonshuishouden;0.6;6.0
1657;Ter Aar;Paar zonder kinderen;1.0;2.0
1658;Ter Aar;Paar met kinderen;1.4;4.9
1659;Ter Aar;Eenoudergezin;0.1;4.7
1660;Alblasserdam;Totaal particulier huishouden;7.1;6.4
1661;Alblasserdam;Eenpersoonshuishouden;1.9;10.4
1662;Alblasserdam;Paar zonder kinderen;2.3;3.0
1663;Alblasserdam;Paar met kinderen;2.4;4.4
1664;Alblasserdam;Eenoudergezin;0.3;25.6
1665;Alkemade;Totaal particulier huishouden;5.3;5.8
1666;Alkemade;Eenpersoonshuishouden;1.3;8.9
1667;Alkemade;Paar zonder kinderen;1.6;5.1
1668;Alkemade;Paar met kinderen;2.1;3.4
1669;Alkemade;Eenoudergezin;0.2;21.1
1670;Alphen aan den Rijn;Totaal particulier huishouden;27.8;6.3
1671;Alphen aan den Rijn;Eenpersoonshuishouden;7.8;9.2
1672;Alphen aan den Rijn;Paar zonder kinderen;8.6;2.6
1673;Alphen aan den Rijn;Paar met kinderen;9.0;3.7
1674;Alphen aan den Rijn;Eenoudergezin;1.3;30.7
1675;Barendrecht;Totaal particulier huishouden;13.6;4.1
1676;Barendrecht;Eenpersoonshuishouden;2.8;6.7
1677;Barendrecht;Paar zonder kinderen;4.7;1.5
1678;Barendrecht;Paar met kinderen;5.1;3.7
1679;Barendrecht;Eenoudergezin;0.5;13.9
1680;Bergambacht;Totaal particulier huishouden;3.5;4.8
1681;Bergambacht;Eenpersoonshuishouden;0.8;5.4
1682;Bergambacht;Paar zonder kinderen;1.2;3.0
1683;Bergambacht;Paar met kinderen;1.3;5.9
1684;Bergambacht;Eenoudergezin;0.1;13.8
1685;Bergschenhoek;Totaal particulier huishouden;5.4;4.2
1686;Bergschenhoek;Eenpersoonshuishouden;0.9;6.2
1687;Bergschenhoek;Paar zonder kinderen;1.7;2.8
1688;Bergschenhoek;Paar met kinderen;2.4;2.7
1689;Bergschenhoek;Eenoudergezin;0.2;29.6
1690;Berkel en Rodenrijs;Totaal particulier huishouden;6.4;6.9
1691;Berkel en Rodenrijs;Eenpersoonshuishouden;1.5;11.9
1692;Berkel en Rodenrijs;Paar zonder kinderen;2.1;2.5
1693;Berkel en Rodenrijs;Paar met kinderen;2.4;5.0
1694;Berkel en Rodenrijs;Eenoudergezin;0.3;25.3
1695;Bleiswijk;Totaal particulier huishouden;3.7;5.4
1696;Bleiswijk;Eenpersoonshuishouden;0.7;5.5
1697;Bleiswijk;Paar zonder kinderen;1.2;3.7
1698;Bleiswijk;Paar met kinderen;1.6;4.9
1699;Bleiswijk;Eenoudergezin;0.2;18.7
1700;Bodegraven;Totaal particulier huishouden;7.2;5.5
1701;Bodegraven;Eenpersoonshuishouden;1.7;8.6
1702;Bodegraven;Paar zonder kinderen;2.2;2.5
1703;Bodegraven;Paar met kinderen;2.8;4.4
1704;Bodegraven;Eenoudergezin;0.2;20.9
1705;Drechterland;Totaal particulier huishouden;3.7;3.6
1706;Drechterland;Eenpersoonshuishouden;0.8;7.7
1707;Drechterland;Paar zonder kinderen;1.2;1.9
1708;Drechterland;Paar met kinderen;1.5;2.5
1709;Drechterland;Eenoudergezin;0.1;7.0
1710;Boskoop;Totaal particulier huishouden;5.8;6.4
1711;Boskoop;Eenpersoonshuishouden;1.4;12.5
1712;Boskoop;Paar zonder kinderen;2.0;2.3
1713;Boskoop;Paar met kinderen;2.1;4.5
1714;Boskoop;Eenoudergezin;0.2;31.0
1715;Brielle;Totaal particulier huishouden;6.6;6.1
1716;Brielle;Eenpersoonshuishouden;1.7;10.4
1717;Brielle;Paar zonder kinderen;2.4;2.5
1718;Brielle;Paar met kinderen;2.0;5.6
1719;Brielle;Eenoudergezin;0.2;20.5
1720;Capelle aan den IJssel;Totaal particulier huishouden;27.5;8.1
1721;Capelle aan den IJssel;Eenpersoonshuishouden;9.1;12.7
1722;Capelle aan den IJssel;Paar zonder kinderen;8.2;3.0
1723;Capelle aan den IJssel;Paar met kinderen;7.6;4.4
1724;Capelle aan den IJssel;Eenoudergezin;1.7;24.5
1725;Delft;Totaal particulier huishouden;39.1;10.9
1726;Delft;Eenpersoonshuishouden;15.9;14.4
1727;Delft;Paar zonder kinderen;11.1;4.1
1728;Delft;Paar met kinderen;8.5;8.1
1729;Delft;Eenoudergezin;2.3;31.4
1730;Dirksland;Totaal particulier huishouden;3.1;4.4
1731;Dirksland;Eenpersoonshuishouden;0.8;6.2
1732;Dirksland;Paar zonder kinderen;1.0;4.5
1733;Dirksland;Paar met kinderen;1.1;2.9
1734;Dirksland;Eenoudergezin;0.1;5.1
1735;Dordrecht;Totaal particulier huishouden;50.2;12.0
1736;Dordrecht;Eenpersoonshuishouden;17.0;16.3
1737;Dordrecht;Paar zonder kinderen;14.5;5.0
1738;Dordrecht;Paar met kinderen;13.3;7.8
1739;Dordrecht;Eenoudergezin;3.1;39.3
1740;Goedereede;Totaal particulier huishouden;4.2;4.5
1741;Goedereede;Eenpersoonshuishouden;0.8;5.0
1742;Goedereede;Paar zonder kinderen;1.4;3.6
1743;Goedereede;Paar met kinderen;1.7;4.1
1744;Goedereede;Eenoudergezin;0.2;11.0
1745;Gorinchem;Totaal particulier huishouden;14.3;7.8
1746;Gorinchem;Eenpersoonshuishouden;4.7;11.9
1747;Gorinchem;Paar zonder kinderen;4.3;4.1
1748;Gorinchem;Paar met kinderen;4.0;5.0
1749;Gorinchem;Eenoudergezin;0.7;22.7
1750;Gouda;Totaal particulier huishouden;29.2;9.0
1751;Gouda;Eenpersoonshuishouden;9.6;12.6
1752;Gouda;Paar zonder kinderen;8.8;4.4
1753;Gouda;Paar met kinderen;8.4;5.7
1754;Gouda;Eenoudergezin;1.3;34.6
1755;'s-Gravendeel;Totaal particulier huishouden;3.6;4.3
1756;'s-Gravendeel;Eenpersoonshuishouden;0.8;6.4
1757;'s-Gravendeel;Paar zonder kinderen;1.3;2.2
1758;'s-Gravendeel;Paar met kinderen;1.2;3.7
1759;'s-Gravendeel;Eenoudergezin;0.1;20.8
1760;'s-Gravenhage (gemeente);Totaal particulier huishouden;207.2;14.4
1761;'s-Gravenhage (gemeente);Eenpersoonshuishouden;93.5;16.1
1762;'s-Gravenhage (gemeente);Paar zonder kinderen;48.0;5.9
1763;'s-Gravenhage (gemeente);Paar met kinderen;39.4;12.2
1764;'s-Gravenhage (gemeente);Eenoudergezin;15.6;37.7
1765;'s-Gravenzande;Totaal particulier huishouden;7.3;6.6
1766;'s-Gravenzande;Eenpersoonshuishouden;1.6;8.9
1767;'s-Gravenzande;Paar zonder kinderen;2.4;3.2
1768;'s-Gravenzande;Paar met kinderen;2.8;6.1
1769;'s-Gravenzande;Eenoudergezin;0.3;27.4
1770;Hardinxveld-Giessendam;Totaal particulier huishouden;6.3;3.0
1771;Hardinxveld-Giessendam;Eenpersoonshuishouden;1.4;4.8
1772;Hardinxveld-Giessendam;Paar zonder kinderen;1.9;2.2
1773;Hardinxveld-Giessendam;Paar met kinderen;2.6;1.5
1774;Hardinxveld-Giessendam;Eenoudergezin;0.2;15.4
1775;Noorder-Koggenland;Totaal particulier huishouden;4.0;5.7
1776;Noorder-Koggenland;Eenpersoonshuishouden;0.9;9.1
1777;Noorder-Koggenland;Paar zonder kinderen;1.4;1.8
1778;Noorder-Koggenland;Paar met kinderen;1.4;4.3
1779;Noorder-Koggenland;Eenoudergezin;0.2;29.2
1780;Hellevoetsluis;Totaal particulier huishouden;15.8;8.5
1781;Hellevoetsluis;Eenpersoonshuishouden;4.1;15.8
1782;Hellevoetsluis;Paar zonder kinderen;5.2;3.2
1783;Hellevoetsluis;Paar met kinderen;5.1;4.5
1784;Hellevoetsluis;Eenoudergezin;0.8;33.4
1785;Hendrik-Ido-Ambacht;Totaal particulier huishouden;8.3;4.6
1786;Hendrik-Ido-Ambacht;Eenpersoonshuishouden;1.8;7.1
1787;Hendrik-Ido-Ambacht;Paar zonder kinderen;2.8;2.6
1788;Hendrik-Ido-Ambacht;Paar met kinderen;3.1;3.7
1789;Hendrik-Ido-Ambacht;Eenoudergezin;0.3;17.9
1790;Stede Broec;Totaal particulier huishouden;8.0;5.6
1791;Stede Broec;Eenpersoonshuishouden;1.7;10.6
1792;Stede Broec;Paar zonder kinderen;2.8;2.1
1793;Stede Broec;Paar met kinderen;2.9;3.4
1794;Stede Broec;Eenoudergezin;0.3;30.3
1795;Hillegom;Totaal particulier huishouden;8.3;6.1
1796;Hillegom;Eenpersoonshuishouden;2.5;10.6
1797;Hillegom;Paar zonder kinderen;2.7;2.0
1798;Hillegom;Paar met kinderen;2.6;3.4
1799;Hillegom;Eenoudergezin;0.3;26.6
1800;Katwijk;Totaal particulier huishouden;15.2;5.8
1801;Katwijk;Eenpersoonshuishouden;4.1;8.6
1802;Katwijk;Paar zonder kinderen;4.0;3.6
1803;Katwijk;Paar met kinderen;6.0;3.7
1804;Katwijk;Eenoudergezin;0.7;18.8
1805;Krimpen aan den IJssel;Totaal particulier huishouden;11.2;5.5
1806;Krimpen aan den IJssel;Eenpersoonshuishouden;2.6;8.4
1807;Krimpen aan den IJssel;Paar zonder kinderen;3.9;2.4
1808;Krimpen aan den IJssel;Paar met kinderen;3.8;3.4
1809;Krimpen aan den IJssel;Eenoudergezin;0.5;30.8
1810;Leerdam;Totaal particulier huishouden;7.8;6.7
1811;Leerdam;Eenpersoonshuishouden;2.0;11.3
1812;Leerdam;Paar zonder kinderen;2.3;2.8
1813;Leerdam;Paar met kinderen;2.8;5.3
1814;Leerdam;Eenoudergezin;0.4;18.9
1815;Leiden;Totaal particulier huishouden;49.7;10.4
1816;Leiden;Eenpersoonshuishouden;21.2;13.5
1817;Leiden;Paar zonder kinderen;13.4;4.3
1818;Leiden;Paar met kinderen;11.0;7.0
1819;Leiden;Eenoudergezin;2.4;32.4
1820;Leiderdorp;Totaal particulier huishouden;10.8;6.0
1821;Leiderdorp;Eenpersoonshuishouden;3.2;9.9
1822;Leiderdorp;Paar zonder kinderen;3.5;2.2
1823;Leiderdorp;Paar met kinderen;3.3;4.7
1824;Leiderdorp;Eenoudergezin;0.5;18.9
1825;De Lier;Totaal particulier huishouden;4.1;3.4
1826;De Lier;Eenpersoonshuishouden;0.8;5.1
1827;De Lier;Paar zonder kinderen;1.4;3.0
1828;De Lier;Paar met kinderen;1.6;2.5
1829;De Lier;Eenoudergezin;0.1;11.0
1830;Lisse;Totaal particulier huishouden;8.8;5.1
1831;Lisse;Eenpersoonshuishouden;2.4;9.2
1832;Lisse;Paar zonder kinderen;3.0;2.2
1833;Lisse;Paar met kinderen;2.9;3.4
1834;Lisse;Eenoudergezin;0.3;11.6
1835;Maasland;Totaal particulier huishouden;2.5;5.5
1836;Maasland;Eenpersoonshuishouden;0.5;6.9
1837;Maasland;Paar zonder kinderen;0.8;3.7
1838;Maasland;Paar met kinderen;1.0;4.1
1839;Maasland;Eenoudergezin;0.1;31.2
1840;Maassluis;Totaal particulier huishouden;13.4;8.0
1841;Maassluis;Eenpersoonshuishouden;3.8;10.5
1842;Maassluis;Paar zonder kinderen;4.4;3.3
1843;Maassluis;Paar met kinderen;3.9;6.2
1844;Maassluis;Eenoudergezin;0.7;32.9
1845;Wester-Koggenland;Totaal particulier huishouden;5.1;5.9
1846;Wester-Koggenland;Eenpersoonshuishouden;1.2;9.3
1847;Wester-Koggenland;Paar zonder kinderen;1.7;3.3
1848;Wester-Koggenland;Paar met kinderen;1.9;4.5
1849;Wester-Koggenland;Eenoudergezin;0.1;23.9
1850;Middelharnis;Totaal particulier huishouden;6.8;5.5
1851;Middelharnis;Eenpersoonshuishouden;1.8;7.1
1852;Middelharnis;Paar zonder kinderen;2.3;3.7
1853;Middelharnis;Paar met kinderen;2.3;4.5
1854;Middelharnis;Eenoudergezin;0.3;20.4
1855;Monster;Totaal particulier huishouden;8.1;9.5
1856;Monster;Eenpersoonshuishouden;2.4;21.3
1857;Monster;Paar zonder kinderen;2.4;3.4
1858;Monster;Paar met kinderen;2.8;3.9
1859;Monster;Eenoudergezin;0.3;16.2
1860;Moordrecht;Totaal particulier huishouden;2.9;6.9
1861;Moordrecht;Eenpersoonshuishouden;0.6;15.0
1862;Moordrecht;Paar zonder kinderen;0.9;3.4
1863;Moordrecht;Paar met kinderen;1.2;3.4
1864;Moordrecht;Eenoudergezin;0.1;27.4
1865;Naaldwijk;Totaal particulier huishouden;10.7;5.5
1866;Naaldwijk;Eenpersoonshuishouden;2.6;5.6
1867;Naaldwijk;Paar zonder kinderen;3.4;3.9
1868;Naaldwijk;Paar met kinderen;4.2;5.9
1869;Naaldwijk;Eenoudergezin;0.3;19.5
1870;Nieuwerkerk aan den IJssel;Totaal particulier huishouden;8.4;5.3
1871;Nieuwerkerk aan den IJssel;Eenpersoonshuishouden;1.9;9.2
1872;Nieuwerkerk aan den IJssel;Paar zonder kinderen;2.6;2.8
1873;Nieuwerkerk aan den IJssel;Paar met kinderen;3.3;3.4
1874;Nieuwerkerk aan den IJssel;Eenoudergezin;0.4;18.0
1875;Bernisse;Totaal particulier huishouden;5.0;4.9
1876;Bernisse;Eenpersoonshuishouden;1.0;9.0
1877;Bernisse;Paar zonder kinderen;1.8;2.7
1878;Bernisse;Paar met kinderen;1.8;3.3
1879;Bernisse;Eenoudergezin;0.2;16.0
1880;Nieuwkoop;Totaal particulier huishouden;4.1;5.3
1881;Nieuwkoop;Eenpersoonshuishouden;0.9;7.6
1882;Nieuwkoop;Paar zonder kinderen;1.3;2.7
1883;Nieuwkoop;Paar met kinderen;1.5;3.8
1884;Nieuwkoop;Eenoudergezin;0.2;22.5
1885;Nieuw-Lekkerland;Totaal particulier huishouden;3.2;4.1
1886;Nieuw-Lekkerland;Eenpersoonshuishouden;0.6;7.2
1887;Nieuw-Lekkerland;Paar zonder kinderen;0.9;1.6
1888;Nieuw-Lekkerland;Paar met kinderen;1.4;4.6
1889;Nieuw-Lekkerland;Eenoudergezin;0.1;3.0
1890;Noordwijk;Totaal particulier huishouden;9.7;6.9
1891;Noordwijk;Eenpersoonshuishouden;3.2;10.5
1892;Noordwijk;Paar zonder kinderen;2.8;3.7
