ID;EmploymentType;SectorBranchesSIC2008;Periods;EmployedPersons_1;EmployedPersonsSeasonalAdjusted_2;Jobs_3;JobsSeasonalAdjusted_4;HoursWorked_5;HoursWorkedSeasonalAdjusted_6
273;Total;B-E Industry (no construction), energy;2003 2nd quarter;963.0;961.0;984.0;982.0;383.0;390.0
274;Total;B-E Industry (no construction), energy;2003 3rd quarter;953.0;954.0;975.0;975.0;337.0;387.0
275;Total;B-E Industry (no construction), energy;2003 4th quarter;952.0;948.0;972.0;969.0;417.0;386.0
276;Total;B-E Industry (no construction), energy;2003;958.0;;979.0;;1557.0;
277;Total;B-E Industry (no construction), energy;2004 1st quarter;932.0;937.0;955.0;961.0;413.0;386.0
278;Total;B-E Industry (no construction), energy;2004 2nd quarter;935.0;932.0;959.0;955.0;370.0;383.0
279;Total;B-E Industry (no construction), energy;2004 3rd quarter;924.0;925.0;948.0;949.0;329.0;380.0
280;Total;B-E Industry (no construction), energy;2004 4th quarter;921.0;920.0;945.0;944.0;412.0;375.0
281;Total;B-E Industry (no construction), energy;2004;928.0;;952.0;;1524.0;
282;Total;B-E Industry (no construction), energy;2005 1st quarter;914.0;917.0;939.0;941.0;398.0;375.0
283;Total;B-E Industry (no construction), energy;2005 2nd quarter;915.0;913.0;940.0;937.0;366.0;372.0
284;Total;B-E Industry (no construction), energy;2005 3rd quarter;907.0;908.0;931.0;932.0;324.0;369.0
285;Total;B-E Industry (no construction), energy;2005 4th quarter;906.0;905.0;931.0;930.0;396.0;367.0
286;Total;B-E Industry (no construction), energy;2005;911.0;;935.0;;1484.0;
287;Total;B-E Industry (no construction), energy;2006 1st quarter;907.0;909.0;932.0;935.0;403.0;369.0
288;Total;B-E Industry (no construction), energy;2006 2nd quarter;906.0;904.0;931.0;929.0;356.0;367.0
289;Total;B-E Industry (no construction), energy;2006 3rd quarter;902.0;902.0;928.0;927.0;320.0;366.0
290;Total;B-E Industry (no construction), energy;2006 4th quarter;903.0;902.0;928.0;927.0;388.0;365.0
291;Total;B-E Industry (no construction), energy;2006;904.0;;930.0;;1468.0;
292;Total;B-E Industry (no construction), energy;2007 1st quarter;897.0;902.0;922.0;928.0;396.0;366.0
293;Total;B-E Industry (no construction), energy;2007 2nd quarter;909.0;904.0;935.0;930.0;356.0;368.0
294;Total;B-E Industry (no construction), energy;2007 3rd quarter;907.0;906.0;933.0;932.0;322.0;367.0
295;Total;B-E Industry (no construction), energy;2007 4th quarter;906.0;905.0;931.0;931.0;395.0;367.0
296;Total;B-E Industry (no construction), energy;2007;905.0;;930.0;;1468.0;
297;Total;B-E Industry (no construction), energy;2008 1st quarter;905.0;909.0;930.0;935.0;391.0;367.0
298;Total;B-E Industry (no construction), energy;2008 2nd quarter;912.0;909.0;939.0;935.0;357.0;367.0
299;Total;B-E Industry (no construction), energy;2008 3rd quarter;912.0;910.0;939.0;937.0;328.0;367.0
300;Total;B-E Industry (no construction), energy;2008 4th quarter;906.0;908.0;933.0;935.0;391.0;366.0
301;Total;B-E Industry (no construction), energy;2008;909.0;;935.0;;1467.0;
302;Total;B-E Industry (no construction), energy;2009 1st quarter;899.0;901.0;926.0;929.0;381.0;359.0
303;Total;B-E Industry (no construction), energy;2009 2nd quarter;892.0;889.0;920.0;916.0;338.0;353.0
304;Total;B-E Industry (no construction), energy;2009 3rd quarter;878.0;878.0;905.0;905.0;314.0;348.0
305;Total;B-E Industry (no construction), energy;2009 4th quarter;870.0;872.0;895.0;899.0;373.0;346.0
306;Total;B-E Industry (no construction), energy;2009;885.0;;912.0;;1406.0;
307;Total;B-E Industry (no construction), energy;2010 1st quarter;869.0;868.0;897.0;896.0;367.0;347.0
308;Total;B-E Industry (no construction), energy;2010 2nd quarter;867.0;865.0;896.0;893.0;329.0;348.0
309;Total;B-E Industry (no construction), energy;2010 3rd quarter;859.0;860.0;888.0;889.0;319.0;351.0
310;Total;B-E Industry (no construction), energy;2010 4th quarter;855.0;857.0;883.0;887.0;377.0;347.0
311;Total;B-E Industry (no construction), energy;2010;863.0;;891.0;;1392.0;
312;Total;B-E Industry (no construction), energy;2011 1st quarter;859.0;855.0;888.0;886.0;371.0;346.0
313;Total;B-E Industry (no construction), energy;2011 2nd quarter;857.0;856.0;887.0;885.0;334.0;346.0
314;Total;B-E Industry (no construction), energy;2011 3rd quarter;856.0;857.0;884.0;886.0;319.0;349.0
315;Total;B-E Industry (no construction), energy;2011 4th quarter;858.0;858.0;887.0;887.0;366.0;348.0
316;Total;B-E Industry (no construction), energy;2011;857.0;;887.0;;1390.0;
317;Total;B-E Industry (no construction), energy;2012 1st quarter;853.0;854.0;883.0;883.0;374.0;346.0
318;Total;B-E Industry (no construction), energy;2012 2nd quarter;851.0;851.0;883.0;881.0;333.0;345.0
319;Total;B-E Industry (no construction), energy;2012 3rd quarter;846.0;845.0;876.0;875.0;309.0;341.0
320;Total;B-E Industry (no construction), energy;2012 4th quarter;839.0;841.0;867.0;870.0;351.0;335.0
321;Total;B-E Industry (no construction), energy;2012;848.0;;877.0;;1367.0;
322;Total;B-E Industry (no construction), energy;2013 1st quarter;837.0;838.0;867.0;867.0;359.0;339.0
323;Total;B-E Industry (no construction), energy;2013 2nd quarter;836.0;836.0;865.0;865.0;332.0;341.0
324;Total;B-E Industry (no construction), energy;2013 3rd quarter;836.0;834.0;866.0;863.0;313.0;340.0
325;Total;B-E Industry (no construction), energy;2013 4th quarter;831.0;832.0;858.0;861.0;356.0;340.0
326;Total;B-E Industry (no construction), energy;2013;835.0;;864.0;;1361.0;
327;Total;B-E Industry (no construction), energy;2014 1st quarter;829.0;829.0;858.0;858.0;362.0;342.0
328;Total;B-E Industry (no construction), energy;2014 2nd quarter;829.0;829.0;860.0;859.0;329.0;338.0
329;Total;B-E Industry (no construction), energy;2014 3rd quarter;831.0;830.0;861.0;860.0;314.0;342.0
330;Total;B-E Industry (no construction), energy;2014 4th quarter;832.0;831.0;863.0;862.0;356.0;340.0
331;Total;B-E Industry (no construction), energy;2014;830.0;;860.0;;1362.0;
332;Total;B-E Industry (no construction), energy;2015 1st quarter;828.0;832.0;856.0;863.0;354.0;335.0
333;Total;B-E Industry (no construction), energy;2015 2nd quarter;835.0;833.0;867.0;864.0;328.0;341.0
334;Total;B-E Industry (no construction), energy;2015 3rd quarter;833.0;833.0;863.0;864.0;310.0;337.0
335;Total;B-E Industry (no construction), energy;2015 4th quarter;832.0;832.0;864.0;862.0;361.0;341.0
336;Total;B-E Industry (no construction), energy;2015;832.0;;862.0;;1354.0;
337;Total;B-E Industry (no construction), energy;2016 1st quarter;831.0;833.0;859.0;863.0;355.0;338.0
338;Total;B-E Industry (no construction), energy;2016 2nd quarter;834.0;832.0;865.0;862.0;337.0;342.0
339;Total;B-E Industry (no construction), energy;2016 3rd quarter;832.0;833.0;863.0;863.0;314.0;342.0
340;Total;B-E Industry (no construction), energy;2016 4th quarter;837.0;836.0;867.0;867.0;357.0;341.0
341;Total;B-E Industry (no construction), energy;2016;833.0;;863.0;;1363.0;
342;Total;B-E Industry (no construction), energy;2017 1st quarter;835.0;836.0;864.0;866.0;368.0;341.0
343;Total;B-E Industry (no construction), energy;2017 2nd quarter;840.0;839.0;868.0;867.0;332.0;341.0
344;Total;B-E Industry (no construction), energy;2017 3rd quarter;840.0;840.0;868.0;867.0;311.0;342.0
345;Total;B-E Industry (no construction), energy;2017 4th quarter;840.0;841.0;868.0;869.0;353.0;341.0
346;Total;B-E Industry (no construction), energy;2017;839.0;;867.0;;1364.0;
347;Total;B-E Industry (no construction), energy;2018 1st quarter;844.0;844.0;871.0;873.0;365.0;342.0
348;Total;C Manufacturing;1995 1st quarter;927.0;933.0;950.0;957.0;408.0;377.0
349;Total;C Manufacturing;1995 2nd quarter;935.0;936.0;958.0;959.0;372.0;384.0
350;Total;C Manufacturing;1995 3rd quarter;945.0;943.0;968.0;966.0;336.0;390.0
351;Total;C Manufacturing;1995 4th quarter;947.0;941.0;971.0;964.0;426.0;391.0
352;Total;C Manufacturing;1995;938.0;;962.0;;1542.0;
353;Total;C Manufacturing;1996 1st quarter;917.0;922.0;940.0;946.0;410.0;386.0
354;Total;C Manufacturing;1996 2nd quarter;921.0;922.0;944.0;945.0;372.0;382.0
355;Total;C Manufacturing;1996 3rd quarter;926.0;925.0;949.0;948.0;335.0;387.0
356;Total;C Manufacturing;1996 4th quarter;934.0;930.0;958.0;953.0;427.0;389.0
357;Total;C Manufacturing;1996;924.0;;948.0;;1544.0;
358;Total;C Manufacturing;1997 1st quarter;929.0;933.0;951.0;956.0;403.0;387.0
359;Total;C Manufacturing;1997 2nd quarter;936.0;936.0;958.0;958.0;387.0;389.0
360;Total;C Manufacturing;1997 3rd quarter;938.0;937.0;961.0;960.0;335.0;386.0
361;Total;C Manufacturing;1997 4th quarter;944.0;939.0;967.0;962.0;427.0;390.0
362;Total;C Manufacturing;1997;937.0;;959.0;;1552.0;
363;Total;C Manufacturing;1998 1st quarter;936.0;942.0;961.0;966.0;416.0;394.0
364;Total;C Manufacturing;1998 2nd quarter;944.0;943.0;968.0;968.0;385.0;392.0
365;Total;C Manufacturing;1998 3rd quarter;944.0;944.0;969.0;969.0;337.0;392.0
366;Total;C Manufacturing;1998 4th quarter;949.0;945.0;974.0;970.0;429.0;389.0
367;Total;C Manufacturing;1998;943.0;;968.0;;1567.0;
368;Total;C Manufacturing;1999 1st quarter;939.0;944.0;965.0;971.0;412.0;392.0
369;Total;C Manufacturing;1999 2nd quarter;945.0;944.0;972.0;971.0;383.0;392.0
370;Total;C Manufacturing;1999 3rd quarter;945.0;944.0;971.0;971.0;334.0;390.0
371;Total;C Manufacturing;1999 4th quarter;951.0;947.0;977.0;972.0;435.0;391.0
372;Total;C Manufacturing;1999;945.0;;971.0;;1565.0;
373;Total;C Manufacturing;2000 1st quarter;941.0;946.0;966.0;971.0;419.0;386.0
374;Total;C Manufacturing;2000 2nd quarter;951.0;950.0;976.0;974.0;386.0;393.0
375;Total;C Manufacturing;2000 3rd quarter;951.0;950.0;975.0;975.0;327.0;383.0
376;Total;C Manufacturing;2000 4th quarter;955.0;952.0;980.0;976.0;414.0;385.0
377;Total;C Manufacturing;2000;949.0;;974.0;;1546.0;
378;Total;C Manufacturing;2001 1st quarter;947.0;952.0;969.0;975.0;416.0;386.0
379;Total;C Manufacturing;2001 2nd quarter;952.0;951.0;975.0;973.0;381.0;387.0
380;Total;C Manufacturing;2001 3rd quarter;947.0;947.0;970.0;970.0;328.0;385.0
381;Total;C Manufacturing;2001 4th quarter;944.0;940.0;967.0;962.0;416.0;383.0
382;Total;C Manufacturing;2001;948.0;;970.0;;1541.0;
383;Total;C Manufacturing;2002 1st quarter;930.0;935.0;952.0;958.0;402.0;378.0
384;Total;C Manufacturing;2002 2nd quarter;930.0;928.0;951.0;950.0;369.0;375.0
385;Total;C Manufacturing;2002 3rd quarter;922.0;922.0;943.0;943.0;323.0;373.0
386;Total;C Manufacturing;2002 4th quarter;921.0;917.0;942.0;937.0;404.0;372.0
387;Total;C Manufacturing;2002;926.0;;947.0;;1497.0;
388;Total;C Manufacturing;2003 1st quarter;902.0;907.0;921.0;927.0;392.0;367.0
389;Total;C Manufacturing;2003 2nd quarter;899.0;898.0;919.0;918.0;357.0;363.0
390;Total;C Manufacturing;2003 3rd quarter;890.0;891.0;911.0;911.0;314.0;360.0
391;Total;C Manufacturing;2003 4th quarter;889.0;885.0;908.0;904.0;387.0;359.0
392;Total;C Manufacturing;2003;895.0;;915.0;;1450.0;
393;Total;C Manufacturing;2004 1st quarter;870.0;876.0;892.0;898.0;385.0;359.0
394;Total;C Manufacturing;2004 2nd quarter;873.0;870.0;896.0;892.0;346.0;357.0
395;Total;C Manufacturing;2004 3rd quarter;862.0;864.0;885.0;886.0;306.0;354.0
396;Total;C Manufacturing;2004 4th quarter;860.0;858.0;883.0;881.0;383.0;349.0
397;Total;C Manufacturing;2004;866.0;;889.0;;1419.0;
398;Total;C Manufacturing;2005 1st quarter;853.0;855.0;877.0;879.0;370.0;349.0
399;Total;C Manufacturing;2005 2nd quarter;854.0;852.0;878.0;875.0;341.0;346.0
400;Total;C Manufacturing;2005 3rd quarter;846.0;847.0;869.0;870.0;301.0;343.0
401;Total;C Manufacturing;2005 4th quarter;845.0;844.0;868.0;867.0;367.0;341.0
402;Total;C Manufacturing;2005;850.0;;873.0;;1379.0;
403;Total;C Manufacturing;2006 1st quarter;847.0;849.0;871.0;874.0;376.0;344.0
404;Total;C Manufacturing;2006 2nd quarter;846.0;845.0;870.0;869.0;332.0;342.0
405;Total;C Manufacturing;2006 3rd quarter;842.0;842.0;867.0;866.0;297.0;341.0
406;Total;C Manufacturing;2006 4th quarter;842.0;841.0;867.0;866.0;360.0;339.0
407;Total;C Manufacturing;2006;845.0;;869.0;;1365.0;
408;Total;C Manufacturing;2007 1st quarter;837.0;842.0;861.0;866.0;368.0;340.0
409;Total;C Manufacturing;2007 2nd quarter;849.0;844.0;873.0;869.0;331.0;342.0
410;Total;C Manufacturing;2007 3rd quarter;845.0;845.0;871.0;871.0;299.0;341.0
411;Total;C Manufacturing;2007 4th quarter;845.0;844.0;870.0;869.0;366.0;341.0
412;Total;C Manufacturing;2007;844.0;;869.0;;1365.0;
413;Total;C Manufacturing;2008 1st quarter;844.0;848.0;868.0;873.0;363.0;341.0
414;Total;C Manufacturing;2008 2nd quarter;850.0;847.0;876.0;872.0;331.0;341.0
415;Total;C Manufacturing;2008 3rd quarter;850.0;849.0;876.0;875.0;305.0;341.0
416;Total;C Manufacturing;2008 4th quarter;844.0;845.0;870.0;872.0;363.0;340.0
417;Total;C Manufacturing;2008;847.0;;872.0;;1362.0;
418;Total;C Manufacturing;2009 1st quarter;836.0;839.0;863.0;866.0;353.0;332.0
419;Total;C Manufacturing;2009 2nd quarter;830.0;827.0;857.0;853.0;313.0;326.0
420;Total;C Manufacturing;2009 3rd quarter;817.0;816.0;842.0;842.0;290.0;321.0
421;Total;C Manufacturing;2009 4th quarter;807.0;809.0;831.0;834.0;344.0;320.0
422;Total;C Manufacturing;2009;822.0;;848.0;;1299.0;
423;Total;C Manufacturing;2010 1st quarter;805.0;805.0;832.0;831.0;338.0;320.0
424;Total;C Manufacturing;2010 2nd quarter;804.0;801.0;831.0;828.0;304.0;321.0
425;Total;C Manufacturing;2010 3rd quarter;796.0;796.0;823.0;823.0;294.0;323.0
426;Total;C Manufacturing;2010 4th quarter;791.0;793.0;817.0;821.0;347.0;320.0
427;Total;C Manufacturing;2010;799.0;;825.0;;1283.0;
428;Total;C Manufacturing;2011 1st quarter;795.0;791.0;822.0;820.0;341.0;319.0
429;Total;C Manufacturing;2011 2nd quarter;792.0;791.0;820.0;819.0;307.0;319.0
430;Total;C Manufacturing;2011 3rd quarter;791.0;792.0;818.0;819.0;294.0;321.0
431;Total;C Manufacturing;2011 4th quarter;791.0;792.0;817.0;819.0;337.0;320.0
432;Total;C Manufacturing;2011;792.0;;819.0;;1279.0;
433;Total;C Manufacturing;2012 1st quarter;790.0;789.0;817.0;816.0;345.0;319.0
434;Total;C Manufacturing;2012 2nd quarter;786.0;786.0;815.0;813.0;306.0;317.0
435;Total;C Manufacturing;2012 3rd quarter;782.0;781.0;809.0;808.0;284.0;314.0
436;Total;C Manufacturing;2012 4th quarter;775.0;777.0;802.0;805.0;323.0;308.0
437;Total;C Manufacturing;2012;783.0;;811.0;;1258.0;
438;Total;C Manufacturing;2013 1st quarter;772.0;772.0;800.0;800.0;329.0;311.0
439;Total;C Manufacturing;2013 2nd quarter;771.0;770.0;799.0;797.0;305.0;313.0
440;Total;C Manufacturing;2013 3rd quarter;770.0;769.0;798.0;795.0;287.0;312.0
441;Total;C Manufacturing;2013 4th quarter;764.0;767.0;789.0;793.0;326.0;311.0
442;Total;C Manufacturing;2013;769.0;;796.0;;1247.0;
443;Total;C Manufacturing;2014 1st quarter;764.0;764.0;791.0;791.0;332.0;313.0
444;Total;C Manufacturing;2014 2nd quarter;765.0;764.0;793.0;791.0;302.0;309.0
445;Total;C Manufacturing;2014 3rd quarter;764.0;764.0;791.0;791.0;287.0;313.0
446;Total;C Manufacturing;2014 4th quarter;765.0;765.0;792.0;792.0;326.0;311.0
447;Total;C Manufacturing;2014;765.0;;792.0;;1246.0;
448;Total;C Manufacturing;2015 1st quarter;762.0;766.0;788.0;793.0;324.0;307.0
449;Total;C Manufacturing;2015 2nd quarter;767.0;766.0;797.0;794.0;300.0;311.0
450;Total;C Manufacturing;2015 3rd quarter;766.0;766.0;793.0;794.0;284.0;309.0
451;Total;C Manufacturing;2015 4th quarter;766.0;766.0;795.0;793.0;331.0;312.0
452;Total;C Manufacturing;2015;766.0;;793.0;;1240.0;
453;Total;C Manufacturing;2016 1st quarter;765.0;767.0;790.0;794.0;326.0;310.0
454;Total;C Manufacturing;2016 2nd quarter;768.0;766.0;797.0;793.0;309.0;313.0
455;Total;C Manufacturing;2016 3rd quarter;765.0;767.0;792.0;794.0;288.0;313.0
456;Total;C Manufacturing;2016 4th quarter;772.0;772.0;800.0;799.0;328.0;313.0
457;Total;C Manufacturing;2016;768.0;;795.0;;1249.0;
458;Total;C Manufacturing;2017 1st quarter;770.0;771.0;797.0;798.0;337.0;313.0
459;Total;C Manufacturing;2017 2nd quarter;774.0;773.0;801.0;799.0;305.0;313.0
460;Total;C Manufacturing;2017 3rd quarter;774.0;774.0;800.0;799.0;285.0;313.0
461;Total;C Manufacturing;2017 4th quarter;774.0;775.0;799.0;800.0;323.0;312.0
462;Total;C Manufacturing;2017;773.0;;799.0;;1251.0;
463;Total;C Manufacturing;2018 1st quarter;777.0;778.0;801.0;803.0;334.0;313.0
464;Total;F Construction;1995 1st quarter;485.0;493.0;557.0;565.0;200.0;192.0
465;Total;F Construction;1995 2nd quarter;499.0;496.0;572.0;568.0;246.0;233.0
466;Total;F Construction;1995 3rd quarter;499.0;496.0;571.0;569.0;219.0;244.0
467;Total;F Construction;1995 4th quarter;500.0;499.0;572.0;570.0;248.0;244.0
468;Total;F Construction;1995;496.0;;568.0;;913.0;
469;Total;F Construction;1996 1st quarter;491.0;498.0;562.0;570.0;207.0;204.0
470;Total;F Construction;1996 2nd quarter;504.0;500.0;576.0;572.0;254.0;240.0
471;Total;F Construction;1996 3rd quarter;505.0;502.0;577.0;574.0;227.0;250.0
472;Total;F Construction;1996 4th quarter;510.0;510.0;582.0;581.0;259.0;253.0
473;Total;F Construction;1996;503.0;;574.0;;947.0;
474;Total;F Construction;1997 1st quarter;506.0;513.0;576.0;584.0;232.0;235.0
475;Total;F Construction;1997 2nd quarter;521.0;517.0;592.0;589.0;259.0;242.0
476;Total;F Construction;1997 3rd quarter;525.0;522.0;597.0;593.0;227.0;250.0
477;Total;F Construction;1997 4th quarter;523.0;523.0;595.0;592.0;258.0;250.0
478;Total;F Construction;1997;519.0;;590.0;;977.0;
479;Total;F Construction;1998 1st quarter;516.0;524.0;583.0;592.0;250.0;248.0
480;Total;F Construction;1998 2nd quarter;528.0;525.0;595.0;592.0;255.0;244.0
481;Total;F Construction;1998 3rd quarter;532.0;528.0;599.0;595.0;225.0;249.0
482;Total;F Construction;1998 4th quarter;528.0;529.0;596.0;597.0;254.0;243.0
483;Total;F Construction;1998;526.0;;593.0;;984.0;
484;Total;F Construction;1999 1st quarter;528.0;534.0;598.0;605.0;246.0;246.0
485;Total;F Construction;1999 2nd quarter;542.0;539.0;613.0;610.0;261.0;251.0
486;Total;F Construction;1999 3rd quarter;546.0;543.0;617.0;613.0;231.0;257.0
487;Total;F Construction;1999 4th quarter;546.0;546.0;616.0;614.0;274.0;259.0
488;Total;F Construction;1999;541.0;;611.0;;1013.0;
489;Total;F Construction;2000 1st quarter;542.0;549.0;606.0;615.0;267.0;258.0
490;Total;F Construction;2000 2nd quarter;555.0;552.0;618.0;616.0;267.0;256.0
491;Total;F Construction;2000 3rd quarter;558.0;554.0;621.0;617.0;222.0;251.0
492;Total;F Construction;2000 4th quarter;557.0;557.0;621.0;619.0;261.0;253.0
493;Total;F Construction;2000;553.0;;617.0;;1017.0;
494;Total;F Construction;2001 1st quarter;553.0;560.0;615.0;623.0;265.0;257.0
495;Total;F Construction;2001 2nd quarter;563.0;561.0;625.0;623.0;268.0;258.0
496;Total;F Construction;2001 3rd quarter;565.0;562.0;627.0;623.0;228.0;258.0
497;Total;F Construction;2001 4th quarter;563.0;563.0;625.0;624.0;269.0;257.0
498;Total;F Construction;2001;561.0;;623.0;;1031.0;
499;Total;F Construction;2002 1st quarter;552.0;561.0;612.0;621.0;261.0;256.0
500;Total;F Construction;2002 2nd quarter;567.0;561.0;626.0;620.0;263.0;255.0
501;Total;F Construction;2002 3rd quarter;559.0;556.0;618.0;615.0;225.0;251.0
502;Total;F Construction;2002 4th quarter;552.0;551.0;610.0;608.0;262.0;249.0
503;Total;F Construction;2002;558.0;;616.0;;1011.0;
504;Total;F Construction;2003 1st quarter;534.0;538.0;589.0;593.0;250.0;244.0
505;Total;F Construction;2003 2nd quarter;534.0;534.0;588.0;589.0;247.0;240.0
506;Total;F Construction;2003 3rd quarter;534.0;532.0;590.0;586.0;215.0;241.0
507;Total;F Construction;2003 4th quarter;534.0;532.0;588.0;587.0;254.0;241.0
508;Total;F Construction;2003;534.0;;589.0;;965.0;
509;Total;F Construction;2004 1st quarter;524.0;528.0;579.0;584.0;248.0;241.0
510;Total;F Construction;2004 2nd quarter;527.0;526.0;582.0;581.0;242.0;239.0
511;Total;F Construction;2004 3rd quarter;527.0;524.0;583.0;579.0;211.0;239.0
512;Total;F Construction;2004 4th quarter;521.0;521.0;577.0;577.0;252.0;235.0
513;Total;F Construction;2004;525.0;;580.0;;954.0;
514;Total;F Construction;2005 1st quarter;517.0;520.0;573.0;576.0;238.0;233.0
