ID;StandenEnBeroepOpDeKapitaalmarkt;Perioden;Totaal_1;TotaalBeleggingsfondsen_2;TotaalAandelenfondsen_3;TotaalRegiofondsen_4;Nederland_5;Europa_6;NoordAmerika_7;Azie_8;Wereldwijd_9;Overig_10;Sectorfondsen_11;TotaalObligatiefondsen_12;EuroGebied_13;Wereldwijd_14;Overige_15;Depositofondsen_16;Mixfondsen_17;Trackers_18;OverigeFondsen_19;TotaalVastgoedfondsen_20;DirecteVastgoedfondsen_21;IndirecteVastgoedfondsen_22
190;Brutoberoep emissie;2013 maart;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
191;Brutoberoep emissie;2013 april;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
192;Brutoberoep emissie;2013 mei;113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;113;113;0
193;Brutoberoep emissie;2013 juni;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
194;Brutoberoep emissie;2013 juli;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
195;Brutoberoep emissie;2013 augustus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
196;Brutoberoep emissie;2013 september;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
197;Brutoberoep emissie;2013 oktober;79;79;79;59;0;0;0;59;0;0;20;0;0;0;0;0;0;0;0;0;0;0
198;Brutoberoep emissie;2013 november;300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;300;300;0
199;Brutoberoep emissie;2013 december;13;13;13;13;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
200;Brutoberoep emissie;2014 januari;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
201;Brutoberoep emissie;2014 februari;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
202;Brutoberoep emissie;2014 maart;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
203;Brutoberoep emissie;2014 april;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
204;Brutoberoep emissie;2014 mei;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
205;Brutoberoep emissie;2014 juni;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
206;Brutoberoep emissie;2014 juli;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
207;Brutoberoep emissie;2014 augustus;80;80;80;80;0;0;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
