ID;Plaatsnamen;Gemeentecode_1;Naam_2;Code_3;Naam_4;Code_5;NaamAfkorting_6;PTTWoonplaatsnaam_7;Gemeentenaam_8
4935;498;56;Zuidhorn                   ;1;Groninger Hoogeland en n. Westerkwartier          ;20;Gr. ;nee;nee
4936;117;14;Groningen                  ;7;Stad Groningen                                    ;20;Gr. ;nee;nee
4937;Sempke;797;Heusden                    ;110;Gebied om 's-Hertogenbosch en Vught               ;30;NB. ;nee;nee
4938;Sengelsbroek;749;Bergeyk                    ;116;Kempenland                                        ;30;NB. ;nee;nee
4939;Separatiedijk;703;Reimerswaal                ;97;Noord- en Zuid-Beveland                           ;29;Z.  ;nee;nee
4940;Seppe;1655;Halderberge                ;102;Bergen op Zoom, Roosendaal en omgeving            ;30;NB. ;nee;nee
4941;Serooskerke;717;Veere                      ;96;Overige gemeenten Walcheren                       ;29;Z.  ;ja ;nee
4942;Serooskerke;1676;Schouwen-Duiveland         ;93;Schouwen-Duiveland                                ;29;Z.  ;ja ;nee
4943;Seters;826;Oosterhout                 ;104;Gebied om Breda                                   ;30;NB. ;nee;nee
4944;Sevenum;964;Sevenum                    ;120;Noord-Limburg                                     ;31;L.  ;ja ;ja 
4945;645;70;Franekeradeel              ;12;Friese bouwstreek                                 ;21;F.  ;ja ;nee
4946;Sibbe;994;Valkenburg aan de Geul     ;127;Overige gemeenten Zuid-Limburg                    ;31;L.  ;nee;nee
4947;Sibculo;160;Hardenberg                 ;21;Noordoost-Overijssel                              ;23;O.  ;ja ;nee
4948;461;55;Boarnsterhim               ;10;Fries weidegebied                                 ;21;F.  ;ja ;nee
4949;293;40;Slochteren                 ;4;Groninger Veenkolonien                            ;20;Gr. ;ja ;nee
4950;294;40;Slochteren                 ;4;Groninger Veenkolonien                            ;20;Gr. ;nee;nee
4951;Siebengewald;893;Bergen                     ;120;Noord-Limburg                                     ;31;L.  ;ja ;nee
4952;797;86;Opsterland                 ;9;Fries zandgebied                                  ;21;F.  ;ja ;nee
4953;295;40;Slochteren                 ;4;Groninger Veenkolonien                            ;20;Gr. ;nee;nee
4954;980;114;Emmen                      ;15;Emmen, Schoonebeek                                ;22;D.  ;nee;nee
4955;Sigerswâld;737;Tytsjerksteradiel          ;9;Fries zandgebied                                  ;21;F.  ;nee;nee
4956;Sijbekarspel;529;Noorder-Koggenland         ;54;Midden- en Oostelijk West-Friesland               ;27;NH. ;ja ;nee
4957;590;65;Dantumadeel                ;9;Fries zandgebied                                  ;21;F.  ;ja ;nee
4958;Silvolde;295;Wisch                      ;29;Oude-IJsselgebied (oostelijk deel)                ;25;Gld.;ja ;nee
4959;Simonshaven;568;Bernisse                   ;91;Voorne-Putten en Rozenburg                        ;28;ZH. ;ja ;nee
4960;Simonshoek;941;Meijel                     ;123;Midden-Limburg ten westen van de Maas             ;31;L.  ;nee;nee
4961;Simpelveld;965;Simpelveld                 ;125;Oostelijke Mijnstreek                             ;31;L.  ;ja ;ja 
4962;Sinderen;295;Wisch                      ;29;Oude-IJsselgebied (oostelijk deel)                ;25;Gld.;ja ;nee
4963;Sinnevelt;392;Haarlem                    ;60;Haarlem                                           ;27;NH. ;nee;nee
4964;Sinselbeek;990;Wittem                     ;127;Overige gemeenten Zuid-Limburg                    ;31;L.  ;nee;nee
4965;Sint Agatha;1684;Cuijk                      ;119;Land van Cuijk                                    ;30;NB. ;ja ;nee
4966;Sint Andries;247;Heerewaarden               ;42;Bommelerwaard                                     ;25;Gld.;nee;nee
4967;Sint Anna;268;Nijmegen                   ;39;Nijmegen                                          ;25;Gld.;nee;nee
4968;Sint Anna Ter Muiden;1698;Sluis-Aardenburg           ;98;West-Zeeuwsch-Vlaanderen                          ;29;Z.  ;nee;nee
4969;Sint Annaland;716;Tholen                     ;94;Sint Philipsland en Tholen                        ;29;Z.  ;ja ;nee
4970;574;63;het Bildt                  ;12;Friese bouwstreek                                 ;21;F.  ;ja ;nee
4971;54;9;Ten Boer                   ;1;Groninger Hoogeland en n. Westerkwartier          ;20;Gr. ;ja ;nee
4972;17;5;Bedum                      ;1;Groninger Hoogeland en n. Westerkwartier          ;20;Gr. ;nee;nee
4973;Sint Anthoniepolder;585;Binnenmaas                 ;90;Hoeksche Waard                                    ;28;ZH. ;nee;nee
4974;Sint Anthonis;1702;Sint Anthonis              ;119;Land van Cuijk                                    ;30;NB. ;ja ;ja 
4975;Sint Antoniusbank;994;Valkenburg aan de Geul     ;127;Overige gemeenten Zuid-Limburg                    ;31;L.  ;nee;nee
4976;Sint Geertruid;936;Margraten                  ;127;Overige gemeenten Zuid-Limburg                    ;31;L.  ;ja ;nee
4977;Sint Gerlach;994;Valkenburg aan de Geul     ;127;Overige gemeenten Zuid-Limburg                    ;31;L.  ;nee;nee
4978;Sint Hubert;815;Mill en Sint Hubert        ;119;Land van Cuijk                                    ;30;NB. ;ja ;nee
4979;Sint Isidorushoeve;158;Haaksbergen                ;24;Overige gemeenten in Twente                       ;23;O.  ;nee;nee
4980;575;63;het Bildt                  ;12;Friese bouwstreek                                 ;21;F.  ;ja ;nee
4981;Sint Jansklooster;194;Brederwiede                ;19;Noordwest-Overijssel                              ;23;O.  ;ja ;nee
4982;Sint Jansteen;677;Hulst                      ;100;Overige gemeenten Oost-Zeeuwsch-Vlaander          ;29;Z.  ;ja ;nee
4983;390;51;Skarsterlân                ;10;Fries weidegebied                                 ;21;F.  ;ja ;nee
4984;Sint Joosland;687;Middelburg                 ;95;Kanaalzone Walcheren                              ;29;Z.  ;nee;nee
4985;Sint Joost;902;Echt                       ;122;Overig Midden-Limburg ten oosten v. Maas          ;31;L.  ;ja ;nee
4986;Sint Josefparochie;762;Deurne                     ;118;Brabantse Peel                                    ;30;NB. ;nee;nee
4987;Sint Kruis;1698;Sluis-Aardenburg           ;98;West-Zeeuwsch-Vlaanderen                          ;29;Z.  ;ja ;nee
4988;Sint Laurens;687;Middelburg                 ;95;Kanaalzone Walcheren                              ;29;Z.  ;nee;nee
4989;Sint Maarten;395;Harenkarspel               ;53;Westelijk West-Friesland                          ;27;NH. ;ja ;nee
4990;Sint Maartensbrug;476;Zijpe                      ;52;Overige gemeenten Kop van Noord-Holland           ;27;NH. ;ja ;nee
4991;Sint Maartensdijk;716;Tholen                     ;94;Sint Philipsland en Tholen                        ;29;Z.  ;ja ;nee
4992;Sint Maartensvlotbrug;476;Zijpe                      ;52;Overige gemeenten Kop van Noord-Holland           ;27;NH. ;ja ;nee
4993;187;22;Leek                       ;5;Groninger zuidelijk Westerkwartier                ;20;Gr. ;nee;nee
4994;Sint Marten;202;Arnhem                     ;35;Arnhem                                            ;25;Gld.;nee;nee
