ID;CharacteristicsOfHouseholds;Periods;NetWorth_1;Total_2;CurrencyAndDeposits_3;DebtSecurities_4;Loans_5;EquityInvestmentFundSharesOrUnits_6;InsurancePensionAndGuaranteeSchemes_7;FinDerivativesEmployeeStockOptions_8;OtherAccountsReceivablePayable_9;Total_10;Loans_11;FinDerivativesEmployeeStockOptions_12;OtherLiabilities_13;Total_14;Dwellings_15;LandUnderlyingDwellings_16;OtherNonFinancialAssets_17;NetWorth_18;Total_19;CurrencyAndDeposits_20;DebtSecurities_21;Loans_22;EquityInvestmentFundSharesOrUnits_23;InsurancePensionAndGuaranteeSchemes_24;FinDerivativesEmployeeStockOptions_25;OtherAccountsReceivablePayable_26;Total_27;Loans_28;FinDerivativesEmployeeStockOptions_29;OtherLiabilities_30;Total_31;Dwellings_32;LandUnderlyingDwellings_33;OtherNonFinancialAssets_34;NetWorth_35;Total_36;CurrencyAndDeposits_37;DebtSecurities_38;Loans_39;EquityInvestmentFundSharesOrUnits_40;InsurancePensionAndGuaranteeSchemes_41;FinDerivativesEmployeeStockOptions_42;OtherAccountsReceivablePayable_43;Total_44;Loans_45;FinDerivativesEmployeeStockOptions_46;OtherLiabilities_47;Total_48;Dwellings_49;LandUnderlyingDwellings_50;OtherNonFinancialAssets_51;NetWorth_52;Total_53;CurrencyAndDeposits_54;DebtSecurities_55;Loans_56;EquityInvestmentFundSharesOrUnits_57;InsurancePensionAndGuaranteeSchemes_58;FinDerivativesEmployeeStockOptions_59;OtherAccountsReceivablePayable_60;Total_61;Loans_62;FinDerivativesEmployeeStockOptions_63;OtherLiabilities_64;Total_65;Dwellings_66;LandUnderlyingDwellings_67;OtherNonFinancialAssets_68
143;Home ownership: Owner-occupied home;2018;2895367;2016310;337398;3965;8331;342867;1283595;392;39762;794130;768367;64;25699;1673187;681623;799357;192207;666.4;464.1;77.7;0.9;1.9;78.9;295.4;0.1;9.2;182.8;176.8;0.0;5.9;385.1;156.9;184.0;44.2;398.4;277.5;46.4;0.5;1.1;47.2;176.6;0.1;5.5;109.3;105.7;0.0;3.5;230.3;93.8;110.0;26.5;100;69.6;11.7;0.1;0.3;11.8;44.3;0.0;1.4;27.4;26.5;0.0;0.9;57.8;23.5;27.6;6.6
144;Home ownership: Owner-occupied home;2019;3095441;2064635;345951;3565;8817;341679;1324580;387;39656;806964;781130;40;25794;1837770;728903;910236;198631;706.4;471.2;78.9;0.8;2.0;78.0;302.3;0.1;9.0;184.1;178.2;0.0;5.9;419.4;166.3;207.7;45.3;422.8;282.0;47.3;0.5;1.2;46.7;180.9;0.1;5.4;110.2;106.7;0.0;3.5;251.0;99.6;124.3;27.1;100;66.7;11.2;0.1;0.3;11.0;42.8;0.0;1.3;26.1;25.2;0.0;0.8;59.4;23.5;29.4;6.4
145;Home ownership: Owner-occupied home;2020;3479189;2314197;363666;3526;9009;365986;1531594;378;40038;818078;790401;46;27631;1983070;784839;993969;204262;785.4;522.4;82.1;0.8;2.0;82.6;345.8;0.1;9.0;184.7;178.4;0.0;6.2;447.7;177.2;224.4;46.1;471.0;313.3;49.2;0.5;1.2;49.5;207.3;0.1;5.4;110.7;107.0;0.0;3.7;268.5;106.2;134.6;27.7;100;66.5;10.5;0.1;0.3;10.5;44.0;0.0;1.2;23.5;22.7;0.0;0.8;57.0;22.6;28.6;5.9
146;Home ownership: Owner-occupied home;2021;3862369;2544774;397108;3326;9404;385174;1707861;311;41590;834267;806573;29;27665;2151862;846656;1096597;208609;869.1;572.6;89.4;0.7;2.1;86.7;384.3;0.1;9.4;187.7;181.5;0.0;6.2;484.2;190.5;246.7;46.9;521.9;343.9;53.7;0.4;1.3;52.1;230.8;0.0;5.6;112.7;109.0;0.0;3.7;290.8;114.4;148.2;28.2;100;65.9;10.3;0.1;0.2;10.0;44.2;0.0;1.1;21.6;20.9;0.0;0.7;55.7;21.9;28.4;5.4
147;Home ownership: Rent with rent subsidy;2015;68140;73697;8562;13;174;301;61658;17;2972;6201;5027;1;1173;644;212;171;261;51.5;55.7;6.5;0.0;0.1;0.2;46.6;0.0;2.2;4.7;3.8;0.0;0.9;0.5;0.2;0.1;0.2;39.2;42.4;4.9;0.0;0.1;0.2;35.4;0.0;1.7;3.6;2.9;0.0;0.7;0.4;0.1;0.1;0.2;100;108.2;12.6;0.0;0.3;0.4;90.5;0.0;4.4;9.1;7.4;0.0;1.7;0.9;0.3;0.3;0.4
148;Home ownership: Rent with rent subsidy;2016;74801;76683;8531;9;158;290;64714;15;2966;6061;4907;1;1153;4179;53;49;4077;55.9;57.3;6.4;0.0;0.1;0.2;48.4;0.0;2.2;4.5;3.7;0.0;0.9;3.1;0.0;0.0;3.0;42.7;43.7;4.9;0.0;0.1;0.2;36.9;0.0;1.7;3.5;2.8;0.0;0.7;2.4;0.0;0.0;2.3;100;102.5;11.4;0.0;0.2;0.4;86.5;0.0;4.0;8.1;6.6;0.0;1.5;5.6;0.1;0.1;5.5
149;Home ownership: Rent with rent subsidy;2017;77670;76593;8474;6;140;447;64925;16;2585;5612;4541;1;1070;6689;127;131;6431;57.9;57.1;6.3;0.0;0.1;0.3;48.4;0.0;1.9;4.2;3.4;0.0;0.8;5.0;0.1;0.1;4.8;44.3;43.7;4.8;0.0;0.1;0.3;37.1;0.0;1.5;3.2;2.6;0.0;0.6;3.8;0.1;0.1;3.7;100;98.6;10.9;0.0;0.2;0.6;83.6;0.0;3.3;7.2;5.8;0.0;1.4;8.6;0.2;0.2;8.3
150;Home ownership: Rent with rent subsidy;2018;77345;76336;8694;6;115;292;64723;14;2492;5391;4325;0;1066;6400;41;48;6311;58.4;57.6;6.6;0.0;0.1;0.2;48.8;0.0;1.9;4.1;3.3;0.0;0.8;4.8;0.0;0.0;4.8;45.0;44.4;5.1;0.0;0.1;0.2;37.6;0.0;1.4;3.1;2.5;0.0;0.6;3.7;0.0;0.0;3.7;100;98.7;11.2;0.0;0.1;0.4;83.7;0.0;3.2;7.0;5.6;0.0;1.4;8.3;0.1;0.1;8.2
151;Home ownership: Rent with rent subsidy;2019;76460;75295;8975;5;113;221;63601;14;2366;5047;4024;0;1023;6212;45;56;6111;58.6;57.7;6.9;0.0;0.1;0.2;48.8;0.0;1.8;3.9;3.1;0.0;0.8;4.8;0.0;0.0;4.7;45.3;44.6;5.3;0.0;0.1;0.1;37.7;0.0;1.4;3.0;2.4;0.0;0.6;3.7;0.0;0.0;3.6;100;98.5;11.7;0.0;0.1;0.3;83.2;0.0;3.1;6.6;5.3;0.0;1.3;8.1;0.1;0.1;8.0
152;Home ownership: Rent with rent subsidy;2020;101926;101397;11029;6;122;508;86869;16;2847;6420;5050;0;1370;6949;51;65;6833;71.5;71.1;7.7;0.0;0.1;0.4;61.0;0.0;2.0;4.5;3.5;0.0;1.0;4.9;0.0;0.0;4.8;55.4;55.1;6.0;0.0;0.1;0.3;47.2;0.0;1.5;3.5;2.7;0.0;0.7;3.8;0.0;0.0;3.7;100;99.5;10.8;0.0;0.1;0.5;85.2;0.0;2.8;6.3;5.0;0.0;1.3;6.8;0.1;0.1;6.7
153;Home ownership: Rent with rent subsidy;2021;110620;109719;12666;6;115;507;93367;13;3045;6088;4724;0;1364;6989;60;78;6851;77.2;76.6;8.8;0.0;0.1;0.4;65.2;0.0;2.1;4.3;3.3;0.0;1.0;4.9;0.0;0.1;4.8;59.9;59.5;6.9;0.0;0.1;0.3;50.6;0.0;1.6;3.3;2.6;0.0;0.7;3.8;0.0;0.0;3.7;100;99.2;11.4;0.0;0.1;0.5;84.4;0.0;2.8;5.5;4.3;0.0;1.2;6.3;0.1;0.1;6.2
154;Home ownership: Rent: no rent subsidy;2015;364284;336734;65704;708;1620;22944;233824;143;11791;29143;22457;62;6624;56693;16801;13575;26317;173.7;160.6;31.3;0.3;0.8;10.9;111.5;0.1;5.6;13.9;10.7;0.0;3.2;27.0;8.0;6.5;12.5;130.9;121.0;23.6;0.3;0.6;8.2;84.0;0.1;4.2;10.5;8.1;0.0;2.4;20.4;6.0;4.9;9.5;100;92.4;18.0;0.2;0.4;6.3;64.2;0.0;3.2;8.0;6.2;0.0;1.8;15.6;4.6;3.7;7.2
155;Home ownership: Rent: no rent subsidy;2016;363806;335132;63902;511;1539;24846;232322;132;11880;26401;19675;53;6673;55075;5196;4764;45115;179.7;165.5;31.6;0.3;0.8;12.3;114.7;0.1;5.9;13.0;9.7;0.0;3.3;27.2;2.6;2.4;22.3;135.5;124.9;23.8;0.2;0.6;9.3;86.5;0.0;4.4;9.8;7.3;0.0;2.5;20.5;1.9;1.8;16.8;100;92.1;17.6;0.1;0.4;6.8;63.9;0.0;3.3;7.3;5.4;0.0;1.8;15.1;1.4;1.3;12.4
156;Home ownership: Rent: no rent subsidy;2017;368375;342558;65318;432;1428;25272;238879;133;11096;25609;19044;47;6518;51426;6475;6647;38304;179.5;166.9;31.8;0.2;0.7;12.3;116.4;0.1;5.4;12.5;9.3;0.0;3.2;25.1;3.2;3.2;18.7;135.5;126.0;24.0;0.2;0.5;9.3;87.9;0.0;4.1;9.4;7.0;0.0;2.4;18.9;2.4;2.4;14.1;100;93.0;17.7;0.1;0.4;6.9;64.8;0.0;3.0;7.0;5.2;0.0;1.8;14.0;1.8;1.8;10.4
157;Home ownership: Rent: no rent subsidy;2018;372676;350026;65524;368;1327;24784;246216;95;11712;26448;19557;6;6885;49098;4074;4777;40247;178.6;167.8;31.4;0.2;0.6;11.9;118.0;0.0;5.6;12.7;9.4;0.0;3.3;23.5;2.0;2.3;19.3;134.7;126.5;23.7;0.1;0.5;9.0;89.0;0.0;4.2;9.6;7.1;0.0;2.5;17.7;1.5;1.7;14.5;100;93.9;17.6;0.1;0.4;6.7;66.1;0.0;3.1;7.1;5.2;0.0;1.8;13.2;1.1;1.3;10.8
158;Home ownership: Rent: no rent subsidy;2019;376568;352152;65900;328;1330;24849;247421;97;12227;26814;19794;4;7016;51230;4139;5169;41922;177.2;165.7;31.0;0.2;0.6;11.7;116.4;0.0;5.8;12.6;9.3;0.0;3.3;24.1;1.9;2.4;19.7;133.5;124.9;23.4;0.1;0.5;8.8;87.7;0.0;4.3;9.5;7.0;0.0;2.5;18.2;1.5;1.8;14.9;100;93.5;17.5;0.1;0.4;6.6;65.7;0.0;3.2;7.1;5.3;0.0;1.9;13.6;1.1;1.4;11.1
159;Home ownership: Rent: no rent subsidy;2020;404741;376767;66789;328;1261;26114;272535;92;9648;26101;19898;4;6199;54075;4445;5630;44000;196.8;183.2;32.5;0.2;0.6;12.7;132.5;0.0;4.7;12.7;9.7;0.0;3.0;26.3;2.2;2.7;21.4;148.5;138.3;24.5;0.1;0.5;9.6;100.0;0.0;3.5;9.6;7.3;0.0;2.3;19.8;1.6;2.1;16.1;100;93.1;16.5;0.1;0.3;6.5;67.3;0.0;2.4;6.4;4.9;0.0;1.5;13.4;1.1;1.4;10.9
160;Home ownership: Rent: no rent subsidy;2021;444202;409881;74664;313;1209;28811;294428;77;10379;26743;20320;3;6420;61064;5945;7700;47419;215.6;198.9;36.2;0.2;0.6;14.0;142.9;0.0;5.0;13.0;9.9;0.0;3.1;29.6;2.9;3.7;23.0;162.0;149.5;27.2;0.1;0.4;10.5;107.4;0.0;3.8;9.8;7.4;0.0;2.3;22.3;2.2;2.8;17.3;100;92.3;16.8;0.1;0.3;6.5;66.3;0.0;2.3;6.0;4.6;0.0;1.4;13.7;1.3;1.7;10.7
161;Home ownership: Other;2015;20118;20375;7377;84;177;1492;10716;6;523;1075;871;7;197;818;400;323;95;60.0;60.7;22.0;0.3;0.5;4.4;31.9;0.0;1.6;3.2;2.6;0.0;0.6;2.4;1.2;1.0;0.3;56.0;56.7;20.5;0.2;0.5;4.2;29.8;0.0;1.5;3.0;2.4;0.0;0.5;2.3;1.1;0.9;0.3;100;101.3;36.7;0.4;0.9;7.4;53.3;0.0;2.6;5.3;4.3;0.0;1.0;4.1;2.0;1.6;0.5
162;Home ownership: Other;2016;22660;22540;7566;78;185;2401;11757;7;546;1466;1243;8;215;1586;610;559;417;64.3;63.9;21.5;0.2;0.5;6.8;33.3;0.0;1.5;4.2;3.5;0.0;0.6;4.5;1.7;1.6;1.2;59.6;59.3;19.9;0.2;0.5;6.3;30.9;0.0;1.4;3.9;3.3;0.0;0.6;4.2;1.6;1.5;1.1;100;99.5;33.4;0.3;0.8;10.6;51.9;0.0;2.4;6.5;5.5;0.0;0.9;7.0;2.7;2.5;1.8
163;Home ownership: Other;2017;23428;21619;7127;61;169;2787;10984;6;485;1450;1250;7;193;3259;1451;1489;319;68.8;63.5;20.9;0.2;0.5;8.2;32.2;0.0;1.4;4.3;3.7;0.0;0.6;9.6;4.3;4.4;0.9;63.7;58.8;19.4;0.2;0.5;7.6;29.9;0.0;1.3;3.9;3.4;0.0;0.5;8.9;3.9;4.1;0.9;100;92.3;30.4;0.3;0.7;11.9;46.9;0.0;2.1;6.2;5.3;0.0;0.8;13.9;6.2;6.4;1.4
164;Home ownership: Other;2018;24808;22802;7655;58;164;2539;11875;1;510;1564;1347;1;216;3570;1470;1724;376;70.8;65.0;21.8;0.2;0.5;7.2;33.9;0.0;1.5;4.5;3.8;0.0;0.6;10.2;4.2;4.9;1.1;65.8;60.5;20.3;0.2;0.4;6.7;31.5;0.0;1.4;4.2;3.6;0.0;0.6;9.5;3.9;4.6;1.0;100;91.9;30.9;0.2;0.7;10.2;47.9;0.0;2.1;6.3;5.4;0.0;0.9;14.4;5.9;6.9;1.5
165;Home ownership: Other;2019;24887;22895;7974;53;166;2323;11851;1;527;1421;1196;1;224;3413;1321;1649;443;69.1;63.6;22.2;0.1;0.5;6.5;32.9;0.0;1.5;3.9;3.3;0.0;0.6;9.5;3.7;4.6;1.2;63.9;58.8;20.5;0.1;0.4;6.0;30.4;0.0;1.4;3.6;3.1;0.0;0.6;8.8;3.4;4.2;1.1;100;92.0;32.0;0.2;0.7;9.3;47.6;0.0;2.1;5.7;4.8;0.0;0.9;13.7;5.3;6.6;1.8
166;Home ownership: Other;2020;28534;26186;8715;56;166;2633;14168;1;447;1589;1372;1;216;3937;1528;1935;474;82.6;75.8;25.2;0.2;0.5;7.6;41.0;0.0;1.3;4.6;4.0;0.0;0.6;11.4;4.4;5.6;1.4;77.0;70.6;23.5;0.2;0.4;7.1;38.2;0.0;1.2;4.3;3.7;0.0;0.6;10.6;4.1;5.2;1.3;100;91.8;30.5;0.2;0.6;9.2;49.7;0.0;1.6;5.6;4.8;0.0;0.8;13.8;5.4;6.8;1.7
167;Home ownership: Other;2021;29431;26988;9353;49;153;2633;14298;1;501;1656;1428;0;228;4099;1586;2054;459;80.7;74.0;25.6;0.1;0.4;7.2;39.2;0.0;1.4;4.5;3.9;0.0;0.6;11.2;4.3;5.6;1.3;74.5;68.3;23.7;0.1;0.4;6.7;36.2;0.0;1.3;4.2;3.6;0.0;0.6;10.4;4.0;5.2;1.2;100;91.7;31.8;0.2;0.5;8.9;48.6;0.0;1.7;5.6;4.9;0.0;0.8;13.9;5.4;7.0;1.6
168;Net worth: 1st 20%-group;2015;-20536;46566;11471;79;184;3186;27492;58;4096;92668;89042;7;3619;25566;14162;11443;-39;-13.0;29.4;7.3;0.0;0.1;2.0;17.4;0.0;2.6;58.6;56.3;0.0;2.3;16.2;9.0;7.2;0.0;-10.2;23.1;5.7;0.0;0.1;1.6;13.7;0.0;2.0;46.0;44.2;0.0;1.8;12.7;7.0;5.7;0.0;100;-226.8;-55.9;-0.4;-0.9;-15.5;-133.9;-0.3;-19.9;-451.3;-433.6;0.0;-17.6;-124.5;-69.0;-55.7;0.2
169;Net worth: 1st 20%-group;2016;-16421;46546;11261;53;180;3456;27504;52;4040;84489;82414;5;2070;21522;10627;9744;1151;-10.3;29.2;7.1;0.0;0.1;2.2;17.2;0.0;2.5;53.0;51.7;0.0;1.3;13.5;6.7;6.1;0.7;-8.2;23.1;5.6;0.0;0.1;1.7;13.7;0.0;2.0;42.0;40.9;0.0;1.0;10.7;5.3;4.8;0.6;100;-283.5;-68.6;-0.3;-1.1;-21.0;-167.5;-0.3;-24.6;-514.5;-501.9;0.0;-12.6;-131.1;-64.7;-59.3;-7.0
170;Net worth: 1st 20%-group;2017;-7104;46273;10583;36;155;4346;27387;53;3713;71206;68392;4;2810;17829;8344;8565;920;-4.4;28.8;6.6;0.0;0.1;2.7;17.0;0.0;2.3;44.3;42.5;0.0;1.7;11.1;5.2;5.3;0.6;-3.5;23.1;5.3;0.0;0.1;2.2;13.7;0.0;1.9;35.5;34.1;0.0;1.4;8.9;4.2;4.3;0.5;100;-651.3;-149.0;-0.5;-2.2;-61.2;-385.5;-0.7;-52.3;-1002.3;-962.7;-0.1;-39.6;-251.0;-117.4;-120.6;-13.0
171;Net worth: 1st 20%-group;2018;-14427;50309;11672;36;150;3012;31648;50;3741;78847;75722;1;3124;14111;5815;6820;1476;-8.9;31.0;7.2;0.0;0.1;1.9;19.5;0.0;2.3;48.6;46.7;0.0;1.9;8.7;3.6;4.2;0.9;-7.1;24.9;5.8;0.0;0.1;1.5;15.6;0.0;1.8;39.0;37.4;0.0;1.5;7.0;2.9;3.4;0.7;100;-348.7;-80.9;-0.2;-1.0;-20.9;-219.4;-0.3;-25.9;-546.5;-524.9;0.0;-21.7;-97.8;-40.3;-47.3;-10.2
172;Net worth: 1st 20%-group;2019;-7489;47207;11090;30;115;2674;29681;47;3570;68539;65482;0;3057;13843;5469;6829;1545;-4.6;28.9;6.8;0.0;0.1;1.6;18.2;0.0;2.2;41.9;40.1;0.0;1.9;8.5;3.3;4.2;0.9;-3.7;23.3;5.5;0.0;0.1;1.3;14.6;0.0;1.8;33.8;32.3;0.0;1.5;6.8;2.7;3.4;0.8;100;-630.3;-148.1;-0.4;-1.5;-35.7;-396.3;-0.6;-47.7;-915.2;-874.3;0.0;-40.8;-184.8;-73.0;-91.2;-20.6
173;Net worth: 1st 20%-group;2020;2705;49993;11035;23;91;3128;32344;44;3328;59239;57570;0;1669;11951;4752;6019;1180;1.6;30.3;6.7;0.0;0.1;1.9;19.6;0.0;2.0;35.9;34.9;0.0;1.0;7.2;2.9;3.6;0.7;1.3;24.6;5.4;0.0;0.0;1.5;15.9;0.0;1.6;29.2;28.4;0.0;0.8;5.9;2.3;3.0;0.6;100;1848.2;407.9;0.8;3.4;115.6;1195.7;1.6;123.0;2190.0;2128.3;0.0;61.7;441.8;175.7;222.5;43.6
174;Net worth: 1st 20%-group;2021;12209;52069;11841;19;38;2527;34134;32;3478;50883;49286;0;1597;11023;4270;5530;1223;7.4;31.4;7.1;0.0;0.0;1.5;20.6;0.0;2.1;30.6;29.7;0.0;1.0;6.6;2.6;3.3;0.7;6.0;25.7;5.8;0.0;0.0;1.2;16.9;0.0;1.7;25.1;24.3;0.0;0.8;5.4;2.1;2.7;0.6;100;426.5;97.0;0.2;0.3;20.7;279.6;0.3;28.5;416.8;403.7;0.0;13.1;90.3;35.0;45.3;10.0
175;Net worth: 2nd 20%-group;2015;89740;98764;21798;50;367;1208;69414;83;5844;85990;83025;5;2960;76966;42245;34132;589;56.7;62.4;13.8;0.0;0.2;0.8;43.9;0.1;3.7;54.4;52.5;0.0;1.9;48.7;26.7;21.6;0.4;40.6;44.7;9.9;0.0;0.2;0.5;31.4;0.0;2.6;38.9;37.6;0.0;1.3;34.9;19.1;15.5;0.3;100;110.1;24.3;0.1;0.4;1.3;77.3;0.1;6.5;95.8;92.5;0.0;3.3;85.8;47.1;38.0;0.7
176;Net worth: 2nd 20%-group;2016;101386;106035;22979;39;381;1384;75474;75;5703;83565;80812;4;2749;78916;39824;36515;2577;63.6;66.5;14.4;0.0;0.2;0.9;47.3;0.0;3.6;52.4;50.7;0.0;1.7;49.5;25.0;22.9;1.6;46.0;48.1;10.4;0.0;0.2;0.6;34.2;0.0;2.6;37.9;36.7;0.0;1.2;35.8;18.1;16.6;1.2;100;104.6;22.7;0.0;0.4;1.4;74.4;0.1;5.6;82.4;79.7;0.0;2.7;77.8;39.3;36.0;2.5
177;Net worth: 2nd 20%-group;2017;118198;116528;24057;33;369;1836;84903;80;5250;81764;79007;4;2753;83434;38357;39377;5700;73.5;72.5;15.0;0.0;0.2;1.1;52.8;0.0;3.3;50.9;49.1;0.0;1.7;51.9;23.9;24.5;3.5;53.7;52.9;10.9;0.0;0.2;0.8;38.6;0.0;2.4;37.1;35.9;0.0;1.3;37.9;17.4;17.9;2.6;100;98.6;20.4;0.0;0.3;1.6;71.8;0.1;4.4;69.2;66.8;0.0;2.3;70.6;32.5;33.3;4.8
178;Net worth: 2nd 20%-group;2018;125229;122159;24693;32;314;1566;90534;68;4952;65240;62337;1;2902;68310;28145;33006;7159;77.2;75.3;15.2;0.0;0.2;1.0;55.8;0.0;3.1;40.2;38.4;0.0;1.8;42.1;17.4;20.4;4.4;57.2;55.8;11.3;0.0;0.1;0.7;41.3;0.0;2.3;29.8;28.5;0.0;1.3;31.2;12.9;15.1;3.3;100;97.5;19.7;0.0;0.3;1.3;72.3;0.1;4.0;52.1;49.8;0.0;2.3;54.5;22.5;26.4;5.7
179;Net worth: 2nd 20%-group;2019;136545;128970;26578;32;289;1581;95634;66;4790;59249;56382;0;2867;66824;26182;32695;7947;83.5;78.9;16.3;0.0;0.2;1.0;58.5;0.0;2.9;36.3;34.5;0.0;1.8;40.9;16.0;20.0;4.9;62.5;59.0;12.2;0.0;0.1;0.7;43.8;0.0;2.2;27.1;25.8;0.0;1.3;30.6;12.0;15.0;3.6;100;94.5;19.5;0.0;0.2;1.2;70.0;0.0;3.5;43.4;41.3;0.0;2.1;48.9;19.2;23.9;5.8
180;Net worth: 2nd 20%-group;2020;159121;149093;29844;33;280;2168;111630;65;5073;64304;61573;0;2731;74332;29121;36880;8331;96.4;90.3;18.1;0.0;0.2;1.3;67.6;0.0;3.1;38.9;37.3;0.0;1.7;45.0;17.6;22.3;5.0;72.1;67.5;13.5;0.0;0.1;1.0;50.6;0.0;2.3;29.1;27.9;0.0;1.2;33.7;13.2;16.7;3.8;100;93.7;18.8;0.0;0.2;1.4;70.2;0.0;3.2;40.4;38.7;0.0;1.7;46.7;18.3;23.2;5.2
181;Net worth: 2nd 20%-group;2021;182343;169691;35328;37;242;2402;126044;53;5585;61587;58717;0;2870;74239;28018;36289;9932;109.8;102.2;21.3;0.0;0.1;1.4;75.9;0.0;3.4;37.1;35.4;0.0;1.7;44.7;16.9;21.9;6.0;82.6;76.9;16.0;0.0;0.1;1.1;57.1;0.0;2.5;27.9;26.6;0.0;1.3;33.6;12.7;16.4;4.5;100;93.1;19.4;0.0;0.1;1.3;69.1;0.0;3.1;33.8;32.2;0.0;1.6;40.7;15.4;19.9;5.4
182;Net worth: 3rd 20%-group;2015;258626;235590;48377;188;964;4771;172445;133;8712;176013;171325;17;4671;199049;108012;87271;3766;163.5;148.9;30.6;0.1;0.6;3.0;109.0;0.1;5.5;111.3;108.3;0.0;3.0;125.8;68.3;55.2;2.4;105.1;95.7;19.7;0.1;0.4;1.9;70.0;0.1;3.5;71.5;69.6;0.0;1.9;80.9;43.9;35.4;1.5;100;91.1;18.7;0.1;0.4;1.8;66.7;0.1;3.4;68.1;66.2;0.0;1.8;77.0;41.8;33.7;1.5
183;Net worth: 3rd 20%-group;2016;284726;246990;49725;139;962;4914;182595;120;8535;180960;176279;14;4667;218696;108944;99891;9861;178.5;154.8;31.2;0.1;0.6;3.1;114.5;0.1;5.4;113.4;110.5;0.0;2.9;137.1;68.3;62.6;6.2;114.3;99.2;20.0;0.1;0.4;2.0;73.3;0.0;3.4;72.7;70.8;0.0;1.9;87.8;43.8;40.1;4.0;100;86.7;17.5;0.0;0.3;1.7;64.1;0.0;3.0;63.6;61.9;0.0;1.6;76.8;38.3;35.1;3.5
184;Net worth: 3rd 20%-group;2017;324721;261309;50076;114;916;4684;197701;125;7693;178789;173835;12;4942;242201;107492;110349;24360;202.0;162.5;31.1;0.1;0.6;2.9;123.0;0.1;4.8;111.2;108.1;0.0;3.1;150.6;66.9;68.6;15.2;129.6;104.3;20.0;0.0;0.4;1.9;78.9;0.1;3.1;71.3;69.4;0.0;2.0;96.6;42.9;44.0;9.7;100;80.5;15.4;0.0;0.3;1.4;60.9;0.0;2.4;55.1;53.5;0.0;1.5;74.6;33.1;34.0;7.5
185;Net worth: 3rd 20%-group;2018;357647;272159;51686;101;824;5087;206845;110;7506;182309;176908;2;5399;267797;110522;129612;27663;220.6;167.9;31.9;0.1;0.5;3.1;127.6;0.1;4.6;112.4;109.1;0.0;3.3;165.2;68.2;79.9;17.1;141.6;107.8;20.5;0.0;0.3;2.0;81.9;0.0;3.0;72.2;70.0;0.0;2.1;106.0;43.8;51.3;11.0;100;76.1;14.5;0.0;0.2;1.4;57.8;0.0;2.1;51.0;49.5;0.0;1.5;74.9;30.9;36.2;7.7
186;Net worth: 3rd 20%-group;2019;392482;280004;54659;94;807;4857;212146;110;7331;187569;182139;1;5429;300047;120363;150307;29377;240.1;171.3;33.4;0.1;0.5;3.0;129.8;0.1;4.5;114.8;111.4;0.0;3.3;183.6;73.6;92.0;18.0;154.6;110.3;21.5;0.0;0.3;1.9;83.6;0.0;2.9;73.9;71.8;0.0;2.1;118.2;47.4;59.2;11.6;100;71.3;13.9;0.0;0.2;1.2;54.1;0.0;1.9;47.8;46.4;0.0;1.4;76.4;30.7;38.3;7.5
187;Net worth: 3rd 20%-group;2020;455892;321541;60266;95;807;6948;244426;108;8891;193553;188082;1;5470;327904;131400;166414;30090;276.1;194.7;36.5;0.1;0.5;4.2;148.0;0.1;5.4;117.2;113.9;0.0;3.3;198.6;79.6;100.8;18.2;177.9;125.5;23.5;0.0;0.3;2.7;95.4;0.0;3.5;75.5;73.4;0.0;2.1;128.0;51.3;64.9;11.7;100;70.5;13.2;0.0;0.2;1.5;53.6;0.0;2.0;42.5;41.3;0.0;1.2;71.9;28.8;36.5;6.6
188;Net worth: 3rd 20%-group;2021;524502;359906;68118;99;729;7505;273855;86;9514;195887;190216;1;5670;360483;142368;184397;33718;315.9;216.8;41.0;0.1;0.4;4.5;164.9;0.1;5.7;118.0;114.6;0.0;3.4;217.1;85.7;111.1;20.3;204.8;140.6;26.6;0.0;0.3;2.9;107.0;0.0;3.7;76.5;74.3;0.0;2.2;140.8;55.6;72.0;13.2;100;68.6;13.0;0.0;0.1;1.4;52.2;0.0;1.8;37.3;36.3;0.0;1.1;68.7;27.1;35.2;6.4
189;Net worth: 4th 20%-group;2015;599539;432548;81586;525;1959;14713;322942;161;10662;195088;188940;48;6100;362079;191688;154879;15512;379.0;273.4;51.6;0.3;1.2;9.3;204.1;0.1;6.7;123.3;119.4;0.0;3.9;228.9;121.2;97.9;9.8;232.2;167.6;31.6;0.2;0.8;5.7;125.1;0.1;4.1;75.6;73.2;0.0;2.4;140.3;74.3;60.0;6.0;100;72.1;13.6;0.1;0.3;2.5;53.9;0.0;1.8;32.5;31.5;0.0;1.0;60.4;32.0;25.8;2.6
190;Net worth: 4th 20%-group;2016;638268;451622;83231;395;1983;15359;339983;149;10522;202327;195910;41;6376;388973;190141;174341;24491;400.1;283.1;52.2;0.2;1.2;9.6;213.1;0.1;6.6;126.8;122.8;0.0;4.0;243.8;119.2;109.3;15.4;244.9;173.3;31.9;0.2;0.8;5.9;130.4;0.1;4.0;77.6;75.2;0.0;2.4;149.2;73.0;66.9;9.4;100;70.8;13.0;0.1;0.3;2.4;53.3;0.0;1.6;31.7;30.7;0.0;1.0;60.9;29.8;27.3;3.8
