ID;TypeOfEducation;IdeologicalBasisOfTheSchool;Schoolsize;Periods;SchoolsInstitutions_1;EnrolledPupilsStudents_2
7339;Special primary schools;Other special schools;101 to 201 pupils/students;2014/15;21;3119
7340;Special primary schools;Other special schools;101 to 201 pupils/students;2015/16;23;3322
7341;Special primary schools;Other special schools;101 to 201 pupils/students;2016/17;23;3554
7342;Special primary schools;Other special schools;101 to 201 pupils/students;2017/18;22;3249
7343;Special primary schools;Other special schools;101 to 201 pupils/students;2018/19;28;3809
7344;Special primary schools;Other special schools;101 to 201 pupils/students;2019/20;28;3857
7345;Special primary schools;Other special schools;101 to 201 pupils/students;2020/21;24;3410
7346;Special primary schools;Other special schools;101 to 201 pupils/students;2021/22;25;3440
7347;Special primary schools;Other special schools;101 to 201 pupils/students;2022/23;22;3204
7348;Special primary schools;Other special schools;101 to 201 pupils/students;2023/24;21;3040
7349;Special primary schools;Other special schools;101 to 201 pupils/students;2024/25;22;3236
7350;Special primary schools;Other special schools;201 to 501 pupils/students;1990/91;1;259
7351;Special primary schools;Other special schools;201 to 501 pupils/students;1991/92;1;251
7352;Special primary schools;Other special schools;201 to 501 pupils/students;1992/93;1;241
7353;Special primary schools;Other special schools;201 to 501 pupils/students;1993/94;1;235
7354;Special primary schools;Other special schools;201 to 501 pupils/students;1994/95;1;235
7355;Special primary schools;Other special schools;201 to 501 pupils/students;1995/96;1;237
7356;Special primary schools;Other special schools;201 to 501 pupils/students;1996/97;1;221
7357;Special primary schools;Other special schools;201 to 501 pupils/students;1997/98;2;415
7358;Special primary schools;Other special schools;201 to 501 pupils/students;1998/99;6;1669
7359;Special primary schools;Other special schools;201 to 501 pupils/students;1999/00;8;1957
7360;Special primary schools;Other special schools;201 to 501 pupils/students;2000/01;15;3875
7361;Special primary schools;Other special schools;201 to 501 pupils/students;2001/02;14;3883
7362;Special primary schools;Other special schools;201 to 501 pupils/students;2002/03;22;5925
7363;Special primary schools;Other special schools;201 to 501 pupils/students;2003/04;17;4598
7364;Special primary schools;Other special schools;201 to 501 pupils/students;2004/05;17;4513
7365;Special primary schools;Other special schools;201 to 501 pupils/students;2005/06;17;4291
7366;Special primary schools;Other special schools;201 to 501 pupils/students;2006/07;17;4219
7367;Special primary schools;Other special schools;201 to 501 pupils/students;2007/08;15;3717
7368;Special primary schools;Other special schools;201 to 501 pupils/students;2008/09;17;4060
7369;Special primary schools;Other special schools;201 to 501 pupils/students;2009/10;14;3416
7370;Special primary schools;Other special schools;201 to 501 pupils/students;2010/11;14;3418
7371;Special primary schools;Other special schools;201 to 501 pupils/students;2011/12;14;3405
7372;Special primary schools;Other special schools;201 to 501 pupils/students;2012/13;13;3213
7373;Special primary schools;Other special schools;201 to 501 pupils/students;2013/14;13;3130
7374;Special primary schools;Other special schools;201 to 501 pupils/students;2014/15;12;2948
7375;Special primary schools;Other special schools;201 to 501 pupils/students;2015/16;11;2637
7376;Special primary schools;Other special schools;201 to 501 pupils/students;2016/17;8;1975
7377;Special primary schools;Other special schools;201 to 501 pupils/students;2017/18;10;2406
7378;Special primary schools;Other special schools;201 to 501 pupils/students;2018/19;11;2660
7379;Special primary schools;Other special schools;201 to 501 pupils/students;2019/20;11;2722
7380;Special primary schools;Other special schools;201 to 501 pupils/students;2020/21;12;2968
7381;Special primary schools;Other special schools;201 to 501 pupils/students;2021/22;12;2889
7382;Special primary schools;Other special schools;201 to 501 pupils/students;2022/23;11;2620
7383;Special primary schools;Other special schools;201 to 501 pupils/students;2023/24;10;2328
7384;Special primary schools;Other special schools;201 to 501 pupils/students;2024/25;10;2268
7385;Special primary schools;Other special schools;501 to 1 001 pupils/students;1990/91;0;0
7386;Special primary schools;Other special schools;501 to 1 001 pupils/students;1991/92;0;0
7387;Special primary schools;Other special schools;501 to 1 001 pupils/students;1992/93;0;0
7388;Special primary schools;Other special schools;501 to 1 001 pupils/students;1993/94;0;0
7389;Special primary schools;Other special schools;501 to 1 001 pupils/students;1994/95;0;0
7390;Special primary schools;Other special schools;501 to 1 001 pupils/students;1995/96;0;0
7391;Special primary schools;Other special schools;501 to 1 001 pupils/students;1996/97;0;0
7392;Special primary schools;Other special schools;501 to 1 001 pupils/students;1997/98;0;0
7393;Special primary schools;Other special schools;501 to 1 001 pupils/students;1998/99;0;0
7394;Special primary schools;Other special schools;501 to 1 001 pupils/students;1999/00;0;0
7395;Special primary schools;Other special schools;501 to 1 001 pupils/students;2000/01;0;0
7396;Special primary schools;Other special schools;501 to 1 001 pupils/students;2001/02;0;0
7397;Special primary schools;Other special schools;501 to 1 001 pupils/students;2002/03;0;0
7398;Special primary schools;Other special schools;501 to 1 001 pupils/students;2003/04;0;0
7399;Special primary schools;Other special schools;501 to 1 001 pupils/students;2004/05;0;0
7400;Special primary schools;Other special schools;501 to 1 001 pupils/students;2005/06;0;0
7401;Special primary schools;Other special schools;501 to 1 001 pupils/students;2006/07;0;0
7402;Special primary schools;Other special schools;501 to 1 001 pupils/students;2007/08;0;0
7403;Special primary schools;Other special schools;501 to 1 001 pupils/students;2008/09;0;0
7404;Special primary schools;Other special schools;501 to 1 001 pupils/students;2009/10;0;0
7405;Special primary schools;Other special schools;501 to 1 001 pupils/students;2010/11;0;0
7406;Special primary schools;Other special schools;501 to 1 001 pupils/students;2011/12;0;0
7407;Special primary schools;Other special schools;501 to 1 001 pupils/students;2012/13;0;0
7408;Special primary schools;Other special schools;501 to 1 001 pupils/students;2013/14;0;0
7409;Special primary schools;Other special schools;501 to 1 001 pupils/students;2014/15;0;0
7410;Special primary schools;Other special schools;501 to 1 001 pupils/students;2015/16;0;0
7411;Special primary schools;Other special schools;501 to 1 001 pupils/students;2016/17;0;0
7412;Special primary schools;Other special schools;501 to 1 001 pupils/students;2017/18;0;0
7413;Special primary schools;Other special schools;501 to 1 001 pupils/students;2018/19;0;0
7414;Special primary schools;Other special schools;501 to 1 001 pupils/students;2019/20;0;0
7415;Special primary schools;Other special schools;501 to 1 001 pupils/students;2020/21;0;0
7416;Special primary schools;Other special schools;501 to 1 001 pupils/students;2021/22;0;0
7417;Special primary schools;Other special schools;501 to 1 001 pupils/students;2022/23;0;0
7418;Special primary schools;Other special schools;501 to 1 001 pupils/students;2023/24;0;0
7419;Special primary schools;Other special schools;501 to 1 001 pupils/students;2024/25;0;0
7420;Special primary schools;Other special schools;1 001 to 2 001 pupils/students;1990/91;0;0
7421;Special primary schools;Other special schools;1 001 to 2 001 pupils/students;1991/92;0;0
7422;Special primary schools;Other special schools;1 001 to 2 001 pupils/students;1992/93;0;0
7423;Special primary schools;Other special schools;1 001 to 2 001 pupils/students;1993/94;0;0
7424;Special primary schools;Other special schools;1 001 to 2 001 pupils/students;1994/95;0;0
7425;Special primary schools;Other special schools;1 001 to 2 001 pupils/students;1995/96;0;0
7426;Special primary schools;Other special schools;1 001 to 2 001 pupils/students;1996/97;0;0
7427;Special primary schools;Other special schools;1 001 to 2 001 pupils/students;1997/98;0;0
7428;Special primary schools;Other special schools;1 001 to 2 001 pupils/students;1998/99;0;0
7429;Special primary schools;Other special schools;1 001 to 2 001 pupils/students;1999/00;0;0
7430;Special primary schools;Other special schools;1 001 to 2 001 pupils/students;2000/01;0;0
7431;Special primary schools;Other special schools;1 001 to 2 001 pupils/students;2001/02;0;0
7432;Special primary schools;Other special schools;1 001 to 2 001 pupils/students;2002/03;0;0
7433;Special primary schools;Other special schools;1 001 to 2 001 pupils/students;2003/04;0;0
7434;Special primary schools;Other special schools;1 001 to 2 001 pupils/students;2004/05;0;0
7435;Special primary schools;Other special schools;1 001 to 2 001 pupils/students;2005/06;0;0
7436;Special primary schools;Other special schools;1 001 to 2 001 pupils/students;2006/07;0;0
7437;Special primary schools;Other special schools;1 001 to 2 001 pupils/students;2007/08;0;0
7438;Special primary schools;Other special schools;1 001 to 2 001 pupils/students;2008/09;0;0
7439;Special primary schools;Other special schools;1 001 to 2 001 pupils/students;2009/10;0;0
7440;Special primary schools;Other special schools;1 001 to 2 001 pupils/students;2010/11;0;0
7441;Special primary schools;Other special schools;1 001 to 2 001 pupils/students;2011/12;0;0
7442;Special primary schools;Other special schools;1 001 to 2 001 pupils/students;2012/13;0;0
7443;Special primary schools;Other special schools;1 001 to 2 001 pupils/students;2013/14;0;0
7444;Special primary schools;Other special schools;1 001 to 2 001 pupils/students;2014/15;0;0
7445;Special primary schools;Other special schools;1 001 to 2 001 pupils/students;2015/16;0;0
7446;Special primary schools;Other special schools;1 001 to 2 001 pupils/students;2016/17;0;0
7447;Special primary schools;Other special schools;1 001 to 2 001 pupils/students;2017/18;0;0
7448;Special primary schools;Other special schools;1 001 to 2 001 pupils/students;2018/19;0;0
7449;Special primary schools;Other special schools;1 001 to 2 001 pupils/students;2019/20;0;0
7450;Special primary schools;Other special schools;1 001 to 2 001 pupils/students;2020/21;0;0
7451;Special primary schools;Other special schools;1 001 to 2 001 pupils/students;2021/22;0;0
7452;Special primary schools;Other special schools;1 001 to 2 001 pupils/students;2022/23;0;0
7453;Special primary schools;Other special schools;1 001 to 2 001 pupils/students;2023/24;0;0
7454;Special primary schools;Other special schools;1 001 to 2 001 pupils/students;2024/25;0;0
7455;Special primary schools;Other special schools;2 001 to 5 001 pupils/students;1990/91;0;0
7456;Special primary schools;Other special schools;2 001 to 5 001 pupils/students;1991/92;0;0
7457;Special primary schools;Other special schools;2 001 to 5 001 pupils/students;1992/93;0;0
7458;Special primary schools;Other special schools;2 001 to 5 001 pupils/students;1993/94;0;0
7459;Special primary schools;Other special schools;2 001 to 5 001 pupils/students;1994/95;0;0
7460;Special primary schools;Other special schools;2 001 to 5 001 pupils/students;1995/96;0;0
7461;Special primary schools;Other special schools;2 001 to 5 001 pupils/students;1996/97;0;0
7462;Special primary schools;Other special schools;2 001 to 5 001 pupils/students;1997/98;0;0
7463;Special primary schools;Other special schools;2 001 to 5 001 pupils/students;1998/99;0;0
7464;Special primary schools;Other special schools;2 001 to 5 001 pupils/students;1999/00;0;0
7465;Special primary schools;Other special schools;2 001 to 5 001 pupils/students;2000/01;0;0
7466;Special primary schools;Other special schools;2 001 to 5 001 pupils/students;2001/02;0;0
7467;Special primary schools;Other special schools;2 001 to 5 001 pupils/students;2002/03;0;0
7468;Special primary schools;Other special schools;2 001 to 5 001 pupils/students;2003/04;0;0
7469;Special primary schools;Other special schools;2 001 to 5 001 pupils/students;2004/05;0;0
7470;Special primary schools;Other special schools;2 001 to 5 001 pupils/students;2005/06;0;0
7471;Special primary schools;Other special schools;2 001 to 5 001 pupils/students;2006/07;0;0
7472;Special primary schools;Other special schools;2 001 to 5 001 pupils/students;2007/08;0;0
7473;Special primary schools;Other special schools;2 001 to 5 001 pupils/students;2008/09;0;0
7474;Special primary schools;Other special schools;2 001 to 5 001 pupils/students;2009/10;0;0
7475;Special primary schools;Other special schools;2 001 to 5 001 pupils/students;2010/11;0;0
7476;Special primary schools;Other special schools;2 001 to 5 001 pupils/students;2011/12;0;0
7477;Special primary schools;Other special schools;2 001 to 5 001 pupils/students;2012/13;0;0
7478;Special primary schools;Other special schools;2 001 to 5 001 pupils/students;2013/14;0;0
7479;Special primary schools;Other special schools;2 001 to 5 001 pupils/students;2014/15;0;0
7480;Special primary schools;Other special schools;2 001 to 5 001 pupils/students;2015/16;0;0
7481;Special primary schools;Other special schools;2 001 to 5 001 pupils/students;2016/17;0;0
7482;Special primary schools;Other special schools;2 001 to 5 001 pupils/students;2017/18;0;0
7483;Special primary schools;Other special schools;2 001 to 5 001 pupils/students;2018/19;0;0
7484;Special primary schools;Other special schools;2 001 to 5 001 pupils/students;2019/20;0;0
7485;Special primary schools;Other special schools;2 001 to 5 001 pupils/students;2020/21;0;0
7486;Special primary schools;Other special schools;2 001 to 5 001 pupils/students;2021/22;0;0
7487;Special primary schools;Other special schools;2 001 to 5 001 pupils/students;2022/23;0;0
7488;Special primary schools;Other special schools;2 001 to 5 001 pupils/students;2023/24;0;0
7489;Special primary schools;Other special schools;2 001 to 5 001 pupils/students;2024/25;0;0
7490;Special primary schools;Other special schools;5 001 to 10 001 pupils/students;1990/91;0;0
7491;Special primary schools;Other special schools;5 001 to 10 001 pupils/students;1991/92;0;0
7492;Special primary schools;Other special schools;5 001 to 10 001 pupils/students;1992/93;0;0
7493;Special primary schools;Other special schools;5 001 to 10 001 pupils/students;1993/94;0;0
7494;Special primary schools;Other special schools;5 001 to 10 001 pupils/students;1994/95;0;0
7495;Special primary schools;Other special schools;5 001 to 10 001 pupils/students;1995/96;0;0
7496;Special primary schools;Other special schools;5 001 to 10 001 pupils/students;1996/97;0;0
7497;Special primary schools;Other special schools;5 001 to 10 001 pupils/students;1997/98;0;0
7498;Special primary schools;Other special schools;5 001 to 10 001 pupils/students;1998/99;0;0
7499;Special primary schools;Other special schools;5 001 to 10 001 pupils/students;1999/00;0;0
7500;Special primary schools;Other special schools;5 001 to 10 001 pupils/students;2000/01;0;0
7501;Special primary schools;Other special schools;5 001 to 10 001 pupils/students;2001/02;0;0
7502;Special primary schools;Other special schools;5 001 to 10 001 pupils/students;2002/03;0;0
7503;Special primary schools;Other special schools;5 001 to 10 001 pupils/students;2003/04;0;0
7504;Special primary schools;Other special schools;5 001 to 10 001 pupils/students;2004/05;0;0
7505;Special primary schools;Other special schools;5 001 to 10 001 pupils/students;2005/06;0;0
7506;Special primary schools;Other special schools;5 001 to 10 001 pupils/students;2006/07;0;0
7507;Special primary schools;Other special schools;5 001 to 10 001 pupils/students;2007/08;0;0
7508;Special primary schools;Other special schools;5 001 to 10 001 pupils/students;2008/09;0;0
7509;Special primary schools;Other special schools;5 001 to 10 001 pupils/students;2009/10;0;0
7510;Special primary schools;Other special schools;5 001 to 10 001 pupils/students;2010/11;0;0
7511;Special primary schools;Other special schools;5 001 to 10 001 pupils/students;2011/12;0;0
7512;Special primary schools;Other special schools;5 001 to 10 001 pupils/students;2012/13;0;0
7513;Special primary schools;Other special schools;5 001 to 10 001 pupils/students;2013/14;0;0
7514;Special primary schools;Other special schools;5 001 to 10 001 pupils/students;2014/15;0;0
7515;Special primary schools;Other special schools;5 001 to 10 001 pupils/students;2015/16;0;0
7516;Special primary schools;Other special schools;5 001 to 10 001 pupils/students;2016/17;0;0
7517;Special primary schools;Other special schools;5 001 to 10 001 pupils/students;2017/18;0;0
7518;Special primary schools;Other special schools;5 001 to 10 001 pupils/students;2018/19;0;0
7519;Special primary schools;Other special schools;5 001 to 10 001 pupils/students;2019/20;0;0
7520;Special primary schools;Other special schools;5 001 to 10 001 pupils/students;2020/21;0;0
7521;Special primary schools;Other special schools;5 001 to 10 001 pupils/students;2021/22;0;0
7522;Special primary schools;Other special schools;5 001 to 10 001 pupils/students;2022/23;0;0
7523;Special primary schools;Other special schools;5 001 to 10 001 pupils/students;2023/24;0;0
7524;Special primary schools;Other special schools;5 001 to 10 001 pupils/students;2024/25;0;0
7525;Special primary schools;Other special schools;More than 10 000 pupils/students;1990/91;0;0
7526;Special primary schools;Other special schools;More than 10 000 pupils/students;1991/92;0;0
7527;Special primary schools;Other special schools;More than 10 000 pupils/students;1992/93;0;0
7528;Special primary schools;Other special schools;More than 10 000 pupils/students;1993/94;0;0
7529;Special primary schools;Other special schools;More than 10 000 pupils/students;1994/95;0;0
7530;Special primary schools;Other special schools;More than 10 000 pupils/students;1995/96;0;0
7531;Special primary schools;Other special schools;More than 10 000 pupils/students;1996/97;0;0
7532;Special primary schools;Other special schools;More than 10 000 pupils/students;1997/98;0;0
7533;Special primary schools;Other special schools;More than 10 000 pupils/students;1998/99;0;0
7534;Special primary schools;Other special schools;More than 10 000 pupils/students;1999/00;0;0
7535;Special primary schools;Other special schools;More than 10 000 pupils/students;2000/01;0;0
7536;Special primary schools;Other special schools;More than 10 000 pupils/students;2001/02;0;0
7537;Special primary schools;Other special schools;More than 10 000 pupils/students;2002/03;0;0
7538;Special primary schools;Other special schools;More than 10 000 pupils/students;2003/04;0;0
7539;Special primary schools;Other special schools;More than 10 000 pupils/students;2004/05;0;0
7540;Special primary schools;Other special schools;More than 10 000 pupils/students;2005/06;0;0
7541;Special primary schools;Other special schools;More than 10 000 pupils/students;2006/07;0;0
7542;Special primary schools;Other special schools;More than 10 000 pupils/students;2007/08;0;0
7543;Special primary schools;Other special schools;More than 10 000 pupils/students;2008/09;0;0
7544;Special primary schools;Other special schools;More than 10 000 pupils/students;2009/10;0;0
7545;Special primary schools;Other special schools;More than 10 000 pupils/students;2010/11;0;0
7546;Special primary schools;Other special schools;More than 10 000 pupils/students;2011/12;0;0
7547;Special primary schools;Other special schools;More than 10 000 pupils/students;2012/13;0;0
7548;Special primary schools;Other special schools;More than 10 000 pupils/students;2013/14;0;0
7549;Special primary schools;Other special schools;More than 10 000 pupils/students;2014/15;0;0
7550;Special primary schools;Other special schools;More than 10 000 pupils/students;2015/16;0;0
7551;Special primary schools;Other special schools;More than 10 000 pupils/students;2016/17;0;0
7552;Special primary schools;Other special schools;More than 10 000 pupils/students;2017/18;0;0
7553;Special primary schools;Other special schools;More than 10 000 pupils/students;2018/19;0;0
7554;Special primary schools;Other special schools;More than 10 000 pupils/students;2019/20;0;0
7555;Special primary schools;Other special schools;More than 10 000 pupils/students;2020/21;0;0
7556;Special primary schools;Other special schools;More than 10 000 pupils/students;2021/22;0;0
7557;Special primary schools;Other special schools;More than 10 000 pupils/students;2022/23;0;0
7558;Special primary schools;Other special schools;More than 10 000 pupils/students;2023/24;0;0
7559;Special primary schools;Other special schools;More than 10 000 pupils/students;2024/25;0;0
7560;Special schools;Total;Total;1990/91;370;30917
7561;Special schools;Total;Total;1991/92;368;31201
7562;Special schools;Total;Total;1992/93;352;31273
7563;Special schools;Total;Total;1993/94;348;32412
7564;Special schools;Total;Total;1994/95;345;33665
7565;Special schools;Total;Total;1995/96;337;35063
7566;Special schools;Total;Total;1996/97;335;36802
7567;Special schools;Total;Total;1997/98;335;38824
7568;Special schools;Total;Total;1998/99;333;41056
7569;Special schools;Total;Total;1999/00;333;43504
7570;Special schools;Total;Total;2000/01;332;45824
7571;Special schools;Total;Total;2001/02;331;48191
7572;Special schools;Total;Total;2002/03;329;51694
7573;Special schools;Total;Total;2003/04;324;54052
7574;Special schools;Total;Total;2004/05;324;55743
7575;Special schools;Total;Total;2005/06;323;59054
7576;Special schools;Total;Total;2006/07;323;61920
7577;Special schools;Total;Total;2007/08;323;64658
7578;Special schools;Total;Total;2008/09;323;66264
7579;Special schools;Total;Total;2009/10;327;67653
7580;Special schools;Total;Total;2010/11;327;68863
7581;Special schools;Total;Total;2011/12;324;70154
7582;Special schools;Total;Total;2012/13;322;70416
7583;Special schools;Total;Total;2013/14;321;71230
7584;Special schools;Total;Total;2014/15;319;70980
7585;Special schools;Total;Total;2015/16;271;68196
7586;Special schools;Total;Total;2016/17;267;67045
7587;Special schools;Total;Total;2017/18;266;67516
7588;Special schools;Total;Total;2018/19;265;68426
7589;Special schools;Total;Total;2019/20;265;69816
7590;Special schools;Total;Total;2020/21;265;70208
7591;Special schools;Total;Total;2021/22;264;71602
7592;Special schools;Total;Total;2022/23;263;72139
7593;Special schools;Total;Total;2023/24;263;73537
7594;Special schools;Total;Total;2024/25;263;74742
7595;Special schools;Total;Less than 101 pupils/students;1990/91;262;15063
7596;Special schools;Total;Less than 101 pupils/students;1991/92;257;14952
7597;Special schools;Total;Less than 101 pupils/students;1992/93;239;14456
7598;Special schools;Total;Less than 101 pupils/students;1993/94;222;13690
7599;Special schools;Total;Less than 101 pupils/students;1994/95;212;13455
7600;Special schools;Total;Less than 101 pupils/students;1995/96;200;13174
7601;Special schools;Total;Less than 101 pupils/students;1996/97;184;12140
7602;Special schools;Total;Less than 101 pupils/students;1997/98;168;11177
7603;Special schools;Total;Less than 101 pupils/students;1998/99;151;10189
7604;Special schools;Total;Less than 101 pupils/students;1999/00;140;9587
7605;Special schools;Total;Less than 101 pupils/students;2000/01;134;9481
7606;Special schools;Total;Less than 101 pupils/students;2001/02;121;8587
7607;Special schools;Total;Less than 101 pupils/students;2002/03;109;7992
7608;Special schools;Total;Less than 101 pupils/students;2003/04;85;6143
7609;Special schools;Total;Less than 101 pupils/students;2004/05;82;5930
7610;Special schools;Total;Less than 101 pupils/students;2005/06;79;5681
7611;Special schools;Total;Less than 101 pupils/students;2006/07;75;5426
7612;Special schools;Total;Less than 101 pupils/students;2007/08;67;4665
7613;Special schools;Total;Less than 101 pupils/students;2008/09;65;4453
7614;Special schools;Total;Less than 101 pupils/students;2009/10;68;4681
7615;Special schools;Total;Less than 101 pupils/students;2010/11;69;4642
7616;Special schools;Total;Less than 101 pupils/students;2011/12;63;4118
7617;Special schools;Total;Less than 101 pupils/students;2012/13;68;4641
7618;Special schools;Total;Less than 101 pupils/students;2013/14;68;4759
7619;Special schools;Total;Less than 101 pupils/students;2014/15;67;4428
7620;Special schools;Total;Less than 101 pupils/students;2015/16;51;3567
7621;Special schools;Total;Less than 101 pupils/students;2016/17;47;3405
7622;Special schools;Total;Less than 101 pupils/students;2017/18;43;3071
7623;Special schools;Total;Less than 101 pupils/students;2018/19;40;2991
7624;Special schools;Total;Less than 101 pupils/students;2019/20;37;2742
7625;Special schools;Total;Less than 101 pupils/students;2020/21;35;2443
7626;Special schools;Total;Less than 101 pupils/students;2021/22;32;2356
7627;Special schools;Total;Less than 101 pupils/students;2022/23;28;2084
7628;Special schools;Total;Less than 101 pupils/students;2023/24;25;1852
7629;Special schools;Total;Less than 101 pupils/students;2024/25;24;1727
7630;Special schools;Total;101 to 201 pupils/students;1990/91;93;12439
7631;Special schools;Total;101 to 201 pupils/students;1991/92;97;13020
7632;Special schools;Total;101 to 201 pupils/students;1992/93;101;13911
7633;Special schools;Total;101 to 201 pupils/students;1993/94;111;15107
7634;Special schools;Total;101 to 201 pupils/students;1994/95;113;15462
7635;Special schools;Total;101 to 201 pupils/students;1995/96;114;16176
7636;Special schools;Total;101 to 201 pupils/students;1996/97;118;16546
7637;Special schools;Total;101 to 201 pupils/students;1997/98;130;18381
7638;Special schools;Total;101 to 201 pupils/students;1998/99;141;20306
7639;Special schools;Total;101 to 201 pupils/students;1999/00;139;19865
7640;Special schools;Total;101 to 201 pupils/students;2000/01;136;19604
7641;Special schools;Total;101 to 201 pupils/students;2001/02;140;20133
7642;Special schools;Total;101 to 201 pupils/students;2002/03;143;21005
7643;Special schools;Total;101 to 201 pupils/students;2003/04;150;21733
7644;Special schools;Total;101 to 201 pupils/students;2004/05;145;21131
7645;Special schools;Total;101 to 201 pupils/students;2005/06;136;20109
7646;Special schools;Total;101 to 201 pupils/students;2006/07;136;20247
7647;Special schools;Total;101 to 201 pupils/students;2007/08;138;20471
7648;Special schools;Total;101 to 201 pupils/students;2008/09;137;20180
7649;Special schools;Total;101 to 201 pupils/students;2009/10;135;19593
7650;Special schools;Total;101 to 201 pupils/students;2010/11;128;18498
7651;Special schools;Total;101 to 201 pupils/students;2011/12;132;19255
7652;Special schools;Total;101 to 201 pupils/students;2012/13;121;17580
7653;Special schools;Total;101 to 201 pupils/students;2013/14;125;18388
7654;Special schools;Total;101 to 201 pupils/students;2014/15;123;17926
7655;Special schools;Total;101 to 201 pupils/students;2015/16;106;15350
7656;Special schools;Total;101 to 201 pupils/students;2016/17;104;15230
7657;Special schools;Total;101 to 201 pupils/students;2017/18;109;15901
7658;Special schools;Total;101 to 201 pupils/students;2018/19;112;16483
7659;Special schools;Total;101 to 201 pupils/students;2019/20;111;16319
7660;Special schools;Total;101 to 201 pupils/students;2020/21;107;15808
7661;Special schools;Total;101 to 201 pupils/students;2021/22;104;15291
7662;Special schools;Total;101 to 201 pupils/students;2022/23;101;14590
7663;Special schools;Total;101 to 201 pupils/students;2023/24;99;14194
7664;Special schools;Total;101 to 201 pupils/students;2024/25;93;13193
7665;Special schools;Total;201 to 501 pupils/students;1990/91;15;3415
7666;Special schools;Total;201 to 501 pupils/students;1991/92;14;3229
7667;Special schools;Total;201 to 501 pupils/students;1992/93;12;2906
7668;Special schools;Total;201 to 501 pupils/students;1993/94;15;3615
7669;Special schools;Total;201 to 501 pupils/students;1994/95;20;4748
7670;Special schools;Total;201 to 501 pupils/students;1995/96;23;5713
7671;Special schools;Total;201 to 501 pupils/students;1996/97;33;8116
7672;Special schools;Total;201 to 501 pupils/students;1997/98;37;9266
7673;Special schools;Total;201 to 501 pupils/students;1998/99;41;10561
7674;Special schools;Total;201 to 501 pupils/students;1999/00;54;14052
7675;Special schools;Total;201 to 501 pupils/students;2000/01;61;16195
7676;Special schools;Total;201 to 501 pupils/students;2001/02;67;17771
7677;Special schools;Total;201 to 501 pupils/students;2002/03;72;19736
7678;Special schools;Total;201 to 501 pupils/students;2003/04;83;22507
7679;Special schools;Total;201 to 501 pupils/students;2004/05;90;24409
7680;Special schools;Total;201 to 501 pupils/students;2005/06;98;27112
7681;Special schools;Total;201 to 501 pupils/students;2006/07;101;28854
7682;Special schools;Total;201 to 501 pupils/students;2007/08;105;30562
7683;Special schools;Total;201 to 501 pupils/students;2008/09;106;30900
7684;Special schools;Total;201 to 501 pupils/students;2009/10;109;31812
7685;Special schools;Total;201 to 501 pupils/students;2010/11;113;32324
7686;Special schools;Total;201 to 501 pupils/students;2011/12;111;32356
7687;Special schools;Total;201 to 501 pupils/students;2012/13;114;33035
7688;Special schools;Total;201 to 501 pupils/students;2013/14;106;30743
7689;Special schools;Total;201 to 501 pupils/students;2014/15;108;31137
7690;Special schools;Total;201 to 501 pupils/students;2015/16;93;26559
7691;Special schools;Total;201 to 501 pupils/students;2016/17;96;26882
7692;Special schools;Total;201 to 501 pupils/students;2017/18;91;25427
7693;Special schools;Total;201 to 501 pupils/students;2018/19;89;25172
7694;Special schools;Total;201 to 501 pupils/students;2019/20;93;26663
7695;Special schools;Total;201 to 501 pupils/students;2020/21;101;29162
7696;Special schools;Total;201 to 501 pupils/students;2021/22;103;29511
7697;Special schools;Total;201 to 501 pupils/students;2022/23;110;31293
7698;Special schools;Total;201 to 501 pupils/students;2023/24;111;31032
7699;Special schools;Total;201 to 501 pupils/students;2024/25;119;33991
7700;Special schools;Total;501 to 1 001 pupils/students;1990/91;0;0
7701;Special schools;Total;501 to 1 001 pupils/students;1991/92;0;0
7702;Special schools;Total;501 to 1 001 pupils/students;1992/93;0;0
7703;Special schools;Total;501 to 1 001 pupils/students;1993/94;0;0
7704;Special schools;Total;501 to 1 001 pupils/students;1994/95;0;0
7705;Special schools;Total;501 to 1 001 pupils/students;1995/96;0;0
7706;Special schools;Total;501 to 1 001 pupils/students;1996/97;0;0
7707;Special schools;Total;501 to 1 001 pupils/students;1997/98;0;0
7708;Special schools;Total;501 to 1 001 pupils/students;1998/99;0;0
7709;Special schools;Total;501 to 1 001 pupils/students;1999/00;0;0
7710;Special schools;Total;501 to 1 001 pupils/students;2000/01;1;544
7711;Special schools;Total;501 to 1 001 pupils/students;2001/02;3;1700
7712;Special schools;Total;501 to 1 001 pupils/students;2002/03;5;2961
7713;Special schools;Total;501 to 1 001 pupils/students;2003/04;6;3669
7714;Special schools;Total;501 to 1 001 pupils/students;2004/05;7;4273
7715;Special schools;Total;501 to 1 001 pupils/students;2005/06;10;6152
7716;Special schools;Total;501 to 1 001 pupils/students;2006/07;10;6291
7717;Special schools;Total;501 to 1 001 pupils/students;2007/08;12;7686
7718;Special schools;Total;501 to 1 001 pupils/students;2008/09;12;7208
7719;Special schools;Total;501 to 1 001 pupils/students;2009/10;12;7710
7720;Special schools;Total;501 to 1 001 pupils/students;2010/11;14;9215
7721;Special schools;Total;501 to 1 001 pupils/students;2011/12;14;8951
7722;Special schools;Total;501 to 1 001 pupils/students;2012/13;15;9526
7723;Special schools;Total;501 to 1 001 pupils/students;2013/14;18;11527
7724;Special schools;Total;501 to 1 001 pupils/students;2014/15;16;11109
