ID;Sex;CharacteristicHouseholdsPersons;CaribbeanNetherlands;Periods;LabourForceAndNotInTheLabourForce_1;EmployedLabourForce_2;WantToWorkMoreHoursAvailable_3;DoesnTWantMoreHoursOrNotAvailable_4;NotEmployedLabourForce_5;UnemployedLabourForce_6;NotInTheLabourForce_7;AvailableToWorkButNotSeeking_8;SeekingWorkButNotAvailable_9;NotSeekingWorkNotAvailable_10;WantToWork_11;DoesnTWantToOrCanTWork_12;BecauseOfFamilyHouseholdCare_13;BecauseOfEducation_14;BecauseOfRetirementOldAge_15;BecauseOfIllnessDisability_16;BecauseOfOtherReason_17
632;Female;Total persons;Bonaire;2016;7260;4900;440;4460;2360;360;2000;130;50;1820;80;1740;290;460;680;220;100
633;Female;Total persons;Bonaire;2018;7390;5250;600;4650;2140;160;1980;200;80;1700;110;1600;220;370;680;210;120
634;Female;Total persons;Bonaire;2020;7840;5160;500;4660;2690;270;2420;260;30;2130;190;1940;360;440;750;250;140
635;Female;Total persons;Bonaire;2022;8470;5940;620;5320;2530;180;2350;150;30;2170;100;2080;350;380;850;290;200
636;Female;Total persons;St. Eustatius;2012;1320;850;180;670;470;30;430;50;20;360;40;320;60;100;120;10;40
637;Female;Total persons;St. Eustatius;2014;1420;900;180;720;520;70;440;90;10;340;70;270;50;50;100;50;30
638;Female;Total persons;St. Eustatius;2016;1170;760;150;610;400;50;360;100;10;250;20;230;40;60;90;30;10
639;Female;Total persons;St. Eustatius;2018;1240;850;70;780;390;30;360;50;10;290;20;270;40;80;130;10;10
640;Female;Total persons;St. Eustatius;2020;1160;810;70;740;350;20;320;40;0;290;0;280;20;70;160;20;10
641;Female;Total persons;St. Eustatius;2022;1190;870;70;800;330;40;290;60;0;230;0;230;20;70;90;30;20
642;Female;Total persons;Saba;2012;780;480;90;390;290;20;280;30;0;250;20;230;30;120;30;10;30
643;Female;Total persons;Saba;2014;770;450;100;350;320;10;320;20;0;290;20;270;20;180;40;20;10
644;Female;Total persons;Saba;2016;790;470;60;410;330;20;310;20;0;280;10;270;40;140;60;20;10
645;Female;Total persons;Saba;2018;900;580;80;500;320;20;300;20;0;280;10;270;30;150;80;20;0
646;Female;Total persons;Saba;2020;770;550;120;430;230;20;200;30;0;170;10;160;10;40;80;30;0
647;Female;Total persons;Saba;2022;740;490;30;460;250;10;240;0;10;230;0;230;10;110;70;10;20
648;Female;Age: 15 to 24 years;Caribbean Netherlands;2012;1280;530;210;330;750;60;690;80;10;600;40;560;20;490;0;10;40
649;Female;Age: 15 to 24 years;Caribbean Netherlands;2014;1510;520;100;410;990;140;850;120;0;730;80;650;0;600;0;20;20
650;Female;Age: 15 to 24 years;Caribbean Netherlands;2016;1290;480;80;410;810;120;690;60;10;620;20;600;0;590;0;0;10
651;Female;Age: 15 to 24 years;Caribbean Netherlands;2018;1270;590;120;470;680;50;640;40;40;560;30;530;0;510;0;0;20
652;Female;Age: 15 to 24 years;Caribbean Netherlands;2020;1140;450;50;400;690;60;630;40;0;590;90;500;0;500;0;0;0
653;Female;Age: 15 to 24 years;Caribbean Netherlands;2022;1440;700;130;570;740;90;650;90;30;530;20;510;0;490;0;0;20
654;Female;Age: 15 to 24 years;Bonaire;2012;940;450;180;280;490;50;430;40;10;380;20;360;10;310;0;10;30
655;Female;Age: 15 to 24 years;Bonaire;2014;1130;420;70;350;710;120;590;80;0;520;50;470;0;440;0;10;20
656;Female;Age: 15 to 24 years;Bonaire;2016;990;420;60;360;570;90;480;20;0;460;0;460;0;450;0;0;10
657;Female;Age: 15 to 24 years;Bonaire;2018;990;460;90;370;530;40;490;40;40;410;30;390;0;370;0;0;20
658;Female;Age: 15 to 24 years;Bonaire;2020;920;370;40;340;550;40;500;10;0;490;90;410;0;410;0;0;0
659;Female;Age: 15 to 24 years;Bonaire;2022;1220;640;130;510;580;80;500;60;30;400;20;390;0;360;0;0;20
660;Female;Age: 15 to 24 years;St. Eustatius;2012;170;40;20;20;140;0;130;20;0;110;10;100;0;100;0;0;0
661;Female;Age: 15 to 24 years;St. Eustatius;2014;200;50;30;20;150;20;130;40;0;90;30;70;0;50;0;10;10
662;Female;Age: 15 to 24 years;St. Eustatius;2016;160;30;10;20;130;20;110;30;10;70;10;60;0;60;0;0;0
663;Female;Age: 15 to 24 years;St. Eustatius;2018;130;50;20;30;80;10;80;10;0;70;0;70;0;70;0;0;0
664;Female;Age: 15 to 24 years;St. Eustatius;2020;130;40;10;30;90;10;80;10;0;70;0;70;0;70;0;0;0
665;Female;Age: 15 to 24 years;St. Eustatius;2022;140;40;0;40;100;10;90;30;0;70;0;70;0;70;0;0;0
666;Female;Age: 15 to 24 years;Saba;2012;170;40;10;30;130;0;130;20;0;110;10;100;10;90;0;0;10
667;Female;Age: 15 to 24 years;Saba;2014;180;50;10;40;130;0;130;0;0;120;0;120;0;120;0;0;0
668;Female;Age: 15 to 24 years;Saba;2016;140;40;10;20;110;10;100;10;0;90;10;90;0;90;0;0;0
669;Female;Age: 15 to 24 years;Saba;2018;150;80;10;70;70;0;70;0;0;70;0;70;0;70;0;0;0
670;Female;Age: 15 to 24 years;Saba;2020;90;40;0;40;50;10;50;20;0;30;0;30;0;30;0;0;0
671;Female;Age: 15 to 24 years;Saba;2022;90;20;0;20;70;0;70;0;0;60;0;60;0;60;0;0;0
672;Female;Age: 25 to 44 years;Caribbean Netherlands;2012;3120;2540;430;2110;580;160;430;160;20;250;70;180;80;40;0;20;40
673;Female;Age: 25 to 44 years;Caribbean Netherlands;2014;3350;2740;520;2220;610;210;400;60;60;280;30;250;110;110;0;20;20
674;Female;Age: 25 to 44 years;Caribbean Netherlands;2016;3630;2970;340;2630;660;190;470;120;10;340;50;290;110;70;0;60;60
675;Female;Age: 25 to 44 years;Caribbean Netherlands;2018;3650;3090;370;2720;560;120;440;120;40;280;60;220;80;80;0;40;20
676;Female;Age: 25 to 44 years;Caribbean Netherlands;2020;3770;3130;360;2770;640;190;450;130;30;290;40;250;120;50;0;60;20
677;Female;Age: 25 to 44 years;Caribbean Netherlands;2022;3840;3380;290;3090;460;50;410;50;10;350;40;310;130;60;0;70;60
678;Female;Age: 25 to 44 years;Bonaire;2012;2210;1830;300;1530;380;130;250;130;0;120;40;80;40;10;0;20;10
679;Female;Age: 25 to 44 years;Bonaire;2014;2470;2050;390;1660;420;170;250;40;40;170;20;160;90;50;0;10;20
680;Female;Age: 25 to 44 years;Bonaire;2016;2830;2340;250;2090;490;160;340;70;10;250;50;200;90;10;0;40;50
681;Female;Age: 25 to 44 years;Bonaire;2018;2730;2380;290;2090;350;100;250;80;30;150;40;110;60;0;0;30;20
682;Female;Age: 25 to 44 years;Bonaire;2020;2990;2450;260;2190;540;160;380;110;30;240;40;210;110;30;0;60;10
683;Female;Age: 25 to 44 years;Bonaire;2022;3050;2710;260;2450;330;30;300;40;0;260;40;230;110;20;0;70;30
684;Female;Age: 25 to 44 years;St. Eustatius;2012;580;450;90;360;130;20;110;20;10;70;20;60;30;0;0;0;20
685;Female;Age: 25 to 44 years;St. Eustatius;2014;590;490;90;400;100;40;60;20;10;30;10;20;20;0;0;10;0
686;Female;Age: 25 to 44 years;St. Eustatius;2016;460;380;70;310;80;30;60;40;0;20;0;20;10;0;0;10;0
687;Female;Age: 25 to 44 years;St. Eustatius;2018;510;410;30;380;100;20;90;40;10;40;20;20;10;10;0;0;0
688;Female;Age: 25 to 44 years;St. Eustatius;2020;460;410;30;370;50;20;40;20;0;20;0;20;0;0;0;0;0
689;Female;Age: 25 to 44 years;St. Eustatius;2022;480;420;20;400;60;20;40;10;0;30;0;30;10;0;0;0;20
690;Female;Age: 25 to 44 years;Saba;2012;340;260;40;220;80;10;70;10;0;60;10;50;10;30;0;0;0
691;Female;Age: 25 to 44 years;Saba;2014;300;210;40;160;100;0;90;10;0;80;10;70;0;70;0;0;0
692;Female;Age: 25 to 44 years;Saba;2016;340;260;20;240;90;10;80;10;0;70;0;70;10;50;0;0;0
693;Female;Age: 25 to 44 years;Saba;2018;400;300;50;250;110;10;100;10;0;90;10;90;10;80;0;0;0
694;Female;Age: 25 to 44 years;Saba;2020;320;270;70;210;50;20;30;0;0;30;0;20;10;20;0;0;0
695;Female;Age: 25 to 44 years;Saba;2022;320;250;20;230;70;0;70;0;0;60;0;60;10;40;0;0;10
696;Female;Age: 25 to 34 years;Caribbean Netherlands;2012;1540;1170;230;940;370;130;240;80;20;140;50;90;30;40;0;0;10
697;Female;Age: 25 to 34 years;Caribbean Netherlands;2014;1590;1290;230;1060;300;70;230;20;10;200;20;180;50;110;0;10;20
698;Female;Age: 25 to 34 years;Caribbean Netherlands;2016;1860;1460;150;1310;400;160;240;40;10;190;20;170;20;70;0;40;40
699;Female;Age: 25 to 34 years;Caribbean Netherlands;2018;2050;1670;210;1460;380;80;310;90;40;180;40;150;40;80;0;10;20
700;Female;Age: 25 to 34 years;Caribbean Netherlands;2020;1980;1660;190;1470;320;110;210;70;20;130;0;130;50;50;0;20;0
701;Female;Age: 25 to 34 years;Caribbean Netherlands;2022;1860;1650;130;1520;220;20;200;20;0;170;0;170;60;60;0;20;40
702;Female;Age: 25 to 34 years;Bonaire;2012;1040;800;150;660;240;110;120;70;0;50;30;20;10;10;0;0;0
703;Female;Age: 25 to 34 years;Bonaire;2014;1150;960;150;800;190;60;130;10;0;120;20;110;50;50;0;0;20
704;Female;Age: 25 to 34 years;Bonaire;2016;1420;1140;90;1050;290;150;140;10;10;120;20;100;10;10;0;30;40
705;Female;Age: 25 to 34 years;Bonaire;2018;1550;1320;180;1140;220;60;160;60;30;80;20;60;30;0;0;10;20
706;Female;Age: 25 to 34 years;Bonaire;2020;1590;1340;130;1210;240;90;160;50;20;90;0;90;50;30;0;20;0
707;Female;Age: 25 to 34 years;Bonaire;2022;1440;1300;110;1190;130;10;120;20;0;110;0;110;50;20;0;20;20
708;Female;Age: 25 to 34 years;St. Eustatius;2012;290;220;60;160;70;10;60;10;10;40;10;30;10;0;0;0;10
709;Female;Age: 25 to 34 years;St. Eustatius;2014;270;240;50;190;30;20;20;10;10;10;0;10;0;0;0;10;0
710;Female;Age: 25 to 34 years;St. Eustatius;2016;230;190;50;140;40;20;30;20;0;10;0;10;0;0;0;10;0
711;Female;Age: 25 to 34 years;St. Eustatius;2018;250;180;10;170;70;10;70;20;10;30;10;20;10;10;0;0;0
712;Female;Age: 25 to 34 years;St. Eustatius;2020;210;170;20;150;40;10;30;20;0;10;0;10;0;0;0;0;0
713;Female;Age: 25 to 34 years;St. Eustatius;2022;250;220;10;210;30;10;20;0;0;20;0;20;0;0;0;0;10
714;Female;Age: 25 to 34 years;Saba;2012;210;150;30;130;60;10;50;0;0;50;0;40;10;30;0;0;0
715;Female;Age: 25 to 34 years;Saba;2014;170;90;20;70;80;0;80;0;0;70;0;70;0;60;0;0;0
716;Female;Age: 25 to 34 years;Saba;2016;210;130;10;130;80;0;70;10;0;70;0;70;10;50;0;0;0
717;Female;Age: 25 to 34 years;Saba;2018;260;170;30;150;80;0;80;0;0;80;0;70;10;70;0;0;0
718;Female;Age: 25 to 34 years;Saba;2020;180;150;40;110;30;10;20;0;0;20;0;20;10;20;0;0;0
719;Female;Age: 25 to 34 years;Saba;2022;180;130;10;120;50;0;50;0;0;50;0;50;0;40;0;0;10
720;Female;Age: 35 to 44 years;Caribbean Netherlands;2012;1590;1370;200;1170;220;30;190;80;0;110;20;90;50;0;0;20;20
721;Female;Age: 35 to 44 years;Caribbean Netherlands;2014;1770;1460;300;1160;310;140;180;50;50;80;10;70;60;0;0;10;0
722;Female;Age: 35 to 44 years;Caribbean Netherlands;2016;1770;1510;190;1320;260;30;230;80;0;160;40;120;90;0;0;20;10
723;Female;Age: 35 to 44 years;Caribbean Netherlands;2018;1590;1420;160;1260;180;50;130;30;0;100;30;70;40;10;0;20;0
724;Female;Age: 35 to 44 years;Caribbean Netherlands;2020;1790;1470;180;1300;320;80;240;60;20;160;40;120;60;0;0;40;10
725;Female;Age: 35 to 44 years;Caribbean Netherlands;2022;1980;1740;170;1570;240;30;210;30;0;180;40;140;70;0;0;50;20
726;Female;Age: 35 to 44 years;Bonaire;2012;1170;1030;150;870;140;10;130;60;0;70;10;60;30;0;0;20;10
727;Female;Age: 35 to 44 years;Bonaire;2014;1320;1090;240;850;230;110;120;30;40;50;0;50;40;0;0;10;0
728;Female;Age: 35 to 44 years;Bonaire;2016;1410;1200;160;1040;210;10;200;60;0;140;40;100;70;0;0;10;10
729;Female;Age: 35 to 44 years;Bonaire;2018;1180;1060;110;950;120;30;90;20;0;70;20;50;30;0;0;20;0
730;Female;Age: 35 to 44 years;Bonaire;2020;1410;1110;130;980;300;70;220;60;10;150;40;120;60;0;0;40;10
731;Female;Age: 35 to 44 years;Bonaire;2022;1610;1410;150;1260;200;20;180;20;0;160;40;120;60;0;0;50;10
732;Female;Age: 35 to 44 years;St. Eustatius;2012;290;230;30;200;60;10;40;10;0;30;0;30;20;0;0;0;10
733;Female;Age: 35 to 44 years;St. Eustatius;2014;320;250;40;210;60;20;40;10;10;20;10;20;20;0;0;0;0
734;Female;Age: 35 to 44 years;St. Eustatius;2016;230;190;20;170;40;10;30;20;0;20;0;20;10;0;0;10;0
735;Female;Age: 35 to 44 years;St. Eustatius;2018;260;230;30;210;30;10;20;10;0;10;0;10;0;0;0;0;0
736;Female;Age: 35 to 44 years;St. Eustatius;2020;250;240;10;220;10;0;10;0;0;10;0;0;0;0;0;0;0
737;Female;Age: 35 to 44 years;St. Eustatius;2022;230;200;10;190;30;10;20;10;0;10;0;10;10;0;0;0;0
738;Female;Age: 35 to 44 years;Saba;2012;130;110;20;90;20;0;10;0;0;10;0;10;0;0;0;0;0
739;Female;Age: 35 to 44 years;Saba;2014;130;120;20;100;20;0;20;10;0;10;10;0;0;0;0;0;0
740;Female;Age: 35 to 44 years;Saba;2016;130;120;10;110;10;0;10;0;0;10;0;10;0;0;0;0;0
741;Female;Age: 35 to 44 years;Saba;2018;150;130;20;110;20;0;20;0;0;20;0;10;0;10;0;0;0
742;Female;Age: 35 to 44 years;Saba;2020;140;130;30;100;10;10;10;0;0;0;0;0;0;0;0;0;0
743;Female;Age: 35 to 44 years;Saba;2022;140;120;10;120;10;0;10;0;0;10;0;10;10;0;0;0;0
744;Female;Age: 45 to 54 years;Caribbean Netherlands;2012;1840;1400;190;1210;440;70;370;90;10;270;40;240;80;0;20;120;20
745;Female;Age: 45 to 54 years;Caribbean Netherlands;2014;1910;1560;230;1330;350;40;310;80;0;230;20;210;100;0;30;50;40
746;Female;Age: 45 to 54 years;Caribbean Netherlands;2016;1990;1650;170;1480;340;80;260;10;10;240;20;220;120;0;0;100;0
747;Female;Age: 45 to 54 years;Caribbean Netherlands;2018;1940;1650;150;1490;300;10;290;60;20;210;10;200;120;0;10;40;30
748;Female;Age: 45 to 54 years;Caribbean Netherlands;2020;1990;1550;100;1450;440;50;390;80;0;320;50;270;140;0;0;80;60
749;Female;Age: 45 to 54 years;Caribbean Netherlands;2022;2050;1710;140;1570;340;50;290;40;0;250;10;240;100;0;0;80;60
750;Female;Age: 45 to 54 years;Bonaire;2012;1440;1080;130;960;360;60;300;90;0;210;20;190;50;0;10;120;10
751;Female;Age: 45 to 54 years;Bonaire;2014;1510;1240;160;1080;270;20;260;60;0;190;10;180;90;0;20;40;30
752;Female;Age: 45 to 54 years;Bonaire;2016;1590;1310;100;1210;280;80;210;0;10;190;10;180;90;0;0;90;0
753;Female;Age: 45 to 54 years;Bonaire;2018;1570;1320;130;1200;250;0;250;50;20;180;10;170;100;0;10;30;30
754;Female;Age: 45 to 54 years;Bonaire;2020;1600;1200;60;1140;390;40;350;70;0;280;50;230;120;0;0;60;60
755;Female;Age: 45 to 54 years;Bonaire;2022;1640;1350;100;1250;290;40;250;30;0;220;10;210;100;0;0;70;50
756;Female;Age: 45 to 54 years;St. Eustatius;2012;290;230;50;180;60;10;50;0;10;40;10;30;20;0;0;0;0
757;Female;Age: 45 to 54 years;St. Eustatius;2014;290;230;40;190;60;20;40;20;0;20;10;10;0;0;0;10;10
758;Female;Age: 45 to 54 years;St. Eustatius;2016;270;230;60;170;30;0;30;0;0;30;10;20;20;0;0;0;0
759;Female;Age: 45 to 54 years;St. Eustatius;2018;230;200;10;190;30;0;20;10;0;20;0;20;10;0;0;10;0
760;Female;Age: 45 to 54 years;St. Eustatius;2020;250;220;10;210;30;0;30;0;0;30;0;30;10;0;0;10;0
761;Female;Age: 45 to 54 years;St. Eustatius;2022;270;230;20;210;40;10;20;10;0;10;0;10;0;0;0;10;0
762;Female;Age: 45 to 54 years;Saba;2012;120;90;20;80;20;0;20;0;0;20;10;20;10;0;0;0;10
763;Female;Age: 45 to 54 years;Saba;2014;110;90;30;60;20;0;20;0;0;20;0;20;10;0;0;10;0
764;Female;Age: 45 to 54 years;Saba;2016;130;110;10;100;20;10;20;0;0;20;0;20;10;0;0;10;0
765;Female;Age: 45 to 54 years;Saba;2018;150;120;20;110;20;10;20;0;0;20;0;20;10;0;0;0;0
766;Female;Age: 45 to 54 years;Saba;2020;140;130;30;100;20;10;10;0;0;10;0;10;0;0;0;10;0
767;Female;Age: 45 to 54 years;Saba;2022;140;130;10;120;20;0;20;0;0;20;0;20;0;0;0;0;10
768;Female;Age: 45 to 74 years;Caribbean Netherlands;2012;3680;2250;310;1940;1430;90;1340;120;20;1200;40;1160;190;0;600;200;160
769;Female;Age: 45 to 74 years;Caribbean Netherlands;2014;4140;2550;340;2210;1590;70;1520;150;0;1370;90;1280;250;0;640;240;160
770;Female;Age: 45 to 74 years;Caribbean Netherlands;2016;4300;2680;240;2440;1610;120;1490;70;30;1390;40;1350;260;0;820;210;50
771;Female;Age: 45 to 74 years;Caribbean Netherlands;2018;4610;3000;280;2730;1600;40;1570;110;20;1440;60;1390;200;0;890;210;90
772;Female;Age: 45 to 74 years;Caribbean Netherlands;2020;4860;2930;280;2660;1930;70;1860;160;0;1700;70;1630;280;0;980;240;140
773;Female;Age: 45 to 74 years;Caribbean Netherlands;2022;5110;3210;300;2910;1900;90;1810;60;0;1750;50;1700;260;0;1010;260;160
774;Female;Age: 45 to 74 years;Bonaire;2012;2850;1710;190;1510;1140;80;1060;110;10;950;20;920;150;0;460;180;130
775;Female;Age: 45 to 74 years;Bonaire;2014;3220;2000;230;1770;1220;50;1170;110;0;1060;50;1010;200;0;500;180;130
776;Female;Age: 45 to 74 years;Bonaire;2016;3440;2150;140;2010;1290;120;1180;30;30;1110;20;1090;200;0;680;180;40
777;Female;Age: 45 to 74 years;Bonaire;2018;3670;2410;220;2190;1260;20;1240;80;20;1140;40;1100;160;0;680;180;80
778;Female;Age: 45 to 74 years;Bonaire;2020;3930;2330;200;2130;1600;70;1530;140;0;1390;70;1320;250;0;750;190;130
779;Female;Age: 45 to 74 years;Bonaire;2022;4200;2580;230;2350;1620;60;1550;40;0;1510;50;1460;240;0;850;220;150
780;Female;Age: 45 to 74 years;St. Eustatius;2012;570;360;80;290;200;10;190;10;10;170;10;160;30;0;110;10;10
781;Female;Age: 45 to 74 years;St. Eustatius;2014;630;360;60;300;270;20;250;30;0;220;40;190;30;0;100;40;20
782;Female;Age: 45 to 74 years;St. Eustatius;2016;540;360;80;280;190;0;190;30;0;160;20;140;30;0;90;20;10
783;Female;Age: 45 to 74 years;St. Eustatius;2018;590;390;20;360;200;10;190;10;0;180;10;170;20;0;130;10;10
784;Female;Age: 45 to 74 years;St. Eustatius;2020;570;370;30;340;210;0;210;10;0;190;0;190;20;0;150;20;10
785;Female;Age: 45 to 74 years;St. Eustatius;2022;580;410;50;360;170;20;150;20;0;140;0;130;10;0;90;30;10
786;Female;Age: 45 to 74 years;Saba;2012;270;180;40;140;90;0;90;10;0;80;10;70;20;0;30;10;20
787;Female;Age: 45 to 74 years;Saba;2014;290;190;50;140;100;0;100;10;0;80;0;80;20;0;40;20;10
788;Female;Age: 45 to 74 years;Saba;2016;310;180;30;150;130;10;130;10;0;120;0;120;30;0;60;20;10
789;Female;Age: 45 to 74 years;Saba;2018;350;210;30;180;140;10;130;10;0;120;10;110;20;0;80;20;0
790;Female;Age: 45 to 74 years;Saba;2020;360;240;50;180;130;10;120;10;0;110;0;110;10;0;80;30;0
791;Female;Age: 45 to 74 years;Saba;2022;330;220;20;200;110;10;110;0;0;110;0;110;10;0;70;10;10
792;Female;Age: 55 to 64 years;Caribbean Netherlands;2012;1170;770;100;670;400;20;380;30;10;340;0;340;40;0;190;30;90
793;Female;Age: 55 to 64 years;Caribbean Netherlands;2014;1450;860;110;750;600;40;560;30;0;530;70;460;110;0;170;90;90
794;Female;Age: 55 to 64 years;Caribbean Netherlands;2016;1490;960;60;900;530;40;490;50;20;420;0;420;100;0;220;70;30
795;Female;Age: 55 to 64 years;Caribbean Netherlands;2018;1610;1170;90;1080;440;20;420;50;0;380;20;360;70;0;130;120;40
796;Female;Age: 55 to 64 years;Caribbean Netherlands;2020;1780;1180;110;1080;600;30;570;60;0;510;20;490;120;0;220;120;40
797;Female;Age: 55 to 64 years;Caribbean Netherlands;2022;1870;1280;130;1150;590;30;560;20;0;540;20;520;90;0;210;140;90
798;Female;Age: 55 to 64 years;Bonaire;2012;900;580;60;520;320;10;310;20;10;280;0;280;30;0;160;10;70
799;Female;Age: 55 to 64 years;Bonaire;2014;1130;660;70;590;470;40;430;20;0;410;40;380;90;0;130;70;80
800;Female;Age: 55 to 64 years;Bonaire;2016;1190;780;30;750;410;40;380;30;20;320;0;320;80;0;160;50;20
801;Female;Age: 55 to 64 years;Bonaire;2018;1280;950;70;880;330;10;330;30;0;290;10;280;50;0;90;110;30
802;Female;Age: 55 to 64 years;Bonaire;2020;1470;970;80;900;500;30;470;50;0;430;20;410;110;0;170;100;30
803;Female;Age: 55 to 64 years;Bonaire;2022;1580;1060;100;960;510;20;490;10;0;480;10;470;80;0;180;130;80
804;Female;Age: 55 to 64 years;St. Eustatius;2012;190;130;30;100;60;0;60;10;0;50;0;50;0;0;30;10;0
805;Female;Age: 55 to 64 years;St. Eustatius;2014;210;110;20;90;100;0;100;10;0;90;30;60;20;0;30;20;10
806;Female;Age: 55 to 64 years;St. Eustatius;2016;190;120;20;100;80;0;80;10;0;60;0;60;10;0;30;10;0
807;Female;Age: 55 to 64 years;St. Eustatius;2018;220;160;10;150;60;0;50;10;0;50;0;40;10;0;20;0;10
808;Female;Age: 55 to 64 years;St. Eustatius;2020;190;130;10;110;60;0;60;10;0;50;0;50;10;0;30;0;10
809;Female;Age: 55 to 64 years;St. Eustatius;2022;190;140;20;120;50;0;50;10;0;40;0;40;10;0;10;10;0
810;Female;Age: 55 to 64 years;Saba;2012;80;70;20;50;20;0;10;0;0;10;0;10;0;0;0;0;10
811;Female;Age: 55 to 64 years;Saba;2014;110;80;20;70;30;0;30;0;0;20;0;20;0;0;10;10;0
812;Female;Age: 55 to 64 years;Saba;2016;110;60;10;50;40;0;40;0;0;40;0;40;0;0;20;10;10
813;Female;Age: 55 to 64 years;Saba;2018;110;60;10;50;50;0;50;10;0;40;0;40;10;0;20;10;0
814;Female;Age: 55 to 64 years;Saba;2020;120;80;20;70;40;0;40;0;0;40;0;40;0;0;20;20;0
815;Female;Age: 55 to 64 years;Saba;2022;110;80;10;70;30;10;20;0;0;20;0;20;0;0;20;0;0
816;Female;Age: 65 to 74 years;Caribbean Netherlands;2012;670;70;20;60;590;10;590;10;0;580;0;580;80;0;400;50;60
817;Female;Age: 65 to 74 years;Caribbean Netherlands;2014;780;140;0;130;640;0;640;30;0;610;10;600;40;0;450;100;20
818;Female;Age: 65 to 74 years;Caribbean Netherlands;2016;820;80;10;70;740;0;740;10;0;730;10;720;40;0;610;40;20
819;Female;Age: 65 to 74 years;Caribbean Netherlands;2018;1050;190;30;160;870;10;860;0;0;850;30;830;10;0;750;50;20
820;Female;Age: 65 to 74 years;Caribbean Netherlands;2020;1100;200;70;130;900;10;890;20;0;870;0;870;20;0;760;40;50
821;Female;Age: 65 to 74 years;Caribbean Netherlands;2022;1190;220;40;190;970;10;960;0;0;960;20;940;80;0;800;40;20
822;Female;Age: 65 to 74 years;Bonaire;2012;510;50;10;40;460;10;460;0;0;460;0;460;70;0;290;40;50
823;Female;Age: 65 to 74 years;Bonaire;2014;580;100;0;100;480;0;480;30;0;460;0;460;20;0;350;80;10
824;Female;Age: 65 to 74 years;Bonaire;2016;660;60;10;50;600;0;600;0;0;600;10;590;30;0;510;30;10
825;Female;Age: 65 to 74 years;Bonaire;2018;820;140;30;110;680;10;670;0;0;670;20;650;10;0;580;40;20
826;Female;Age: 65 to 74 years;Bonaire;2020;870;160;60;90;710;10;710;20;0;690;0;690;20;0;590;40;50
827;Female;Age: 65 to 74 years;Bonaire;2022;980;170;30;140;810;0;810;0;0;810;20;790;70;0;670;30;20
828;Female;Age: 65 to 74 years;St. Eustatius;2012;90;10;0;10;80;0;80;0;0;80;0;80;0;0;80;0;0
829;Female;Age: 65 to 74 years;St. Eustatius;2014;140;20;0;20;120;0;120;0;0;120;0;110;10;0;70;20;10
830;Female;Age: 65 to 74 years;St. Eustatius;2016;80;10;0;10;80;0;80;10;0;70;0;70;0;0;60;10;0
831;Female;Age: 65 to 74 years;St. Eustatius;2018;140;30;0;20;120;0;120;0;0;120;0;110;0;0;110;0;0
832;Female;Age: 65 to 74 years;St. Eustatius;2020;130;20;0;20;110;0;110;0;0;110;0;110;0;0;110;0;0
833;Female;Age: 65 to 74 years;St. Eustatius;2022;120;40;10;30;90;0;80;0;0;80;0;80;0;0;80;10;0
834;Female;Age: 65 to 74 years;Saba;2012;70;20;0;10;50;0;50;10;0;50;0;40;10;0;30;10;0
835;Female;Age: 65 to 74 years;Saba;2014;70;20;0;20;50;0;50;10;0;40;0;40;0;0;30;10;0
836;Female;Age: 65 to 74 years;Saba;2016;80;10;0;10;70;0;70;0;0;60;0;60;10;0;40;0;10
837;Female;Age: 65 to 74 years;Saba;2018;90;20;0;20;70;0;70;0;0;70;0;60;0;0;50;10;0
838;Female;Age: 65 to 74 years;Saba;2020;100;30;0;20;70;0;70;0;0;70;0;70;0;0;60;10;0
839;Female;Age: 65 to 74 years;Saba;2022;80;10;0;10;70;0;70;0;0;70;0;70;0;0;60;10;0
840;Female;Level of educ: 1. Low;Caribbean Netherlands;2012;4300;2540;520;2020;1760;150;1620;220;30;1370;70;1300;210;260;450;210;180
841;Female;Level of educ: 1. Low;Caribbean Netherlands;2014;4400;2630;460;2180;1760;210;1550;180;50;1330;130;1200;230;310;370;220;70
842;Female;Level of educ: 1. Low;Caribbean Netherlands;2016;4340;2260;280;1980;2080;280;1800;200;50;1550;80;1470;200;350;600;250;80
843;Female;Level of educ: 1. Low;Caribbean Netherlands;2018;4340;2680;330;2350;1660;110;1540;150;80;1310;80;1230;140;240;580;170;100
844;Female;Level of educ: 1. Low;Caribbean Netherlands;2020;4410;2510;290;2220;1900;160;1730;140;0;1590;110;1490;230;270;630;260;100
845;Female;Level of educ: 1. Low;Caribbean Netherlands;2022;4650;2860;330;2530;1790;150;1650;130;40;1480;50;1430;240;250;550;260;130
846;Female;Level of educ: 1. Low;Bonaire;2012;3200;1860;360;1500;1350;130;1220;150;20;1040;40;1000;160;180;340;190;140
847;Female;Level of educ: 1. Low;Bonaire;2014;3350;2000;330;1670;1350;170;1180;120;40;1020;60;960;190;260;280;170;50
848;Female;Level of educ: 1. Low;Bonaire;2016;3300;1640;170;1480;1660;240;1420;100;50;1270;60;1210;160;290;500;200;60
849;Female;Level of educ: 1. Low;Bonaire;2018;3400;2090;260;1830;1310;100;1210;100;80;1020;80;950;110;170;440;150;90
850;Female;Level of educ: 1. Low;Bonaire;2020;3450;1930;210;1720;1520;130;1400;110;0;1290;110;1180;210;200;470;220;80
