ID;Sex;Age;Nationality;Periods;TotalAsylumRequests_1;FirstAsylumRequestsPersons_2;SubsequentAsylumRequests_3;FamilyReunificationPersons_4
7421;Total male and female ;Total;Nigerian;2013 May;15;5;10;0
7422;Total male and female ;Total;Nigerian;2013 June;5;5;0;0
7423;Total male and female ;Total;Nigerian;2013 2nd Quarter;30;15;15;0
7424;Total male and female ;Total;Nigerian;2013 July;20;15;5;0
7425;Total male and female ;Total;Nigerian;2013 August;20;10;10;0
7426;Total male and female ;Total;Nigerian;2013 September;15;15;0;0
7427;Total male and female ;Total;Nigerian;2013 3rd Quarter;55;40;15;0
7428;Total male and female ;Total;Nigerian;2013 October;20;20;5;0
7429;Total male and female ;Total;Nigerian;2013 November;10;10;0;0
7430;Total male and female ;Total;Nigerian;2013 December;5;5;0;0
7431;Total male and female ;Total;Nigerian;2013 4th Quarter;40;30;5;0
7432;Total male and female ;Total;Nigerian;2013;170;130;40;0
7433;Total male and female ;Total;Nigerian;2014 January;20;20;0;0
7434;Total male and female ;Total;Nigerian;2014 February;15;10;5;0
7435;Total male and female ;Total;Nigerian;2014 March;15;10;5;5
7436;Total male and female ;Total;Nigerian;2014 1st Quarter;50;40;10;5
7437;Total male and female ;Total;Nigerian;2014 April;20;15;0;0
7438;Total male and female ;Total;Nigerian;2014 May;20;15;5;5
7439;Total male and female ;Total;Nigerian;2014 June;30;25;5;0
7440;Total male and female ;Total;Nigerian;2014 2nd Quarter;65;55;10;5
7441;Total male and female ;Total;Nigerian;2014 July;25;20;5;0
7442;Total male and female ;Total;Nigerian;2014 August;20;15;5;0
7443;Total male and female ;Total;Nigerian;2014 September;30;20;5;0
7444;Total male and female ;Total;Nigerian;2014 3rd Quarter;75;60;15;0
7445;Total male and female ;Total;Nigerian;2014 October;30;25;0;0
7446;Total male and female ;Total;Nigerian;2014 November;30;25;5;0
7447;Total male and female ;Total;Nigerian;2014 December;15;10;0;0
7448;Total male and female ;Total;Nigerian;2014 4th Quarter;75;65;10;0
7449;Total male and female ;Total;Nigerian;2014;265;225;45;5
7450;Total male and female ;Total;Nigerian;2015 January;20;15;5;0
7451;Total male and female ;Total;Nigerian;2015 February;20;20;0;0
7452;Total male and female ;Total;Nigerian;2015 March;25;25;5;5
7453;Total male and female ;Total;Nigerian;2015 1st Quarter;65;55;10;5
7454;Total male and female ;Total;Nigerian;2015 April;25;20;5;0
7455;Total male and female ;Total;Nigerian;2015 May;25;20;0;0
7456;Total male and female ;Total;Nigerian;2015 June;20;15;0;0
7457;Total male and female ;Total;Nigerian;2015 2nd Quarter;65;55;10;0
7458;Total male and female ;Total;Nigerian;2015 July;15;10;5;0
7459;Total male and female ;Total;Nigerian;2015 August;20;15;5;5
7460;Total male and female ;Total;Nigerian;2015 September;35;20;15;0
7461;Total male and female ;Total;Nigerian;2015 3rd Quarter;70;45;25;5
7462;Total male and female ;Total;Nigerian;2015 October;25;20;5;0
7463;Total male and female ;Total;Nigerian;2015 November;25;20;5;0
7464;Total male and female ;Total;Nigerian;2015 December;30;20;10;0
7465;Total male and female ;Total;Nigerian;2015 4th Quarter;75;55;20;0
7466;Total male and female ;Total;Nigerian;2015;275;210;65;10
7467;Total male and female ;Total;Nigerian;2016 January;30;25;5;0
7468;Total male and female ;Total;Nigerian;2016 February;25;20;5;0
7469;Total male and female ;Total;Nigerian;2016 March;25;20;10;0
7470;Total male and female ;Total;Nigerian;2016 1st Quarter;80;65;15;0
7471;Total male and female ;Total;Nigerian;2016 April;30;15;15;0
7472;Total male and female ;Total;Nigerian;2016 May;15;10;5;0
7473;Total male and female ;Total;Nigerian;2016 June;25;20;5;0
7474;Total male and female ;Total;Nigerian;2016 2nd Quarter;70;45;25;0
7475;Total male and female ;Total;Nigerian;2016 July;20;15;5;0
7476;Total male and female ;Total;Nigerian;2016 August;15;10;5;0
7477;Total male and female ;Total;Nigerian;2016 September;25;25;0;0
7478;Total male and female ;Total;Nigerian;2016 3rd Quarter;60;50;15;0
7479;Total male and female ;Total;Nigerian;2016 October;25;20;5;0
7480;Total male and female ;Total;Nigerian;2016 November;25;10;10;0
7481;Total male and female ;Total;Nigerian;2016 December;15;10;5;0
7482;Total male and female ;Total;Nigerian;2016 4th Quarter;60;40;20;0
7483;Total male and female ;Total;Nigerian;2016;270;195;75;5
7484;Total male and female ;Total;Nigerian;2017 January;30;20;10;5
7485;Total male and female ;Total;Nigerian;2017 February;25;20;5;0
7486;Total male and female ;Total;Nigerian;2017 March;35;35;0;0
7487;Total male and female ;Total;Nigerian;2017 1st Quarter;90;75;15;5
7488;Total male and female ;Total;Nigerian;2017 April;15;10;5;0
7489;Total male and female ;Total;Nigerian;2017 May;15;15;5;0
7490;Total male and female ;Total;Nigerian;2017 June;25;20;5;0
7491;Total male and female ;Total;Nigerian;2017 2nd Quarter;55;45;15;0
7492;Total male and female ;Total;Nigerian;2017 July;30;20;10;0
7493;Total male and female ;Total;Nigerian;2017 August;20;15;5;5
7494;Total male and female ;Total;Nigerian;2017 September;40;30;10;0
7495;Total male and female ;Total;Nigerian;2017 3rd Quarter;95;65;30;5
7496;Total male and female ;Total;Nigerian;2017 October;20;15;5;0
7497;Total male and female ;Total;Nigerian;2017 November;25;20;10;0
7498;Total male and female ;Total;Nigerian;2017 December;35;30;5;0
7499;Total male and female ;Total;Nigerian;2017 4th Quarter;85;65;20;0
7500;Total male and female ;Total;Nigerian;2017;320;245;75;10
7501;Total male and female ;Total;Nigerian;2018 January;45;35;5;0
7502;Total male and female ;Total;Nigerian;2018 February;30;25;10;0
7503;Total male and female ;Total;Nigerian;2018 March;25;20;5;0
7504;Total male and female ;Total;Nigerian;2018 1st Quarter;100;80;20;0
7505;Total male and female ;Total;Nigerian;2018 April;25;15;10;0
7506;Total male and female ;Total;Nigerian;2018 May;45;35;10;0
7507;Total male and female ;Total;Nigerian;2018 June;45;35;10;0
7508;Total male and female ;Total;Nigerian;2018 2nd Quarter;115;90;25;5
7509;Total male and female ;Total;Nigerian;2018 July;50;45;10;0
7510;Total male and female ;Total;Nigerian;2018 August;55;45;10;0
7511;Total male and female ;Total;Nigerian;2018 September;80;65;15;5
7512;Total male and female ;Total;Nigerian;2018 3rd Quarter;185;155;30;5
7513;Total male and female ;Total;Nigerian;2018 October;75;65;10;0
7514;Total male and female ;Total;Nigerian;2018 November;90;85;5;0
7515;Total male and female ;Total;Nigerian;2018 December;85;80;5;0
7516;Total male and female ;Total;Nigerian;2018 4th Quarter;250;230;15;0
7517;Total male and female ;Total;Nigerian;2018;650;560;90;10
7518;Total male and female ;Total;Nigerian;2019 January;125;120;5;0
7519;Total male and female ;Total;Nigerian;2019 February;165;160;5;0
7520;Total male and female ;Total;Nigerian;2019 March;215;205;10;0
7521;Total male and female ;Total;Nigerian;2019 1st Quarter;505;480;25;0
7522;Total male and female ;Total;Nigerian;2019 April;230;225;0;0
7523;Total male and female ;Total;Nigerian;2019 May;255;240;10;0
7524;Total male and female ;Total;Nigerian;2019 June;215;205;10;5
7525;Total male and female ;Total;Nigerian;2019 2nd Quarter;700;675;20;5
7526;Total male and female ;Total;Nigerian;2019 July;245;235;5;0
7527;Total male and female ;Total;Nigerian;2019 August;185;175;10;0
7528;Total male and female ;Total;Nigerian;2019 September;190;175;15;0
7529;Total male and female ;Total;Nigerian;2019 3rd Quarter;620;590;30;0
7530;Total male and female ;Total;Nigerian;2019 October;130;120;5;0
7531;Total male and female ;Total;Nigerian;2019 November;125;120;5;0
7532;Total male and female ;Total;Nigerian;2019 December;125;115;10;0
7533;Total male and female ;Total;Nigerian;2019 4th Quarter;375;355;20;0
7534;Total male and female ;Total;Nigerian;2019;2195;2100;95;10
7535;Total male and female ;Total;Nigerian;2020 January;110;100;10;0
7536;Total male and female ;Total;Nigerian;2020 February;100;85;15;0
7537;Total male and female ;Total;Nigerian;2020 March;55;45;10;0
7538;Total male and female ;Total;Nigerian;2020 1st Quarter;265;230;35;0
7539;Total male and female ;Total;Nigerian;2020 April;10;10;0;0
7540;Total male and female ;Total;Nigerian;2020 May;15;15;0;0
7541;Total male and female ;Total;Nigerian;2020 June;30;30;5;0
7542;Total male and female ;Total;Nigerian;2020 2nd Quarter;55;50;5;0
7543;Total male and female ;Total;Nigerian;2020 July;70;55;15;0
7544;Total male and female ;Total;Nigerian;2020 August;90;80;5;0
7545;Total male and female ;Total;Nigerian;2020 September;65;60;5;0
7546;Total male and female ;Total;Nigerian;2020 3rd Quarter;225;200;30;0
7547;Total male and female ;Total;Nigerian;2020 October;65;60;5;0
7548;Total male and female ;Total;Nigerian;2020 November;55;40;10;0
7549;Total male and female ;Total;Nigerian;2020 December;65;55;10;0
7550;Total male and female ;Total;Nigerian;2020 4th Quarter;185;155;30;0
7551;Total male and female ;Total;Nigerian;2020;730;635;95;0
7552;Total male and female ;Total;Nigerian;2021 January;45;40;5;0
7553;Total male and female ;Total;Nigerian;2021 February;35;30;5;0
7554;Total male and female ;Total;Nigerian;2021 March;45;35;10;0
7555;Total male and female ;Total;Nigerian;2021 1st Quarter;125;105;20;0
7556;Total male and female ;Total;Nigerian;2021 April;50;40;5;0
7557;Total male and female ;Total;Nigerian;2021 May;35;25;10;0
7558;Total male and female ;Total;Nigerian;2021 June;40;35;5;0
7559;Total male and female ;Total;Nigerian;2021 2nd Quarter;125;105;25;0
7560;Total male and female ;Total;Nigerian;2021 July;35;35;5;0
7561;Total male and female ;Total;Nigerian;2021 August;40;30;10;0
7562;Total male and female ;Total;Nigerian;2021 September;30;25;5;0
7563;Total male and female ;Total;Nigerian;2021 3rd Quarter;110;90;20;0
7564;Total male and female ;Total;Nigerian;2021 October;40;30;5;0
7565;Total male and female ;Total;Nigerian;2021 November;60;50;10;0
7566;Total male and female ;Total;Nigerian;2021 December;50;40;10;0
7567;Total male and female ;Total;Nigerian;2021 4th Quarter;150;120;30;0
7568;Total male and female ;Total;Nigerian;2021;510;420;90;5
7569;Total male and female ;Total;Nigerian;2022 January;55;50;5;0
7570;Total male and female ;Total;Nigerian;2022 February;50;30;20;0
7571;Total male and female ;Total;Nigerian;2022 March;80;55;25;0
7572;Total male and female ;Total;Nigerian;2022 1st Quarter;185;135;50;0
7573;Total male and female ;Total;Nigerian;2022 April;65;50;15;0
7574;Total male and female ;Total;Nigerian;2022 May;60;60;5;0
7575;Total male and female ;Total;Nigerian;2022 June;45;30;15;0
7576;Total male and female ;Total;Nigerian;2022 2nd Quarter;175;135;40;0
7577;Total male and female ;Total;Nigerian;2022 July;25;25;0;0
7578;Total male and female ;Total;Nigerian;2022 August;65;55;10;0
7579;Total male and female ;Total;Nigerian;2022 September;50;45;5;0
7580;Total male and female ;Total;Nigerian;2022 3th Quarter;140;125;20;0
7581;Total male and female ;Total;Nigerian;2022 October;60;40;15;0
7582;Total male and female ;Total;Nigerian;2022 November ;55;45;10;0
7583;Total male and female ;Total;Nigerian;2022 December;60;40;20;5
7584;Total male and female ;Total;Nigerian;2022 4th Quarter;175;130;45;5
7585;Total male and female ;Total;Nigerian;2022;670;520;150;5
7586;Total male and female ;Total;Nigerian;2023 January;45;40;10;0
7587;Total male and female ;Total;Nigerian;2023 February;65;50;10;10
7588;Total male and female ;Total;Nigerian;2023 March;50;40;10;0
7589;Total male and female ;Total;Nigerian;2023 1st Quarter;160;125;30;10
7590;Total male and female ;Total;Nigerian;2023 April;80;55;25;5
7591;Total male and female ;Total;Nigerian;2023 May;50;40;10;0
7592;Total male and female ;Total;Nigerian;2023 June;100;85;15;5
7593;Total male and female ;Total;Nigerian;2023 2nd Quarter;230;180;50;10
7594;Total male and female ;Total;Nigerian;2023 July;75;65;15;0
7595;Total male and female ;Total;Nigerian;2023 August;65;55;10;0
7596;Total male and female ;Total;Nigerian;2023 September;80;75;10;0
7597;Total male and female ;Total;Nigerian;2023 3rd Quarter;220;190;30;0
7598;Total male and female ;Total;Nigerian;2023 October;75;60;15;0
7599;Total male and female ;Total;Nigerian;2023 November;60;50;10;0
7600;Total male and female ;Total;Nigerian;2023 December;60;45;10;0
7601;Total male and female ;Total;Nigerian;2023 4th Quarter;195;160;35;0
7602;Total male and female ;Total;Nigerian;2023;805;655;150;20
7603;Total male and female ;Total;Nigerian;2024 January;80;65;15;0
7604;Total male and female ;Total;Nigerian;2024 February;85;65;20;0
7605;Total male and female ;Total;Nigerian;2024 March;70;65;5;0
7606;Total male and female ;Total;Nigerian;2024 1st Quarter;235;190;45;0
7607;Total male and female ;Total;Nigerian;2024 April;65;55;10;5
7608;Total male and female ;Total;Nigerian;2024 May;85;75;15;5
7609;Total male and female ;Total;Nigerian;2024 June;50;45;5;0
7610;Total male and female ;Total;Nigerian;2024 2nd Quarter;205;175;30;5
7611;Total male and female ;Total;Nigerian;2024 July;95;75;20;5
7612;Total male and female ;Total;Nigerian;2024 August;70;60;15;5
7613;Total male and female ;Total;Nigerian;2024 September;95;75;20;0
7614;Total male and female ;Total;Nigerian;2024 3rd Quarter;265;210;50;5
7615;Total male and female ;Total;Nigerian;2024 October;90;70;20;0
7616;Total male and female ;Total;Nigerian;2024 November;80;70;10;5
7617;Total male and female ;Total;Nigerian;2024 December;65;55;10;0
7618;Total male and female ;Total;Nigerian;2024 4th Quarter;230;195;35;5
7619;Total male and female ;Total;Nigerian;2024;930;770;160;20
7620;Total male and female ;Total;Nigerian;2025 January;85;75;10;0
7621;Total male and female ;Total;Nigerian;2025 February;75;65;10;0
7622;Total male and female ;Total;North Korean;2013 January;15;15;0;0
7623;Total male and female ;Total;North Korean;2013 February;10;10;0;0
7624;Total male and female ;Total;North Korean;2013 March;15;15;0;0
7625;Total male and female ;Total;North Korean;2013 1st Quarter;40;40;0;0
7626;Total male and female ;Total;North Korean;2013 April;5;5;0;0
7627;Total male and female ;Total;North Korean;2013 May;5;5;0;0
7628;Total male and female ;Total;North Korean;2013 June;15;15;0;0
7629;Total male and female ;Total;North Korean;2013 2nd Quarter;30;30;0;0
7630;Total male and female ;Total;North Korean;2013 July;15;15;0;0
7631;Total male and female ;Total;North Korean;2013 August;10;10;0;0
7632;Total male and female ;Total;North Korean;2013 September;20;20;0;0
7633;Total male and female ;Total;North Korean;2013 3rd Quarter;40;40;0;0
7634;Total male and female ;Total;North Korean;2013 October;15;15;0;0
7635;Total male and female ;Total;North Korean;2013 November;10;10;0;0
7636;Total male and female ;Total;North Korean;2013 December;5;5;0;0
7637;Total male and female ;Total;North Korean;2013 4th Quarter;30;25;0;0
7638;Total male and female ;Total;North Korean;2013;135;135;0;0
7639;Total male and female ;Total;North Korean;2014 January;5;5;0;0
7640;Total male and female ;Total;North Korean;2014 February;0;0;0;0
7641;Total male and female ;Total;North Korean;2014 March;0;0;0;0
7642;Total male and female ;Total;North Korean;2014 1st Quarter;5;5;0;0
7643;Total male and female ;Total;North Korean;2014 April;0;0;0;0
7644;Total male and female ;Total;North Korean;2014 May;0;0;0;0
7645;Total male and female ;Total;North Korean;2014 June;0;0;0;0
7646;Total male and female ;Total;North Korean;2014 2nd Quarter;0;0;0;0
7647;Total male and female ;Total;North Korean;2014 July;0;0;0;0
7648;Total male and female ;Total;North Korean;2014 August;0;0;0;0
7649;Total male and female ;Total;North Korean;2014 September;0;0;0;0
7650;Total male and female ;Total;North Korean;2014 3rd Quarter;0;0;0;0
7651;Total male and female ;Total;North Korean;2014 October;0;0;0;0
7652;Total male and female ;Total;North Korean;2014 November;0;0;0;0
7653;Total male and female ;Total;North Korean;2014 December;0;0;0;0
7654;Total male and female ;Total;North Korean;2014 4th Quarter;0;0;0;0
7655;Total male and female ;Total;North Korean;2014;10;10;0;0
7656;Total male and female ;Total;North Korean;2015 January;0;0;0;0
7657;Total male and female ;Total;North Korean;2015 February;0;0;0;0
7658;Total male and female ;Total;North Korean;2015 March;0;0;0;0
7659;Total male and female ;Total;North Korean;2015 1st Quarter;0;0;0;0
7660;Total male and female ;Total;North Korean;2015 April;0;0;0;0
7661;Total male and female ;Total;North Korean;2015 May;0;0;0;0
7662;Total male and female ;Total;North Korean;2015 June;0;0;0;0
7663;Total male and female ;Total;North Korean;2015 2nd Quarter;0;0;0;0
7664;Total male and female ;Total;North Korean;2015 July;0;0;0;0
7665;Total male and female ;Total;North Korean;2015 August;0;0;0;0
7666;Total male and female ;Total;North Korean;2015 September;0;0;0;0
7667;Total male and female ;Total;North Korean;2015 3rd Quarter;0;0;0;0
7668;Total male and female ;Total;North Korean;2015 October;0;0;0;0
7669;Total male and female ;Total;North Korean;2015 November;0;0;0;0
7670;Total male and female ;Total;North Korean;2015 December;0;0;0;0
7671;Total male and female ;Total;North Korean;2015 4th Quarter;0;0;0;0
7672;Total male and female ;Total;North Korean;2015;0;0;0;0
7673;Total male and female ;Total;North Korean;2016 January;0;0;0;0
7674;Total male and female ;Total;North Korean;2016 February;0;0;0;0
7675;Total male and female ;Total;North Korean;2016 March;0;0;0;0
7676;Total male and female ;Total;North Korean;2016 1st Quarter;0;0;0;0
7677;Total male and female ;Total;North Korean;2016 April;0;0;0;0
7678;Total male and female ;Total;North Korean;2016 May;0;0;0;0
7679;Total male and female ;Total;North Korean;2016 June;0;0;0;0
7680;Total male and female ;Total;North Korean;2016 2nd Quarter;0;0;0;0
7681;Total male and female ;Total;North Korean;2016 July;0;0;0;0
7682;Total male and female ;Total;North Korean;2016 August;0;0;0;0
7683;Total male and female ;Total;North Korean;2016 September;0;0;0;0
7684;Total male and female ;Total;North Korean;2016 3rd Quarter;0;0;0;0
7685;Total male and female ;Total;North Korean;2016 October;0;0;0;0
7686;Total male and female ;Total;North Korean;2016 November;0;0;0;0
7687;Total male and female ;Total;North Korean;2016 December;0;0;0;0
7688;Total male and female ;Total;North Korean;2016 4th Quarter;0;0;0;0
7689;Total male and female ;Total;North Korean;2016;0;0;0;0
7690;Total male and female ;Total;North Korean;2017 January;0;0;0;0
7691;Total male and female ;Total;North Korean;2017 February;0;0;0;0
7692;Total male and female ;Total;North Korean;2017 March;5;0;0;0
7693;Total male and female ;Total;North Korean;2017 1st Quarter;5;0;0;0
7694;Total male and female ;Total;North Korean;2017 April;0;0;0;0
7695;Total male and female ;Total;North Korean;2017 May;0;0;0;0
7696;Total male and female ;Total;North Korean;2017 June;0;0;0;0
7697;Total male and female ;Total;North Korean;2017 2nd Quarter;0;0;0;0
7698;Total male and female ;Total;North Korean;2017 July;0;0;0;0
7699;Total male and female ;Total;North Korean;2017 August;0;0;0;0
7700;Total male and female ;Total;North Korean;2017 September;0;0;0;0
7701;Total male and female ;Total;North Korean;2017 3rd Quarter;0;0;0;0
7702;Total male and female ;Total;North Korean;2017 October;0;0;0;0
7703;Total male and female ;Total;North Korean;2017 November;0;0;0;0
7704;Total male and female ;Total;North Korean;2017 December;0;0;0;0
7705;Total male and female ;Total;North Korean;2017 4th Quarter;0;0;0;0
7706;Total male and female ;Total;North Korean;2017;5;0;0;0
7707;Total male and female ;Total;North Korean;2018 January;0;0;0;0
7708;Total male and female ;Total;North Korean;2018 February;0;0;0;0
7709;Total male and female ;Total;North Korean;2018 March;0;0;0;0
7710;Total male and female ;Total;North Korean;2018 1st Quarter;0;0;0;0
7711;Total male and female ;Total;North Korean;2018 April;0;0;0;0
7712;Total male and female ;Total;North Korean;2018 May;0;0;0;0
7713;Total male and female ;Total;North Korean;2018 June;0;0;0;0
7714;Total male and female ;Total;North Korean;2018 2nd Quarter;0;0;0;0
7715;Total male and female ;Total;North Korean;2018 July;0;0;0;0
7716;Total male and female ;Total;North Korean;2018 August;0;0;0;0
7717;Total male and female ;Total;North Korean;2018 September;0;0;0;0
7718;Total male and female ;Total;North Korean;2018 3rd Quarter;0;0;0;0
7719;Total male and female ;Total;North Korean;2018 October;0;0;0;0
7720;Total male and female ;Total;North Korean;2018 November;0;0;0;0
7721;Total male and female ;Total;North Korean;2018 December;0;0;0;0
7722;Total male and female ;Total;North Korean;2018 4th Quarter;0;0;0;0
7723;Total male and female ;Total;North Korean;2018;5;5;0;0
7724;Total male and female ;Total;North Korean;2019 January;0;0;0;0
7725;Total male and female ;Total;North Korean;2019 February;5;0;0;0
7726;Total male and female ;Total;North Korean;2019 March;0;0;0;0
7727;Total male and female ;Total;North Korean;2019 1st Quarter;5;0;0;0
7728;Total male and female ;Total;North Korean;2019 April;0;0;0;0
7729;Total male and female ;Total;North Korean;2019 May;0;0;0;0
7730;Total male and female ;Total;North Korean;2019 June;0;0;0;0
7731;Total male and female ;Total;North Korean;2019 2nd Quarter;0;0;0;0
7732;Total male and female ;Total;North Korean;2019 July;0;0;0;0
7733;Total male and female ;Total;North Korean;2019 August;0;0;0;0
7734;Total male and female ;Total;North Korean;2019 September;0;0;0;0
7735;Total male and female ;Total;North Korean;2019 3rd Quarter;0;0;0;0
7736;Total male and female ;Total;North Korean;2019 October;0;0;0;0
7737;Total male and female ;Total;North Korean;2019 November;0;0;0;0
7738;Total male and female ;Total;North Korean;2019 December;0;0;0;0
7739;Total male and female ;Total;North Korean;2019 4th Quarter;0;0;0;0
7740;Total male and female ;Total;North Korean;2019;5;0;0;0
7741;Total male and female ;Total;North Korean;2020 January;0;0;0;0
7742;Total male and female ;Total;North Korean;2020 February;0;0;0;0
7743;Total male and female ;Total;North Korean;2020 March;0;0;0;0
7744;Total male and female ;Total;North Korean;2020 1st Quarter;0;0;0;0
7745;Total male and female ;Total;North Korean;2020 April;0;0;0;0
7746;Total male and female ;Total;North Korean;2020 May;0;0;0;0
7747;Total male and female ;Total;North Korean;2020 June;0;0;0;0
7748;Total male and female ;Total;North Korean;2020 2nd Quarter;0;0;0;0
7749;Total male and female ;Total;North Korean;2020 July;0;0;0;0
7750;Total male and female ;Total;North Korean;2020 August;0;0;0;0
7751;Total male and female ;Total;North Korean;2020 September;0;0;0;0
7752;Total male and female ;Total;North Korean;2020 3rd Quarter;0;0;0;0
7753;Total male and female ;Total;North Korean;2020 October;0;0;0;0
7754;Total male and female ;Total;North Korean;2020 November;0;0;0;0
7755;Total male and female ;Total;North Korean;2020 December;0;0;0;0
7756;Total male and female ;Total;North Korean;2020 4th Quarter;0;0;0;0
7757;Total male and female ;Total;North Korean;2020;0;0;0;0
7758;Total male and female ;Total;North Korean;2021 January;0;0;0;0
7759;Total male and female ;Total;North Korean;2021 February;0;0;0;0
7760;Total male and female ;Total;North Korean;2021 March;0;0;0;0
7761;Total male and female ;Total;North Korean;2021 1st Quarter;0;0;0;0
7762;Total male and female ;Total;North Korean;2021 April;0;0;0;0
7763;Total male and female ;Total;North Korean;2021 May;0;0;0;0
7764;Total male and female ;Total;North Korean;2021 June;0;0;0;0
7765;Total male and female ;Total;North Korean;2021 2nd Quarter;0;0;0;0
7766;Total male and female ;Total;North Korean;2021 July;0;0;0;0
7767;Total male and female ;Total;North Korean;2021 August;0;0;0;0
7768;Total male and female ;Total;North Korean;2021 September;5;5;0;0
7769;Total male and female ;Total;North Korean;2021 3rd Quarter;5;5;0;0
7770;Total male and female ;Total;North Korean;2021 October;0;0;0;0
7771;Total male and female ;Total;North Korean;2021 November;0;0;0;0
7772;Total male and female ;Total;North Korean;2021 December;0;0;0;0
7773;Total male and female ;Total;North Korean;2021 4th Quarter;0;0;0;0
7774;Total male and female ;Total;North Korean;2021;5;5;0;0
7775;Total male and female ;Total;North Korean;2022 January;0;0;0;0
7776;Total male and female ;Total;North Korean;2022 February;0;0;0;0
7777;Total male and female ;Total;North Korean;2022 March;0;0;0;0
7778;Total male and female ;Total;North Korean;2022 1st Quarter;0;0;0;0
7779;Total male and female ;Total;North Korean;2022 April;0;0;0;0
7780;Total male and female ;Total;North Korean;2022 May;0;0;0;0
7781;Total male and female ;Total;North Korean;2022 June;0;0;0;0
7782;Total male and female ;Total;North Korean;2022 2nd Quarter;0;0;0;0
7783;Total male and female ;Total;North Korean;2022 July;0;0;0;0
7784;Total male and female ;Total;North Korean;2022 August;0;0;0;0
7785;Total male and female ;Total;North Korean;2022 September;5;5;0;0
7786;Total male and female ;Total;North Korean;2022 3th Quarter;5;5;0;0
7787;Total male and female ;Total;North Korean;2022 October;0;0;0;0
7788;Total male and female ;Total;North Korean;2022 November ;0;0;0;0
7789;Total male and female ;Total;North Korean;2022 December;0;0;0;0
7790;Total male and female ;Total;North Korean;2022 4th Quarter;0;0;0;0
7791;Total male and female ;Total;North Korean;2022;5;5;0;0
7792;Total male and female ;Total;North Korean;2023 January;0;0;0;0
7793;Total male and female ;Total;North Korean;2023 February;0;0;0;0
7794;Total male and female ;Total;North Korean;2023 March;0;0;0;0
7795;Total male and female ;Total;North Korean;2023 1st Quarter;0;0;0;0
7796;Total male and female ;Total;North Korean;2023 April;0;0;0;0
7797;Total male and female ;Total;North Korean;2023 May;0;0;0;0
7798;Total male and female ;Total;North Korean;2023 June;0;0;0;0
7799;Total male and female ;Total;North Korean;2023 2nd Quarter;0;0;0;0
7800;Total male and female ;Total;North Korean;2023 July;0;0;0;0
7801;Total male and female ;Total;North Korean;2023 August;0;0;0;0
7802;Total male and female ;Total;North Korean;2023 September;0;0;0;0
7803;Total male and female ;Total;North Korean;2023 3rd Quarter;0;0;0;0
7804;Total male and female ;Total;North Korean;2023 October;0;0;0;0
7805;Total male and female ;Total;North Korean;2023 November;0;0;0;0
7806;Total male and female ;Total;North Korean;2023 December;0;0;0;0
7807;Total male and female ;Total;North Korean;2023 4th Quarter;0;0;0;0
7808;Total male and female ;Total;North Korean;2023;0;0;0;0
7809;Total male and female ;Total;North Korean;2024 January;0;0;0;0
7810;Total male and female ;Total;North Korean;2024 February;0;0;0;0
7811;Total male and female ;Total;North Korean;2024 March;0;0;0;0
7812;Total male and female ;Total;North Korean;2024 1st Quarter;0;0;0;0
7813;Total male and female ;Total;North Korean;2024 April;0;0;0;0
7814;Total male and female ;Total;North Korean;2024 May;0;0;0;0
7815;Total male and female ;Total;North Korean;2024 June;0;0;0;0
7816;Total male and female ;Total;North Korean;2024 2nd Quarter;0;0;0;0
7817;Total male and female ;Total;North Korean;2024 July;0;0;0;0
7818;Total male and female ;Total;North Korean;2024 August;0;0;0;0
7819;Total male and female ;Total;North Korean;2024 September;0;0;0;0
7820;Total male and female ;Total;North Korean;2024 3rd Quarter;0;0;0;0
7821;Total male and female ;Total;North Korean;2024 October;0;0;0;0
7822;Total male and female ;Total;North Korean;2024 November;0;0;0;0
7823;Total male and female ;Total;North Korean;2024 December;0;0;0;0
7824;Total male and female ;Total;North Korean;2024 4th Quarter;0;0;0;0
7825;Total male and female ;Total;North Korean;2024;0;0;0;0
7826;Total male and female ;Total;North Korean;2025 January;0;0;0;0
7827;Total male and female ;Total;North Korean;2025 February;0;0;0;0
7828;Total male and female ;Total;Ukrainian;2013 January;0;0;0;0
7829;Total male and female ;Total;Ukrainian;2013 February;5;5;0;0
7830;Total male and female ;Total;Ukrainian;2013 March;0;0;0;0
7831;Total male and female ;Total;Ukrainian;2013 1st Quarter;5;5;0;0
7832;Total male and female ;Total;Ukrainian;2013 April;0;0;0;0
7833;Total male and female ;Total;Ukrainian;2013 May;5;5;0;0
7834;Total male and female ;Total;Ukrainian;2013 June;0;0;0;0
7835;Total male and female ;Total;Ukrainian;2013 2nd Quarter;10;10;0;0
7836;Total male and female ;Total;Ukrainian;2013 July;0;0;0;0
7837;Total male and female ;Total;Ukrainian;2013 August;0;0;0;0
7838;Total male and female ;Total;Ukrainian;2013 September;5;5;0;0
7839;Total male and female ;Total;Ukrainian;2013 3rd Quarter;5;5;0;0
7840;Total male and female ;Total;Ukrainian;2013 October;5;5;0;0
7841;Total male and female ;Total;Ukrainian;2013 November;10;5;0;0
7842;Total male and female ;Total;Ukrainian;2013 December;5;0;0;0
7843;Total male and female ;Total;Ukrainian;2013 4th Quarter;15;10;5;0
7844;Total male and female ;Total;Ukrainian;2013;35;35;5;0
7845;Total male and female ;Total;Ukrainian;2014 January;5;5;0;0
