ID;Sex;Age;Periods;TotalInflowUnemploymentBenefits_1;InflowTradeAndIndustry_2;OtherInflow_3;TotalOutflowUnemploymentBenefits_4;OutflowDueToResumptionOfWork_5;OtherOutflow_6
357;Total men and women;25 to 35 years;2001 May;5780;5180;610;6900;4050;2850
358;Total men and women;25 to 35 years;2001 June;4880;4340;540;5360;2980;2380
359;Total men and women;25 to 35 years;2001 July;4790;4090;700;5480;2810;2670
360;Total men and women;25 to 35 years;2001 August;5100;4600;510;5210;2860;2350
361;Total men and women;25 to 35 years;2001 September;5090;4540;560;5720;3440;2280
362;Total men and women;25 to 35 years;2001 October;5700;5120;580;5780;3380;2400
363;Total men and women;25 to 35 years;2001 November;7550;6890;660;6340;3530;2820
364;Total men and women;25 to 35 years;2001 December;4820;4400;420;4690;2370;2320
365;Total men and women;25 to 35 years;2001 Annual figure;70700;63640;7060;74720;43750;30980
366;Total men and women;25 to 35 years;2002 January;9770;9010;750;6160;3380;2780
367;Total men and women;25 to 35 years;2002 February;7450;6910;540;6240;3890;2350
368;Total men and women;25 to 35 years;2002 March;7640;7010;630;7720;4980;2740
369;Total men and women;25 to 35 years;2002 April;7470;6900;580;7830;5190;2640
370;Total men and women;25 to 35 years;2002 May;8370;7680;690;8270;5230;3040
371;Total men and women;25 to 35 years;2002 June;7460;6820;640;6960;4260;2700
372;Total men and women;25 to 35 years;2002 July;6750;6190;560;6470;3720;2760
373;Total men and women;25 to 35 years;2002 August;7950;7320;640;6900;3970;2930
374;Total men and women;25 to 35 years;2002 September;7600;7020;580;7190;4510;2670
375;Total men and women;25 to 35 years;2002 October;9350;8580;770;8520;5010;3510
376;Total men and women;25 to 35 years;2002 November;9220;8460;750;6560;3780;2770
377;Total men and women;25 to 35 years;2002 December;7330;6740;600;5700;3250;2450
378;Total men and women;25 to 35 years;2002 Annual figure;96350;88630;7730;84530;51170;33360
379;Total men and women;25 to 35 years;2003 January;12310;11320;990;7390;4200;3190
380;Total men and women;25 to 35 years;2003 February;11210;10250;960;7790;4870;2920
381;Total men and women;25 to 35 years;2003 March;10450;9550;900;8840;5940;2900
382;Total men and women;25 to 35 years;2003 April;9750;8830;920;8690;5720;2980
383;Total men and women;25 to 35 years;2003 May;11180;10180;1000;10350;6470;3880
384;Total men and women;25 to 35 years;2003 June;9050;8230;820;7890;4660;3230
385;Total men and women;25 to 35 years;2003 July;11250;10150;1100;9510;5310;4200
386;Total men and women;25 to 35 years;2003 August;8310;7590;720;7020;4100;2920
387;Total men and women;25 to 35 years;2003 September;9330;8530;810;8840;5600;3250
388;Total men and women;25 to 35 years;2003 October;11540;10600;940;10120;6130;3990
389;Total men and women;25 to 35 years;2003 November;10030;8950;1080;8160;4740;3420
390;Total men and women;25 to 35 years;2003 December;9380;8330;1050;7310;4110;3200
391;Total men and women;25 to 35 years;2003 Annual figure;123790;112500;11290;101920;61850;40070
392;Total men and women;25 to 35 years;2004 January;11970;10890;1090;8340;4800;3530
393;Total men and women;25 to 35 years;2004 February;11510;10530;980;9570;5930;3650
394;Total men and women;25 to 35 years;2004 March;10760;9730;1030;10350;6680;3670
395;Total men and women;25 to 35 years;2004 April;11330;10370;960;11790;7860;3930
396;Total men and women;25 to 35 years;2004 May;7890;7100;800;9020;5840;3180
397;Total men and women;25 to 35 years;2004 June;8780;7850;920;8570;5170;3400
398;Total men and women;25 to 35 years;2004 July;9880;8850;1030;11880;6420;5460
399;Total men and women;25 to 35 years;2004 August;7710;6910;800;8530;4510;4020
400;Total men and women;25 to 35 years;2004 September;8460;7550;900;10120;5560;4560
401;Total men and women;25 to 35 years;2004 October;10920;9880;1050;12580;6890;5690
402;Total men and women;25 to 35 years;2004 November;9870;8960;910;9730;5090;4640
403;Total men and women;25 to 35 years;2004 December;11120;10120;1000;9960;5000;4960
404;Total men and women;25 to 35 years;2004 Annual figure;120200;108740;11460;120430;69750;50670
405;Total men and women;25 to 35 years;2005 January;11480;10630;850;9150;4570;4580
406;Total men and women;25 to 35 years;2005 February;11650;10760;890;10370;5570;4810
407;Total men and women;25 to 35 years;2005 March;11380;10430;960;12630;6920;5710
408;Total men and women;25 to 35 years;2005 April;9960;9000;960;12170;7210;4970
409;Total men and women;25 to 35 years;2005 May;7470;6650;810;11110;5890;5220
410;Total men and women;25 to 35 years;2005 June;9920;8890;1020;11550;6110;5430
411;Total men and women;25 to 35 years;2005 July;7200;6470;730;9820;4940;4880
412;Total men and women;25 to 35 years;2005 August;7120;6470;660;8520;4250;4270
413;Total men and women;25 to 35 years;2005 September;9350;8540;810;11700;6340;5360
414;Total men and women;25 to 35 years;2005 October;7760;7030;730;9900;5280;4610
415;Total men and women;25 to 35 years;2005 November;8030;7270;760;9020;4680;4340
416;Total men and women;25 to 35 years;2005 December;8550;7780;770;8770;4280;4490
417;Total men and women;25 to 35 years;2005 Annual figure;109860;99920;9940;124700;66030;58670
418;Total men and women;25 to 35 years;2006 January;8090;7510;570;9330;4360;4970
419;Total men and women;25 to 35 years;2006 February;9290;8530;760;9350;5040;4320
420;Total men and women;25 to 35 years;2006 March;9820;8860;950;11130;6060;5070
421;Total men and women;25 to 35 years;2006 April;6670;5950;730;9480;5680;3800
422;Total men and women;25 to 35 years;2006 May;6800;6120;690;9330;5330;4000
423;Total men and women;25 to 35 years;2006 June;6870;6200;670;9360;4830;4530
424;Total men and women;25 to 35 years;2006 July;5260;4750;510;7670;3670;4000
425;Total men and women;25 to 35 years;2006 August;6450;5820;630;8020;4040;3980
426;Total men and women;25 to 35 years;2006 September;5670;5120;550;7450;4220;3230
427;Total men and women;25 to 35 years;2006 October;5900;5330;570;7230;4130;3100
428;Total men and women;25 to 35 years;2006 November;7240;6480;760;7860;4280;3580
429;Total men and women;25 to 35 years;2006 December;5200;4700;490;5400;2840;2560
430;Total men and women;25 to 35 years;2006 Annual figure;83230;75360;7870;101620;54480;47140
431;Total men and women;25 to 35 years;2007 January;6860;6280;580;5990;3060;2930
432;Total men and women;25 to 35 years;2007 February;6730;6100;630;6750;3830;2920
433;Total men and women;25 to 35 years;2007 March;7220;6560;660;8690;5030;3670
434;Total men and women;25 to 35 years;2007 April;4800;4410;400;6890;4030;2860
435;Total men and women;25 to 35 years;2007 May;5070;4610;460;6790;3730;3060
436;Total men and women;25 to 35 years;2007 June;4250;3830;410;5210;2750;2460
437;Total men and women;25 to 35 years;2007 July;4430;4020;420;5070;2620;2450
438;Total men and women;25 to 35 years;2007 August;5300;4880;420;5450;2960;2490
439;Total men and women;25 to 35 years;2007 September;4260;3890;360;5350;3230;2120
440;Total men and women;25 to 35 years;2007 October;5090;4700;390;5110;2940;2170
441;Total men and women;25 to 35 years;2007 November;6400;5890;510;5880;3070;2810
442;Total men and women;25 to 35 years;2007 December;4680;4310;370;4050;2070;1980
443;Total men and women;25 to 35 years;2007 Annual figure;65090;59480;5610;71240;39310;31930
444;Total men and women;25 to 35 years;2008 January;7330;6770;560;5480;2970;2520
445;Total men and women;25 to 35 years;2008 February;5090;4660;430;5180;2960;2220
446;Total men and women;25 to 35 years;2008 March;4380;4010;370;5140;3080;2060
447;Total men and women;25 to 35 years;2008 April;4800;4460;340;5480;3150;2330
448;Total men and women;25 to 35 years;2008 May;4570;4160;410;5140;2890;2250
449;Total men and women;25 to 35 years;2008 June;3920;3470;450;4310;2470;1840
450;Total men and women;25 to 35 years;2008 July;4940;4550;390;4920;2420;2510
451;Total men and women;25 to 35 years;2008 August;4370;4030;340;4100;2370;1730
452;Total men and women;25 to 35 years;2008 September;4350;3940;410;4620;2770;1840
453;Total men and women;25 to 35 years;2008 October;5850;5320;540;5250;3060;2190
454;Total men and women;25 to 35 years;2008 November;5390;4970;420;4230;2380;1850
455;Total men and women;25 to 35 years;2008 December;6470;6060;410;3980;2000;1980
456;Total men and women;25 to 35 years;2008 Annual figure;61460;56390;5070;57820;32530;25290
457;Total men and women;25 to 35 years;2009 January;8810;8250;560;5200;2800;2400
458;Total men and women;25 to 35 years;2009 February;8650;8090;560;5680;3080;2600
459;Total men and women;25 to 35 years;2009 March;8830;8340;490;6240;3220;3020
460;Total men and women;25 to 35 years;2009 April;10460;9870;580;7610;3940;3670
461;Total men and women;25 to 35 years;2009 May;8590;8170;420;6560;3440;3120
462;Total men and women;25 to 35 years;2009 June;9750;9330;420;6930;3740;3190
463;Total men and women;25 to 35 years;2009 July;11330;10800;530;8380;4020;4370
464;Total men and women;25 to 35 years;2009 August;9480;9110;370;7430;3840;3590
465;Total men and women;25 to 35 years;2009 September;10090;9580;510;9000;4920;4090
466;Total men and women;25 to 35 years;2009 October;12020;11340;690;10090;5680;4410
467;Total men and women;25 to 35 years;2009 November;10320;9800;520;8510;4230;4280
468;Total men and women;25 to 35 years;2009 December;11680;11110;580;8850;3730;5130
469;Total men and women;25 to 35 years;2009 Annual figure;120020;113780;6230;90470;46620;43840
470;Total men and women;25 to 35 years;2010 January;13340;12670;670;10120;4750;5370
471;Total men and women;35 to 45 years;1998 January;12960;12220;750;9320;5510;3810
472;Total men and women;35 to 45 years;1998 February;9750;8990;770;8830;6220;2600
473;Total men and women;35 to 45 years;1998 March;7420;6790;630;10170;7320;2850
474;Total men and women;35 to 45 years;1998 April;7630;6740;890;13290;9970;3320
475;Total men and women;35 to 45 years;1998 May;6100;5380;720;9200;6280;2920
476;Total men and women;35 to 45 years;1998 June;6340;5620;720;8250;5460;2790
477;Total men and women;35 to 45 years;1998 July;7130;6360;770;8050;4860;3200
478;Total men and women;35 to 45 years;1998 August;7420;6900;530;7310;5060;2250
479;Total men and women;35 to 45 years;1998 September;5840;5240;600;7790;5420;2370
480;Total men and women;35 to 45 years;1998 October;7210;6390;820;9330;6100;3230
481;Total men and women;35 to 45 years;1998 November;9160;8480;690;7070;4160;2910
482;Total men and women;35 to 45 years;1998 December;9420;8760;660;6540;3440;3100
483;Total men and women;35 to 45 years;1998 Annual figure;96400;87860;8540;105140;69790;35350
484;Total men and women;35 to 45 years;1999 January;9240;8560;680;7900;4800;3100
485;Total men and women;35 to 45 years;1999 February;7060;6440;620;7940;5480;2470
486;Total men and women;35 to 45 years;1999 March;7560;6650;910;11650;8440;3200
487;Total men and women;35 to 45 years;1999 April;5000;4380;620;8980;6470;2510
488;Total men and women;35 to 45 years;1999 May;4430;3840;590;6740;4050;2690
489;Total men and women;35 to 45 years;1999 June;4940;4300;640;7100;4250;2850
490;Total men and women;35 to 45 years;1999 July;5340;4700;640;5470;2980;2500
491;Total men and women;35 to 45 years;1999 August;4350;3890;460;4880;2890;2000
492;Total men and women;35 to 45 years;1999 September;5760;5100;670;7780;5100;2680
493;Total men and women;35 to 45 years;1999 October;4980;4300;680;6340;3990;2350
494;Total men and women;35 to 45 years;1999 November;6140;5480;670;5880;3450;2440
495;Total men and women;35 to 45 years;1999 December;6020;5450;570;5610;3000;2610
496;Total men and women;35 to 45 years;1999 Annual figure;70830;63090;7740;86270;54890;31380
497;Total men and women;35 to 45 years;2000 January;8530;7870;660;5950;3660;2300
498;Total men and women;35 to 45 years;2000 February;6470;5870;600;6710;4510;2200
499;Total men and women;35 to 45 years;2000 March;6150;5420;730;8870;6310;2560
500;Total men and women;35 to 45 years;2000 April;4310;3670;630;7210;4830;2380
501;Total men and women;35 to 45 years;2000 May;4360;3720;630;6180;3910;2280
502;Total men and women;35 to 45 years;2000 June;4330;3620;710;5890;3270;2620
503;Total men and women;35 to 45 years;2000 July;4940;4170;770;4920;2500;2420
504;Total men and women;35 to 45 years;2000 August;4670;4060;620;4970;2860;2110
505;Total men and women;35 to 45 years;2000 September;4120;3530;590;5630;3670;1950
506;Total men and women;35 to 45 years;2000 October;4570;3880;690;5500;3290;2210
507;Total men and women;35 to 45 years;2000 November;6310;5440;870;5700;3370;2330
508;Total men and women;35 to 45 years;2000 December;4420;3880;540;4020;2170;1850
509;Total men and women;35 to 45 years;2000 Annual figure;63170;55120;8040;71540;44340;27200
510;Total men and women;35 to 45 years;2001 January;5880;5260;630;4760;2770;1990
511;Total men and women;35 to 45 years;2001 February;5510;4880;630;5260;3350;1900
512;Total men and women;35 to 45 years;2001 March;6250;5310;940;8300;5330;2980
513;Total men and women;35 to 45 years;2001 April;4430;3700;730;6260;4120;2130
514;Total men and women;35 to 45 years;2001 May;4670;3890;770;5780;3490;2280
515;Total men and women;35 to 45 years;2001 June;4040;3390;650;4380;2390;2000
516;Total men and women;35 to 45 years;2001 July;4300;3510;790;4450;2310;2140
517;Total men and women;35 to 45 years;2001 August;4210;3630;580;4270;2440;1840
518;Total men and women;35 to 45 years;2001 September;4080;3420;660;5240;3210;2030
519;Total men and women;35 to 45 years;2001 October;4760;4020;740;5120;3060;2060
520;Total men and women;35 to 45 years;2001 November;6420;5520;900;5490;3050;2450
521;Total men and women;35 to 45 years;2001 December;4210;3680;530;4120;1900;2220
522;Total men and women;35 to 45 years;2001 Annual figure;58770;50210;8560;63420;37410;26010
523;Total men and women;35 to 45 years;2002 January;8090;7250;840;5410;2900;2510
524;Total men and women;35 to 45 years;2002 February;6190;5510;680;5240;3140;2100
525;Total men and women;35 to 45 years;2002 March;6220;5420;800;6680;4400;2290
526;Total men and women;35 to 45 years;2002 April;6140;5380;760;6570;4450;2120
527;Total men and women;35 to 45 years;2002 May;6830;5960;870;6840;4280;2560
528;Total men and women;35 to 45 years;2002 June;6160;5400;760;5650;3390;2260
529;Total men and women;35 to 45 years;2002 July;5560;4850;710;5230;2940;2290
530;Total men and women;35 to 45 years;2002 August;6620;5790;830;5440;3080;2360
531;Total men and women;35 to 45 years;2002 September;6560;5790;770;6330;4050;2290
532;Total men and women;35 to 45 years;2002 October;7570;6600;970;7190;4350;2840
533;Total men and women;35 to 45 years;2002 November;7570;6670;910;5420;3090;2330
534;Total men and women;35 to 45 years;2002 December;6190;5510;680;4630;2510;2120
535;Total men and women;35 to 45 years;2002 Annual figure;79700;70120;9580;70640;42570;28070
536;Total men and women;35 to 45 years;2003 January;10590;9400;1200;6110;3340;2770
537;Total men and women;35 to 45 years;2003 February;8920;7930;990;6470;3890;2590
538;Total men and women;35 to 45 years;2003 March;8270;7280;990;7430;4820;2610
539;Total men and women;35 to 45 years;2003 April;7950;6920;1030;7200;4680;2520
540;Total men and women;35 to 45 years;2003 May;9010;7870;1140;8230;5030;3200
541;Total men and women;35 to 45 years;2003 June;7460;6550;910;6140;3580;2560
