ID;LorriesAndRoadTractors;YearsOfConstruction;Periods;TotalKilometresInTheNetherlands_1;KilometresByDutchVehicles_2;KilometresByForeignVehicles_3;TotalKilometresByDutchVehicles_4;KilometresInTheNetherlands_5;KilometresAbroad_6;TotalAverageAnnualKilometres_7;AverageAnnualKilometresInNetherlands_8;AverageAnnualKilometresAbroad_9;DutchGoodsVehiclesInUse_10
2364;10 000 to 19 999 kg;2002;2002;74.2;72.5;1.8;84.3;72.5;11.8;37415.0;32177.0;5238.0;2252.0
2365;10 000 to 19 999 kg;2002;2003;131.4;128.4;3.1;149.3;128.4;20.9;67408.0;57971.0;9437.0;2215.0
2366;10 000 to 19 999 kg;2002;2004;129.0;125.8;3.2;146.3;125.8;20.5;65938.0;56706.0;9231.0;2218.0
2367;10 000 to 19 999 kg;2002;2005;122.1;118.9;3.2;138.2;118.9;19.4;63026.0;54203.0;8824.0;2194.0
2368;10 000 to 19 999 kg;2002;2006;111.9;108.7;3.2;126.4;108.7;17.7;59478.0;51151.0;8327.0;2125.0
2369;10 000 to 19 999 kg;2002;2007;99.9;96.6;3.3;113.6;96.6;17.0;54758.0;46545.0;8214.0;2075.0
2370;10 000 to 19 999 kg;2002;2008;86.8;84.0;2.7;97.7;84.0;13.7;49692.0;42735.0;6957.0;1966.0
2371;10 000 to 19 999 kg;2002;2009;76.3;74.3;2.0;83.9;74.3;9.7;44866.0;39707.0;5160.0;1871.0
2372;10 000 to 19 999 kg;2002;2010;67.2;66.0;1.2;71.7;66.0;5.7;41140.0;37870.0;3270.0;1743.0
2373;10 000 to 19 999 kg;2002;2011;51.9;50.3;1.7;58.5;50.3;8.3;37555.0;32253.0;5302.0;1558.0
2374;10 000 to 19 999 kg;2002;2012;38.3;36.9;1.4;43.4;36.9;6.5;31865.0;27111.0;4755.0;1361.0
2375;10 000 to 19 999 kg;2002;2013;29.0;28.3;0.8;31.9;28.3;3.7;26856.0;23768.0;3088.0;1189.0
2376;10 000 to 19 999 kg;2002;2014;20.6;19.6;1.0;24.3;19.6;4.7;23524.0;18961.0;4564.0;1033.0
2377;10 000 to 19 999 kg;2002;2015;17.7;16.9;0.9;20.3;16.9;3.4;21496.0;17863.0;3633.0;943.0
2378;10 000 to 19 999 kg;2002;2016;14.7;14.2;0.5;15.8;14.2;1.6;18453.0;16534.0;1919.0;859.0
2379;10 000 to 19 999 kg;2002;2017;12.0;11.7;0.3;12.7;11.7;1.0;16208.0;14928.0;1280.0;783.0
2380;10 000 to 19 999 kg;2003;2001;;;;;;;;;;
2381;10 000 to 19 999 kg;2003;2002;;;;;;;;;;
2382;10 000 to 19 999 kg;2003;2003;67.6;66.1;1.6;76.8;66.1;10.8;40227.0;34595.0;5632.0;1910.0
2383;10 000 to 19 999 kg;2003;2004;118.0;115.1;2.9;133.8;115.1;18.7;70728.0;60826.0;9902.0;1892.0
2384;10 000 to 19 999 kg;2003;2005;113.1;110.1;3.0;128.0;110.1;17.9;68666.0;59053.0;9613.0;1865.0
2385;10 000 to 19 999 kg;2003;2006;107.2;104.1;3.1;121.1;104.1;16.9;65208.0;56079.0;9129.0;1857.0
2386;10 000 to 19 999 kg;2003;2007;97.5;94.1;3.5;112.0;94.1;17.9;60526.0;50842.0;9684.0;1850.0
2387;10 000 to 19 999 kg;2003;2008;86.8;83.8;3.0;98.6;83.8;14.8;55016.0;46763.0;8252.0;1792.0
2388;10 000 to 19 999 kg;2003;2009;75.4;73.0;2.4;84.4;73.0;11.4;49211.0;42568.0;6644.0;1715.0
2389;10 000 to 19 999 kg;2003;2010;65.9;64.3;1.6;71.7;64.3;7.3;44340.0;39801.0;4539.0;1617.0
2390;10 000 to 19 999 kg;2003;2011;52.0;50.3;1.7;58.5;50.3;8.3;39878.0;34248.0;5629.0;1468.0
2391;10 000 to 19 999 kg;2003;2012;39.6;38.2;1.5;45.0;38.2;6.9;34720.0;29429.0;5291.0;1297.0
2392;10 000 to 19 999 kg;2003;2013;30.4;29.6;0.8;33.4;29.6;3.8;29883.0;26447.0;3437.0;1118.0
2393;10 000 to 19 999 kg;2003;2014;21.7;20.6;1.1;25.5;20.6;5.0;26538.0;21390.0;5148.0;963.0
2394;10 000 to 19 999 kg;2003;2015;17.4;16.6;0.8;19.9;16.6;3.4;23350.0;19404.0;3946.0;854.0
2395;10 000 to 19 999 kg;2003;2016;15.2;14.7;0.5;16.4;14.7;1.7;21811.0;19543.0;2268.0;752.0
2396;10 000 to 19 999 kg;2003;2017;12.0;11.7;0.3;12.7;11.7;1.0;18660.0;17186.0;1474.0;679.0
2397;10 000 to 19 999 kg;2004;2001;;;;;;;;;;
2398;10 000 to 19 999 kg;2004;2002;;;;;;;;;;
2399;10 000 to 19 999 kg;2004;2003;;;;;;;;;;
2400;10 000 to 19 999 kg;2004;2004;63.8;62.2;1.6;72.3;62.2;10.1;41143.0;35383.0;5760.0;1758.0
2401;10 000 to 19 999 kg;2004;2005;108.1;105.3;2.8;122.4;105.3;17.1;70678.0;60783.0;9895.0;1732.0
2402;10 000 to 19 999 kg;2004;2006;103.9;100.9;3.0;117.3;100.9;16.4;67872.0;58370.0;9502.0;1729.0
2403;10 000 to 19 999 kg;2004;2007;93.1;89.5;3.6;107.9;89.5;18.3;62687.0;52030.0;10657.0;1721.0
2404;10 000 to 19 999 kg;2004;2008;84.5;81.6;2.9;96.0;81.6;14.4;58206.0;49475.0;8731.0;1649.0
2405;10 000 to 19 999 kg;2004;2009;74.8;72.2;2.6;84.9;72.2;12.7;53130.0;45161.0;7970.0;1599.0
2406;10 000 to 19 999 kg;2004;2010;72.7;71.1;1.6;78.5;71.1;7.4;50128.0;45377.0;4751.0;1566.0
2407;10 000 to 19 999 kg;2004;2011;62.3;60.3;2.0;70.0;60.3;9.7;47011.0;40519.0;6491.0;1489.0
2408;10 000 to 19 999 kg;2004;2012;49.9;48.5;1.3;54.8;48.5;6.3;39856.0;35279.0;4577.0;1376.0
2409;10 000 to 19 999 kg;2004;2013;35.2;33.7;1.5;41.0;33.7;7.3;34053.0;27958.0;6096.0;1204.0
2410;10 000 to 19 999 kg;2004;2014;26.2;24.9;1.3;30.9;24.9;6.0;30538.0;24614.0;5924.0;1013.0
2411;10 000 to 19 999 kg;2004;2015;20.9;19.9;1.0;24.0;19.9;4.1;26969.0;22411.0;4558.0;889.0
2412;10 000 to 19 999 kg;2004;2016;17.1;16.6;0.6;18.5;16.6;1.9;22949.0;20563.0;2387.0;805.0
2413;10 000 to 19 999 kg;2004;2017;12.7;12.4;0.3;13.5;12.4;1.1;18255.0;16813.0;1442.0;738.0
2414;10 000 to 19 999 kg;2005;2001;;;;;;;;;;
2415;10 000 to 19 999 kg;2005;2002;;;;;;;;;;
2416;10 000 to 19 999 kg;2005;2003;;;;;;;;;;
2417;10 000 to 19 999 kg;2005;2004;;;;;;;;;;
2418;10 000 to 19 999 kg;2005;2005;65.6;63.9;1.7;74.3;63.9;10.4;37679.0;32404.0;5275.0;1973.0
2419;10 000 to 19 999 kg;2005;2006;114.3;111.1;3.3;129.2;111.1;18.1;66691.0;57355.0;9337.0;1937.0
2420;10 000 to 19 999 kg;2005;2007;106.6;102.2;4.3;124.7;102.2;22.4;64020.0;52496.0;11524.0;1947.0
2421;10 000 to 19 999 kg;2005;2008;101.1;97.7;3.4;114.9;97.7;17.2;59916.0;50929.0;8987.0;1918.0
2422;10 000 to 19 999 kg;2005;2009;92.7;89.5;3.1;104.7;89.5;15.2;55130.0;47136.0;7994.0;1900.0
2423;10 000 to 19 999 kg;2005;2010;86.2;83.5;2.8;96.3;83.5;12.9;52674.0;45633.0;7041.0;1829.0
2424;10 000 to 19 999 kg;2005;2011;78.4;75.8;2.6;88.6;75.8;12.9;49574.0;42384.0;7190.0;1787.0
2425;10 000 to 19 999 kg;2005;2012;68.0;65.8;2.2;76.1;65.8;10.3;45812.0;39614.0;6198.0;1661.0
2426;10 000 to 19 999 kg;2005;2013;52.3;49.9;2.3;61.3;49.9;11.3;40153.0;32725.0;7428.0;1526.0
2427;10 000 to 19 999 kg;2005;2014;42.3;40.8;1.5;47.7;40.8;6.9;36352.0;31081.0;5271.0;1313.0
2428;10 000 to 19 999 kg;2005;2015;32.5;30.9;1.6;37.2;30.9;6.3;32471.0;26983.0;5488.0;1147.0
2429;10 000 to 19 999 kg;2005;2016;27.2;26.3;0.9;29.3;26.3;3.1;29441.0;26379.0;3062.0;996.0
2430;10 000 to 19 999 kg;2005;2017;21.3;20.8;0.6;22.5;20.8;1.8;25326.0;23326.0;2001.0;890.0
2431;10 000 to 19 999 kg;2006;2001;;;;;;;;;;
2432;10 000 to 19 999 kg;2006;2002;;;;;;;;;;
2433;10 000 to 19 999 kg;2006;2003;;;;;;;;;;
2434;10 000 to 19 999 kg;2006;2004;;;;;;;;;;
2435;10 000 to 19 999 kg;2006;2005;;;;;;;;;;
2436;10 000 to 19 999 kg;2006;2006;69.1;67.1;2.0;78.0;67.1;10.9;29902.0;25716.0;4186.0;2610.0
2437;10 000 to 19 999 kg;2006;2007;144.9;138.6;6.3;171.2;138.6;32.5;62686.0;50775.0;11910.0;2730.0
2438;10 000 to 19 999 kg;2006;2008;146.9;141.5;5.4;168.5;141.5;27.0;62138.0;52196.0;9942.0;2711.0
2439;10 000 to 19 999 kg;2006;2009;140.9;136.3;4.6;158.4;136.3;22.2;58880.0;50637.0;8243.0;2691.0
2440;10 000 to 19 999 kg;2006;2010;132.2;127.0;5.2;151.4;127.0;24.3;57429.0;48202.0;9227.0;2636.0
2441;10 000 to 19 999 kg;2006;2011;128.3;123.7;4.6;146.1;123.7;22.4;56568.0;47879.0;8689.0;2584.0
2442;10 000 to 19 999 kg;2006;2012;115.4;111.0;4.5;131.9;111.0;20.9;52482.0;44158.0;8325.0;2513.0
2443;10 000 to 19 999 kg;2006;2013;95.3;90.6;4.8;113.6;90.6;23.1;47361.0;37747.0;9614.0;2399.0
2444;10 000 to 19 999 kg;2006;2014;79.9;75.8;4.1;94.8;75.8;19.0;43451.0;34761.0;8690.0;2182.0
2445;10 000 to 19 999 kg;2006;2015;69.4;67.1;2.2;76.1;67.1;9.0;38584.0;34031.0;4553.0;1973.0
2446;10 000 to 19 999 kg;2006;2016;56.9;55.0;1.9;61.4;55.0;6.4;35081.0;31433.0;3648.0;1750.0
2447;10 000 to 19 999 kg;2006;2017;44.2;43.0;1.2;46.7;43.0;3.7;29961.0;27594.0;2367.0;1559.0
2448;10 000 to 19 999 kg;2007;2001;;;;;;;;;;
2449;10 000 to 19 999 kg;2007;2002;;;;;;;;;;
2450;10 000 to 19 999 kg;2007;2003;;;;;;;;;;
2451;10 000 to 19 999 kg;2007;2004;;;;;;;;;;
2452;10 000 to 19 999 kg;2007;2005;;;;;;;;;;
2453;10 000 to 19 999 kg;2007;2006;;;;;;;;;;
2454;10 000 to 19 999 kg;2007;2007;54.6;52.2;2.4;64.5;52.2;12.3;27473.0;22253.0;5220.0;2347.0
2455;10 000 to 19 999 kg;2007;2008;114.1;109.6;4.5;132.1;109.6;22.5;58239.0;48338.0;9901.0;2268.0
2456;10 000 to 19 999 kg;2007;2009;113.5;109.8;3.7;127.7;109.8;17.9;56527.0;48613.0;7914.0;2259.0
2457;10 000 to 19 999 kg;2007;2010;111.6;107.2;4.3;127.5;107.2;20.2;56201.0;47276.0;8925.0;2268.0
2458;10 000 to 19 999 kg;2007;2011;107.7;103.6;4.2;124.1;103.6;20.5;55522.0;46340.0;9182.0;2235.0
2459;10 000 to 19 999 kg;2007;2012;105.7;102.4;3.3;117.9;102.4;15.6;53072.0;46075.0;6997.0;2222.0
2460;10 000 to 19 999 kg;2007;2013;95.1;91.3;3.8;109.9;91.3;18.6;49999.0;41549.0;8450.0;2197.0
2461;10 000 to 19 999 kg;2007;2014;87.2;84.4;2.8;97.5;84.4;13.1;45920.0;39767.0;6153.0;2123.0
2462;10 000 to 19 999 kg;2007;2015;75.0;71.8;3.2;84.7;71.8;12.9;42528.0;36063.0;6464.0;1992.0
2463;10 000 to 19 999 kg;2007;2016;63.7;60.5;3.2;71.5;60.5;11.0;38401.0;32487.0;5914.0;1862.0
2464;10 000 to 19 999 kg;2007;2017;52.6;51.2;1.4;55.6;51.2;4.4;33496.0;30850.0;2646.0;1661.0
2465;10 000 to 19 999 kg;2008;2001;;;;;;;;;;
2466;10 000 to 19 999 kg;2008;2002;;;;;;;;;;
2467;10 000 to 19 999 kg;2008;2003;;;;;;;;;;
2468;10 000 to 19 999 kg;2008;2004;;;;;;;;;;
2469;10 000 to 19 999 kg;2008;2005;;;;;;;;;;
2470;10 000 to 19 999 kg;2008;2006;;;;;;;;;;
2471;10 000 to 19 999 kg;2008;2007;;;;;;;;;;
2472;10 000 to 19 999 kg;2008;2008;66.5;63.7;2.8;77.6;63.7;14.0;28565.0;23423.0;5142.0;2718.0
2473;10 000 to 19 999 kg;2008;2009;128.9;124.0;4.9;147.6;124.0;23.6;55269.0;46426.0;8843.0;2671.0
2474;10 000 to 19 999 kg;2008;2010;134.6;129.7;4.8;152.4;129.7;22.6;56954.0;48493.0;8460.0;2675.0
2475;10 000 to 19 999 kg;2008;2011;136.6;132.4;4.1;152.8;132.4;20.4;57096.0;49477.0;7619.0;2677.0
2476;10 000 to 19 999 kg;2008;2012;133.8;130.6;3.2;145.7;130.6;15.0;54331.0;48728.0;5603.0;2681.0
2477;10 000 to 19 999 kg;2008;2013;121.3;117.1;4.2;137.5;117.1;20.3;51264.0;43677.0;7587.0;2682.0
2478;10 000 to 19 999 kg;2008;2014;113.0;108.9;4.1;127.7;108.9;18.8;48832.0;41654.0;7178.0;2615.0
2479;10 000 to 19 999 kg;2008;2015;106.7;103.4;3.3;116.8;103.4;13.4;45968.0;40682.0;5286.0;2541.0
2480;10 000 to 19 999 kg;2008;2016;92.8;88.3;4.5;103.5;88.3;15.2;42239.0;36030.0;6209.0;2451.0
2481;10 000 to 19 999 kg;2008;2017;82.8;80.3;2.6;88.5;80.3;8.2;37935.0;34407.0;3528.0;2332.0
2482;10 000 to 19 999 kg;2009;2001;;;;;;;;;;
2483;10 000 to 19 999 kg;2009;2002;;;;;;;;;;
2484;10 000 to 19 999 kg;2009;2003;;;;;;;;;;
2485;10 000 to 19 999 kg;2009;2004;;;;;;;;;;
2486;10 000 to 19 999 kg;2009;2005;;;;;;;;;;
2487;10 000 to 19 999 kg;2009;2006;;;;;;;;;;
2488;10 000 to 19 999 kg;2009;2007;;;;;;;;;;
2489;10 000 to 19 999 kg;2009;2008;;;;;;;;;;
2490;10 000 to 19 999 kg;2009;2009;57.3;55.1;2.3;66.0;55.1;10.9;32825.0;27409.0;5416.0;2010.0
2491;10 000 to 19 999 kg;2009;2010;99.1;95.4;3.7;112.6;95.4;17.2;56735.0;48078.0;8657.0;1985.0
2492;10 000 to 19 999 kg;2009;2011;98.4;94.3;4.1;114.5;94.3;20.2;57777.0;47576.0;10201.0;1981.0
2493;10 000 to 19 999 kg;2009;2012;97.5;93.9;3.5;110.5;93.9;16.5;55932.0;47564.0;8368.0;1975.0
2494;10 000 to 19 999 kg;2009;2013;94.6;91.7;2.9;105.9;91.7;14.2;53197.0;46068.0;7128.0;1990.0
2495;10 000 to 19 999 kg;2009;2014;88.6;85.5;3.2;100.1;85.5;14.6;51009.0;43562.0;7447.0;1962.0
2496;10 000 to 19 999 kg;2009;2015;86.2;83.9;2.3;93.3;83.9;9.4;48138.0;43276.0;4862.0;1938.0
2497;10 000 to 19 999 kg;2009;2016;77.2;74.5;2.7;83.7;74.5;9.2;44419.0;39533.0;4886.0;1884.0
2498;10 000 to 19 999 kg;2009;2017;65.3;62.1;3.2;72.4;62.1;10.3;40406.0;34668.0;5738.0;1792.0
2499;10 000 to 19 999 kg;2010;2001;;;;;;;;;;
2500;10 000 to 19 999 kg;2010;2002;;;;;;;;;;
2501;10 000 to 19 999 kg;2010;2003;;;;;;;;;;
2502;10 000 to 19 999 kg;2010;2004;;;;;;;;;;
2503;10 000 to 19 999 kg;2010;2005;;;;;;;;;;
2504;10 000 to 19 999 kg;2010;2006;;;;;;;;;;
2505;10 000 to 19 999 kg;2010;2007;;;;;;;;;;
2506;10 000 to 19 999 kg;2010;2008;;;;;;;;;;
2507;10 000 to 19 999 kg;2010;2009;;;;;;;;;;
2508;10 000 to 19 999 kg;2010;2010;38.9;36.2;2.7;48.8;36.2;12.6;31314.0;23234.0;8080.0;1559.0
2509;10 000 to 19 999 kg;2010;2011;73.7;69.5;4.1;89.9;69.5;20.4;58784.0;45467.0;13317.0;1529.0
2510;10 000 to 19 999 kg;2010;2012;75.8;72.3;3.4;88.4;72.3;16.1;57790.0;47274.0;10516.0;1530.0
2511;10 000 to 19 999 kg;2010;2013;72.7;69.0;3.7;87.0;69.0;17.9;56096.0;44540.0;11556.0;1550.0
2512;10 000 to 19 999 kg;2010;2014;70.2;66.9;3.3;82.1;66.9;15.2;53747.0;43804.0;9943.0;1528.0
2513;10 000 to 19 999 kg;2010;2015;71.3;68.9;2.4;78.5;68.9;9.7;51992.0;45597.0;6395.0;1510.0
2514;10 000 to 19 999 kg;2010;2016;66.8;63.9;2.9;73.9;63.9;10.0;49164.0;42527.0;6637.0;1502.0
2515;10 000 to 19 999 kg;2010;2017;60.4;57.6;2.8;66.6;57.6;9.0;45712.0;39541.0;6171.0;1457.0
2516;10 000 to 19 999 kg;2011;2001;;;;;;;;;;
2517;10 000 to 19 999 kg;2011;2002;;;;;;;;;;
2518;10 000 to 19 999 kg;2011;2003;;;;;;;;;;
2519;10 000 to 19 999 kg;2011;2004;;;;;;;;;;
2520;10 000 to 19 999 kg;2011;2005;;;;;;;;;;
2521;10 000 to 19 999 kg;2011;2006;;;;;;;;;;
2522;10 000 to 19 999 kg;2011;2007;;;;;;;;;;
2523;10 000 to 19 999 kg;2011;2008;;;;;;;;;;
2524;10 000 to 19 999 kg;2011;2009;;;;;;;;;;
2525;10 000 to 19 999 kg;2011;2010;;;;;;;;;;
2526;10 000 to 19 999 kg;2011;2011;43.0;41.0;2.0;50.7;41.0;9.7;31300.0;25330.0;5970.0;1619.0
2527;10 000 to 19 999 kg;2011;2012;83.9;81.0;3.0;94.8;81.0;13.9;59310.0;50632.0;8678.0;1599.0
2528;10 000 to 19 999 kg;2011;2013;78.3;73.7;4.6;96.2;73.7;22.5;59677.0;45712.0;13964.0;1612.0
2529;10 000 to 19 999 kg;2011;2014;78.6;74.3;4.3;94.1;74.3;19.9;57935.0;45711.0;12224.0;1625.0
2530;10 000 to 19 999 kg;2011;2015;79.5;75.6;3.9;91.2;75.6;15.6;54663.0;45316.0;9347.0;1669.0
2531;10 000 to 19 999 kg;2011;2016;81.0;78.3;2.7;87.5;78.3;9.2;52604.0;47081.0;5523.0;1664.0
2532;10 000 to 19 999 kg;2011;2017;71.1;67.3;3.8;79.4;67.3;12.1;48160.0;40839.0;7320.0;1649.0
2533;10 000 to 19 999 kg;2012;2001;;;;;;;;;;
2534;10 000 to 19 999 kg;2012;2002;;;;;;;;;;
2535;10 000 to 19 999 kg;2012;2003;;;;;;;;;;
2536;10 000 to 19 999 kg;2012;2004;;;;;;;;;;
2537;10 000 to 19 999 kg;2012;2005;;;;;;;;;;
2538;10 000 to 19 999 kg;2012;2006;;;;;;;;;;
2539;10 000 to 19 999 kg;2012;2007;;;;;;;;;;
2540;10 000 to 19 999 kg;2012;2008;;;;;;;;;;
2541;10 000 to 19 999 kg;2012;2009;;;;;;;;;;
2542;10 000 to 19 999 kg;2012;2010;;;;;;;;;;
2543;10 000 to 19 999 kg;2012;2011;;;;;;;;;;
2544;10 000 to 19 999 kg;2012;2012;45.8;44.5;1.4;50.8;44.5;6.3;33697.0;29494.0;4203.0;1507.0
2545;10 000 to 19 999 kg;2012;2013;75.8;71.1;4.7;93.9;71.1;22.8;61543.0;46588.0;14955.0;1526.0
2546;10 000 to 19 999 kg;2012;2014;79.0;74.6;4.4;94.9;74.6;20.3;62141.0;48843.0;13298.0;1527.0
2547;10 000 to 19 999 kg;2012;2015;80.4;76.5;4.0;92.4;76.5;16.0;59881.0;49522.0;10359.0;1544.0
2548;10 000 to 19 999 kg;2012;2016;80.4;77.2;3.2;88.1;77.2;10.9;56383.0;49392.0;6991.0;1563.0
2549;10 000 to 19 999 kg;2012;2017;77.4;74.9;2.5;82.9;74.9;8.0;53286.0;48117.0;5169.0;1556.0
2550;10 000 to 19 999 kg;2013;2001;;;;;;;;;;
2551;10 000 to 19 999 kg;2013;2002;;;;;;;;;;
2552;10 000 to 19 999 kg;2013;2003;;;;;;;;;;
2553;10 000 to 19 999 kg;2013;2004;;;;;;;;;;
2554;10 000 to 19 999 kg;2013;2005;;;;;;;;;;
2555;10 000 to 19 999 kg;2013;2006;;;;;;;;;;
2556;10 000 to 19 999 kg;2013;2007;;;;;;;;;;
2557;10 000 to 19 999 kg;2013;2008;;;;;;;;;;
2558;10 000 to 19 999 kg;2013;2009;;;;;;;;;;
2559;10 000 to 19 999 kg;2013;2010;;;;;;;;;;
2560;10 000 to 19 999 kg;2013;2011;;;;;;;;;;
2561;10 000 to 19 999 kg;2013;2012;;;;;;;;;;
2562;10 000 to 19 999 kg;2013;2013;27.1;24.5;2.6;37.0;24.5;12.5;25346.0;16779.0;8567.0;1460.0
2563;10 000 to 19 999 kg;2013;2014;74.2;69.5;4.7;91.3;69.5;21.8;61681.0;46939.0;14742.0;1480.0
2564;10 000 to 19 999 kg;2013;2015;79.0;74.7;4.2;91.8;74.7;17.1;63698.0;51850.0;11848.0;1441.0
2565;10 000 to 19 999 kg;2013;2016;79.9;75.3;4.6;91.0;75.3;15.7;61632.0;51031.0;10601.0;1477.0
2566;10 000 to 19 999 kg;2013;2017;80.1;77.5;2.6;85.9;77.5;8.4;56765.0;51202.0;5563.0;1513.0
2567;10 000 to 19 999 kg;2014;2001;;;;;;;;;;
2568;10 000 to 19 999 kg;2014;2002;;;;;;;;;;
2569;10 000 to 19 999 kg;2014;2003;;;;;;;;;;
2570;10 000 to 19 999 kg;2014;2004;;;;;;;;;;
2571;10 000 to 19 999 kg;2014;2005;;;;;;;;;;
2572;10 000 to 19 999 kg;2014;2006;;;;;;;;;;
2573;10 000 to 19 999 kg;2014;2007;;;;;;;;;;
2574;10 000 to 19 999 kg;2014;2008;;;;;;;;;;
2575;10 000 to 19 999 kg;2014;2009;;;;;;;;;;
2576;10 000 to 19 999 kg;2014;2010;;;;;;;;;;
2577;10 000 to 19 999 kg;2014;2011;;;;;;;;;;
2578;10 000 to 19 999 kg;2014;2012;;;;;;;;;;
2579;10 000 to 19 999 kg;2014;2013;;;;;;;;;;
2580;10 000 to 19 999 kg;2014;2014;21.9;20.3;1.6;27.8;20.3;7.5;24872.0;18181.0;6691.0;1116.0
2581;10 000 to 19 999 kg;2014;2015;54.8;52.2;2.6;62.8;52.2;10.6;58789.0;48854.0;9935.0;1069.0
2582;10 000 to 19 999 kg;2014;2016;57.7;55.0;2.7;64.3;55.0;9.3;60066.0;51357.0;8710.0;1071.0
2583;10 000 to 19 999 kg;2014;2017;55.8;52.5;3.3;63.1;52.5;10.7;57102.0;47452.0;9650.0;1105.0
2584;10 000 to 19 999 kg;2015;2001;;;;;;;;;;
2585;10 000 to 19 999 kg;2015;2002;;;;;;;;;;
2586;10 000 to 19 999 kg;2015;2003;;;;;;;;;;
2587;10 000 to 19 999 kg;2015;2004;;;;;;;;;;
2588;10 000 to 19 999 kg;2015;2005;;;;;;;;;;
2589;10 000 to 19 999 kg;2015;2006;;;;;;;;;;
2590;10 000 to 19 999 kg;2015;2007;;;;;;;;;;
2591;10 000 to 19 999 kg;2015;2008;;;;;;;;;;
2592;10 000 to 19 999 kg;2015;2009;;;;;;;;;;
2593;10 000 to 19 999 kg;2015;2010;;;;;;;;;;
2594;10 000 to 19 999 kg;2015;2011;;;;;;;;;;
2595;10 000 to 19 999 kg;2015;2012;;;;;;;;;;
2596;10 000 to 19 999 kg;2015;2013;;;;;;;;;;
2597;10 000 to 19 999 kg;2015;2014;;;;;;;;;;
2598;10 000 to 19 999 kg;2015;2015;33.5;32.2;1.3;37.5;32.2;5.3;29172.0;25059.0;4113.0;1285.0
2599;10 000 to 19 999 kg;2015;2016;67.9;65.1;2.9;74.9;65.1;9.8;59914.0;52065.0;7849.0;1250.0
2600;10 000 to 19 999 kg;2015;2017;67.5;64.5;3.0;74.0;64.5;9.5;59147.0;51576.0;7571.0;1251.0
2601;10 000 to 19 999 kg;2016;2001;;;;;;;;;;
2602;10 000 to 19 999 kg;2016;2002;;;;;;;;;;
2603;10 000 to 19 999 kg;2016;2003;;;;;;;;;;
2604;10 000 to 19 999 kg;2016;2004;;;;;;;;;;
2605;10 000 to 19 999 kg;2016;2005;;;;;;;;;;
2606;10 000 to 19 999 kg;2016;2006;;;;;;;;;;
2607;10 000 to 19 999 kg;2016;2007;;;;;;;;;;
2608;10 000 to 19 999 kg;2016;2008;;;;;;;;;;
2609;10 000 to 19 999 kg;2016;2009;;;;;;;;;;
2610;10 000 to 19 999 kg;2016;2010;;;;;;;;;;
2611;10 000 to 19 999 kg;2016;2011;;;;;;;;;;
2612;10 000 to 19 999 kg;2016;2012;;;;;;;;;;
2613;10 000 to 19 999 kg;2016;2013;;;;;;;;;;
2614;10 000 to 19 999 kg;2016;2014;;;;;;;;;;
2615;10 000 to 19 999 kg;2016;2015;;;;;;;;;;
2616;10 000 to 19 999 kg;2016;2016;45.8;44.2;1.5;49.5;44.2;5.2;31343.0;28021.0;3322.0;1579.0
2617;10 000 to 19 999 kg;2016;2017;87.4;84.4;3.0;94.0;84.4;9.6;60015.0;53893.0;6122.0;1566.0
2618;10 000 to 19 999 kg;2017;2001;;;;;;;;;;
2619;10 000 to 19 999 kg;2017;2002;;;;;;;;;;
2620;10 000 to 19 999 kg;2017;2003;;;;;;;;;;
2621;10 000 to 19 999 kg;2017;2004;;;;;;;;;;
2622;10 000 to 19 999 kg;2017;2005;;;;;;;;;;
2623;10 000 to 19 999 kg;2017;2006;;;;;;;;;;
2624;10 000 to 19 999 kg;2017;2007;;;;;;;;;;
2625;10 000 to 19 999 kg;2017;2008;;;;;;;;;;
2626;10 000 to 19 999 kg;2017;2009;;;;;;;;;;
2627;10 000 to 19 999 kg;2017;2010;;;;;;;;;;
2628;10 000 to 19 999 kg;2017;2011;;;;;;;;;;
2629;10 000 to 19 999 kg;2017;2012;;;;;;;;;;
2630;10 000 to 19 999 kg;2017;2013;;;;;;;;;;
2631;10 000 to 19 999 kg;2017;2014;;;;;;;;;;
2632;10 000 to 19 999 kg;2017;2015;;;;;;;;;;
2633;10 000 to 19 999 kg;2017;2016;;;;;;;;;;
2634;10 000 to 19 999 kg;2017;2017;38.5;36.8;1.7;42.2;36.8;5.4;26879.0;23465.0;3414.0;1569.0
2635;20 000 kg or more;Total goods vehicles;2001;1096.2;1011.2;85.0;1578.7;1011.2;567.5;56289.0;36054.0;20235.0;28046.0
2636;20 000 kg or more;Total goods vehicles;2002;1071.7;987.2;84.5;1546.0;987.2;558.8;55505.0;35443.0;20062.0;27853.0
2637;20 000 kg or more;Total goods vehicles;2003;1056.5;976.4;80.1;1524.5;976.4;548.1;55953.0;35837.0;20116.0;27247.0
2638;20 000 kg or more;Total goods vehicles;2004;1071.7;987.4;84.3;1529.0;987.4;541.6;56270.0;36340.0;19931.0;27172.0
2639;20 000 kg or more;Total goods vehicles;2005;1088.8;1000.2;88.5;1536.8;1000.2;536.6;57496.0;37421.0;20075.0;26730.0
2640;20 000 kg or more;Total goods vehicles;2006;1093.6;998.4;95.2;1524.1;998.4;525.7;56435.0;36970.0;19465.0;27006.0
2641;20 000 kg or more;Total goods vehicles;2007;1158.2;1063.8;94.4;1551.1;1063.8;487.3;56786.0;38945.0;17841.0;27314.0
