ID;BeroepsEnEigenVervoer;Vervoerstromen;Perioden;VervoerdLadinggewicht_1;Ladingtonkilometers_2;VoertuigkilometersTotaal_3;VoertuigkilometersBeladen_4;RittenBeladen_5
173;Beroeps- en eigen vervoer;Derdelandenvervoer;2008;12990;7394;531.0;422.0;729.0
174;Beroeps- en eigen vervoer;Derdelandenvervoer;2009;12104;6910;504.0;407.0;691.0
175;Beroeps- en eigen vervoer;Derdelandenvervoer;2010;14158;7644;505.0;436.0;787.0
176;Beroeps- en eigen vervoer;Derdelandenvervoer;2011;12820;6428;440.0;381.0;718.0
177;Beroeps- en eigen vervoer;Derdelandenvervoer;2012;10911;5399;378.0;328.0;613.0
178;Beroeps- en eigen vervoer;Derdelandenvervoer;2013;12154;6072;464.0;368.0;716.0
179;Beroeps- en eigen vervoer;Derdelandenvervoer;2014;12096;5860;459.0;362.0;720.0
180;Beroeps- en eigen vervoer;Derdelandenvervoer;2015;10731;4830;376.0;301.0;646.0
181;Beroeps- en eigen vervoer;Derdelandenvervoer;2016;9119;3983;304.0;244.0;535.0
182;Beroeps- en eigen vervoer;Derdelandenvervoer;2017;9595;4356;311.0;261.0;562.0
183;Beroeps- en eigen vervoer;Derdelandenvervoer;2018;9173;3881;316.0;242.0;551.0
184;Beroeps- en eigen vervoer;Derdelandenvervoer;2019;9415;3922;302.0;243.0;541.0
185;Beroeps- en eigen vervoer;Derdelandenvervoer;2020;9293;3744;277.0;224.0;533.0
186;Beroeps- en eigen vervoer;Derdelandenvervoer;2021;9541;3764;300.0;237.0;547.0
187;Beroeps- en eigen vervoer;Derdelandenvervoer;2022;8190;3285;255.0;204.0;481.0
188;Beroeps- en eigen vervoer;Derdelandenvervoer;2023;7571;3080;251.0;201.0;460.0
189;Beroepsvervoer;Totaal;1997;443592;78508;;4086.0;
190;Beroepsvervoer;Totaal;1998;456906;80704;;4216.0;
191;Beroepsvervoer;Totaal;1999;501217;84606;;4493.0;
192;Beroepsvervoer;Totaal;2000;473827;79613;;4440.0;
193;Beroepsvervoer;Totaal;2001;487903;78907;;4517.0;
194;Beroepsvervoer;Totaal;2002;466918;77948;;4648.0;
195;Beroepsvervoer;Totaal;2003;471575;76965;;4708.0;
196;Beroepsvervoer;Totaal;2004;497451;85654;7104.0;5181.0;29886.0
197;Beroepsvervoer;Totaal;2005;483558;82132;6895.0;5011.0;30258.0
