ID;HousingCharacteristics;Regions;Periods;AverageConsumptionOfNaturalGas_1;AverageSupplyOfElectricity_2;AverageNetSupplyOfElectricity_3;DistrictHeating_4
7714;Apartment;Assen;2015;920.0;1860.0;;
7715;Apartment;Assen;2016;960.0;1840.0;;
7716;Apartment;Assen;2017;910.0;1810.0;;
7717;Apartment;Assen;2018;900.0;1800.0;;
7718;Apartment;Assen;2019;840.0;1780.0;;
7719;Apartment;Assen;2020;770.0;1770.0;;
7720;Apartment;Assen;2021;840.0;1800.0;1750.0;
7721;Apartment;Assen;2022;680.0;1750.0;1670.0;
7722;Apartment;Asten;2010;1100.0;2600.0;;
7723;Apartment;Asten;2011;850.0;2650.0;;
7724;Apartment;Asten;2012;900.0;2600.0;;
7725;Apartment;Asten;2013;950.0;2350.0;;
7726;Apartment;Asten;2014;700.0;2300.0;;
7727;Apartment;Asten;2015;810.0;2340.0;;
7728;Apartment;Asten;2016;830.0;2270.0;;
7729;Apartment;Asten;2017;810.0;2230.0;;
7730;Apartment;Asten;2018;800.0;2210.0;;
7731;Apartment;Asten;2019;760.0;2180.0;;
7732;Apartment;Asten;2020;730.0;2120.0;;
7733;Apartment;Asten;2021;770.0;2190.0;2170.0;
7734;Apartment;Asten;2022;610.0;2110.0;2050.0;
7735;Apartment;Baarle-Nassau;2010;1350.0;2500.0;;
7736;Apartment;Baarle-Nassau;2011;1050.0;2550.0;;
7737;Apartment;Baarle-Nassau;2012;1100.0;2600.0;;
7738;Apartment;Baarle-Nassau;2013;1150.0;2200.0;;
7739;Apartment;Baarle-Nassau;2014;800.0;2150.0;;
7740;Apartment;Baarle-Nassau;2015;1040.0;2330.0;;
7741;Apartment;Baarle-Nassau;2016;940.0;2120.0;;
7742;Apartment;Baarle-Nassau;2017;920.0;2170.0;;
7743;Apartment;Baarle-Nassau;2018;960.0;2120.0;;
7744;Apartment;Baarle-Nassau;2019;880.0;2170.0;;
7745;Apartment;Baarle-Nassau;2020;940.0;2290.0;;
7746;Apartment;Baarle-Nassau;2021;1050.0;2390.0;2250.0;
7747;Apartment;Baarle-Nassau;2022;830.0;2270.0;2050.0;
7748;Apartment;Baarn;2010;1500.0;2300.0;;
7749;Apartment;Baarn;2011;1150.0;2300.0;;
7750;Apartment;Baarn;2012;1200.0;2300.0;;
7751;Apartment;Baarn;2013;1150.0;2150.0;;
7752;Apartment;Baarn;2014;850.0;2100.0;;
7753;Apartment;Baarn;2015;930.0;2060.0;;
7754;Apartment;Baarn;2016;1000.0;2060.0;;
7755;Apartment;Baarn;2017;970.0;2010.0;;
7756;Apartment;Baarn;2018;960.0;1980.0;;
7757;Apartment;Baarn;2019;890.0;1930.0;;
7758;Apartment;Baarn;2020;860.0;1980.0;;
7759;Apartment;Baarn;2021;970.0;2010.0;1990.0;
7760;Apartment;Baarn;2022;760.0;1920.0;1870.0;
7761;Apartment;Barendrecht;2010;1000.0;2600.0;;
7762;Apartment;Barendrecht;2011;750.0;2600.0;;
7763;Apartment;Barendrecht;2012;850.0;2600.0;;
7764;Apartment;Barendrecht;2013;800.0;2400.0;;
7765;Apartment;Barendrecht;2014;650.0;2300.0;;
7766;Apartment;Barendrecht;2015;680.0;2300.0;;
7767;Apartment;Barendrecht;2016;700.0;2280.0;;
7768;Apartment;Barendrecht;2017;680.0;2270.0;;
7769;Apartment;Barendrecht;2018;670.0;2220.0;;
7770;Apartment;Barendrecht;2019;620.0;2140.0;;
7771;Apartment;Barendrecht;2020;620.0;2150.0;;
7772;Apartment;Barendrecht;2021;700.0;2170.0;2100.0;
7773;Apartment;Barendrecht;2022;530.0;2070.0;1960.0;
7774;Apartment;Barneveld;2010;1200.0;2350.0;;
7775;Apartment;Barneveld;2011;950.0;2350.0;;
7776;Apartment;Barneveld;2012;1000.0;2300.0;;
7777;Apartment;Barneveld;2013;1000.0;2150.0;;
7778;Apartment;Barneveld;2014;750.0;2100.0;;
7779;Apartment;Barneveld;2015;920.0;2230.0;;
7780;Apartment;Barneveld;2016;850.0;2010.0;;
7781;Apartment;Barneveld;2017;830.0;1990.0;;
7782;Apartment;Barneveld;2018;810.0;1930.0;;
7783;Apartment;Barneveld;2019;770.0;1900.0;;
7784;Apartment;Barneveld;2020;770.0;2020.0;;
7785;Apartment;Barneveld;2021;910.0;2090.0;1990.0;
7786;Apartment;Barneveld;2022;730.0;2000.0;1850.0;
7787;Apartment;Bedum;2010;1400.0;2050.0;;
7788;Apartment;Bedum;2011;1000.0;1900.0;;
7789;Apartment;Bedum;2012;1150.0;2050.0;;
7790;Apartment;Bedum;2013;1150.0;1850.0;;
7791;Apartment;Bedum;2014;900.0;1750.0;;
7792;Apartment;Bedum;2015;1010.0;1810.0;;
7793;Apartment;Bedum;2016;1060.0;1740.0;;
7794;Apartment;Bedum;2017;890.0;1690.0;;
7795;Apartment;Bedum;2018;910.0;1720.0;;
7796;Apartment;Bedum;2019;;;;
7797;Apartment;Bedum;2020;;;;
7798;Apartment;Bedum;2021;;;;
7799;Apartment;Bedum;2022;;;;
7800;Apartment;Beek (L.);2010;1500.0;2200.0;;
7801;Apartment;Beek (L.);2011;1150.0;2150.0;;
7802;Apartment;Beek (L.);2012;1100.0;2150.0;;
7803;Apartment;Beek (L.);2013;1150.0;2100.0;;
7804;Apartment;Beek (L.);2014;850.0;2050.0;;
7805;Apartment;Beek (L.);2015;950.0;2050.0;;
7806;Apartment;Beek (L.);2016;1130.0;2020.0;;
7807;Apartment;Beek (L.);2017;1080.0;1950.0;;
7808;Apartment;Beek (L.);2018;1050.0;1900.0;;
7809;Apartment;Beek (L.);2019;910.0;1830.0;;
7810;Apartment;Beek (L.);2020;890.0;1880.0;;
7811;Apartment;Beek (L.);2021;1020.0;1960.0;1780.0;
7812;Apartment;Beek (L.);2022;820.0;1870.0;1690.0;
7813;Apartment;Beekdaelen;2010;;;;
7814;Apartment;Beekdaelen;2011;;;;
7815;Apartment;Beekdaelen;2012;;;;
7816;Apartment;Beekdaelen;2013;;;;
7817;Apartment;Beekdaelen;2014;;;;
7818;Apartment;Beekdaelen;2015;;;;
7819;Apartment;Beekdaelen;2016;;;;
7820;Apartment;Beekdaelen;2017;;;;
7821;Apartment;Beekdaelen;2018;;;;
7822;Apartment;Beekdaelen;2019;920.0;2170.0;;
7823;Apartment;Beekdaelen;2020;960.0;2280.0;;
7824;Apartment;Beekdaelen;2021;1100.0;2330.0;2170.0;
7825;Apartment;Beekdaelen;2022;880.0;2230.0;2020.0;
7826;Apartment;Beemster;2010;1650.0;1700.0;;
7827;Apartment;Beemster;2011;1250.0;1750.0;;
7828;Apartment;Beemster;2012;1250.0;1800.0;;
7829;Apartment;Beemster;2013;1150.0;1950.0;;
7830;Apartment;Beemster;2014;850.0;2000.0;;
7831;Apartment;Beemster;2015;960.0;1990.0;;
7832;Apartment;Beemster;2016;1070.0;1890.0;;
7833;Apartment;Beemster;2017;1010.0;1860.0;;
7834;Apartment;Beemster;2018;1120.0;1870.0;;
7835;Apartment;Beemster;2019;970.0;1820.0;;
7836;Apartment;Beemster;2020;920.0;1970.0;;
7837;Apartment;Beemster;2021;1060.0;2000.0;1940.0;
7838;Apartment;Beemster;2022;;;;
7839;Apartment;Beesel;2010;600.0;2500.0;;
7840;Apartment;Beesel;2011;500.0;2500.0;;
7841;Apartment;Beesel;2012;450.0;2500.0;;
7842;Apartment;Beesel;2013;750.0;2200.0;;
7843;Apartment;Beesel;2014;550.0;2200.0;;
7844;Apartment;Beesel;2015;620.0;2190.0;;
7845;Apartment;Beesel;2016;630.0;2150.0;;
7846;Apartment;Beesel;2017;600.0;2160.0;;
7847;Apartment;Beesel;2018;610.0;2190.0;;
7848;Apartment;Beesel;2019;620.0;2140.0;;
7849;Apartment;Beesel;2020;660.0;2160.0;;
7850;Apartment;Beesel;2021;650.0;2250.0;1960.0;
7851;Apartment;Beesel;2022;530.0;2160.0;1840.0;
7852;Apartment;Bellingwedde;2010;1450.0;2000.0;;
7853;Apartment;Bellingwedde;2011;1150.0;2000.0;;
7854;Apartment;Bellingwedde;2012;1200.0;1950.0;;
7855;Apartment;Bellingwedde;2013;1100.0;1700.0;;
7856;Apartment;Bellingwedde;2014;850.0;1650.0;;
7857;Apartment;Bellingwedde;2015;1150.0;2030.0;;
7858;Apartment;Bellingwedde;2016;1120.0;1720.0;;
7859;Apartment;Bellingwedde;2017;1080.0;1810.0;;
7860;Apartment;Bellingwedde;2018;;;;
7861;Apartment;Bellingwedde;2019;;;;
7862;Apartment;Bellingwedde;2020;;;;
7863;Apartment;Bellingwedde;2021;;;;
7864;Apartment;Bellingwedde;2022;;;;
7865;Apartment;Berg en Dal;2010;;;;
7866;Apartment;Berg en Dal;2011;;;;
7867;Apartment;Berg en Dal;2012;;;;
7868;Apartment;Berg en Dal;2013;;;;
7869;Apartment;Berg en Dal;2014;;;;
7870;Apartment;Berg en Dal;2015;;;;
7871;Apartment;Berg en Dal;2016;850.0;2150.0;;
7872;Apartment;Berg en Dal;2017;830.0;2150.0;;
7873;Apartment;Berg en Dal;2018;750.0;2110.0;;
7874;Apartment;Berg en Dal;2019;810.0;2100.0;;
7875;Apartment;Berg en Dal;2020;830.0;2130.0;;
7876;Apartment;Berg en Dal;2021;880.0;2150.0;2080.0;
7877;Apartment;Berg en Dal;2022;710.0;2060.0;1960.0;
7878;Apartment;Bergambacht;2010;1150.0;2100.0;;
7879;Apartment;Bergambacht;2011;950.0;2100.0;;
7880;Apartment;Bergambacht;2012;1000.0;2150.0;;
7881;Apartment;Bergambacht;2013;900.0;2100.0;;
7882;Apartment;Bergambacht;2014;700.0;2000.0;;
7883;Apartment;Bergambacht;2015;;;;
7884;Apartment;Bergambacht;2016;;;;
7885;Apartment;Bergambacht;2017;;;;
7886;Apartment;Bergambacht;2018;;;;
7887;Apartment;Bergambacht;2019;;;;
7888;Apartment;Bergambacht;2020;;;;
7889;Apartment;Bergambacht;2021;;;;
7890;Apartment;Bergambacht;2022;;;;
7891;Apartment;Bergeijk;2010;1150.0;2450.0;;
7892;Apartment;Bergeijk;2011;900.0;2500.0;;
7893;Apartment;Bergeijk;2012;1150.0;2450.0;;
7894;Apartment;Bergeijk;2013;1050.0;2300.0;;
7895;Apartment;Bergeijk;2014;750.0;2200.0;;
7896;Apartment;Bergeijk;2015;1210.0;2840.0;;
7897;Apartment;Bergeijk;2016;920.0;2270.0;;
7898;Apartment;Bergeijk;2017;870.0;2210.0;;
7899;Apartment;Bergeijk;2018;930.0;2260.0;;
7900;Apartment;Bergeijk;2019;900.0;2220.0;;
7901;Apartment;Bergeijk;2020;1060.0;2660.0;;
7902;Apartment;Bergeijk;2021;1200.0;2640.0;2370.0;
7903;Apartment;Bergeijk;2022;960.0;2530.0;2150.0;
7904;Apartment;Bergen (L.);2010;1300.0;2250.0;;
7905;Apartment;Bergen (L.);2011;1000.0;2300.0;;
7906;Apartment;Bergen (L.);2012;1100.0;2400.0;;
7907;Apartment;Bergen (L.);2013;1100.0;2150.0;;
7908;Apartment;Bergen (L.);2014;800.0;2150.0;;
7909;Apartment;Bergen (L.);2015;990.0;2360.0;;
7910;Apartment;Bergen (L.);2016;900.0;2080.0;;
7911;Apartment;Bergen (L.);2017;850.0;2120.0;;
7912;Apartment;Bergen (L.);2018;870.0;2030.0;;
7913;Apartment;Bergen (L.);2019;830.0;1940.0;;
7914;Apartment;Bergen (L.);2020;850.0;2120.0;;
7915;Apartment;Bergen (L.);2021;970.0;2210.0;2100.0;
7916;Apartment;Bergen (L.);2022;810.0;2210.0;2050.0;
7917;Apartment;Bergen (NH.);2010;1300.0;2000.0;;
7918;Apartment;Bergen (NH.);2011;1050.0;2050.0;;
7919;Apartment;Bergen (NH.);2012;1100.0;2050.0;;
7920;Apartment;Bergen (NH.);2013;1100.0;2000.0;;
7921;Apartment;Bergen (NH.);2014;850.0;1950.0;;
7922;Apartment;Bergen (NH.);2015;1070.0;2160.0;;
7923;Apartment;Bergen (NH.);2016;970.0;1950.0;;
7924;Apartment;Bergen (NH.);2017;920.0;1930.0;;
7925;Apartment;Bergen (NH.);2018;950.0;1920.0;;
7926;Apartment;Bergen (NH.);2019;890.0;1840.0;;
7927;Apartment;Bergen (NH.);2020;900.0;1930.0;;
7928;Apartment;Bergen (NH.);2021;1020.0;2010.0;1850.0;
7929;Apartment;Bergen (NH.);2022;830.0;1880.0;1680.0;
7930;Apartment;Bergen op Zoom;2010;1150.0;2350.0;;
7931;Apartment;Bergen op Zoom;2011;900.0;2300.0;;
7932;Apartment;Bergen op Zoom;2012;1000.0;2450.0;;
7933;Apartment;Bergen op Zoom;2013;1000.0;2350.0;;
7934;Apartment;Bergen op Zoom;2014;750.0;2300.0;;
7935;Apartment;Bergen op Zoom;2015;780.0;2230.0;;
7936;Apartment;Bergen op Zoom;2016;800.0;2190.0;;
7937;Apartment;Bergen op Zoom;2017;760.0;2180.0;;
7938;Apartment;Bergen op Zoom;2018;770.0;2180.0;;
7939;Apartment;Bergen op Zoom;2019;690.0;2140.0;;
7940;Apartment;Bergen op Zoom;2020;680.0;2150.0;;
7941;Apartment;Bergen op Zoom;2021;730.0;2160.0;2080.0;
7942;Apartment;Bergen op Zoom;2022;590.0;2070.0;1980.0;
7943;Apartment;Berkelland;2010;1150.0;2150.0;;
7944;Apartment;Berkelland;2011;950.0;2200.0;;
7945;Apartment;Berkelland;2012;1000.0;2250.0;;
7946;Apartment;Berkelland;2013;1000.0;2050.0;;
7947;Apartment;Berkelland;2014;750.0;2000.0;;
7948;Apartment;Berkelland;2015;1120.0;2470.0;;
7949;Apartment;Berkelland;2016;930.0;2020.0;;
7950;Apartment;Berkelland;2017;890.0;2030.0;;
7951;Apartment;Berkelland;2018;880.0;2000.0;;
7952;Apartment;Berkelland;2019;830.0;1990.0;;
7953;Apartment;Berkelland;2020;990.0;2370.0;;
7954;Apartment;Berkelland;2021;1170.0;2480.0;2340.0;
7955;Apartment;Berkelland;2022;970.0;2440.0;2190.0;
7956;Apartment;Bernheze;2010;1200.0;2550.0;;
7957;Apartment;Bernheze;2011;900.0;2400.0;;
7958;Apartment;Bernheze;2012;950.0;2350.0;;
7959;Apartment;Bernheze;2013;900.0;2150.0;;
7960;Apartment;Bernheze;2014;700.0;2150.0;;
7961;Apartment;Bernheze;2015;850.0;2300.0;;
7962;Apartment;Bernheze;2016;780.0;2130.0;;
7963;Apartment;Bernheze;2017;760.0;2130.0;;
7964;Apartment;Bernheze;2018;790.0;2130.0;;
7965;Apartment;Bernheze;2019;760.0;2120.0;;
7966;Apartment;Bernheze;2020;790.0;2080.0;;
7967;Apartment;Bernheze;2021;870.0;2160.0;2010.0;
7968;Apartment;Bernheze;2022;690.0;2110.0;1900.0;
7969;Apartment;Bernisse;2010;1050.0;2150.0;;
7970;Apartment;Bernisse;2011;850.0;2200.0;;
7971;Apartment;Bernisse;2012;1050.0;2150.0;;
7972;Apartment;Bernisse;2013;900.0;1900.0;;
7973;Apartment;Bernisse;2014;800.0;1900.0;;
7974;Apartment;Bernisse;2015;;;;
7975;Apartment;Bernisse;2016;;;;
7976;Apartment;Bernisse;2017;;;;
7977;Apartment;Bernisse;2018;;;;
7978;Apartment;Bernisse;2019;;;;
7979;Apartment;Bernisse;2020;;;;
7980;Apartment;Bernisse;2021;;;;
7981;Apartment;Bernisse;2022;;;;
7982;Apartment;Best;2010;1150.0;2350.0;;
7983;Apartment;Best;2011;900.0;2300.0;;
7984;Apartment;Best;2012;950.0;2250.0;;
7985;Apartment;Best;2013;1000.0;2250.0;;
7986;Apartment;Best;2014;750.0;2200.0;;
7987;Apartment;Best;2015;800.0;2120.0;;
7988;Apartment;Best;2016;810.0;2070.0;;
7989;Apartment;Best;2017;790.0;2050.0;;
7990;Apartment;Best;2018;790.0;2050.0;;
7991;Apartment;Best;2019;760.0;2010.0;;
7992;Apartment;Best;2020;730.0;1970.0;;
7993;Apartment;Best;2021;800.0;1970.0;1870.0;
7994;Apartment;Best;2022;640.0;1960.0;1830.0;
7995;Apartment;Beuningen;2010;1050.0;2350.0;;
7996;Apartment;Beuningen;2011;850.0;2350.0;;
7997;Apartment;Beuningen;2012;950.0;2350.0;;
7998;Apartment;Beuningen;2013;950.0;2150.0;;
7999;Apartment;Beuningen;2014;700.0;2050.0;;
8000;Apartment;Beuningen;2015;750.0;2050.0;;
8001;Apartment;Beuningen;2016;780.0;2010.0;;
8002;Apartment;Beuningen;2017;780.0;2000.0;;
8003;Apartment;Beuningen;2018;750.0;1910.0;;
8004;Apartment;Beuningen;2019;710.0;1870.0;;
8005;Apartment;Beuningen;2020;700.0;1960.0;;
8006;Apartment;Beuningen;2021;810.0;1970.0;1930.0;
8007;Apartment;Beuningen;2022;640.0;1940.0;1880.0;
8008;Apartment;Beverwijk;2010;1250.0;2150.0;;
8009;Apartment;Beverwijk;2011;1000.0;2150.0;;
8010;Apartment;Beverwijk;2012;1050.0;2200.0;;
8011;Apartment;Beverwijk;2013;1100.0;2100.0;;
8012;Apartment;Beverwijk;2014;850.0;2050.0;;
8013;Apartment;Beverwijk;2015;890.0;2000.0;;
8014;Apartment;Beverwijk;2016;910.0;1960.0;;
8015;Apartment;Beverwijk;2017;870.0;1950.0;;
8016;Apartment;Beverwijk;2018;870.0;1920.0;;
8017;Apartment;Beverwijk;2019;820.0;1900.0;;
8018;Apartment;Beverwijk;2020;790.0;1920.0;;
8019;Apartment;Beverwijk;2021;910.0;1950.0;1930.0;
8020;Apartment;Beverwijk;2022;720.0;1860.0;1820.0;
8021;Apartment;het Bildt;2010;1250.0;1600.0;;
8022;Apartment;het Bildt;2011;1000.0;1600.0;;
8023;Apartment;het Bildt;2012;1050.0;1550.0;;
8024;Apartment;het Bildt;2013;1100.0;1600.0;;
8025;Apartment;het Bildt;2014;800.0;1550.0;;
8026;Apartment;het Bildt;2015;890.0;1600.0;;
8027;Apartment;het Bildt;2016;880.0;1520.0;;
8028;Apartment;het Bildt;2017;780.0;1490.0;;
8029;Apartment;het Bildt;2018;;;;
8030;Apartment;het Bildt;2019;;;;
8031;Apartment;het Bildt;2020;;;;
8032;Apartment;het Bildt;2021;;;;
8033;Apartment;het Bildt;2022;;;;
8034;Apartment;De Bilt;2010;1350.0;2500.0;;
8035;Apartment;De Bilt;2011;1000.0;2450.0;;
8036;Apartment;De Bilt;2012;1100.0;2450.0;;
8037;Apartment;De Bilt;2013;1100.0;2350.0;;
8038;Apartment;De Bilt;2014;850.0;2300.0;;
8039;Apartment;De Bilt;2015;900.0;2260.0;;
8040;Apartment;De Bilt;2016;960.0;2220.0;;
8041;Apartment;De Bilt;2017;920.0;2210.0;;
8042;Apartment;De Bilt;2018;940.0;2170.0;;
8043;Apartment;De Bilt;2019;890.0;2130.0;;
8044;Apartment;De Bilt;2020;850.0;2110.0;;
8045;Apartment;De Bilt;2021;960.0;2160.0;2140.0;
8046;Apartment;De Bilt;2022;750.0;2020.0;2000.0;
8047;Apartment;Binnenmaas;2010;1150.0;2400.0;;
8048;Apartment;Binnenmaas;2011;800.0;2300.0;;
8049;Apartment;Binnenmaas;2012;800.0;2300.0;;
8050;Apartment;Binnenmaas;2013;850.0;2000.0;;
8051;Apartment;Binnenmaas;2014;650.0;1950.0;;
8052;Apartment;Binnenmaas;2015;750.0;2070.0;;
8053;Apartment;Binnenmaas;2016;750.0;1930.0;;
8054;Apartment;Binnenmaas;2017;730.0;1900.0;;
8055;Apartment;Binnenmaas;2018;730.0;1890.0;;
8056;Apartment;Binnenmaas;2019;;;;
8057;Apartment;Binnenmaas;2020;;;;
8058;Apartment;Binnenmaas;2021;;;;
8059;Apartment;Binnenmaas;2022;;;;
8060;Apartment;Bladel;2010;1150.0;2550.0;;
8061;Apartment;Bladel;2011;850.0;2550.0;;
8062;Apartment;Bladel;2012;900.0;2550.0;;
8063;Apartment;Bladel;2013;950.0;2400.0;;
8064;Apartment;Bladel;2014;700.0;2350.0;;
8065;Apartment;Bladel;2015;780.0;2330.0;;
8066;Apartment;Bladel;2016;750.0;2190.0;;
8067;Apartment;Bladel;2017;730.0;2160.0;;
8068;Apartment;Bladel;2018;750.0;2170.0;;
8069;Apartment;Bladel;2019;710.0;2110.0;;
8070;Apartment;Bladel;2020;770.0;2150.0;;
8071;Apartment;Bladel;2021;870.0;2240.0;2170.0;
8072;Apartment;Bladel;2022;700.0;2140.0;2040.0;
8073;Apartment;Blaricum;2010;1800.0;3000.0;;
8074;Apartment;Blaricum;2011;1200.0;2800.0;;
8075;Apartment;Blaricum;2012;1250.0;2900.0;;
8076;Apartment;Blaricum;2013;1350.0;2500.0;;
8077;Apartment;Blaricum;2014;950.0;2500.0;;
8078;Apartment;Blaricum;2015;630.0;2430.0;;
8079;Apartment;Blaricum;2016;1070.0;2380.0;;
8080;Apartment;Blaricum;2017;1030.0;2340.0;;
8081;Apartment;Blaricum;2018;980.0;2360.0;;
8082;Apartment;Blaricum;2019;1200.0;2370.0;;
8083;Apartment;Blaricum;2020;1100.0;2440.0;;
8084;Apartment;Blaricum;2021;960.0;2450.0;2420.0;
8085;Apartment;Blaricum;2022;770.0;2270.0;2210.0;
8086;Apartment;Bloemendaal;2010;1500.0;2200.0;;
8087;Apartment;Bloemendaal;2011;1150.0;2250.0;;
8088;Apartment;Bloemendaal;2012;1250.0;2300.0;;
8089;Apartment;Bloemendaal;2013;1250.0;2150.0;;
8090;Apartment;Bloemendaal;2014;1000.0;2150.0;;
8091;Apartment;Bloemendaal;2015;1090.0;2200.0;;
8092;Apartment;Bloemendaal;2016;1160.0;2110.0;;
8093;Apartment;Bloemendaal;2017;1110.0;2120.0;;
8094;Apartment;Bloemendaal;2018;1130.0;2110.0;;
8095;Apartment;Bloemendaal;2019;1070.0;2080.0;;
8096;Apartment;Bloemendaal;2020;990.0;2070.0;;
8097;Apartment;Bloemendaal;2021;1130.0;2140.0;2080.0;
8098;Apartment;Bloemendaal;2022;900.0;2030.0;1950.0;
8099;Apartment;Boarnsterhim;2010;1350.0;1750.0;;
8100;Apartment;Boarnsterhim;2011;1000.0;1850.0;;
8101;Apartment;Boarnsterhim;2012;1150.0;1800.0;;
8102;Apartment;Boarnsterhim;2013;1100.0;1600.0;;
8103;Apartment;Boarnsterhim;2014;;;;
8104;Apartment;Boarnsterhim;2015;;;;
8105;Apartment;Boarnsterhim;2016;;;;
8106;Apartment;Boarnsterhim;2017;;;;
8107;Apartment;Boarnsterhim;2018;;;;
8108;Apartment;Boarnsterhim;2019;;;;
8109;Apartment;Boarnsterhim;2020;;;;
8110;Apartment;Boarnsterhim;2021;;;;
8111;Apartment;Boarnsterhim;2022;;;;
8112;Apartment;Bodegraven;2010;1200.0;2200.0;;
8113;Apartment;Bodegraven;2011;;;;
8114;Apartment;Bodegraven;2012;;;;
8115;Apartment;Bodegraven;2013;;;;
8116;Apartment;Bodegraven;2014;;;;
8117;Apartment;Bodegraven;2015;;;;
8118;Apartment;Bodegraven;2016;;;;
8119;Apartment;Bodegraven;2017;;;;
8120;Apartment;Bodegraven;2018;;;;
8121;Apartment;Bodegraven;2019;;;;
8122;Apartment;Bodegraven;2020;;;;
8123;Apartment;Bodegraven;2021;;;;
8124;Apartment;Bodegraven;2022;;;;
8125;Apartment;Bodegraven-Reeuwijk;2010;;;;
8126;Apartment;Bodegraven-Reeuwijk;2011;950.0;2150.0;;
8127;Apartment;Bodegraven-Reeuwijk;2012;950.0;2150.0;;
8128;Apartment;Bodegraven-Reeuwijk;2013;950.0;2050.0;;
8129;Apartment;Bodegraven-Reeuwijk;2014;750.0;2050.0;;
8130;Apartment;Bodegraven-Reeuwijk;2015;820.0;2080.0;;
8131;Apartment;Bodegraven-Reeuwijk;2016;850.0;2010.0;;
8132;Apartment;Bodegraven-Reeuwijk;2017;830.0;2020.0;;
8133;Apartment;Bodegraven-Reeuwijk;2018;810.0;2010.0;;
8134;Apartment;Bodegraven-Reeuwijk;2019;770.0;2000.0;;
8135;Apartment;Bodegraven-Reeuwijk;2020;760.0;2060.0;;
8136;Apartment;Bodegraven-Reeuwijk;2021;860.0;2090.0;2050.0;
8137;Apartment;Bodegraven-Reeuwijk;2022;670.0;2010.0;1910.0;
8138;Apartment;Boekel;2010;1100.0;2500.0;;
8139;Apartment;Boekel;2011;850.0;2400.0;;
8140;Apartment;Boekel;2012;900.0;2350.0;;
8141;Apartment;Boekel;2013;900.0;2150.0;;
8142;Apartment;Boekel;2014;700.0;2100.0;;
8143;Apartment;Boekel;2015;910.0;2380.0;;
8144;Apartment;Boekel;2016;790.0;2130.0;;
8145;Apartment;Boekel;2017;800.0;2110.0;;
8146;Apartment;Boekel;2018;800.0;2040.0;;
8147;Apartment;Boekel;2019;680.0;2020.0;;
8148;Apartment;Boekel;2020;850.0;2210.0;;
8149;Apartment;Boekel;2021;890.0;2230.0;2100.0;
8150;Apartment;Boekel;2022;750.0;2160.0;1940.0;
8151;Apartment;Ten Boer;2010;1050.0;2050.0;;
8152;Apartment;Ten Boer;2011;750.0;1950.0;;
8153;Apartment;Ten Boer;2012;800.0;1950.0;;
8154;Apartment;Ten Boer;2013;900.0;1700.0;;
8155;Apartment;Ten Boer;2014;700.0;1700.0;;
8156;Apartment;Ten Boer;2015;800.0;1710.0;;
8157;Apartment;Ten Boer;2016;820.0;1710.0;;
8158;Apartment;Ten Boer;2017;780.0;1740.0;;
8159;Apartment;Ten Boer;2018;770.0;1750.0;;
8160;Apartment;Ten Boer;2019;;;;
8161;Apartment;Ten Boer;2020;;;;
8162;Apartment;Ten Boer;2021;;;;
8163;Apartment;Ten Boer;2022;;;;
8164;Apartment;Bolsward;2010;1250.0;1850.0;;
8165;Apartment;Bolsward;2011;;;;
8166;Apartment;Bolsward;2012;;;;
8167;Apartment;Bolsward;2013;;;;
8168;Apartment;Bolsward;2014;;;;
8169;Apartment;Bolsward;2015;;;;
8170;Apartment;Bolsward;2016;;;;
8171;Apartment;Bolsward;2017;;;;
8172;Apartment;Bolsward;2018;;;;
8173;Apartment;Bolsward;2019;;;;
8174;Apartment;Bolsward;2020;;;;
8175;Apartment;Bolsward;2021;;;;
8176;Apartment;Bolsward;2022;;;;
8177;Apartment;Borger-Odoorn;2010;1450.0;2250.0;;
8178;Apartment;Borger-Odoorn;2011;1100.0;2150.0;;
8179;Apartment;Borger-Odoorn;2012;1100.0;2250.0;;
8180;Apartment;Borger-Odoorn;2013;1150.0;1950.0;;
8181;Apartment;Borger-Odoorn;2014;900.0;1900.0;;
8182;Apartment;Borger-Odoorn;2015;1070.0;2080.0;;
8183;Apartment;Borger-Odoorn;2016;1050.0;1850.0;;
8184;Apartment;Borger-Odoorn;2017;1040.0;1820.0;;
8185;Apartment;Borger-Odoorn;2018;970.0;1780.0;;
8186;Apartment;Borger-Odoorn;2019;930.0;1730.0;;
8187;Apartment;Borger-Odoorn;2020;930.0;1850.0;;
8188;Apartment;Borger-Odoorn;2021;1020.0;1900.0;1830.0;
8189;Apartment;Borger-Odoorn;2022;830.0;1860.0;1730.0;
8190;Apartment;Borne;2010;1350.0;2200.0;;
8191;Apartment;Borne;2011;1000.0;2150.0;;
8192;Apartment;Borne;2012;1150.0;2200.0;;
8193;Apartment;Borne;2013;1250.0;2100.0;;
8194;Apartment;Borne;2014;700.0;2000.0;;
8195;Apartment;Borne;2015;830.0;1990.0;;
8196;Apartment;Borne;2016;790.0;1950.0;;
8197;Apartment;Borne;2017;780.0;1910.0;;
8198;Apartment;Borne;2018;780.0;1900.0;;
8199;Apartment;Borne;2019;680.0;1860.0;;
8200;Apartment;Borne;2020;710.0;1920.0;;
8201;Apartment;Borne;2021;840.0;1980.0;1920.0;
8202;Apartment;Borne;2022;670.0;1850.0;1780.0;
8203;Apartment;Borsele;2010;1050.0;1950.0;;
8204;Apartment;Borsele;2011;800.0;2050.0;;
