ID;TypeOfBuilding;BuildingPhase;Periods;BuildingCosts_1
4910;Halls and warehouses;Orders received by contractors;2022 1st quarter;212.0
4911;Halls and warehouses;Orders received by contractors;2022 April;80.0
4912;Halls and warehouses;Orders received by contractors;2022 May;158.0
4913;Halls and warehouses;Orders received by contractors;2022 June;72.0
4914;Halls and warehouses;Orders received by contractors;2022 2nd quarter;309.0
4915;Halls and warehouses;Orders received by contractors;2022 July;48.0
4916;Halls and warehouses;Orders received by contractors;2022 August;73.0
4917;Halls and warehouses;Orders received by contractors;2022 September;88.0
4918;Halls and warehouses;Orders received by contractors;2022 3rd quarter;209.0
4919;Halls and warehouses;Orders received by contractors;2022 October;107.0
4920;Halls and warehouses;Orders received by contractors;2022 November;124.0
4921;Halls and warehouses;Orders received by contractors;2022 December;74.0
4922;Halls and warehouses;Orders received by contractors;2022 4th quarter;305.0
4923;Halls and warehouses;Orders received by contractors;2022;1035.0
4924;Halls and warehouses;Orders received by contractors;2023 January;106.0
4925;Halls and warehouses;Orders received by contractors;2023 February;195.0
4926;Halls and warehouses;Orders received by contractors;2023 March;161.0
4927;Halls and warehouses;Orders received by contractors;2023 1st quarter;462.0
4928;Halls and warehouses;Orders received by contractors;2023 April;143.0
4929;Halls and warehouses;Orders received by contractors;2023 May;222.0
4930;Halls and warehouses;Orders received by contractors;2023 June;135.0
4931;Halls and warehouses;Orders received by contractors;2023 2nd quarter;500.0
4932;Halls and warehouses;Orders received by contractors;2023 July;111.0
4933;Halls and warehouses;Orders received by contractors;2023 August;104.0
4934;Halls and warehouses;Orders received by contractors;2023 September;68.0
4935;Halls and warehouses;Orders received by contractors;2023 3rd quarter;283.0
4936;Halls and warehouses;Orders received by contractors;2023 October;87.0
4937;Halls and warehouses;Orders received by contractors;2023 November;65.0
4938;Halls and warehouses;Orders received by contractors;2023 December;153.0
4939;Halls and warehouses;Orders received by contractors;2023 4th quarter;306.0
4940;Halls and warehouses;Orders received by contractors;2023;1550.0
4941;Halls and warehouses;Orders received by contractors;2024 January;119.0
4942;Halls and warehouses;Orders received by contractors;2024 February;88.0
4943;Halls and warehouses;Orders received by contractors;2024 March;183.0
4944;Halls and warehouses;Orders received by contractors;2024 1st quarter;389.0
4945;Halls and warehouses;Orders received by contractors;2024 April;309.0
4946;Halls and warehouses;Orders received by contractors;2024 May;351.0
4947;Halls and warehouses;Orders received by contractors;2024 June;112.0
4948;Halls and warehouses;Orders received by contractors;2024 2nd quarter;772.0
4949;Halls and warehouses;Orders received by contractors;2024 July;135.0
4950;Halls and warehouses;Orders received by contractors;2024 August;80.0
4951;Halls and warehouses;Orders received by contractors;2024 September;105.0
4952;Halls and warehouses;Orders received by contractors;2024 3rd quarter;320.0
4953;Halls and warehouses;Orders received by contractors;2024 October;125.0
4954;Halls and warehouses;Orders received by contractors;2024 November;79.0
4955;Halls and warehouses;Orders received by contractors;2024 December;81.0
4956;Halls and warehouses;Orders received by contractors;2024 4th quarter;284.0
4957;Halls and warehouses;Orders received by contractors;2024;1765.0
4958;Halls and warehouses;Orders received by contractors;2025 January;55.0
4959;Halls and warehouses;Building projects started;2015 January;32.0
4960;Halls and warehouses;Building projects started;2015 February;47.0
4961;Halls and warehouses;Building projects started;2015 March;37.0
4962;Halls and warehouses;Building projects started;2015 1st quarter;116.0
4963;Halls and warehouses;Building projects started;2015 April;38.0
4964;Halls and warehouses;Building projects started;2015 May;118.0
4965;Halls and warehouses;Building projects started;2015 June;77.0
4966;Halls and warehouses;Building projects started;2015 2nd quarter;233.0
4967;Halls and warehouses;Building projects started;2015 July;50.0
4968;Halls and warehouses;Building projects started;2015 August;72.0
4969;Halls and warehouses;Building projects started;2015 September;59.0
4970;Halls and warehouses;Building projects started;2015 3rd quarter;181.0
4971;Halls and warehouses;Building projects started;2015 October;46.0
4972;Halls and warehouses;Building projects started;2015 November;56.0
4973;Halls and warehouses;Building projects started;2015 December;43.0
4974;Halls and warehouses;Building projects started;2015 4th quarter;145.0
4975;Halls and warehouses;Building projects started;2015;676.0
4976;Halls and warehouses;Building projects started;2016 January;64.0
4977;Halls and warehouses;Building projects started;2016 February;34.0
4978;Halls and warehouses;Building projects started;2016 March;47.0
4979;Halls and warehouses;Building projects started;2016 1st quarter;145.0
4980;Halls and warehouses;Building projects started;2016 April;35.0
4981;Halls and warehouses;Building projects started;2016 May;33.0
4982;Halls and warehouses;Building projects started;2016 June;50.0
4983;Halls and warehouses;Building projects started;2016 2nd quarter;119.0
4984;Halls and warehouses;Building projects started;2016 July;58.0
4985;Halls and warehouses;Building projects started;2016 August;81.0
4986;Halls and warehouses;Building projects started;2016 September;47.0
4987;Halls and warehouses;Building projects started;2016 3rd quarter;186.0
4988;Halls and warehouses;Building projects started;2016 October;51.0
4989;Halls and warehouses;Building projects started;2016 November;46.0
4990;Halls and warehouses;Building projects started;2016 December;54.0
4991;Halls and warehouses;Building projects started;2016 4th quarter;151.0
4992;Halls and warehouses;Building projects started;2016;600.0
4993;Halls and warehouses;Building projects started;2017 January;65.0
4994;Halls and warehouses;Building projects started;2017 February;54.0
4995;Halls and warehouses;Building projects started;2017 March;40.0
4996;Halls and warehouses;Building projects started;2017 1st quarter;159.0
4997;Halls and warehouses;Building projects started;2017 April;112.0
4998;Halls and warehouses;Building projects started;2017 May;120.0
4999;Halls and warehouses;Building projects started;2017 June;53.0
5000;Halls and warehouses;Building projects started;2017 2nd quarter;284.0
5001;Halls and warehouses;Building projects started;2017 July;87.0
5002;Halls and warehouses;Building projects started;2017 August;105.0
5003;Halls and warehouses;Building projects started;2017 September;120.0
5004;Halls and warehouses;Building projects started;2017 3rd quarter;312.0
5005;Halls and warehouses;Building projects started;2017 October;64.0
5006;Halls and warehouses;Building projects started;2017 November;83.0
5007;Halls and warehouses;Building projects started;2017 December;109.0
5008;Halls and warehouses;Building projects started;2017 4th quarter;257.0
5009;Halls and warehouses;Building projects started;2017;1013.0
5010;Halls and warehouses;Building projects started;2018 January;133.0
5011;Halls and warehouses;Building projects started;2018 February;100.0
5012;Halls and warehouses;Building projects started;2018 March;88.0
5013;Halls and warehouses;Building projects started;2018 1st quarter;321.0
5014;Halls and warehouses;Building projects started;2018 April;137.0
5015;Halls and warehouses;Building projects started;2018 May;108.0
5016;Halls and warehouses;Building projects started;2018 June;52.0
5017;Halls and warehouses;Building projects started;2018 2nd quarter;297.0
5018;Halls and warehouses;Building projects started;2018 July;157.0
5019;Halls and warehouses;Building projects started;2018 August;134.0
5020;Halls and warehouses;Building projects started;2018 September;76.0
5021;Halls and warehouses;Building projects started;2018 3rd quarter;367.0
5022;Halls and warehouses;Building projects started;2018 October;103.0
