ID;TransportModes;CommodityFlows;CommodityGroups;Continents;Periods;Estimate_1;LowerBound95ConfidenceInterval_2;UpperBound95ConfidenceInterval_3;ConfidenceInterval_4;ShareInCommodityFlow_5;GrowthIndication_6;Estimate_7;LowerBound95ConfidenceInterval_8;UpperBound95ConfidenceInterval_9;ConfidenceInterval_10;ShareInCommodityFlow_11;GrowthIndication_12
7551;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Total all continents;2012;62882;38087;87677;39.0;31;9.0;10325;7854;12796;24.0;6;5.0
7552;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Total all continents;2013;68233;41502;94964;39.0;36;9.0;10327;7934;12720;23.0;6;9.0
7553;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Total all continents;2014;61273;36821;85724;40.0;32;9.0;11579;9026;14133;22.0;6;9.0
7554;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Total all continents;2015;88313;48725;127901;45.0;37;9.0;11370;8794;13946;23.0;6;9.0
7555;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Total all continents;2016;83878;48153;119603;43.0;40;9.0;12261;9489;15033;23.0;7;9.0
7556;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Total all continents;2017;108039;64004;152075;41.0;45;9.0;11952;9249;14654;23.0;6;9.0
7557;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Africa;2007;1065;124;2007;88.0;1;;93;25;160;73.0;0;
7558;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Africa;2008;1189;109;2270;91.0;1;;111;32;190;71.0;0;9.0
7559;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Africa;2009;1176;76;2276;94.0;1;;119;36;202;70.0;0;9.0
7560;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Africa;2010;1733;226;3239;87.0;1;;168;55;280;67.0;0;9.0
7561;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Africa;2011;1360;497;2224;63.0;1;;145;108;182;25.0;0;9.0
7562;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Africa;2012;861;275;1448;68.0;0;;111;83;139;25.0;0;1.0
7563;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Africa;2013;830;286;1375;66.0;0;;76;54;98;29.0;0;1.0
7564;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Africa;2014;1582;478;2685;70.0;1;;145;103;187;29.0;0;5.0
7565;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Africa;2015;2936;840;5032;71.0;1;;195;150;240;23.0;0;5.0
7566;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Africa;2016;1965;665;3264;66.0;1;;185;143;228;23.0;0;9.0
7567;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Africa;2017;2446;763;4130;69.0;1;;206;159;253;23.0;0;9.0
7568;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;America;2007;12422;4118;20726;67.0;8;;1149;418;1881;64.0;1;
7569;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;America;2008;13947;3330;24565;76.0;8;;1205;409;2000;66.0;1;9.0
7570;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;America;2009;17019;4021;30017;76.0;11;;1029;380;1677;63.0;1;9.0
7571;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;America;2010;15239;3241;27236;79.0;8;;877;271;1483;69.0;0;9.0
7572;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;America;2011;12646;5012;20279;60.0;8;;847;560;1134;34.0;0;9.0
7573;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;America;2012;16502;6492;26513;61.0;8;;747;459;1036;39.0;0;9.0
7574;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;America;2013;19272;7146;31398;63.0;10;;904;600;1208;34.0;1;9.0
7575;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;America;2014;15636;5104;26168;67.0;8;;856;518;1194;40.0;0;9.0
7576;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;America;2015;17725;4348;31101;75.0;7;;659;330;988;50.0;0;9.0
7577;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;America;2016;17883;4569;31197;74.0;8;;797;428;1166;46.0;0;9.0
7578;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;America;2017;30150;7290;53010;76.0;13;;1100;691;1509;37.0;1;9.0
7579;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Asia;2007;13290;1239;25341;91.0;9;;5950;2355;9545;60.0;3;
7580;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Asia;2008;18606;1767;35445;91.0;11;;4369;1261;7478;71.0;2;9.0
7581;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Asia;2009;25950;4427;47473;83.0;17;;4724;1714;7734;64.0;3;9.0
7582;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Asia;2010;26005;4490;47519;83.0;14;;4472;1508;7437;66.0;2;9.0
7583;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Asia;2011;18546;3253;33838;82.0;11;;1931;0;4283;;1;1.0
7584;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Asia;2012;27728;6565;48890;76.0;14;;5759;3441;8077;40.0;3;9.0
7585;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Asia;2013;29914;7358;52471;75.0;16;;5502;3347;7657;39.0;3;9.0
7586;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Asia;2014;26601;5964;47238;78.0;14;;6853;4474;9233;35.0;3;9.0
7587;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Asia;2015;50113;13706;86519;73.0;21;;7598;5183;10014;32.0;4;9.0
7588;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Asia;2016;44884;13028;76740;71.0;21;;7492;4899;10084;35.0;4;9.0
7589;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Asia;2017;49192;13218;85166;73.0;20;;5775;3297;8254;43.0;3;9.0
7590;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Europe;2007;8070;3103;13037;62.0;5;;2274;1092;3457;52.0;1;
7591;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Europe;2008;9928;3660;16195;63.0;6;;1674;504;2844;70.0;1;9.0
7592;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Europe;2009;11328;4979;17677;56.0;7;;2592;1378;3806;47.0;1;9.0
7593;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Europe;2010;13024;6228;19820;52.0;7;;2407;1272;3543;47.0;1;9.0
7594;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Europe;2011;16450;7925;24975;52.0;10;;3646;2572;4720;29.0;2;9.0
7595;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Europe;2012;17541;9396;25686;46.0;9;;3703;2897;4509;22.0;2;9.0
7596;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Europe;2013;18098;10456;25741;42.0;9;;3843;2848;4837;26.0;2;9.0
7597;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Europe;2014;17219;9490;24947;45.0;9;;3720;2859;4581;23.0;2;9.0
7598;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Europe;2015;17461;9815;25106;44.0;7;;2916;2084;3748;29.0;2;1.0
7599;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Europe;2016;19074;9991;28157;48.0;9;;3784;2877;4692;24.0;2;9.0
7600;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Europe;2017;26166;15232;37100;42.0;11;;4866;3871;5860;20.0;3;5.0
7601;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Oceania;2007;203;0;464;;0;;11;0;24;;0;
7602;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Oceania;2008;284;0;635;;0;;10;1;19;92.0;0;9.0
7603;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Oceania;2009;264;0;596;;0;;6;0;13;;0;9.0
7604;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Oceania;2010;318;0;725;;0;;8;0;17;;0;9.0
7605;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Oceania;2011;285;24;546;92.0;0;;6;0;13;;0;9.0
7606;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Oceania;2012;249;20;478;92.0;0;;5;0;11;;0;9.0
7607;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Oceania;2013;118;0;240;;0;;3;0;7;;0;9.0
7608;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Oceania;2014;235;0;481;;0;;5;0;16;;0;9.0
7609;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Oceania;2015;79;0;180;;0;;2;0;6;;0;9.0
7610;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Oceania;2016;72;0;188;160.0;0;;3;0;9;204.0;0;9.0
7611;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Oceania;2017;85;0;223;164.0;0;;5;0;11;134.0;0;9.0
7612;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Unspecified countries and areas;2007;1;0;34;;0;;1;0;20;;0;
7613;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Unspecified countries and areas;2008;0;0;37;;0;;0;0;10;;0;9.0
7614;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Unspecified countries and areas;2009;1;0;43;;0;;0;0;6;;0;1.0
7615;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Unspecified countries and areas;2010;0;0;52;;0;;0;0;5;;0;9.0
7616;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Unspecified countries and areas;2011;0;0;37;92.0;0;;0;0;7;;0;9.0
7617;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Unspecified countries and areas;2012;0;0;40;92.0;0;;0;0;11;;0;9.0
7618;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Unspecified countries and areas;2013;0;0;33;;0;;0;0;12;;0;9.0
7619;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Unspecified countries and areas;2014;0;0;202;;0;;0;0;20;;0;9.0
7620;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Unspecified countries and areas;2015;0;0;51;;0;;0;0;16;;0;9.0
7621;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Unspecified countries and areas;2016;0;0;101;160.0;0;;0;0;13;204.0;0;9.0
7622;Maritime transport;Inbound transit trade;9 Machinery, transport equipment, man...;Unspecified countries and areas;2017;0;0;66;164.0;0;;0;0;12;134.0;0;9.0
7623;Maritime transport;"Outbound transport; total";Total;Total all continents;2007;190915;158113;223716;17.0;31;;132011;125148;138874;5.0;27;
7624;Maritime transport;"Outbound transport; total";Total;Total all continents;2008;180429;154961;205897;14.0;30;9.0;127837;121732;133942;5.0;26;9.0
7625;Maritime transport;"Outbound transport; total";Total;Total all continents;2009;166532;138663;194402;17.0;32;9.0;131348;125277;137420;5.0;29;9.0
7626;Maritime transport;"Outbound transport; total";Total;Total all continents;2010;179181;153773;204590;14.0;31;9.0;143318;136533;150104;5.0;29;4.0
7627;Maritime transport;"Outbound transport; total";Total;Total all continents;2011;224053;196689;251418;12.0;35;5.0;144872;138325;151418;5.0;29;9.0
7628;Maritime transport;"Outbound transport; total";Total;Total all continents;2012;241558;213211;269906;12.0;36;9.0;159221;150731;167711;5.0;32;4.0
7629;Maritime transport;"Outbound transport; total";Total;Total all continents;2013;230777;204773;256780;11.0;35;9.0;166110;157231;174990;5.0;31;9.0
7630;Maritime transport;"Outbound transport; total";Total;Total all continents;2014;257703;222756;292651;14.0;36;9.0;170650;161556;179743;5.0;32;9.0
7631;Maritime transport;"Outbound transport; total";Total;Total all continents;2015;277213;237267;317158;14.0;37;9.0;177818;169125;186512;5.0;33;9.0
7632;Maritime transport;"Outbound transport; total";Total;Total all continents;2016;259133;223149;295118;14.0;35;9.0;185637;177432;193842;4.0;34;9.0
7633;Maritime transport;"Outbound transport; total";Total;Total all continents;2017;273463;239620;307305;12.0;36;9.0;192063;183603;200522;4.0;35;9.0
7634;Maritime transport;"Outbound transport; total";Total;Africa;2007;7966;6066;9867;24.0;1;;9591;8476;10706;12.0;2;
7635;Maritime transport;"Outbound transport; total";Total;Africa;2008;9792;7215;12369;26.0;2;9.0;10547;9250;11845;12.0;2;9.0
7636;Maritime transport;"Outbound transport; total";Total;Africa;2009;8786;6528;11044;26.0;2;9.0;12493;11030;13956;12.0;3;5.0
7637;Maritime transport;"Outbound transport; total";Total;Africa;2010;11327;8346;14307;26.0;2;9.0;14422;12472;16372;14.0;3;5.0
7638;Maritime transport;"Outbound transport; total";Total;Africa;2011;15207;11883;18532;22.0;2;9.0;13948;11830;16067;15.0;3;9.0
7639;Maritime transport;"Outbound transport; total";Total;Africa;2012;17697;14141;21253;20.0;3;9.0;15877;13064;18689;18.0;3;9.0
7640;Maritime transport;"Outbound transport; total";Total;Africa;2013;16067;13053;19081;19.0;2;9.0;14961;12605;17316;16.0;3;9.0
7641;Maritime transport;"Outbound transport; total";Total;Africa;2014;17006;13680;20333;20.0;2;9.0;16927;13964;19890;18.0;3;9.0
7642;Maritime transport;"Outbound transport; total";Total;Africa;2015;16968;13620;20316;20.0;2;9.0;17958;15402;20513;14.0;3;9.0
7643;Maritime transport;"Outbound transport; total";Total;Africa;2016;13677;10987;16367;20.0;2;9.0;17160;15103;19216;12.0;3;9.0
7644;Maritime transport;"Outbound transport; total";Total;Africa;2017;13606;11350;15862;17.0;2;9.0;16270;14680;17861;10.0;3;9.0
7645;Maritime transport;"Outbound transport; total";Total;America;2007;35081;23929;46233;32.0;6;;21413;19278;23549;10.0;4;
7646;Maritime transport;"Outbound transport; total";Total;America;2008;35299;24577;46020;30.0;6;9.0;21436;19323;23549;10.0;4;9.0
7647;Maritime transport;"Outbound transport; total";Total;America;2009;31728;21136;42319;33.0;6;9.0;20667;18508;22825;10.0;5;9.0
7648;Maritime transport;"Outbound transport; total";Total;America;2010;30043;22591;37495;25.0;5;9.0;19759;18154;21363;8.0;4;9.0
7649;Maritime transport;"Outbound transport; total";Total;America;2011;48652;37360;59943;23.0;8;5.0;22410;20076;24743;10.0;4;5.0
7650;Maritime transport;"Outbound transport; total";Total;America;2012;50097;39043;61150;22.0;7;9.0;28689;25692;31685;10.0;6;5.0
7651;Maritime transport;"Outbound transport; total";Total;America;2013;49537;37967;61107;23.0;7;9.0;27873;25380;30365;9.0;5;9.0
7652;Maritime transport;"Outbound transport; total";Total;America;2014;55068;39188;70948;29.0;8;9.0;30092;27173;33010;10.0;6;9.0
7653;Maritime transport;"Outbound transport; total";Total;America;2015;55890;42458;69322;24.0;7;9.0;30251;27609;32894;9.0;6;9.0
7654;Maritime transport;"Outbound transport; total";Total;America;2016;47390;36642;58138;23.0;6;9.0;28525;26239;30810;8.0;5;9.0
7655;Maritime transport;"Outbound transport; total";Total;America;2017;46466;36333;56599;22.0;6;9.0;25440;23873;27008;6.0;5;1.0
7656;Maritime transport;"Outbound transport; total";Total;Asia;2007;52529;29260;75798;44.0;9;;24868;21298;28437;14.0;5;
7657;Maritime transport;"Outbound transport; total";Total;Asia;2008;45784;28403;63165;38.0;8;9.0;21994;18932;25056;14.0;4;9.0
7658;Maritime transport;"Outbound transport; total";Total;Asia;2009;48719;27761;69677;43.0;9;9.0;24983;21687;28279;13.0;5;9.0
7659;Maritime transport;"Outbound transport; total";Total;Asia;2010;46188;27708;64667;40.0;8;9.0;26729;23015;30443;14.0;5;9.0
7660;Maritime transport;"Outbound transport; total";Total;Asia;2011;64493;44000;84986;32.0;10;9.0;28806;25751;31862;11.0;6;9.0
7661;Maritime transport;"Outbound transport; total";Total;Asia;2012;71326;50283;92370;30.0;11;9.0;36886;31916;41857;13.0;7;5.0
7662;Maritime transport;"Outbound transport; total";Total;Asia;2013;63227;44419;82035;30.0;9;9.0;35481;32191;38771;9.0;7;9.0
7663;Maritime transport;"Outbound transport; total";Total;Asia;2014;79862;53356;106368;33.0;11;9.0;37835;34031;41640;10.0;7;9.0
7664;Maritime transport;"Outbound transport; total";Total;Asia;2015;95390;62411;128369;35.0;13;9.0;44083;38956;49210;12.0;8;5.0
7665;Maritime transport;"Outbound transport; total";Total;Asia;2016;83990;56802;111177;32.0;11;9.0;40678;37323;44033;8.0;7;9.0
7666;Maritime transport;"Outbound transport; total";Total;Asia;2017;85399;60145;110654;30.0;11;9.0;41981;39325;44637;6.0;8;9.0
7667;Maritime transport;"Outbound transport; total";Total;Europe;2007;93428;73298;113558;22.0;15;;75720;70378;81062;7.0;15;
7668;Maritime transport;"Outbound transport; total";Total;Europe;2008;87300;72392;102208;17.0;15;9.0;73437;68776;78099;6.0;15;9.0
7669;Maritime transport;"Outbound transport; total";Total;Europe;2009;75078;60301;89854;20.0;15;9.0;72834;68454;77214;6.0;16;9.0
7670;Maritime transport;"Outbound transport; total";Total;Europe;2010;88562;73151;103973;17.0;15;9.0;81758;76673;86843;6.0;16;5.0
7671;Maritime transport;"Outbound transport; total";Total;Europe;2011;90641;77057;104226;15.0;14;9.0;77524;72767;82281;6.0;15;9.0
7672;Maritime transport;"Outbound transport; total";Total;Europe;2012;96206;81469;110943;15.0;14;9.0;75184;69787;80580;7.0;15;9.0
7673;Maritime transport;"Outbound transport; total";Total;Europe;2013;92957;80136;105779;14.0;14;9.0;81087;74864;87310;8.0;15;4.0
7674;Maritime transport;"Outbound transport; total";Total;Europe;2014;96567;80989;112145;16.0;13;9.0;78645;72657;84633;8.0;15;9.0
7675;Maritime transport;"Outbound transport; total";Total;Europe;2015;102137;84570;119703;17.0;13;9.0;82937;77098;88776;7.0;15;9.0
7676;Maritime transport;"Outbound transport; total";Total;Europe;2016;107460;86793;128126;19.0;15;9.0;92652;86626;98678;7.0;17;5.0
7677;Maritime transport;"Outbound transport; total";Total;Europe;2017;117729;97986;137471;17.0;15;9.0;97484;91229;103738;6.0;18;9.0
7678;Maritime transport;"Outbound transport; total";Total;Oceania;2007;1737;600;2873;65.0;0;;329;204;454;38.0;0;
7679;Maritime transport;"Outbound transport; total";Total;Oceania;2008;2254;614;3895;73.0;0;9.0;423;279;566;34.0;0;9.0
7680;Maritime transport;"Outbound transport; total";Total;Oceania;2009;1838;503;3174;73.0;0;9.0;288;178;397;38.0;0;1.0
7681;Maritime transport;"Outbound transport; total";Total;Oceania;2010;1628;567;2689;65.0;0;9.0;342;227;458;34.0;0;9.0
7682;Maritime transport;"Outbound transport; total";Total;Oceania;2011;4241;1882;6599;56.0;1;9.0;934;752;1116;19.0;0;5.0
7683;Maritime transport;"Outbound transport; total";Total;Oceania;2012;5131;2231;8031;57.0;1;9.0;993;826;1159;17.0;0;9.0
7684;Maritime transport;"Outbound transport; total";Total;Oceania;2013;5592;2367;8818;58.0;1;9.0;997;863;1131;13.0;0;9.0
7685;Maritime transport;"Outbound transport; total";Total;Oceania;2014;5446;2463;8430;55.0;1;9.0;1031;893;1169;13.0;0;9.0
7686;Maritime transport;"Outbound transport; total";Total;Oceania;2015;5792;3059;8525;47.0;1;9.0;993;849;1137;15.0;0;9.0
7687;Maritime transport;"Outbound transport; total";Total;Oceania;2016;4487;2363;6611;47.0;1;9.0;1058;892;1224;16.0;0;9.0
7688;Maritime transport;"Outbound transport; total";Total;Oceania;2017;5137;2616;7658;49.0;1;9.0;1056;915;1197;13.0;0;9.0
7689;Maritime transport;"Outbound transport; total";Total;Unspecified countries and areas;2007;174;49;299;72.0;0;;90;24;155;73.0;0;
7690;Maritime transport;"Outbound transport; total";Total;Unspecified countries and areas;2008;0;0;0;;0;;0;0;0;;0;
7691;Maritime transport;"Outbound transport; total";Total;Unspecified countries and areas;2009;384;124;643;68.0;0;;84;46;123;46.0;0;
7692;Maritime transport;"Outbound transport; total";Total;Unspecified countries and areas;2010;1434;416;2452;71.0;0;5.0;309;239;378;22.0;0;5.0
7693;Maritime transport;"Outbound transport; total";Total;Unspecified countries and areas;2011;820;375;1264;54.0;0;1.0;1250;288;2211;77.0;0;5.0
7694;Maritime transport;"Outbound transport; total";Total;Unspecified countries and areas;2012;1102;522;1681;53.0;0;9.0;1593;438;2747;72.0;0;9.0
7695;Maritime transport;"Outbound transport; total";Total;Unspecified countries and areas;2013;3396;1232;5561;64.0;1;9.0;5712;1528;9897;73.0;1;5.0
7696;Maritime transport;"Outbound transport; total";Total;Unspecified countries and areas;2014;3754;1774;5733;53.0;1;9.0;6119;2240;9999;63.0;1;9.0
7697;Maritime transport;"Outbound transport; total";Total;Unspecified countries and areas;2015;1035;460;1610;56.0;0;1.0;1596;306;2887;81.0;0;1.0
7698;Maritime transport;"Outbound transport; total";Total;Unspecified countries and areas;2016;2130;958;3302;55.0;0;1.0;5565;2360;8770;58.0;1;5.0
7699;Maritime transport;"Outbound transport; total";Total;Unspecified countries and areas;2017;5126;3217;7036;37.0;1;5.0;9832;5317;14346;46.0;2;9.0
7700;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Total all continents;2007;5468;4165;6771;24.0;1;;5157;4384;5931;15.0;1;
7701;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Total all continents;2008;6180;4621;7739;25.0;1;9.0;5126;4399;5853;14.0;1;9.0
7702;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Total all continents;2009;4810;3766;5854;22.0;1;1.0;4699;3995;5403;15.0;1;9.0
7703;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Total all continents;2010;5443;4419;6467;19.0;1;9.0;5175;4428;5922;14.0;1;9.0
7704;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Total all continents;2011;6310;5091;7528;19.0;1;9.0;6321;5776;6866;9.0;1;5.0
7705;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Total all continents;2012;5113;4226;6001;17.0;1;1.0;5386;4949;5823;8.0;1;1.0
7706;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Total all continents;2013;5614;4566;6662;19.0;1;9.0;6959;6321;7597;9.0;1;5.0
7707;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Total all continents;2014;5415;4594;6236;15.0;1;9.0;7474;6809;8140;9.0;1;9.0
7708;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Total all continents;2015;7626;6247;9006;18.0;1;5.0;8565;7810;9320;9.0;2;5.0
7709;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Total all continents;2016;6672;5652;7691;15.0;1;9.0;7616;7041;8190;8.0;1;1.0
7710;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Total all continents;2017;7644;6371;8916;17.0;1;9.0;9799;8812;10785;10.0;2;5.0
7711;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Africa;2007;335;256;415;24.0;0;;573;459;687;20.0;0;
7712;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Africa;2008;335;256;415;24.0;0;;644;537;751;17.0;0;9.0
7713;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Africa;2009;257;197;317;23.0;0;;448;359;537;20.0;0;1.0
7714;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Africa;2010;483;369;598;24.0;0;;701;572;830;18.0;0;5.0
7715;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Africa;2011;525;412;638;22.0;0;;831;726;935;13.0;0;5.0
7716;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Africa;2012;567;433;701;24.0;0;;872;755;990;13.0;0;9.0
7717;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Africa;2013;554;446;663;20.0;0;;831;727;935;13.0;0;9.0
7718;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Africa;2014;563;459;667;18.0;0;;988;866;1110;12.0;0;5.0
7719;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Africa;2015;643;504;782;22.0;0;;1048;928;1167;11.0;0;9.0
7720;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Africa;2016;500;406;594;19.0;0;;880;784;977;11.0;0;1.0
7721;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Africa;2017;541;415;667;23.0;0;;1040;911;1169;12.0;0;5.0
7722;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;America;2007;1241;565;1917;54.0;0;;649;410;887;37.0;0;
7723;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;America;2008;1521;589;2453;61.0;0;;702;465;940;34.0;0;9.0
7724;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;America;2009;1048;529;1567;50.0;0;;628;425;831;32.0;0;9.0
7725;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;America;2010;1034;547;1521;47.0;0;;559;410;709;27.0;0;9.0
7726;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;America;2011;1760;1066;2454;39.0;0;;1216;1054;1378;13.0;0;5.0
7727;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;America;2012;1238;764;1712;38.0;0;;988;855;1121;13.0;0;1.0
7728;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;America;2013;1381;807;1956;42.0;0;;997;865;1129;13.0;0;9.0
7729;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;America;2014;1209;793;1626;34.0;0;;1116;965;1268;14.0;0;9.0
7730;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;America;2015;1659;947;2370;43.0;0;;1268;1091;1445;14.0;0;9.0
7731;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;America;2016;1463;951;1975;35.0;0;;1099;1006;1192;8.0;0;1.0
7732;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;America;2017;1627;1102;2152;32.0;0;;1330;1212;1449;9.0;0;5.0
7733;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Asia;2007;1554;627;2482;60.0;0;;1323;822;1823;38.0;0;
7734;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Asia;2008;1709;667;2750;61.0;0;;1169;712;1626;39.0;0;9.0
7735;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Asia;2009;1432;660;2204;54.0;0;;1515;982;2047;35.0;0;9.0
7736;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Asia;2010;1429;716;2142;50.0;0;;1312;849;1776;35.0;0;9.0
7737;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Asia;2011;1903;1060;2746;44.0;0;;1692;1371;2012;19.0;0;9.0
7738;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Asia;2012;1534;902;2165;41.0;0;;1539;1235;1843;20.0;0;9.0
7739;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Asia;2013;1649;983;2314;40.0;0;;1775;1467;2083;17.0;0;9.0
7740;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Asia;2014;1524;992;2056;35.0;0;;1965;1609;2320;18.0;0;9.0
7741;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Asia;2015;2291;1347;3236;41.0;0;;2617;2236;2998;15.0;0;5.0
7742;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Asia;2016;1867;1242;2492;33.0;0;;2075;1887;2263;9.0;0;1.0
7743;Maritime transport;"Outbound transport; total";0 Agricultural products and live animals;Asia;2017;2409;1447;3370;40.0;0;;2091;1860;2323;11.0;0;9.0
