ID;Countries;Periods;GDPPerCapita_1;GDPVolumeChange_2;GDPPerHourWorked_3;GDPPerPersonEmployed_4;EmploymentRate_5;Men_6;Women_7;k_15To25Years_8;k_25To55Years_9;k_55To65Years_10;AnnualHoursWorkedPerPersonEmployed_11;TotalMenAndWomen_12;Men_13;Women_14;IncomeQuintileShareRatio_15;EnergyConsumptionPerUnitOfGDP_16;EmissionCarbonDioxideCO2PerCapita_17;ElectricityRenewableEnergySources_18
575;EU-27;1990;;;;;;;;;;;;;;;;304.0;;11.6
576;EU-27;1991;;;;;;;;;;;;;;;;226.0;;12.0
577;EU-27;1992;;;;;;;;;;;;;;;;218.0;;12.6
578;EU-27;1993;14.4;;;;;;;;;;;;;;;218.0;;13.0
579;EU-27;1994;15.0;;;;;;;;;;;;;;;211.0;;13.2
580;EU-27;1995;14.7;;;;;;;;;;;;;;;193.0;;12.9
581;EU-27;1996;15.4;;;;;;;;;;;;;;;194.0;;12.5
582;EU-27;1997;16.3;;;;;;;;;;;;;;;187.0;;13.0
583;EU-27;1998;17.0;;;;;;;;;;;;;;;183.0;;13.4
584;EU-27;1999;17.8;;;;;;;;;;;;;;;177.0;;13.2
585;EU-27;2000;19.0;;;;62.1;70.7;53.6;37.0;76.0;36.8;;;;;;171.0;;13.6
586;EU-27;2001;19.8;;;;62.5;70.8;54.3;37.3;76.3;37.5;;;;;;171.0;;14.2
587;EU-27;2002;20.5;;;;62.4;70.4;54.5;36.7;76.1;38.2;;;;;;169.0;;12.7
588;EU-27;2003;20.7;;;;62.7;70.4;55.0;36.1;76.4;39.9;;;;;;170.0;;12.6
589;EU-27;2004;21.7;;;;62.8;70.2;55.4;35.7;76.6;40.5;;;;;;168.0;;13.7
590;EU-27;2005;22.5;;;;63.6;70.8;56.3;36.1;77.2;42.3;;;;;5.0;165.0;;13.6
591;EU-27;2006;23.7;;;;64.5;71.7;57.3;36.6;78.2;43.5;;;;;4.9;160.0;;14.2
592;EU-27;2007;25.0;;;;65.4;72.5;58.3;37.4;79.1;44.7;;;;;5.0;153.0;;15.1
593;EU-27;2008;25.0;;;;;;;;;;;;;;5.0;152.0;;16.4
594;EU-27;2009;23.5;;;;;;;;;;;;;;4.9;150.0;;18.3
595;EU-27;2010;24.5;;;;;;;;;;;;;;5.0;152.0;;19.9
596;EU-27;2011;25.1;;;;;;;;;;;;;;5.1;144.0;;20.4
597;EU-27;2012;25.6;;;;;;;;;;;;;;;;;
598;OECD;1960;;;;;;;;;;;;69.0;66.4;71.5;;;;
599;OECD;1970;;;;;62.9;82.1;45.0;53.2;68.7;55.2;;70.5;67.4;73.5;;;;
600;OECD;1980;;;;;64.2;79.6;49.3;51.1;72.1;51.6;;72.8;69.4;76.1;;;;
601;OECD;1990;;;;;65.7;77.5;48.7;49.1;75.8;47.7;;74.9;71.6;78.3;;;;
602;OECD;1991;;;;;64.9;77.4;50.0;48.3;75.1;47.6;;75.1;71.8;78.5;;;;
603;OECD;1992;;;;;64.3;76.1;49.8;46.7;74.7;46.7;;75.4;72.1;78.7;;;;
604;OECD;1993;;;;;63.9;75.6;49.4;45.8;74.3;46.1;;75.6;72.4;78.8;;;;
605;OECD;1994;;;;;64.0;75.3;49.4;45.8;74.5;45.9;;76.0;72.7;79.2;;;;
606;OECD;1995;;;;;64.2;75.4;49.9;45.2;74.8;46.1;;76.0;72.8;79.2;;;;
607;OECD;1996;;;;;64.4;75.6;50.4;44.8;75.0;46.6;;76.3;73.1;79.5;;;;
608;OECD;1997;;;;;64.8;75.9;50.9;44.9;75.4;47.4;;76.6;73.5;79.7;;;;
609;OECD;1998;;;;;65.0;76.0;51.9;45.2;75.4;47.4;;76.8;73.7;79.9;;;;
610;OECD;1999;;;;;65.2;75.9;53.1;45.3;75.6;47.6;;77.0;73.9;80.1;;;;
611;OECD;2000;;;;;65.4;76.1;54.3;45.5;75.9;47.6;;77.4;74.3;80.3;;;;
612;OECD;2001;;;;;65.2;75.6;55.1;44.6;75.6;48.1;;77.7;74.7;80.6;;;10.9;
613;OECD;2002;;;;;64.9;74.9;55.7;43.6;75.3;49.0;;77.9;74.9;80.8;;;10.9;
614;OECD;2003;;;;;64.7;74.5;56.3;42.5;75.2;50.0;;78.0;75.2;80.9;;;11.0;
615;OECD;2004;;;;;65.0;74.7;57.1;42.6;75.5;50.7;;78.5;75.6;81.3;;;11.1;
616;OECD;2005;;;;;65.3;74.9;57.7;42.7;75.8;51.7;;78.7;75.9;81.5;;;11.1;
617;OECD;2006;;;;;66.0;75.5;58.7;43.2;76.5;52.7;;79.0;76.2;81.8;;;10.9;
618;OECD;2007;;;;;66.5;75.9;59.6;43.1;77.0;53.5;;;76.3;81.9;;;11.1;
619;OECD;2008;;;;;66.5;75.6;60.3;42.8;77.1;54.1;;;;;;;10.6;
620;OECD;2009;;;;;64.8;72.9;59.8;40.0;75.3;53.6;;;;;;;9.9;
621;OECD;2010;;;;;64.6;72.8;59.8;39.6;75.2;54.0;;;;;;;;
622;OECD;2011;;;;;64.8;73.0;60.1;39.7;75.4;54.4;;;;;;;;
623;OECD;2012;;;;;65.1;73.2;60.1;39.7;75.6;55.6;;;;;;;;
