ID;Services;Countries;Periods;ImportsOfServices_1;ExportsOfServices_2;NetServices_3
7983;SC Transport services;Colombia;2021 4th quarter;5.0;22.0;17.0
7984;SC Transport services;Colombia;2021;15.0;71.0;55.0
7985;SC Transport services;Colombia;2022 1st quarter;5.0;19.0;15.0
7986;SC Transport services;Colombia;2022 2nd quarter;5.0;31.0;25.0
7987;SC Transport services;Colombia;2022 3rd quarter;5.0;26.0;21.0
7988;SC Transport services;Colombia;2022 4th quarter;6.0;27.0;21.0
7989;SC Transport services;Colombia;2022;21.0;104.0;82.0
7990;SC Transport services;Colombia;2023 1st quarter;5.0;24.0;19.0
7991;SC Transport services;Colombia;2023 2nd quarter;9.0;26.0;17.0
7992;SC Transport services;Colombia;2023 3rd quarter;5.0;26.0;21.0
7993;SC Transport services;Colombia;2023 4th quarter;5.0;20.0;15.0
7994;SC Transport services;Colombia;2023;23.0;96.0;73.0
7995;SC Transport services;Colombia;2024 1st quarter;6.0;22.0;16.0
7996;SC Transport services;Colombia;2024 2nd quarter;5.0;29.0;24.0
7997;SC Transport services;Colombia;2024 3rd quarter;8.0;24.0;16.0
7998;SC Transport services;Colombia;2024 4th quarter;5.0;23.0;18.0
7999;SC Transport services;Colombia;2024;23.0;97.0;74.0
8000;SC Transport services;Croatia;2020 1st quarter;5.0;6.0;1.0
8001;SC Transport services;Croatia;2020 2nd quarter;5.0;5.0;1.0
8002;SC Transport services;Croatia;2020 3rd quarter;6.0;6.0;0.0
8003;SC Transport services;Croatia;2020 4th quarter;7.0;7.0;0.0
8004;SC Transport services;Croatia;2020;22.0;25.0;2.0
8005;SC Transport services;Croatia;2021 1st quarter;6.0;6.0;-1.0
8006;SC Transport services;Croatia;2021 2nd quarter;8.0;6.0;-1.0
8007;SC Transport services;Croatia;2021 3rd quarter;9.0;6.0;-3.0
8008;SC Transport services;Croatia;2021 4th quarter;10.0;10.0;0.0
8009;SC Transport services;Croatia;2021;33.0;28.0;-5.0
8010;SC Transport services;Croatia;2022 1st quarter;9.0;9.0;0.0
8011;SC Transport services;Croatia;2022 2nd quarter;12.0;9.0;-3.0
8012;SC Transport services;Croatia;2022 3rd quarter;16.0;11.0;-6.0
8013;SC Transport services;Croatia;2022 4th quarter;12.0;16.0;4.0
8014;SC Transport services;Croatia;2022;50.0;45.0;-5.0
8015;SC Transport services;Croatia;2023 1st quarter;15.0;10.0;-5.0
8016;SC Transport services;Croatia;2023 2nd quarter;14.0;11.0;-3.0
8017;SC Transport services;Croatia;2023 3rd quarter;13.0;13.0;1.0
8018;SC Transport services;Croatia;2023 4th quarter;15.0;10.0;-5.0
8019;SC Transport services;Croatia;2023;57.0;45.0;-12.0
8020;SC Transport services;Croatia;2024 1st quarter;15.0;11.0;-5.0
8021;SC Transport services;Croatia;2024 2nd quarter;16.0;13.0;-3.0
8022;SC Transport services;Croatia;2024 3rd quarter;21.0;17.0;-4.0
8023;SC Transport services;Croatia;2024 4th quarter;14.0;14.0;0.0
8024;SC Transport services;Croatia;2024;66.0;55.0;-12.0
8025;SC Transport services;Cuba;2020 1st quarter;1.0;2.0;0.0
8026;SC Transport services;Cuba;2020 2nd quarter;0.0;1.0;1.0
8027;SC Transport services;Cuba;2020 3rd quarter;0.0;1.0;1.0
8028;SC Transport services;Cuba;2020 4th quarter;0.0;1.0;1.0
8029;SC Transport services;Cuba;2020;2.0;6.0;4.0
8030;SC Transport services;Cuba;2021 1st quarter;0.0;1.0;0.0
8031;SC Transport services;Cuba;2021 2nd quarter;0.0;1.0;1.0
8032;SC Transport services;Cuba;2021 3rd quarter;0.0;1.0;1.0
8033;SC Transport services;Cuba;2021 4th quarter;0.0;2.0;2.0
8034;SC Transport services;Cuba;2021;1.0;4.0;4.0
8035;SC Transport services;Cuba;2022 1st quarter;0.0;2.0;2.0
8036;SC Transport services;Cuba;2022 2nd quarter;0.0;1.0;1.0
8037;SC Transport services;Cuba;2022 3rd quarter;0.0;1.0;1.0
8038;SC Transport services;Cuba;2022 4th quarter;0.0;3.0;3.0
8039;SC Transport services;Cuba;2022;1.0;8.0;7.0
8040;SC Transport services;Cuba;2023 1st quarter;0.0;2.0;1.0
8041;SC Transport services;Cuba;2023 2nd quarter;0.0;2.0;1.0
8042;SC Transport services;Cuba;2023 3rd quarter;0.0;1.0;1.0
8043;SC Transport services;Cuba;2023 4th quarter;0.0;2.0;2.0
8044;SC Transport services;Cuba;2023;1.0;6.0;6.0
8045;SC Transport services;Cuba;2024 1st quarter;0.0;2.0;1.0
8046;SC Transport services;Cuba;2024 2nd quarter;0.0;1.0;1.0
8047;SC Transport services;Cuba;2024 3rd quarter;;;1.0
8048;SC Transport services;Cuba;2024 4th quarter;;;1.0
8049;SC Transport services;Cuba;2024;;;5.0
8050;SC Transport services;Curaçao;2020 1st quarter;11.0;9.0;-2.0
8051;SC Transport services;Curaçao;2020 2nd quarter;5.0;3.0;-2.0
8052;SC Transport services;Curaçao;2020 3rd quarter;5.0;8.0;2.0
8053;SC Transport services;Curaçao;2020 4th quarter;6.0;6.0;0.0
8054;SC Transport services;Curaçao;2020;27.0;26.0;-2.0
8055;SC Transport services;Curaçao;2021 1st quarter;7.0;5.0;-2.0
8056;SC Transport services;Curaçao;2021 2nd quarter;7.0;9.0;2.0
8057;SC Transport services;Curaçao;2021 3rd quarter;9.0;14.0;5.0
8058;SC Transport services;Curaçao;2021 4th quarter;20.0;12.0;-7.0
8059;SC Transport services;Curaçao;2021;43.0;40.0;-2.0
8060;SC Transport services;Curaçao;2022 1st quarter;14.0;8.0;-6.0
8061;SC Transport services;Curaçao;2022 2nd quarter;15.0;12.0;-3.0
8062;SC Transport services;Curaçao;2022 3rd quarter;18.0;17.0;-1.0
8063;SC Transport services;Curaçao;2022 4th quarter;13.0;13.0;0.0
8064;SC Transport services;Curaçao;2022;60.0;49.0;-11.0
8065;SC Transport services;Curaçao;2023 1st quarter;13.0;8.0;-4.0
8066;SC Transport services;Curaçao;2023 2nd quarter;13.0;10.0;-3.0
8067;SC Transport services;Curaçao;2023 3rd quarter;8.0;14.0;6.0
8068;SC Transport services;Curaçao;2023 4th quarter;14.0;10.0;-4.0
8069;SC Transport services;Curaçao;2023;47.0;42.0;-6.0
8070;SC Transport services;Curaçao;2024 1st quarter;11.0;11.0;0.0
8071;SC Transport services;Curaçao;2024 2nd quarter;8.0;13.0;5.0
8072;SC Transport services;Curaçao;2024 3rd quarter;7.0;16.0;8.0
8073;SC Transport services;Curaçao;2024 4th quarter;11.0;12.0;1.0
8074;SC Transport services;Curaçao;2024;37.0;52.0;14.0
8075;SC Transport services;Cyprus;2020 1st quarter;24.0;17.0;-7.0
8076;SC Transport services;Cyprus;2020 2nd quarter;25.0;16.0;-9.0
8077;SC Transport services;Cyprus;2020 3rd quarter;30.0;18.0;-12.0
8078;SC Transport services;Cyprus;2020 4th quarter;40.0;20.0;-20.0
8079;SC Transport services;Cyprus;2020;118.0;71.0;-47.0
8080;SC Transport services;Cyprus;2021 1st quarter;13.0;20.0;6.0
8081;SC Transport services;Cyprus;2021 2nd quarter;16.0;24.0;8.0
8082;SC Transport services;Cyprus;2021 3rd quarter;16.0;27.0;12.0
8083;SC Transport services;Cyprus;2021 4th quarter;26.0;28.0;2.0
8084;SC Transport services;Cyprus;2021;71.0;99.0;28.0
8085;SC Transport services;Cyprus;2022 1st quarter;18.0;20.0;2.0
8086;SC Transport services;Cyprus;2022 2nd quarter;26.0;17.0;-8.0
8087;SC Transport services;Cyprus;2022 3rd quarter;33.0;20.0;-13.0
8088;SC Transport services;Cyprus;2022 4th quarter;34.0;20.0;-14.0
8089;SC Transport services;Cyprus;2022;111.0;77.0;-34.0
8090;SC Transport services;Cyprus;2023 1st quarter;20.0;19.0;-1.0
8091;SC Transport services;Cyprus;2023 2nd quarter;24.0;18.0;-6.0
8092;SC Transport services;Cyprus;2023 3rd quarter;28.0;19.0;-10.0
8093;SC Transport services;Cyprus;2023 4th quarter;28.0;19.0;-8.0
8094;SC Transport services;Cyprus;2023;100.0;75.0;-25.0
8095;SC Transport services;Cyprus;2024 1st quarter;18.0;16.0;-1.0
8096;SC Transport services;Cyprus;2024 2nd quarter;32.0;18.0;-14.0
8097;SC Transport services;Cyprus;2024 3rd quarter;25.0;18.0;-7.0
8098;SC Transport services;Cyprus;2024 4th quarter;29.0;19.0;-10.0
8099;SC Transport services;Cyprus;2024;104.0;72.0;-33.0
8100;SC Transport services;Czechia;2020 1st quarter;83.0;77.0;-6.0
8101;SC Transport services;Czechia;2020 2nd quarter;74.0;63.0;-10.0
8102;SC Transport services;Czechia;2020 3rd quarter;71.0;66.0;-5.0
8103;SC Transport services;Czechia;2020 4th quarter;85.0;78.0;-7.0
8104;SC Transport services;Czechia;2020;313.0;285.0;-28.0
8105;SC Transport services;Czechia;2021 1st quarter;88.0;76.0;-13.0
8106;SC Transport services;Czechia;2021 2nd quarter;97.0;90.0;-7.0
8107;SC Transport services;Czechia;2021 3rd quarter;100.0;88.0;-12.0
8108;SC Transport services;Czechia;2021 4th quarter;122.0;101.0;-21.0
8109;SC Transport services;Czechia;2021;407.0;355.0;-53.0
8110;SC Transport services;Czechia;2022 1st quarter;98.0;93.0;-5.0
8111;SC Transport services;Czechia;2022 2nd quarter;99.0;97.0;-3.0
8112;SC Transport services;Czechia;2022 3rd quarter;95.0;76.0;-19.0
8113;SC Transport services;Czechia;2022 4th quarter;115.0;119.0;4.0
8114;SC Transport services;Czechia;2022;407.0;385.0;-23.0
8115;SC Transport services;Czechia;2023 1st quarter;112.0;124.0;12.0
8116;SC Transport services;Czechia;2023 2nd quarter;108.0;135.0;27.0
8117;SC Transport services;Czechia;2023 3rd quarter;98.0;110.0;12.0
8118;SC Transport services;Czechia;2023 4th quarter;107.0;120.0;13.0
8119;SC Transport services;Czechia;2023;426.0;490.0;64.0
8120;SC Transport services;Czechia;2024 1st quarter;96.0;98.0;2.0
8121;SC Transport services;Czechia;2024 2nd quarter;98.0;111.0;12.0
8122;SC Transport services;Czechia;2024 3rd quarter;105.0;137.0;32.0
8123;SC Transport services;Czechia;2024 4th quarter;220.0;123.0;-96.0
8124;SC Transport services;Czechia;2024;519.0;468.0;-51.0
8125;SC Transport services;Denmark;2020 1st quarter;149.0;350.0;201.0
8126;SC Transport services;Denmark;2020 2nd quarter;139.0;305.0;166.0
8127;SC Transport services;Denmark;2020 3rd quarter;158.0;310.0;152.0
8128;SC Transport services;Denmark;2020 4th quarter;161.0;317.0;157.0
8129;SC Transport services;Denmark;2020;607.0;1283.0;676.0
8130;SC Transport services;Denmark;2021 1st quarter;165.0;330.0;165.0
8131;SC Transport services;Denmark;2021 2nd quarter;164.0;361.0;197.0
8132;SC Transport services;Denmark;2021 3rd quarter;182.0;381.0;199.0
8133;SC Transport services;Denmark;2021 4th quarter;206.0;409.0;202.0
8134;SC Transport services;Denmark;2021;717.0;1480.0;763.0
8135;SC Transport services;Denmark;2022 1st quarter;207.0;409.0;202.0
8136;SC Transport services;Denmark;2022 2nd quarter;195.0;456.0;261.0
8137;SC Transport services;Denmark;2022 3rd quarter;226.0;676.0;450.0
8138;SC Transport services;Denmark;2022 4th quarter;215.0;690.0;475.0
8139;SC Transport services;Denmark;2022;843.0;2230.0;1387.0
8140;SC Transport services;Denmark;2023 1st quarter;206.0;441.0;235.0
8141;SC Transport services;Denmark;2023 2nd quarter;235.0;438.0;203.0
8142;SC Transport services;Denmark;2023 3rd quarter;186.0;438.0;252.0
8143;SC Transport services;Denmark;2023 4th quarter;198.0;477.0;278.0
8144;SC Transport services;Denmark;2023;825.0;1794.0;969.0
8145;SC Transport services;Denmark;2024 1st quarter;199.0;452.0;253.0
8146;SC Transport services;Denmark;2024 2nd quarter;247.0;451.0;203.0
8147;SC Transport services;Denmark;2024 3rd quarter;237.0;478.0;241.0
8148;SC Transport services;Denmark;2024 4th quarter;229.0;528.0;299.0
8149;SC Transport services;Denmark;2024;912.0;1908.0;997.0
8150;SC Transport services;Ecuador;2020 1st quarter;8.0;16.0;8.0
8151;SC Transport services;Ecuador;2020 2nd quarter;2.0;9.0;7.0
8152;SC Transport services;Ecuador;2020 3rd quarter;4.0;15.0;11.0
8153;SC Transport services;Ecuador;2020 4th quarter;4.0;17.0;13.0
8154;SC Transport services;Ecuador;2020;18.0;56.0;38.0
8155;SC Transport services;Ecuador;2021 1st quarter;4.0;15.0;11.0
8156;SC Transport services;Ecuador;2021 2nd quarter;4.0;13.0;9.0
8157;SC Transport services;Ecuador;2021 3rd quarter;5.0;18.0;14.0
8158;SC Transport services;Ecuador;2021 4th quarter;6.0;22.0;16.0
8159;SC Transport services;Ecuador;2021;18.0;69.0;50.0
8160;SC Transport services;Ecuador;2022 1st quarter;6.0;21.0;15.0
8161;SC Transport services;Ecuador;2022 2nd quarter;8.0;26.0;18.0
8162;SC Transport services;Ecuador;2022 3rd quarter;8.0;29.0;21.0
8163;SC Transport services;Ecuador;2022 4th quarter;8.0;31.0;23.0
8164;SC Transport services;Ecuador;2022;30.0;107.0;77.0
8165;SC Transport services;Ecuador;2023 1st quarter;7.0;25.0;17.0
8166;SC Transport services;Ecuador;2023 2nd quarter;7.0;24.0;18.0
8167;SC Transport services;Ecuador;2023 3rd quarter;13.0;23.0;10.0
8168;SC Transport services;Ecuador;2023 4th quarter;7.0;20.0;13.0
8169;SC Transport services;Ecuador;2023;34.0;92.0;57.0
8170;SC Transport services;Ecuador;2024 1st quarter;7.0;19.0;12.0
8171;SC Transport services;Ecuador;2024 2nd quarter;5.0;20.0;14.0
8172;SC Transport services;Ecuador;2024 3rd quarter;;;11.0
8173;SC Transport services;Ecuador;2024 4th quarter;;;8.0
8174;SC Transport services;Ecuador;2024;;;45.0
8175;SC Transport services;Egypt;2020 1st quarter;7.0;10.0;3.0
8176;SC Transport services;Egypt;2020 2nd quarter;17.0;8.0;-10.0
8177;SC Transport services;Egypt;2020 3rd quarter;6.0;8.0;2.0
8178;SC Transport services;Egypt;2020 4th quarter;3.0;9.0;5.0
8179;SC Transport services;Egypt;2020;34.0;34.0;0.0
8180;SC Transport services;Egypt;2021 1st quarter;6.0;16.0;10.0
8181;SC Transport services;Egypt;2021 2nd quarter;3.0;10.0;7.0
8182;SC Transport services;Egypt;2021 3rd quarter;4.0;14.0;10.0
8183;SC Transport services;Egypt;2021 4th quarter;5.0;12.0;8.0
8184;SC Transport services;Egypt;2021;18.0;52.0;34.0
8185;SC Transport services;Egypt;2022 1st quarter;7.0;11.0;4.0
8186;SC Transport services;Egypt;2022 2nd quarter;7.0;16.0;9.0
8187;SC Transport services;Egypt;2022 3rd quarter;19.0;15.0;-4.0
8188;SC Transport services;Egypt;2022 4th quarter;8.0;13.0;5.0
8189;SC Transport services;Egypt;2022;42.0;55.0;13.0
8190;SC Transport services;Egypt;2023 1st quarter;6.0;17.0;10.0
8191;SC Transport services;Egypt;2023 2nd quarter;9.0;14.0;6.0
8192;SC Transport services;Egypt;2023 3rd quarter;10.0;15.0;5.0
8193;SC Transport services;Egypt;2023 4th quarter;10.0;17.0;7.0
8194;SC Transport services;Egypt;2023;35.0;62.0;27.0
8195;SC Transport services;Egypt;2024 1st quarter;10.0;11.0;1.0
8196;SC Transport services;Egypt;2024 2nd quarter;8.0;9.0;1.0
8197;SC Transport services;Egypt;2024 3rd quarter;10.0;10.0;0.0
8198;SC Transport services;Egypt;2024 4th quarter;37.0;10.0;-26.0
8199;SC Transport services;Egypt;2024;65.0;41.0;-25.0
8200;SC Transport services;Estonia;2020 1st quarter;12.0;12.0;0.0
8201;SC Transport services;Estonia;2020 2nd quarter;13.0;11.0;-2.0
8202;SC Transport services;Estonia;2020 3rd quarter;15.0;10.0;-5.0
8203;SC Transport services;Estonia;2020 4th quarter;20.0;13.0;-7.0
8204;SC Transport services;Estonia;2020;61.0;47.0;-14.0
8205;SC Transport services;Estonia;2021 1st quarter;17.0;16.0;-2.0
8206;SC Transport services;Estonia;2021 2nd quarter;19.0;17.0;-2.0
8207;SC Transport services;Estonia;2021 3rd quarter;20.0;21.0;1.0
8208;SC Transport services;Estonia;2021 4th quarter;29.0;17.0;-12.0
8209;SC Transport services;Estonia;2021;85.0;70.0;-15.0
8210;SC Transport services;Estonia;2022 1st quarter;25.0;23.0;-1.0
8211;SC Transport services;Estonia;2022 2nd quarter;28.0;24.0;-5.0
8212;SC Transport services;Estonia;2022 3rd quarter;25.0;25.0;0.0
8213;SC Transport services;Estonia;2022 4th quarter;27.0;25.0;-2.0
8214;SC Transport services;Estonia;2022;105.0;97.0;-8.0
8215;SC Transport services;Estonia;2023 1st quarter;26.0;23.0;-3.0
8216;SC Transport services;Estonia;2023 2nd quarter;23.0;20.0;-2.0
8217;SC Transport services;Estonia;2023 3rd quarter;26.0;17.0;-8.0
8218;SC Transport services;Estonia;2023 4th quarter;26.0;22.0;-3.0
8219;SC Transport services;Estonia;2023;100.0;83.0;-17.0
8220;SC Transport services;Estonia;2024 1st quarter;24.0;20.0;-4.0
8221;SC Transport services;Estonia;2024 2nd quarter;30.0;19.0;-11.0
8222;SC Transport services;Estonia;2024 3rd quarter;27.0;21.0;-6.0
8223;SC Transport services;Estonia;2024 4th quarter;27.0;20.0;-7.0
8224;SC Transport services;Estonia;2024;108.0;80.0;-28.0
8225;SC Transport services;European Union Institutions (excl. ECB);2020 1st quarter;0.0;0.0;0.0
8226;SC Transport services;European Union Institutions (excl. ECB);2020 2nd quarter;0.0;0.0;0.0
8227;SC Transport services;European Union Institutions (excl. ECB);2020 3rd quarter;0.0;0.0;0.0
8228;SC Transport services;European Union Institutions (excl. ECB);2020 4th quarter;0.0;0.0;0.0
8229;SC Transport services;European Union Institutions (excl. ECB);2020;0.0;0.0;0.0
8230;SC Transport services;European Union Institutions (excl. ECB);2021 1st quarter;0.0;0.0;0.0
8231;SC Transport services;European Union Institutions (excl. ECB);2021 2nd quarter;0.0;0.0;0.0
8232;SC Transport services;European Union Institutions (excl. ECB);2021 3rd quarter;0.0;0.0;0.0
8233;SC Transport services;European Union Institutions (excl. ECB);2021 4th quarter;0.0;0.0;0.0
8234;SC Transport services;European Union Institutions (excl. ECB);2021;0.0;0.0;0.0
8235;SC Transport services;European Union Institutions (excl. ECB);2022 1st quarter;0.0;0.0;0.0
8236;SC Transport services;European Union Institutions (excl. ECB);2022 2nd quarter;0.0;0.0;0.0
8237;SC Transport services;European Union Institutions (excl. ECB);2022 3rd quarter;0.0;0.0;0.0
8238;SC Transport services;European Union Institutions (excl. ECB);2022 4th quarter;0.0;0.0;0.0
8239;SC Transport services;European Union Institutions (excl. ECB);2022;0.0;0.0;0.0
8240;SC Transport services;European Union Institutions (excl. ECB);2023 1st quarter;0.0;0.0;0.0
8241;SC Transport services;European Union Institutions (excl. ECB);2023 2nd quarter;0.0;0.0;0.0
8242;SC Transport services;European Union Institutions (excl. ECB);2023 3rd quarter;0.0;0.0;0.0
8243;SC Transport services;European Union Institutions (excl. ECB);2023 4th quarter;0.0;0.0;0.0
8244;SC Transport services;European Union Institutions (excl. ECB);2023;0.0;0.0;0.0
8245;SC Transport services;European Union Institutions (excl. ECB);2024 1st quarter;0.0;0.0;0.0
8246;SC Transport services;European Union Institutions (excl. ECB);2024 2nd quarter;0.0;0.0;0.0
8247;SC Transport services;European Union Institutions (excl. ECB);2024 3rd quarter;0.0;0.0;0.0
8248;SC Transport services;European Union Institutions (excl. ECB);2024 4th quarter;0.0;0.0;0.0
8249;SC Transport services;European Union Institutions (excl. ECB);2024;0.0;0.0;0.0
8250;SC Transport services;European Union (excl. the Netherlands);2020 1st quarter;5338.0;5686.0;348.0
8251;SC Transport services;European Union (excl. the Netherlands);2020 2nd quarter;4846.0;5037.0;191.0
8252;SC Transport services;European Union (excl. the Netherlands);2020 3rd quarter;5198.0;5338.0;140.0
8253;SC Transport services;European Union (excl. the Netherlands);2020 4th quarter;5612.0;5941.0;329.0
8254;SC Transport services;European Union (excl. the Netherlands);2020;20994.0;22002.0;1008.0
8255;SC Transport services;European Union (excl. the Netherlands);2021 1st quarter;5791.0;5703.0;-88.0
8256;SC Transport services;European Union (excl. the Netherlands);2021 2nd quarter;6301.0;6199.0;-103.0
8257;SC Transport services;European Union (excl. the Netherlands);2021 3rd quarter;6746.0;6578.0;-168.0
8258;SC Transport services;European Union (excl. the Netherlands);2021 4th quarter;7735.0;7609.0;-126.0
8259;SC Transport services;European Union (excl. the Netherlands);2021;26573.0;26088.0;-484.0
8260;SC Transport services;European Union (excl. the Netherlands);2022 1st quarter;7240.0;7573.0;333.0
8261;SC Transport services;European Union (excl. the Netherlands);2022 2nd quarter;8031.0;8448.0;416.0
8262;SC Transport services;European Union (excl. the Netherlands);2022 3rd quarter;8225.0;8618.0;393.0
8263;SC Transport services;European Union (excl. the Netherlands);2022 4th quarter;8252.0;9114.0;862.0
8264;SC Transport services;European Union (excl. the Netherlands);2022;31748.0;33752.0;2005.0
8265;SC Transport services;European Union (excl. the Netherlands);2023 1st quarter;8012.0;7453.0;-558.0
8266;SC Transport services;European Union (excl. the Netherlands);2023 2nd quarter;7282.0;7606.0;324.0
8267;SC Transport services;European Union (excl. the Netherlands);2023 3rd quarter;7171.0;7274.0;103.0
8268;SC Transport services;European Union (excl. the Netherlands);2023 4th quarter;7380.0;7607.0;227.0
8269;SC Transport services;European Union (excl. the Netherlands);2023;29844.0;29940.0;96.0
8270;SC Transport services;European Union (excl. the Netherlands);2024 1st quarter;7130.0;7359.0;229.0
8271;SC Transport services;European Union (excl. the Netherlands);2024 2nd quarter;7390.0;7936.0;547.0
8272;SC Transport services;European Union (excl. the Netherlands);2024 3rd quarter;7619.0;8019.0;400.0
8273;SC Transport services;European Union (excl. the Netherlands);2024 4th quarter;8102.0;8402.0;300.0
8274;SC Transport services;European Union (excl. the Netherlands);2024;30241.0;31716.0;1475.0
8275;SC Transport services;Eurozone (excl. the Netherlands);2020 1st quarter;4256.0;4628.0;372.0
8276;SC Transport services;Eurozone (excl. the Netherlands);2020 2nd quarter;3852.0;4115.0;263.0
8277;SC Transport services;Eurozone (excl. the Netherlands);2020 3rd quarter;4098.0;4386.0;287.0
8278;SC Transport services;Eurozone (excl. the Netherlands);2020 4th quarter;4444.0;4886.0;443.0
8279;SC Transport services;Eurozone (excl. the Netherlands);2020;16650.0;18015.0;1365.0
8280;SC Transport services;Eurozone (excl. the Netherlands);2021 1st quarter;4553.0;4619.0;66.0
8281;SC Transport services;Eurozone (excl. the Netherlands);2021 2nd quarter;5025.0;5035.0;10.0
8282;SC Transport services;Eurozone (excl. the Netherlands);2021 3rd quarter;5402.0;5371.0;-31.0
8283;SC Transport services;Eurozone (excl. the Netherlands);2021 4th quarter;6166.0;6253.0;87.0
8284;SC Transport services;Eurozone (excl. the Netherlands);2021;21146.0;21277.0;132.0
8285;SC Transport services;Eurozone (excl. the Netherlands);2022 1st quarter;5955.0;6326.0;371.0
8286;SC Transport services;Eurozone (excl. the Netherlands);2022 2nd quarter;6621.0;7078.0;458.0
8287;SC Transport services;Eurozone (excl. the Netherlands);2022 3rd quarter;6738.0;7018.0;281.0
8288;SC Transport services;Eurozone (excl. the Netherlands);2022 4th quarter;6724.0;7433.0;708.0
8289;SC Transport services;Eurozone (excl. the Netherlands);2022;26038.0;27855.0;1818.0
8290;SC Transport services;Eurozone (excl. the Netherlands);2023 1st quarter;6505.0;6066.0;-439.0
8291;SC Transport services;Eurozone (excl. the Netherlands);2023 2nd quarter;5779.0;6211.0;432.0
8292;SC Transport services;Eurozone (excl. the Netherlands);2023 3rd quarter;5727.0;5940.0;213.0
8293;SC Transport services;Eurozone (excl. the Netherlands);2023 4th quarter;5867.0;6171.0;304.0
8294;SC Transport services;Eurozone (excl. the Netherlands);2023;23878.0;24388.0;510.0
8295;SC Transport services;Eurozone (excl. the Netherlands);2024 1st quarter;5628.0;5952.0;324.0
8296;SC Transport services;Eurozone (excl. the Netherlands);2024 2nd quarter;5796.0;6475.0;679.0
8297;SC Transport services;Eurozone (excl. the Netherlands);2024 3rd quarter;5981.0;6514.0;533.0
8298;SC Transport services;Eurozone (excl. the Netherlands);2024 4th quarter;6265.0;6782.0;517.0
8299;SC Transport services;Eurozone (excl. the Netherlands);2024;23670.0;25723.0;2053.0
8300;SC Transport services;Finland;2020 1st quarter;45.0;217.0;171.0
8301;SC Transport services;Finland;2020 2nd quarter;42.0;189.0;147.0
8302;SC Transport services;Finland;2020 3rd quarter;38.0;206.0;168.0
8303;SC Transport services;Finland;2020 4th quarter;41.0;216.0;175.0
8304;SC Transport services;Finland;2020;166.0;828.0;661.0
8305;SC Transport services;Finland;2021 1st quarter;42.0;205.0;163.0
8306;SC Transport services;Finland;2021 2nd quarter;53.0;233.0;180.0
8307;SC Transport services;Finland;2021 3rd quarter;54.0;268.0;214.0
8308;SC Transport services;Finland;2021 4th quarter;56.0;303.0;248.0
8309;SC Transport services;Finland;2021;206.0;1010.0;804.0
8310;SC Transport services;Finland;2022 1st quarter;60.0;277.0;217.0
8311;SC Transport services;Finland;2022 2nd quarter;71.0;320.0;249.0
8312;SC Transport services;Finland;2022 3rd quarter;62.0;342.0;280.0
8313;SC Transport services;Finland;2022 4th quarter;61.0;337.0;276.0
8314;SC Transport services;Finland;2022;253.0;1275.0;1022.0
8315;SC Transport services;Finland;2023 1st quarter;65.0;259.0;193.0
8316;SC Transport services;Finland;2023 2nd quarter;67.0;262.0;195.0
8317;SC Transport services;Finland;2023 3rd quarter;61.0;246.0;185.0
8318;SC Transport services;Finland;2023 4th quarter;64.0;267.0;203.0
8319;SC Transport services;Finland;2023;257.0;1033.0;776.0
8320;SC Transport services;Finland;2024 1st quarter;61.0;271.0;210.0
8321;SC Transport services;Finland;2024 2nd quarter;67.0;278.0;211.0
8322;SC Transport services;Finland;2024 3rd quarter;73.0;316.0;243.0
8323;SC Transport services;Finland;2024 4th quarter;57.0;330.0;273.0
8324;SC Transport services;Finland;2024;258.0;1195.0;937.0
8325;SC Transport services;France;2020 1st quarter;858.0;671.0;-187.0
8326;SC Transport services;France;2020 2nd quarter;706.0;536.0;-169.0
8327;SC Transport services;France;2020 3rd quarter;801.0;583.0;-218.0
8328;SC Transport services;France;2020 4th quarter;898.0;650.0;-248.0
8329;SC Transport services;France;2020;3263.0;2440.0;-823.0
8330;SC Transport services;France;2021 1st quarter;957.0;626.0;-331.0
8331;SC Transport services;France;2021 2nd quarter;1141.0;674.0;-467.0
8332;SC Transport services;France;2021 3rd quarter;1255.0;709.0;-546.0
8333;SC Transport services;France;2021 4th quarter;1436.0;856.0;-580.0
8334;SC Transport services;France;2021;4789.0;2865.0;-1924.0
8335;SC Transport services;France;2022 1st quarter;1381.0;781.0;-600.0
8336;SC Transport services;France;2022 2nd quarter;1541.0;969.0;-572.0
8337;SC Transport services;France;2022 3rd quarter;1614.0;861.0;-753.0
8338;SC Transport services;France;2022 4th quarter;1522.0;849.0;-673.0
8339;SC Transport services;France;2022;6058.0;3461.0;-2598.0
8340;SC Transport services;France;2023 1st quarter;1339.0;852.0;-487.0
8341;SC Transport services;France;2023 2nd quarter;758.0;864.0;105.0
8342;SC Transport services;France;2023 3rd quarter;755.0;844.0;88.0
8343;SC Transport services;France;2023 4th quarter;809.0;881.0;72.0
8344;SC Transport services;France;2023;3662.0;3441.0;-221.0
8345;SC Transport services;France;2024 1st quarter;793.0;761.0;-31.0
8346;SC Transport services;France;2024 2nd quarter;810.0;963.0;152.0
8347;SC Transport services;France;2024 3rd quarter;843.0;885.0;42.0
8348;SC Transport services;France;2024 4th quarter;758.0;899.0;141.0
8349;SC Transport services;France;2024;3205.0;3508.0;304.0
8350;SC Transport services;Germany;2020 1st quarter;1082.0;1729.0;648.0
8351;SC Transport services;Germany;2020 2nd quarter;979.0;1622.0;643.0
