ID;OriginDestination;Periods;NetEnergyConsumption_1;TapWaterUse_2;SolidWasteProduction_3;HeavyMetalsToWater_4;NutrientsToWater_5;ClimateChangeGreenhouseGases_6;Acidification_7;OzoneLayerDepletion_8;FineDust_9;RevenuesEnvironmentalFeesAndTaxes_10;EnvironmentalExpenditure_11;EnvironmentalInvestment_12;LabourInputOfEmployedPersons_13;GrossValueAddedAtBasicPrices_14;LabourInputOfEmployedPersons_15;OutputAtBasicPrices_16;GrossValueAddedAtBasicPrices_17;GrossFixedCapitalFormation_18
516;E Water supply and waste management;2007;66.0;3.2;2245.0;15.0;5225.0;8120.0;0.1;101.9;0.1;268.0;;;29.0;3501.0;35.0;10413.0;4062.0;1458.0
517;E Water supply and waste management;2008;78.0;4.3;2174.0;11.0;4927.0;9074.0;0.1;99.4;0.2;270.0;;;30.0;3748.0;35.0;10869.0;4173.0;1976.0
518;E Water supply and waste management;2009;79.0;3.8;912.0;11.0;4325.0;9735.0;0.1;93.3;0.2;255.0;;;31.0;3757.0;36.0;10936.0;4212.0;1972.0
519;E Water supply and waste management;2010;83.0;3.9;951.0;11.0;4755.0;9736.0;0.2;90.1;0.2;263.0;;;31.0;3866.0;36.0;11002.0;4221.0;2142.0
520;E Water supply and waste management;2011;83.0;2.7;;;;10344.0;0.2;88.8;0.2;258.0;;;31.0;4006.0;36.0;11332.0;4265.0;2119.0
521;E Water supply and waste management;2012;94.0;;;;;10327.0;0.2;85.9;0.2;238.0;;;;;36.0;11471.0;4256.0;1944.0
522;F Construction;1995;68.0;;;1.0;6.0;3513.0;0.7;27.5;3.1;153.0;;;14.0;599.0;415.0;58815.0;23540.0;1146.0
523;F Construction;1996;70.0;;;1.0;6.0;3570.0;0.8;0.0;3.1;166.0;;;13.0;584.0;424.0;60879.0;23223.0;1546.0
524;F Construction;1997;70.0;;;1.0;6.0;3658.0;0.8;0.0;3.2;164.0;;;13.0;613.0;444.0;62438.0;23677.0;1679.0
525;F Construction;1998;69.0;;;1.0;0.0;3789.0;0.8;0.0;3.1;185.0;;;13.0;642.0;452.0;64843.0;24464.0;1760.0
526;F Construction;1999;67.0;;;1.0;0.0;3716.0;0.8;25.0;3.0;209.0;;;14.0;706.0;467.0;68983.0;25868.0;2299.0
527;F Construction;2000;64.0;;;1.0;0.0;4035.0;0.8;25.0;3.1;247.0;;;14.0;777.0;478.0;72195.0;26783.0;1992.0
528;F Construction;2001;71.0;;;1.0;0.0;4171.0;0.8;25.0;3.2;253.0;;;16.0;888.0;491.0;73833.0;27279.0;2490.0
529;F Construction;2002;72.0;;23822.0;1.0;0.0;3901.0;0.8;25.0;3.0;236.0;;;15.0;874.0;485.0;70782.0;26426.0;1812.0
530;F Construction;2003;69.0;2.8;23857.0;1.0;0.0;3877.0;0.7;25.0;2.8;229.0;;;16.0;953.0;467.0;67907.0;25127.0;1470.0
531;F Construction;2004;71.0;2.7;24011.0;1.0;0.0;3972.0;0.7;25.0;2.7;230.0;;;17.0;986.0;457.0;66772.0;24487.0;1475.0
532;F Construction;2005;73.0;2.7;23619.0;1.0;0.0;3930.0;0.7;25.0;2.7;264.0;;;18.0;1039.0;456.0;68720.0;25264.0;1574.0
533;F Construction;2006;70.0;2.7;24609.0;1.0;0.0;3858.0;0.7;25.0;2.6;290.0;;;18.0;1124.0;463.0;71427.0;25860.0;1786.0
534;F Construction;2007;72.0;2.8;24531.0;1.0;0.0;3995.0;0.6;25.0;2.5;289.0;;;20.0;1265.0;469.0;76055.0;27301.0;2197.0
535;F Construction;2008;71.0;2.8;25820.0;1.0;0.0;4106.0;0.6;25.0;2.5;295.0;;;19.0;1299.0;475.0;79117.0;28177.0;2465.0
536;F Construction;2009;66.0;2.7;24642.0;1.0;1.0;4100.0;0.6;25.0;2.4;273.0;;;20.0;1303.0;467.0;74622.0;26636.0;2027.0
537;F Construction;2010;65.0;2.6;23832.0;1.0;1.0;4014.0;0.5;25.0;2.2;242.0;;;18.0;1142.0;456.0;65960.0;23810.0;1718.0
538;F Construction;2011;61.0;2.6;;;;4046.0;0.5;25.0;2.2;233.0;;;18.0;1180.0;448.0;68718.0;25048.0;2030.0
539;F Construction;2012;59.0;;;;;3992.0;0.5;25.0;1.9;221.0;;;;;440.0;63588.0;23006.0;1884.0
540;G-I Trade, transport, hotels, catering;1995;424.0;;;6.0;20.0;28266.0;8.7;21.4;15.1;1373.0;;;9.0;1573.0;1453.0;119717.0;63216.0;9252.0
541;G-I Trade, transport, hotels, catering;1996;452.0;;;6.0;84.0;30067.0;8.8;18.2;14.7;1477.0;;;10.0;1538.0;1475.0;126041.0;65578.0;9418.0
542;G-I Trade, transport, hotels, catering;1997;466.0;;;6.0;126.0;31090.0;9.1;12.0;15.1;1552.0;;;11.0;1381.0;1503.0;134706.0;70539.0;9558.0
543;G-I Trade, transport, hotels, catering;1998;488.0;;;6.0;169.0;32249.0;9.7;5.9;15.3;1629.0;;;11.0;1492.0;1532.0;143582.0;75190.0;11093.0
544;G-I Trade, transport, hotels, catering;1999;511.0;;;6.0;211.0;33715.0;11.0;2.9;16.8;1731.0;;;11.0;1528.0;1580.0;151755.0;79653.0;12621.0
545;G-I Trade, transport, hotels, catering;2000;517.0;;;6.0;233.0;34274.0;11.2;1.5;17.6;1789.0;;;12.0;1756.0;1616.0;159315.0;83634.0;12620.0
546;G-I Trade, transport, hotels, catering;2001;522.0;;;6.0;154.0;34380.0;10.8;0.6;15.8;1816.0;;;12.0;1674.0;1626.0;160849.0;83667.0;12201.0
547;G-I Trade, transport, hotels, catering;2002;521.0;;;6.0;101.0;34090.0;10.2;0.0;14.6;1814.0;;;12.0;1688.0;1612.0;159970.0;82521.0;11948.0
548;G-I Trade, transport, hotels, catering;2003;529.0;30.8;;7.0;48.0;34648.0;10.6;0.0;14.5;1825.0;;;13.0;1689.0;1586.0;158284.0;83782.0;12635.0
549;G-I Trade, transport, hotels, catering;2004;537.0;30.8;;7.0;22.0;34699.0;10.7;0.0;13.9;1903.0;;;12.0;1963.0;1582.0;162830.0;87083.0;11125.0
550;G-I Trade, transport, hotels, catering;2005;561.0;30.7;;5.0;35.0;34772.0;10.9;0.0;14.2;2152.0;;;13.0;2054.0;1566.0;167508.0;90548.0;11662.0
551;G-I Trade, transport, hotels, catering;2006;544.0;31.2;;6.0;253.0;34641.0;9.4;0.0;12.3;2370.0;;;13.0;2442.0;1584.0;175854.0;95930.0;12480.0
552;G-I Trade, transport, hotels, catering;2007;547.0;32.1;;5.0;33.0;35399.0;9.5;0.0;12.3;2410.0;;;13.0;2648.0;1628.0;184666.0;101209.0;13111.0
553;G-I Trade, transport, hotels, catering;2008;542.0;32.7;;7.0;7.0;36170.0;9.4;0.0;11.9;2605.0;;;14.0;2796.0;1628.0;186688.0;101700.0;15658.0
554;G-I Trade, transport, hotels, catering;2009;534.0;32.1;;6.0;5.0;34239.0;8.8;0.0;11.4;2523.0;;;14.0;2395.0;1596.0;175008.0;94751.0;12689.0
555;G-I Trade, transport, hotels, catering;2010;547.0;32.3;0.0;6.0;4.0;34688.0;7.9;0.0;10.5;2527.0;;;15.0;3728.0;1588.0;179064.0;97760.0;12787.0
556;G-I Trade, transport, hotels, catering;2011;539.0;33.0;;;;34603.0;7.4;0.0;9.1;2534.0;;;15.0;3975.0;1612.0;182205.0;100240.0;14086.0
557;G-I Trade, transport, hotels, catering;2012;548.0;;;;;34956.0;7.4;0.0;8.7;2467.0;;;;;1619.0;180311.0;99131.0;14353.0
558;J Information and communication;1995;10.0;;;0.0;0.0;409.0;0.0;3.1;0.1;42.0;;;0.0;1.0;137.0;18819.0;8870.0;2067.0
559;J Information and communication;1996;11.0;;;0.0;0.0;453.0;0.0;2.8;0.1;55.0;;;0.0;1.0;153.0;20778.0;9731.0;2347.0
560;J Information and communication;1997;11.0;;;0.0;0.0;396.0;0.0;2.1;0.1;62.0;;;0.0;2.0;173.0;24560.0;11605.0;3177.0
561;J Information and communication;1998;11.0;;;0.0;0.0;433.0;0.0;1.1;0.1;68.0;;;0.0;2.0;195.0;29258.0;13721.0;4008.0
562;J Information and communication;1999;11.0;;;0.0;0.0;412.0;0.0;0.6;0.1;87.0;;;0.0;2.0;215.0;34962.0;16199.0;6296.0
563;J Information and communication;2000;11.0;;;0.0;0.0;444.0;0.0;0.3;0.1;99.0;;;0.0;3.0;231.0;40293.0;18797.0;6603.0
564;J Information and communication;2001;12.0;;;0.0;0.0;473.0;0.0;0.1;0.1;82.0;;;0.0;3.0;252.0;44523.0;20684.0;5469.0
565;J Information and communication;2002;12.0;;;0.0;0.0;506.0;0.0;0.0;0.1;87.0;;;0.0;6.0;235.0;45376.0;21577.0;3276.0
566;J Information and communication;2003;12.0;0.8;;0.0;0.0;524.0;0.0;0.0;0.1;80.0;;;0.0;5.0;223.0;45717.0;22284.0;2744.0
567;J Information and communication;2004;13.0;0.8;;0.0;0.0;543.0;0.0;0.0;0.1;94.0;;;0.0;6.0;214.0;45787.0;22424.0;2935.0
568;J Information and communication;2005;12.0;0.8;;0.0;0.0;507.0;0.0;0.0;0.1;119.0;;;0.0;8.0;220.0;47428.0;23372.0;3356.0
569;J Information and communication;2006;13.0;0.8;;0.0;0.0;595.0;0.0;0.0;0.1;134.0;;;0.0;8.0;229.0;49671.0;24721.0;3611.0
570;J Information and communication;2007;13.0;0.8;;0.0;0.0;538.0;0.0;0.0;0.1;129.0;;;0.0;7.0;237.0;52493.0;26253.0;3742.0
571;J Information and communication;2008;13.0;0.8;;0.0;0.0;551.0;0.0;0.0;0.0;147.0;;;0.0;17.0;245.0;53297.0;26906.0;3944.0
572;J Information and communication;2009;13.0;0.8;;0.0;0.0;543.0;0.0;0.0;0.0;145.0;;;0.0;14.0;238.0;51167.0;25869.0;3361.0
573;J Information and communication;2010;17.0;0.7;0.0;0.0;0.0;627.0;0.0;0.0;0.1;142.0;;;0.0;19.0;229.0;50490.0;25646.0;3350.0
574;J Information and communication;2011;16.0;0.7;;;;539.0;0.0;0.0;0.1;133.0;;;0.0;23.0;233.0;50680.0;25742.0;3323.0
575;J Information and communication;2012;17.0;;;;;584.0;0.0;0.0;0.1;127.0;;;;;236.0;49722.0;25265.0;3484.0
576;K Financial institutions;1995;17.0;;;0.0;0.0;467.0;0.1;5.3;0.2;92.0;;;;;215.0;41266.0;24329.0;3603.0
577;K Financial institutions;1996;19.0;;;0.0;0.0;490.0;0.1;4.6;0.2;108.0;;;;;220.0;43762.0;25530.0;4586.0
578;K Financial institutions;1997;18.0;;;0.0;0.0;463.0;0.0;3.1;0.2;120.0;;;;;233.0;48252.0;27518.0;5315.0
579;K Financial institutions;1998;19.0;;;0.0;0.0;488.0;0.0;1.6;0.2;116.0;;;;;244.0;52432.0;29153.0;7101.0
580;K Financial institutions;1999;18.0;;;0.0;0.0;480.0;0.0;0.8;0.2;127.0;;;;;253.0;54892.0;30233.0;6910.0
581;K Financial institutions;2000;18.0;;;0.0;0.0;465.0;0.0;0.4;0.2;144.0;;;;;261.0;58204.0;29513.0;7604.0
582;K Financial institutions;2001;20.0;;;0.0;0.0;530.0;0.1;0.2;0.2;156.0;;;;;261.0;58275.0;29672.0;6732.0
583;K Financial institutions;2002;21.0;;;0.0;0.0;554.0;0.1;0.0;0.2;138.0;;;;;259.0;57069.0;30185.0;6049.0
584;K Financial institutions;2003;22.0;1.9;;0.0;0.0;593.0;0.1;0.0;0.2;137.0;;;;;251.0;57628.0;31609.0;5290.0
585;K Financial institutions;2004;23.0;1.8;;0.0;0.0;610.0;0.1;0.0;0.2;155.0;;;;;245.0;60617.0;34053.0;5385.0
586;K Financial institutions;2005;22.0;1.9;;0.0;0.0;631.0;0.1;0.0;0.2;170.0;;;;;246.0;63684.0;35093.0;4979.0
587;K Financial institutions;2006;24.0;1.9;;0.0;0.0;708.0;0.1;0.0;0.2;196.0;;;;;254.0;68262.0;36972.0;5853.0
588;K Financial institutions;2007;23.0;1.9;;0.0;0.0;686.0;0.1;0.0;0.2;204.0;;;;;255.0;72002.0;38608.0;5162.0
589;K Financial institutions;2008;23.0;1.9;;0.0;0.0;677.0;0.1;0.0;0.1;204.0;;;;;248.0;77367.0;41116.0;5815.0
590;K Financial institutions;2009;23.0;1.9;;0.0;0.0;642.0;0.0;0.0;0.1;194.0;;;;;246.0;76337.0;40678.0;4934.0
591;K Financial institutions;2010;22.0;1.8;0.0;0.0;0.0;696.0;0.0;0.0;0.1;192.0;;;;;238.0;76211.0;41741.0;4005.0
592;K Financial institutions;2011;19.0;1.8;;;;583.0;0.0;0.0;0.1;201.0;;;;;234.0;74864.0;41044.0;5754.0
593;K Financial institutions;2012;20.0;;;;;623.0;0.0;0.0;0.1;206.0;;;;;228.0;72147.0;39822.0;5991.0
594;L Renting, buying, selling real estate;1995;15.0;;;0.0;0.0;239.0;0.0;0.9;0.0;45.0;;;;;50.0;41901.0;27633.0;17926.0
595;L Renting, buying, selling real estate;1996;17.0;;;0.0;0.0;235.0;0.0;0.8;0.0;51.0;;;;;51.0;43399.0;28654.0;19105.0
596;L Renting, buying, selling real estate;1997;15.0;;;0.0;1.0;214.0;0.0;0.5;0.0;50.0;;;;;53.0;45202.0;29786.0;21339.0
597;L Renting, buying, selling real estate;1998;16.0;;;0.0;1.0;216.0;0.0;0.3;0.0;55.0;;;;;55.0;46405.0;30458.0;22197.0
598;L Renting, buying, selling real estate;1999;15.0;;;0.0;1.0;190.0;0.0;0.1;0.0;57.0;;;;;55.0;47893.0;31229.0;24340.0
599;L Renting, buying, selling real estate;2000;16.0;;;0.0;1.0;181.0;0.0;0.1;0.0;61.0;;;;;56.0;49197.0;31895.0;25412.0
600;L Renting, buying, selling real estate;2001;17.0;;;0.0;1.0;183.0;0.0;0.0;0.0;59.0;;;;;58.0;49977.0;32418.0;29222.0
601;L Renting, buying, selling real estate;2002;18.0;;;0.0;1.0;190.0;0.0;0.0;0.0;51.0;;;;;60.0;50744.0;32811.0;29671.0
602;L Renting, buying, selling real estate;2003;19.0;3.5;;0.0;1.0;213.0;0.0;0.0;0.0;57.0;;;;;61.0;51383.0;32997.0;29137.0
603;L Renting, buying, selling real estate;2004;20.0;3.5;;0.0;0.0;206.0;0.0;0.0;0.0;58.0;;;;;61.0;52404.0;33132.0;31278.0
604;L Renting, buying, selling real estate;2005;18.0;3.5;;0.0;0.0;193.0;0.0;0.0;0.0;59.0;;;;;62.0;53223.0;33212.0;33793.0
605;L Renting, buying, selling real estate;2006;20.0;3.6;;0.0;0.0;217.0;0.0;0.0;0.0;65.0;;;;;63.0;53872.0;33234.0;37087.0
606;L Renting, buying, selling real estate;2007;19.0;3.7;;0.0;0.0;202.0;0.0;0.0;0.0;65.0;;;;;64.0;54568.0;33331.0;40536.0
607;L Renting, buying, selling real estate;2008;20.0;3.8;;0.0;0.0;214.0;0.0;0.0;0.0;67.0;;;;;66.0;55000.0;33475.0;41230.0
608;L Renting, buying, selling real estate;2009;19.0;3.8;;0.0;6.0;171.0;0.0;0.0;0.0;63.0;;;;;67.0;54193.0;33365.0;36299.0
609;L Renting, buying, selling real estate;2010;21.0;3.6;0.0;0.0;0.0;188.0;0.0;0.0;0.0;67.0;;;;;63.0;53960.0;33844.0;31037.0
610;L Renting, buying, selling real estate;2011;18.0;3.6;;;;147.0;0.0;0.0;0.0;64.0;;;;;62.0;54494.0;34467.0;29799.0
611;L Renting, buying, selling real estate;2012;19.0;;;;;156.0;0.0;0.0;0.0;63.0;;;;;60.0;54372.0;34982.0;25953.0
612;M-N Business services;1995;45.0;;;1.0;3.0;2558.0;0.4;11.8;1.1;1072.0;;;5.0;293.0;714.0;67987.0;37470.0;4015.0
613;M-N Business services;1996;48.0;;;1.0;4.0;2674.0;0.3;10.7;1.0;1186.0;;;6.0;336.0;782.0;74174.0;40902.0;4630.0
614;M-N Business services;1997;46.0;;;1.0;5.0;2600.0;0.3;7.4;1.0;1304.0;;;6.0;303.0;833.0;79408.0;43108.0;5280.0
615;M-N Business services;1998;48.0;;;1.0;6.0;2691.0;0.3;3.7;1.0;1490.0;;;7.0;394.0;876.0;84243.0;45167.0;6367.0
616;M-N Business services;1999;48.0;;;1.0;6.0;2688.0;0.3;1.9;1.0;1747.0;;;7.0;386.0;913.0;90413.0;48227.0;7170.0
617;M-N Business services;2000;48.0;;;1.0;7.0;2793.0;0.3;1.0;0.9;1873.0;;;7.0;418.0;936.0;96170.0;50339.0;7425.0
618;M-N Business services;2001;51.0;;;1.0;6.0;3016.0;0.3;0.4;0.9;1945.0;;;9.0;526.0;944.0;99925.0;52365.0;8181.0
619;M-N Business services;2002;53.0;;507.0;2.0;6.0;2967.0;0.3;0.0;0.9;1829.0;;;10.0;578.0;924.0;95153.0;49802.0;7750.0
620;M-N Business services;2003;55.0;3.4;448.0;2.0;5.0;3037.0;0.3;0.0;0.8;1896.0;;;9.0;525.0;897.0;91066.0;47988.0;7625.0
621;M-N Business services;2004;57.0;3.4;446.0;2.0;4.0;3137.0;0.3;0.0;0.8;2094.0;;;10.0;605.0;900.0;91772.0;48133.0;8052.0
622;M-N Business services;2005;56.0;3.4;522.0;1.0;4.0;3105.0;0.3;0.0;0.8;2241.0;;;10.0;634.0;929.0;94625.0;50029.0;8446.0
623;M-N Business services;2006;60.0;3.6;753.0;1.0;3.0;3407.0;0.3;0.0;0.8;2443.0;;;11.0;676.0;986.0;99470.0;53293.0;9302.0
624;M-N Business services;2007;61.0;3.7;1086.0;1.0;0.0;3361.0;0.3;0.0;0.8;2597.0;;;11.0;732.0;1047.0;104308.0;56700.0;10318.0
625;M-N Business services;2008;66.0;3.8;1063.0;1.0;0.0;3679.0;0.3;0.0;0.8;2555.0;;;12.0;874.0;1086.0;108205.0;59009.0;10412.0
626;M-N Business services;2009;62.0;3.8;1035.0;2.0;91.0;3458.0;0.3;0.0;0.7;2037.0;;;12.0;828.0;1042.0;102189.0;55078.0;7291.0
627;M-N Business services;2010;55.0;3.6;1003.0;1.0;0.0;3237.0;0.2;0.0;0.5;1994.0;;;12.0;873.0;1010.0;99968.0;53590.0;7352.0
628;M-N Business services;2011;48.0;3.7;;;;2700.0;0.2;0.0;0.5;1941.0;;;12.0;892.0;1023.0;99789.0;53639.0;8530.0
629;M-N Business services;2012;50.0;;;;;2806.0;0.2;0.0;0.4;1753.0;;;;;1023.0;98775.0;53019.0;8545.0
630;O-Q Government and care;1995;93.0;;;29.0;9.0;5021.0;0.5;25.1;0.7;342.0;;;12.0;784.0;1336.0;110407.0;80516.0;10663.0
631;O-Q Government and care;1996;104.0;;;10.0;11.0;5430.0;0.5;20.8;0.7;377.0;;;12.0;824.0;1342.0;111642.0;80657.0;11694.0
632;O-Q Government and care;1997;93.0;;;9.0;12.0;4781.0;0.5;13.5;0.7;429.0;;;12.0;841.0;1370.0;113481.0;81750.0;10875.0
633;O-Q Government and care;1998;100.0;;;8.0;13.0;5037.0;0.5;6.7;0.7;464.0;;;12.0;878.0;1419.0;116093.0;82977.0;11653.0
634;O-Q Government and care;1999;89.0;;;7.0;14.0;4614.0;0.5;3.3;0.7;529.0;;;12.0;961.0;1443.0;119379.0;83879.0;12705.0
635;O-Q Government and care;2000;94.0;;;6.0;14.0;4562.0;0.5;1.6;0.7;579.0;;;12.0;988.0;1468.0;121598.0;85116.0;14349.0
636;O-Q Government and care;2001;102.0;;;6.0;15.0;5054.0;0.4;0.7;0.6;572.0;;;13.0;1063.0;1521.0;126978.0;87226.0;15398.0
637;O-Q Government and care;2002;108.0;;;6.0;16.0;5471.0;0.5;0.0;0.6;588.0;;;14.0;1189.0;1588.0;131470.0;90027.0;17070.0
638;O-Q Government and care;2003;110.0;24.2;;5.0;17.0;5759.0;0.5;0.0;0.6;570.0;;;14.0;1278.0;1641.0;135482.0;92306.0;19068.0
639;O-Q Government and care;2004;109.0;24.2;;5.0;18.0;5717.0;0.4;0.0;0.6;610.0;;;14.0;1310.0;1636.0;136275.0;93069.0;18606.0
640;O-Q Government and care;2005;101.0;24.2;;4.0;16.0;5094.0;0.4;0.0;0.6;714.0;;;14.0;1320.0;1634.0;137717.0;93645.0;18905.0
641;O-Q Government and care;2006;113.0;24.5;;4.0;7.0;5608.0;0.4;0.0;0.6;794.0;;;14.0;1377.0;1647.0;141113.0;94504.0;20136.0
642;O-Q Government and care;2007;110.0;24.8;;4.0;2.0;5094.0;0.4;0.0;0.6;802.0;;;13.0;1402.0;1663.0;144611.0;96003.0;21813.0
643;O-Q Government and care;2008;116.0;25.3;;5.0;0.0;5528.0;0.4;0.0;0.6;852.0;;;12.0;1408.0;1702.0;149118.0;98740.0;23340.0
644;O-Q Government and care;2009;118.0;25.8;;3.0;0.0;5536.0;0.4;0.0;0.5;806.0;;;12.0;1376.0;1738.0;155454.0;102374.0;24633.0
645;O-Q Government and care;2010;123.0;26.7;0.0;3.0;0.0;6165.0;0.3;0.0;0.4;815.0;;;12.0;1466.0;1787.0;156632.0;104721.0;24233.0
646;O-Q Government and care;2011;99.0;27.0;;;;5050.0;0.3;0.0;0.4;792.0;;;12.0;1480.0;1801.0;157001.0;106503.0;22988.0
647;O-Q Government and care;2012;109.0;;;;;5612.0;0.3;0.0;0.4;727.0;;;;;1794.0;156269.0;106803.0;23577.0
648;R-U Culture, recreation, other services;1995;27.0;;;0.0;1.0;1410.0;0.1;2.4;0.2;86.0;;;1.0;28.0;262.0;16397.0;9718.0;898.0
649;R-U Culture, recreation, other services;1996;30.0;;;0.0;2.0;1584.0;0.1;2.1;0.2;97.0;;;1.0;37.0;273.0;16786.0;9878.0;894.0
650;R-U Culture, recreation, other services;1997;28.0;;;0.0;2.0;1494.0;0.1;1.4;0.1;96.0;;;1.0;39.0;284.0;17443.0;10132.0;1009.0
651;R-U Culture, recreation, other services;1998;29.0;;;0.0;3.0;1542.0;0.1;0.7;0.1;103.0;;;1.0;46.0;291.0;18198.0;10447.0;1096.0
652;R-U Culture, recreation, other services;1999;26.0;;;0.0;4.0;1306.0;0.1;0.3;0.1;122.0;;;1.0;49.0;290.0;18992.0;10678.0;1124.0
653;R-U Culture, recreation, other services;2000;28.0;;;;;1386.0;0.1;0.2;0.1;117.0;;;2.0;56.0;294.0;19753.0;11043.0;1132.0
654;R-U Culture, recreation, other services;2001;31.0;;;0.0;4.0;1504.0;0.1;0.1;0.1;113.0;;;2.0;63.0;300.0;20515.0;11499.0;1166.0
655;R-U Culture, recreation, other services;2002;32.0;;;0.0;3.0;1641.0;0.1;0.0;0.1;120.0;;;1.0;60.0;296.0;20733.0;11631.0;1225.0
656;R-U Culture, recreation, other services;2003;34.0;18.4;;0.0;2.0;1761.0;0.1;0.0;0.2;126.0;;;2.0;70.0;296.0;20603.0;11339.0;1159.0
657;R-U Culture, recreation, other services;2004;35.0;18.3;;0.0;1.0;1692.0;0.1;0.0;0.1;143.0;;;2.0;77.0;296.0;20545.0;11209.0;1171.0
658;R-U Culture, recreation, other services;2005;32.0;18.7;;0.0;1.0;1564.0;0.1;0.0;0.1;173.0;;;2.0;80.0;298.0;20827.0;11380.0;1292.0
659;R-U Culture, recreation, other services;2006;36.0;19.0;;0.0;0.0;1810.0;0.1;0.0;0.1;195.0;;;2.0;74.0;302.0;21332.0;11611.0;1373.0
660;R-U Culture, recreation, other services;2007;33.0;19.6;;0.0;0.0;1606.0;0.1;0.0;0.1;191.0;;;2.0;74.0;308.0;21938.0;11887.0;1429.0
661;R-U Culture, recreation, other services;2008;35.0;21.7;;0.0;0.0;1740.0;0.1;0.0;0.1;223.0;;;2.0;90.0;323.0;22111.0;11930.0;1484.0
662;R-U Culture, recreation, other services;2009;35.0;22.3;;0.0;0.0;1721.0;0.1;0.0;0.1;215.0;;;2.0;98.0;330.0;21863.0;11807.0;1288.0
663;R-U Culture, recreation, other services;2010;38.0;22.8;0.0;0.0;0.0;1919.0;0.1;0.0;0.1;218.0;;;2.0;90.0;334.0;21703.0;11670.0;1312.0
664;R-U Culture, recreation, other services;2011;32.0;22.7;;;;1485.0;0.1;0.0;0.1;212.0;;;2.0;87.0;335.0;21491.0;11605.0;1315.0
665;R-U Culture, recreation, other services;2012;34.0;;;;;1642.0;0.1;0.0;0.1;200.0;;;;;338.0;21209.0;11489.0;1475.0
666;Total private households;1995;710.0;;;94.0;17521.0;41029.0;3.8;144.3;13.4;6868.0;;;;;;;;
667;Total private households;1996;775.0;;;97.0;17914.0;44360.0;3.7;58.5;13.1;7628.0;;;;;;;;
668;Total private households;1997;710.0;;;94.0;18164.0;40615.0;3.4;48.8;12.8;7769.0;;;;;;;;
669;Total private households;1998;696.0;;;95.0;18413.0;39726.0;3.2;42.1;12.6;8303.0;;;;;;;;
670;Total private households;1999;701.0;;;100.0;18661.0;40046.0;3.1;45.1;12.5;9051.0;;;;;;;;
671;Total private households;2000;701.0;;;96.0;18768.0;40122.0;2.8;39.1;11.4;9824.0;;;;;;;;
672;Total private households;2001;714.0;;;98.0;19055.0;41320.0;2.8;34.7;11.8;10493.0;;;;;;;;
673;Total private households;2002;697.0;;9289.0;101.0;19320.0;40173.0;2.6;30.9;11.7;10716.0;;;;;;;;
674;Total private households;2003;707.0;815.4;9223.0;81.0;19584.0;40884.0;2.5;27.6;11.5;11375.0;;;;;;;;
675;Total private households;2004;712.0;796.2;9493.0;88.0;19827.0;41031.0;2.4;24.2;11.3;12417.0;;;;;;;;
676;Total private households;2005;699.0;790.5;9511.0;82.0;20095.0;40132.0;2.3;21.3;10.9;12952.0;;;;;;;;
677;Total private households;2006;687.0;800.7;9417.0;82.0;20119.0;39494.0;2.2;18.3;10.8;13683.0;;;;;;;;
678;Total private households;2007;666.0;789.4;9568.0;82.0;20097.0;38452.0;2.0;15.3;10.0;13605.0;;;;;;;;
679;Total private households;2008;704.0;788.4;9420.0;82.0;20060.0;40479.0;2.0;12.3;9.5;14144.0;;;;;;;;
680;Total private households;2009;704.0;788.1;9332.0;85.0;20205.0;40573.0;1.9;9.4;9.3;14275.0;;;;;;;;
681;Total private households;2010;758.0;786.2;9072.0;87.0;20318.0;43331.0;1.8;6.4;9.0;14825.0;;;;;;;;
682;Total private households;2011;686.0;783.0;;;;39569.0;1.8;3.4;8.6;14605.0;;;;;;;;
683;Total private households;2012;716.0;;;;;40974.0;1.8;0.4;8.4;14240.0;;;;;;;;
684;Other origin;1995;;;;33.0;3995.0;12126.0;0.0;38.8;0.0;;;;;;;1254.0;;-710.0
685;Other origin;1996;;;;33.0;3279.0;11714.0;0.0;37.5;0.0;;;;;;;1287.0;;-799.0
686;Other origin;1997;;;;32.0;2863.0;11311.0;0.0;36.3;0.0;;;;;;;1295.0;;-770.0
687;Other origin;1998;;;;30.0;2575.0;10817.0;0.0;34.8;0.0;;;;;;;1283.0;;-831.0
688;Other origin;1999;;;;26.0;2415.0;9982.0;0.0;31.8;0.0;;;;;;;1276.0;;-1035.0
689;Other origin;2000;;;;23.0;2396.0;9428.0;0.0;29.9;0.0;;;;;;;1292.0;;-1090.0
690;Other origin;2001;;;;22.0;2263.0;8599.0;0.0;28.0;0.0;;;;;;;1281.0;;-1524.0
691;Other origin;2002;;;;21.0;2174.0;7924.0;0.0;26.2;0.0;;;;;;;1247.0;;-1645.0
692;Other origin;2003;;;;21.0;2099.0;7153.0;0.0;24.2;0.0;;;;;;;1204.0;;-1911.0
693;Other origin;2004;;;;20.0;2040.0;6572.0;0.0;23.0;0.0;;;;;;;1212.0;;-1910.0
694;Other origin;2005;;;;21.0;2005.0;5914.0;0.0;21.4;0.0;;;;;;;1214.0;;-2154.0
695;Other origin;2006;;;;11.0;2332.0;5490.0;0.0;19.7;0.0;;;;;;;1196.0;;-2195.0
696;Other origin;2007;;;;19.0;4356.0;5114.0;0.0;18.3;0.0;;;;;;;1222.0;;-2372.0
697;Other origin;2008;;;;13.0;2633.0;4782.0;0.0;17.0;0.0;;;;;;;1246.0;;-2342.0
