ID;Sex;Age;Periods;TotalFatalAccidents_1;TotalTransportAccidents_2;Pedestrian_3;Bicycle_4;MopedsAndLightMopeds_5;MotorisedDisabledVehicle_6;Motorcycle_7;PassengerCar_8;DeliveryVanLorry_9;OtherUnknown_10;AccidentalFall_11;AccidentalDrowning_12;TotalAccidentalPoisoningIncIntent_13;Medicine_14;IllegalDrugsNarcotics_15;Alcohol_16;OtherUnknown_17;TotalOtherFatalAccidents_18;MechanicalEffect_19;SmokeFireAndFlames_20;Suffocation_21;OtherIncludingSequelae_22;TotalFatalAccidents_23;TransportAccidents_24;AccidentalFall_25;AccidentalDrowning_26;AccidentalPoisoningIncIntentUnknown_27;OtherFatalAccidents_28
474;Women;younger than 15 years;2008;27;10;2;5;0;1;0;2;0;0;3;6;0;0;0;0;0;8;0;2;2;4;1.9;0.7;0.2;0.4;0.0;0.6
475;Women;younger than 15 years;2009;25;12;3;7;0;0;0;1;0;1;1;5;0;0;0;0;0;7;3;1;3;0;1.8;0.8;0.1;0.4;0.0;0.5
476;Women;younger than 15 years;2010;20;12;3;5;0;0;0;2;0;2;1;3;0;0;0;0;0;4;1;0;2;1;1.4;0.8;0.1;0.2;0.0;0.3
477;Women;younger than 15 years;2011;14;6;2;3;0;0;0;0;0;1;0;1;1;0;0;0;1;6;2;0;4;0;1.0;0.4;0.0;0.1;0.1;0.4
478;Women;younger than 15 years;2012;21;10;0;6;0;0;0;2;0;2;1;2;2;0;0;0;2;6;1;1;3;1;1.5;0.7;0.1;0.1;0.1;0.4
479;Women;younger than 15 years;2013;8;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;2;2;0.6;0.2;0.0;0.0;0.0;0.4
480;Women;younger than 15 years;2014;19;6;1;5;0;0;0;0;0;0;0;5;1;1;0;0;0;7;2;0;4;1;1.4;0.4;0.0;0.4;0.1;0.5
481;Women;younger than 15 years;2015;11;4;0;2;0;0;0;1;0;1;1;2;0;0;0;0;0;4;0;0;1;3;0.8;0.3;0.1;0.1;0.0;0.3
482;Women;younger than 15 years;2016;15;9;1;4;0;0;0;1;0;3;2;2;0;0;0;0;0;2;0;0;1;1;1.1;0.7;0.1;0.1;0.0;0.1
483;Women;younger than 15 years;2017;18;9;5;1;1;0;0;2;0;0;0;3;0;0;0;0;0;6;1;1;3;1;1.3;0.7;0.0;0.2;0.0;0.4
484;Women;15 to 20 years;1996;38;35;7;10;7;0;1;9;0;1;1;0;1;1;0;0;0;1;0;0;0;1;8.4;7.7;0.2;0.0;0.2;0.2
485;Women;15 to 20 years;1997;33;31;1;11;8;0;2;9;0;0;0;0;1;0;0;0;1;1;0;1;0;0;7.3;6.8;0.0;0.0;0.2;0.2
486;Women;15 to 20 years;1998;34;33;2;8;8;0;1;12;0;2;0;0;0;0;0;0;0;1;0;0;0;1;7.5;7.3;0.0;0.0;0.0;0.2
487;Women;15 to 20 years;1999;34;33;2;7;10;0;0;12;0;2;0;0;0;0;0;0;0;1;1;0;0;0;7.5;7.3;0.0;0.0;0.0;0.2
488;Women;15 to 20 years;2000;37;34;1;5;7;0;0;18;0;3;0;0;0;0;0;0;0;3;1;1;1;0;8.2;7.5;0.0;0.0;0.0;0.7
489;Women;15 to 20 years;2001;25;23;5;5;3;0;1;7;0;2;0;0;0;0;0;0;0;2;0;2;0;0;5.5;5.0;0.0;0.0;0.0;0.4
490;Women;15 to 20 years;2002;37;33;2;9;5;0;1;16;0;0;0;1;0;0;0;0;0;3;0;1;0;2;8.0;7.1;0.0;0.2;0.0;0.6
491;Women;15 to 20 years;2003;38;34;1;6;6;0;0;19;1;1;0;0;3;2;0;0;1;1;0;0;0;1;8.1;7.2;0.0;0.0;0.6;0.2
492;Women;15 to 20 years;2004;25;21;1;2;5;0;1;10;2;0;1;0;0;0;0;0;0;3;0;0;0;3;5.2;4.4;0.2;0.0;0.0;0.6
493;Women;15 to 20 years;2005;22;19;1;8;1;0;0;8;0;1;0;0;2;1;0;0;1;1;0;0;0;1;4.6;3.9;0.0;0.0;0.4;0.2
494;Women;15 to 20 years;2006;12;10;2;5;0;0;0;2;1;0;0;0;0;0;0;0;0;2;0;1;1;0;2.5;2.1;0.0;0.0;0.0;0.4
495;Women;15 to 20 years;2007;22;21;2;7;4;0;0;7;1;0;0;1;0;0;0;0;0;0;0;0;0;0;4.5;4.3;0.0;0.2;0.0;0.0
496;Women;15 to 20 years;2008;21;19;2;9;4;0;0;4;0;0;0;0;1;0;1;0;0;1;0;0;1;0;4.3;3.9;0.0;0.0;0.2;0.2
497;Women;15 to 20 years;2009;24;23;2;2;7;0;0;11;0;1;0;0;0;0;0;0;0;1;0;0;0;1;4.8;4.6;0.0;0.0;0.0;0.2
498;Women;15 to 20 years;2010;13;9;1;3;2;0;0;2;1;0;0;0;3;1;1;0;1;1;0;1;0;0;2.6;1.8;0.0;0.0;0.6;0.2
499;Women;15 to 20 years;2011;17;17;2;4;3;0;0;5;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3.5;3.5;0.0;0.0;0.0;0.0
500;Women;15 to 20 years;2012;12;9;1;3;0;0;0;5;0;0;0;2;1;0;0;0;1;0;0;0;0;0;2.5;1.9;0.0;0.4;0.2;0.0
501;Women;15 to 20 years;2013;13;9;1;3;2;0;0;3;0;0;0;1;2;0;2;0;0;1;0;0;0;1;2.7;1.9;0.0;0.2;0.4;0.2
502;Women;15 to 20 years;2014;13;11;0;5;2;0;1;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2.7;2.3;0.0;0.4;0.0;0.0
503;Women;15 to 20 years;2015;10;10;0;5;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;2.0;0.0;0.0;0.0;0.0
504;Women;15 to 20 years;2016;8;6;0;1;1;0;0;4;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1.6;1.2;0.2;0.0;0.2;0.0
505;Women;15 to 20 years;2017;8;7;3;0;0;0;0;4;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1.6;1.4;0.0;0.0;0.0;0.2
506;Women;20 to 30 years;1996;71;56;3;4;2;0;3;37;2;5;3;0;6;1;3;0;2;6;0;2;0;4;6.2;4.9;0.3;0.0;0.5;0.5
507;Women;20 to 30 years;1997;68;56;2;5;1;0;4;37;0;7;0;0;7;1;4;0;2;5;0;2;0;3;6.0;5.0;0.0;0.0;0.6;0.4
508;Women;20 to 30 years;1998;55;45;4;4;2;0;1;30;0;4;3;0;4;1;2;0;1;3;0;1;0;2;5.0;4.1;0.3;0.0;0.4;0.3
509;Women;20 to 30 years;1999;49;43;5;3;0;0;4;28;2;1;2;0;2;0;2;0;0;2;0;0;0;2;4.6;4.0;0.2;0.0;0.2;0.2
510;Women;20 to 30 years;2000;50;39;0;3;2;0;2;30;1;1;2;0;5;0;4;0;1;4;2;0;0;2;4.8;3.7;0.2;0.0;0.5;0.4
511;Women;20 to 30 years;2001;49;35;0;5;1;0;1;28;0;0;4;0;7;0;6;0;1;3;0;1;0;2;4.8;3.4;0.4;0.0;0.7;0.3
512;Women;20 to 30 years;2002;48;40;0;4;0;0;2;30;2;2;2;1;3;0;3;0;0;2;0;0;0;2;4.8;4.0;0.2;0.1;0.3;0.2
513;Women;20 to 30 years;2003;47;40;2;4;5;0;2;23;2;2;1;0;4;2;2;0;0;2;0;0;1;1;4.8;4.1;0.1;0.0;0.4;0.2
514;Women;20 to 30 years;2004;54;34;0;7;1;0;2;24;0;0;3;1;8;1;4;1;2;8;0;1;1;6;5.5;3.5;0.3;0.1;0.8;0.8
515;Women;20 to 30 years;2005;35;25;1;6;0;0;0;17;0;1;2;0;3;0;2;0;1;5;0;0;2;3;3.6;2.6;0.2;0.0;0.3;0.5
516;Women;20 to 30 years;2006;20;12;0;1;0;0;2;9;0;0;2;0;3;0;3;0;0;3;0;0;0;3;2.1;1.2;0.2;0.0;0.3;0.3
517;Women;20 to 30 years;2007;35;28;5;6;1;0;0;13;1;2;3;0;3;1;1;0;1;1;0;0;0;1;3.6;2.9;0.3;0.0;0.3;0.1
518;Women;20 to 30 years;2008;30;23;1;3;0;0;0;19;0;0;0;0;4;1;2;1;0;3;0;2;0;1;3.1;2.3;0.0;0.0;0.4;0.3
519;Women;20 to 30 years;2009;34;25;2;4;0;0;1;16;2;0;4;1;3;0;3;0;0;1;0;0;0;1;3.4;2.5;0.4;0.1;0.3;0.1
520;Women;20 to 30 years;2010;34;24;1;3;0;0;2;11;0;7;2;0;6;1;4;0;1;2;0;1;0;1;3.4;2.4;0.2;0.0;0.6;0.2
521;Women;20 to 30 years;2011;29;18;1;4;1;0;0;12;0;0;3;2;5;0;5;0;0;1;0;0;0;1;2.9;1.8;0.3;0.2;0.5;0.1
522;Women;20 to 30 years;2012;28;20;2;0;1;0;1;12;1;3;1;1;5;0;5;0;0;1;0;0;0;1;2.7;2.0;0.1;0.1;0.5;0.1
523;Women;20 to 30 years;2013;18;8;0;1;3;0;0;4;0;0;1;1;6;1;5;0;0;2;1;0;0;1;1.7;0.8;0.1;0.1;0.6;0.2
524;Women;20 to 30 years;2014;24;17;2;3;1;0;1;10;0;0;1;1;3;2;1;0;0;2;1;0;0;1;2.3;1.6;0.1;0.1;0.3;0.2
525;Women;20 to 30 years;2015;21;11;2;2;0;0;0;6;0;1;1;0;6;3;3;0;0;3;0;0;1;2;2.0;1.0;0.1;0.0;0.6;0.3
526;Women;20 to 30 years;2016;31;22;0;6;3;0;1;11;0;1;1;1;7;4;3;0;0;0;0;0;0;0;2.9;2.1;0.1;0.1;0.7;0.0
527;Women;20 to 30 years;2017;21;14;3;3;0;0;0;7;1;0;0;2;3;0;2;0;1;2;0;0;0;2;2.0;1.3;0.0;0.2;0.3;0.2
528;Women;30 to 40 years;1996;53;37;1;2;1;0;2;26;0;5;4;1;8;1;5;0;2;3;0;2;0;1;4.2;2.9;0.3;0.1;0.6;0.2
529;Women;30 to 40 years;1997;44;25;2;3;2;0;2;15;0;1;6;0;7;1;5;0;1;6;1;1;1;3;3.5;2.0;0.5;0.0;0.6;0.5
530;Women;30 to 40 years;1998;34;25;2;3;0;0;2;17;0;1;4;0;3;1;1;0;1;2;0;1;0;1;2.7;2.0;0.3;0.0;0.2;0.2
531;Women;30 to 40 years;1999;41;28;1;2;3;0;1;21;0;0;6;0;5;1;3;1;0;2;1;0;0;1;3.2;2.2;0.5;0.0;0.4;0.2
532;Women;30 to 40 years;2000;45;28;2;7;1;0;1;15;2;0;3;1;6;0;3;0;3;7;1;2;1;3;3.5;2.2;0.2;0.1;0.5;0.5
533;Women;30 to 40 years;2001;47;30;1;7;0;0;1;18;2;1;7;1;6;1;5;0;0;3;0;1;1;1;3.6;2.3;0.5;0.1;0.5;0.2
534;Women;30 to 40 years;2002;33;18;1;2;0;0;2;12;0;1;4;0;4;1;2;0;1;7;0;2;0;5;2.6;1.4;0.3;0.0;0.3;0.5
535;Women;30 to 40 years;2003;51;26;4;4;1;0;1;11;4;1;7;1;5;0;5;0;0;12;1;5;0;6;4.0;2.0;0.5;0.1;0.4;0.9
536;Women;30 to 40 years;2004;45;23;1;4;0;0;1;16;1;0;3;1;7;3;3;0;1;11;0;3;2;6;3.6;1.8;0.2;0.1;0.6;0.9
537;Women;30 to 40 years;2005;40;23;0;6;3;0;1;12;0;1;3;1;8;3;4;0;1;5;0;2;0;3;3.3;1.9;0.2;0.1;0.7;0.4
538;Women;30 to 40 years;2006;35;20;1;0;2;0;0;15;1;1;5;0;6;2;4;0;0;4;0;0;1;3;2.9;1.7;0.4;0.0;0.5;0.3
539;Women;30 to 40 years;2007;39;24;5;3;0;0;2;12;1;1;3;0;8;3;5;0;0;4;0;1;0;3;3.4;2.1;0.3;0.0;0.7;0.3
540;Women;30 to 40 years;2008;36;12;1;2;0;0;0;8;0;1;7;0;13;7;4;1;1;4;0;1;0;3;3.2;1.1;0.6;0.0;1.1;0.4
541;Women;30 to 40 years;2009;20;12;2;2;0;0;3;5;0;0;2;1;3;0;2;0;1;2;0;0;0;2;1.8;1.1;0.2;0.1;0.3;0.2
542;Women;30 to 40 years;2010;21;14;1;1;1;0;0;8;0;3;1;1;3;0;2;1;0;2;0;0;0;2;2.0;1.3;0.1;0.1;0.3;0.2
543;Women;30 to 40 years;2011;27;17;2;1;1;0;1;9;1;2;2;0;4;1;3;0;0;4;1;0;1;2;2.6;1.6;0.2;0.0;0.4;0.4
544;Women;30 to 40 years;2012;22;10;0;1;0;0;1;6;0;2;3;1;4;3;1;0;0;4;1;2;0;1;2.1;1.0;0.3;0.1;0.4;0.4
545;Women;30 to 40 years;2013;23;10;1;1;2;0;0;6;0;0;3;0;7;1;5;0;1;3;0;1;1;1;2.3;1.0;0.3;0.0;0.7;0.3
546;Women;30 to 40 years;2014;20;9;0;1;0;0;0;8;0;0;2;1;7;2;5;0;0;1;0;0;0;1;2.0;0.9;0.2;0.1;0.7;0.1
547;Women;30 to 40 years;2015;22;7;1;0;1;0;1;4;0;0;1;2;11;3;7;0;1;1;0;0;1;0;2.2;0.7;0.1;0.2;1.1;0.1
548;Women;30 to 40 years;2016;20;9;0;0;0;0;0;9;0;0;1;0;9;5;4;0;0;1;0;0;0;1;2.0;0.9;0.1;0.0;0.9;0.1
549;Women;30 to 40 years;2017;26;13;0;2;0;0;0;11;0;0;2;1;8;1;7;0;0;2;0;0;0;2;2.5;1.3;0.2;0.1;0.8;0.2
550;Women;40 to 50 years;1996;66;39;5;4;1;0;1;26;0;2;9;2;9;1;3;3;2;7;1;3;2;1;5.7;3.4;0.8;0.2;0.8;0.6
551;Women;40 to 50 years;1997;65;36;5;8;1;0;2;17;2;1;19;0;3;1;1;0;1;7;0;6;1;0;5.7;3.1;1.7;0.0;0.3;0.6
552;Women;40 to 50 years;1998;56;27;2;2;1;0;2;20;0;0;18;0;5;2;2;1;0;6;0;2;1;3;4.9;2.4;1.6;0.0;0.4;0.5
553;Women;40 to 50 years;1999;49;25;2;3;0;0;1;17;0;2;15;2;4;0;3;0;1;3;0;2;0;1;4.3;2.2;1.3;0.2;0.3;0.3
554;Women;40 to 50 years;2000;52;27;4;4;0;0;3;15;0;1;9;3;6;3;3;0;0;7;2;2;0;3;4.5;2.3;0.8;0.3;0.5;0.6
555;Women;40 to 50 years;2001;57;25;3;7;1;0;2;11;0;1;16;0;10;4;4;2;0;6;1;2;1;2;4.8;2.1;1.4;0.0;0.8;0.5
556;Women;40 to 50 years;2002;61;26;2;5;4;0;1;12;1;1;18;1;8;5;1;2;0;8;0;2;1;5;5.1;2.2;1.5;0.1;0.7;0.7
557;Women;40 to 50 years;2003;52;19;1;3;1;0;0;13;1;0;13;1;9;1;6;2;0;10;0;1;1;8;4.3;1.6;1.1;0.1;0.7;0.8
558;Women;40 to 50 years;2004;59;24;3;3;1;1;1;12;1;2;12;2;9;4;3;2;0;12;0;1;2;9;4.8;1.9;1.0;0.2;0.7;1.0
559;Women;40 to 50 years;2005;54;21;1;7;1;0;1;9;0;2;12;1;10;3;6;0;1;10;1;2;3;4;4.3;1.7;1.0;0.1;0.8;0.8
560;Women;40 to 50 years;2006;68;39;3;12;0;1;2;18;1;2;12;2;8;2;5;0;1;7;0;0;3;4;5.4;3.1;1.0;0.2;0.6;0.6
561;Women;40 to 50 years;2007;41;18;0;4;1;0;0;11;1;1;10;1;9;1;7;0;1;3;0;0;2;1;3.2;1.4;0.8;0.1;0.7;0.2
562;Women;40 to 50 years;2008;45;16;4;3;1;0;1;7;0;0;13;1;3;2;1;0;0;12;0;2;0;10;3.6;1.3;1.0;0.1;0.2;0.9
563;Women;40 to 50 years;2009;51;16;4;1;1;0;0;10;0;0;9;4;12;3;7;2;0;10;0;0;2;8;4.0;1.3;0.7;0.3;0.9;0.8
564;Women;40 to 50 years;2010;48;21;1;3;1;0;2;8;0;6;16;1;4;1;3;0;0;6;0;1;1;4;3.7;1.6;1.2;0.1;0.3;0.5
565;Women;40 to 50 years;2011;37;19;1;6;2;0;0;7;0;3;7;1;6;0;5;1;0;4;0;1;2;1;2.9;1.5;0.5;0.1;0.5;0.3
566;Women;40 to 50 years;2012;51;20;1;6;1;0;1;11;0;0;14;1;11;1;9;0;1;5;0;0;1;4;4.0;1.6;1.1;0.1;0.9;0.4
567;Women;40 to 50 years;2013;35;11;0;3;0;0;0;7;0;1;8;5;8;2;4;1;1;3;0;1;1;1;2.8;0.9;0.6;0.4;0.6;0.2
568;Women;40 to 50 years;2014;32;11;0;1;2;0;0;5;1;2;6;2;6;4;2;0;0;7;1;1;0;5;2.6;0.9;0.5;0.2;0.5;0.6
569;Women;40 to 50 years;2015;36;10;1;3;0;0;0;5;0;1;11;1;6;2;3;1;0;8;1;3;0;4;3.0;0.8;0.9;0.1;0.5;0.7
570;Women;40 to 50 years;2016;35;10;0;1;1;1;0;7;0;0;10;2;7;2;4;0;1;6;0;1;2;3;2.9;0.8;0.8;0.2;0.6;0.5
571;Women;40 to 50 years;2017;48;18;0;7;2;0;1;8;0;0;6;0;14;2;10;1;1;10;1;2;1;6;4.1;1.5;0.5;0.0;1.2;0.9
572;Women;50 to 60 years;1996;55;31;4;9;2;0;0;14;1;1;14;2;1;0;0;0;1;7;1;3;1;2;6.5;3.6;1.6;0.2;0.1;0.8
573;Women;50 to 60 years;1997;60;30;8;7;1;0;1;13;0;0;21;2;1;0;0;1;0;6;1;3;0;2;6.7;3.3;2.3;0.2;0.1;0.7
574;Women;50 to 60 years;1998;60;33;7;6;2;0;0;17;0;1;16;0;2;2;0;0;0;9;0;5;0;4;6.4;3.5;1.7;0.0;0.2;1.0
575;Women;50 to 60 years;1999;63;29;2;8;2;0;0;15;0;2;21;2;4;1;1;0;2;7;0;2;2;3;6.5;3.0;2.2;0.2;0.4;0.7
576;Women;50 to 60 years;2000;75;33;1;10;3;0;0;17;2;0;28;4;7;3;2;2;0;3;0;1;0;2;7.5;3.3;2.8;0.4;0.7;0.3
577;Women;50 to 60 years;2001;67;24;3;7;1;1;0;9;2;1;30;3;6;3;3;0;0;4;0;3;0;1;6.5;2.3;2.9;0.3;0.6;0.4
578;Women;50 to 60 years;2002;77;31;4;6;1;0;1;17;2;0;26;4;7;3;1;2;1;9;1;2;2;4;7.3;2.9;2.5;0.4;0.7;0.9
579;Women;50 to 60 years;2003;83;23;2;8;0;0;2;8;3;0;36;6;8;6;0;2;0;10;1;3;3;3;7.7;2.1;3.3;0.6;0.7;0.9
580;Women;50 to 60 years;2004;77;28;3;10;0;0;2;10;0;3;26;5;6;3;0;3;0;12;0;2;3;7;7.0;2.6;2.4;0.5;0.5;1.1
581;Women;50 to 60 years;2005;79;26;5;6;3;0;0;10;1;1;32;5;5;2;2;1;0;11;0;6;2;3;7.1;2.3;2.9;0.4;0.4;1.0
582;Women;50 to 60 years;2006;73;28;2;12;1;1;1;10;1;0;24;6;2;2;0;0;0;13;0;2;4;7;6.5;2.5;2.1;0.5;0.2;1.2
583;Women;50 to 60 years;2007;57;20;2;5;2;0;1;9;0;1;18;2;3;2;0;1;0;14;0;3;5;6;5.1;1.8;1.6;0.2;0.3;1.3
584;Women;50 to 60 years;2008;70;19;1;6;0;2;2;7;1;0;23;4;10;7;2;1;0;14;0;3;6;5;6.3;1.7;2.1;0.4;0.9;1.3
585;Women;50 to 60 years;2009;63;19;1;7;2;0;1;6;0;2;26;3;8;2;3;3;0;7;0;1;2;4;5.6;1.7;2.3;0.3;0.7;0.6
586;Women;50 to 60 years;2010;85;36;6;4;1;1;2;5;1;16;21;4;12;5;4;2;1;12;2;2;4;4;7.5;3.2;1.9;0.4;1.1;1.1
587;Women;50 to 60 years;2011;73;19;3;5;1;1;0;6;0;3;41;0;4;2;0;1;1;9;0;1;3;5;6.4;1.7;3.6;0.0;0.3;0.8
588;Women;50 to 60 years;2012;62;13;1;2;2;0;0;7;0;1;25;3;5;2;2;0;1;16;0;1;3;12;5.3;1.1;2.1;0.3;0.4;1.4
589;Women;50 to 60 years;2013;67;18;0;9;3;1;0;3;0;2;28;3;8;1;6;1;0;10;1;1;1;7;5.7;1.5;2.4;0.3;0.7;0.8
590;Women;50 to 60 years;2014;49;10;0;5;1;0;0;4;0;0;24;1;6;3;1;2;0;8;1;1;0;6;4.1;0.8;2.0;0.1;0.5;0.7
591;Women;50 to 60 years;2015;64;19;3;5;4;0;0;7;0;0;28;1;6;2;3;1;0;10;0;3;2;5;5.3;1.6;2.3;0.1;0.5;0.8
592;Women;50 to 60 years;2016;82;26;5;9;0;1;0;8;1;2;36;4;8;3;3;0;2;8;2;0;1;5;6.7;2.1;2.9;0.3;0.7;0.7
593;Women;50 to 60 years;2017;50;16;2;4;0;0;0;9;1;0;22;2;5;2;1;2;0;5;2;0;1;2;4.0;1.3;1.8;0.2;0.4;0.4
594;Women;60 to 70 years;1996;64;25;6;9;0;0;0;9;0;1;30;0;3;1;1;0;1;6;1;1;1;3;9.3;3.6;4.3;0.0;0.4;0.9
595;Women;60 to 70 years;1997;74;33;3;15;1;2;0;12;0;0;32;0;1;0;0;1;0;8;1;1;2;4;10.7;4.8;4.6;0.0;0.1;1.2
596;Women;60 to 70 years;1998;81;45;8;21;0;1;0;15;0;0;27;0;1;0;0;1;0;8;0;5;2;1;11.6;6.5;3.9;0.0;0.1;1.1
597;Women;60 to 70 years;1999;63;32;4;10;3;1;0;11;0;3;26;0;0;0;0;0;0;5;1;4;0;0;9.0;4.6;3.7;0.0;0.0;0.7
598;Women;60 to 70 years;2000;103;34;6;12;1;0;0;14;0;1;50;7;0;0;0;0;0;12;1;3;3;5;14.5;4.8;7.1;1.0;0.0;1.7
599;Women;60 to 70 years;2001;82;36;3;13;2;0;0;15;1;2;35;1;0;0;0;0;0;10;0;5;1;4;11.5;5.0;4.9;0.1;0.0;1.4
600;Women;60 to 70 years;2002;71;28;7;10;4;0;0;7;0;0;34;4;2;1;0;0;1;3;0;1;1;1;9.9;3.9;4.7;0.6;0.3;0.4
601;Women;60 to 70 years;2003;90;37;4;15;2;0;0;14;1;1;32;1;5;3;0;0;2;15;2;4;0;9;12.3;5.1;4.4;0.1;0.7;2.0
602;Women;60 to 70 years;2004;85;31;1;11;1;3;0;15;0;0;38;3;4;2;1;0;1;9;1;1;6;1;11.3;4.1;5.1;0.4;0.5;1.2
603;Women;60 to 70 years;2005;81;19;1;10;0;0;0;8;0;0;44;2;4;3;0;1;0;12;1;4;2;5;10.6;2.5;5.7;0.3;0.5;1.6
604;Women;60 to 70 years;2006;99;32;4;15;3;0;0;9;0;1;42;4;4;2;0;1;1;17;2;7;2;6;12.4;4.0;5.3;0.5;0.5;2.1
605;Women;60 to 70 years;2007;103;29;6;9;2;0;0;8;2;2;46;4;6;1;1;3;1;18;0;0;10;8;12.2;3.4;5.5;0.5;0.7;2.1
606;Women;60 to 70 years;2008;95;21;4;10;1;0;0;6;0;0;51;6;5;2;2;1;0;12;0;5;3;4;10.8;2.4;5.8;0.7;0.6;1.4
607;Women;60 to 70 years;2009;98;22;3;7;2;1;0;9;0;0;54;2;4;1;0;2;1;16;1;4;2;9;10.7;2.4;5.9;0.2;0.4;1.8
608;Women;60 to 70 years;2010;94;26;3;8;0;2;0;6;1;6;48;3;3;2;1;0;0;14;1;4;3;6;10.0;2.8;5.1;0.3;0.3;1.5
609;Women;60 to 70 years;2011;93;16;1;6;1;0;0;6;0;2;64;3;2;1;1;0;0;8;0;1;2;5;9.7;1.7;6.6;0.3;0.2;0.8
610;Women;60 to 70 years;2012;103;26;3;10;2;1;0;10;0;0;65;0;2;2;0;0;0;10;0;3;2;5;10.4;2.6;6.6;0.0;0.2;1.0
611;Women;60 to 70 years;2013;93;23;2;13;1;1;0;4;0;2;54;3;5;4;1;0;0;8;0;1;1;6;9.2;2.3;5.3;0.3;0.5;0.8
612;Women;60 to 70 years;2014;109;15;2;7;0;1;0;3;0;2;65;5;6;5;0;0;1;18;1;4;4;9;10.6;1.5;6.3;0.5;0.6;1.8
613;Women;60 to 70 years;2015;118;23;1;13;1;1;0;5;0;2;68;2;9;5;3;0;1;16;2;4;3;7;11.3;2.2;6.5;0.2;0.9;1.5
614;Women;60 to 70 years;2016;135;23;1;9;1;2;0;9;0;1;81;5;3;3;0;0;0;23;0;1;5;17;12.8;2.2;7.7;0.5;0.3;2.2
615;Women;60 to 70 years;2017;108;19;3;10;1;0;0;4;0;1;68;2;4;1;3;0;0;15;0;1;0;14;10.3;1.8;6.5;0.2;0.4;1.4
616;Women;70 to 80 years;1996;220;69;19;23;2;0;1;21;0;3;128;0;2;1;0;0;1;21;4;8;1;8;39.1;12.3;22.8;0.0;0.4;3.7
617;Women;70 to 80 years;1997;206;66;10;22;1;1;1;31;0;0;123;1;0;0;0;0;0;16;0;5;5;6;36.3;11.6;21.7;0.2;0.0;2.8
618;Women;70 to 80 years;1998;207;54;13;12;2;0;0;26;0;1;137;2;2;2;0;0;0;12;0;7;2;3;36.0;9.4;23.8;0.3;0.3;2.1
619;Women;70 to 80 years;1999;228;55;8;14;3;4;0;24;0;2;152;4;3;2;0;0;1;14;1;6;3;4;39.2;9.5;26.1;0.7;0.5;2.4
620;Women;70 to 80 years;2000;241;52;5;24;3;1;0;17;0;2;158;4;5;2;0;0;3;22;4;9;3;6;41.2;8.9;27.0;0.7;0.9;3.8
621;Women;70 to 80 years;2001;240;44;9;16;0;1;0;18;0;0;173;1;2;0;0;0;2;20;2;8;3;7;41.0;7.5;29.6;0.2;0.3;3.4
622;Women;70 to 80 years;2002;221;41;14;10;2;0;0;14;0;1;156;2;6;2;0;1;3;16;4;5;0;7;37.8;7.0;26.7;0.3;1.0;2.7
623;Women;70 to 80 years;2003;220;42;7;19;2;1;0;12;0;1;153;8;4;4;0;0;0;13;0;2;3;8;37.6;7.2;26.2;1.4;0.7;2.2
624;Women;70 to 80 years;2004;223;34;3;11;2;0;0;16;1;1;159;2;4;1;0;1;2;24;1;3;5;15;38.2;5.8;27.2;0.3;0.7;4.1
625;Women;70 to 80 years;2005;226;38;10;13;0;0;1;14;0;0;144;0;5;2;0;0;3;39;2;7;11;19;38.6;6.5;24.6;0.0;0.9;6.7
626;Women;70 to 80 years;2006;207;36;5;16;1;2;0;12;0;0;142;3;3;3;0;0;0;23;2;7;4;10;35.3;6.1;24.2;0.5;0.5;3.9
627;Women;70 to 80 years;2007;215;37;6;16;0;2;0;13;0;0;144;3;2;2;0;0;0;29;0;2;4;23;36.4;6.3;24.4;0.5;0.3;4.9
628;Women;70 to 80 years;2008;239;38;5;17;0;2;0;14;0;0;153;1;3;1;0;1;1;44;1;4;12;27;40.1;6.4;25.7;0.2;0.5;7.4
629;Women;70 to 80 years;2009;244;31;5;12;3;0;0;10;0;1;167;1;7;5;0;0;2;38;2;3;7;26;40.5;5.1;27.7;0.2;1.2;6.3
630;Women;70 to 80 years;2010;195;30;5;16;2;1;0;5;0;1;122;0;3;2;1;0;0;40;0;1;13;26;31.9;4.9;20.0;0.0;0.5;6.5
631;Women;70 to 80 years;2011;258;44;7;16;0;5;0;14;0;2;168;2;8;4;0;1;3;36;1;4;6;25;41.7;7.1;27.2;0.3;1.3;5.8
632;Women;70 to 80 years;2012;274;48;7;31;1;1;0;8;0;0;182;5;3;3;0;0;0;36;1;2;1;32;43.8;7.7;29.1;0.8;0.5;5.8
633;Women;70 to 80 years;2013;284;34;8;16;3;1;0;6;0;0;192;7;6;2;2;1;1;45;1;4;4;36;44.5;5.3;30.1;1.1;0.9;7.1
634;Women;70 to 80 years;2014;270;43;1;23;3;0;0;15;0;1;177;4;7;4;0;2;1;39;1;5;1;32;41.2;6.6;27.0;0.6;1.1;6.0
635;Women;70 to 80 years;2015;295;39;5;21;0;2;0;9;0;2;199;4;3;2;0;0;1;50;2;1;4;43;43.9;5.8;29.6;0.6;0.4;7.4
