ID;TypeOfBankruptcy;Regions;Periods;PronouncedBankrupcies_1
8429;Total natural persons;Overijssel (PV);1990 April;
8430;Total natural persons;Overijssel (PV);1990 May;
8431;Total natural persons;Overijssel (PV);1990 June;
8432;Total natural persons;Overijssel (PV);1990 2nd quarter;
8433;Total natural persons;Overijssel (PV);1990 July;
8434;Total natural persons;Overijssel (PV);1990 August;
8435;Total natural persons;Overijssel (PV);1990 September;
8436;Total natural persons;Overijssel (PV);1990 3rd quarter;
8437;Total natural persons;Overijssel (PV);1990 October;
8438;Total natural persons;Overijssel (PV);1990 November;
8439;Total natural persons;Overijssel (PV);1990 December;
8440;Total natural persons;Overijssel (PV);1990 4th quarter;
8441;Total natural persons;Overijssel (PV);1990;
8442;Total natural persons;Overijssel (PV);1991 January;
8443;Total natural persons;Overijssel (PV);1991 February;
8444;Total natural persons;Overijssel (PV);1991 March;
8445;Total natural persons;Overijssel (PV);1991 1st quarter;
8446;Total natural persons;Overijssel (PV);1991 April;
8447;Total natural persons;Overijssel (PV);1991 May;
8448;Total natural persons;Overijssel (PV);1991 June;
8449;Total natural persons;Overijssel (PV);1991 2nd quarter;
8450;Total natural persons;Overijssel (PV);1991 July;
8451;Total natural persons;Overijssel (PV);1991 August;
8452;Total natural persons;Overijssel (PV);1991 September;
8453;Total natural persons;Overijssel (PV);1991 3rd quarter;
8454;Total natural persons;Overijssel (PV);1991 October;
8455;Total natural persons;Overijssel (PV);1991 November;
8456;Total natural persons;Overijssel (PV);1991 December;
8457;Total natural persons;Overijssel (PV);1991 4th quarter;
8458;Total natural persons;Overijssel (PV);1991;
8459;Total natural persons;Overijssel (PV);1992 January;
8460;Total natural persons;Overijssel (PV);1992 February;
8461;Total natural persons;Overijssel (PV);1992 March;
8462;Total natural persons;Overijssel (PV);1992 1st quarter;
8463;Total natural persons;Overijssel (PV);1992 April;
8464;Total natural persons;Overijssel (PV);1992 May;
8465;Total natural persons;Overijssel (PV);1992 June;
8466;Total natural persons;Overijssel (PV);1992 2nd quarter;
8467;Total natural persons;Overijssel (PV);1992 July;
8468;Total natural persons;Overijssel (PV);1992 August;
8469;Total natural persons;Overijssel (PV);1992 September;
8470;Total natural persons;Overijssel (PV);1992 3rd quarter;
8471;Total natural persons;Overijssel (PV);1992 October;
8472;Total natural persons;Overijssel (PV);1992 November;
8473;Total natural persons;Overijssel (PV);1992 December;
8474;Total natural persons;Overijssel (PV);1992 4th quarter;
8475;Total natural persons;Overijssel (PV);1992;
8476;Total natural persons;Overijssel (PV);1993 January;
8477;Total natural persons;Overijssel (PV);1993 February;
8478;Total natural persons;Overijssel (PV);1993 March;
8479;Total natural persons;Overijssel (PV);1993 1st quarter;
8480;Total natural persons;Overijssel (PV);1993 April;
8481;Total natural persons;Overijssel (PV);1993 May;
8482;Total natural persons;Overijssel (PV);1993 June;
8483;Total natural persons;Overijssel (PV);1993 2nd quarter;
8484;Total natural persons;Overijssel (PV);1993 July;
8485;Total natural persons;Overijssel (PV);1993 August;
8486;Total natural persons;Overijssel (PV);1993 September;
8487;Total natural persons;Overijssel (PV);1993 3rd quarter;
8488;Total natural persons;Overijssel (PV);1993 October;
8489;Total natural persons;Overijssel (PV);1993 November;
8490;Total natural persons;Overijssel (PV);1993 December;
8491;Total natural persons;Overijssel (PV);1993 4th quarter;
8492;Total natural persons;Overijssel (PV);1993;
8493;Total natural persons;Overijssel (PV);1994 January;
8494;Total natural persons;Overijssel (PV);1994 February;
8495;Total natural persons;Overijssel (PV);1994 March;
8496;Total natural persons;Overijssel (PV);1994 1st quarter;
8497;Total natural persons;Overijssel (PV);1994 April;
8498;Total natural persons;Overijssel (PV);1994 May;
8499;Total natural persons;Overijssel (PV);1994 June;
8500;Total natural persons;Overijssel (PV);1994 2nd quarter;
8501;Total natural persons;Overijssel (PV);1994 July;
8502;Total natural persons;Overijssel (PV);1994 August;
8503;Total natural persons;Overijssel (PV);1994 September;
8504;Total natural persons;Overijssel (PV);1994 3rd quarter;
8505;Total natural persons;Overijssel (PV);1994 October;
8506;Total natural persons;Overijssel (PV);1994 November;
8507;Total natural persons;Overijssel (PV);1994 December;
8508;Total natural persons;Overijssel (PV);1994 4th quarter;
8509;Total natural persons;Overijssel (PV);1994;
8510;Total natural persons;Overijssel (PV);1995 January;
8511;Total natural persons;Overijssel (PV);1995 February;
8512;Total natural persons;Overijssel (PV);1995 March;
8513;Total natural persons;Overijssel (PV);1995 1st quarter;
8514;Total natural persons;Overijssel (PV);1995 April;
8515;Total natural persons;Overijssel (PV);1995 May;
8516;Total natural persons;Overijssel (PV);1995 June;
8517;Total natural persons;Overijssel (PV);1995 2nd quarter;
8518;Total natural persons;Overijssel (PV);1995 July;
8519;Total natural persons;Overijssel (PV);1995 August;
8520;Total natural persons;Overijssel (PV);1995 September;
8521;Total natural persons;Overijssel (PV);1995 3rd quarter;
8522;Total natural persons;Overijssel (PV);1995 October;
8523;Total natural persons;Overijssel (PV);1995 November;
8524;Total natural persons;Overijssel (PV);1995 December;
8525;Total natural persons;Overijssel (PV);1995 4th quarter;
8526;Total natural persons;Overijssel (PV);1995;
8527;Total natural persons;Overijssel (PV);1996 January;
8528;Total natural persons;Overijssel (PV);1996 February;
8529;Total natural persons;Overijssel (PV);1996 March;
8530;Total natural persons;Overijssel (PV);1996 1st quarter;
8531;Total natural persons;Overijssel (PV);1996 April;
8532;Total natural persons;Overijssel (PV);1996 May;
8533;Total natural persons;Overijssel (PV);1996 June;
8534;Total natural persons;Overijssel (PV);1996 2nd quarter;
8535;Total natural persons;Overijssel (PV);1996 July;
8536;Total natural persons;Overijssel (PV);1996 August;
8537;Total natural persons;Overijssel (PV);1996 September;
8538;Total natural persons;Overijssel (PV);1996 3rd quarter;
8539;Total natural persons;Overijssel (PV);1996 October;
8540;Total natural persons;Overijssel (PV);1996 November;
8541;Total natural persons;Overijssel (PV);1996 December;
8542;Total natural persons;Overijssel (PV);1996 4th quarter;
8543;Total natural persons;Overijssel (PV);1996;
8544;Total natural persons;Overijssel (PV);1997 January;
8545;Total natural persons;Overijssel (PV);1997 February;
8546;Total natural persons;Overijssel (PV);1997 March;
8547;Total natural persons;Overijssel (PV);1997 1st quarter;
8548;Total natural persons;Overijssel (PV);1997 April;
8549;Total natural persons;Overijssel (PV);1997 May;
8550;Total natural persons;Overijssel (PV);1997 June;
8551;Total natural persons;Overijssel (PV);1997 2nd quarter;
8552;Total natural persons;Overijssel (PV);1997 July;
8553;Total natural persons;Overijssel (PV);1997 August;
8554;Total natural persons;Overijssel (PV);1997 September;
8555;Total natural persons;Overijssel (PV);1997 3rd quarter;
8556;Total natural persons;Overijssel (PV);1997 October;
8557;Total natural persons;Overijssel (PV);1997 November;
8558;Total natural persons;Overijssel (PV);1997 December;
8559;Total natural persons;Overijssel (PV);1997 4th quarter;
8560;Total natural persons;Overijssel (PV);1997;
8561;Total natural persons;Overijssel (PV);1998 January;
8562;Total natural persons;Overijssel (PV);1998 February;
8563;Total natural persons;Overijssel (PV);1998 March;
8564;Total natural persons;Overijssel (PV);1998 1st quarter;
8565;Total natural persons;Overijssel (PV);1998 April;
8566;Total natural persons;Overijssel (PV);1998 May;
8567;Total natural persons;Overijssel (PV);1998 June;
8568;Total natural persons;Overijssel (PV);1998 2nd quarter;
8569;Total natural persons;Overijssel (PV);1998 July;
8570;Total natural persons;Overijssel (PV);1998 August;
8571;Total natural persons;Overijssel (PV);1998 September;
8572;Total natural persons;Overijssel (PV);1998 3rd quarter;
8573;Total natural persons;Overijssel (PV);1998 October;
8574;Total natural persons;Overijssel (PV);1998 November;
8575;Total natural persons;Overijssel (PV);1998 December;
8576;Total natural persons;Overijssel (PV);1998 4th quarter;
8577;Total natural persons;Overijssel (PV);1998;
8578;Total natural persons;Overijssel (PV);1999 January;
8579;Total natural persons;Overijssel (PV);1999 February;
8580;Total natural persons;Overijssel (PV);1999 March;
8581;Total natural persons;Overijssel (PV);1999 1st quarter;
8582;Total natural persons;Overijssel (PV);1999 April;
8583;Total natural persons;Overijssel (PV);1999 May;
8584;Total natural persons;Overijssel (PV);1999 June;
8585;Total natural persons;Overijssel (PV);1999 2nd quarter;
8586;Total natural persons;Overijssel (PV);1999 July;
8587;Total natural persons;Overijssel (PV);1999 August;
8588;Total natural persons;Overijssel (PV);1999 September;
8589;Total natural persons;Overijssel (PV);1999 3rd quarter;
8590;Total natural persons;Overijssel (PV);1999 October;
8591;Total natural persons;Overijssel (PV);1999 November;
8592;Total natural persons;Overijssel (PV);1999 December;
8593;Total natural persons;Overijssel (PV);1999 4th quarter;
8594;Total natural persons;Overijssel (PV);1999;
8595;Total natural persons;Overijssel (PV);2000 January;
8596;Total natural persons;Overijssel (PV);2000 February;
8597;Total natural persons;Overijssel (PV);2000 March;
8598;Total natural persons;Overijssel (PV);2000 1st quarter;
8599;Total natural persons;Overijssel (PV);2000 April;
8600;Total natural persons;Overijssel (PV);2000 May;
8601;Total natural persons;Overijssel (PV);2000 June;
8602;Total natural persons;Overijssel (PV);2000 2nd quarter;
8603;Total natural persons;Overijssel (PV);2000 July;
8604;Total natural persons;Overijssel (PV);2000 August;
8605;Total natural persons;Overijssel (PV);2000 September;
8606;Total natural persons;Overijssel (PV);2000 3rd quarter;
8607;Total natural persons;Overijssel (PV);2000 October;
8608;Total natural persons;Overijssel (PV);2000 November;
8609;Total natural persons;Overijssel (PV);2000 December;
8610;Total natural persons;Overijssel (PV);2000 4th quarter;
8611;Total natural persons;Overijssel (PV);2000;
8612;Total natural persons;Overijssel (PV);2001 January;
8613;Total natural persons;Overijssel (PV);2001 February;
8614;Total natural persons;Overijssel (PV);2001 March;
8615;Total natural persons;Overijssel (PV);2001 1st quarter;
8616;Total natural persons;Overijssel (PV);2001 April;
8617;Total natural persons;Overijssel (PV);2001 May;
8618;Total natural persons;Overijssel (PV);2001 June;
8619;Total natural persons;Overijssel (PV);2001 2nd quarter;
8620;Total natural persons;Overijssel (PV);2001 July;
8621;Total natural persons;Overijssel (PV);2001 August;
8622;Total natural persons;Overijssel (PV);2001 September;
8623;Total natural persons;Overijssel (PV);2001 3rd quarter;
8624;Total natural persons;Overijssel (PV);2001 October;
8625;Total natural persons;Overijssel (PV);2001 November;
8626;Total natural persons;Overijssel (PV);2001 December;
8627;Total natural persons;Overijssel (PV);2001 4th quarter;
8628;Total natural persons;Overijssel (PV);2001;
8629;Total natural persons;Overijssel (PV);2002 January;
8630;Total natural persons;Overijssel (PV);2002 February;
8631;Total natural persons;Overijssel (PV);2002 March;
8632;Total natural persons;Overijssel (PV);2002 1st quarter;
8633;Total natural persons;Overijssel (PV);2002 April;
8634;Total natural persons;Overijssel (PV);2002 May;
8635;Total natural persons;Overijssel (PV);2002 June;
8636;Total natural persons;Overijssel (PV);2002 2nd quarter;
8637;Total natural persons;Overijssel (PV);2002 July;
8638;Total natural persons;Overijssel (PV);2002 August;
8639;Total natural persons;Overijssel (PV);2002 September;
8640;Total natural persons;Overijssel (PV);2002 3rd quarter;
8641;Total natural persons;Overijssel (PV);2002 October;
8642;Total natural persons;Overijssel (PV);2002 November;
8643;Total natural persons;Overijssel (PV);2002 December;
8644;Total natural persons;Overijssel (PV);2002 4th quarter;
8645;Total natural persons;Overijssel (PV);2002;
8646;Total natural persons;Overijssel (PV);2003 January;
8647;Total natural persons;Overijssel (PV);2003 February;
8648;Total natural persons;Overijssel (PV);2003 March;
8649;Total natural persons;Overijssel (PV);2003 1st quarter;
8650;Total natural persons;Overijssel (PV);2003 April;
8651;Total natural persons;Overijssel (PV);2003 May;
8652;Total natural persons;Overijssel (PV);2003 June;
8653;Total natural persons;Overijssel (PV);2003 2nd quarter;
8654;Total natural persons;Overijssel (PV);2003 July;
8655;Total natural persons;Overijssel (PV);2003 August;
8656;Total natural persons;Overijssel (PV);2003 September;
8657;Total natural persons;Overijssel (PV);2003 3rd quarter;
8658;Total natural persons;Overijssel (PV);2003 October;
8659;Total natural persons;Overijssel (PV);2003 November;
8660;Total natural persons;Overijssel (PV);2003 December;
8661;Total natural persons;Overijssel (PV);2003 4th quarter;
8662;Total natural persons;Overijssel (PV);2003;
8663;Total natural persons;Overijssel (PV);2004 January;
8664;Total natural persons;Overijssel (PV);2004 February;
8665;Total natural persons;Overijssel (PV);2004 March;
8666;Total natural persons;Overijssel (PV);2004 1st quarter;
8667;Total natural persons;Overijssel (PV);2004 April;
8668;Total natural persons;Overijssel (PV);2004 May;
8669;Total natural persons;Overijssel (PV);2004 June;
8670;Total natural persons;Overijssel (PV);2004 2nd quarter;
8671;Total natural persons;Overijssel (PV);2004 July;
8672;Total natural persons;Overijssel (PV);2004 August;
8673;Total natural persons;Overijssel (PV);2004 September;
8674;Total natural persons;Overijssel (PV);2004 3rd quarter;
8675;Total natural persons;Overijssel (PV);2004 October;
8676;Total natural persons;Overijssel (PV);2004 November;
8677;Total natural persons;Overijssel (PV);2004 December;
8678;Total natural persons;Overijssel (PV);2004 4th quarter;
8679;Total natural persons;Overijssel (PV);2004;
8680;Total natural persons;Overijssel (PV);2005 January;
8681;Total natural persons;Overijssel (PV);2005 February;
8682;Total natural persons;Overijssel (PV);2005 March;
8683;Total natural persons;Overijssel (PV);2005 1st quarter;
8684;Total natural persons;Overijssel (PV);2005 April;
8685;Total natural persons;Overijssel (PV);2005 May;
8686;Total natural persons;Overijssel (PV);2005 June;
8687;Total natural persons;Overijssel (PV);2005 2nd quarter;
8688;Total natural persons;Overijssel (PV);2005 July;
8689;Total natural persons;Overijssel (PV);2005 August;
8690;Total natural persons;Overijssel (PV);2005 September;
8691;Total natural persons;Overijssel (PV);2005 3rd quarter;
8692;Total natural persons;Overijssel (PV);2005 October;
8693;Total natural persons;Overijssel (PV);2005 November;
8694;Total natural persons;Overijssel (PV);2005 December;
8695;Total natural persons;Overijssel (PV);2005 4th quarter;
8696;Total natural persons;Overijssel (PV);2005;
8697;Total natural persons;Overijssel (PV);2006 January;
8698;Total natural persons;Overijssel (PV);2006 February;
8699;Total natural persons;Overijssel (PV);2006 March;
8700;Total natural persons;Overijssel (PV);2006 1st quarter;
8701;Total natural persons;Overijssel (PV);2006 April;
8702;Total natural persons;Overijssel (PV);2006 May;
8703;Total natural persons;Overijssel (PV);2006 June;
8704;Total natural persons;Overijssel (PV);2006 2nd quarter;
8705;Total natural persons;Overijssel (PV);2006 July;
8706;Total natural persons;Overijssel (PV);2006 August;
8707;Total natural persons;Overijssel (PV);2006 September;
8708;Total natural persons;Overijssel (PV);2006 3rd quarter;
8709;Total natural persons;Overijssel (PV);2006 October;
8710;Total natural persons;Overijssel (PV);2006 November;
8711;Total natural persons;Overijssel (PV);2006 December;
8712;Total natural persons;Overijssel (PV);2006 4th quarter;
8713;Total natural persons;Overijssel (PV);2006;
8714;Total natural persons;Overijssel (PV);2007 January;
8715;Total natural persons;Overijssel (PV);2007 February;
8716;Total natural persons;Overijssel (PV);2007 March;
8717;Total natural persons;Overijssel (PV);2007 1st quarter;
8718;Total natural persons;Overijssel (PV);2007 April;
8719;Total natural persons;Overijssel (PV);2007 May;
8720;Total natural persons;Overijssel (PV);2007 June;
8721;Total natural persons;Overijssel (PV);2007 2nd quarter;
8722;Total natural persons;Overijssel (PV);2007 July;
8723;Total natural persons;Overijssel (PV);2007 August;
8724;Total natural persons;Overijssel (PV);2007 September;
8725;Total natural persons;Overijssel (PV);2007 3rd quarter;
8726;Total natural persons;Overijssel (PV);2007 October;
8727;Total natural persons;Overijssel (PV);2007 November;
8728;Total natural persons;Overijssel (PV);2007 December;
8729;Total natural persons;Overijssel (PV);2007 4th quarter;
8730;Total natural persons;Overijssel (PV);2007;
8731;Total natural persons;Overijssel (PV);2008 January;
8732;Total natural persons;Overijssel (PV);2008 February;
8733;Total natural persons;Overijssel (PV);2008 March;
8734;Total natural persons;Overijssel (PV);2008 1st quarter;
8735;Total natural persons;Overijssel (PV);2008 April;
8736;Total natural persons;Overijssel (PV);2008 May;
8737;Total natural persons;Overijssel (PV);2008 June;
8738;Total natural persons;Overijssel (PV);2008 2nd quarter;
8739;Total natural persons;Overijssel (PV);2008 July;
8740;Total natural persons;Overijssel (PV);2008 August;
8741;Total natural persons;Overijssel (PV);2008 September;
8742;Total natural persons;Overijssel (PV);2008 3rd quarter;
8743;Total natural persons;Overijssel (PV);2008 October;
8744;Total natural persons;Overijssel (PV);2008 November;
8745;Total natural persons;Overijssel (PV);2008 December;
8746;Total natural persons;Overijssel (PV);2008 4th quarter;
8747;Total natural persons;Overijssel (PV);2008;
8748;Total natural persons;Overijssel (PV);2009 January;28.0
8749;Total natural persons;Overijssel (PV);2009 February;23.0
8750;Total natural persons;Overijssel (PV);2009 March;39.0
8751;Total natural persons;Overijssel (PV);2009 1st quarter;90.0
8752;Total natural persons;Overijssel (PV);2009 April;36.0
8753;Total natural persons;Overijssel (PV);2009 May;37.0
8754;Total natural persons;Overijssel (PV);2009 June;27.0
8755;Total natural persons;Overijssel (PV);2009 2nd quarter;100.0
8756;Total natural persons;Overijssel (PV);2009 July;37.0
8757;Total natural persons;Overijssel (PV);2009 August;26.0
8758;Total natural persons;Overijssel (PV);2009 September;31.0
8759;Total natural persons;Overijssel (PV);2009 3rd quarter;94.0
8760;Total natural persons;Overijssel (PV);2009 October;25.0
8761;Total natural persons;Overijssel (PV);2009 November;31.0
8762;Total natural persons;Overijssel (PV);2009 December;33.0
8763;Total natural persons;Overijssel (PV);2009 4th quarter;89.0
8764;Total natural persons;Overijssel (PV);2009;373.0
8765;Total natural persons;Overijssel (PV);2010 January;39.0
8766;Total natural persons;Overijssel (PV);2010 February;19.0
8767;Total natural persons;Overijssel (PV);2010 March;44.0
8768;Total natural persons;Overijssel (PV);2010 1st quarter;102.0
8769;Total natural persons;Overijssel (PV);2010 April;30.0
8770;Total natural persons;Overijssel (PV);2010 May;14.0
8771;Total natural persons;Overijssel (PV);2010 June;36.0
8772;Total natural persons;Overijssel (PV);2010 2nd quarter;80.0
8773;Total natural persons;Overijssel (PV);2010 July;28.0
8774;Total natural persons;Overijssel (PV);2010 August;24.0
8775;Total natural persons;Overijssel (PV);2010 September;44.0
8776;Total natural persons;Overijssel (PV);2010 3rd quarter;96.0
8777;Total natural persons;Overijssel (PV);2010 October;37.0
8778;Total natural persons;Overijssel (PV);2010 November;36.0
8779;Total natural persons;Overijssel (PV);2010 December;29.0
8780;Total natural persons;Overijssel (PV);2010 4th quarter;102.0
8781;Total natural persons;Overijssel (PV);2010;380.0
8782;Total natural persons;Overijssel (PV);2011 January;42.0
8783;Total natural persons;Overijssel (PV);2011 February;29.0
8784;Total natural persons;Overijssel (PV);2011 March;40.0
8785;Total natural persons;Overijssel (PV);2011 1st quarter;111.0
8786;Total natural persons;Overijssel (PV);2011 April;37.0
8787;Total natural persons;Overijssel (PV);2011 May;24.0
8788;Total natural persons;Overijssel (PV);2011 June;33.0
8789;Total natural persons;Overijssel (PV);2011 2nd quarter;94.0
8790;Total natural persons;Overijssel (PV);2011 July;30.0
8791;Total natural persons;Overijssel (PV);2011 August;38.0
8792;Total natural persons;Overijssel (PV);2011 September;35.0
8793;Total natural persons;Overijssel (PV);2011 3rd quarter;103.0
8794;Total natural persons;Overijssel (PV);2011 October;25.0
8795;Total natural persons;Overijssel (PV);2011 November;40.0
8796;Total natural persons;Overijssel (PV);2011 December;34.0
8797;Total natural persons;Overijssel (PV);2011 4th quarter;99.0
8798;Total natural persons;Overijssel (PV);2011;407.0
8799;Total natural persons;Overijssel (PV);2012 January;46.0
8800;Total natural persons;Overijssel (PV);2012 February;64.0
8801;Total natural persons;Overijssel (PV);2012 March;39.0
8802;Total natural persons;Overijssel (PV);2012 1st quarter;149.0
8803;Total natural persons;Overijssel (PV);2012 April;31.0
8804;Total natural persons;Overijssel (PV);2012 May;39.0
8805;Total natural persons;Overijssel (PV);2012 June;38.0
8806;Total natural persons;Overijssel (PV);2012 2nd quarter;108.0
8807;Total natural persons;Overijssel (PV);2012 July;56.0
8808;Total natural persons;Overijssel (PV);2012 August;40.0
8809;Total natural persons;Overijssel (PV);2012 September;31.0
8810;Total natural persons;Overijssel (PV);2012 3rd quarter;127.0
8811;Total natural persons;Overijssel (PV);2012 October;54.0
8812;Total natural persons;Overijssel (PV);2012 November;41.0
8813;Total natural persons;Overijssel (PV);2012 December;37.0
8814;Total natural persons;Overijssel (PV);2012 4th quarter;132.0
8815;Total natural persons;Overijssel (PV);2012;516.0
8816;Total natural persons;Overijssel (PV);2013 January;51.0
8817;Total natural persons;Overijssel (PV);2013 February;31.0
8818;Total natural persons;Overijssel (PV);2013 March;55.0
8819;Total natural persons;Overijssel (PV);2013 1st quarter;137.0
8820;Total natural persons;Overijssel (PV);2013 April;30.0
8821;Total natural persons;Overijssel (PV);2013 May;44.0
8822;Total natural persons;Overijssel (PV);2013 June;47.0
8823;Total natural persons;Overijssel (PV);2013 2nd quarter;121.0
8824;Total natural persons;Overijssel (PV);2013 July;53.0
8825;Total natural persons;Overijssel (PV);2013 August;37.0
8826;Total natural persons;Overijssel (PV);2013 September;34.0
8827;Total natural persons;Overijssel (PV);2013 3rd quarter;124.0
8828;Total natural persons;Overijssel (PV);2013 October;47.0
8829;Total natural persons;Overijssel (PV);2013 November;52.0
8830;Total natural persons;Overijssel (PV);2013 December;21.0
8831;Total natural persons;Overijssel (PV);2013 4th quarter;120.0
8832;Total natural persons;Overijssel (PV);2013;502.0
8833;Total natural persons;Overijssel (PV);2014 January;34.0
8834;Total natural persons;Overijssel (PV);2014 February;41.0
8835;Total natural persons;Overijssel (PV);2014 March;24.0
8836;Total natural persons;Overijssel (PV);2014 1st quarter;99.0
8837;Total natural persons;Overijssel (PV);2014 April;31.0
8838;Total natural persons;Overijssel (PV);2014 May;25.0
8839;Total natural persons;Overijssel (PV);2014 June;31.0
8840;Total natural persons;Overijssel (PV);2014 2nd quarter;87.0
8841;Total natural persons;Overijssel (PV);2014 July;32.0
8842;Total natural persons;Overijssel (PV);2014 August;29.0
8843;Total natural persons;Overijssel (PV);2014 September;22.0
8844;Total natural persons;Overijssel (PV);2014 3rd quarter;83.0
8845;Total natural persons;Overijssel (PV);2014 October;33.0
8846;Total natural persons;Overijssel (PV);2014 November;27.0
8847;Total natural persons;Overijssel (PV);2014 December;19.0
8848;Total natural persons;Overijssel (PV);2014 4th quarter;79.0
8849;Total natural persons;Overijssel (PV);2014;348.0
8850;Total natural persons;Overijssel (PV);2015 January;30.0
8851;Total natural persons;Overijssel (PV);2015 February;15.0
8852;Total natural persons;Overijssel (PV);2015 March;17.0
8853;Total natural persons;Overijssel (PV);2015 1st quarter;62.0
8854;Total natural persons;Overijssel (PV);2015 April;24.0
8855;Total natural persons;Overijssel (PV);2015 May;10.0
8856;Total natural persons;Overijssel (PV);2015 June;19.0
8857;Total natural persons;Overijssel (PV);2015 2nd quarter;53.0
8858;Total natural persons;Overijssel (PV);2015 July;18.0
8859;Total natural persons;Overijssel (PV);2015 August;9.0
8860;Total natural persons;Overijssel (PV);2015 September;23.0
8861;Total natural persons;Overijssel (PV);2015 3rd quarter;50.0
8862;Total natural persons;Overijssel (PV);2015 October;22.0
8863;Total natural persons;Overijssel (PV);2015 November;21.0
8864;Total natural persons;Overijssel (PV);2015 December;23.0
8865;Total natural persons;Overijssel (PV);2015 4th quarter;66.0
8866;Total natural persons;Overijssel (PV);2015;231.0
8867;Total natural persons;Overijssel (PV);2016 January;11.0
8868;Total natural persons;Overijssel (PV);2016 February;11.0
8869;Total natural persons;Overijssel (PV);2016 March;26.0
8870;Total natural persons;Overijssel (PV);2016 1st quarter;48.0
8871;Total natural persons;Overijssel (PV);2016 April;14.0
8872;Total natural persons;Overijssel (PV);2016 May;20.0
8873;Total natural persons;Overijssel (PV);2016 June;15.0
8874;Total natural persons;Overijssel (PV);2016 2nd quarter;49.0
8875;Total natural persons;Overijssel (PV);2016 July;5.0
8876;Total natural persons;Overijssel (PV);2016 August;17.0
8877;Total natural persons;Overijssel (PV);2016 September;12.0
8878;Total natural persons;Overijssel (PV);2016 3rd quarter;34.0
8879;Total natural persons;Overijssel (PV);2016 October;12.0
8880;Total natural persons;Overijssel (PV);2016 November;19.0
8881;Total natural persons;Overijssel (PV);2016 December;13.0
8882;Total natural persons;Overijssel (PV);2016 4th quarter;44.0
8883;Total natural persons;Overijssel (PV);2016;175.0
8884;Total natural persons;Overijssel (PV);2017 January;11.0
8885;Total natural persons;Overijssel (PV);2017 February;10.0
8886;Total natural persons;Overijssel (PV);2017 March;10.0
8887;Total natural persons;Overijssel (PV);2017 1st quarter;31.0
8888;Total natural persons;Overijssel (PV);2017 April;10.0
8889;Total natural persons;Overijssel (PV);2017 May;13.0
8890;Total natural persons;Overijssel (PV);2017 June;9.0
8891;Total natural persons;Overijssel (PV);2017 2nd quarter;32.0
8892;Total natural persons;Overijssel (PV);2017 July;10.0
8893;Total natural persons;Overijssel (PV);2017 August;14.0
8894;Total natural persons;Overijssel (PV);2017 September;13.0
8895;Total natural persons;Overijssel (PV);2017 3rd quarter;37.0
8896;Total natural persons;Overijssel (PV);2017 October;3.0
8897;Total natural persons;Overijssel (PV);2017 November;12.0
8898;Total natural persons;Overijssel (PV);2017 December;3.0
8899;Total natural persons;Overijssel (PV);2017 4th quarter;18.0
8900;Total natural persons;Overijssel (PV);2017;118.0
8901;Total natural persons;Overijssel (PV);2018 January;13.0
8902;Total natural persons;Overijssel (PV);2018 February;10.0
8903;Total natural persons;Overijssel (PV);2018 March;11.0
8904;Total natural persons;Overijssel (PV);2018 1st quarter;34.0
8905;Total natural persons;Overijssel (PV);2018 April;8.0
8906;Total natural persons;Overijssel (PV);2018 May;7.0
8907;Total natural persons;Overijssel (PV);2018 June;12.0
8908;Total natural persons;Overijssel (PV);2018 2nd quarter;27.0
8909;Total natural persons;Overijssel (PV);2018 July;10.0
8910;Total natural persons;Overijssel (PV);2018 August;8.0
8911;Total natural persons;Overijssel (PV);2018 September;7.0
8912;Total natural persons;Overijssel (PV);2018 3rd quarter;25.0
8913;Total natural persons;Overijssel (PV);2018 October;5.0
8914;Total natural persons;Overijssel (PV);2018 November;8.0
8915;Total natural persons;Overijssel (PV);2018 December;10.0
8916;Total natural persons;Overijssel (PV);2018 4th quarter;23.0
8917;Total natural persons;Overijssel (PV);2018;109.0
8918;Total natural persons;Overijssel (PV);2019 January;12.0
8919;Total natural persons;Overijssel (PV);2019 February;16.0
8920;Total natural persons;Overijssel (PV);2019 March;6.0
8921;Total natural persons;Overijssel (PV);2019 1st quarter;34.0
8922;Total natural persons;Overijssel (PV);2019 April;9.0
8923;Total natural persons;Overijssel (PV);2019 May;11.0
8924;Total natural persons;Overijssel (PV);2019 June;13.0
8925;Total natural persons;Overijssel (PV);2019 2nd quarter;33.0
8926;Total natural persons;Overijssel (PV);2019 July;13.0
8927;Total natural persons;Overijssel (PV);2019 August;8.0
8928;Total natural persons;Overijssel (PV);2019 September;15.0
8929;Total natural persons;Overijssel (PV);2019 3rd quarter;36.0
8930;Total natural persons;Overijssel (PV);2019 October;7.0
8931;Total natural persons;Overijssel (PV);2019 November;4.0
8932;Total natural persons;Overijssel (PV);2019 December;5.0
8933;Total natural persons;Overijssel (PV);2019 4th quarter;16.0
8934;Total natural persons;Overijssel (PV);2019;119.0
8935;Total natural persons;Overijssel (PV);2020 January;4.0
8936;Total natural persons;Overijssel (PV);2020 February;9.0
8937;Total natural persons;Overijssel (PV);2020 March;7.0
8938;Total natural persons;Overijssel (PV);2020 1st quarter;20.0
8939;Total natural persons;Overijssel (PV);2020 April;10.0
8940;Total natural persons;Overijssel (PV);2020 May;7.0
8941;Total natural persons;Overijssel (PV);2020 June;11.0
8942;Total natural persons;Overijssel (PV);2020 2nd quarter;28.0
8943;Total natural persons;Overijssel (PV);2020 July;5.0
