ID;RegioS;Begindatum_1;Einddatum_2;GebiedsOfGemeentecode_3;Provincie_4;ProvincieAfkorting_5;BegindatumSorteerveld_6;EinddatumSorteerveld_7
611;Hoogezand;01 jan 1830 ;01 apr 1949 ;GM1083  ;Groningen                          ;Gr.            ;18300101;19490401    
612;Hoogezand-Sappemeer;01 apr 1949 ;01 jan 2018 ;GM0018  ;Groningen                          ;Gr.            ;19490401;20180101    
613;Hoogkarspel;01 jan 1830 ;01 jan 1979 ;GM0403  ;Noord-Holland                      ;NH.            ;18300101;19790101    
614;Hoogkerk;01 jan 1830 ;01 jan 1969 ;GM1084  ;Groningen                          ;Gr.            ;18300101;19690101    
615;Hoogland;01 jan 1830 ;01 jan 1974 ;GM0320  ;Utrecht                            ;U.             ;18300101;19740101    
616;Hoogmade;01 jan 1830 ;17 sep 1855 ;GM1333  ;Zuid-Holland                       ;ZH.            ;18300101;18550917    
617;Hoogvliet;01 jan 1830 ;01 mei 1934 ;GM1085  ;Zuid-Holland                       ;ZH.            ;18300101;19340501    
618;Hoogwoud;01 jan 1830 ;01 jan 1979 ;GM0404  ;Noord-Holland                      ;NH.            ;18300101;19790101    
619;Hoorn;01 jan 1830 ;            ;GM0405  ;Noord-Holland                      ;NH.            ;18300101;            
620;Hoornaar;01 jan 1830 ;01 jan 1986 ;GM0536  ;Zuid-Holland                       ;ZH.            ;18300101;19860101    
621;Horn;02 jan 1839 ;01 jan 1991 ;GM0922  ;Limburg                            ;L.             ;18390102;19910101    
622;Horssen;01 jan 1830 ;01 jan 1984 ;GM0254  ;Gelderland                         ;Gld.           ;18300101;19840101    
623;Horst;02 jan 1839 ;01 jan 2001 ;GM0923  ;Limburg                            ;L.             ;18390102;20010101    
624;Horst aan de Maas;01 jan 2001 ;            ;GM1507  ;Limburg                            ;L.             ;20010101;            
625;Houten;01 jan 1830 ;            ;GM0321  ;Utrecht                            ;U.             ;18300101;            
626;Houthem;02 jan 1839 ;01 okt 1940 ;GM1086  ;Limburg                            ;L.             ;18390102;19401001    
627;Houtrijk en Polanen;01 jan 1830 ;27 jun 1863 ;GM1087  ;Noord-Holland                      ;NH.            ;18300101;18630627    
628;Huijbergen;01 jan 1830 ;01 jan 1997 ;GM0803  ;Noord-Brabant                      ;NB.            ;18300101;19970101    
629;Huisseling en Neerloon;01 jan 1830 ;01 mei 1923 ;GM1088  ;Noord-Brabant                      ;NB.            ;18300101;19230501    
630;Huissen;01 jan 1830 ;01 jan 2001 ;GM0255  ;Gelderland                         ;Gld.           ;18300101;20010101    
631;Huizen;01 jan 1830 ;            ;GM0406  ;Noord-Holland                      ;NH.            ;18300101;            
632;Hulsberg;02 jan 1839 ;01 jan 1982 ;GM0924  ;Limburg                            ;L.             ;18390102;19820101    
633;Hulst;01 jan 1830 ;            ;GM0677  ;Zeeland                            ;Z.             ;18300101;            
634;Hummelo en Keppel;01 jan 1830 ;01 jan 2005 ;GM0256  ;Gelderland                         ;Gld.           ;18300101;20050101    
635;Hunsel;02 jan 1839 ;01 jan 2007 ;GM0925  ;Limburg                            ;L.             ;18390102;20070101    
636;Hurwenen;01 jan 1830 ;01 jul 1955 ;GM1089  ;Gelderland                         ;Gld.           ;18300101;19550701    
637;Idaarderadeel;01 jan 1830 ;01 jan 1984 ;GM0078  ;Friesland                          ;F.             ;18300101;19840101    
638;IJlst;01 jan 1830 ;01 jan 1984 ;GM0102  ;Friesland                          ;F.             ;18300101;19840101    
639;IJsselham;01 jan 1973 ;01 jan 2001 ;GM0195  ;Overijssel                         ;O.             ;19730101;20010101    
640;IJsselmonde;01 jan 1830 ;01 aug 1941 ;GM1230  ;Zuid-Holland                       ;ZH.            ;18300101;19410801    
641;IJsselmuiden;01 jan 1830 ;01 jan 2001 ;GM0191  ;Overijssel                         ;O.             ;18300101;20010101    
642;IJsselstein;01 jan 1830 ;            ;GM0353  ;Utrecht                            ;U.             ;18300101;            
643;IJzendijke;01 jan 1830 ;01 apr 1970 ;GM0730  ;Zeeland                            ;Z.             ;18300101;19700401    
644;IJzendoorn;01 jan 1830 ;14 apr 1923 ;GM1231  ;Gelderland                         ;Gld.           ;18300101;19230414    
645;Ilpendam;01 jan 1830 ;01 jan 1991 ;GM0407  ;Noord-Holland                      ;NH.            ;18300101;19910101    
646;Itteren;02 jan 1839 ;01 jul 1970 ;GM0926  ;Limburg                            ;L.             ;18390102;19700701    
647;Ittervoort;02 jan 1839 ;01 jul 1942 ;GM1090  ;Limburg                            ;L.             ;18390102;19420701    
648;Jaarsveld;01 jan 1830 ;01 jan 1943 ;GM1091  ;Utrecht                            ;U.             ;18300101;19430101    
649;Jabeek;02 jan 1839 ;01 jan 1982 ;GM0927  ;Limburg                            ;L.             ;18390102;19820101    
650;Jacobswoude;01 jan 1991 ;01 jan 2009 ;GM0645  ;Zuid-Holland                       ;ZH.            ;19910101;20090101    
651;Jisp;01 jan 1830 ;01 jan 1991 ;GM0408  ;Noord-Holland                      ;NH.            ;18300101;19910101    
652;Jutphaas;01 jan 1830 ;01 jul 1971 ;GM0322  ;Utrecht                            ;U.             ;18300101;19710701    
653;Kaag en Braassem;01 jan 2009 ;            ;GM1884  ;Zuid-Holland                       ;ZH.            ;20090101;            
654;Kalslagen;01 jan 1830 ;13 apr 1854 ;GM1334  ;Noord-Holland                      ;NH.            ;18300101;18540413    
655;Kamerik;08 sep 1857 ;01 jan 1989 ;GM0323  ;Utrecht                            ;U.             ;18570908;19890101    
656;Kamerik Houtdijken;01 jan 1830 ;08 sep 1857 ;GM1335  ;Utrecht                            ;U.             ;18300101;18570908    
657;Kamerik Mijzijde;01 jan 1830 ;08 sep 1857 ;GM1336  ;Utrecht                            ;U.             ;18300101;18570908    
658;Kampen;01 jan 1830 ;            ;GM0166  ;Overijssel                         ;O.             ;18300101;            
659;Kamperveen;01 jan 1830 ;01 jan 1937 ;GM1092  ;Overijssel                         ;O.             ;18300101;19370101    
660;Kantens;01 jan 1830 ;01 jan 1990 ;GM0020  ;Groningen                          ;Gr.            ;18300101;19900101    
661;Kapelle;01 jan 1830 ;            ;GM0678  ;Zeeland                            ;Z.             ;18300101;            
662;Katendrecht;01 jan 1830 ;01 jul 1873 ;GM1093  ;Zuid-Holland                       ;ZH.            ;18300101;18730701    
663;Kats;01 jan 1830 ;01 apr 1941 ;GM1094  ;Zeeland                            ;Z.             ;18300101;19410401    
664;Kattendijke;01 jan 1830 ;01 jan 1970 ;GM0679  ;Zeeland                            ;Z.             ;18300101;19700101    
665;Katwijk;01 jan 1830 ;            ;GM0537  ;Zuid-Holland                       ;ZH.            ;18300101;            
666;Katwoude;01 jan 1830 ;01 jan 1991 ;GM0409  ;Noord-Holland                      ;NH.            ;18300101;19910101    
667;Kedichem;01 jan 1830 ;01 jan 1986 ;GM0538  ;Zuid-Holland                       ;ZH.            ;18300101;19860101    
668;Kerkrade;02 jan 1839 ;            ;GM0928  ;Limburg                            ;L.             ;18390102;            
669;Kerkwerve;01 jan 1830 ;01 jan 1961 ;GM1095  ;Zeeland                            ;Z.             ;18300101;19610101    
670;Kerkwijk;01 jan 1830 ;01 jan 1999 ;GM0257  ;Gelderland                         ;Gld.           ;18300101;19990101    
671;Kessel;02 jan 1839 ;01 jan 2010 ;GM0929  ;Limburg                            ;L.             ;18390102;20100101    
672;Kesteren;01 jan 1830 ;01 apr 2003 ;GM0258  ;Gelderland                         ;Gld.           ;18300101;20030401    
673;Kethel en Spaland;01 jan 1830 ;01 aug 1941 ;GM1096  ;Zuid-Holland                       ;ZH.            ;18300101;19410801    
674;Kijfhoek;01 jan 1830 ;19 aug 1857 ;GM1337  ;Zuid-Holland                       ;ZH.            ;18300101;18570819    
675;Klaaswaal;01 jan 1830 ;01 jan 1984 ;GM0539  ;Zuid-Holland                       ;ZH.            ;18300101;19840101    
676;Kleine Lindt;01 jan 1830 ;13 jun 1857 ;GM1338  ;Zuid-Holland                       ;ZH.            ;18300101;18570613    
677;Kleverskerke;01 jan 1830 ;02 okt 1857 ;GM1339  ;Zeeland                            ;Z.             ;18300101;18571002    
678;Klimmen;02 jan 1839 ;01 jan 1982 ;GM0930  ;Limburg                            ;L.             ;18390102;19820101    
679;Kloetinge;01 jan 1830 ;01 jan 1970 ;GM0680  ;Zeeland                            ;Z.             ;18300101;19700101    
680;Kloosterburen;01 jan 1830 ;01 jan 1990 ;GM0021  ;Groningen                          ;Gr.            ;18300101;19900101    
681;Klundert;01 jan 1830 ;01 jan 1997 ;GM0804  ;Noord-Brabant                      ;NB.            ;18300101;19970101    
682;Kockengen;01 jan 1830 ;01 jan 1989 ;GM0324  ;Utrecht                            ;U.             ;18300101;19890101    
683;Koedijk;01 jan 1830 ;01 okt 1972 ;GM0410  ;Noord-Holland                      ;NH.            ;18300101;19721001    
684;Koewacht;01 jan 1830 ;01 apr 1970 ;GM0681  ;Zeeland                            ;Z.             ;18300101;19700401    
685;Koggenland;01 jan 2007 ;            ;GM1598  ;Noord-Holland                      ;NH.            ;20070101;            
686;Kollumerland en Nieuwkruisland;01 jan 1830 ;01 jan 2019 ;GM0079  ;Friesland                          ;F.             ;18300101;20190101    
687;Koog aan de Zaan;01 jan 1830 ;01 jan 1974 ;GM0411  ;Noord-Holland                      ;NH.            ;18300101;19740101    
688;Korendijk;01 jan 1984 ;01 jan 2019 ;GM0588  ;Zuid-Holland                       ;ZH.            ;19840101;20190101    
689;Kortenhoef;01 jan 1830 ;01 aug 1966 ;GM1097  ;Noord-Holland                      ;NH.            ;18300101;19660801    
690;Kortgene;01 jan 1830 ;01 jan 1995 ;GM0682  ;Zeeland                            ;Z.             ;18300101;19950101    
691;Koudekerk;01 jan 1830 ;01 jan 1938 ;GM1256  ;Zuid-Holland                       ;ZH.            ;18300101;19380101    
692;Koudekerk aan den Rijn;01 jan 1938 ;01 jan 1991 ;GM0540  ;Zuid-Holland                       ;ZH.            ;19380101;19910101    
693;Koudekerke;01 jan 1830 ;01 jul 1966 ;GM1098  ;Zeeland                            ;Z.             ;18300101;19660701    
694;Krabbendijke;01 jan 1830 ;01 jan 1970 ;GM0684  ;Zeeland                            ;Z.             ;18300101;19700101    
695;Kralingen;01 jan 1830 ;28 feb 1895 ;GM1099  ;Zuid-Holland                       ;ZH.            ;18300101;18950228    
696;Krimpen aan de Lek;01 jan 1830 ;01 jan 1985 ;GM0541  ;Zuid-Holland                       ;ZH.            ;18300101;19850101    
697;Krimpen aan den IJssel;01 jan 1830 ;            ;GM0542  ;Zuid-Holland                       ;ZH.            ;18300101;            
698;Krimpenerwaard;01 jan 2015 ;            ;GM1931  ;Zuid-Holland                       ;ZH.            ;20150101;            
699;Krommenie;01 jan 1830 ;01 jan 1974 ;GM0413  ;Noord-Holland                      ;NH.            ;18300101;19740101    
700;Kruiningen;01 jan 1830 ;01 jan 1970 ;GM0685  ;Zeeland                            ;Z.             ;18300101;19700101    
701;Kuinre;01 jan 1830 ;01 jan 1973 ;GM0167  ;Overijssel                         ;O.             ;18300101;19730101    
702;Kwadijk;01 jan 1830 ;01 aug 1970 ;GM0414  ;Noord-Holland                      ;NH.            ;18300101;19700801    
703;Laagblokland;01 jan 1830 ;01 jan 1858 ;GM1340  ;Zuid-Holland                       ;ZH.            ;18300101;18580101    
704;Laag-Nieuwkoop;01 jan 1830 ;01 mei 1942 ;GM1100  ;Utrecht                            ;U.             ;18300101;19420501    
705;Laarbeek;01 jan 1997 ;            ;GM1659  ;Noord-Brabant                      ;NB.            ;19970101;            
706;Land van Cuijk;01 jan 2022 ;            ;GM1982  ;Noord-Brabant                      ;NB.            ;20220101;            
707;Landerd;01 jan 1994 ;01 jan 2022 ;GM1685  ;Noord-Brabant                      ;NB.            ;19940101;20220101    
708;Landgraaf;01 jan 1982 ;            ;GM0882  ;Limburg                            ;L.             ;19820101;            
709;Landsmeer;01 jan 1830 ;            ;GM0415  ;Noord-Holland                      ;NH.            ;18300101;            
710;Langbroek;01 jan 1830 ;01 jan 1996 ;GM0325  ;Utrecht                            ;U.             ;18300101;19960101    
711;Lange Ruige Weide;01 jan 1830 ;01 feb 1964 ;GM1101  ;Zuid-Holland                       ;ZH.            ;18300101;19640201    
712;Langedijk;01 aug 1941 ;01 jan 2022 ;GM0416  ;Noord-Holland                      ;NH.            ;19410801;20220101    
713;Langerak;01 jan 1830 ;01 jan 1986 ;GM0543  ;Zuid-Holland                       ;ZH.            ;18300101;19860101    
714;Lansingerland;01 jan 2007 ;            ;GM1621  ;Zuid-Holland                       ;ZH.            ;20070101;            
715;Laren (Gld.);01 jan 1830 ;01 aug 1971 ;GM0259  ;Gelderland                         ;Gld.           ;18300101;19710801    
716;Laren (NH.);01 jan 1830 ;            ;GM0417  ;Noord-Holland                      ;NH.            ;18300101;            
717;Leek;01 jan 1830 ;01 jan 2019 ;GM0022  ;Groningen                          ;Gr.            ;18300101;20190101    
718;Leende;01 jan 1830 ;01 jan 1997 ;GM0805  ;Noord-Brabant                      ;NB.            ;18300101;19970101    
719;Leens;01 jan 1830 ;01 jan 1990 ;GM0023  ;Groningen                          ;Gr.            ;18300101;19900101    
720;Leerbroek;01 jan 1830 ;01 jan 1986 ;GM0544  ;Zuid-Holland                       ;ZH.            ;18300101;19860101    
721;Leerdam;01 jan 1830 ;01 jan 2019 ;GM0545  ;Zuid-Holland                       ;ZH.            ;18300101;20190101    
722;Leersum;01 jan 1830 ;01 jan 2006 ;GM0326  ;Utrecht                            ;U.             ;18300101;20060101    
723;Leeuwarden;01 jan 1830 ;            ;GM0080  ;Friesland                          ;F.             ;18300101;            
724;Leeuwarderadeel;01 jan 1830 ;01 jan 2018 ;GM0081  ;Friesland                          ;F.             ;18300101;20180101    
725;Leiden;01 jan 1830 ;            ;GM0546  ;Zuid-Holland                       ;ZH.            ;18300101;            
726;Leiderdorp;01 jan 1830 ;            ;GM0547  ;Zuid-Holland                       ;ZH.            ;18300101;            
727;Leidschendam;01 jan 1938 ;01 jan 2002 ;GM0548  ;Zuid-Holland                       ;ZH.            ;19380101;20020101    
728;Leidschendam-Voorburg;01 jan 2002 ;            ;GM1916  ;Zuid-Holland                       ;ZH.            ;20020101;            
729;Leimuiden;01 jan 1830 ;01 jan 1991 ;GM0549  ;Zuid-Holland                       ;ZH.            ;18300101;19910101    
730;Lekkerkerk;01 jan 1830 ;01 jan 1985 ;GM0550  ;Zuid-Holland                       ;ZH.            ;18300101;19850101    
731;Lelystad;01 jan 1980 ;            ;GM0995  ;Flevoland                          ;Fle.           ;19800101;            
732;Lemsterland;01 jan 1830 ;01 jan 2014 ;GM0082  ;Friesland                          ;F.             ;18300101;20140101    
733;Leudal;01 jan 2007 ;            ;GM1640  ;Limburg                            ;L.             ;20070101;            
734;Leusden;01 jan 1830 ;            ;GM0327  ;Utrecht                            ;U.             ;18300101;            
735;Lexmond;01 jan 1830 ;01 jan 1986 ;GM0551  ;Zuid-Holland                       ;ZH.            ;18300101;19860101    
736;Lichtenvoorde;01 jan 1830 ;01 jan 2005 ;GM0260  ;Gelderland                         ;Gld.           ;18300101;20050101    
737;Liemeer;01 jan 1994 ;01 jan 2007 ;GM1673  ;Zuid-Holland                       ;ZH.            ;19940101;20070101    
738;Liempde;01 jan 1830 ;01 jan 1996 ;GM0806  ;Noord-Brabant                      ;NB.            ;18300101;19960101    
739;Lienden;01 jan 1830 ;01 jan 1999 ;GM0261  ;Gelderland                         ;Gld.           ;18300101;19990101    
