ID;SoortBromfiets;RegioS;Perioden;VoertuigenMetBromfietskenteken_1;VoertuigenPer1000Inwoners_2
4466;Voertuigen met bromfietskenteken;Midden-Delfland;2009;1320.0;75.0
4467;Voertuigen met bromfietskenteken;Midden-Delfland;2010;1476.0;83.0
4468;Voertuigen met bromfietskenteken;Midden-Delfland;2011;1595.0;88.0
4469;Voertuigen met bromfietskenteken;Midden-Delfland;2012;1699.0;93.0
4470;Voertuigen met bromfietskenteken;Midden-Delfland;2013;1710.0;94.0
4471;Voertuigen met bromfietskenteken;Midden-Delfland;2014;1747.0;95.0
4472;Voertuigen met bromfietskenteken;Midden-Delfland;2015;2765.0;148.0
4473;Voertuigen met bromfietskenteken;Midden-Delfland;2016;3103.0;164.0
4474;Voertuigen met bromfietskenteken;Midden-Delfland;2017;3211.0;169.0
4475;Voertuigen met bromfietskenteken;Midden-Delfland;2018;1836.0;95.0
4476;Voertuigen met bromfietskenteken;Midden-Delfland;2019;1859.0;96.0
4477;Voertuigen met bromfietskenteken;Midden-Delfland;2020;1872.0;97.0
4478;Voertuigen met bromfietskenteken;Midden-Delfland;2021;1868.0;96.0
4479;Voertuigen met bromfietskenteken;Midden-Delfland;2022;1848.0;95.0
4480;Voertuigen met bromfietskenteken;Midden-Drenthe;2007;1215.0;36.0
4481;Voertuigen met bromfietskenteken;Midden-Drenthe;2008;1299.0;39.0
4482;Voertuigen met bromfietskenteken;Midden-Drenthe;2009;1373.0;41.0
4483;Voertuigen met bromfietskenteken;Midden-Drenthe;2010;1521.0;45.0
4484;Voertuigen met bromfietskenteken;Midden-Drenthe;2011;1635.0;49.0
4485;Voertuigen met bromfietskenteken;Midden-Drenthe;2012;1729.0;52.0
4486;Voertuigen met bromfietskenteken;Midden-Drenthe;2013;1767.0;53.0
4487;Voertuigen met bromfietskenteken;Midden-Drenthe;2014;1812.0;54.0
4488;Voertuigen met bromfietskenteken;Midden-Drenthe;2015;1823.0;55.0
4489;Voertuigen met bromfietskenteken;Midden-Drenthe;2016;1878.0;56.0
4490;Voertuigen met bromfietskenteken;Midden-Drenthe;2017;1939.0;58.0
4491;Voertuigen met bromfietskenteken;Midden-Drenthe;2018;1996.0;60.0
4492;Voertuigen met bromfietskenteken;Midden-Drenthe;2019;2041.0;62.0
4493;Voertuigen met bromfietskenteken;Midden-Drenthe;2020;2152.0;65.0
4494;Voertuigen met bromfietskenteken;Midden-Drenthe;2021;2299.0;69.0
4495;Voertuigen met bromfietskenteken;Midden-Drenthe;2022;2473.0;73.0
4496;Voertuigen met bromfietskenteken;Midden-Groningen;2007;;
4497;Voertuigen met bromfietskenteken;Midden-Groningen;2008;;
