ID;ProductsOfActivityAndOtherItems;Periods;TotalSupplyAtBasicPrices_1;DomesticOutput_2;Total_3;ImportsOfGoods_4;ImportsOfServices_5;TotalUseAtPurchaserSPrices_6;IntermediateConsumption_7;Total_8;HouseholdsAndNPISHs_9;GeneralGovernment_10;GrossFixedCapitalFormation_11;ChangesInInventoriesInclValuables_12;Total_13;ExportsOfGoods_14;ExportsOfServices_15;TotalSupplyAtBasicPrices_16;DomesticOutput_17;Total_18;ImportsOfGoods_19;ImportsOfServices_20;TotalUseAtPurchaserSPrices_21;IntermediateConsumption_22;Total_23;HouseholdsAndNPISHs_24;GeneralGovernment_25;GrossFixedCapitalFormation_26;ChangesInInventoriesInclValuables_27;Total_28;ExportsOfGoods_29;ExportsOfServices_30;TotalSupplyAtBasicPrices_31;DomesticOutput_32;Total_33;ImportsOfGoods_34;ImportsOfServices_35;TotalUseAtPurchaserSPrices_36;IntermediateConsumption_37;Total_38;HouseholdsAndNPISHs_39;GeneralGovernment_40;GrossFixedCapitalFormation_41;ChangesInInventoriesInclValuables_42;Total_43;ExportsOfGoods_44;ExportsOfServices_45;TotalSupplyAtBasicPrices_46;DomesticOutput_47;Total_48;ImportsOfGoods_49;ImportsOfServices_50;TotalUseAtPurchaserSPrices_51;IntermediateConsumption_52;Total_53;HouseholdsAndNPISHs_54;GeneralGovernment_55;GrossFixedCapitalFormation_56;ChangesInInventoriesInclValuables_57;Total_58;ExportsOfGoods_59;ExportsOfServices_60
313;73-75 Advertising, design and other;2022;37451;23419;14032;6;14026;38159;29965;1046;997;49;0;0;7148;6;7142;36189.0;22637.0;13552.0;6.0;13546.0;36885.0;28984.0;976.0;931.0;45.0;;;6925.0;6.0;6919.0;10.7;7.1;17.4;-72.7;17.6;10.3;8.9;0.5;1.1;-10.0;;;18.4;-53.8;18.6;103.5;103.5;103.5;100.0;103.5;103.5;103.4;107.2;107.1;108.9;;;103.2;100.0;103.2
314;73-75 Advertising, design and other;2023;40270;25121;15149;6;15143;41056;32836;1119;1098;21;0;0;7101;9;7092;37129.0;23137.0;13992.0;6.0;13986.0;37865.0;30339.0;967.0;950.0;17.0;;;6560.0;9.0;6551.0;2.6;2.2;3.2;0.0;3.3;2.7;4.7;-1.0;2.0;-61.2;;;-5.3;50.0;-5.3;108.5;108.6;108.3;100.0;108.3;108.4;108.2;115.8;115.6;120.4;;;108.3;100.0;108.3
315;73 Advertising and market research..;2021;25083;14022;11061;0;11061;25456;20129;0;0;0;0;0;5327;0;5327;25083.0;14022.0;11061.0;0.0;11061.0;25456.0;20129.0;0.0;0.0;0.0;0.0;;5327.0;0.0;5327.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;100.0;100.0;;;;;;100.0;;100.0
316;73 Advertising and market research..;2022;28840;15348;13492;0;13492;29161;22644;0;0;0;0;0;6517;0;6517;27865.0;14838.0;13027.0;;13027.0;28191.0;21880.0;;;;;;6311.0;;6311.0;11.1;5.8;17.8;;17.8;10.7;8.7;;;;;;18.5;;18.5;103.5;103.4;103.6;;103.6;103.4;103.5;;;;;;103.3;;103.3
317;73 Advertising and market research..;2023;30949;16430;14519;0;14519;31319;24926;0;0;0;0;0;6393;0;6393;28594.0;15183.0;13410.0;;13410.0;28961.0;23054.0;;;;;;5905.0;;5905.0;2.6;2.3;2.9;;2.9;2.7;5.4;;;;;;-6.4;;-6.4;108.2;108.2;108.3;;108.3;108.1;108.1;;;;;;108.3;;108.3
318;74-75 Other specialised services;2021;7595;7117;478;22;456;7976;6484;971;921;50;0;0;521;13;508;7595.0;7117.0;478.0;22.0;456.0;7976.0;6484.0;971.0;921.0;50.0;0.0;;521.0;13.0;508.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;;100.0;100.0;100.0
319;74-75 Other specialised services;2022;8611;8071;540;6;534;8998;7321;1046;997;49;0;0;631;6;625;8324.0;7799.0;525.0;6.0;519.0;8694.0;7104.0;976.0;931.0;45.0;;;614.0;6.0;608.0;9.6;9.6;9.8;-72.7;13.8;9.0;9.6;0.5;1.1;-10.0;;;17.9;-53.8;19.7;103.4;103.5;102.9;100.0;102.9;103.5;103.1;107.2;107.1;108.9;;;102.8;100.0;102.8
320;74-75 Other specialised services;2023;9321;8691;630;6;624;9737;7910;1119;1098;21;0;0;708;9;699;8536.0;7954.0;582.0;6.0;576.0;8905.0;7284.0;967.0;950.0;17.0;;;655.0;9.0;646.0;2.5;2.0;10.9;0.0;11.0;2.4;2.5;-1.0;2.0;-61.2;;;6.7;50.0;6.2;109.2;109.3;108.2;100.0;108.3;109.3;108.6;115.8;115.6;120.4;;;108.1;100.0;108.2
321;74 Other professional, scientific and..;2021;6546;6068;478;22;456;6786;6107;159;141;18;0;0;520;13;507;6546.0;6068.0;478.0;22.0;456.0;6786.0;6107.0;159.0;141.0;18.0;0.0;;520.0;13.0;507.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;;100.0;100.0;100.0
322;74 Other professional, scientific and..;2022;7466;6926;540;6;534;7703;6893;181;162;19;0;0;629;6;623;7258.0;6733.0;525.0;6.0;519.0;7489.0;6706.0;171.0;153.0;18.0;;;612.0;6.0;606.0;10.9;11.0;9.8;-72.7;13.8;10.4;9.8;7.5;8.5;0.0;;;17.7;-53.8;19.5;102.9;102.9;102.9;100.0;102.9;102.9;102.8;105.8;105.9;105.6;;;102.8;100.0;102.8
323;74 Other professional, scientific and..;2023;8099;7469;630;6;624;8356;7440;210;189;21;0;0;706;9;697;7474.0;6891.0;582.0;6.0;576.0;7708.0;6877.0;178.0;159.0;19.0;;;653.0;9.0;644.0;3.0;2.4;10.9;0.0;11.0;2.9;2.6;3.9;3.7;5.3;;;6.7;50.0;6.3;108.4;108.4;108.2;100.0;108.3;108.4;108.2;118.2;119.1;110.8;;;108.1;100.0;108.2
324;75 Veterinary services;2021;1049;1049;0;0;0;1190;377;812;780;32;0;0;1;0;1;1049.0;1049.0;0.0;0.0;0.0;1190.0;377.0;812.0;780.0;32.0;0.0;;1.0;0.0;1.0;;;;;;;;;;;;;;;;100.0;100.0;;;;100.0;100.0;100.0;100.0;100.0;;;100.0;;100.0
325;75 Veterinary services;2022;1145;1145;0;0;0;1295;428;865;835;30;0;0;2;0;2;1066.0;1066.0;;;;1205.0;398.0;805.0;778.0;27.0;;;2.0;;2.0;1.6;1.6;;;;1.3;5.6;-0.9;-0.3;-15.6;;;100.0;;100.0;107.4;107.4;;;;107.5;107.5;107.5;107.3;111.1;;;100.0;;100.0
326;75 Veterinary services;2023;1222;1222;0;0;0;1381;470;909;909;0;0;0;2;0;2;1063.0;1063.0;;;;1198.0;407.0;789.0;791.0;-1.0;;;2.0;;2.0;-0.3;-0.3;;;;-0.5;2.3;-2.0;1.7;-103.3;;;0.0;;0.0;114.9;114.9;;;;115.2;115.4;115.2;114.9;0.0;;;100.0;;100.0
327;N Administrative and support services;2021;189091;145822;43269;0;43269;193158;108343;13106;12613;493;2649;0;69060;0;69060;189091.0;145822.0;43269.0;0.0;43269.0;193158.0;108343.0;13106.0;12613.0;493.0;2649.0;;69060.0;0.0;69060.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;;100.0
328;N Administrative and support services;2022;214703;170389;44314;0;44314;218951;118971;16516;16004;512;3244;0;80220;0;80220;202087.0;160192.0;41895.0;;41895.0;206151.0;111582.0;15377.0;14894.0;483.0;3087.0;;76105.0;;76105.0;6.9;9.9;-3.2;;-3.2;6.7;3.0;17.3;18.1;-2.0;16.5;;10.2;;10.2;106.2;106.4;105.8;;105.8;106.2;106.6;107.4;107.5;106.0;105.1;;105.4;;105.4
329;N Administrative and support services;2023;234889;188080;46809;0;46809;239826;130004;18860;18284;576;3581;0;87381;0;87381;204254.0;162305.0;41946.0;;41946.0;208591.0;110601.0;16470.0;15979.0;491.0;3244.0;;78286.0;;78286.0;1.1;1.3;0.1;;0.1;1.2;-0.9;7.1;7.3;1.6;5.1;;2.9;;2.9;115.0;115.9;111.6;;111.6;115.0;117.5;114.5;114.4;117.4;110.4;;111.6;;111.6
330;77 Rental and leasing services;2021;106092;65608;40484;0;40484;107064;41291;6980;6980;0;2649;0;56144;0;56144;106092.0;65608.0;40484.0;0.0;40484.0;107064.0;41291.0;6980.0;6980.0;0.0;2649.0;;56144.0;0.0;56144.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;;100.0;;100.0;;100.0
331;77 Rental and leasing services;2022;111586;70925;40661;0;40661;112445;41701;7423;7423;0;3244;0;60077;0;60077;105801.0;67357.0;38444.0;;38444.0;106634.0;39603.0;6969.0;6969.0;;3087.0;;56975.0;;56975.0;-0.3;2.7;-5.0;;-5.0;-0.4;-4.1;-0.2;-0.2;;16.5;;1.5;;1.5;105.5;105.3;105.8;;105.8;105.4;105.3;106.5;106.5;;105.1;;105.4;;105.4
332;77 Rental and leasing services;2023;119179;76810;42369;0;42369;120144;44999;8206;8206;0;3581;0;63358;0;63358;106972.0;68856.0;38120.0;;38120.0;107873.0;40229.0;7229.0;7229.0;;3244.0;;57169.0;;57169.0;1.1;2.2;-0.8;;-0.8;1.2;1.6;3.7;3.7;;5.1;;0.3;;0.3;111.4;111.6;111.1;;111.1;111.4;111.9;113.5;113.5;;110.4;;110.8;;110.8
333;78 Employment services;2021;47195;46606;589;0;589;48639;48061;488;0;488;0;0;90;0;90;47195.0;46606.0;589.0;0.0;589.0;48639.0;48061.0;488.0;0.0;488.0;0.0;;90.0;0.0;90.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;;100.0;;;100.0;;100.0
334;78 Employment services;2022;53938;53245;693;0;693;55499;54884;500;0;500;0;0;115;0;115;50166.0;49521.0;645.0;;645.0;51641.0;51063.0;471.0;;471.0;;;107.0;;107.0;6.3;6.3;9.5;;9.5;6.2;6.2;-3.5;;-3.5;;;18.9;;18.9;107.5;107.5;107.4;;107.4;107.5;107.5;106.2;;106.2;;;107.5;;107.5
335;78 Employment services;2023;57226;56344;882;0;882;59040;58380;564;0;564;0;0;96;0;96;47854.0;47121.0;732.0;;732.0;49381.0;48827.0;479.0;;479.0;;;74.0;;74.0;-4.6;-4.8;13.6;;13.6;-4.4;-4.4;1.8;;1.8;;;-30.4;;-30.4;119.6;119.6;120.4;;120.4;119.6;119.6;117.6;;117.6;;;129.0;;129.0
336;79 Travel agency, tour operator and..;2021;9894;9541;353;0;353;10029;856;2109;2109;0;0;0;7064;0;7064;9894.0;9541.0;353.0;0.0;353.0;10029.0;856.0;2109.0;2109.0;0.0;0.0;;7064.0;0.0;7064.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;;;;100.0;;100.0
337;79 Travel agency, tour operator and..;2022;18938;18181;757;0;757;19168;1244;4672;4672;0;0;0;13252;0;13252;17628.0;16935.0;693.0;;693.0;17847.0;1149.0;4184.0;4184.0;;;;12514.0;;12514.0;78.2;77.5;96.3;;96.3;78.0;34.2;98.4;98.4;;;;77.2;;77.2;107.4;107.4;109.2;;109.2;107.4;108.3;111.7;111.7;;;;105.9;;105.9
338;79 Travel agency, tour operator and..;2023;23280;22444;836;0;836;23603;1457;5860;5860;0;0;0;16286;0;16286;20199.0;19504.0;697.0;;697.0;20487.0;1229.0;4886.0;4886.0;;;;14369.0;;14369.0;14.6;15.2;0.5;;0.5;14.8;7.0;16.8;16.8;;;;14.8;;14.8;115.3;115.1;120.0;;120.0;115.2;118.5;119.9;119.9;;;;113.3;;113.3
339;80-82 Security, other business services;2021;25910;24067;1843;0;1843;27426;18135;3529;3524;5;0;0;5762;0;5762;25910.0;24067.0;1843.0;0.0;1843.0;27426.0;18135.0;3529.0;3524.0;5.0;0.0;;5762.0;0.0;5762.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;100.0;;;100.0;;100.0
340;80-82 Security, other business services;2022;30241;28038;2203;0;2203;31839;21142;3921;3909;12;0;0;6776;0;6776;28492.0;26379.0;2113.0;;2113.0;30029.0;19767.0;3753.0;3741.0;12.0;;;6509.0;;6509.0;10.0;9.6;14.7;;14.7;9.5;9.0;6.3;6.2;140.0;;;13.0;;13.0;106.1;106.3;104.3;;104.3;106.0;107.0;104.5;104.5;100.0;;;104.1;;104.1
341;80-82 Security, other business services;2023;35204;32482;2722;0;2722;37039;25168;4230;4218;12;0;0;7641;0;7641;29237.0;26842.0;2400.0;;2400.0;30859.0;20338.0;3853.0;3841.0;11.0;;;6667.0;;6667.0;2.6;1.8;13.6;;13.6;2.8;2.9;2.7;2.7;-8.3;;;2.4;;2.4;120.4;121.0;113.4;;113.4;120.0;123.7;109.8;109.8;109.1;;;114.6;;114.6
342;80 Security and investigation services;2021;3320;3283;37;0;37;3500;3422;22;22;0;0;0;56;0;56;3320.0;3283.0;37.0;0.0;37.0;3500.0;3422.0;22.0;22.0;0.0;0.0;;56.0;0.0;56.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;;;;100.0;;100.0
343;80 Security and investigation services;2022;3964;3922;42;0;42;4158;4060;25;25;0;0;0;73;0;73;3852.0;3811.0;41.0;;41.0;4042.0;3948.0;23.0;23.0;;;;71.0;;71.0;16.0;16.1;10.8;;10.8;15.5;15.4;4.5;4.5;;;;26.8;;26.8;102.9;102.9;102.4;;102.4;102.9;102.8;108.7;108.7;;;;102.8;;102.8
344;80 Security and investigation services;2023;4846;4801;45;0;45;5079;4959;28;28;0;0;0;92;0;92;4171.0;4131.0;40.0;;40.0;4372.0;4273.0;24.0;24.0;;;;75.0;;75.0;8.3;8.4;-2.4;;-2.4;8.2;8.2;4.0;4.0;;;;5.5;;5.5;116.2;116.2;112.4;;112.4;116.2;116.1;117.1;117.1;;;;122.8;;122.8
345;81 Services to buildings and..;2021;12238;12218;20;0;20;13390;9860;3471;3471;0;0;0;59;0;59;12238.0;12218.0;20.0;0.0;20.0;13390.0;9860.0;3471.0;3471.0;0.0;0.0;;59.0;0.0;59.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;;;;100.0;;100.0
346;81 Services to buildings and..;2022;13822;13822;0;0;0;15047;11136;3836;3836;0;0;0;75;0;75;13239.0;13239.0;0.0;;0.0;14405.0;10660.0;3672.0;3672.0;;;;73.0;;73.0;8.2;8.4;-100.0;;-100.0;7.6;8.1;5.8;5.8;;;;23.7;;23.7;104.4;104.4;;;;104.5;104.5;104.5;104.5;;;;102.7;;102.7
347;81 Services to buildings and..;2023;15102;15102;0;0;0;16499;12280;4141;4141;0;0;0;78;0;78;13500.0;13500.0;;;;14730.0;10893.0;3774.0;3774.0;;;;63.0;;63.0;2.0;2.0;;;;2.3;2.2;2.8;2.8;;;;-13.3;;-13.3;111.9;111.9;;;;112.0;112.7;109.7;109.7;;;;123.3;;123.3
348;82 Office administrative, office..;2021;10352;8566;1786;0;1786;10536;4853;36;31;5;0;0;5647;0;5647;10352.0;8566.0;1786.0;0.0;1786.0;10536.0;4853.0;36.0;31.0;5.0;0.0;;5647.0;0.0;5647.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;100.0;;;100.0;;100.0
349;82 Office administrative, office..;2022;12455;10294;2161;0;2161;12634;5946;60;48;12;0;0;6628;0;6628;11401.0;9329.0;2072.0;;2072.0;11582.0;5159.0;58.0;46.0;12.0;;;6365.0;;6365.0;10.1;8.9;16.0;;16.0;9.9;6.3;61.1;48.4;140.0;;;12.7;;12.7;109.2;110.3;104.3;;104.3;109.1;115.3;103.4;104.3;100.0;;;104.1;;104.1
350;82 Office administrative, office..;2023;15256;12579;2677;0;2677;15461;7929;61;49;12;0;0;7471;0;7471;11576.0;9230.0;2360.0;;2360.0;11766.0;5188.0;54.0;43.0;11.0;;;6529.0;;6529.0;1.5;-1.1;13.9;;13.9;1.6;0.6;-6.7;-6.3;-8.3;;;2.6;;2.6;131.8;136.3;113.4;;113.4;131.4;152.8;112.7;113.6;109.1;;;114.4;;114.4
351;O-Q Government, education and care;2021;238312;238049;263;0;263;238953;14235;222901;18253;204648;739;0;1078;0;1078;238312.0;238049.0;263.0;0.0;263.0;238953.0;14235.0;222901.0;18253.0;204648.0;739.0;;1078.0;0.0;1078.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;;100.0
352;O-Q Government, education and care;2022;255116;254793;323;0;323;255822;15399;238298;19727;218571;802;0;1323;0;1323;242623.0;242306.0;317.0;;317.0;243305.0;14919.0;226307.0;19407.0;206900.0;786.0;;1293.0;;1293.0;1.8;1.8;20.5;;20.5;1.8;4.8;1.5;6.3;1.1;6.4;;19.9;;19.9;105.1;105.2;101.9;;101.9;105.1;103.2;105.3;101.6;105.6;102.0;;102.3;;102.3
353;O-Q Government, education and care;2023;278658;278329;329;0;329;279441;16588;260680;21496;239184;840;0;1333;0;1333;249177.0;248871.0;306.0;;306.0;249888.0;15301.0;232536.0;19665.0;212861.0;791.0;;1258.0;;1258.0;2.7;2.7;-3.4;;-3.4;2.7;2.6;2.8;1.3;2.9;0.6;;-2.7;;-2.7;111.8;111.8;107.4;;107.4;111.8;108.4;112.1;109.3;112.4;106.2;;106.0;;106.0
354;O Public administration and services;2021;90449;90412;37;0;37;90449;3170;85674;1315;84359;739;0;866;0;866;90449.0;90412.0;37.0;0.0;37.0;90449.0;3170.0;85674.0;1315.0;84359.0;739.0;;866.0;0.0;866.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;;100.0
355;O Public administration and services;2022;97621;97591;30;0;30;97621;3302;92445;1429;91016;802;0;1072;0;1072;92326.0;92296.0;30.0;;30.0;92326.0;3226.0;87265.0;1397.0;85868.0;786.0;;1049.0;;1049.0;2.1;2.1;-18.9;;-18.9;2.1;1.8;1.9;6.2;1.8;6.4;;21.1;;21.1;105.7;105.7;100.0;;100.0;105.7;102.4;105.9;102.3;106.0;102.0;;102.2;;102.2
356;O Public administration and services;2023;108562;108534;28;0;28;108562;3406;103255;1494;101761;840;0;1061;0;1061;96032.0;96005.0;27.0;;27.0;96032.0;3203.0;91016.0;1423.0;89592.0;791.0;;1014.0;;1014.0;4.0;4.0;-10.0;;-10.0;4.0;-0.7;4.3;1.9;4.3;0.6;;-3.4;;-3.4;113.0;113.1;103.7;;103.7;113.0;106.4;113.4;105.0;113.6;106.2;;104.7;;104.7
357;84 Public administration and defence..;2021;90449;90412;37;0;37;90449;3170;85674;1315;84359;739;0;866;0;866;90449.0;90412.0;37.0;0.0;37.0;90449.0;3170.0;85674.0;1315.0;84359.0;739.0;;866.0;0.0;866.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;;100.0
358;84 Public administration and defence..;2022;97621;97591;30;0;30;97621;3302;92445;1429;91016;802;0;1072;0;1072;92326.0;92296.0;30.0;;30.0;92326.0;3226.0;87265.0;1397.0;85868.0;786.0;;1049.0;;1049.0;2.1;2.1;-18.9;;-18.9;2.1;1.8;1.9;6.2;1.8;6.4;;21.1;;21.1;105.7;105.7;100.0;;100.0;105.7;102.4;105.9;102.3;106.0;102.0;;102.2;;102.2
359;84 Public administration and defence..;2023;108562;108534;28;0;28;108562;3406;103255;1494;101761;840;0;1061;0;1061;96032.0;96005.0;27.0;;27.0;96032.0;3203.0;91016.0;1423.0;89592.0;791.0;;1014.0;;1014.0;4.0;4.0;-10.0;;-10.0;4.0;-0.7;4.3;1.9;4.3;0.6;;-3.4;;-3.4;113.0;113.1;103.7;;103.7;113.0;106.4;113.4;105.0;113.6;106.2;;104.7;;104.7
360;P Education;2021;43721;43495;226;0;226;44195;5015;38968;4829;34139;0;0;212;0;212;43721.0;43495.0;226.0;0.0;226.0;44195.0;5015.0;38968.0;4829.0;34139.0;0.0;;212.0;0.0;212.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;100.0;;;100.0;;100.0
361;P Education;2022;48408;48115;293;0;293;48933;5583;43099;5008;38091;0;0;251;0;251;44254.0;43967.0;287.0;;287.0;44762.0;5447.0;39071.0;5080.0;33991.0;;;244.0;;244.0;1.2;1.1;27.0;;27.0;1.3;8.6;0.3;5.2;-0.4;;;15.1;;15.1;109.4;109.4;102.1;;102.1;109.3;102.5;110.3;98.6;112.1;;;102.9;;102.9
362;P Education;2023;52050;51749;301;0;301;52633;6086;46275;5671;40604;0;0;272;0;272;44061.0;43782.0;279.0;;279.0;44588.0;5594.0;38762.0;5017.0;33742.0;;;244.0;;244.0;-0.4;-0.4;-2.7;;-2.7;-0.4;2.7;-0.8;-1.2;-0.7;;;0.0;;0.0;118.1;118.2;107.8;;107.8;118.0;108.8;119.4;113.0;120.3;;;111.5;;111.5
363;85 Education services;2021;43721;43495;226;0;226;44195;5015;38968;4829;34139;0;0;212;0;212;43721.0;43495.0;226.0;0.0;226.0;44195.0;5015.0;38968.0;4829.0;34139.0;0.0;;212.0;0.0;212.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;100.0;;;100.0;;100.0
364;85 Education services;2022;48408;48115;293;0;293;48933;5583;43099;5008;38091;0;0;251;0;251;44254.0;43967.0;287.0;;287.0;44762.0;5447.0;39071.0;5080.0;33991.0;;;244.0;;244.0;1.2;1.1;27.0;;27.0;1.3;8.6;0.3;5.2;-0.4;;;15.1;;15.1;109.4;109.4;102.1;;102.1;109.3;102.5;110.3;98.6;112.1;;;102.9;;102.9
365;85 Education services;2023;52050;51749;301;0;301;52633;6086;46275;5671;40604;0;0;272;0;272;44061.0;43782.0;279.0;;279.0;44588.0;5594.0;38762.0;5017.0;33742.0;;;244.0;;244.0;-0.4;-0.4;-2.7;;-2.7;-0.4;2.7;-0.8;-1.2;-0.7;;;0.0;;0.0;118.1;118.2;107.8;;107.8;118.0;108.8;119.4;113.0;120.3;;;111.5;;111.5
366;Q Health and social work activities;2021;104142;104142;0;0;0;104309;6050;98259;12109;86150;0;0;0;0;0;104142.0;104142.0;0.0;0.0;0.0;104309.0;6050.0;98259.0;12109.0;86150.0;0.0;;0.0;0.0;0.0;;;;;;;;;;;;;;;;100.0;100.0;;;;100.0;100.0;100.0;100.0;100.0;;;;;
367;Q Health and social work activities;2022;109087;109087;0;0;0;109268;6514;102754;13290;89464;0;0;0;0;0;106043.0;106043.0;;;;106217.0;6246.0;99971.0;12930.0;87041.0;;;;;;1.8;1.8;;;;1.8;3.2;1.7;6.8;1.0;;;;;;102.9;102.9;;;;102.9;104.3;102.8;102.8;102.8;;;;;
368;Q Health and social work activities;2023;118046;118046;0;0;0;118246;7096;111150;14331;96819;0;0;0;0;0;109138.0;109138.0;;;;109321.0;6502.0;102818.0;13219.0;89599.0;;;;;;2.9;2.9;;;;2.9;4.1;2.8;2.2;2.9;;;;;;108.2;108.2;;;;108.2;109.1;108.1;108.4;108.1;;;;;
369;86 Human health services;2021;57528;57528;0;0;0;57695;4807;52888;8337;44551;0;0;0;0;0;57528.0;57528.0;0.0;0.0;0.0;57695.0;4807.0;52888.0;8337.0;44551.0;0.0;;0.0;0.0;0.0;;;;;;;;;;;;;;;;100.0;100.0;;;;100.0;100.0;100.0;100.0;100.0;;;;;
370;86 Human health services;2022;58697;58697;0;0;0;58878;5122;53756;8775;44981;0;0;0;0;0;57058.0;57058.0;;;;57232.0;4928.0;52304.0;8548.0;43756.0;;;;;;-0.8;-0.8;;;;-0.8;2.5;-1.1;2.5;-1.8;;;;;;102.9;102.9;;;;102.9;103.9;102.8;102.7;102.8;;;;;
371;86 Human health services;2023;61959;61959;0;0;0;62159;5509;56650;9243;47407;0;0;0;0;0;57462.0;57462.0;;;;57645.0;5069.0;52574.0;8555.0;44020.0;;;;;;0.7;0.7;;;;0.7;2.9;0.5;0.1;0.6;;;;;;107.8;107.8;;;;107.8;108.7;107.8;108.0;107.7;;;;;
372;87-88 Residential care and social works;2021;46614;46614;0;0;0;46614;1243;45371;3772;41599;0;0;0;0;0;46614.0;46614.0;0.0;0.0;0.0;46614.0;1243.0;45371.0;3772.0;41599.0;0.0;;0.0;0.0;0.0;;;;;;;;;;;;;;;;100.0;100.0;;;;100.0;100.0;100.0;100.0;100.0;;;;;
373;87-88 Residential care and social works;2022;50390;50390;0;0;0;50390;1392;48998;4515;44483;0;0;0;0;0;48985.0;48985.0;;;;48985.0;1318.0;47667.0;4382.0;43285.0;;;;;;5.1;5.1;;;;5.1;6.0;5.1;16.2;4.1;;;;;;102.9;102.9;;;;102.9;105.6;102.8;103.0;102.8;;;;;
374;87-88 Residential care and social works;2023;56087;56087;0;0;0;56087;1587;54500;5088;49412;0;0;0;0;0;51676.0;51676.0;;;;51676.0;1432.0;50243.0;4663.0;45579.0;;;;;;5.5;5.5;;;;5.5;8.6;5.4;6.4;5.3;;;;;;108.5;108.5;;;;108.5;110.9;108.5;109.1;108.4;;;;;
375;R-U Culture, recreation, other services;2021;32100;31018;1082;166;916;33466;8992;23114;19721;3393;0;77;1283;132;1151;32100.0;31018.0;1082.0;166.0;916.0;33466.0;8992.0;23114.0;19721.0;3393.0;0.0;;1283.0;132.0;1151.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;;100.0;100.0;100.0
376;R-U Culture, recreation, other services;2022;38997;37504;1493;317;1176;41295;9709;29884;26105;3779;0;169;1533;204;1329;37362.0;35935.0;1427.0;306.0;1121.0;39389.0;9341.0;28412.0;24804.0;3608.0;;;1469.0;195.0;1274.0;16.4;15.9;31.9;84.3;22.4;17.7;3.9;22.9;25.8;6.3;;;14.5;47.7;10.7;104.4;104.4;104.6;103.6;104.9;104.8;103.9;105.2;105.2;104.7;;;104.4;104.6;104.3
377;R-U Culture, recreation, other services;2023;42690;41065;1625;220;1405;45186;10515;33238;29256;3982;0;51;1382;182;1200;39133.0;37627.0;1506.0;210.0;1294.0;41201.0;9678.0;30149.0;26488.0;3661.0;;;1302.0;173.0;1129.0;4.7;4.7;5.6;-31.2;15.5;4.6;3.6;6.1;6.8;1.5;;;-11.4;-11.3;-11.4;109.1;109.1;107.9;104.5;108.5;109.7;108.7;110.2;110.5;108.8;;;106.1;105.2;106.3
378;R Culture, sports and recreation;2021;13727;12984;743;166;577;14429;3500;9823;8188;1635;0;77;1029;132;897;13727.0;12984.0;743.0;166.0;577.0;14429.0;3500.0;9823.0;8188.0;1635.0;0.0;;1029.0;132.0;897.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;;100.0;100.0;100.0
379;R Culture, sports and recreation;2022;18791;17723;1068;317;751;20291;3857;15073;13220;1853;0;169;1192;204;988;18191.0;17167.0;1024.0;306.0;718.0;19463.0;3703.0;14450.0;12612.0;1838.0;;;1143.0;195.0;948.0;32.5;32.2;37.8;84.3;24.4;34.9;5.8;47.1;54.0;12.4;;;11.1;47.7;5.7;103.3;103.2;104.3;103.6;104.6;104.3;104.2;104.3;104.8;100.8;;;104.3;104.6;104.2
