ID;SectorBranchesSIC2008;Periods;Employee_1;EmployedPerson_2;Employee_3;EmployedPerson_4;Total_5;NetTurnover_6;OtherRevenues_7;Total_8;PurchaseValueOfSales_9;Total_10;GrossWagesAndSalaries_11;Total_12;EmployerPaidSocialInsurancePremiums_13;PensionAndEarlyRetirementPremiums_14;OtherSocialInsuranceCosts_15;OtherPersonnelCosts_16;Total_17;CostsOfEnergyUse_18;HousingCosts_19;EquipmentAndInventoryCosts_20;TransportCosts_21;SalesCosts_22;CommunicationCosts_23;CostsOfOtherServices_24;OtherLiabilities_25;DepreciationFixedAssets_26;OperatingResults_27;NetFinancialIncome_28;BalanceOfProvisions_29;NetExtraordinaryIncome_30;PreTaxResults_31
280;9601 Cleaning of clothes of textile ;2009;9.2;11.9;7.3;9.5;844.0;840.0;4.0;714.0;104.0;323.0;217.0;55.0;35.0;20.0;2.0;50.0;177.0;30.0;29.0;17.0;38.0;8.0;5.0;18.0;32.0;110.0;130.0;-10.0;1.0;-2.0;119.0
281;9601 Cleaning of clothes of textile ;2010;9.4;12.5;7.2;9.6;842.0;839.0;3.0;736.0;114.0;325.0;215.0;53.0;36.0;18.0;1.0;55.0;183.0;35.0;32.0;18.0;36.0;11.0;6.0;17.0;28.0;114.0;106.0;-9.0;0.0;7.0;104.0
282;9601 Cleaning of clothes of textile ;2011;9.9;12.7;7.6;10.0;853.0;850.0;4.0;770.0;108.0;344.0;227.0;56.0;39.0;17.0;1.0;59.0;202.0;36.0;35.0;18.0;41.0;11.0;6.0;18.0;38.0;117.0;84.0;-6.0;3.0;-2.0;79.0
283;9601 Cleaning of clothes of textile ;2012;9.8;12.6;7.6;10.1;853.0;849.0;4.0;772.0;103.0;343.0;220.0;58.0;39.0;19.0;4.0;61.0;199.0;35.0;32.0;25.0;39.0;11.0;6.0;18.0;34.0;127.0;82.0;-8.0;1.0;-1.0;74.0
284;9601 Cleaning of clothes of textile ;2013;9.9;12.5;7.7;10.0;855.0;850.0;5.0;768.0;112.0;338.0;219.0;58.0;40.0;19.0;5.0;56.0;201.0;35.0;31.0;26.0;38.0;11.0;9.0;15.0;37.0;117.0;87.0;-6.0;2.0;2.0;84.0
285;9602 Hairdressing and beauty treatment;2009;26.7;64.1;19.2;52.4;1688.0;1674.0;13.0;1184.0;245.0;458.0;366.0;67.0;57.0;10.0;6.0;19.0;415.0;38.0;132.0;30.0;29.0;56.0;19.0;29.0;83.0;66.0;504.0;-37.0;-1.0;23.0;489.0
286;9602 Hairdressing and beauty treatment;2010;30.3;72.5;21.4;59.0;1990.0;1965.0;25.0;1384.0;300.0;502.0;398.0;74.0;63.0;11.0;6.0;24.0;502.0;44.0;156.0;35.0;36.0;73.0;23.0;39.0;95.0;81.0;606.0;-36.0;-1.0;20.0;588.0
287;9602 Hairdressing and beauty treatment;2011;34.3;73.3;23.1;56.6;2058.0;2043.0;14.0;1463.0;316.0;585.0;459.0;89.0;73.0;16.0;7.0;30.0;476.0;40.0;165.0;26.0;27.0;57.0;27.0;42.0;92.0;86.0;595.0;-25.0;2.0;22.0;594.0
288;9602 Hairdressing and beauty treatment;2012;33.5;73.8;22.2;56.8;2056.0;2042.0;14.0;1467.0;310.0;601.0;471.0;92.0;75.0;17.0;8.0;31.0;471.0;41.0;167.0;26.0;27.0;56.0;26.0;40.0;88.0;84.0;590.0;-27.0;1.0;22.0;586.0
289;9602 Hairdressing and beauty treatment;2013;32.1;76.0;21.2;58.9;2031.0;2017.0;15.0;1438.0;316.0;583.0;456.0;91.0;74.0;17.0;7.0;28.0;457.0;41.0;163.0;26.0;26.0;53.0;26.0;39.0;85.0;82.0;594.0;-24.0;1.0;20.0;590.0
290;9603 Funeral and related activities;2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
291;9603 Funeral and related activities;2010;7.3;8.6;4.6;5.7;1050.0;1044.0;6.0;949.0;464.0;244.0;173.0;44.0;25.0;19.0;1.0;27.0;193.0;12.0;32.0;9.0;20.0;35.0;11.0;30.0;44.0;49.0;101.0;-8.0;-3.0;1.0;91.0
292;9603 Funeral and related activities;2011;7.5;9.2;4.6;5.8;1060.0;1056.0;4.0;1012.0;511.0;259.0;184.0;47.0;27.0;21.0;1.0;27.0;192.0;11.0;33.0;10.0;22.0;44.0;8.0;23.0;41.0;50.0;48.0;-4.0;-11.0;2.0;35.0
293;9603 Funeral and related activities;2012;7.3;8.7;4.7;6.0;1015.0;1010.0;5.0;907.0;432.0;258.0;178.0;47.0;28.0;18.0;1.0;33.0;171.0;10.0;33.0;9.0;19.0;40.0;8.0;23.0;30.0;46.0;108.0;7.0;-2.0;0.0;114.0
294;9603 Funeral and related activities;2013;8.0;9.5;4.9;6.2;1073.0;1069.0;4.0;1003.0;470.0;281.0;202.0;50.0;30.0;20.0;2.0;28.0;201.0;13.0;45.0;10.0;22.0;38.0;10.0;25.0;38.0;50.0;71.0;15.0;-3.0;5.0;87.0
