ID;Countries;SIC2008;Periods;ForeignSubsidiary_1;Employees_2;Revenue_3;PersonnelCosts_4;Investments_5
454;European Union (excl. the Netherlands);307600;2021;391.0;37.0;16094.0;1767.0;573.0
455;European Union (excl. the Netherlands);307600;2022;385.0;36.0;19704.0;1889.0;631.0
456;European Union (excl. the Netherlands);311300;2021;70.0;25.0;7835.0;1286.0;472.0
457;European Union (excl. the Netherlands);311300;2022;89.0;27.0;9736.0;1541.0;680.0
458;European Union (excl. the Netherlands);312200;2021;;;;;
459;European Union (excl. the Netherlands);312200;2022;;;;;
460;European Union (excl. the Netherlands);312500;2021;29.0;3.0;261.0;57.0;3.0
461;European Union (excl. the Netherlands);312500;2022;31.0;2.0;268.0;50.0;8.0
462;European Union (excl. the Netherlands);312505;2021;58.0;4.0;348.0;79.0;13.0
463;European Union (excl. the Netherlands);312505;2022;50.0;3.0;327.0;64.0;11.0
464;European Union (excl. the Netherlands);314000;2021;;;;;
465;European Union (excl. the Netherlands);314000;2022;;;;4.0;
466;European Union (excl. the Netherlands);315200;2021;;;;;
467;European Union (excl. the Netherlands);315200;2022;;;;;
468;European Union (excl. the Netherlands);315810;2021;84.0;5.0;896.0;194.0;
469;European Union (excl. the Netherlands);315810;2022;110.0;6.0;1446.0;253.0;72.0
470;European Union (excl. the Netherlands);315800;2021;35.0;1.0;203.0;31.0;
471;European Union (excl. the Netherlands);315800;2022;40.0;;673.0;;22.0
472;European Union (excl. the Netherlands);317100;2021;26.0;2.0;387.0;87.0;20.0
473;European Union (excl. the Netherlands);317100;2022;25.0;1.0;384.0;78.0;12.0
474;European Union (excl. the Netherlands);318600;2021;22.0;2.0;307.0;76.0;
475;European Union (excl. the Netherlands);318600;2022;45.0;;389.0;;
476;European Union (excl. the Netherlands);320000;2021;47.0;12.0;28537.0;699.0;
477;European Union (excl. the Netherlands);320000;2022;7.0;1.0;5495.0;44.0;
478;European Union (excl. the Netherlands);320700;2021;102.0;11.0;5885.0;640.0;97.0
479;European Union (excl. the Netherlands);320700;2022;87.0;9.0;3627.0;558.0;79.0
480;European Union (excl. the Netherlands);323200;2021;23.0;1.0;148.0;45.0;74.0
481;European Union (excl. the Netherlands);323200;2022;53.0;4.0;2305.0;210.0;123.0
482;European Union (excl. the Netherlands);323705;2021;118.0;5.0;896.0;162.0;62.0
483;European Union (excl. the Netherlands);323705;2022;91.0;4.0;921.0;171.0;63.0
484;European Union (excl. the Netherlands);323700;2021;108.0;5.0;705.0;145.0;
485;European Union (excl. the Netherlands);323700;2022;83.0;4.0;654.0;154.0;
486;European Union (excl. the Netherlands);324600;2021;10.0;;191.0;17.0;
487;European Union (excl. the Netherlands);324600;2022;8.0;;266.0;17.0;
488;European Union (excl. the Netherlands);328100;2021;42.0;3.0;2519.0;157.0;80.0
489;European Union (excl. the Netherlands);328100;2022;79.0;;2632.0;201.0;
490;European Union (excl. the Netherlands);328105;2021;306.0;19.0;5929.0;797.0;214.0
491;European Union (excl. the Netherlands);328105;2022;402.0;22.0;6559.0;949.0;324.0
492;European Union (excl. the Netherlands);330300;2021;264.0;16.0;3410.0;640.0;134.0
493;European Union (excl. the Netherlands);330300;2022;323.0;;3927.0;748.0;
494;European Union (excl. the Netherlands);332900;2021;40.0;3.0;204.0;323.0;16.0
495;European Union (excl. the Netherlands);332900;2022;53.0;4.0;288.0;353.0;32.0
496;European Union (excl. the Netherlands);334800;2021;75.0;12.0;1998.0;492.0;35.0
497;European Union (excl. the Netherlands);334800;2022;68.0;11.0;2165.0;528.0;42.0
498;European Union (excl. the Netherlands);336500;2021;180.0;11.0;2893.0;645.0;67.0
499;European Union (excl. the Netherlands);336500;2022;209.0;14.0;3031.0;737.0;271.0
500;European Union (excl. the Netherlands);339200;2021;29.0;3.0;476.0;107.0;20.0
501;European Union (excl. the Netherlands);339200;2022;142.0;124.0;117135.0;7133.0;1794.0
502;European Union (excl. the Netherlands);339205;2021;52.0;6.0;1387.0;206.0;27.0
503;European Union (excl. the Netherlands);339205;2022;188.0;127.0;118202.0;7254.0;1800.0
504;European Union (excl. the Netherlands);340200;2021;24.0;3.0;911.0;99.0;8.0
505;European Union (excl. the Netherlands);340200;2022;46.0;4.0;1068.0;122.0;6.0
506;European Union (excl. the Netherlands);341600;2021;49.0;19.0;419.0;436.0;159.0
507;European Union (excl. the Netherlands);341600;2022;41.0;18.0;1028.0;423.0;
508;European Union (excl. the Netherlands);342400;2021;115.0;24.0;5771.0;1304.0;438.0
509;European Union (excl. the Netherlands);342400;2022;147.0;23.0;6043.0;1290.0;
510;European Union (excl. the Netherlands);344400;2021;188.0;5.0;937.0;240.0;38.0
511;European Union (excl. the Netherlands);344400;2022;172.0;4.0;;191.0;10.0
512;European Union (excl. the Netherlands);346600;2021;177.0;4.0;6219.0;213.0;3001.0
513;European Union (excl. the Netherlands);346600;2022;286.0;5.0;;246.0;
514;European Union (excl. the Netherlands);346700;2021;177.0;4.0;6219.0;213.0;3001.0
515;European Union (excl. the Netherlands);346700;2022;286.0;5.0;;246.0;
516;European Union (excl. the Netherlands);348000;2021;98.0;1.0;1032.0;79.0;
517;European Union (excl. the Netherlands);348000;2022;54.0;1.0;;114.0;20.0
518;European Union (excl. the Netherlands);348100;2021;;;;;
519;European Union (excl. the Netherlands);348100;2022;;;;;
520;European Union (excl. the Netherlands);348400;2021;;;;;
521;European Union (excl. the Netherlands);348400;2022;;;;;
522;European Union (excl. the Netherlands);348700;2021;76.0;1.0;1014.0;73.0;13.0
523;European Union (excl. the Netherlands);348700;2022;44.0;1.0;1000.0;109.0;
524;European Union (excl. the Netherlands);349700;2021;6.0;;;;
525;European Union (excl. the Netherlands);349700;2022;3.0;;8.0;;
526;European Union (excl. the Netherlands);350000;2021;506.0;17.0;7693.0;1072.0;377.0
527;European Union (excl. the Netherlands);350000;2022;572.0;13.0;8392.0;989.0;438.0
528;European Union (excl. the Netherlands);350100;2021;204.0;8.0;4772.0;457.0;226.0
529;European Union (excl. the Netherlands);350100;2022;269.0;4.0;5465.0;346.0;243.0
530;European Union (excl. the Netherlands);350600;2021;131.0;8.0;2279.0;488.0;88.0
531;European Union (excl. the Netherlands);350600;2022;105.0;4.0;1377.0;249.0;77.0
532;European Union (excl. the Netherlands);351900;2021;171.0;2.0;642.0;127.0;62.0
533;European Union (excl. the Netherlands);351900;2022;199.0;5.0;1550.0;394.0;118.0
534;European Union (excl. the Netherlands);354200;2021;2863.0;223.0;86688.0;8660.0;3250.0
535;European Union (excl. the Netherlands);354200;2022;3243.0;245.0;113416.0;9973.0;3877.0
536;European Union (excl. the Netherlands);354300;2021;174.0;4.0;3491.0;139.0;308.0
537;European Union (excl. the Netherlands);354300;2022;169.0;10.0;16093.0;431.0;424.0
538;European Union (excl. the Netherlands);356900;2021;2116.0;50.0;39356.0;3347.0;1116.0
539;European Union (excl. the Netherlands);356900;2022;2484.0;56.0;50670.0;3627.0;879.0
540;European Union (excl. the Netherlands);371600;2021;573.0;170.0;43842.0;5174.0;1825.0
541;European Union (excl. the Netherlands);371600;2022;590.0;179.0;46654.0;5915.0;2574.0
542;European Union (excl. the Netherlands);383100;2021;806.0;53.0;9334.0;2002.0;544.0
543;European Union (excl. the Netherlands);383100;2022;1011.0;55.0;10170.0;2130.0;765.0
544;European Union (excl. the Netherlands);383200;2021;265.0;34.0;4445.0;937.0;
545;European Union (excl. the Netherlands);383200;2022;279.0;32.0;4561.0;1021.0;120.0
546;European Union (excl. the Netherlands);384900;2021;97.0;1.0;301.0;65.0;26.0
547;European Union (excl. the Netherlands);384900;2022;166.0;1.0;446.0;67.0;290.0
548;European Union (excl. the Netherlands);386300;2021;19.0;;70.0;9.0;
549;European Union (excl. the Netherlands);386300;2022;32.0;;209.0;22.0;1.0
550;European Union (excl. the Netherlands);386800;2021;381.0;13.0;3030.0;779.0;327.0
551;European Union (excl. the Netherlands);386800;2022;497.0;18.0;3166.0;782.0;300.0
552;European Union (excl. the Netherlands);388400;2021;45.0;5.0;1487.0;212.0;45.0
553;European Union (excl. the Netherlands);388400;2022;38.0;4.0;1788.0;238.0;53.0
554;European Union (excl. the Netherlands);389100;2021;200.0;6.0;447.0;153.0;223.0
555;European Union (excl. the Netherlands);389100;2022;221.0;7.0;1111.0;218.0;510.0
556;European Union (excl. the Netherlands);389200;2021;157.0;4.0;349.0;108.0;213.0
557;European Union (excl. the Netherlands);389200;2022;209.0;;;;505.0
558;European Union (excl. the Netherlands);390500;2021;44.0;2.0;98.0;44.0;10.0
559;European Union (excl. the Netherlands);390500;2022;12.0;;;;5.0
560;European Union (excl. the Netherlands);391600;2021;700.0;23.0;3852.0;1308.0;217.0
561;European Union (excl. the Netherlands);391600;2022;917.0;23.0;3741.0;1574.0;286.0
562;European Union (excl. the Netherlands);391700;2021;100.0;7.0;1325.0;518.0;86.0
563;European Union (excl. the Netherlands);391700;2022;142.0;7.0;;533.0;
564;European Union (excl. the Netherlands);800021;2021;20.0;;157.0;10.0;
565;European Union (excl. the Netherlands);800021;2022;16.0;;53.0;17.0;
566;European Union (excl. the Netherlands);392600;2021;;;;;
567;European Union (excl. the Netherlands);392600;2022;;;;;3.0
568;European Union (excl. the Netherlands);393600;2021;;;;;
569;European Union (excl. the Netherlands);393600;2022;;;;;
570;European Union (excl. the Netherlands);394100;2021;61.0;1.0;729.0;52.0;1.0
571;European Union (excl. the Netherlands);394100;2022;87.0;2.0;422.0;120.0;6.0
572;European Union (excl. the Netherlands);395005;2021;519.0;14.0;1640.0;728.0;129.0
573;European Union (excl. the Netherlands);395005;2022;671.0;14.0;;905.0;
574;European Union (excl. the Netherlands);395000;2021;450.0;13.0;1540.0;683.0;126.0
575;European Union (excl. the Netherlands);395000;2022;592.0;14.0;1958.0;863.0;
576;European Union (excl. the Netherlands);395600;2021;69.0;1.0;100.0;44.0;4.0
577;European Union (excl. the Netherlands);395600;2022;79.0;1.0;;41.0;
578;European Union (excl. the Netherlands);396300;2021;300.0;43.0;16297.0;2625.0;1044.0
579;European Union (excl. the Netherlands);396300;2022;326.0;41.0;16092.0;2485.0;568.0
580;European Union (excl. the Netherlands);396400;2021;109.0;32.0;9184.0;2032.0;618.0
581;European Union (excl. the Netherlands);396400;2022;147.0;30.0;9633.0;1925.0;518.0
582;European Union (excl. the Netherlands);398700;2021;51.0;9.0;6745.0;423.0;23.0
583;European Union (excl. the Netherlands);398700;2022;65.0;8.0;6172.0;394.0;
584;European Union (excl. the Netherlands);400200;2021;140.0;3.0;368.0;170.0;402.0
585;European Union (excl. the Netherlands);400200;2022;114.0;3.0;286.0;166.0;
586;European Union (excl. the Netherlands);402000;2021;841.0;2.0;1618.0;133.0;4064.0
587;European Union (excl. the Netherlands);402000;2022;886.0;2.0;2794.0;149.0;2707.0
588;European Union (excl. the Netherlands);402100;2021;841.0;2.0;1618.0;133.0;4064.0
589;European Union (excl. the Netherlands);402100;2022;886.0;2.0;2794.0;149.0;2707.0
590;European Union (excl. the Netherlands);403300;2021;815.0;34.0;5844.0;2933.0;960.0
591;European Union (excl. the Netherlands);403300;2022;1047.0;45.0;8182.0;3523.0;560.0
592;European Union (excl. the Netherlands);403400;2021;71.0;1.0;78.0;54.0;3.0
593;European Union (excl. the Netherlands);403400;2022;79.0;;144.0;72.0;
594;European Union (excl. the Netherlands);403405;2021;589.0;24.0;4406.0;1791.0;824.0
595;European Union (excl. the Netherlands);403405;2022;827.0;33.0;6295.0;2514.0;509.0
596;European Union (excl. the Netherlands);404900;2021;338.0;12.0;2796.0;1175.0;740.0
597;European Union (excl. the Netherlands);404900;2022;434.0;;4058.0;1621.0;316.0
598;European Union (excl. the Netherlands);405900;2021;180.0;10.0;1532.0;563.0;81.0
599;European Union (excl. the Netherlands);405900;2022;315.0;14.0;2093.0;821.0;
600;European Union (excl. the Netherlands);406800;2021;79.0;9.0;1115.0;1046.0;
601;European Union (excl. the Netherlands);406800;2022;79.0;9.0;1373.0;865.0;39.0
602;European Union (excl. the Netherlands);408105;2021;147.0;1.0;322.0;95.0;
603;European Union (excl. the Netherlands);408105;2022;141.0;3.0;514.0;144.0;12.0
604;European Union (excl. the Netherlands);408100;2021;125.0;1.0;277.0;78.0;
605;European Union (excl. the Netherlands);408100;2022;122.0;2.0;410.0;111.0;
606;European Union (excl. the Netherlands);408700;2021;;;;;
607;European Union (excl. the Netherlands);408700;2022;16.0;1.0;;33.0;
608;European Union (excl. the Netherlands);409900;2021;;;;;
609;European Union (excl. the Netherlands);409900;2022;;;;;
610;European Union (excl. the Netherlands);410200;2021;1253.0;80.0;29224.0;3903.0;5658.0
611;European Union (excl. the Netherlands);410200;2022;1233.0;83.0;30445.0;4049.0;6447.0
612;European Union (excl. the Netherlands);410300;2021;245.0;12.0;9277.0;701.0;5570.0
613;European Union (excl. the Netherlands);410300;2022;216.0;11.0;9861.0;715.0;5425.0
614;European Union (excl. the Netherlands);800010;2021;1008.0;68.0;19947.0;3202.0;88.0
615;European Union (excl. the Netherlands);800010;2022;1017.0;72.0;20584.0;3334.0;1021.0
616;European Union (excl. the Netherlands);412700;2021;357.0;33.0;14941.0;1877.0;33.0
617;European Union (excl. the Netherlands);412700;2022;356.0;31.0;14624.0;1799.0;31.0
618;European Union (excl. the Netherlands);413700;2021;59.0;5.0;277.0;151.0;
619;European Union (excl. the Netherlands);413700;2022;53.0;4.0;485.0;209.0;2.0
620;European Union (excl. the Netherlands);414300;2021;15.0;4.0;207.0;178.0;
621;European Union (excl. the Netherlands);414300;2022;43.0;;237.0;;
622;European Union (excl. the Netherlands);415000;2021;70.0;9.0;323.0;181.0;5.0
623;European Union (excl. the Netherlands);415000;2022;65.0;;780.0;;
624;European Union (excl. the Netherlands);415900;2021;507.0;17.0;4199.0;814.0;47.0
625;European Union (excl. the Netherlands);415900;2022;500.0;18.0;4458.0;791.0;120.0
626;European Union (excl. the Netherlands);419000;2021;31.0;;53.0;25.0;1.0
627;European Union (excl. the Netherlands);419000;2022;23.0;;67.0;28.0;1.0
628;European Union (excl. the Netherlands);419100;2021;31.0;;53.0;25.0;1.0
629;European Union (excl. the Netherlands);419100;2022;23.0;;67.0;28.0;1.0
630;European Union (excl. the Netherlands);422400;2021;140.0;5.0;688.0;221.0;
631;European Union (excl. the Netherlands);422400;2022;156.0;5.0;681.0;217.0;
632;European Union (excl. the Netherlands);422500;2021;;;;;
633;European Union (excl. the Netherlands);422500;2022;147.0;5.0;679.0;217.0;
634;European Union (excl. the Netherlands);425300;2021;;;;;
635;European Union (excl. the Netherlands);425300;2022;;;;;
636;European Union (excl. the Netherlands);425305;2021;;;;;
637;European Union (excl. the Netherlands);425305;2022;;;;;
638;European Union (excl. the Netherlands);426600;2021;;;;;
639;European Union (excl. the Netherlands);426600;2022;;;;;
640;European Union (excl. the Netherlands);428100;2021;101.0;9.0;1021.0;201.0;224.0
641;European Union (excl. the Netherlands);428100;2022;120.0;8.0;1900.0;281.0;325.0
642;European Union (excl. the Netherlands);428200;2021;26.0;;93.0;;
643;European Union (excl. the Netherlands);428200;2022;;;;;
644;European Union (excl. the Netherlands);429300;2021;;;;;
645;European Union (excl. the Netherlands);429300;2022;;;;;
646;European Union (excl. the Netherlands);430600;2021;;1.0;;36.0;
647;European Union (excl. the Netherlands);430600;2022;22.0;1.0;;;20.0
648;European Union (excl. the Netherlands);431100;2021;60.0;6.0;;120.0;219.0
649;European Union (excl. the Netherlands);431100;2022;84.0;;974.0;150.0;
650;European Union (excl. the Netherlands);435500;2021;19.0;;57.0;7.0;
651;European Union (excl. the Netherlands);435500;2022;20.0;;95.0;18.0;
652;European Union (excl. the Netherlands);435600;2021;;;;;
653;European Union (excl. the Netherlands);435600;2022;;;;;
654;European Union (excl. the Netherlands);437500;2021;;;;;
655;European Union (excl. the Netherlands);437500;2022;;;;;
656;European Union (excl. the Netherlands);438600;2021;;;;;
657;European Union (excl. the Netherlands);438600;2022;8.0;;84.0;;
658;European Union (excl. the Netherlands);441000;2021;;;;;
659;European Union (excl. the Netherlands);441000;2022;;;;;
660;Afghanistan;305700;2021;;;;;
661;Afghanistan;305700;2022;;;;;
662;Afghanistan;800012;2021;;;;;
663;Afghanistan;800012;2022;;;;;
664;Afghanistan;305800;2021;;;;;
665;Afghanistan;305800;2022;;;;;
666;Afghanistan;306300;2021;;;;;
667;Afghanistan;306300;2022;;;;;
668;Afghanistan;307000;2021;;;;;
669;Afghanistan;307000;2022;;;;;
670;Afghanistan;307500;2021;;;;;
671;Afghanistan;307500;2022;;;;;
672;Afghanistan;307610;2021;;;;;
673;Afghanistan;307610;2022;;;;;
674;Afghanistan;307600;2021;;;;;
675;Afghanistan;307600;2022;;;;;
676;Afghanistan;311300;2021;;;;;
677;Afghanistan;311300;2022;;;;;
678;Afghanistan;312200;2021;;;;;
679;Afghanistan;312200;2022;;;;;
680;Afghanistan;312500;2021;;;;;
681;Afghanistan;312500;2022;;;;;
682;Afghanistan;312505;2021;;;;;
683;Afghanistan;312505;2022;;;;;
684;Afghanistan;314000;2021;;;;;
685;Afghanistan;314000;2022;;;;;
686;Afghanistan;315200;2021;;;;;
687;Afghanistan;315200;2022;;;;;
688;Afghanistan;315810;2021;;;;;
689;Afghanistan;315810;2022;;;;;
690;Afghanistan;315800;2021;;;;;
691;Afghanistan;315800;2022;;;;;
692;Afghanistan;317100;2021;;;;;
693;Afghanistan;317100;2022;;;;;
694;Afghanistan;318600;2021;;;;;
695;Afghanistan;318600;2022;;;;;
696;Afghanistan;320000;2021;;;;;
697;Afghanistan;320000;2022;;;;;
698;Afghanistan;320700;2021;;;;;
699;Afghanistan;320700;2022;;;;;
700;Afghanistan;323200;2021;;;;;
701;Afghanistan;323200;2022;;;;;
702;Afghanistan;323705;2021;;;;;
703;Afghanistan;323705;2022;;;;;
704;Afghanistan;323700;2021;;;;;
705;Afghanistan;323700;2022;;;;;
706;Afghanistan;324600;2021;;;;;
707;Afghanistan;324600;2022;;;;;
708;Afghanistan;328100;2021;;;;;
709;Afghanistan;328100;2022;;;;;
710;Afghanistan;328105;2021;;;;;
711;Afghanistan;328105;2022;;;;;
712;Afghanistan;330300;2021;;;;;
713;Afghanistan;330300;2022;;;;;
714;Afghanistan;332900;2021;;;;;
715;Afghanistan;332900;2022;;;;;
716;Afghanistan;334800;2021;;;;;
717;Afghanistan;334800;2022;;;;;
718;Afghanistan;336500;2021;;;;;
719;Afghanistan;336500;2022;;;;;
720;Afghanistan;339200;2021;;;;;
721;Afghanistan;339200;2022;;;;;
722;Afghanistan;339205;2021;;;;;
723;Afghanistan;339205;2022;;;;;
724;Afghanistan;340200;2021;;;;;
725;Afghanistan;340200;2022;;;;;
726;Afghanistan;341600;2021;;;;;
727;Afghanistan;341600;2022;;;;;
728;Afghanistan;342400;2021;;;;;
729;Afghanistan;342400;2022;;;;;
730;Afghanistan;344400;2021;;;;;
731;Afghanistan;344400;2022;;;;;
732;Afghanistan;346600;2021;;;;;
733;Afghanistan;346600;2022;;;;;
734;Afghanistan;346700;2021;;;;;
735;Afghanistan;346700;2022;;;;;
736;Afghanistan;348000;2021;;;;;
737;Afghanistan;348000;2022;;;;;
738;Afghanistan;348100;2021;;;;;
739;Afghanistan;348100;2022;;;;;
740;Afghanistan;348400;2021;;;;;
741;Afghanistan;348400;2022;;;;;
742;Afghanistan;348700;2021;;;;;
743;Afghanistan;348700;2022;;;;;
744;Afghanistan;349700;2021;;;;;
745;Afghanistan;349700;2022;;;;;
746;Afghanistan;350000;2021;;;;;
747;Afghanistan;350000;2022;;;;;
748;Afghanistan;350100;2021;;;;;
749;Afghanistan;350100;2022;;;;;
750;Afghanistan;350600;2021;;;;;
751;Afghanistan;350600;2022;;;;;
752;Afghanistan;351900;2021;;;;;
753;Afghanistan;351900;2022;;;;;
754;Afghanistan;354200;2021;;;;;
755;Afghanistan;354200;2022;;;;;
756;Afghanistan;354300;2021;;;;;
757;Afghanistan;354300;2022;;;;;
758;Afghanistan;356900;2021;;;;;
759;Afghanistan;356900;2022;;;;;
760;Afghanistan;371600;2021;;;;;
761;Afghanistan;371600;2022;;;;;
762;Afghanistan;383100;2021;;;;;
763;Afghanistan;383100;2022;;;;;
764;Afghanistan;383200;2021;;;;;
765;Afghanistan;383200;2022;;;;;
766;Afghanistan;384900;2021;;;;;
767;Afghanistan;384900;2022;;;;;
768;Afghanistan;386300;2021;;;;;
769;Afghanistan;386300;2022;;;;;
770;Afghanistan;386800;2021;;;;;
771;Afghanistan;386800;2022;;;;;
772;Afghanistan;388400;2021;;;;;
773;Afghanistan;388400;2022;;;;;
774;Afghanistan;389100;2021;;;;;
775;Afghanistan;389100;2022;;;;;
776;Afghanistan;389200;2021;;;;;
777;Afghanistan;389200;2022;;;;;
778;Afghanistan;390500;2021;;;;;
779;Afghanistan;390500;2022;;;;;
780;Afghanistan;391600;2021;;;;;
781;Afghanistan;391600;2022;;;;;
782;Afghanistan;391700;2021;;;;;
783;Afghanistan;391700;2022;;;;;
784;Afghanistan;800021;2021;;;;;
785;Afghanistan;800021;2022;;;;;
786;Afghanistan;392600;2021;;;;;
787;Afghanistan;392600;2022;;;;;
788;Afghanistan;393600;2021;;;;;
789;Afghanistan;393600;2022;;;;;
790;Afghanistan;394100;2021;;;;;
791;Afghanistan;394100;2022;;;;;
792;Afghanistan;395005;2021;;;;;
793;Afghanistan;395005;2022;;;;;
794;Afghanistan;395000;2021;;;;;
795;Afghanistan;395000;2022;;;;;
796;Afghanistan;395600;2021;;;;;
797;Afghanistan;395600;2022;;;;;
798;Afghanistan;396300;2021;;;;;
799;Afghanistan;396300;2022;;;;;
800;Afghanistan;396400;2021;;;;;
801;Afghanistan;396400;2022;;;;;
802;Afghanistan;398700;2021;;;;;
803;Afghanistan;398700;2022;;;;;
804;Afghanistan;400200;2021;;;;;
805;Afghanistan;400200;2022;;;;;
806;Afghanistan;402000;2021;;;;;
807;Afghanistan;402000;2022;;;;;
808;Afghanistan;402100;2021;;;;;
809;Afghanistan;402100;2022;;;;;
810;Afghanistan;403300;2021;;;;;
811;Afghanistan;403300;2022;;;;;
812;Afghanistan;403400;2021;;;;;
813;Afghanistan;403400;2022;;;;;
814;Afghanistan;403405;2021;;;;;
815;Afghanistan;403405;2022;;;;;
816;Afghanistan;404900;2021;;;;;
817;Afghanistan;404900;2022;;;;;
818;Afghanistan;405900;2021;;;;;
819;Afghanistan;405900;2022;;;;;
820;Afghanistan;406800;2021;;;;;
821;Afghanistan;406800;2022;;;;;
822;Afghanistan;408105;2021;;;;;
823;Afghanistan;408105;2022;;;;;
824;Afghanistan;408100;2021;;;;;
825;Afghanistan;408100;2022;;;;;
826;Afghanistan;408700;2021;;;;;
827;Afghanistan;408700;2022;;;;;
828;Afghanistan;409900;2021;;;;;
829;Afghanistan;409900;2022;;;;;
830;Afghanistan;410200;2021;;;;;
831;Afghanistan;410200;2022;;;;;
832;Afghanistan;410300;2021;;;;;
833;Afghanistan;410300;2022;;;;;
834;Afghanistan;800010;2021;;;;;
835;Afghanistan;800010;2022;;;;;
836;Afghanistan;412700;2021;;;;;
837;Afghanistan;412700;2022;;;;;
838;Afghanistan;413700;2021;;;;;
839;Afghanistan;413700;2022;;;;;
840;Afghanistan;414300;2021;;;;;
841;Afghanistan;414300;2022;;;;;
842;Afghanistan;415000;2021;;;;;
843;Afghanistan;415000;2022;;;;;
844;Afghanistan;415900;2021;;;;;
845;Afghanistan;415900;2022;;;;;
846;Afghanistan;419000;2021;;;;;
847;Afghanistan;419000;2022;;;;;
848;Afghanistan;419100;2021;;;;;
849;Afghanistan;419100;2022;;;;;
850;Afghanistan;422400;2021;;;;;
851;Afghanistan;422400;2022;;;;;
852;Afghanistan;422500;2021;;;;;
853;Afghanistan;422500;2022;;;;;
854;Afghanistan;425300;2021;;;;;
855;Afghanistan;425300;2022;;;;;
856;Afghanistan;425305;2021;;;;;
857;Afghanistan;425305;2022;;;;;
858;Afghanistan;426600;2021;;;;;
859;Afghanistan;426600;2022;;;;;
860;Afghanistan;428100;2021;;;;;
861;Afghanistan;428100;2022;;;;;
862;Afghanistan;428200;2021;;;;;
863;Afghanistan;428200;2022;;;;;
864;Afghanistan;429300;2021;;;;;
865;Afghanistan;429300;2022;;;;;
866;Afghanistan;430600;2021;;;;;
867;Afghanistan;430600;2022;;;;;
868;Afghanistan;431100;2021;;;;;
869;Afghanistan;431100;2022;;;;;
870;Afghanistan;435500;2021;;;;;
871;Afghanistan;435500;2022;;;;;
872;Afghanistan;435600;2021;;;;;
873;Afghanistan;435600;2022;;;;;
874;Afghanistan;437500;2021;;;;;
875;Afghanistan;437500;2022;;;;;
876;Afghanistan;438600;2021;;;;;
877;Afghanistan;438600;2022;;;;;
878;Afghanistan;441000;2021;;;;;
