ID;Geslacht;LeeftijdOp31December;Perioden;Overledenen_1
244;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 29;2037
245;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 30;1891
246;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 31;2064
247;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 32;2876
248;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 33;2292
249;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 34;2027
250;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 35;2067
251;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 36;1986
252;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 37;2015
253;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 38;2061
254;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 39;2070
255;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 40;2057
256;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 41;2042
257;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 42;2111
258;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 43;2102
259;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 44;2210
260;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 45;2098
261;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 46;2117
262;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 47;2167
263;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 48;2192
264;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 49;2179
265;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 50;2145
266;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 51;2256
267;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 52 ;2186
268;Totaal mannen en vrouwen;Totaal leeftijd;1975 week 53 (3 dagen);966
269;Totaal mannen en vrouwen;Totaal leeftijd;1975;113737
270;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 1 (4 dagen);1220
271;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 2;2198
272;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 3;2198
273;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 4;2054
274;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 5;2260
275;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 6;2404
276;Totaal mannen en vrouwen;Totaal leeftijd;1976 week 7;2282
