ID;InstitutionalSectors;Periods;Total_1;Dwellings_2;BuildingsOtherThanDwellings_3;OtherStructures_4;CostsOfOwnershipTransferOfLand_5;Total_6;PassengerCars_7;OtherRoadTransportEquipment_8;TrainsAndTrams_9;Ships_10;Aircraft_11;Computers_12;TelecommunicationEquipment_13;MachineryAndInstallations_14;OtherTangibleFixedAssets_15;CultivatedBiologicalResources_16;ResearchAndDevelopment_17;ComputerSoftwareAndDatabases_18;OtherIntellectualPropertyProducts_19;Total_20;ExportsOfUsedFixedAssets_21;DomesticSalesUsedFixedAssets_22;GrossFixedCapitalFormation_23;Total_24;Dwellings_25;BuildingsOtherThanDwellings_26;OtherStructures_27;CostsOfOwnershipTransferOfLand_28;Total_29;PassengerCars_30;OtherRoadTransportEquipment_31;TrainsAndTrams_32;Ships_33;Aircraft_34;Computers_35;TelecommunicationEquipment_36;MachineryAndInstallations_37;OtherTangibleFixedAssets_38;CultivatedBiologicalResources_39;ResearchAndDevelopment_40;ComputerSoftwareAndDatabases_41;OtherIntellectualPropertyProducts_42;Total_43;ExportsOfUsedFixedAssets_44;DomesticSalesUsedFixedAssets_45;GrossFixedCapitalFormation_46;Total_47;Dwellings_48;BuildingsOtherThanDwellings_49;OtherStructures_50;CostsOfOwnershipTransferOfLand_51;Total_52;PassengerCars_53;OtherRoadTransportEquipment_54;TrainsAndTrams_55;Ships_56;Aircraft_57;Computers_58;TelecommunicationEquipment_59;MachineryAndInstallations_60;OtherTangibleFixedAssets_61;CultivatedBiologicalResources_62;ResearchAndDevelopment_63;ComputerSoftwareAndDatabases_64;OtherIntellectualPropertyProducts_65;Total_66;ExportsOfUsedFixedAssets_67;DomesticSalesUsedFixedAssets_68;GrossFixedCapitalFormation_69;Total_70;Dwellings_71;BuildingsOtherThanDwellings_72;OtherStructures_73;CostsOfOwnershipTransferOfLand_74;Total_75;PassengerCars_76;OtherRoadTransportEquipment_77;TrainsAndTrams_78;Ships_79;Aircraft_80;Computers_81;TelecommunicationEquipment_82;MachineryAndInstallations_83;OtherTangibleFixedAssets_84;CultivatedBiologicalResources_85;ResearchAndDevelopment_86;ComputerSoftwareAndDatabases_87;OtherIntellectualPropertyProducts_88;Total_89;ExportsOfUsedFixedAssets_90;DomesticSalesUsedFixedAssets_91;GrossFixedCapitalFormation_92
120;General government;1993;11655;80;2587;4080;79;366;135;134;0;48;49;571;83;985;252;0;1795;777;0;199;;;11456;15419;117;4440;6383;158;402;148;140;;59;55;49;69;1177;335;;2897;952;;309;;;15041;-2.0;-6.0;-7.6;0.3;2.7;-22.8;4.7;8.1;;-40.0;;50.4;-1.2;4.6;-28.2;;-0.8;-10.4;;;;;-1.8;75.6;68.5;58.3;63.9;50.1;91.0;91.3;95.8;;81.6;;1169.0;119.7;83.7;75.2;;62.0;81.6;;;;;76.2
121;General government;1994;12161;84;2894;4198;97;395;128;131;0;38;98;571;86;908;299;0;1822;807;0;351;;;11810;16010;121;4876;6448;188;436;141;138;;47;110;56;72;1086;395;;2897;1013;;536;;;15436;3.8;3.8;9.8;1.0;19.0;8.5;-4.4;-1.5;;-20.8;;14.0;3.6;-7.7;17.9;;0.0;6.4;;;;;2.6;76.0;69.3;59.3;65.1;51.7;90.5;90.6;95.0;;81.6;;1025.3;119.7;83.6;75.7;;62.9;79.7;;;;;76.5
122;General government;1995;12460;68;2966;4463;132;530;134;122;0;68;206;591;83;855;389;0;1769;614;0;504;;;11956;16304;97;4869;6709;251;585;148;128;;82;232;69;69;1029;511;;2773;774;;759;;;15537;1.8;-20.2;-0.1;4.0;34.0;34.2;4.7;-6.9;;76.3;;24.0;-3.5;-5.3;29.4;;-4.3;-23.5;;;;;0.7;76.4;70.3;60.9;66.5;52.5;90.5;90.6;95.0;;82.8;;855.9;119.7;83.1;76.1;;63.8;79.3;;;;;77.0
123;General government;1996;13455;39;2616;5067;173;607;115;94;0;67;331;589;122;877;581;0;1773;1011;0;427;;;13028;17440;54;4154;7446;310;665;127;99;;82;366;88;103;1052;746;;2692;1275;;634;;;16772;7.0;-44.1;-14.7;11.0;23.5;13.6;-14.2;-23.0;;0.0;;26.7;48.2;2.2;46.0;;-2.9;64.7;;;;;8.0;77.2;72.2;63.0;68.0;55.7;91.3;90.6;95.0;;81.6;;673.1;118.7;83.4;77.9;;65.9;79.3;;;;;77.7
124;General government;1997;13800;14;2543;4920;204;433;119;104;0;31;179;618;116;1156;794;0;1864;1138;0;635;;;13165;17851;19;3960;7086;348;472;131;109;;38;196;118;104;1363;1006;;2791;1444;;926;;;16927;2.4;-64.1;-4.7;-4.8;12.1;-29.0;3.5;10.6;;-53.7;;34.3;0.8;29.6;34.8;;3.7;13.3;;;;;0.9;77.3;72.2;64.2;69.4;58.6;91.7;90.6;95.0;;81.6;;525.9;112.0;84.8;78.9;;66.8;78.8;;;;;77.8
125;General government;1998;14594;37;2641;5334;219;391;116;100;0;12;163;625;126;1061;957;0;1899;1304;0;817;;;13777;18741;51;4005;7489;343;422;127;105;;13;176;155;113;1236;1189;;2765;1666;;1164;;;17602;5.0;164.3;1.1;5.7;-1.5;-10.6;-3.4;-3.8;;-64.5;;32.2;9.5;-9.3;18.3;;-0.9;15.4;;;;;4.0;77.9;72.2;65.9;71.2;63.9;92.6;91.4;95.0;;89.0;;402.3;111.1;85.8;80.5;;68.7;78.3;;;;;78.3
126;General government;1999;16330;38;2732;5978;282;313;118;102;0;18;75;725;144;1658;958;0;2053;1449;0;678;;;15652;20685;51;4017;8181;413;338;129;108;;20;80;221;130;1915;1175;;2919;1775;;927;;;19748;10.4;0.0;0.3;9.2;20.5;-19.9;1.7;3.0;;50.0;;42.6;14.3;54.9;-1.3;;5.6;6.5;;;;;12.2;78.9;74.1;68.0;73.1;68.2;92.6;91.4;94.1;;89.0;;327.3;111.1;86.6;81.6;;70.3;81.6;;;;;79.3
127;General government;2000;17465;29;3332;6786;383;282;116;112;0;26;28;776;155;1191;1133;0;2154;1244;0;645;;;16820;21422;38;4682;8907;504;299;125;116;;29;30;272;138;1336;1360;;2909;1491;;847;;;20557;3.6;-26.3;16.5;8.9;22.0;-11.5;-3.4;6.9;;44.4;;22.6;6.3;-30.2;15.8;;-0.3;-16.0;;;;;4.1;81.5;76.8;71.2;76.2;75.9;94.3;93.0;96.7;;89.0;;285.7;112.6;89.1;83.3;;74.0;83.4;;;;;81.8
128;General government;2001;19150;66;3335;7807;356;311;117;128;0;17;49;734;170;1298;1033;0;2399;1641;0;544;;;18606;22625;81;4397;9772;428;327;123;132;;19;52;301;151;1456;1195;;3084;1881;;680;;;21911;5.6;113.8;-6.1;9.7;-15.1;9.2;-1.7;14.3;;-34.6;;10.8;9.7;9.0;-12.1;;6.0;26.2;;;;;6.6;84.6;81.7;75.9;79.9;83.2;95.2;95.4;96.7;;89.0;;243.9;112.6;89.1;86.4;;77.8;87.2;;;;;84.9
129;General government;2002;20999;79;3867;8545;334;283;112;117;0;26;28;788;112;1278;1382;0;2594;1737;0;500;;;20499;24168;94;4863;10299;391;296;116;121;;29;30;376;99;1412;1556;;3197;1990;;601;;;23523;6.8;16.7;10.6;5.4;-8.7;-9.3;-5.1;-8.6;;52.9;;25.1;-34.7;-3.1;30.2;;3.7;5.8;;;;;7.4;86.9;83.8;79.5;83.0;85.5;95.6;96.3;96.7;;89.0;;209.3;113.6;90.5;88.8;;81.1;87.3;;;;;87.1
130;General government;2003;21985;55;4447;8545;362;274;112;125;0;30;7;847;147;1261;1358;0;2721;1968;0;635;;;21350;24828;63;5461;9942;412;287;115;130;;34;7;460;131;1398;1518;;3252;2221;;745;;;24043;2.7;-32.9;12.3;-3.5;5.4;-3.2;-0.9;7.7;;15.4;;22.1;33.0;-0.9;-2.5;;1.7;11.6;;;;;2.2;88.6;87.0;81.4;85.9;87.9;95.6;97.2;95.9;;89.0;;184.3;112.0;90.2;89.5;;83.7;88.6;;;;;88.8
131;General government;2004;21280;61;3788;8294;222;333;126;122;0;74;11;978;149;1332;1213;0;2793;2117;0;919;;;20361;23858;69;4573;9558;246;349;129;127;;85;12;571;139;1464;1336;;3282;2377;;1065;;;22770;-3.9;9.1;-16.3;-3.9;-40.3;21.9;11.6;-2.4;;153.3;;24.3;6.1;4.7;-12.0;;0.9;7.1;;;;;-5.3;89.2;88.5;82.8;86.8;90.4;95.3;98.0;95.9;;86.7;;171.2;107.0;91.0;90.8;;85.1;89.0;;;;;89.4
132;General government;2005;21960;72;3883;8887;247;357;101;160;0;64;32;945;177;995;1201;0;2882;2314;0;1613;;;20347;24398;80;4579;10130;267;372;103;166;;73;33;622;172;1086;1298;;3313;2558;;1829;;;22571;2.3;16.4;0.1;6.0;8.6;6.3;-19.8;30.3;;-14.9;;8.9;23.5;-25.8;-2.8;;0.9;7.6;;;;;-0.9;90.0;89.7;84.8;87.7;92.6;96.1;98.0;96.5;;88.0;;151.9;103.0;91.6;92.5;;87.0;90.5;;;;;90.1
133;General government;2006;24598;113;4648;9768;225;283;129;116;0;37;1;1031;176;1446;1111;0;2788;3009;0;1854;;;22744;26790;124;5316;10817;236;292;130;120;;42;1;753;180;1564;1191;;3110;3244;;2048;;;24745;9.8;54.2;16.1;6.8;-11.3;-21.3;25.7;-27.5;;-42.2;;21.1;4.5;44.0;-8.2;;-6.1;26.8;;;;;9.6;91.8;91.3;87.4;90.3;95.1;96.8;99.5;96.5;;88.0;;136.9;97.9;92.5;93.3;;89.6;92.8;;;;;91.9
134;General government;2007;25461;212;4926;10537;229;382;113;173;0;95;1;918;182;1304;1271;0;2834;2666;0;1743;;;23718;27068;230;5505;11264;233;389;113;175;;107;1;715;191;1382;1341;;3097;2791;;1870;;;25197;1.0;85.8;3.5;4.1;-1.3;32.9;-13.2;45.7;;154.1;;-5.0;6.3;-11.6;12.6;;-0.4;-14.0;;;;;1.8;94.1;92.2;89.5;93.5;98.1;98.3;100.4;98.8;;89.0;;128.4;95.3;94.4;94.8;;91.5;95.5;;;;;94.1
135;General government;2008;27417;180;5492;11762;255;328;106;187;0;34;1;970;170;1511;1148;0;2846;2755;0;1971;;;25446;28315;189;5924;12032;254;332;109;185;;37;1;841;178;1557;1192;;3012;2854;;2037;;;26279;4.6;-17.9;7.6;6.8;8.7;-14.7;-3.5;5.8;;-65.3;;17.5;-6.6;12.7;-11.2;;-2.8;2.3;;;;;4.3;96.8;95.4;92.7;97.8;100.5;98.9;97.6;101.0;;91.7;;115.4;95.3;97.1;96.3;;94.5;96.5;;;;;96.8
136;General government;2009;27985;153;5212;11954;307;366;100;192;0;12;62;1010;159;1680;1322;0;2983;2839;0;1407;;;26578;28684;154;5405;12227;308;371;102;194;;12;62;948;164;1709;1326;;3075;2997;;1437;;;27247;1.3;-18.3;-8.8;1.6;21.6;11.9;-5.7;4.8;;-67.6;;12.8;-8.2;9.8;11.3;;2.1;5.0;;;;;3.7;97.6;99.3;96.4;97.8;99.5;98.7;97.6;98.9;;100.0;;106.5;97.2;98.3;99.7;;97.0;94.7;;;;;97.5
137;General government;2010;27676;135;4596;11990;217;298;84;185;0;9;20;1087;211;1460;1183;0;3098;3401;0;1469;;;26207;27676;135;4596;11990;217;298;84;185;;9;20;1087;211;1460;1183;;3098;3401;;1469;;;26207;-3.5;-12.4;-15.0;-1.9;-29.6;-19.7;-18.0;-4.7;;-25.0;;14.7;28.9;-14.6;-10.8;;0.7;13.5;;;;;-3.8;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;;100.0;100.0;100.0;100.0;;100.0;100.0;;;;;100.0
138;General government;2011;27144;141;4480;11533;167;347;112;212;0;9;14;955;300;1464;1184;0;3395;3178;0;1430;;;25714;26915;145;4473;11248;167;344;112;209;;9;14;1002;314;1455;1168;;3349;3250;;1406;;;25509;-2.7;7.4;-2.7;-6.2;-23.0;15.4;33.3;13.0;;0.0;;-7.8;48.8;-0.3;-1.3;;8.1;-4.4;;;;;-2.7;100.9;97.2;100.2;102.5;100.0;100.9;100.0;101.4;;100.0;;95.3;95.5;100.6;101.4;;101.4;97.8;;;;;100.8
139;General government;2012;25493;142;4333;10501;159;342;93;219;0;9;21;942;301;1152;1225;0;3213;3183;0;1335;;;24158;25110;148;4351;10046;194;334;92;213;;9;20;1009;319;1116;1192;;3132;3290;;1299;;;23812;-6.7;2.1;-2.7;-10.7;16.2;-2.9;-17.9;1.9;;0.0;;0.7;1.7;-23.3;2.0;;-6.5;1.2;;;;;-6.7;101.5;95.9;99.6;104.5;82.0;102.4;101.1;102.8;;100.0;;93.3;94.3;103.2;102.8;;102.6;96.8;;;;;101.5
140;General government;2013;25240;130;3776;10523;115;368;122;220;0;11;15;1003;291;1319;1135;0;3352;3228;0;1483;;;23757;24528;139;3719;9925;139;355;120;210;;11;14;1069;307;1277;1095;;3233;3273;;1422;;;23104;-2.3;-6.3;-14.5;-1.2;-28.3;6.1;30.1;-1.4;;22.2;;5.9;-4.0;14.4;-8.1;;3.2;-0.5;;;;;-3.0;102.9;93.7;101.5;106.0;82.7;103.8;101.9;104.7;;100.0;;93.8;94.9;103.3;103.6;;103.7;98.6;;;;;102.8
141;General government;2014;24465;110;3685;10108;101;292;75;170;0;17;30;961;316;835;1191;0;3443;3423;0;1167;;;23298;23721;122;3625;9532;114;280;74;163;;17;27;1027;338;793;1141;;3293;3472;;1117;;;22605;-3.3;-12.3;-2.5;-4.0;-18.3;-20.9;-38.5;-22.3;;54.5;;-4.0;10.3;-37.9;4.1;;1.8;6.1;;;;;-2.2;103.1;90.4;101.7;106.0;88.8;104.1;101.9;104.1;;100.0;;93.6;93.5;105.3;104.4;;104.5;98.6;;;;;103.1
142;General government;2015;25703;91;3561;10834;67;278;101;161;0;8;8;930;353;951;1227;0;3557;3854;0;1193;;;24510;24996;104;3565;10337;70;265;98;155;;8;6;1017;411;842;1150;;3349;3892;;1156;;;23842;5.4;-14.5;-1.7;8.4;-38.6;-5.5;33.3;-5.3;;-52.9;;-0.9;21.5;6.2;0.8;;1.7;12.1;;;;;5.5;102.8;87.6;99.9;104.8;96.0;104.9;102.9;104.1;;100.0;;91.4;85.9;112.9;106.7;;106.2;99.0;;;;;102.8
143;General government;2016;25660;93;3747;10065;67;305;122;126;0;39;18;955;369;1106;1311;0;3680;3962;0;1162;;;24498;24887;107;3762;9618;68;289;118;120;;39;14;1058;438;971;1220;;3407;3971;;1129;;;23760;-0.4;3.3;5.5;-7.0;-3.0;9.0;19.8;-22.4;;387.5;;4.0;6.5;15.2;6.0;;1.7;2.0;;;;;-0.3;103.1;86.6;99.6;104.7;99.0;105.6;103.8;105.0;;100.0;;90.3;84.3;113.9;107.5;;108.0;99.8;;;;;103.1
