ID;OutputPrices;SIC2008;Periods;PriceIndexNumbersExcludingExcise_1;MonthOnMonthDevelopment_2;YearOnYearDevelopment_3;WeightFactor_4
7911;Total sales;24-30, 33 Metalectro;2020 August;107.2;-0.3;0.3;82597
7912;Total sales;24-30, 33 Metalectro;2020 September;107.1;0.0;0.1;82597
7913;Total sales;24-30, 33 Metalectro;2020 October;107.2;0.0;-0.2;82597
7914;Total sales;24-30, 33 Metalectro;2020 November;107.2;0.0;-0.2;82597
7915;Total sales;24-30, 33 Metalectro;2020 December;107.1;-0.1;-0.2;82597
7916;Total sales;24-30, 33 Metalectro;2020;107.7;;0.7;82597
7917;Total sales;24-30, 33 Metalectro;2021 January;109.0;1.7;0.8;82597
7918;Total sales;24-30, 33 Metalectro;2021 February;109.5;0.4;0.9;82597
7919;Total sales;24-30, 33 Metalectro;2021 March;109.9;0.4;1.6;82597
7920;Total sales;24-30, 33 Metalectro;2021 April;111.0;1.0;2.5;82597
7921;Total sales;24-30, 33 Metalectro;2021 May;111.0;0.0;2.5;82597
7922;Total sales;24-30, 33 Metalectro;2021 June;111.8;0.7;3.7;82597
7923;Total sales;24-30, 33 Metalectro;2021 July;113.5;1.5;5.5;82597
7924;Total sales;24-30, 33 Metalectro;2021 August;114.3;0.7;6.6;82597
7925;Total sales;24-30, 33 Metalectro;2021 September;114.8;0.4;7.1;82597
7926;Total sales;24-30, 33 Metalectro;2021 October;116.4;1.4;8.6;82597
7927;Total sales;24-30, 33 Metalectro;2021 November;116.8;0.3;8.9;82597
7928;Total sales;24-30, 33 Metalectro;2021 December;116.9;0.1;9.1;82597
7929;Total sales;24-30, 33 Metalectro;2021;112.9;;4.8;82597
7930;Total sales;24-30, 33 Metalectro;2022 January;120.0;2.7;10.2;82597
7931;Total sales;24-30, 33 Metalectro;2022 February;120.5;0.4;10.1;82597
7932;Total sales;24-30, 33 Metalectro;2022 March;121.6;0.9;10.6;82597
7933;Total sales;24-30, 33 Metalectro;2022 April;124.4;2.3;12.0;82597
7934;Total sales;24-30, 33 Metalectro;2022 May;125.4;0.8;12.9;82597
7935;Total sales;24-30, 33 Metalectro;2022 June;125.7;0.3;12.5;82597
7936;Total sales;24-30, 33 Metalectro;2022 July;128.2;2.0;13.0;82597
7937;Total sales;24-30, 33 Metalectro;2022 August;128.2;0.0;12.2;82597
7938;Total sales;24-30, 33 Metalectro;2022 September;128.4;0.1;11.8;82597
7939;Total sales;24-30, 33 Metalectro;2022 October;128.3;-0.1;10.2;82597
7940;Total sales;24-30, 33 Metalectro;2022 November;127.9;-0.3;9.5;82597
7941;Total sales;24-30, 33 Metalectro;2022 December;127.1;-0.6;8.7;82597
7942;Total sales;24-30, 33 Metalectro;2022;125.5;;11.1;82597
7943;Total sales;24-30, 33 Metalectro;2023 January;128.9;1.4;7.4;82597
7944;Total sales;24-30, 33 Metalectro;2023 February;128.8;0.0;6.9;82597
7945;Total sales;24-30, 33 Metalectro;2023 March;128.6;-0.2;5.8;82597
7946;Total sales;24-30, 33 Metalectro;2023 April;128.9;0.2;3.7;82597
7947;Total sales;24-30, 33 Metalectro;2023 May;128.8;-0.1;2.8;82597
7948;Total sales;24-30, 33 Metalectro;2023 June;128.4;-0.3;2.1;82597
7949;Total sales;24-30, 33 Metalectro;2023 July;128.6;0.2;0.3;82597
7950;Total sales;24-30, 33 Metalectro;2023 August;128.4;-0.2;0.1;82597
7951;Total sales;24-30, 33 Metalectro;2023 September;128.4;0.0;0.1;82597
7952;Total sales;24-30, 33 Metalectro;2023 October;128.3;-0.1;0.0;82597
7953;Total sales;24-30, 33 Metalectro;2023 November;127.7;-0.5;-0.2;82597
7954;Total sales;24-30, 33 Metalectro;2023 December;127.6;-0.1;0.4;82597
7955;Total sales;24-30, 33 Metalectro;2023;128.5;;2.4;82597
7956;Total sales;25 Manufacture of metal products;2012 January;99.2;;;17701
7957;Total sales;25 Manufacture of metal products;2012 February;99.5;0.3;;17701
7958;Total sales;25 Manufacture of metal products;2012 March;99.5;0.0;;17701
7959;Total sales;25 Manufacture of metal products;2012 April;99.5;0.0;;17701
7960;Total sales;25 Manufacture of metal products;2012 May;99.5;0.1;;17701
7961;Total sales;25 Manufacture of metal products;2012 June;99.6;0.0;;17701
7962;Total sales;25 Manufacture of metal products;2012 July;99.4;-0.1;;17701
7963;Total sales;25 Manufacture of metal products;2012 August;99.3;-0.1;;17701
7964;Total sales;25 Manufacture of metal products;2012 September;99.4;0.0;;17701
7965;Total sales;25 Manufacture of metal products;2012 October;99.5;0.2;;17701
7966;Total sales;25 Manufacture of metal products;2012 November;99.5;0.0;;17701
7967;Total sales;25 Manufacture of metal products;2012 December;99.4;-0.1;;17701
7968;Total sales;25 Manufacture of metal products;2012;99.5;;;17701
7969;Total sales;25 Manufacture of metal products;2013 January;99.7;0.3;0.5;17701
7970;Total sales;25 Manufacture of metal products;2013 February;99.7;0.0;0.2;17701
7971;Total sales;25 Manufacture of metal products;2013 March;99.5;-0.2;0.0;17701
7972;Total sales;25 Manufacture of metal products;2013 April;99.5;0.0;0.0;17701
7973;Total sales;25 Manufacture of metal products;2013 May;99.3;-0.3;-0.3;17701
7974;Total sales;25 Manufacture of metal products;2013 June;99.2;0.0;-0.4;17701
7975;Total sales;25 Manufacture of metal products;2013 July;98.9;-0.4;-0.6;17701
7976;Total sales;25 Manufacture of metal products;2013 August;99.0;0.2;-0.3;17701
7977;Total sales;25 Manufacture of metal products;2013 September;98.8;-0.2;-0.6;17701
7978;Total sales;25 Manufacture of metal products;2013 October;99.2;0.3;-0.4;17701
7979;Total sales;25 Manufacture of metal products;2013 November;99.6;0.4;0.1;17701
7980;Total sales;25 Manufacture of metal products;2013 December;99.6;0.0;0.2;17701
7981;Total sales;25 Manufacture of metal products;2013;99.3;;-0.1;17701
7982;Total sales;25 Manufacture of metal products;2014 January;99.9;0.2;0.2;17701
7983;Total sales;25 Manufacture of metal products;2014 February;99.8;-0.1;0.1;17701
7984;Total sales;25 Manufacture of metal products;2014 March;99.6;-0.1;0.1;17701
7985;Total sales;25 Manufacture of metal products;2014 April;99.7;0.1;0.2;17701
7986;Total sales;25 Manufacture of metal products;2014 May;99.7;0.0;0.4;17701
7987;Total sales;25 Manufacture of metal products;2014 June;99.7;0.0;0.5;17701
7988;Total sales;25 Manufacture of metal products;2014 July;99.9;0.2;1.0;17701
7989;Total sales;25 Manufacture of metal products;2014 August;100.0;0.1;0.9;17701
7990;Total sales;25 Manufacture of metal products;2014 September;99.9;0.0;1.1;17701
7991;Total sales;25 Manufacture of metal products;2014 October;100.0;0.1;0.8;17701
7992;Total sales;25 Manufacture of metal products;2014 November;100.0;0.0;0.4;17701
7993;Total sales;25 Manufacture of metal products;2014 December;99.7;-0.3;0.1;17701
7994;Total sales;25 Manufacture of metal products;2014;99.8;;0.5;17701
7995;Total sales;25 Manufacture of metal products;2015 January;99.9;0.2;0.0;17701
7996;Total sales;25 Manufacture of metal products;2015 February;100.0;0.1;0.2;17701
7997;Total sales;25 Manufacture of metal products;2015 March;100.0;0.0;0.3;17701
7998;Total sales;25 Manufacture of metal products;2015 April;100.4;0.5;0.7;17701
7999;Total sales;25 Manufacture of metal products;2015 May;100.3;-0.1;0.6;17701
8000;Total sales;25 Manufacture of metal products;2015 June;100.4;0.1;0.7;17701
8001;Total sales;25 Manufacture of metal products;2015 July;100.2;-0.2;0.3;17701
8002;Total sales;25 Manufacture of metal products;2015 August;99.9;-0.3;-0.1;17701
8003;Total sales;25 Manufacture of metal products;2015 September;99.8;-0.1;-0.1;17701
8004;Total sales;25 Manufacture of metal products;2015 October;99.9;0.1;-0.1;17701
8005;Total sales;25 Manufacture of metal products;2015 November;99.9;-0.1;-0.1;17701
8006;Total sales;25 Manufacture of metal products;2015 December;99.4;-0.5;-0.4;17701
8007;Total sales;25 Manufacture of metal products;2015;100.0;;0.2;17701
8008;Total sales;25 Manufacture of metal products;2016 January;99.9;0.5;0.0;17701
8009;Total sales;25 Manufacture of metal products;2016 February;99.6;-0.3;-0.4;17701
8010;Total sales;25 Manufacture of metal products;2016 March;99.5;-0.1;-0.4;17701
8011;Total sales;25 Manufacture of metal products;2016 April;99.8;0.3;-0.6;17701
8012;Total sales;25 Manufacture of metal products;2016 May;100.0;0.1;-0.3;17701
8013;Total sales;25 Manufacture of metal products;2016 June;100.4;0.5;0.1;17701
8014;Total sales;25 Manufacture of metal products;2016 July;100.9;0.5;0.7;17701
8015;Total sales;25 Manufacture of metal products;2016 August;101.3;0.4;1.4;17701
8016;Total sales;25 Manufacture of metal products;2016 September;101.2;-0.1;1.4;17701
8017;Total sales;25 Manufacture of metal products;2016 October;101.3;0.1;1.4;17701
8018;Total sales;25 Manufacture of metal products;2016 November;101.5;0.1;1.6;17701
8019;Total sales;25 Manufacture of metal products;2016 December;101.9;0.4;2.5;17701
8020;Total sales;25 Manufacture of metal products;2016;100.6;;0.6;17701
8021;Total sales;25 Manufacture of metal products;2017 January;102.8;0.9;2.9;17701
8022;Total sales;25 Manufacture of metal products;2017 February;103.2;0.3;3.6;17701
8023;Total sales;25 Manufacture of metal products;2017 March;103.2;0.1;3.7;17701
8024;Total sales;25 Manufacture of metal products;2017 April;104.1;0.8;4.2;17701
8025;Total sales;25 Manufacture of metal products;2017 May;104.3;0.2;4.3;17701
8026;Total sales;25 Manufacture of metal products;2017 June;104.4;0.1;4.0;17701
8027;Total sales;25 Manufacture of metal products;2017 July;104.6;0.1;3.6;17701
8028;Total sales;25 Manufacture of metal products;2017 August;104.7;0.1;3.4;17701
8029;Total sales;25 Manufacture of metal products;2017 September;104.9;0.2;3.7;17701
8030;Total sales;25 Manufacture of metal products;2017 October;105.1;0.2;3.7;17701
8031;Total sales;25 Manufacture of metal products;2017 November;105.4;0.2;3.8;17701
8032;Total sales;25 Manufacture of metal products;2017 December;105.3;-0.1;3.3;17701
8033;Total sales;25 Manufacture of metal products;2017;104.3;;3.7;17701
8034;Total sales;25 Manufacture of metal products;2018 January;105.7;0.5;2.8;17701
8035;Total sales;25 Manufacture of metal products;2018 February;106.0;0.2;2.7;17701
8036;Total sales;25 Manufacture of metal products;2018 March;105.8;-0.2;2.5;17701
8037;Total sales;25 Manufacture of metal products;2018 April;106.1;0.3;2.0;17701
8038;Total sales;25 Manufacture of metal products;2018 May;105.6;-0.5;1.3;17701
8039;Total sales;25 Manufacture of metal products;2018 June;105.9;0.3;1.4;17701
8040;Total sales;25 Manufacture of metal products;2018 July;106.1;0.1;1.4;17701
8041;Total sales;25 Manufacture of metal products;2018 August;106.2;0.1;1.4;17701
8042;Total sales;25 Manufacture of metal products;2018 September;106.1;-0.1;1.1;17701
8043;Total sales;25 Manufacture of metal products;2018 October;106.1;0.0;1.0;17701
8044;Total sales;25 Manufacture of metal products;2018 November;106.2;0.0;0.8;17701
8045;Total sales;25 Manufacture of metal products;2018 December;106.0;-0.2;0.7;17701
8046;Total sales;25 Manufacture of metal products;2018;106.0;;1.6;17701
8047;Total sales;25 Manufacture of metal products;2019 January;107.8;1.8;2.0;17701
8048;Total sales;25 Manufacture of metal products;2019 February;107.8;-0.1;1.7;17701
8049;Total sales;25 Manufacture of metal products;2019 March;107.7;-0.1;1.8;17701
8050;Total sales;25 Manufacture of metal products;2019 April;108.3;0.6;2.1;17701
8051;Total sales;25 Manufacture of metal products;2019 May;108.5;0.1;2.7;17701
8052;Total sales;25 Manufacture of metal products;2019 June;108.5;0.0;2.5;17701
8053;Total sales;25 Manufacture of metal products;2019 July;108.6;0.0;2.4;17701
8054;Total sales;25 Manufacture of metal products;2019 August;108.4;-0.2;2.1;17701
8055;Total sales;25 Manufacture of metal products;2019 September;108.7;0.3;2.5;17701
8056;Total sales;25 Manufacture of metal products;2019 October;109.5;0.7;3.1;17701
8057;Total sales;25 Manufacture of metal products;2019 November;109.6;0.1;3.2;17701
8058;Total sales;25 Manufacture of metal products;2019 December;109.8;0.2;3.6;17701
8059;Total sales;25 Manufacture of metal products;2019;108.6;;2.5;17701
8060;Total sales;25 Manufacture of metal products;2020 January;110.5;0.7;2.5;17701
8061;Total sales;25 Manufacture of metal products;2020 February;110.4;-0.1;2.4;17701
8062;Total sales;25 Manufacture of metal products;2020 March;110.4;0.0;2.5;17701
8063;Total sales;25 Manufacture of metal products;2020 April;110.1;-0.2;1.6;17701
8064;Total sales;25 Manufacture of metal products;2020 May;110.2;0.0;1.5;17701
8065;Total sales;25 Manufacture of metal products;2020 June;109.9;-0.2;1.3;17701
8066;Total sales;25 Manufacture of metal products;2020 July;109.7;-0.2;1.1;17701
8067;Total sales;25 Manufacture of metal products;2020 August;109.9;0.1;1.4;17701
8068;Total sales;25 Manufacture of metal products;2020 September;109.9;0.0;1.0;17701
8069;Total sales;25 Manufacture of metal products;2020 October;109.6;-0.2;0.1;17701
8070;Total sales;25 Manufacture of metal products;2020 November;109.7;0.1;0.1;17701
8071;Total sales;25 Manufacture of metal products;2020 December;109.7;0.0;-0.1;17701
8072;Total sales;25 Manufacture of metal products;2020;110.0;;1.3;17701
8073;Total sales;25 Manufacture of metal products;2021 January;111.4;1.5;0.8;17701
8074;Total sales;25 Manufacture of metal products;2021 February;111.5;0.1;1.0;17701
8075;Total sales;25 Manufacture of metal products;2021 March;112.0;0.5;1.5;17701
8076;Total sales;25 Manufacture of metal products;2021 April;113.3;1.1;2.9;17701
8077;Total sales;25 Manufacture of metal products;2021 May;113.3;0.0;2.8;17701
8078;Total sales;25 Manufacture of metal products;2021 June;114.2;0.8;3.9;17701
8079;Total sales;25 Manufacture of metal products;2021 July;116.8;2.3;6.4;17701
8080;Total sales;25 Manufacture of metal products;2021 August;116.8;0.0;6.3;17701
8081;Total sales;25 Manufacture of metal products;2021 September;118.0;1.0;7.4;17701
8082;Total sales;25 Manufacture of metal products;2021 October;122.2;3.5;11.5;17701
8083;Total sales;25 Manufacture of metal products;2021 November;122.1;-0.1;11.3;17701
8084;Total sales;25 Manufacture of metal products;2021 December;122.4;0.2;11.5;17701
8085;Total sales;25 Manufacture of metal products;2021;116.2;;5.6;17701
8086;Total sales;25 Manufacture of metal products;2022 January;126.4;3.3;13.5;17701
8087;Total sales;25 Manufacture of metal products;2022 February;127.1;0.6;14.0;17701
8088;Total sales;25 Manufacture of metal products;2022 March;128.7;1.2;14.9;17701
8089;Total sales;25 Manufacture of metal products;2022 April;133.1;3.4;17.5;17701
8090;Total sales;25 Manufacture of metal products;2022 May;135.2;1.6;19.3;17701
8091;Total sales;25 Manufacture of metal products;2022 June;135.7;0.4;18.9;17701
8092;Total sales;25 Manufacture of metal products;2022 July;137.8;1.6;18.1;17701
8093;Total sales;25 Manufacture of metal products;2022 August;137.3;-0.4;17.6;17701
8094;Total sales;25 Manufacture of metal products;2022 September;136.9;-0.3;16.0;17701
8095;Total sales;25 Manufacture of metal products;2022 October;136.0;-0.6;11.3;17701
8096;Total sales;25 Manufacture of metal products;2022 November;136.1;0.1;11.5;17701
8097;Total sales;25 Manufacture of metal products;2022 December;134.5;-1.2;9.9;17701
8098;Total sales;25 Manufacture of metal products;2022;133.7;;15.1;17701
8099;Total sales;25 Manufacture of metal products;2023 January;135.8;0.9;7.4;17701
8100;Total sales;25 Manufacture of metal products;2023 February;135.9;0.1;6.9;17701
8101;Total sales;25 Manufacture of metal products;2023 March;135.7;-0.2;5.4;17701
8102;Total sales;25 Manufacture of metal products;2023 April;135.5;-0.1;1.8;17701
8103;Total sales;25 Manufacture of metal products;2023 May;135.2;-0.2;0.0;17701
8104;Total sales;25 Manufacture of metal products;2023 June;134.8;-0.3;-0.7;17701
8105;Total sales;25 Manufacture of metal products;2023 July;134.0;-0.6;-2.8;17701
8106;Total sales;25 Manufacture of metal products;2023 August;132.8;-0.9;-3.3;17701
8107;Total sales;25 Manufacture of metal products;2023 September;132.9;0.1;-2.9;17701
8108;Total sales;25 Manufacture of metal products;2023 October;131.7;-0.9;-3.2;17701
8109;Total sales;25 Manufacture of metal products;2023 November;130.3;-1.1;-4.3;17701
8110;Total sales;25 Manufacture of metal products;2023 December;130.3;0.0;-3.1;17701
8111;Total sales;25 Manufacture of metal products;2023;133.7;;0.0;17701
8112;Total sales;26 Manufacture of electronic products;2012 January;94.6;;;9939
8113;Total sales;26 Manufacture of electronic products;2012 February;94.0;-0.6;;9939
8114;Total sales;26 Manufacture of electronic products;2012 March;94.1;0.1;;9939
8115;Total sales;26 Manufacture of electronic products;2012 April;94.3;0.2;;9939
8116;Total sales;26 Manufacture of electronic products;2012 May;94.6;0.4;;9939
8117;Total sales;26 Manufacture of electronic products;2012 June;95.0;0.4;;9939
8118;Total sales;26 Manufacture of electronic products;2012 July;95.5;0.5;;9939
8119;Total sales;26 Manufacture of electronic products;2012 August;95.4;-0.1;;9939
8120;Total sales;26 Manufacture of electronic products;2012 September;94.5;-0.9;;9939
8121;Total sales;26 Manufacture of electronic products;2012 October;94.3;-0.3;;9939
8122;Total sales;26 Manufacture of electronic products;2012 November;94.3;0.0;;9939
8123;Total sales;26 Manufacture of electronic products;2012 December;94.0;-0.3;;9939
8124;Total sales;26 Manufacture of electronic products;2012;94.6;;;9939
8125;Total sales;26 Manufacture of electronic products;2013 January;94.5;0.5;-0.1;9939
8126;Total sales;26 Manufacture of electronic products;2013 February;94.7;0.2;0.7;9939
8127;Total sales;26 Manufacture of electronic products;2013 March;95.2;0.5;1.1;9939
8128;Total sales;26 Manufacture of electronic products;2013 April;95.3;0.2;1.1;9939
8129;Total sales;26 Manufacture of electronic products;2013 May;95.2;-0.2;0.6;9939
8130;Total sales;26 Manufacture of electronic products;2013 June;94.9;-0.3;-0.1;9939
8131;Total sales;26 Manufacture of electronic products;2013 July;95.1;0.2;-0.5;9939
8132;Total sales;26 Manufacture of electronic products;2013 August;94.8;-0.3;-0.6;9939
8133;Total sales;26 Manufacture of electronic products;2013 September;94.7;-0.1;0.2;9939
8134;Total sales;26 Manufacture of electronic products;2013 October;94.4;-0.3;0.2;9939
8135;Total sales;26 Manufacture of electronic products;2013 November;94.6;0.2;0.3;9939
8136;Total sales;26 Manufacture of electronic products;2013 December;94.2;-0.4;0.2;9939
8137;Total sales;26 Manufacture of electronic products;2013;94.8;;0.2;9939
8138;Total sales;26 Manufacture of electronic products;2014 January;94.0;-0.2;-0.6;9939
8139;Total sales;26 Manufacture of electronic products;2014 February;93.9;-0.1;-0.8;9939
8140;Total sales;26 Manufacture of electronic products;2014 March;93.6;-0.3;-1.7;9939
8141;Total sales;26 Manufacture of electronic products;2014 April;94.3;0.7;-1.1;9939
8142;Total sales;26 Manufacture of electronic products;2014 May;94.4;0.1;-0.8;9939
8143;Total sales;26 Manufacture of electronic products;2014 June;94.6;0.2;-0.4;9939
8144;Total sales;26 Manufacture of electronic products;2014 July;94.7;0.1;-0.4;9939
8145;Total sales;26 Manufacture of electronic products;2014 August;95.0;0.3;0.2;9939
8146;Total sales;26 Manufacture of electronic products;2014 September;95.6;0.6;0.9;9939
8147;Total sales;26 Manufacture of electronic products;2014 October;96.1;0.6;1.8;9939
8148;Total sales;26 Manufacture of electronic products;2014 November;96.5;0.4;2.1;9939
8149;Total sales;26 Manufacture of electronic products;2014 December;96.8;0.3;2.8;9939
8150;Total sales;26 Manufacture of electronic products;2014;94.9;;0.2;9939
8151;Total sales;26 Manufacture of electronic products;2015 January;98.3;1.5;4.6;9939
8152;Total sales;26 Manufacture of electronic products;2015 February;99.0;0.7;5.4;9939
8153;Total sales;26 Manufacture of electronic products;2015 March;100.4;1.4;7.2;9939
8154;Total sales;26 Manufacture of electronic products;2015 April;100.7;0.4;6.8;9939
8155;Total sales;26 Manufacture of electronic products;2015 May;99.7;-1.0;5.6;9939
8156;Total sales;26 Manufacture of electronic products;2015 June;99.5;-0.2;5.2;9939
8157;Total sales;26 Manufacture of electronic products;2015 July;100.4;0.9;6.1;9939
8158;Total sales;26 Manufacture of electronic products;2015 August;100.0;-0.4;5.3;9939
8159;Total sales;26 Manufacture of electronic products;2015 September;99.8;-0.2;4.5;9939
8160;Total sales;26 Manufacture of electronic products;2015 October;99.9;0.0;3.9;9939
8161;Total sales;26 Manufacture of electronic products;2015 November;101.4;1.5;5.0;9939
8162;Total sales;26 Manufacture of electronic products;2015 December;100.9;-0.4;4.2;9939
8163;Total sales;26 Manufacture of electronic products;2015;100.0;;5.3;9939
8164;Total sales;26 Manufacture of electronic products;2016 January;100.5;-0.4;2.3;9939
8165;Total sales;26 Manufacture of electronic products;2016 February;99.9;-0.6;1.0;9939
8166;Total sales;26 Manufacture of electronic products;2016 March;99.9;0.0;-0.4;9939
8167;Total sales;26 Manufacture of electronic products;2016 April;99.4;-0.5;-1.3;9939
8168;Total sales;26 Manufacture of electronic products;2016 May;99.5;0.1;-0.2;9939
8169;Total sales;26 Manufacture of electronic products;2016 June;99.7;0.2;0.2;9939
8170;Total sales;26 Manufacture of electronic products;2016 July;100.0;0.3;-0.4;9939
8171;Total sales;26 Manufacture of electronic products;2016 August;99.6;-0.4;-0.5;9939
8172;Total sales;26 Manufacture of electronic products;2016 September;99.6;0.0;-0.2;9939
8173;Total sales;26 Manufacture of electronic products;2016 October;99.7;0.1;-0.1;9939
8174;Total sales;26 Manufacture of electronic products;2016 November;100.4;0.7;-0.9;9939
8175;Total sales;26 Manufacture of electronic products;2016 December;101.3;0.8;0.3;9939
8176;Total sales;26 Manufacture of electronic products;2016;100.0;;0.0;9939
8177;Total sales;26 Manufacture of electronic products;2017 January;101.6;0.4;1.1;9939
8178;Total sales;26 Manufacture of electronic products;2017 February;101.4;-0.2;1.5;9939
8179;Total sales;26 Manufacture of electronic products;2017 March;101.3;-0.1;1.4;9939
8180;Total sales;26 Manufacture of electronic products;2017 April;101.3;0.0;1.9;9939
8181;Total sales;26 Manufacture of electronic products;2017 May;100.2;-1.1;0.7;9939
8182;Total sales;26 Manufacture of electronic products;2017 June;99.8;-0.5;0.0;9939
8183;Total sales;26 Manufacture of electronic products;2017 July;98.8;-0.9;-1.2;9939
8184;Total sales;26 Manufacture of electronic products;2017 August;98.0;-0.8;-1.6;9939
8185;Total sales;26 Manufacture of electronic products;2017 September;97.7;-0.3;-1.9;9939
8186;Total sales;26 Manufacture of electronic products;2017 October;98.2;0.5;-1.6;9939
8187;Total sales;26 Manufacture of electronic products;2017 November;98.4;0.2;-2.0;9939
8188;Total sales;26 Manufacture of electronic products;2017 December;98.2;-0.3;-3.1;9939
8189;Total sales;26 Manufacture of electronic products;2017;99.6;;-0.4;9939
8190;Total sales;26 Manufacture of electronic products;2018 January;97.6;-0.5;-3.9;9939
8191;Total sales;26 Manufacture of electronic products;2018 February;97.3;-0.3;-4.0;9939
8192;Total sales;26 Manufacture of electronic products;2018 March;97.4;0.1;-3.8;9939
8193;Total sales;26 Manufacture of electronic products;2018 April;97.6;0.2;-3.7;9939
8194;Total sales;26 Manufacture of electronic products;2018 May;98.9;1.4;-1.3;9939
8195;Total sales;26 Manufacture of electronic products;2018 June;99.4;0.4;-0.4;9939
8196;Total sales;26 Manufacture of electronic products;2018 July;99.6;0.3;0.8;9939
8197;Total sales;26 Manufacture of electronic products;2018 August;100.1;0.5;2.2;9939
8198;Total sales;26 Manufacture of electronic products;2018 September;99.8;-0.3;2.2;9939
8199;Total sales;26 Manufacture of electronic products;2018 October;100.3;0.4;2.1;9939
8200;Total sales;26 Manufacture of electronic products;2018 November;100.7;0.4;2.3;9939
8201;Total sales;26 Manufacture of electronic products;2018 December;100.7;0.0;2.5;9939
8202;Total sales;26 Manufacture of electronic products;2018;99.1;;-0.5;9939
8203;Total sales;26 Manufacture of electronic products;2019 January;102.1;1.4;4.6;9939
8204;Total sales;26 Manufacture of electronic products;2019 February;102.2;0.1;5.0;9939
8205;Total sales;26 Manufacture of electronic products;2019 March;102.4;0.1;5.1;9939
8206;Total sales;26 Manufacture of electronic products;2019 April;102.5;0.2;5.1;9939
8207;Total sales;26 Manufacture of electronic products;2019 May;102.6;0.1;3.7;9939
8208;Total sales;26 Manufacture of electronic products;2019 June;102.4;-0.2;3.1;9939
8209;Total sales;26 Manufacture of electronic products;2019 July;102.5;0.1;3.0;9939
8210;Total sales;26 Manufacture of electronic products;2019 August;102.7;0.1;2.6;9939
8211;Total sales;26 Manufacture of electronic products;2019 September;103.0;0.3;3.1;9939
8212;Total sales;26 Manufacture of electronic products;2019 October;103.0;0.0;2.7;9939
8213;Total sales;26 Manufacture of electronic products;2019 November;103.1;0.0;2.3;9939
8214;Total sales;26 Manufacture of electronic products;2019 December;103.0;-0.1;2.3;9939
8215;Total sales;26 Manufacture of electronic products;2019;102.6;;3.5;9939
8216;Total sales;26 Manufacture of electronic products;2020 January;103.9;0.9;1.8;9939
8217;Total sales;26 Manufacture of electronic products;2020 February;104.4;0.5;2.1;9939
8218;Total sales;26 Manufacture of electronic products;2020 March;103.9;-0.4;1.5;9939
8219;Total sales;26 Manufacture of electronic products;2020 April;104.5;0.5;1.9;9939
8220;Total sales;26 Manufacture of electronic products;2020 May;104.4;-0.1;1.7;9939
8221;Total sales;26 Manufacture of electronic products;2020 June;103.5;-0.8;1.1;9939
8222;Total sales;26 Manufacture of electronic products;2020 July;102.9;-0.5;0.4;9939
8223;Total sales;26 Manufacture of electronic products;2020 August;102.0;-0.9;-0.7;9939
8224;Total sales;26 Manufacture of electronic products;2020 September;101.9;-0.1;-1.0;9939
8225;Total sales;26 Manufacture of electronic products;2020 October;101.8;-0.1;-1.2;9939
8226;Total sales;26 Manufacture of electronic products;2020 November;101.7;-0.1;-1.3;9939
8227;Total sales;26 Manufacture of electronic products;2020 December;101.1;-0.6;-1.8;9939
8228;Total sales;26 Manufacture of electronic products;2020;103.0;;0.4;9939
8229;Total sales;26 Manufacture of electronic products;2021 January;101.7;0.5;-2.2;9939
8230;Total sales;26 Manufacture of electronic products;2021 February;102.0;0.3;-2.3;9939
8231;Total sales;26 Manufacture of electronic products;2021 March;102.5;0.5;-1.4;9939
8232;Total sales;26 Manufacture of electronic products;2021 April;102.5;0.1;-1.9;9939
8233;Total sales;26 Manufacture of electronic products;2021 May;102.2;-0.3;-2.0;9939
8234;Total sales;26 Manufacture of electronic products;2021 June;102.6;0.3;-0.9;9939
8235;Total sales;26 Manufacture of electronic products;2021 July;103.4;0.8;0.4;9939
8236;Total sales;26 Manufacture of electronic products;2021 August;103.6;0.2;1.6;9939
8237;Total sales;26 Manufacture of electronic products;2021 September;103.7;0.1;1.7;9939
8238;Total sales;26 Manufacture of electronic products;2021 October;104.1;0.4;2.2;9939
8239;Total sales;26 Manufacture of electronic products;2021 November;104.5;0.4;2.7;9939
8240;Total sales;26 Manufacture of electronic products;2021 December;104.7;0.3;3.6;9939
8241;Total sales;26 Manufacture of electronic products;2021;103.1;;0.1;9939
8242;Total sales;26 Manufacture of electronic products;2022 January;106.0;1.2;4.3;9939
8243;Total sales;26 Manufacture of electronic products;2022 February;105.9;-0.1;3.9;9939
8244;Total sales;26 Manufacture of electronic products;2022 March;106.7;0.8;4.2;9939
8245;Total sales;26 Manufacture of electronic products;2022 April;107.8;1.0;5.2;9939
8246;Total sales;26 Manufacture of electronic products;2022 May;108.5;0.6;6.1;9939
8247;Total sales;26 Manufacture of electronic products;2022 June;108.7;0.2;6.0;9939
8248;Total sales;26 Manufacture of electronic products;2022 July;110.4;1.6;6.8;9939
8249;Total sales;26 Manufacture of electronic products;2022 August;110.5;0.1;6.7;9939
8250;Total sales;26 Manufacture of electronic products;2022 September;111.3;0.7;7.3;9939
8251;Total sales;26 Manufacture of electronic products;2022 October;112.8;1.4;8.4;9939
8252;Total sales;26 Manufacture of electronic products;2022 November;111.7;-1.0;6.9;9939
8253;Total sales;26 Manufacture of electronic products;2022 December;110.7;-0.9;5.7;9939
8254;Total sales;26 Manufacture of electronic products;2022;109.3;;6.0;9939
