ID;TypeOfAccommodation;CountryOfResidence;Regions;Periods;Guests_1;OvernightStays_2
8518;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2014 September;246;740
8519;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2014 3rd quarter;794;3006
8520;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2014 October;230;631
8521;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2014 November;149;330
8522;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2014 December;143;346
8523;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2014 4th quarter;522;1308
8524;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2014;2501;7704
8525;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2015 January;130;306
8526;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2015 February;141;339
8527;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2015 March;155;372
8528;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2015 1st quarter;426;1017
8529;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2015 April;194;563
8530;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2015 May;295;988
8531;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2015 June;263;833
8532;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2015 2nd quarter;751;2383
8533;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2015 July;278;1119
8534;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2015 August;306;1285
8535;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2015 September;231;719
8536;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2015 3rd quarter;814;3123
8537;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2015 October;246;711
8538;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2015 November;163;380
8539;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2015 December;158;411
8540;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2015 4th quarter;567;1502
8541;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2015;2559;8026
8542;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2016 January;137;332
8543;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2016 February;154;376
8544;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2016 March;165;416
8545;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2016 1st quarter;456;1124
8546;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2016 April;227;650
8547;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2016 May;292;918
8548;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2016 June;271;842
8549;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2016 2nd quarter;790;2410
8550;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2016 July;265;1029
8551;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2016 August;312;1378
8552;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2016 September;264;834
8553;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2016 3rd quarter;840;3241
8554;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2016 October;257;730
8555;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2016 November;168;365
8556;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2016 December;153;378
8557;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2016 4th quarter;578;1473
8558;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2016;2665;8248
8559;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2017 January;157;354
8560;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2017 February;152;318
8561;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2017 March;182;388
8562;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2017 1st quarter;491;1060
8563;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2017 April;242;617
8564;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2017 May;301;873
8565;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2017 June;298;818
8566;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2017 2nd quarter;842;2308
8567;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2017 July;266;911
8568;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2017 August;283;1129
8569;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2017 September;267;745
8570;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2017 3rd quarter;816;2784
8571;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2017 October;242;601
8572;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2017 November;179;371
8573;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2017 December;185;397
8574;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2017 4th quarter;606;1369
8575;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2017;2754;7520
8576;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2018 January;161;366
8577;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2018 February;163;356
8578;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2018 March;208;462
8579;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2018 1st quarter;532;1185
8580;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2018 April;230;553
8581;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2018 May;294;862
8582;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2018 June;288;771
8583;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2018 2nd quarter;812;2186
8584;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2018 July;266;935
8585;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2018 August;303;1197
8586;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2018 September;269;756
8587;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2018 3rd quarter;838;2888
8588;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2018 October;250;643
8589;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2018 November;183;380
8590;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2018 December;183;396
8591;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2018 4th quarter;616;1419
8592;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2018;2798;7677
8593;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2019 January;161;366
8594;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2019 February;158;358
8595;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2019 March;221;488
8596;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2019 1st quarter;540;1213
8597;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2019 April;257;660
8598;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2019 May;295;771
8599;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2019 June;348;980
8600;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2019 2nd quarter;900;2412
8601;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2019 July;293;1016
8602;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2019 August;335;1266
8603;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2019 September;291;778
8604;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2019 3rd quarter;919;3060
8605;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2019 October;280;695
8606;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2019 November;214;445
8607;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2019 December;199;454
8608;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2019 4th quarter;692;1594
8609;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2019;3051;8278
8610;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2020 January;192;416
8611;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2020 February;195;437
8612;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2020 March;94;219
8613;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2020 1st quarter;481;1072
8614;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2020 April;21;77
8615;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2020 May;75;221
8616;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2020 June;180;524
8617;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2020 2nd quarter;275;823
8618;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2020 July;328;1212
8619;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2020 August;375;1549
8620;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2020 September;283;874
8621;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2020 3rd quarter;986;3634
8622;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2020 October;213;620
8623;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2020 November;114;271
8624;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2020 December;116;294
8625;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2020 4th quarter;444;1185
8626;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2020;2186;6713
8627;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2021 January;72;219
8628;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2021 February;107;296
8629;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2021 March;99;267
8630;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2021 1th quarter;278;782
8631;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2021 April;155;447
8632;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2021 May;279;1016
8633;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2021 June;309;955
8634;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2021 2nd quarter;743;2418
8635;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2021 July;379;1379
8636;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2021 August;439;1763
8637;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2021 September;351;1052
8638;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2021 3rd quarter;1169;4194
8639;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2021 October;325;843
8640;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2021 November;222;515
8641;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2021 December;135;348
8642;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2021 4th quarter;683;1706
8643;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2021;2874;9100
8644;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2022 January;110;291
8645;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2022 February;188;415
8646;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2022 March;243;554
8647;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2022 1th quarter;540;1260
8648;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2022 April;316;746
8649;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2022 May;418;1148
8650;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2022 June;395;1126
8651;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2022 2nd quarter;1130;3020
8652;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2022 July;388;1300
8653;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2022 August;409;1603
8654;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2022 September;387;1038
8655;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2022 3rd quarter;1185;3941
8656;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2022 October;366;911
8657;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2022 November;269;546
8658;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2022 December;237;507
8659;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2022 4th quarter;873;1965
8660;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2022;3727;10185
8661;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2023 January;207;506
8662;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2023 February;205;458
8663;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2023 March;246;577
8664;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2023 1st quarter;658;1541
8665;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2023 April;293;735
8666;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2023 May;362;1146
8667;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2023 June;330;960
8668;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2023 2nd quarter;985;2842
8669;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2023 July;316;1210
8670;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2023 August;365;1619
8671;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2023 September;315;904
8672;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2023 3rd quarter;995;3733
8673;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2023 October;298;811
8674;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2023 November;221;497
8675;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2023 December;219;512
8676;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2023 4th quarter;739;1820
8677;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2023;3377;9935
8678;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2024 January;207;484
8679;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2024 February;211;512
8680;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2024 March;228;516
8681;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2024 1st quarter;646;1512
8682;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2024 April;282;694
8683;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2024 May;400;1203
8684;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2024 June;382;1083
8685;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2024 2nd quarter;1064;2980
8686;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2024 July;318;1305
8687;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2024 August;382;1541
8688;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2024 September;350;988
8689;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2024 3rd quarter;1052;3831
8690;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2024 October;291;721
8691;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2024 November;241;544
8692;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2024 December;243;530
8693;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2024 4th quarter;775;1794
8694;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2024;3542;10123
8695;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2025 January;228;512
8696;Total overnight accommodation;The Netherlands;Noord-Brabant (PV);2025 February;210;475
8697;Total overnight accommodation;The Netherlands;Limburg (PV);2012 January;150;400
8698;Total overnight accommodation;The Netherlands;Limburg (PV);2012 February;143;380
8699;Total overnight accommodation;The Netherlands;Limburg (PV);2012 March;181;463
8700;Total overnight accommodation;The Netherlands;Limburg (PV);2012 1st quarter;473;1243
8701;Total overnight accommodation;The Netherlands;Limburg (PV);2012 April;235;607
8702;Total overnight accommodation;The Netherlands;Limburg (PV);2012 May;286;893
8703;Total overnight accommodation;The Netherlands;Limburg (PV);2012 June;249;765
8704;Total overnight accommodation;The Netherlands;Limburg (PV);2012 2nd quarter;770;2265
8705;Total overnight accommodation;The Netherlands;Limburg (PV);2012 July;264;1023
8706;Total overnight accommodation;The Netherlands;Limburg (PV);2012 August;318;1267
8707;Total overnight accommodation;The Netherlands;Limburg (PV);2012 September;245;743
8708;Total overnight accommodation;The Netherlands;Limburg (PV);2012 3rd quarter;828;3033
8709;Total overnight accommodation;The Netherlands;Limburg (PV);2012 October;239;696
8710;Total overnight accommodation;The Netherlands;Limburg (PV);2012 November;171;440
8711;Total overnight accommodation;The Netherlands;Limburg (PV);2012 December;202;540
8712;Total overnight accommodation;The Netherlands;Limburg (PV);2012 4th quarter;613;1675
8713;Total overnight accommodation;The Netherlands;Limburg (PV);2012;2684;8217
8714;Total overnight accommodation;The Netherlands;Limburg (PV);2013 January;121;333
8715;Total overnight accommodation;The Netherlands;Limburg (PV);2013 February;133;367
8716;Total overnight accommodation;The Netherlands;Limburg (PV);2013 March;157;417
8717;Total overnight accommodation;The Netherlands;Limburg (PV);2013 1st quarter;411;1117
8718;Total overnight accommodation;The Netherlands;Limburg (PV);2013 April;212;556
8719;Total overnight accommodation;The Netherlands;Limburg (PV);2013 May;324;1024
8720;Total overnight accommodation;The Netherlands;Limburg (PV);2013 June;269;789
8721;Total overnight accommodation;The Netherlands;Limburg (PV);2013 2nd quarter;805;2369
8722;Total overnight accommodation;The Netherlands;Limburg (PV);2013 July;304;1138
8723;Total overnight accommodation;The Netherlands;Limburg (PV);2013 August;341;1386
8724;Total overnight accommodation;The Netherlands;Limburg (PV);2013 September;240;757
8725;Total overnight accommodation;The Netherlands;Limburg (PV);2013 3rd quarter;884;3281
8726;Total overnight accommodation;The Netherlands;Limburg (PV);2013 October;225;656
8727;Total overnight accommodation;The Netherlands;Limburg (PV);2013 November;173;446
8728;Total overnight accommodation;The Netherlands;Limburg (PV);2013 December;198;532
8729;Total overnight accommodation;The Netherlands;Limburg (PV);2013 4th quarter;596;1633
8730;Total overnight accommodation;The Netherlands;Limburg (PV);2013;2697;8400
8731;Total overnight accommodation;The Netherlands;Limburg (PV);2014 January;137;363
8732;Total overnight accommodation;The Netherlands;Limburg (PV);2014 February;143;391
8733;Total overnight accommodation;The Netherlands;Limburg (PV);2014 March;171;443
8734;Total overnight accommodation;The Netherlands;Limburg (PV);2014 1st quarter;451;1197
8735;Total overnight accommodation;The Netherlands;Limburg (PV);2014 April;208;553
8736;Total overnight accommodation;The Netherlands;Limburg (PV);2014 May;279;837
8737;Total overnight accommodation;The Netherlands;Limburg (PV);2014 June;275;866
8738;Total overnight accommodation;The Netherlands;Limburg (PV);2014 2nd quarter;761;2256
8739;Total overnight accommodation;The Netherlands;Limburg (PV);2014 July;250;936
8740;Total overnight accommodation;The Netherlands;Limburg (PV);2014 August;321;1378
8741;Total overnight accommodation;The Netherlands;Limburg (PV);2014 September;235;707
8742;Total overnight accommodation;The Netherlands;Limburg (PV);2014 3rd quarter;805;3021
8743;Total overnight accommodation;The Netherlands;Limburg (PV);2014 October;246;699
8744;Total overnight accommodation;The Netherlands;Limburg (PV);2014 November;172;433
8745;Total overnight accommodation;The Netherlands;Limburg (PV);2014 December;206;549
8746;Total overnight accommodation;The Netherlands;Limburg (PV);2014 4th quarter;623;1681
8747;Total overnight accommodation;The Netherlands;Limburg (PV);2014;2640;8155
8748;Total overnight accommodation;The Netherlands;Limburg (PV);2015 January;139;365
8749;Total overnight accommodation;The Netherlands;Limburg (PV);2015 February;161;434
8750;Total overnight accommodation;The Netherlands;Limburg (PV);2015 March;173;435
8751;Total overnight accommodation;The Netherlands;Limburg (PV);2015 1st quarter;472;1234
8752;Total overnight accommodation;The Netherlands;Limburg (PV);2015 April;213;580
8753;Total overnight accommodation;The Netherlands;Limburg (PV);2015 May;308;947
8754;Total overnight accommodation;The Netherlands;Limburg (PV);2015 June;253;742
8755;Total overnight accommodation;The Netherlands;Limburg (PV);2015 2nd quarter;774;2269
8756;Total overnight accommodation;The Netherlands;Limburg (PV);2015 July;269;1047
8757;Total overnight accommodation;The Netherlands;Limburg (PV);2015 August;294;1219
8758;Total overnight accommodation;The Netherlands;Limburg (PV);2015 September;219;661
8759;Total overnight accommodation;The Netherlands;Limburg (PV);2015 3rd quarter;782;2927
8760;Total overnight accommodation;The Netherlands;Limburg (PV);2015 October;250;719
8761;Total overnight accommodation;The Netherlands;Limburg (PV);2015 November;187;458
8762;Total overnight accommodation;The Netherlands;Limburg (PV);2015 December;222;569
8763;Total overnight accommodation;The Netherlands;Limburg (PV);2015 4th quarter;660;1745
8764;Total overnight accommodation;The Netherlands;Limburg (PV);2015;2688;8175
8765;Total overnight accommodation;The Netherlands;Limburg (PV);2016 January;133;361
8766;Total overnight accommodation;The Netherlands;Limburg (PV);2016 February;158;430
8767;Total overnight accommodation;The Netherlands;Limburg (PV);2016 March;169;454
8768;Total overnight accommodation;The Netherlands;Limburg (PV);2016 1st quarter;460;1245
8769;Total overnight accommodation;The Netherlands;Limburg (PV);2016 April;213;585
8770;Total overnight accommodation;The Netherlands;Limburg (PV);2016 May;285;872
8771;Total overnight accommodation;The Netherlands;Limburg (PV);2016 June;222;646
8772;Total overnight accommodation;The Netherlands;Limburg (PV);2016 2nd quarter;720;2103
8773;Total overnight accommodation;The Netherlands;Limburg (PV);2016 July;262;994
8774;Total overnight accommodation;The Netherlands;Limburg (PV);2016 August;328;1422
8775;Total overnight accommodation;The Netherlands;Limburg (PV);2016 September;242;720
8776;Total overnight accommodation;The Netherlands;Limburg (PV);2016 3rd quarter;833;3136
8777;Total overnight accommodation;The Netherlands;Limburg (PV);2016 October;247;707
8778;Total overnight accommodation;The Netherlands;Limburg (PV);2016 November;175;435
8779;Total overnight accommodation;The Netherlands;Limburg (PV);2016 December;201;522
8780;Total overnight accommodation;The Netherlands;Limburg (PV);2016 4th quarter;623;1664
8781;Total overnight accommodation;The Netherlands;Limburg (PV);2016;2637;8148
8782;Total overnight accommodation;The Netherlands;Limburg (PV);2017 January;163;411
8783;Total overnight accommodation;The Netherlands;Limburg (PV);2017 February;145;372
8784;Total overnight accommodation;The Netherlands;Limburg (PV);2017 March;190;491
8785;Total overnight accommodation;The Netherlands;Limburg (PV);2017 1st quarter;498;1274
8786;Total overnight accommodation;The Netherlands;Limburg (PV);2017 April;246;652
8787;Total overnight accommodation;The Netherlands;Limburg (PV);2017 May;290;855
8788;Total overnight accommodation;The Netherlands;Limburg (PV);2017 June;271;789
8789;Total overnight accommodation;The Netherlands;Limburg (PV);2017 2nd quarter;807;2296
8790;Total overnight accommodation;The Netherlands;Limburg (PV);2017 July;274;943
8791;Total overnight accommodation;The Netherlands;Limburg (PV);2017 August;319;1323
8792;Total overnight accommodation;The Netherlands;Limburg (PV);2017 September;254;770
8793;Total overnight accommodation;The Netherlands;Limburg (PV);2017 3rd quarter;847;3036
8794;Total overnight accommodation;The Netherlands;Limburg (PV);2017 October;259;710
8795;Total overnight accommodation;The Netherlands;Limburg (PV);2017 November;184;449
8796;Total overnight accommodation;The Netherlands;Limburg (PV);2017 December;220;552
8797;Total overnight accommodation;The Netherlands;Limburg (PV);2017 4th quarter;663;1711
8798;Total overnight accommodation;The Netherlands;Limburg (PV);2017;2815;8316
8799;Total overnight accommodation;The Netherlands;Limburg (PV);2018 January;164;421
8800;Total overnight accommodation;The Netherlands;Limburg (PV);2018 February;158;392
8801;Total overnight accommodation;The Netherlands;Limburg (PV);2018 March;203;511
8802;Total overnight accommodation;The Netherlands;Limburg (PV);2018 1st quarter;524;1324
8803;Total overnight accommodation;The Netherlands;Limburg (PV);2018 April;245;616
8804;Total overnight accommodation;The Netherlands;Limburg (PV);2018 May;301;875
8805;Total overnight accommodation;The Netherlands;Limburg (PV);2018 June;256;722
8806;Total overnight accommodation;The Netherlands;Limburg (PV);2018 2nd quarter;803;2213
8807;Total overnight accommodation;The Netherlands;Limburg (PV);2018 July;269;887
8808;Total overnight accommodation;The Netherlands;Limburg (PV);2018 August;345;1341
8809;Total overnight accommodation;The Netherlands;Limburg (PV);2018 September;262;758
8810;Total overnight accommodation;The Netherlands;Limburg (PV);2018 3rd quarter;876;2986
8811;Total overnight accommodation;The Netherlands;Limburg (PV);2018 October;272;754
8812;Total overnight accommodation;The Netherlands;Limburg (PV);2018 November;198;483
8813;Total overnight accommodation;The Netherlands;Limburg (PV);2018 December;231;571
8814;Total overnight accommodation;The Netherlands;Limburg (PV);2018 4th quarter;701;1808
8815;Total overnight accommodation;The Netherlands;Limburg (PV);2018;2904;8331
8816;Total overnight accommodation;The Netherlands;Limburg (PV);2019 January;152;395
8817;Total overnight accommodation;The Netherlands;Limburg (PV);2019 February;155;387
8818;Total overnight accommodation;The Netherlands;Limburg (PV);2019 March;199;508
8819;Total overnight accommodation;The Netherlands;Limburg (PV);2019 1st quarter;506;1290
8820;Total overnight accommodation;The Netherlands;Limburg (PV);2019 April;242;641
8821;Total overnight accommodation;The Netherlands;Limburg (PV);2019 May;271;758
8822;Total overnight accommodation;The Netherlands;Limburg (PV);2019 June;295;878
8823;Total overnight accommodation;The Netherlands;Limburg (PV);2019 2nd quarter;808;2276
8824;Total overnight accommodation;The Netherlands;Limburg (PV);2019 July;288;994
8825;Total overnight accommodation;The Netherlands;Limburg (PV);2019 August;351;1467
8826;Total overnight accommodation;The Netherlands;Limburg (PV);2019 September;270;794
8827;Total overnight accommodation;The Netherlands;Limburg (PV);2019 3rd quarter;908;3255
8828;Total overnight accommodation;The Netherlands;Limburg (PV);2019 October;254;686
8829;Total overnight accommodation;The Netherlands;Limburg (PV);2019 November;193;461
8830;Total overnight accommodation;The Netherlands;Limburg (PV);2019 December;249;604
8831;Total overnight accommodation;The Netherlands;Limburg (PV);2019 4th quarter;697;1751
8832;Total overnight accommodation;The Netherlands;Limburg (PV);2019;2919;8573
8833;Total overnight accommodation;The Netherlands;Limburg (PV);2020 January;167;404
8834;Total overnight accommodation;The Netherlands;Limburg (PV);2020 February;181;469
8835;Total overnight accommodation;The Netherlands;Limburg (PV);2020 March;91;245
8836;Total overnight accommodation;The Netherlands;Limburg (PV);2020 1st quarter;439;1118
8837;Total overnight accommodation;The Netherlands;Limburg (PV);2020 April;26;89
8838;Total overnight accommodation;The Netherlands;Limburg (PV);2020 May;66;189
8839;Total overnight accommodation;The Netherlands;Limburg (PV);2020 June;184;597
8840;Total overnight accommodation;The Netherlands;Limburg (PV);2020 2nd quarter;277;875
8841;Total overnight accommodation;The Netherlands;Limburg (PV);2020 July;363;1340
8842;Total overnight accommodation;The Netherlands;Limburg (PV);2020 August;444;1795
8843;Total overnight accommodation;The Netherlands;Limburg (PV);2020 September;334;1081
8844;Total overnight accommodation;The Netherlands;Limburg (PV);2020 3rd quarter;1141;4216
8845;Total overnight accommodation;The Netherlands;Limburg (PV);2020 October;256;795
8846;Total overnight accommodation;The Netherlands;Limburg (PV);2020 November;132;341
8847;Total overnight accommodation;The Netherlands;Limburg (PV);2020 December;122;349
8848;Total overnight accommodation;The Netherlands;Limburg (PV);2020 4th quarter;510;1485
8849;Total overnight accommodation;The Netherlands;Limburg (PV);2020;2367;7694
8850;Total overnight accommodation;The Netherlands;Limburg (PV);2021 January;63;216
8851;Total overnight accommodation;The Netherlands;Limburg (PV);2021 February;111;341
8852;Total overnight accommodation;The Netherlands;Limburg (PV);2021 March;101;291
8853;Total overnight accommodation;The Netherlands;Limburg (PV);2021 1th quarter;275;847
8854;Total overnight accommodation;The Netherlands;Limburg (PV);2021 April;185;552
8855;Total overnight accommodation;The Netherlands;Limburg (PV);2021 May;359;1189
8856;Total overnight accommodation;The Netherlands;Limburg (PV);2021 June;333;1111
8857;Total overnight accommodation;The Netherlands;Limburg (PV);2021 2nd quarter;877;2852
8858;Total overnight accommodation;The Netherlands;Limburg (PV);2021 July;351;1449
8859;Total overnight accommodation;The Netherlands;Limburg (PV);2021 August;445;1969
8860;Total overnight accommodation;The Netherlands;Limburg (PV);2021 September;320;1077
8861;Total overnight accommodation;The Netherlands;Limburg (PV);2021 3rd quarter;1116;4495
