ID;TypeOfBankruptcy;Periods;BankruptciesSessionDayCorrected_1
1767;Nat. person with sole proprietorship;1996 July;149
1768;Nat. person with sole proprietorship;1996 August;146
1769;Nat. person with sole proprietorship;1996 September;154
1770;Nat. person with sole proprietorship;1996 3rd quarter;449
1771;Nat. person with sole proprietorship;1996 October;148
1772;Nat. person with sole proprietorship;1996 November;170
1773;Nat. person with sole proprietorship;1996 December;139
1774;Nat. person with sole proprietorship;1996 4th quarter;457
1775;Nat. person with sole proprietorship;1996;1899
1776;Nat. person with sole proprietorship;1997 January;172
1777;Nat. person with sole proprietorship;1997 February;158
1778;Nat. person with sole proprietorship;1997 March;146
1779;Nat. person with sole proprietorship;1997 1st quarter;476
1780;Nat. person with sole proprietorship;1997 April;127
1781;Nat. person with sole proprietorship;1997 May;151
1782;Nat. person with sole proprietorship;1997 June;127
1783;Nat. person with sole proprietorship;1997 2nd quarter;405
1784;Nat. person with sole proprietorship;1997 July;130
1785;Nat. person with sole proprietorship;1997 August;119
1786;Nat. person with sole proprietorship;1997 September;177
1787;Nat. person with sole proprietorship;1997 3rd quarter;426
1788;Nat. person with sole proprietorship;1997 October;139
1789;Nat. person with sole proprietorship;1997 November;149
1790;Nat. person with sole proprietorship;1997 December;133
1791;Nat. person with sole proprietorship;1997 4th quarter;421
1792;Nat. person with sole proprietorship;1997;1728
1793;Nat. person with sole proprietorship;1998 January;137
1794;Nat. person with sole proprietorship;1998 February;130
1795;Nat. person with sole proprietorship;1998 March;182
1796;Nat. person with sole proprietorship;1998 1st quarter;449
1797;Nat. person with sole proprietorship;1998 April;132
1798;Nat. person with sole proprietorship;1998 May;123
1799;Nat. person with sole proprietorship;1998 June;150
1800;Nat. person with sole proprietorship;1998 2nd quarter;405
1801;Nat. person with sole proprietorship;1998 July;130
1802;Nat. person with sole proprietorship;1998 August;133
1803;Nat. person with sole proprietorship;1998 September;158
1804;Nat. person with sole proprietorship;1998 3rd quarter;421
1805;Nat. person with sole proprietorship;1998 October;119
1806;Nat. person with sole proprietorship;1998 November;96
1807;Nat. person with sole proprietorship;1998 December;55
1808;Nat. person with sole proprietorship;1998 4th quarter;270
1809;Nat. person with sole proprietorship;1998;1545
1810;Nat. person with sole proprietorship;1999 January;82
1811;Nat. person with sole proprietorship;1999 February;79
1812;Nat. person with sole proprietorship;1999 March;95
1813;Nat. person with sole proprietorship;1999 1st quarter;256
1814;Nat. person with sole proprietorship;1999 April;84
1815;Nat. person with sole proprietorship;1999 May;63
1816;Nat. person with sole proprietorship;1999 June;79
1817;Nat. person with sole proprietorship;1999 2nd quarter;226
1818;Nat. person with sole proprietorship;1999 July;68
1819;Nat. person with sole proprietorship;1999 August;83
1820;Nat. person with sole proprietorship;1999 September;74
1821;Nat. person with sole proprietorship;1999 3rd quarter;225
1822;Nat. person with sole proprietorship;1999 October;72
1823;Nat. person with sole proprietorship;1999 November;73
1824;Nat. person with sole proprietorship;1999 December;73
1825;Nat. person with sole proprietorship;1999 4th quarter;218
1826;Nat. person with sole proprietorship;1999;925
1827;Nat. person with sole proprietorship;2000 January;80
1828;Nat. person with sole proprietorship;2000 February;72
1829;Nat. person with sole proprietorship;2000 March;86
1830;Nat. person with sole proprietorship;2000 1st quarter;238
1831;Nat. person with sole proprietorship;2000 April;77
1832;Nat. person with sole proprietorship;2000 May;73
1833;Nat. person with sole proprietorship;2000 June;62
1834;Nat. person with sole proprietorship;2000 2nd quarter;212
1835;Nat. person with sole proprietorship;2000 July;80
1836;Nat. person with sole proprietorship;2000 August;101
1837;Nat. person with sole proprietorship;2000 September;83
1838;Nat. person with sole proprietorship;2000 3rd quarter;264
1839;Nat. person with sole proprietorship;2000 October;90
1840;Nat. person with sole proprietorship;2000 November;79
1841;Nat. person with sole proprietorship;2000 December;75
1842;Nat. person with sole proprietorship;2000 4th quarter;244
1843;Nat. person with sole proprietorship;2000;958
1844;Nat. person with sole proprietorship;2001 January;79
1845;Nat. person with sole proprietorship;2001 February;75
1846;Nat. person with sole proprietorship;2001 March;92
1847;Nat. person with sole proprietorship;2001 1st quarter;246
1848;Nat. person with sole proprietorship;2001 April;87
1849;Nat. person with sole proprietorship;2001 May;86
1850;Nat. person with sole proprietorship;2001 June;78
1851;Nat. person with sole proprietorship;2001 2nd quarter;251
1852;Nat. person with sole proprietorship;2001 July;90
1853;Nat. person with sole proprietorship;2001 August;94
1854;Nat. person with sole proprietorship;2001 September;79
1855;Nat. person with sole proprietorship;2001 3rd quarter;263
1856;Nat. person with sole proprietorship;2001 October;96
1857;Nat. person with sole proprietorship;2001 November;78
1858;Nat. person with sole proprietorship;2001 December;63
1859;Nat. person with sole proprietorship;2001 4th quarter;237
1860;Nat. person with sole proprietorship;2001;997
1861;Nat. person with sole proprietorship;2002 January;88
1862;Nat. person with sole proprietorship;2002 February;80
1863;Nat. person with sole proprietorship;2002 March;92
1864;Nat. person with sole proprietorship;2002 1st quarter;260
1865;Nat. person with sole proprietorship;2002 April;76
1866;Nat. person with sole proprietorship;2002 May;67
1867;Nat. person with sole proprietorship;2002 June;88
1868;Nat. person with sole proprietorship;2002 2nd quarter;231
1869;Nat. person with sole proprietorship;2002 July;73
1870;Nat. person with sole proprietorship;2002 August;75
1871;Nat. person with sole proprietorship;2002 September;67
1872;Nat. person with sole proprietorship;2002 3rd quarter;215
1873;Nat. person with sole proprietorship;2002 October;79
1874;Nat. person with sole proprietorship;2002 November;35
1875;Nat. person with sole proprietorship;2002 December;58
1876;Nat. person with sole proprietorship;2002 4th quarter;172
1877;Nat. person with sole proprietorship;2002;878
1878;Nat. person with sole proprietorship;2003 January;92
1879;Nat. person with sole proprietorship;2003 February;78
1880;Nat. person with sole proprietorship;2003 March;117
1881;Nat. person with sole proprietorship;2003 1st quarter;287
1882;Nat. person with sole proprietorship;2003 April;112
1883;Nat. person with sole proprietorship;2003 May;91
1884;Nat. person with sole proprietorship;2003 June;99
1885;Nat. person with sole proprietorship;2003 2nd quarter;302
1886;Nat. person with sole proprietorship;2003 July;93
1887;Nat. person with sole proprietorship;2003 August;98
1888;Nat. person with sole proprietorship;2003 September;107
1889;Nat. person with sole proprietorship;2003 3rd quarter;298
1890;Nat. person with sole proprietorship;2003 October;77
1891;Nat. person with sole proprietorship;2003 November;109
1892;Nat. person with sole proprietorship;2003 December;78
1893;Nat. person with sole proprietorship;2003 4th quarter;264
1894;Nat. person with sole proprietorship;2003;1151
1895;Nat. person with sole proprietorship;2004 January;115
1896;Nat. person with sole proprietorship;2004 February;115
1897;Nat. person with sole proprietorship;2004 March;133
1898;Nat. person with sole proprietorship;2004 1st quarter;363
1899;Nat. person with sole proprietorship;2004 April;107
1900;Nat. person with sole proprietorship;2004 May;115
1901;Nat. person with sole proprietorship;2004 June;105
1902;Nat. person with sole proprietorship;2004 2nd quarter;327
1903;Nat. person with sole proprietorship;2004 July;125
1904;Nat. person with sole proprietorship;2004 August;123
1905;Nat. person with sole proprietorship;2004 September;117
1906;Nat. person with sole proprietorship;2004 3rd quarter;365
1907;Nat. person with sole proprietorship;2004 October;99
1908;Nat. person with sole proprietorship;2004 November;130
1909;Nat. person with sole proprietorship;2004 December;97
1910;Nat. person with sole proprietorship;2004 4th quarter;326
1911;Nat. person with sole proprietorship;2004;1381
1912;Nat. person with sole proprietorship;2005 January;150
1913;Nat. person with sole proprietorship;2005 February;119
1914;Nat. person with sole proprietorship;2005 March;143
1915;Nat. person with sole proprietorship;2005 1st quarter;412
1916;Nat. person with sole proprietorship;2005 April;117
1917;Nat. person with sole proprietorship;2005 May;144
1918;Nat. person with sole proprietorship;2005 June;161
1919;Nat. person with sole proprietorship;2005 2nd quarter;422
1920;Nat. person with sole proprietorship;2005 July;147
1921;Nat. person with sole proprietorship;2005 August;163
1922;Nat. person with sole proprietorship;2005 September;143
1923;Nat. person with sole proprietorship;2005 3rd quarter;453
1924;Nat. person with sole proprietorship;2005 October;148
1925;Nat. person with sole proprietorship;2005 November;129
1926;Nat. person with sole proprietorship;2005 December;133
1927;Nat. person with sole proprietorship;2005 4th quarter;410
1928;Nat. person with sole proprietorship;2005;1697
1929;Nat. person with sole proprietorship;2006 January;165
1930;Nat. person with sole proprietorship;2006 February;162
1931;Nat. person with sole proprietorship;2006 March;142
1932;Nat. person with sole proprietorship;2006 1st quarter;469
1933;Nat. person with sole proprietorship;2006 April;153
1934;Nat. person with sole proprietorship;2006 May;128
1935;Nat. person with sole proprietorship;2006 June;126
1936;Nat. person with sole proprietorship;2006 2nd quarter;407
1937;Nat. person with sole proprietorship;2006 July;150
1938;Nat. person with sole proprietorship;2006 August;147
1939;Nat. person with sole proprietorship;2006 September;143
1940;Nat. person with sole proprietorship;2006 3rd quarter;440
1941;Nat. person with sole proprietorship;2006 October;138
1942;Nat. person with sole proprietorship;2006 November;123
1943;Nat. person with sole proprietorship;2006 December;136
1944;Nat. person with sole proprietorship;2006 4th quarter;397
1945;Nat. person with sole proprietorship;2006;1713
1946;Nat. person with sole proprietorship;2007 January;84
1947;Nat. person with sole proprietorship;2007 February;75
1948;Nat. person with sole proprietorship;2007 March;78
1949;Nat. person with sole proprietorship;2007 1st quarter;237
1950;Nat. person with sole proprietorship;2007 April;82
1951;Nat. person with sole proprietorship;2007 May;94
1952;Nat. person with sole proprietorship;2007 June;83
1953;Nat. person with sole proprietorship;2007 2nd quarter;259
1954;Nat. person with sole proprietorship;2007 July;74
1955;Nat. person with sole proprietorship;2007 August;86
1956;Nat. person with sole proprietorship;2007 September;86
1957;Nat. person with sole proprietorship;2007 3rd quarter;246
1958;Nat. person with sole proprietorship;2007 October;100
1959;Nat. person with sole proprietorship;2007 November;81
1960;Nat. person with sole proprietorship;2007 December;90
1961;Nat. person with sole proprietorship;2007 4th quarter;271
1962;Nat. person with sole proprietorship;2007;1013
1963;Nat. person with sole proprietorship;2008 January;85
1964;Nat. person with sole proprietorship;2008 February;58
1965;Nat. person with sole proprietorship;2008 March;60
1966;Nat. person with sole proprietorship;2008 1st quarter;203
1967;Nat. person with sole proprietorship;2008 April;71
1968;Nat. person with sole proprietorship;2008 May;71
1969;Nat. person with sole proprietorship;2008 June;65
1970;Nat. person with sole proprietorship;2008 2nd quarter;207
1971;Nat. person with sole proprietorship;2008 July;60
1972;Nat. person with sole proprietorship;2008 August;63
1973;Nat. person with sole proprietorship;2008 September;68
1974;Nat. person with sole proprietorship;2008 3rd quarter;191
1975;Nat. person with sole proprietorship;2008 October;70
1976;Nat. person with sole proprietorship;2008 November;64
1977;Nat. person with sole proprietorship;2008 December;60
1978;Nat. person with sole proprietorship;2008 4th quarter;194
1979;Nat. person with sole proprietorship;2008;795
1980;Nat. person with sole proprietorship;2009 January;106
1981;Nat. person with sole proprietorship;2009 February;68
1982;Nat. person with sole proprietorship;2009 March;80
1983;Nat. person with sole proprietorship;2009 1st quarter;254
1984;Nat. person with sole proprietorship;2009 April;90
1985;Nat. person with sole proprietorship;2009 May;91
1986;Nat. person with sole proprietorship;2009 June;87
1987;Nat. person with sole proprietorship;2009 2nd quarter;268
1988;Nat. person with sole proprietorship;2009 July;98
1989;Nat. person with sole proprietorship;2009 August;77
1990;Nat. person with sole proprietorship;2009 September;76
1991;Nat. person with sole proprietorship;2009 3rd quarter;251
1992;Nat. person with sole proprietorship;2009 October;102
1993;Nat. person with sole proprietorship;2009 November;94
1994;Nat. person with sole proprietorship;2009 December;76
1995;Nat. person with sole proprietorship;2009 4th quarter;272
1996;Nat. person with sole proprietorship;2009;1045
1997;Nat. person with sole proprietorship;2010 January;118
1998;Nat. person with sole proprietorship;2010 February;90
1999;Nat. person with sole proprietorship;2010 March;96
2000;Nat. person with sole proprietorship;2010 1st quarter;304
2001;Nat. person with sole proprietorship;2010 April;88
2002;Nat. person with sole proprietorship;2010 May;80
2003;Nat. person with sole proprietorship;2010 June;84
2004;Nat. person with sole proprietorship;2010 2nd quarter;252
2005;Nat. person with sole proprietorship;2010 July;55
2006;Nat. person with sole proprietorship;2010 August;83
2007;Nat. person with sole proprietorship;2010 September;73
2008;Nat. person with sole proprietorship;2010 3rd quarter;211
2009;Nat. person with sole proprietorship;2010 October;72
2010;Nat. person with sole proprietorship;2010 November;79
2011;Nat. person with sole proprietorship;2010 December;67
2012;Nat. person with sole proprietorship;2010 4th quarter;218
2013;Nat. person with sole proprietorship;2010;985
2014;Nat. person with sole proprietorship;2011 January;74
2015;Nat. person with sole proprietorship;2011 February;62
2016;Nat. person with sole proprietorship;2011 March;71
2017;Nat. person with sole proprietorship;2011 1st quarter;207
2018;Nat. person with sole proprietorship;2011 April;60
2019;Nat. person with sole proprietorship;2011 May;63
2020;Nat. person with sole proprietorship;2011 June;53
2021;Nat. person with sole proprietorship;2011 2nd quarter;176
2022;Nat. person with sole proprietorship;2011 July;47
2023;Nat. person with sole proprietorship;2011 August;75
2024;Nat. person with sole proprietorship;2011 September;60
2025;Nat. person with sole proprietorship;2011 3rd quarter;182
2026;Nat. person with sole proprietorship;2011 October;72
2027;Nat. person with sole proprietorship;2011 November;74
2028;Nat. person with sole proprietorship;2011 December;55
2029;Nat. person with sole proprietorship;2011 4th quarter;201
2030;Nat. person with sole proprietorship;2011;766
2031;Nat. person with sole proprietorship;2012 January;83
2032;Nat. person with sole proprietorship;2012 February;76
2033;Nat. person with sole proprietorship;2012 March;93
2034;Nat. person with sole proprietorship;2012 1st quarter;252
2035;Nat. person with sole proprietorship;2012 April;79
2036;Nat. person with sole proprietorship;2012 May;65
2037;Nat. person with sole proprietorship;2012 June;66
2038;Nat. person with sole proprietorship;2012 2nd quarter;210
2039;Nat. person with sole proprietorship;2012 July;76
2040;Nat. person with sole proprietorship;2012 August;63
2041;Nat. person with sole proprietorship;2012 September;95
2042;Nat. person with sole proprietorship;2012 3rd quarter;234
2043;Nat. person with sole proprietorship;2012 October;101
2044;Nat. person with sole proprietorship;2012 November;114
2045;Nat. person with sole proprietorship;2012 December;86
2046;Nat. person with sole proprietorship;2012 4th quarter;301
2047;Nat. person with sole proprietorship;2012;997
2048;Nat. person with sole proprietorship;2013 January;103
2049;Nat. person with sole proprietorship;2013 February;76
2050;Nat. person with sole proprietorship;2013 March;104
2051;Nat. person with sole proprietorship;2013 1st quarter;283
2052;Nat. person with sole proprietorship;2013 April;98
2053;Nat. person with sole proprietorship;2013 May;95
2054;Nat. person with sole proprietorship;2013 June;90
2055;Nat. person with sole proprietorship;2013 2nd quarter;283
2056;Nat. person with sole proprietorship;2013 July;86
2057;Nat. person with sole proprietorship;2013 August;76
2058;Nat. person with sole proprietorship;2013 September;84
2059;Nat. person with sole proprietorship;2013 3rd quarter;246
2060;Nat. person with sole proprietorship;2013 October;78
2061;Nat. person with sole proprietorship;2013 November;101
2062;Nat. person with sole proprietorship;2013 December;64
2063;Nat. person with sole proprietorship;2013 4th quarter;243
2064;Nat. person with sole proprietorship;2013;1055
2065;Nat. person with sole proprietorship;2014 January;109
2066;Nat. person with sole proprietorship;2014 February;78
2067;Nat. person with sole proprietorship;2014 March;76
2068;Nat. person with sole proprietorship;2014 1st quarter;263
2069;Nat. person with sole proprietorship;2014 April;101
2070;Nat. person with sole proprietorship;2014 May;75
2071;Nat. person with sole proprietorship;2014 June;65
2072;Nat. person with sole proprietorship;2014 2nd quarter;241
2073;Nat. person with sole proprietorship;2014 July;78
2074;Nat. person with sole proprietorship;2014 August;78
2075;Nat. person with sole proprietorship;2014 September;80
2076;Nat. person with sole proprietorship;2014 3rd quarter;236
2077;Nat. person with sole proprietorship;2014 October;76
2078;Nat. person with sole proprietorship;2014 November;76
2079;Nat. person with sole proprietorship;2014 December;84
2080;Nat. person with sole proprietorship;2014 4th quarter;236
2081;Nat. person with sole proprietorship;2014;976
2082;Nat. person with sole proprietorship;2015 January;84
2083;Nat. person with sole proprietorship;2015 February;61
2084;Nat. person with sole proprietorship;2015 March;58
2085;Nat. person with sole proprietorship;2015 1st quarter;203
2086;Nat. person with sole proprietorship;2015 April;60
2087;Nat. person with sole proprietorship;2015 May;70
2088;Nat. person with sole proprietorship;2015 June;57
2089;Nat. person with sole proprietorship;2015 2nd quarter;187
2090;Nat. person with sole proprietorship;2015 July;57
2091;Nat. person with sole proprietorship;2015 August;50
2092;Nat. person with sole proprietorship;2015 September;64
2093;Nat. person with sole proprietorship;2015 3rd quarter;171
2094;Nat. person with sole proprietorship;2015 October;54
2095;Nat. person with sole proprietorship;2015 November;52
2096;Nat. person with sole proprietorship;2015 December;68
2097;Nat. person with sole proprietorship;2015 4th quarter;174
2098;Nat. person with sole proprietorship;2015;735
2099;Nat. person with sole proprietorship;2016 January;54
2100;Nat. person with sole proprietorship;2016 February;56
2101;Nat. person with sole proprietorship;2016 March;60
2102;Nat. person with sole proprietorship;2016 1st quarter;170
2103;Nat. person with sole proprietorship;2016 April;53
2104;Nat. person with sole proprietorship;2016 May;47
2105;Nat. person with sole proprietorship;2016 June;58
2106;Nat. person with sole proprietorship;2016 2nd quarter;158
2107;Nat. person with sole proprietorship;2016 July;56
2108;Nat. person with sole proprietorship;2016 August;43
2109;Nat. person with sole proprietorship;2016 September;58
2110;Nat. person with sole proprietorship;2016 3rd quarter;157
2111;Nat. person with sole proprietorship;2016 October;52
2112;Nat. person with sole proprietorship;2016 November;39
2113;Nat. person with sole proprietorship;2016 December;37
2114;Nat. person with sole proprietorship;2016 4th quarter;128
2115;Nat. person with sole proprietorship;2016;613
2116;Nat. person with sole proprietorship;2017 January;60
2117;Nat. person with sole proprietorship;2017 February;59
2118;Nat. person with sole proprietorship;2017 March;47
2119;Nat. person with sole proprietorship;2017 1st quarter;166
2120;Nat. person with sole proprietorship;2017 April;50
2121;Nat. person with sole proprietorship;2017 May;49
2122;Nat. person with sole proprietorship;2017 June;44
2123;Nat. person with sole proprietorship;2017 2nd quarter;143
2124;Nat. person with sole proprietorship;2017 July;39
2125;Nat. person with sole proprietorship;2017 August;47
2126;Nat. person with sole proprietorship;2017 September;49
2127;Nat. person with sole proprietorship;2017 3rd quarter;135
2128;Nat. person with sole proprietorship;2017 October;38
2129;Nat. person with sole proprietorship;2017 November;51
2130;Nat. person with sole proprietorship;2017 December;43
2131;Nat. person with sole proprietorship;2017 4th quarter;132
2132;Nat. person with sole proprietorship;2017;576
2133;Nat. person with sole proprietorship;2018 January;45
2134;Nat. person with sole proprietorship;2018 February;50
2135;Nat. person with sole proprietorship;2018 March;46
2136;Nat. person with sole proprietorship;2018 1st quarter;141
2137;Nat. person with sole proprietorship;2018 April;38
2138;Nat. person with sole proprietorship;2018 May;37
2139;Nat. person with sole proprietorship;2018 June;38
2140;Nat. person with sole proprietorship;2018 2nd quarter;113
2141;Nat. person with sole proprietorship;2018 July;28
2142;Nat. person with sole proprietorship;2018 August;49
2143;Nat. person with sole proprietorship;2018 September;54
2144;Nat. person with sole proprietorship;2018 3rd quarter;131
2145;Nat. person with sole proprietorship;2018 October;28
2146;Nat. person with sole proprietorship;2018 November;37
2147;Nat. person with sole proprietorship;2018 December;38
2148;Nat. person with sole proprietorship;2018 4th quarter;103
2149;Nat. person with sole proprietorship;2018;488
2150;Nat. person with sole proprietorship;2019 January;60
2151;Nat. person with sole proprietorship;2019 February;67
2152;Nat. person with sole proprietorship;2019 March;46
2153;Nat. person with sole proprietorship;2019 1st quarter;173
2154;Nat. person with sole proprietorship;2019 April;46
2155;Nat. person with sole proprietorship;2019 May;48
2156;Nat. person with sole proprietorship;2019 June;31
2157;Nat. person with sole proprietorship;2019 2nd quarter;125
2158;Nat. person with sole proprietorship;2019 July;41
2159;Nat. person with sole proprietorship;2019 August;45
2160;Nat. person with sole proprietorship;2019 September;59
2161;Nat. person with sole proprietorship;2019 3rd quarter;145
2162;Nat. person with sole proprietorship;2019 October;39
2163;Nat. person with sole proprietorship;2019 November;53
2164;Nat. person with sole proprietorship;2019 December;48
2165;Nat. person with sole proprietorship;2019 4th quarter;140
2166;Nat. person with sole proprietorship;2019;583
2167;Nat. person with sole proprietorship;2020 January;47
2168;Nat. person with sole proprietorship;2020 February;66
2169;Nat. person with sole proprietorship;2020 March;31
2170;Nat. person with sole proprietorship;2020 1st quarter;144
2171;Nat. person with sole proprietorship;2020 April;46
2172;Nat. person with sole proprietorship;2020 May;70
2173;Nat. person with sole proprietorship;2020 June;29
2174;Nat. person with sole proprietorship;2020 2nd quarter;145
2175;Nat. person with sole proprietorship;2020 July;30
2176;Nat. person with sole proprietorship;2020 August;25
2177;Nat. person with sole proprietorship;2020 September;31
2178;Nat. person with sole proprietorship;2020 3rd quarter;86
2179;Nat. person with sole proprietorship;2020 October;23
2180;Nat. person with sole proprietorship;2020 November;36
2181;Nat. person with sole proprietorship;2020 December;40
2182;Nat. person with sole proprietorship;2020 4th quarter;99
2183;Nat. person with sole proprietorship;2020;474
2184;Nat. person with sole proprietorship;2021 January;26
2185;Nat. person with sole proprietorship;2021 February;30
2186;Nat. person with sole proprietorship;2021 March;24
2187;Nat. person with sole proprietorship;2021 1st quarter;80
2188;Nat. person with sole proprietorship;2021 April;37
2189;Nat. person with sole proprietorship;2021 May;30
2190;Nat. person with sole proprietorship;2021 June;20
2191;Nat. person with sole proprietorship;2021 2nd quarter;87
2192;Nat. person with sole proprietorship;2021 July;17
2193;Nat. person with sole proprietorship;2021 August;12
2194;Nat. person with sole proprietorship;2021 September;24
2195;Nat. person with sole proprietorship;2021 3rd quarter;53
2196;Nat. person with sole proprietorship;2021 October;18
2197;Nat. person with sole proprietorship;2021 November;19
2198;Nat. person with sole proprietorship;2021 December;24
2199;Nat. person with sole proprietorship;2021 4th quarter;61
2200;Nat. person with sole proprietorship;2021;281
2201;Nat. person with sole proprietorship;2022 January;19
2202;Nat. person with sole proprietorship;2022 February;21
2203;Nat. person with sole proprietorship;2022 March;18
2204;Nat. person with sole proprietorship;2022 1st quarter;58
2205;Nat. person with sole proprietorship;2022 April;22
2206;Nat. person with sole proprietorship;2022 May;29
2207;Nat. person with sole proprietorship;2022 June;27
2208;Nat. person with sole proprietorship;2022 2nd quarter;78
2209;Nat. person with sole proprietorship;2022 July;22
2210;Nat. person with sole proprietorship;2022 August;19
2211;Nat. person with sole proprietorship;2022 September;23
2212;Nat. person with sole proprietorship;2022 3rd quarter;64
2213;Nat. person with sole proprietorship;2022 October;24
2214;Nat. person with sole proprietorship;2022 November;30
2215;Nat. person with sole proprietorship;2022 December;37
2216;Nat. person with sole proprietorship;2022 4th quarter;91
2217;Nat. person with sole proprietorship;2022;291
2218;Nat. person with sole proprietorship;2023 January;31
2219;Nat. person with sole proprietorship;2023 February;33
2220;Nat. person with sole proprietorship;2023 March;29
2221;Nat. person with sole proprietorship;2023 1st quarter;93
2222;Nat. person with sole proprietorship;2023 April;30
2223;Nat. person with sole proprietorship;2023 May;27
2224;Nat. person with sole proprietorship;2023 June;29
2225;Nat. person with sole proprietorship;2023 2nd quarter;86
2226;Nat. person with sole proprietorship;2023 July;38
2227;Nat. person with sole proprietorship;2023 August;36
2228;Nat. person with sole proprietorship;2023 September;39
2229;Nat. person with sole proprietorship;2023 3rd quarter;113
2230;Nat. person with sole proprietorship;2023 October;40
2231;Nat. person with sole proprietorship;2023 November;27
2232;Nat. person with sole proprietorship;2023 December;42
2233;Nat. person with sole proprietorship;2023 4th quarter;109
2234;Nat. person with sole proprietorship;2023;401
2235;Nat. person with sole proprietorship;2024 January;51
2236;Nat. person with sole proprietorship;2024 February;32
2237;Nat. person with sole proprietorship;2024 March;45
2238;Nat. person with sole proprietorship;2024 1st quarter;128
2239;Nat. person with sole proprietorship;2024 April;44
2240;Nat. person with sole proprietorship;2024 May;31
2241;Nat. person with sole proprietorship;2024 June;37
2242;Nat. person with sole proprietorship;2024 2nd quarter;112
2243;Nat. person with sole proprietorship;2024 July;45
2244;Nat. person with sole proprietorship;2024 August;40
2245;Nat. person with sole proprietorship;2024 September;53
2246;Nat. person with sole proprietorship;2024 3rd quarter;138
2247;Nat. person with sole proprietorship;2024 October;37
2248;Nat. person with sole proprietorship;2024 November;43
2249;Nat. person with sole proprietorship;2024 December;30
2250;Nat. person with sole proprietorship;2024 4th quarter;110
2251;Nat. person with sole proprietorship;2024;488
2252;Nat. person with sole proprietorship;2025 January;48
2253;Nat. person with sole proprietorship;2025 February;26
2254;Nat. person with sole proprietorship;2025 March;38
2255;Nat. person with sole proprietorship;2025 1st quarter;112
2256;Companies and institutions;1981 January;229
2257;Companies and institutions;1981 February;265
2258;Companies and institutions;1981 March;244
2259;Companies and institutions;1981 1st quarter;738
2260;Companies and institutions;1981 April;250
2261;Companies and institutions;1981 May;261
2262;Companies and institutions;1981 June;245
2263;Companies and institutions;1981 2nd quarter;756
2264;Companies and institutions;1981 July;291
2265;Companies and institutions;1981 August;232
2266;Companies and institutions;1981 September;285
2267;Companies and institutions;1981 3rd quarter;808
2268;Companies and institutions;1981 October;333
2269;Companies and institutions;1981 November;303
2270;Companies and institutions;1981 December;263
2271;Companies and institutions;1981 4th quarter;899
2272;Companies and institutions;1981;3201
2273;Companies and institutions;1982 January;329
2274;Companies and institutions;1982 February;349
2275;Companies and institutions;1982 March;370
2276;Companies and institutions;1982 1st quarter;1048
2277;Companies and institutions;1982 April;346
2278;Companies and institutions;1982 May;275
2279;Companies and institutions;1982 June;307
2280;Companies and institutions;1982 2nd quarter;928
2281;Companies and institutions;1982 July;326
2282;Companies and institutions;1982 August;276
2283;Companies and institutions;1982 September;307
2284;Companies and institutions;1982 3rd quarter;909
2285;Companies and institutions;1982 October;389
2286;Companies and institutions;1982 November;348
2287;Companies and institutions;1982 December;314
2288;Companies and institutions;1982 4th quarter;1051
2289;Companies and institutions;1982;3936
2290;Companies and institutions;1983 January;325
2291;Companies and institutions;1983 February;286
2292;Companies and institutions;1983 March;352
2293;Companies and institutions;1983 1st quarter;963
2294;Companies and institutions;1983 April;290
2295;Companies and institutions;1983 May;292
2296;Companies and institutions;1983 June;303
2297;Companies and institutions;1983 2nd quarter;885
2298;Companies and institutions;1983 July;234
2299;Companies and institutions;1983 August;277
2300;Companies and institutions;1983 September;275
2301;Companies and institutions;1983 3rd quarter;786
2302;Companies and institutions;1983 October;236
2303;Companies and institutions;1983 November;216
2304;Companies and institutions;1983 December;220
2305;Companies and institutions;1983 4th quarter;672
2306;Companies and institutions;1983;3306
2307;Companies and institutions;1984 January;244
2308;Companies and institutions;1984 February;256
2309;Companies and institutions;1984 March;274
2310;Companies and institutions;1984 1st quarter;774
2311;Companies and institutions;1984 April;209
2312;Companies and institutions;1984 May;213
2313;Companies and institutions;1984 June;233
2314;Companies and institutions;1984 2nd quarter;655
2315;Companies and institutions;1984 July;191
2316;Companies and institutions;1984 August;227
2317;Companies and institutions;1984 September;219
2318;Companies and institutions;1984 3rd quarter;637
2319;Companies and institutions;1984 October;202
2320;Companies and institutions;1984 November;200
2321;Companies and institutions;1984 December;171
2322;Companies and institutions;1984 4th quarter;573
2323;Companies and institutions;1984;2639
2324;Companies and institutions;1985 January;188
2325;Companies and institutions;1985 February;208
2326;Companies and institutions;1985 March;268
2327;Companies and institutions;1985 1st quarter;664
2328;Companies and institutions;1985 April;193
2329;Companies and institutions;1985 May;204
2330;Companies and institutions;1985 June;194
2331;Companies and institutions;1985 2nd quarter;591
2332;Companies and institutions;1985 july;181
2333;Companies and institutions;1985 August;172
2334;Companies and institutions;1985 September;194
2335;Companies and institutions;1985 3rd quarter;547
2336;Companies and institutions;1985 October;193
2337;Companies and institutions;1985 November;208
2338;Companies and institutions;1985 December;155
2339;Companies and institutions;1985 4th quarter;556
2340;Companies and institutions;1985;2358
2341;Companies and institutions;1986 January;160
2342;Companies and institutions;1986 February;124
2343;Companies and institutions;1986 March;207
2344;Companies and institutions;1986 1st quarter;491
2345;Companies and institutions;1986 April;137
2346;Companies and institutions;1986 May;157
2347;Companies and institutions;1986 June;173
