ID;Geslacht;Leeftijd;Perioden;Bevolking_1
407;Totaal mannen en vrouwen;8 jaar;2058;198491
408;Totaal mannen en vrouwen;8 jaar;2059;199086
409;Totaal mannen en vrouwen;8 jaar;2060;199980
410;Totaal mannen en vrouwen;9 jaar;2020;190020
411;Totaal mannen en vrouwen;9 jaar;2021;186226
412;Totaal mannen en vrouwen;9 jaar;2022;183708
413;Totaal mannen en vrouwen;9 jaar;2023;180116
414;Totaal mannen en vrouwen;9 jaar;2024;184715
415;Totaal mannen en vrouwen;9 jaar;2025;180763
416;Totaal mannen en vrouwen;9 jaar;2026;182645
417;Totaal mannen en vrouwen;9 jaar;2027;180514
418;Totaal mannen en vrouwen;9 jaar;2028;179695
419;Totaal mannen en vrouwen;9 jaar;2029;181938
420;Totaal mannen en vrouwen;9 jaar;2030;182025
421;Totaal mannen en vrouwen;9 jaar;2031;184841
422;Totaal mannen en vrouwen;9 jaar;2032;188403
423;Totaal mannen en vrouwen;9 jaar;2033;192738
424;Totaal mannen en vrouwen;9 jaar;2034;196802
425;Totaal mannen en vrouwen;9 jaar;2035;200162
426;Totaal mannen en vrouwen;9 jaar;2036;203587
427;Totaal mannen en vrouwen;9 jaar;2037;206388
428;Totaal mannen en vrouwen;9 jaar;2038;208557
429;Totaal mannen en vrouwen;9 jaar;2039;209991
430;Totaal mannen en vrouwen;9 jaar;2040;210862
431;Totaal mannen en vrouwen;9 jaar;2041;211325
432;Totaal mannen en vrouwen;9 jaar;2042;211377
433;Totaal mannen en vrouwen;9 jaar;2043;211123
434;Totaal mannen en vrouwen;9 jaar;2044;210576
435;Totaal mannen en vrouwen;9 jaar;2045;209905
436;Totaal mannen en vrouwen;9 jaar;2046;209161
437;Totaal mannen en vrouwen;9 jaar;2047;208114
438;Totaal mannen en vrouwen;9 jaar;2048;206900
439;Totaal mannen en vrouwen;9 jaar;2049;205621
440;Totaal mannen en vrouwen;9 jaar;2050;204384
441;Totaal mannen en vrouwen;9 jaar;2051;203215
442;Totaal mannen en vrouwen;9 jaar;2052;202152
443;Totaal mannen en vrouwen;9 jaar;2053;201241
444;Totaal mannen en vrouwen;9 jaar;2054;200508
445;Totaal mannen en vrouwen;9 jaar;2055;199920
446;Totaal mannen en vrouwen;9 jaar;2056;199486
447;Totaal mannen en vrouwen;9 jaar;2057;199233
448;Totaal mannen en vrouwen;9 jaar;2058;199199
449;Totaal mannen en vrouwen;9 jaar;2059;199478
450;Totaal mannen en vrouwen;9 jaar;2060;200075
451;Totaal mannen en vrouwen;10 jaar;2020;190659
452;Totaal mannen en vrouwen;10 jaar;2021;191197
453;Totaal mannen en vrouwen;10 jaar;2022;187404
454;Totaal mannen en vrouwen;10 jaar;2023;184803
455;Totaal mannen en vrouwen;10 jaar;2024;181189
456;Totaal mannen en vrouwen;10 jaar;2025;185722
457;Totaal mannen en vrouwen;10 jaar;2026;181728
458;Totaal mannen en vrouwen;10 jaar;2027;183588
459;Totaal mannen en vrouwen;10 jaar;2028;181433
460;Totaal mannen en vrouwen;10 jaar;2029;180611
461;Totaal mannen en vrouwen;10 jaar;2030;182833
462;Totaal mannen en vrouwen;10 jaar;2031;182935
463;Totaal mannen en vrouwen;10 jaar;2032;185747
464;Totaal mannen en vrouwen;10 jaar;2033;189307
465;Totaal mannen en vrouwen;10 jaar;2034;193632
466;Totaal mannen en vrouwen;10 jaar;2035;197693
467;Totaal mannen en vrouwen;10 jaar;2036;201041
468;Totaal mannen en vrouwen;10 jaar;2037;204461
469;Totaal mannen en vrouwen;10 jaar;2038;207259
470;Totaal mannen en vrouwen;10 jaar;2039;209424
471;Totaal mannen en vrouwen;10 jaar;2040;210857
472;Totaal mannen en vrouwen;10 jaar;2041;211731
473;Totaal mannen en vrouwen;10 jaar;2042;212196
474;Totaal mannen en vrouwen;10 jaar;2043;212249
475;Totaal mannen en vrouwen;10 jaar;2044;211999
476;Totaal mannen en vrouwen;10 jaar;2045;211456
477;Totaal mannen en vrouwen;10 jaar;2046;210788
478;Totaal mannen en vrouwen;10 jaar;2047;210049
479;Totaal mannen en vrouwen;10 jaar;2048;209008
480;Totaal mannen en vrouwen;10 jaar;2049;207799
481;Totaal mannen en vrouwen;10 jaar;2050;206524
482;Totaal mannen en vrouwen;10 jaar;2051;205290
483;Totaal mannen en vrouwen;10 jaar;2052;204126
484;Totaal mannen en vrouwen;10 jaar;2053;203066
485;Totaal mannen en vrouwen;10 jaar;2054;202156
