ID;OriginOfExports;Periods;ExportsOfGoodsAndServices_1;ExportsOfGoods_2;ExportsOfServices_3;ExportsOfGoodsAndServices_4;ExportsOfGoods_5;ExportsOfServices_6;ExportsOfGoodsAndServices_7;ExportsOfGoods_8;ExportsOfServices_9;ExportsOfGoodsAndServices_10;ExportsOfGoods_11;ExportsOfServices_12
674;69-70 Legal and management consultancy;2017;19096;139;18957;18820.0;140.0;18680.0;9.1;15.4;9.0;101.5;99.5;101.5
675;69-70 Legal and management consultancy;2018;23962;128;23834;23041.0;125.0;22915.0;22.4;-10.8;22.7;104.0;102.7;104.0
676;69-70 Legal and management consultancy;2019;25523;176;25347;24054.0;166.0;23888.0;4.4;32.8;4.2;106.1;106.3;106.1
677;69-70 Legal and management consultancy;2020;26581;163;26418;24946.0;153.0;24792.0;3.7;-7.4;3.8;106.6;106.3;106.6
678;69-70 Legal and management consultancy;2021;27851;168;27683;25573.0;156.0;25416.0;2.5;1.8;2.5;108.9;107.6;108.9
679;69-70 Legal and management consultancy;2022;30955;188;30767;27562.0;166.0;27395.0;7.8;6.5;7.8;112.3;113.0;112.3
680;69 Legal services, administration etc.;2015;1269;0;1269;1269.0;0.0;1269.0;;;;100.0;;100.0
681;69 Legal services, administration etc.;2016;1355;0;1355;1342.0;;1342.0;5.8;;5.8;101.0;;101.0
682;69 Legal services, administration etc.;2017;1553;0;1553;1524.0;;1524.0;13.6;;13.6;101.9;;101.9
683;69 Legal services, administration etc.;2018;1757;0;1757;1682.0;;1682.0;10.4;;10.4;104.4;;104.4
684;69 Legal services, administration etc.;2019;2029;0;2029;1906.0;;1906.0;13.3;;13.3;106.4;;106.4
685;69 Legal services, administration etc.;2020;2252;0;2252;2070.0;;2070.0;8.6;;8.6;108.8;;108.8
686;69 Legal services, administration etc.;2021;2209;0;2209;1991.0;;1991.0;-3.8;;-3.8;111.0;;111.0
687;69 Legal services, administration etc.;2022;2282;0;2282;1975.0;;1975.0;-0.8;;-0.8;115.6;;115.6
688;70 Holding companies (not financial);2015;16501;99;16402;16501.0;99.0;16402.0;;;;100.0;100.0;100.0
689;70 Holding companies (not financial);2016;15997;123;15874;15909.0;121.0;15788.0;-3.6;22.2;-3.7;100.6;101.7;100.5
690;70 Holding companies (not financial);2017;17543;139;17404;17295.0;140.0;17156.0;8.7;15.4;8.7;101.4;99.5;101.4
691;70 Holding companies (not financial);2018;22205;128;22077;21359.0;125.0;21233.0;23.5;-10.8;23.8;104.0;102.7;104.0
692;70 Holding companies (not financial);2019;23494;176;23318;22148.0;166.0;21982.0;3.7;32.8;3.5;106.1;106.3;106.1
693;70 Holding companies (not financial);2020;24329;163;24166;22876.0;153.0;22722.0;3.3;-7.4;3.4;106.4;106.3;106.4
694;70 Holding companies (not financial);2021;25642;168;25474;23585.0;156.0;23428.0;3.1;1.8;3.1;108.7;107.6;108.7
695;70 Holding companies (not financial);2022;28673;188;28485;25593.0;166.0;25426.0;8.5;6.5;8.5;112.0;113.0;112.0
696;71 Architects, technical services etc.;2015;2308;433;1875;2308.0;433.0;1875.0;;;;100.0;100.0;100.0
697;71 Architects, technical services etc.;2016;2391;441;1950;2382.0;445.0;1937.0;3.2;2.8;3.3;100.4;99.1;100.7
698;71 Architects, technical services etc.;2017;2635;364;2271;2623.0;387.0;2234.0;10.1;-12.9;15.3;100.5;93.9;101.7
699;71 Architects, technical services etc.;2018;2936;426;2510;2849.0;447.0;2402.0;8.6;15.4;7.5;103.1;95.3;104.5
700;71 Architects, technical services etc.;2019;2984;484;2500;2820.0;496.0;2329.0;-1.0;11.0;-3.1;105.8;97.5;107.4
701;71 Architects, technical services etc.;2020;3187;496;2691;2979.0;496.0;2485.0;5.6;0.0;6.7;107.0;99.9;108.3
702;71 Architects, technical services etc.;2021;3298;533;2765;3008.0;516.0;2495.0;1.0;4.0;0.4;109.7;103.2;110.8
703;71 Architects, technical services etc.;2022;3602;514;3088;3156.0;482.0;2675.0;4.9;-6.8;7.2;114.1;106.7;115.5
704;72 Research and development;2015;1869;0;1869;1869.0;0.0;1869.0;;;;100.0;;100.0
705;72 Research and development;2016;1938;0;1938;1915.0;;1915.0;2.5;;2.5;101.2;;101.2
706;72 Research and development;2017;1944;0;1944;1901.0;;1901.0;-0.7;;-0.7;102.3;;102.3
707;72 Research and development;2018;2021;0;2021;1935.0;;1935.0;1.8;;1.8;104.4;;104.4
708;72 Research and development;2019;2142;0;2142;1993.0;;1993.0;3.0;;3.0;107.5;;107.5
709;72 Research and development;2020;2333;0;2333;2165.0;;2165.0;8.6;;8.6;107.8;;107.8
710;72 Research and development;2021;2659;0;2659;2378.0;;2378.0;9.9;;9.9;111.8;;111.8
711;72 Research and development;2022;3027;0;3027;2637.0;;2637.0;10.9;;10.9;114.8;;114.8
712;73-75 Advertising, design and other;2015;2201;44;2157;2201.0;44.0;2157.0;;;;100.0;100.0;100.0
713;73-75 Advertising, design and other;2016;2546;33;2513;2528.0;31.0;2497.0;14.9;-29.5;15.8;100.7;106.5;100.6
714;73-75 Advertising, design and other;2017;2685;35;2650;2618.0;33.0;2585.0;3.6;6.1;3.5;102.5;106.5;102.5
715;73-75 Advertising, design and other;2018;2532;33;2499;2446.0;31.0;2415.0;-6.6;-5.7;-6.6;103.5;106.5;103.5
716;73-75 Advertising, design and other;2019;2455;35;2420;2353.0;32.0;2321.0;-3.8;3.0;-3.9;104.3;109.6;104.3
717;73-75 Advertising, design and other;2020;2238;29;2209;2199.0;26.0;2172.0;-6.6;-17.1;-6.4;101.8;109.6;101.7
718;73-75 Advertising, design and other;2021;2865;41;2824;2768.0;37.0;2730.0;25.9;41.4;25.7;103.5;109.6;103.4
719;73-75 Advertising, design and other;2022;3655;88;3567;3432.0;77.0;3353.0;24.0;104.9;22.8;106.5;114.8;106.4
720;73 Advertising and market research;2015;1548;44;1504;1548.0;44.0;1504.0;;;;100.0;100.0;100.0
721;73 Advertising and market research;2016;1892;33;1859;1881.0;31.0;1850.0;21.5;-29.5;23.0;100.6;106.5;100.5
722;73 Advertising and market research;2017;2065;35;2030;2014.0;33.0;1981.0;7.1;6.1;7.1;102.5;106.5;102.5
723;73 Advertising and market research;2018;1892;32;1860;1836.0;30.0;1806.0;-8.9;-8.6;-8.9;103.1;106.5;103.0
724;73 Advertising and market research;2019;1761;35;1726;1707.0;32.0;1675.0;-7.0;6.3;-7.3;103.2;109.6;103.1
725;73 Advertising and market research;2020;1489;20;1469;1493.0;18.0;1476.0;-12.5;-42.9;-11.9;99.7;109.6;99.5
726;73 Advertising and market research;2021;2071;27;2044;2038.0;25.0;2014.0;36.5;35.0;36.5;101.6;109.6;101.5
727;73 Advertising and market research;2022;2666;80;2586;2542.0;69.0;2470.0;24.7;181.5;22.7;104.9;115.4;104.7
728;74-75 Other specialised services;2015;653;0;653;653.0;0.0;653.0;;;;100.0;;100.0
729;74-75 Other specialised services;2016;654;0;654;647.0;;647.0;-0.9;;-0.9;101.1;;101.1
730;74-75 Other specialised services;2017;620;0;620;604.0;;604.0;-6.6;;-6.6;102.6;;102.6
731;74-75 Other specialised services;2018;640;1;639;610.0;;609.0;1.0;;0.8;104.9;;104.9
732;74-75 Other specialised services;2019;694;0;694;646.0;;646.0;5.8;-100.0;5.9;107.5;;107.5
733;74-75 Other specialised services;2020;749;9;740;700.0;;692.0;8.5;;7.2;106.9;;106.9
734;74-75 Other specialised services;2021;794;14;780;734.0;;721.0;4.8;55.6;4.2;108.2;;108.2
735;74-75 Other specialised services;2022;989;8;981;897.0;;889.0;22.2;-42.9;23.3;110.3;;110.3
736;74 Other specialised business services;2015;650;0;650;650.0;0.0;650.0;;;;100.0;;100.0
737;74 Other specialised business services;2016;650;0;650;644.0;;644.0;-0.9;;-0.9;100.9;;100.9
738;74 Other specialised business services;2017;616;0;616;601.0;;601.0;-6.6;;-6.6;102.4;;102.4
739;74 Other specialised business services;2018;635;1;634;605.0;;604.0;0.6;;0.5;104.9;;104.9
740;74 Other specialised business services;2019;689;0;689;642.0;;642.0;6.0;-100.0;6.2;107.4;;107.4
741;74 Other specialised business services;2020;746;9;737;698.0;;690.0;8.9;;7.5;106.8;;106.8
742;74 Other specialised business services;2021;792;14;778;732.0;;719.0;4.8;55.6;4.2;108.2;;108.2
743;74 Other specialised business services;2022;984;8;976;891.0;;883.0;21.7;-42.9;22.9;110.4;;110.5
744;75 Veterinary activities;2015;3;0;3;3.0;0.0;3.0;;;;100.0;;100.0
745;75 Veterinary activities;2016;4;0;4;3.0;;3.0;0.0;;0.0;133.3;;133.3
746;75 Veterinary activities;2017;4;0;4;3.0;;3.0;0.0;;0.0;133.3;;133.3
747;75 Veterinary activities;2018;5;0;5;5.0;;5.0;50.0;;50.0;111.1;;111.1
748;75 Veterinary activities;2019;5;0;5;4.0;;4.0;-20.0;;-20.0;138.9;;138.9
749;75 Veterinary activities;2020;3;0;3;2.0;;2.0;-40.0;;-40.0;138.9;;138.9
750;75 Veterinary activities;2021;2;0;2;2.0;;2.0;0.0;;0.0;92.6;;92.6
751;75 Veterinary activities;2022;5;0;5;6.0;;6.0;200.0;;200.0;77.2;;77.2
752;N Renting and other business support;2015;21245;9;21236;21245.0;9.0;21236.0;;;;100.0;100.0;100.0
753;N Renting and other business support;2016;14330;10;14320;14255.0;10.0;14245.0;-32.9;11.1;-32.9;100.5;100.0;100.5
754;N Renting and other business support;2017;16488;10;16478;16147.0;10.0;16137.0;13.3;0.0;13.3;102.1;100.0;102.1
755;N Renting and other business support;2018;19513;9;19504;18777.0;9.0;18767.0;16.3;-10.0;16.3;103.9;100.0;103.9
756;N Renting and other business support;2019;21081;9;21072;19817.0;9.0;19808.0;5.5;0.0;5.5;106.4;100.0;106.4
757;N Renting and other business support;2020;15184;9;15175;14062.0;7.0;14055.0;-29.0;-22.2;-29.0;108.0;128.6;108.0
758;N Renting and other business support;2021;21573;16;21557;19566.0;9.0;19556.0;39.1;33.3;39.1;110.3;171.4;110.2
759;N Renting and other business support;2022;27564;17;27547;23786.0;10.0;23777.0;21.6;6.3;21.6;115.9;171.4;115.9
760;77 Renting and leasing of tangible goods;2015;13816;0;13816;13816.0;0.0;13816.0;;;;100.0;;100.0
761;77 Renting and leasing of tangible goods;2016;5129;0;5129;5107.0;;5107.0;-63.0;;-63.0;100.4;;100.4
762;77 Renting and leasing of tangible goods;2017;5758;0;5758;5638.0;;5638.0;10.4;;10.4;102.1;;102.1
763;77 Renting and leasing of tangible goods;2018;7723;0;7723;7430.0;;7430.0;31.8;;31.8;103.9;;103.9
764;77 Renting and leasing of tangible goods;2019;8491;0;8491;7963.0;;7963.0;7.2;;7.2;106.6;;106.6
765;77 Renting and leasing of tangible goods;2020;7661;0;7661;7110.0;;7110.0;-10.7;;-10.7;107.7;;107.7
766;77 Renting and leasing of tangible goods;2021;11013;0;11013;9966.0;;9966.0;40.2;;40.2;110.5;;110.5
767;77 Renting and leasing of tangible goods;2022;12528;0;12528;10836.0;;10836.0;8.7;;8.7;115.6;;115.6
768;78 Employment activities;2015;160;0;160;160.0;0.0;160.0;;;;100.0;;100.0
769;78 Employment activities;2016;193;0;193;193.0;;193.0;20.6;;20.6;100.0;;100.0
770;78 Employment activities;2017;193;0;193;191.0;;191.0;-1.0;;-1.0;101.0;;101.0
771;78 Employment activities;2018;199;0;199;187.0;;187.0;-2.1;;-2.1;106.4;;106.4
772;78 Employment activities;2019;222;0;222;200.0;;200.0;7.0;;7.0;110.9;;110.9
773;78 Employment activities;2020;222;0;222;191.0;;191.0;-4.5;;-4.5;116.1;;116.1
774;78 Employment activities;2021;228;0;228;195.0;;195.0;2.3;;2.3;116.6;;116.6
775;78 Employment activities;2022;237;0;237;195.0;;195.0;-0.4;;-0.4;121.8;;121.8
776;79 Travel agencies, tour operators etc;2015;5464;0;5464;5464.0;0.0;5464.0;;;;100.0;;100.0
777;79 Travel agencies, tour operators etc;2016;6937;0;6937;6914.0;;6914.0;26.5;;26.5;100.3;;100.3
778;79 Travel agencies, tour operators etc;2017;8389;0;8389;8246.0;;8246.0;19.3;;19.3;101.7;;101.7
779;79 Travel agencies, tour operators etc;2018;9323;0;9323;9013.0;;9013.0;9.3;;9.3;103.4;;103.4
780;79 Travel agencies, tour operators etc;2019;9907;0;9907;9386.0;;9386.0;4.1;;4.1;105.5;;105.5
781;79 Travel agencies, tour operators etc;2020;4540;0;4540;4243.0;;4243.0;-54.8;;-54.8;107.0;;107.0
782;79 Travel agencies, tour operators etc;2021;6931;0;6931;6368.0;;6368.0;50.1;;50.1;108.8;;108.8
783;79 Travel agencies, tour operators etc;2022;11031;0;11031;9577.0;;9577.0;50.4;;50.4;115.2;;115.2
784;80-82 Security, other business services;2015;1805;9;1796;1805.0;9.0;1796.0;;;;100.0;100.0;100.0
785;80-82 Security, other business services;2016;2071;10;2061;2041.0;10.0;2031.0;13.1;11.1;13.1;101.5;100.0;101.5
786;80-82 Security, other business services;2017;2148;10;2138;2075.0;10.0;2065.0;1.7;0.0;1.7;103.5;100.0;103.5
787;80-82 Security, other business services;2018;2268;9;2259;2150.0;9.0;2141.0;3.6;-10.0;3.6;105.5;100.0;105.5
788;80-82 Security, other business services;2019;2461;9;2452;2270.0;9.0;2261.0;5.6;0.0;5.6;108.4;100.0;108.4
789;80-82 Security, other business services;2020;2761;9;2752;2480.0;7.0;2472.0;9.2;-22.2;9.3;111.3;128.6;111.3
790;80-82 Security, other business services;2021;3401;16;3385;3007.0;9.0;2997.0;21.3;33.3;21.2;113.1;171.4;112.9
791;80-82 Security, other business services;2022;3768;17;3751;3183.0;10.0;3172.0;5.9;6.3;5.8;118.4;171.4;118.2
792;80 Security and investigation;2015;93;3;90;93.0;3.0;90.0;;;;100.0;100.0;100.0
793;80 Security and investigation;2016;95;3;92;93.0;3.0;90.0;0.0;0.0;0.0;102.2;100.0;102.2
794;80 Security and investigation;2017;91;3;88;87.0;3.0;84.0;-6.3;0.0;-6.5;104.4;100.0;104.6
795;80 Security and investigation;2018;101;2;99;95.0;2.0;93.0;8.8;-33.3;10.2;106.6;100.0;106.8
796;80 Security and investigation;2019;105;3;102;95.0;3.0;92.0;0.0;50.0;-1.0;110.8;100.0;111.1
797;80 Security and investigation;2020;105;2;103;92.0;2.0;90.0;-2.9;-33.3;-2.0;114.0;100.0;114.4
798;80 Security and investigation;2021;121;5;116;104.0;4.0;100.0;13.3;100.0;11.7;116.0;125.0;115.4
799;80 Security and investigation;2022;185;5;180;151.0;5.0;146.0;44.6;20.0;45.7;122.6;104.2;123.0
800;81 Cleaning activities, gardening etc.;2015;170;0;170;170.0;0.0;170.0;;;;100.0;;100.0
801;81 Cleaning activities, gardening etc.;2016;191;0;191;189.0;;189.0;11.2;;11.2;101.1;;101.1
802;81 Cleaning activities, gardening etc.;2017;208;0;208;201.0;;201.0;6.3;;6.3;103.5;;103.5
803;81 Cleaning activities, gardening etc.;2018;228;0;228;216.0;;216.0;7.7;;7.7;105.4;;105.4
804;81 Cleaning activities, gardening etc.;2019;257;0;257;236.0;;236.0;9.2;;9.2;108.8;;108.8
805;81 Cleaning activities, gardening etc.;2020;288;0;288;257.0;;257.0;8.9;;8.9;111.9;;111.9
806;81 Cleaning activities, gardening etc.;2021;318;0;318;280.0;;280.0;8.7;;8.7;113.7;;113.7
807;81 Cleaning activities, gardening etc.;2022;379;0;379;316.0;;316.0;12.9;;12.9;120.0;;120.0
808;82 Other business services;2015;1542;6;1536;1542.0;6.0;1536.0;;;;100.0;100.0;100.0
809;82 Other business services;2016;1785;7;1778;1759.0;7.0;1752.0;14.1;16.7;14.1;101.5;100.0;101.5
810;82 Other business services;2017;1849;7;1842;1788.0;7.0;1781.0;1.6;0.0;1.6;103.4;100.0;103.4
811;82 Other business services;2018;1939;7;1932;1839.0;7.0;1832.0;2.9;0.0;2.9;105.4;100.0;105.5
812;82 Other business services;2019;2099;6;2093;1939.0;6.0;1933.0;5.5;-14.3;5.5;108.2;100.0;108.3
813;82 Other business services;2020;2368;7;2361;2131.0;5.0;2125.0;9.9;-16.7;9.9;111.1;140.0;111.1
814;82 Other business services;2021;2962;11;2951;2624.0;6.0;2618.0;23.1;14.3;23.2;112.9;192.5;112.7
815;82 Other business services;2022;3204;12;3192;2716.0;6.0;2710.0;3.5;0.0;3.5;118.0;210.0;117.8
816;O-Q Government and care;2015;1709;179;1530;1709.0;179.0;1530.0;;;;100.0;100.0;100.0
817;O-Q Government and care;2016;1804;154;1650;1807.0;168.0;1639.0;5.7;-6.1;7.1;99.8;91.7;100.7
818;O-Q Government and care;2017;1789;180;1609;1761.0;172.0;1589.0;-2.5;2.6;-3.0;101.6;104.4;101.2
819;O-Q Government and care;2018;1792;170;1622;1733.0;158.0;1576.0;-1.6;-8.3;-0.8;103.4;107.6;102.9
820;O-Q Government and care;2019;1857;164;1693;1750.0;159.0;1592.0;0.9;0.6;1.0;106.1;103.2;106.3
821;O-Q Government and care;2020;1610;164;1446;1497.0;167.0;1333.0;-14.4;4.9;-16.3;107.5;98.4;108.5
822;O-Q Government and care;2021;1688;232;1456;1480.0;175.0;1308.0;-1.2;4.9;-1.9;114.1;132.7;111.3
823;O-Q Government and care;2022;1987;328;1659;1638.0;202.0;1438.0;10.7;15.5;10.0;121.3;162.4;115.4
824;O Public administration and services;2015;1004;179;825;1004.0;179.0;825.0;;;;100.0;100.0;100.0
825;O Public administration and services;2016;1015;154;861;1032.0;168.0;864.0;2.8;-6.1;4.7;98.4;91.7;99.7
826;O Public administration and services;2017;948;180;768;938.0;172.0;768.0;-9.1;2.6;-11.1;101.0;104.4;100.0
827;O Public administration and services;2018;927;170;757;906.0;158.0;750.0;-3.5;-8.3;-2.3;102.3;107.6;101.0
828;O Public administration and services;2019;956;164;792;900.0;159.0;743.0;-0.6;0.6;-0.9;106.2;103.2;106.6
829;O Public administration and services;2020;893;164;729;829.0;167.0;665.0;-7.8;4.9;-10.5;107.7;98.4;109.6
830;O Public administration and services;2021;970;232;738;820.0;175.0;648.0;-1.1;4.9;-2.5;118.3;132.7;113.8
831;O Public administration and services;2022;1067;328;739;841.0;202.0;639.0;2.6;15.5;-1.5;126.8;162.4;115.7
832;84 Public administration and services;2015;1004;179;825;1004.0;179.0;825.0;;;;100.0;100.0;100.0
833;84 Public administration and services;2016;1015;154;861;1032.0;168.0;864.0;2.8;-6.1;4.7;98.4;91.7;99.7
834;84 Public administration and services;2017;948;180;768;938.0;172.0;768.0;-9.1;2.6;-11.1;101.0;104.4;100.0
835;84 Public administration and services;2018;927;170;757;906.0;158.0;750.0;-3.5;-8.3;-2.3;102.3;107.6;101.0
836;84 Public administration and services;2019;956;164;792;900.0;159.0;743.0;-0.6;0.6;-0.9;106.2;103.2;106.6
837;84 Public administration and services;2020;893;164;729;829.0;167.0;665.0;-7.8;4.9;-10.5;107.7;98.4;109.6
838;84 Public administration and services;2021;970;232;738;820.0;175.0;648.0;-1.1;4.9;-2.5;118.3;132.7;113.8
839;84 Public administration and services;2022;1067;328;739;841.0;202.0;639.0;2.6;15.5;-1.5;126.8;162.4;115.7
840;P Education;2015;429;0;429;429.0;0.0;429.0;;;;100.0;;100.0
841;P Education;2016;508;0;508;501.0;;501.0;16.8;;16.8;101.4;;101.4
842;P Education;2017;558;0;558;546.0;;546.0;9.1;;9.1;102.1;;102.1
843;P Education;2018;586;0;586;562.0;;562.0;2.9;;2.9;104.3;;104.3
844;P Education;2019;612;0;612;577.0;;577.0;2.7;;2.7;106.0;;106.0
845;P Education;2020;497;0;497;464.0;;464.0;-19.6;;-19.6;107.1;;107.1
846;P Education;2021;531;0;531;488.0;;488.0;5.0;;5.0;108.9;;108.9
847;P Education;2022;666;0;666;594.0;;594.0;21.8;;21.8;112.1;;112.1
848;85 Education;2015;429;0;429;429.0;0.0;429.0;;;;100.0;;100.0
849;85 Education;2016;508;0;508;501.0;;501.0;16.8;;16.8;101.4;;101.4
850;85 Education;2017;558;0;558;546.0;;546.0;9.1;;9.1;102.1;;102.1
851;85 Education;2018;586;0;586;562.0;;562.0;2.9;;2.9;104.3;;104.3
852;85 Education;2019;612;0;612;577.0;;577.0;2.7;;2.7;106.0;;106.0
853;85 Education;2020;497;0;497;464.0;;464.0;-19.6;;-19.6;107.1;;107.1
854;85 Education;2021;531;0;531;488.0;;488.0;5.0;;5.0;108.9;;108.9
855;85 Education;2022;666;0;666;594.0;;594.0;21.8;;21.8;112.1;;112.1
856;Q Health and social work activities;2015;276;0;276;276.0;0.0;276.0;;;;100.0;;100.0
857;Q Health and social work activities;2016;281;0;281;274.0;;274.0;-0.7;;-0.7;102.6;;102.6
858;Q Health and social work activities;2017;283;0;283;274.0;;274.0;0.0;;0.0;103.3;;103.3
859;Q Health and social work activities;2018;279;0;279;263.0;;263.0;-3.9;;-3.9;105.9;;105.9
860;Q Health and social work activities;2019;289;0;289;270.0;;270.0;2.5;;2.5;107.1;;107.1
861;Q Health and social work activities;2020;220;0;220;202.0;;202.0;-25.3;;-25.3;109.0;;109.0
862;Q Health and social work activities;2021;187;0;187;171.0;;171.0;-15.5;;-15.5;109.6;;109.6
863;Q Health and social work activities;2022;254;0;254;207.0;;207.0;21.4;;21.4;122.7;;122.7
864;86 Human health activities;2015;248;0;248;248.0;0.0;248.0;;;;100.0;;100.0
865;86 Human health activities;2016;254;0;254;248.0;;248.0;0.0;;0.0;102.4;;102.4
866;86 Human health activities;2017;254;0;254;247.0;;247.0;-0.4;;-0.4;102.8;;102.8
867;86 Human health activities;2018;249;0;249;237.0;;237.0;-3.9;;-3.9;104.9;;104.9
868;86 Human health activities;2019;259;0;259;244.0;;244.0;2.8;;2.8;106.2;;106.2
869;86 Human health activities;2020;200;0;200;186.0;;186.0;-23.9;;-23.9;107.8;;107.8
870;86 Human health activities;2021;173;0;173;159.0;;159.0;-14.5;;-14.5;109.0;;109.0
871;86 Human health activities;2022;234;0;234;191.0;;191.0;20.2;;20.2;122.7;;122.7
872;87-88 Care and social work;2015;28;0;28;28.0;0.0;28.0;;;;100.0;;100.0
873;87-88 Care and social work;2016;27;0;27;26.0;;26.0;-7.1;;-7.1;103.8;;103.8
874;87-88 Care and social work;2017;29;0;29;27.0;;27.0;3.7;;3.7;107.6;;107.6
875;87-88 Care and social work;2018;30;0;30;26.0;;26.0;-3.4;;-3.4;115.2;;115.2
876;87-88 Care and social work;2019;30;0;30;26.0;;26.0;0.0;;0.0;115.2;;115.2
877;87-88 Care and social work;2020;20;0;20;16.0;;16.0;-36.7;;-36.7;121.3;;121.3
878;87-88 Care and social work;2021;14;0;14;12.0;;12.0;-25.0;;-25.0;113.2;;113.2
879;87-88 Care and social work;2022;20;0;20;17.0;;17.0;35.7;;35.7;119.2;;119.2
880;R-U Culture, recreation, other services;2015;1755;45;1710;1755.0;45.0;1710.0;;;;100.0;100.0;100.0
881;R-U Culture, recreation, other services;2016;1830;47;1783;1805.0;46.0;1759.0;2.8;2.2;2.9;101.4;102.2;101.4
882;R-U Culture, recreation, other services;2017;2045;61;1984;1994.0;60.0;1935.0;10.5;29.8;10.0;102.5;102.2;102.6
883;R-U Culture, recreation, other services;2018;2075;63;2012;2001.0;61.0;1940.0;0.3;1.6;0.3;103.7;103.8;103.7
884;R-U Culture, recreation, other services;2019;2204;75;2129;2094.0;72.0;2021.0;4.6;19.0;4.2;105.3;103.8;105.3
885;R-U Culture, recreation, other services;2020;1160;50;1110;1083.0;47.0;1036.0;-48.3;-34.7;-48.8;107.1;105.9;107.2
886;R-U Culture, recreation, other services;2021;1154;64;1090;1053.0;59.0;995.0;-2.8;24.0;-4.0;109.6;109.4;109.6
887;R-U Culture, recreation, other services;2022;1953;113;1840;1710.0;97.0;1614.0;62.4;65.6;62.2;114.2;116.6;114.0
888;R Culture, sports and recreation;2015;1557;34;1523;1557.0;34.0;1523.0;;;;100.0;100.0;100.0
889;R Culture, sports and recreation;2016;1620;36;1584;1597.0;35.0;1562.0;2.6;2.9;2.6;101.4;102.9;101.4
890;R Culture, sports and recreation;2017;1815;50;1765;1769.0;49.0;1720.0;10.7;38.9;10.1;102.6;102.9;102.6
891;R Culture, sports and recreation;2018;1824;52;1772;1759.0;50.0;1709.0;-0.6;2.0;-0.6;103.7;104.9;103.7
892;R Culture, sports and recreation;2019;1950;61;1889;1848.0;58.0;1790.0;5.1;17.3;4.7;105.5;104.9;105.5
893;R Culture, sports and recreation;2020;960;36;924;890.0;33.0;857.0;-51.8;-42.6;-52.1;107.9;107.9;107.9
894;R Culture, sports and recreation;2021;941;35;906;854.0;32.0;822.0;-4.1;-5.6;-4.0;110.2;111.0;110.2
895;R Culture, sports and recreation;2022;1684;81;1603;1469.0;71.0;1398.0;72.1;125.7;70.0;114.6;113.9;114.7
896;90-92 Arts, culture and lotteries;2015;1122;34;1088;1122.0;34.0;1088.0;;;;100.0;100.0;100.0
897;90-92 Arts, culture and lotteries;2016;1178;36;1142;1163.0;35.0;1128.0;3.7;2.9;3.7;101.3;102.9;101.2
898;90-92 Arts, culture and lotteries;2017;1325;50;1275;1297.0;49.0;1249.0;11.5;38.9;10.7;102.1;102.9;102.1
899;90-92 Arts, culture and lotteries;2018;1319;52;1267;1280.0;50.0;1230.0;-1.4;2.0;-1.5;103.1;104.9;103.0
900;90-92 Arts, culture and lotteries;2019;1427;61;1366;1365.0;58.0;1307.0;6.7;17.3;6.2;104.5;104.9;104.5
901;90-92 Arts, culture and lotteries;2020;660;36;624;616.0;33.0;583.0;-54.9;-42.6;-55.4;107.1;107.9;107.1
902;90-92 Arts, culture and lotteries;2021;643;35;608;587.0;32.0;555.0;-4.7;-5.6;-4.6;109.5;111.0;109.5
903;90-92 Arts, culture and lotteries;2022;1154;81;1073;1017.0;71.0;946.0;73.3;125.7;70.2;113.5;113.9;113.5
904;90 Arts;2015;818;34;784;818.0;34.0;784.0;;;;100.0;100.0;100.0
905;90 Arts;2016;846;36;810;837.0;35.0;802.0;2.3;2.9;2.3;101.1;102.9;101.0
906;90 Arts;2017;967;50;917;950.0;49.0;901.0;13.5;38.9;12.3;101.8;102.9;101.8
907;90 Arts;2018;953;52;901;927.0;50.0;877.0;-2.4;2.0;-2.6;102.8;104.9;102.7
908;90 Arts;2019;1035;61;974;992.0;58.0;934.0;7.0;17.3;6.4;104.3;104.9;104.3
909;90 Arts;2020;460;36;424;431.0;33.0;397.0;-56.6;-42.6;-57.5;106.8;107.9;106.8
910;90 Arts;2021;461;35;426;423.0;32.0;391.0;-1.7;-5.6;-1.4;109.0;111.0;108.9
911;90 Arts;2022;820;81;739;728.0;71.0;656.0;72.0;125.7;67.6;112.7;113.9;112.7
912;91 Libraries, museums, zoos etc;2015;186;0;186;186.0;0.0;186.0;;;;100.0;;100.0
913;91 Libraries, museums, zoos etc;2016;203;0;203;200.0;;200.0;7.5;;7.5;101.5;;101.5
914;91 Libraries, museums, zoos etc;2017;216;0;216;209.0;;209.0;4.4;;4.4;103.4;;103.4
915;91 Libraries, museums, zoos etc;2018;219;0;219;209.0;;209.0;0.0;;0.0;104.9;;104.9
916;91 Libraries, museums, zoos etc;2019;228;0;228;215.0;;215.0;2.7;;2.7;106.2;;106.2
917;91 Libraries, museums, zoos etc;2020;109;0;109;97.0;;97.0;-54.8;;-54.8;112.4;;112.4
918;91 Libraries, museums, zoos etc;2021;94;0;94;82.0;;82.0;-15.6;;-15.6;114.9;;114.9
919;91 Libraries, museums, zoos etc;2022;205;0;205;175.0;;175.0;113.8;;113.8;117.2;;117.2
920;92 Lotteries and betting;2015;118;0;118;118.0;0.0;118.0;;;;100.0;;100.0
921;92 Lotteries and betting;2016;129;0;129;126.0;;126.0;6.8;;6.8;102.4;;102.4
922;92 Lotteries and betting;2017;142;0;142;139.0;;139.0;10.1;;10.1;102.4;;102.4
923;92 Lotteries and betting;2018;147;0;147;144.0;;144.0;3.5;;3.5;102.4;;102.4
