ID;EnergyCommodities;Periods;TotalPrimaryEnergySupplyTPES_1;IndigenousProduction_2;Imports_3;Exports_4;NetImports_5;Bunkers_6;StockChange_7;NetEnergyConsumption_8;TotalEnergyTransformationInput_9;ElectricityAndCHPTransformationInput_10;OtherTransformationInput_11;TotalEnergyTransformationOutput_12;ElectricityCHPTransformationOutput_13;OtherTransformationOutput_14;TotalNetEnergyTransformation_15;NetElectricityCHPTransformation_16;NetOtherTransformation_17;EnergySectorOwnUse_18;DistributionLosses_19;TotalFinalConsumption_20;FinalEnergyConsumption_21;NonEnergyUse_22;StatisticalDifferences_23
143;Total energy commodities;2013;3219.0;2858.0;9925.0;8839.0;1086.0;695.0;-30.0;3206.0;4265.0;965.0;3299.0;3772.0;586.0;3186.0;493.0;379.0;114.0;165.0;24.0;2524.0;1939.0;585.0;13.0
144;Total energy commodities;2014 1st quarter;859.0;759.0;2593.0;2337.0;257.0;169.0;12.0;786.0;1098.0;250.0;848.0;964.0;151.0;813.0;135.0;100.0;35.0;42.0;6.0;603.0;457.0;146.0;73.0
145;Total energy commodities;2014 2nd quarter;708.0;553.0;2628.0;2142.0;486.0;181.0;-150.0;752.0;1098.0;228.0;871.0;974.0;132.0;843.0;124.0;96.0;28.0;38.0;5.0;586.0;428.0;158.0;-44.0
146;Total energy commodities;2014 3rd quarter;680.0;486.0;2624.0;2188.0;436.0;177.0;-65.0;749.0;1075.0;226.0;849.0;941.0;130.0;811.0;134.0;96.0;38.0;39.0;5.0;571.0;421.0;149.0;-69.0
147;Total energy commodities;2014 4th quarter;801.0;704.0;2651.0;2442.0;209.0;165.0;53.0;758.0;1139.0;269.0;870.0;998.0;155.0;843.0;141.0;114.0;27.0;42.0;7.0;569.0;452.0;117.0;43.0
148;Total energy commodities;2014;3048.0;2503.0;10497.0;9109.0;1388.0;692.0;-150.0;3045.0;4410.0;972.0;3438.0;3877.0;567.0;3310.0;534.0;405.0;129.0;161.0;23.0;2328.0;1758.0;570.0;3.0
149;Total energy commodities;2015 1st quarter;882.0;665.0;2714.0;2524.0;190.0;167.0;195.0;;1169.0;269.0;899.0;1031.0;163.0;868.0;138.0;106.0;32.0;44.0;7.0;;;123.0;
150;Total energy commodities;2015 2nd quarter;675.0;389.0;2944.0;2293.0;651.0;174.0;-192.0;;1152.0;223.0;928.0;1026.0;128.0;898.0;126.0;96.0;30.0;41.0;5.0;;;111.0;
151;Total energy commodities;2015 3rd quarter;703.0;379.0;2905.0;2110.0;795.0;171.0;-299.0;;1194.0;241.0;953.0;1053.0;131.0;922.0;141.0;110.0;31.0;41.0;5.0;;;157.0;
152;Total energy commodities;2015 4th quarter;833.0;522.0;2786.0;2354.0;433.0;173.0;52.0;;1187.0;273.0;914.0;1043.0;164.0;880.0;143.0;109.0;34.0;44.0;6.0;;;152.0;
153;Total energy commodities;2015;3094.0;1954.0;11349.0;9280.0;2069.0;685.0;-243.0;3075.0;4701.0;1006.0;3695.0;4153.0;586.0;3568.0;548.0;420.0;127.0;170.0;24.0;2334.0;1792.0;542.0;19.0
154;Total energy commodities;2016 1st quarter;895.0;557.0;2747.0;2490.0;256.0;165.0;247.0;;1172.0;265.0;908.0;1041.0;160.0;881.0;131.0;104.0;27.0;47.0;6.0;;;134.0;
155;Total energy commodities;2016 2nd quarter;695.0;387.0;2852.0;2272.0;581.0;178.0;-95.0;;1169.0;229.0;940.0;1044.0;132.0;912.0;125.0;97.0;28.0;44.0;6.0;;;138.0;
156;Total energy commodities;2016 3rd quarter;681.0;360.0;2793.0;2228.0;564.0;183.0;-61.0;;1188.0;234.0;954.0;1061.0;134.0;927.0;127.0;100.0;27.0;43.0;6.0;;;145.0;
157;Total energy commodities;2016 4th quarter;871.0;507.0;2919.0;2588.0;331.0;159.0;193.0;;1315.0;287.0;1029.0;1175.0;172.0;1003.0;141.0;115.0;26.0;47.0;6.0;;;150.0;
158;Total energy commodities;2016;3141.0;1811.0;11311.0;9578.0;1732.0;685.0;283.0;3131.0;4845.0;1015.0;3830.0;4321.0;598.0;3723.0;524.0;417.0;107.0;181.0;24.0;2402.0;1835.0;567.0;11.0
159;Total coal and coal products;1946;305.0;241.0;94.0;13.0;81.0;5.0;-12.0;305.0;;;;;;;;;;;;;;;
160;Total coal and coal products;1947;367.0;290.0;115.0;16.0;99.0;7.0;-15.0;367.0;;;;;;;;;;;;;;;
161;Total coal and coal products;1948;392.0;310.0;112.0;28.0;85.0;8.0;5.0;392.0;;;;;;;;;;;;;;;
162;Total coal and coal products;1949;417.0;327.0;131.0;29.0;102.0;10.0;-2.0;417.0;;;;;;;;;;;;;;;
163;Total coal and coal products;1950;456.0;341.0;153.0;33.0;120.0;11.0;7.0;456.0;;;;;;;;;;;;;;;
164;Total coal and coal products;1951;474.0;348.0;175.0;36.0;139.0;10.0;-3.0;474.0;;;;;;;;;;;;;;;
165;Total coal and coal products;1952;462.0;350.0;180.0;42.0;138.0;8.0;-18.0;462.0;;;;;;;;;;;;;;;
166;Total coal and coal products;1953;473.0;344.0;178.0;48.0;129.0;6.0;6.0;473.0;;;;;;;;;;;;;;;
167;Total coal and coal products;1954;485.0;336.0;236.0;80.0;156.0;5.0;-2.0;485.0;;;;;;;;;;;;;;;
168;Total coal and coal products;1955;493.0;333.0;263.0;90.0;174.0;7.0;-7.0;493.0;;;;;;;;;;;;;;;
169;Total coal and coal products;1956;513.0;332.0;288.0;95.0;193.0;6.0;-6.0;513.0;;;;;;;;;;;;;;;
170;Total coal and coal products;1957;474.0;320.0;289.0;99.0;190.0;5.0;-31.0;474.0;;;;;;;;;;;;;;;
171;Total coal and coal products;1958;450.0;333.0;230.0;98.0;132.0;2.0;-13.0;450.0;;;;;;;;;;;;;;;
172;Total coal and coal products;1959;426.0;334.0;214.0;126.0;88.0;1.0;5.0;426.0;;;;;;;;;;;;;;;
173;Total coal and coal products;1960;444.0;343.0;231.0;147.0;84.0;1.0;18.0;444.0;;;;;;;;;;;;;;;
174;Total coal and coal products;1961;425.0;346.0;230.0;158.0;72.0;1.0;8.0;425.0;;;;;;;;;;;;;;;
175;Total coal and coal products;1962;453.0;317.0;283.0;152.0;131.0;0.0;6.0;453.0;;;;;;;;;;;;;;;
176;Total coal and coal products;1963;473.0;316.0;320.0;161.0;159.0;0.0;-2.0;473.0;;;;;;;;;;;;;;;
177;Total coal and coal products;1964;427.0;315.0;289.0;155.0;134.0;0.0;-22.0;427.0;;;;;;;;;;;;;;;
178;Total coal and coal products;1965;371.0;314.0;222.0;157.0;66.0;0.0;-8.0;371.0;;;;;;;;;;;;;;;
179;Total coal and coal products;1966;338.0;276.0;207.0;135.0;72.0;;-10.0;338.0;;;;;;;;;;;;;;;
180;Total coal and coal products;1967;325.0;221.0;215.0;137.0;78.0;;26.0;325.0;;;;;;;;;;;;;;;
181;Total coal and coal products;1968;308.0;182.0;232.0;126.0;105.0;;21.0;308.0;;;;;;;;;;;;;;;
182;Total coal and coal products;1969;262.0;152.0;205.0;102.0;103.0;;7.0;262.0;;;;;;;;;;;;;;;
183;Total coal and coal products;1970;192.0;119.0;168.0;90.0;78.0;;-4.0;192.0;;;;;;;;;;;;;;;
184;Total coal and coal products;1971;145.0;99.0;131.0;82.0;49.0;;-4.0;145.0;;;;;;;;;;;;;;;
185;Total coal and coal products;1972;124.0;77.0;121.0;88.0;32.0;;14.0;124.0;;;;;;;;;;;;;;;
186;Total coal and coal products;1973;126.0;47.0;134.0;72.0;62.0;;16.0;126.0;;;;;;;;;;;;;;;
187;Total coal and coal products;1974;120.0;21.0;149.0;52.0;97.0;;2.0;120.0;;;;;;;;;;;;;;;
188;Total coal and coal products;1975;101.0;0.0;131.0;21.0;110.0;;-8.0;101.0;;28.0;;;;;40.0;28.0;12.0;;;61.0;20.0;41.0;
189;Total coal and coal products;1976;126.0;0.0;149.0;22.0;127.0;;-1.0;126.0;;53.0;;;;;68.0;53.0;15.0;;;58.0;19.0;39.0;
190;Total coal and coal products;1977;132.0;0.0;153.0;22.0;131.0;;1.0;132.0;;64.0;;;;;77.0;64.0;13.0;;;56.0;17.0;39.0;
191;Total coal and coal products;1978;151.0;0.0;166.0;28.0;138.0;;13.0;152.0;;73.0;;;;;90.0;73.0;17.0;;;61.0;20.0;41.0;
192;Total coal and coal products;1979;144.0;0.0;208.0;56.0;152.0;;-8.0;145.0;;59.0;;;;;77.0;59.0;18.0;;;67.0;24.0;43.0;
193;Total coal and coal products;1980;167.0;0.0;221.0;56.0;165.0;;2.0;167.0;;87.0;;;;;106.0;87.0;19.0;;;60.0;22.0;38.0;
194;Total coal and coal products;1981;185.0;0.0;245.0;50.0;195.0;;-10.0;185.0;;101.0;;;;;118.0;101.0;17.0;;;67.0;23.0;44.0;
195;Total coal and coal products;1982;214.0;0.0;263.0;38.0;225.0;;-11.0;214.0;;137.0;;;;;151.0;137.0;14.0;;;62.0;20.0;42.0;
196;Total coal and coal products;1983;221.0;3.0;230.0;42.0;188.0;;31.0;222.0;;142.0;;;;;152.0;142.0;10.0;;;69.0;20.0;49.0;
197;Total coal and coal products;1984;267.0;3.0;328.0;70.0;258.0;;6.0;267.0;;162.0;;;;;176.0;162.0;14.0;;;91.0;29.0;62.0;
198;Total coal and coal products;1985;266.0;3.0;337.0;76.0;261.0;;2.0;266.0;;160.0;;;;;175.0;160.0;15.0;;;91.0;30.0;61.0;
199;Total coal and coal products;1986;274.0;2.0;358.0;94.0;264.0;;8.0;274.0;;173.0;;;;;188.0;173.0;15.0;;;87.0;30.0;57.0;
200;Total coal and coal products;1987;289.0;0.0;372.0;73.0;299.0;;-10.0;289.0;;187.0;;;;;201.0;187.0;14.0;;;88.0;37.0;51.0;
201;Total coal and coal products;1988;346.0;0.0;423.0;77.0;346.0;;0.0;346.0;;235.0;;;;;251.0;235.0;16.0;;;95.0;33.0;62.0;
202;Total coal and coal products;1989;343.0;0.0;404.0;58.0;346.0;;-3.0;343.0;;231.0;;;;;246.0;231.0;15.0;;;96.0;34.0;62.0;
203;Total coal and coal products;1990;367.0;;520.0;130.0;389.0;;-22.0;367.0;456.0;257.0;199.0;133.0;;133.0;323.0;257.0;66.0;;;44.0;33.0;11.0;0.0
204;Total coal and coal products;1991;336.0;;472.0;129.0;344.0;;-8.0;336.0;437.0;234.0;202.0;141.0;;141.0;296.0;234.0;62.0;;;40.0;30.0;10.0;0.0
205;Total coal and coal products;1992;335.0;;453.0;127.0;326.0;;9.0;335.0;444.0;240.0;204.0;142.0;;142.0;302.0;240.0;62.0;;;33.0;23.0;10.0;0.0
206;Total coal and coal products;1993;337.0;;451.0;124.0;328.0;;9.0;337.0;446.0;235.0;211.0;145.0;;145.0;301.0;235.0;66.0;1.0;;34.0;25.0;10.0;0.0
207;Total coal and coal products;1994;367.0;;477.0;104.0;373.0;;-6.0;367.0;478.0;257.0;221.0;144.0;;144.0;334.0;257.0;77.0;2.0;;31.0;21.0;10.0;0.0
208;Total coal and coal products;1995 1st quarter;93.0;;127.0;33.0;93.0;;0.0;;120.0;68.0;52.0;35.0;;35.0;85.0;68.0;17.0;1.0;;;;2.0;
209;Total coal and coal products;1995 2nd quarter;97.0;;125.0;34.0;92.0;;5.0;;123.0;68.0;55.0;37.0;;37.0;86.0;68.0;18.0;1.0;;;;2.0;
210;Total coal and coal products;1995 3rd quarter;93.0;;109.0;23.0;86.0;;6.0;;120.0;65.0;55.0;37.0;;37.0;83.0;65.0;18.0;0.0;;;;3.0;
211;Total coal and coal products;1995 4th quarter;91.0;;128.0;35.0;94.0;;-3.0;;121.0;67.0;54.0;36.0;;36.0;85.0;67.0;17.0;-1.0;;;;3.0;
212;Total coal and coal products;1995;373.0;;489.0;124.0;365.0;;8.0;374.0;484.0;268.0;215.0;145.0;;145.0;339.0;268.0;70.0;;;35.0;25.0;10.0;-1.0
213;Total coal and coal products;1996 1st quarter;94.0;;109.0;34.0;75.0;;19.0;;121.0;69.0;52.0;35.0;;35.0;86.0;69.0;17.0;1.0;;;;2.0;
214;Total coal and coal products;1996 2nd quarter;90.0;;131.0;25.0;106.0;;-16.0;;116.0;62.0;54.0;36.0;;36.0;79.0;62.0;18.0;1.0;;;;3.0;
215;Total coal and coal products;1996 3rd quarter;88.0;;111.0;30.0;81.0;;7.0;;117.0;62.0;55.0;37.0;;37.0;80.0;62.0;18.0;1.0;;;;3.0;
216;Total coal and coal products;1996 4th quarter;88.0;;114.0;27.0;87.0;;1.0;;118.0;63.0;55.0;37.0;;37.0;81.0;63.0;18.0;-2.0;;;;3.0;
217;Total coal and coal products;1996;360.0;;466.0;117.0;349.0;;10.0;362.0;472.0;256.0;216.0;145.0;;145.0;326.0;256.0;71.0;;;35.0;24.0;11.0;-2.0
218;Total coal and coal products;1997 1st quarter;90.0;;124.0;33.0;91.0;;-2.0;;118.0;63.0;55.0;36.0;;36.0;82.0;63.0;19.0;1.0;;;;2.0;
219;Total coal and coal products;1997 2nd quarter;87.0;;158.0;32.0;126.0;;-39.0;;115.0;61.0;54.0;36.0;;36.0;79.0;61.0;18.0;0.0;;;;2.0;
220;Total coal and coal products;1997 3rd quarter;81.0;;141.0;24.0;117.0;;-36.0;;109.0;53.0;55.0;36.0;;36.0;72.0;53.0;19.0;0.0;;;;3.0;
221;Total coal and coal products;1997 4th quarter;93.0;;125.0;54.0;71.0;;22.0;;120.0;65.0;55.0;37.0;;37.0;84.0;65.0;19.0;-1.0;;;;3.0;
222;Total coal and coal products;1997;350.0;;548.0;143.0;405.0;;-55.0;352.0;462.0;243.0;220.0;145.0;;145.0;317.0;243.0;75.0;;;35.0;25.0;10.0;-2.0
223;Total coal and coal products;1998 1st quarter;84.0;;125.0;65.0;60.0;;24.0;;118.0;64.0;54.0;36.0;;36.0;82.0;64.0;18.0;0.0;;;;2.0;
224;Total coal and coal products;1998 2nd quarter;90.0;;147.0;43.0;104.0;;-14.0;;118.0;62.0;55.0;36.0;;36.0;81.0;62.0;19.0;1.0;;;;2.0;
225;Total coal and coal products;1998 3rd quarter;90.0;;167.0;79.0;88.0;;3.0;;120.0;65.0;55.0;36.0;;36.0;84.0;65.0;19.0;-1.0;;;;2.0;
226;Total coal and coal products;1998 4th quarter;95.0;;154.0;66.0;88.0;;8.0;;114.0;63.0;51.0;33.0;;33.0;80.0;63.0;17.0;;;;;3.0;
227;Total coal and coal products;1998;357.0;;593.0;257.0;336.0;;20.0;359.0;469.0;254.0;215.0;141.0;;141.0;328.0;254.0;73.0;;;31.0;22.0;9.0;-2.0
228;Total coal and coal products;1999 1st quarter;84.0;;140.0;59.0;81.0;;2.0;;110.0;59.0;51.0;32.0;;32.0;77.0;59.0;19.0;;;;;1.0;
229;Total coal and coal products;1999 2nd quarter;72.0;;166.0;68.0;98.0;;-26.0;;98.0;48.0;50.0;32.0;;32.0;65.0;48.0;17.0;;;;;2.0;
230;Total coal and coal products;1999 3rd quarter;76.0;;115.0;50.0;66.0;;11.0;;98.0;51.0;47.0;29.0;;29.0;70.0;51.0;18.0;;;;;1.0;
231;Total coal and coal products;1999 4th quarter;81.0;;96.0;40.0;56.0;;25.0;;102.0;57.0;45.0;28.0;;28.0;75.0;57.0;17.0;;;;;2.0;
232;Total coal and coal products;1999;313.0;;517.0;216.0;301.0;;12.0;313.0;408.0;215.0;193.0;121.0;;121.0;287.0;215.0;72.0;;;26.0;20.0;6.0;0.0
233;Total coal and coal products;2000 1st quarter;81.0;;146.0;70.0;76.0;;5.0;;104.0;57.0;46.0;28.0;;28.0;75.0;57.0;18.0;;;;;1.0;
234;Total coal and coal products;2000 2nd quarter;78.0;;147.0;67.0;79.0;;-2.0;;98.0;55.0;43.0;27.0;;27.0;71.0;55.0;16.0;;;;;1.0;
235;Total coal and coal products;2000 3rd quarter;86.0;;153.0;59.0;94.0;;-8.0;;110.0;63.0;47.0;29.0;;29.0;81.0;63.0;17.0;;;;;1.0;
236;Total coal and coal products;2000 4th quarter;80.0;;150.0;67.0;83.0;;-3.0;;102.0;58.0;43.0;28.0;;28.0;74.0;58.0;15.0;;;;;1.0;
237;Total coal and coal products;2000;325.0;;596.0;263.0;332.0;;-7.0;325.0;414.0;234.0;179.0;112.0;;112.0;301.0;234.0;67.0;;;24.0;19.0;5.0;0.0
238;Total coal and coal products;2001 1st quarter;91.0;;178.0;101.0;76.0;;14.0;;114.0;69.0;45.0;28.0;;28.0;85.0;69.0;17.0;;;;;1.0;
239;Total coal and coal products;2001 2nd quarter;88.0;;245.0;143.0;103.0;;-15.0;;111.0;65.0;47.0;29.0;;29.0;82.0;65.0;17.0;;;;;1.0;
240;Total coal and coal products;2001 3rd quarter;86.0;;203.0;114.0;89.0;;-3.0;;110.0;61.0;49.0;30.0;;30.0;80.0;61.0;19.0;;;;;1.0;
241;Total coal and coal products;2001 4th quarter;81.0;;179.0;98.0;81.0;;0.0;;104.0;56.0;49.0;30.0;;30.0;75.0;56.0;19.0;;;;;1.0;
242;Total coal and coal products;2001;346.0;;805.0;455.0;349.0;;-3.0;346.0;440.0;251.0;189.0;118.0;;118.0;322.0;251.0;71.0;;;24.0;20.0;4.0;0.0
243;Total coal and coal products;2002 1st quarter;88.0;;154.0;69.0;85.0;;3.0;;110.0;63.0;47.0;29.0;;29.0;81.0;63.0;18.0;;;;;1.0;
244;Total coal and coal products;2002 2nd quarter;80.0;;123.0;50.0;73.0;;7.0;;102.0;61.0;41.0;27.0;;27.0;75.0;61.0;15.0;;;;;1.0;
245;Total coal and coal products;2002 3rd quarter;89.0;;138.0;60.0;77.0;;12.0;;113.0;63.0;49.0;29.0;;29.0;83.0;63.0;20.0;;;;;1.0;
246;Total coal and coal products;2002 4th quarter;91.0;;168.0;65.0;103.0;;-12.0;;114.0;66.0;48.0;29.0;;29.0;84.0;66.0;19.0;0.0;;;;1.0;
247;Total coal and coal products;2002;348.0;;583.0;245.0;338.0;;10.0;348.0;438.0;253.0;185.0;114.0;;114.0;324.0;253.0;72.0;0.0;;24.0;19.0;4.0;0.0
248;Total coal and coal products;2003 1st quarter;96.0;;155.0;53.0;102.0;;-6.0;;118.0;72.0;46.0;28.0;;28.0;90.0;72.0;18.0;;;;;1.0;
249;Total coal and coal products;2003 2nd quarter;90.0;;143.0;55.0;88.0;;2.0;;113.0;65.0;48.0;29.0;;29.0;84.0;65.0;19.0;0.0;;;;1.0;
250;Total coal and coal products;2003 3rd quarter;93.0;;150.0;51.0;100.0;;-7.0;;117.0;67.0;50.0;30.0;;30.0;86.0;67.0;19.0;0.0;;;;1.0;
251;Total coal and coal products;2003 4th quarter;81.0;;136.0;50.0;86.0;;-5.0;;104.0;54.0;50.0;30.0;;30.0;74.0;54.0;20.0;;;;;1.0;
252;Total coal and coal products;2003;360.0;;584.0;208.0;376.0;;-15.0;359.0;453.0;259.0;194.0;118.0;;118.0;335.0;259.0;76.0;;;25.0;20.0;5.0;1.0
253;Total coal and coal products;2004 1st quarter;85.0;;137.0;51.0;85.0;;0.0;;109.0;60.0;48.0;30.0;;30.0;79.0;60.0;19.0;;;;;1.0;
254;Total coal and coal products;2004 2nd quarter;84.0;;173.0;81.0;92.0;;-8.0;;108.0;59.0;49.0;31.0;;31.0;77.0;59.0;18.0;;;;;1.0;
255;Total coal and coal products;2004 3rd quarter;93.0;;162.0;54.0;108.0;;-15.0;;118.0;66.0;51.0;31.0;;31.0;87.0;66.0;20.0;;;;;1.0;
256;Total coal and coal products;2004 4th quarter;93.0;;136.0;71.0;65.0;;28.0;;117.0;65.0;51.0;31.0;;31.0;86.0;65.0;20.0;;;;;1.0;
257;Total coal and coal products;2004;355.0;;607.0;257.0;350.0;;5.0;355.0;451.0;251.0;200.0;122.0;;122.0;329.0;251.0;78.0;;;26.0;21.0;5.0;0.0
258;Total coal and coal products;2005 1st quarter;89.0;;129.0;40.0;89.0;;0.0;;113.0;62.0;51.0;31.0;;31.0;82.0;62.0;20.0;;;;;1.0;
259;Total coal and coal products;2005 2nd quarter;80.0;;136.0;52.0;83.0;;-3.0;;105.0;56.0;49.0;30.0;;30.0;74.0;56.0;18.0;;;;;1.0;
260;Total coal and coal products;2005 3rd quarter;85.0;;166.0;67.0;99.0;;-14.0;;109.0;60.0;49.0;31.0;;31.0;78.0;60.0;19.0;0.0;;;;1.0;
261;Total coal and coal products;2005 4th quarter;85.0;;122.0;50.0;72.0;;13.0;;109.0;58.0;51.0;31.0;;31.0;78.0;58.0;20.0;;;;;1.0;
262;Total coal and coal products;2005;339.0;;552.0;208.0;344.0;;-5.0;339.0;436.0;236.0;199.0;123.0;;123.0;313.0;236.0;76.0;0.0;;26.0;21.0;5.0;0.0
263;Total coal and coal products;2006 1st quarter;86.0;;138.0;77.0;61.0;;24.0;;109.0;60.0;49.0;30.0;;30.0;79.0;60.0;18.0;;;;;1.0;
264;Total coal and coal products;2006 2nd quarter;82.0;;148.0;80.0;68.0;;14.0;;105.0;54.0;51.0;31.0;;31.0;74.0;54.0;20.0;;;;;1.0;
265;Total coal and coal products;2006 3rd quarter;82.0;;142.0;60.0;82.0;;0.0;;104.0;59.0;45.0;29.0;;29.0;75.0;59.0;16.0;;;;;1.0;
266;Total coal and coal products;2006 4th quarter;74.0;;137.0;42.0;95.0;;-21.0;;94.0;55.0;40.0;26.0;;26.0;68.0;55.0;13.0;0.0;;;;1.0;
267;Total coal and coal products;2006;323.0;;565.0;259.0;306.0;;17.0;324.0;413.0;228.0;185.0;116.0;;116.0;297.0;228.0;69.0;0.0;;27.0;22.0;5.0;0.0
268;Total coal and coal products;2007 1st quarter;92.0;;181.0;86.0;95.0;;-2.0;;116.0;67.0;48.0;30.0;;30.0;86.0;67.0;19.0;0.0;;;;1.0;
269;Total coal and coal products;2007 2nd quarter;77.0;;158.0;88.0;70.0;;7.0;;100.0;50.0;50.0;30.0;;30.0;70.0;50.0;20.0;;;;;1.0;
270;Total coal and coal products;2007 3rd quarter;89.0;;193.0;94.0;99.0;;-9.0;;113.0;62.0;51.0;31.0;;31.0;81.0;62.0;20.0;0.0;;;;1.0;
271;Total coal and coal products;2007 4th quarter;94.0;;169.0;62.0;108.0;;-14.0;;117.0;66.0;51.0;32.0;;32.0;86.0;66.0;20.0;;;;;1.0;
272;Total coal and coal products;2007;352.0;;700.0;330.0;371.0;;-18.0;352.0;446.0;245.0;201.0;123.0;;123.0;323.0;245.0;78.0;;;29.0;24.0;5.0;0.0
273;Total coal and coal products;2008 1st quarter;90.0;;152.0;61.0;91.0;;-1.0;;114.0;63.0;51.0;31.0;;31.0;83.0;63.0;20.0;;;;;1.0;
274;Total coal and coal products;2008 2nd quarter;86.0;;150.0;59.0;91.0;;-6.0;;110.0;58.0;52.0;32.0;;32.0;78.0;58.0;20.0;;;;;1.0;
275;Total coal and coal products;2008 3rd quarter;77.0;;117.0;38.0;79.0;;-2.0;;101.0;50.0;51.0;32.0;;32.0;68.0;50.0;19.0;;;;;1.0;
276;Total coal and coal products;2008 4th quarter;81.0;;141.0;48.0;93.0;;-12.0;;100.0;61.0;39.0;24.0;;24.0;75.0;61.0;15.0;;;;;1.0;
277;Total coal and coal products;2008;333.0;;561.0;207.0;355.0;;-21.0;333.0;424.0;231.0;193.0;120.0;;120.0;304.0;231.0;73.0;;;29.0;24.0;5.0;0.0
278;Total coal and coal products;2009 1st quarter;83.0;;136.0;28.0;108.0;;-25.0;;98.0;65.0;33.0;20.0;;20.0;78.0;65.0;13.0;;;;;1.0;
279;Total coal and coal products;2009 2nd quarter;71.0;;129.0;31.0;98.0;;-27.0;;86.0;55.0;32.0;21.0;;21.0;66.0;55.0;11.0;;;;;1.0;
280;Total coal and coal products;2009 3rd quarter;79.0;;127.0;33.0;93.0;;-14.0;;98.0;55.0;43.0;26.0;;26.0;72.0;55.0;17.0;;;;;1.0;
281;Total coal and coal products;2009 4th quarter;80.0;;126.0;34.0;91.0;;-12.0;;99.0;54.0;45.0;27.0;;27.0;73.0;54.0;19.0;;;;;1.0;
282;Total coal and coal products;2009;314.0;;516.0;125.0;392.0;;-77.0;312.0;382.0;229.0;153.0;94.0;;94.0;289.0;229.0;60.0;;;23.0;19.0;4.0;2.0
283;Total coal and coal products;2010 1st quarter;84.0;;143.0;31.0;111.0;;-27.0;;105.0;63.0;42.0;27.0;;27.0;78.0;63.0;15.0;;;;;1.0;
284;Total coal and coal products;2010 2nd quarter;69.0;;125.0;52.0;74.0;;-5.0;;91.0;45.0;46.0;29.0;;29.0;62.0;45.0;17.0;;;;;1.0;
285;Total coal and coal products;2010 3rd quarter;76.0;;114.0;20.0;94.0;;-19.0;;99.0;51.0;47.0;30.0;;30.0;69.0;51.0;18.0;;;;;1.0;
286;Total coal and coal products;2010 4th quarter;87.0;;159.0;55.0;103.0;;-16.0;;109.0;64.0;45.0;29.0;;29.0;80.0;64.0;16.0;;;;;1.0;
287;Total coal and coal products;2010;316.0;;541.0;158.0;383.0;;-67.0;315.0;404.0;224.0;181.0;114.0;;114.0;290.0;224.0;66.0;;;26.0;22.0;4.0;0.0
288;Total coal and coal products;2011 1st quarter;79.0;;143.0;107.0;35.0;;43.0;;101.0;56.0;46.0;29.0;;29.0;72.0;56.0;17.0;;;;;1.0;
289;Total coal and coal products;2011 2nd quarter;77.0;;174.0;70.0;104.0;;-27.0;;99.0;51.0;49.0;29.0;;29.0;70.0;51.0;19.0;;;;;1.0;
290;Total coal and coal products;2011 3rd quarter;70.0;;177.0;69.0;107.0;;-38.0;;92.0;45.0;47.0;29.0;;29.0;63.0;45.0;19.0;;;;;1.0;
291;Total coal and coal products;2011 4th quarter;87.0;;159.0;90.0;69.0;;17.0;;108.0;60.0;48.0;28.0;;28.0;80.0;60.0;20.0;;;;;1.0;
292;Total coal and coal products;2011;312.0;;652.0;336.0;316.0;;-4.0;311.0;401.0;211.0;189.0;115.0;;115.0;286.0;211.0;75.0;;;26.0;21.0;4.0;0.0
293;Total coal and coal products;2012 1st quarter;90.0;;178.0;109.0;69.0;;21.0;;111.0;65.0;47.0;27.0;;27.0;84.0;65.0;19.0;;;;;1.0;
294;Total coal and coal products;2012 2nd quarter;73.0;;196.0;134.0;62.0;;11.0;;94.0;49.0;45.0;27.0;;27.0;67.0;49.0;18.0;;;;;1.0;
295;Total coal and coal products;2012 3rd quarter;88.0;;174.0;101.0;74.0;;14.0;;109.0;61.0;47.0;28.0;;28.0;80.0;61.0;19.0;;;;;1.0;
296;Total coal and coal products;2012 4th quarter;92.0;;226.0;144.0;82.0;;10.0;;112.0;66.0;47.0;28.0;;28.0;85.0;66.0;19.0;;;;;1.0;
297;Total coal and coal products;2012;343.0;;775.0;488.0;287.0;;56.0;341.0;427.0;241.0;186.0;110.0;;110.0;316.0;241.0;76.0;;;25.0;21.0;4.0;1.0
298;Total coal and coal products;2013 1st quarter;81.0;;210.0;128.0;83.0;;-2.0;81.0;102.0;59.0;42.0;26.0;;26.0;76.0;59.0;17.0;;;5.0;4.0;1.0;0.0
299;Total coal and coal products;2013 2nd quarter;77.0;;208.0;105.0;103.0;;-26.0;77.0;99.0;53.0;46.0;28.0;;28.0;71.0;53.0;18.0;;;6.0;5.0;1.0;0.0
300;Total coal and coal products;2013 3rd quarter;88.0;;293.0;196.0;97.0;;-9.0;88.0;110.0;63.0;47.0;29.0;;29.0;81.0;63.0;19.0;;;6.0;6.0;1.0;0.0
301;Total coal and coal products;2013 4th quarter;97.0;;376.0;277.0;98.0;;-1.0;97.0;120.0;73.0;47.0;29.0;;29.0;92.0;73.0;18.0;;;6.0;5.0;1.0;0.0
302;Total coal and coal products;2013;343.0;;1087.0;706.0;381.0;;-38.0;343.0;431.0;248.0;183.0;111.0;;111.0;319.0;248.0;71.0;;;23.0;20.0;4.0;0.0
