ID;Destinations;AllProdComCodes;AllPeriods;PriceIndexNumbersExcludingExcise_1;MonthOnMonthDevelopment_2;YearOnYearDevelopment_3
8524;Total sales;10891100 Soups and broths and prepara...;2022 October;118.3;4.0;16.6
8525;Total sales;10891100 Soups and broths and prepara...;2022 November;117.1;-1.0;15.8
8526;Total sales;10891100 Soups and broths and prepara...;2022 December;115.3;-1.5;14.1
8527;Total sales;10891100 Soups and broths and prepara...;2022;112.5;;12.5
8528;Total sales;10891100 Soups and broths and prepara...;2023 January;126.4;9.7;17.4
8529;Total sales;10891100 Soups and broths and prepara...;2023 February;130.1;2.9;22.2
8530;Total sales;10891100 Soups and broths and prepara...;2023 March;128.7;-1.1;20.7
8531;Total sales;10891100 Soups and broths and prepara...;2023 April;126.4;-1.8;13.4
8532;Total sales;10891100 Soups and broths and prepara...;2023 May;127.2;0.6;13.9
8533;Total sales;10891100 Soups and broths and prepara...;2023 June;125.5;-1.3;11.7
8534;Total sales;10891100 Soups and broths and prepara...;2023 July;124.9;-0.5;9.7
8535;Total sales;10891100 Soups and broths and prepara...;2023 August;126.4;1.2;10.0
8536;Total sales;10891100 Soups and broths and prepara...;2023 September;126.6;0.2;11.3
8537;Total sales;10891100 Soups and broths and prepara...;2023 October;138.0;8.9;16.7
8538;Total sales;10891100 Soups and broths and prepara...;2023 November;126.7;-8.2;8.2
8539;Total sales;10891100 Soups and broths and prepara...;2023 December;126.5;-0.2;9.7
8540;Total sales;10891100 Soups and broths and prepara...;2023;127.8;;13.6
8541;Total sales;10891100 Soups and broths and prepara...;2024 January;126.2;-0.2;-0.2
8542;Total sales;10891100 Soups and broths and prepara...;2024 February;127.5;1.0;-2.0
8543;Total sales;10891100 Soups and broths and prepara...;2024 March;127.3;-0.1;-1.1
8544;Total sales;10891100 Soups and broths and prepara...;2024 April;128.4;0.8;1.6
8545;Total sales;10891100 Soups and broths and prepara...;2024 May;128.9;0.4;1.4
8546;Total sales;10891100 Soups and broths and prepara...;2024 June;129.6;0.5;3.2
8547;Total sales;10891100 Soups and broths and prepara...;2024 July;130.0;0.3;4.1
8548;Total sales;10891100 Soups and broths and prepara...;2024 August;130.3;0.2;3.1
8549;Total sales;10891100 Soups and broths and prepara...;2024 September;133.5;2.5;5.4
8550;Total sales;10891100 Soups and broths and prepara...;2024 October;132.0;-1.2;-4.3
8551;Total sales;10891100 Soups and broths and prepara...;2024 November;137.7;4.3;8.7
8552;Total sales;10891100 Soups and broths and prepara...;2024 December;137.2;-0.3;8.5
8553;Total sales;10891100 Soups and broths and prepara...;2024;130.7;;2.3
8554;Total sales;10891100 Soups and broths and prepara...;2025 January;137.3;0.1;8.8
8555;Total sales;10891100 Soups and broths and prepara...;2025 February;136.8;-0.4;7.3
8556;Total sales;108912 Eggs, not in shell, and eggs y...;2018 January;128.3;;
8557;Total sales;108912 Eggs, not in shell, and eggs y...;2018 February;128.0;-0.3;
8558;Total sales;108912 Eggs, not in shell, and eggs y...;2018 March;124.9;-2.4;
8559;Total sales;108912 Eggs, not in shell, and eggs y...;2018 April;115.8;-7.3;
8560;Total sales;108912 Eggs, not in shell, and eggs y...;2018 May;116.8;0.9;
8561;Total sales;108912 Eggs, not in shell, and eggs y...;2018 June;114.5;-2.0;
8562;Total sales;108912 Eggs, not in shell, and eggs y...;2018 July;109.5;-4.4;
8563;Total sales;108912 Eggs, not in shell, and eggs y...;2018 August;109.0;-0.4;
8564;Total sales;108912 Eggs, not in shell, and eggs y...;2018 September;108.8;-0.2;
8565;Total sales;108912 Eggs, not in shell, and eggs y...;2018 October;108.4;-0.4;
8566;Total sales;108912 Eggs, not in shell, and eggs y...;2018 November;109.4;0.9;
8567;Total sales;108912 Eggs, not in shell, and eggs y...;2018 December;109.2;-0.2;
8568;Total sales;108912 Eggs, not in shell, and eggs y...;2018;115.2;;
8569;Total sales;108912 Eggs, not in shell, and eggs y...;2019 January;105.4;-3.5;-17.8
8570;Total sales;108912 Eggs, not in shell, and eggs y...;2019 February;104.7;-0.7;-18.2
8571;Total sales;108912 Eggs, not in shell, and eggs y...;2019 March;105.4;0.6;-15.6
8572;Total sales;108912 Eggs, not in shell, and eggs y...;2019 April;105.3;-0.1;-9.1
8573;Total sales;108912 Eggs, not in shell, and eggs y...;2019 May;105.3;0.0;-9.8
8574;Total sales;108912 Eggs, not in shell, and eggs y...;2019 June;105.1;-0.2;-8.2
8575;Total sales;108912 Eggs, not in shell, and eggs y...;2019 July;103.3;-1.8;-5.7
8576;Total sales;108912 Eggs, not in shell, and eggs y...;2019 August;102.1;-1.1;-6.3
8577;Total sales;108912 Eggs, not in shell, and eggs y...;2019 September;104.2;2.0;-4.3
8578;Total sales;108912 Eggs, not in shell, and eggs y...;2019 October;103.2;-0.9;-4.8
8579;Total sales;108912 Eggs, not in shell, and eggs y...;2019 November;103.6;0.4;-5.3
8580;Total sales;108912 Eggs, not in shell, and eggs y...;2019 December;105.2;1.6;-3.6
8581;Total sales;108912 Eggs, not in shell, and eggs y...;2019;104.4;;-9.4
8582;Total sales;108912 Eggs, not in shell, and eggs y...;2020 January;103.7;-1.5;-1.7
8583;Total sales;108912 Eggs, not in shell, and eggs y...;2020 February;104.0;0.3;-0.7
8584;Total sales;108912 Eggs, not in shell, and eggs y...;2020 March;104.3;0.2;-1.1
8585;Total sales;108912 Eggs, not in shell, and eggs y...;2020 April;103.7;-0.6;-1.5
8586;Total sales;108912 Eggs, not in shell, and eggs y...;2020 May;102.2;-1.4;-2.9
8587;Total sales;108912 Eggs, not in shell, and eggs y...;2020 June;102.5;0.3;-2.5
8588;Total sales;108912 Eggs, not in shell, and eggs y...;2020 July;101.8;-0.6;-1.4
8589;Total sales;108912 Eggs, not in shell, and eggs y...;2020 August;100.5;-1.3;-1.6
8590;Total sales;108912 Eggs, not in shell, and eggs y...;2020 September;101.0;0.4;-3.1
8591;Total sales;108912 Eggs, not in shell, and eggs y...;2020 October;101.8;0.8;-1.4
8592;Total sales;108912 Eggs, not in shell, and eggs y...;2020 November;104.8;2.9;1.1
8593;Total sales;108912 Eggs, not in shell, and eggs y...;2020 December;98.8;-5.7;-6.1
8594;Total sales;108912 Eggs, not in shell, and eggs y...;2020;102.4;;-1.9
8595;Total sales;108912 Eggs, not in shell, and eggs y...;2021 January;98.9;0.1;-4.6
8596;Total sales;108912 Eggs, not in shell, and eggs y...;2021 February;97.5;-1.4;-6.2
8597;Total sales;108912 Eggs, not in shell, and eggs y...;2021 March;99.1;1.6;-4.9
8598;Total sales;108912 Eggs, not in shell, and eggs y...;2021 April;100.1;1.0;-3.4
8599;Total sales;108912 Eggs, not in shell, and eggs y...;2021 May;101.6;1.5;-0.6
8600;Total sales;108912 Eggs, not in shell, and eggs y...;2021 June;99.4;-2.2;-3.0
8601;Total sales;108912 Eggs, not in shell, and eggs y...;2021 July;99.2;-0.1;-2.5
8602;Total sales;108912 Eggs, not in shell, and eggs y...;2021 August;98.8;-0.5;-1.8
8603;Total sales;108912 Eggs, not in shell, and eggs y...;2021 September;100.1;1.4;-0.8
8604;Total sales;108912 Eggs, not in shell, and eggs y...;2021 October;101.5;1.4;-0.3
8605;Total sales;108912 Eggs, not in shell, and eggs y...;2021 November;101.0;-0.4;-3.6
8606;Total sales;108912 Eggs, not in shell, and eggs y...;2021 December;102.8;1.7;4.0
8607;Total sales;108912 Eggs, not in shell, and eggs y...;2021;100.0;;-2.4
8608;Total sales;108912 Eggs, not in shell, and eggs y...;2022 January;101.9;-0.8;3.1
8609;Total sales;108912 Eggs, not in shell, and eggs y...;2022 February;103.1;1.1;5.7
8610;Total sales;108912 Eggs, not in shell, and eggs y...;2022 March;108.0;4.8;9.0
8611;Total sales;108912 Eggs, not in shell, and eggs y...;2022 April;138.7;28.4;38.5
8612;Total sales;108912 Eggs, not in shell, and eggs y...;2022 May;136.4;-1.6;34.2
8613;Total sales;108912 Eggs, not in shell, and eggs y...;2022 June;135.1;-0.9;36.0
8614;Total sales;108912 Eggs, not in shell, and eggs y...;2022 July;136.1;0.7;37.1
8615;Total sales;108912 Eggs, not in shell, and eggs y...;2022 August;137.1;0.7;38.8
8616;Total sales;108912 Eggs, not in shell, and eggs y...;2022 September;140.6;2.6;40.5
8617;Total sales;108912 Eggs, not in shell, and eggs y...;2022 October;162.9;15.8;60.5
8618;Total sales;108912 Eggs, not in shell, and eggs y...;2022 November;170.6;4.7;68.9
8619;Total sales;108912 Eggs, not in shell, and eggs y...;2022 December;173.0;1.4;68.4
8620;Total sales;108912 Eggs, not in shell, and eggs y...;2022;137.0;;37.0
8621;Total sales;108912 Eggs, not in shell, and eggs y...;2023 January;201.2;16.3;97.5
8622;Total sales;108912 Eggs, not in shell, and eggs y...;2023 February;202.8;0.8;96.8
8623;Total sales;108912 Eggs, not in shell, and eggs y...;2023 March;197.6;-2.6;83.0
8624;Total sales;108912 Eggs, not in shell, and eggs y...;2023 April;195.8;-0.9;41.2
8625;Total sales;108912 Eggs, not in shell, and eggs y...;2023 May;191.1;-2.4;40.1
8626;Total sales;108912 Eggs, not in shell, and eggs y...;2023 June;185.0;-3.2;36.9
8627;Total sales;108912 Eggs, not in shell, and eggs y...;2023 July;169.4;-8.4;24.5
8628;Total sales;108912 Eggs, not in shell, and eggs y...;2023 August;160.6;-5.2;17.2
8629;Total sales;108912 Eggs, not in shell, and eggs y...;2023 September;166.3;3.5;18.2
8630;Total sales;108912 Eggs, not in shell, and eggs y...;2023 October;161.6;-2.8;-0.8
8631;Total sales;108912 Eggs, not in shell, and eggs y...;2023 November;162.4;0.5;-4.8
8632;Total sales;108912 Eggs, not in shell, and eggs y...;2023 December;162.8;0.3;-5.9
8633;Total sales;108912 Eggs, not in shell, and eggs y...;2023;179.7;;31.2
8634;Total sales;108912 Eggs, not in shell, and eggs y...;2024 January;167.3;2.7;-16.9
8635;Total sales;108912 Eggs, not in shell, and eggs y...;2024 February;168.4;0.7;-17.0
8636;Total sales;108912 Eggs, not in shell, and eggs y...;2024 March;171.0;1.5;-13.5
8637;Total sales;108912 Eggs, not in shell, and eggs y...;2024 April;164.4;-3.8;-16.0
8638;Total sales;108912 Eggs, not in shell, and eggs y...;2024 May;163.8;-0.4;-14.3
8639;Total sales;108912 Eggs, not in shell, and eggs y...;2024 June;158.7;-3.1;-14.2
8640;Total sales;108912 Eggs, not in shell, and eggs y...;2024 July;154.3;-2.8;-8.9
8641;Total sales;108912 Eggs, not in shell, and eggs y...;2024 August;153.2;-0.7;-4.6
8642;Total sales;108912 Eggs, not in shell, and eggs y...;2024 September;156.9;2.4;-5.7
8643;Total sales;108912 Eggs, not in shell, and eggs y...;2024 October;164.1;4.6;1.6
8644;Total sales;108912 Eggs, not in shell, and eggs y...;2024 November;172.7;5.3;6.4
8645;Total sales;108912 Eggs, not in shell, and eggs y...;2024 December;173.3;0.3;6.5
8646;Total sales;108912 Eggs, not in shell, and eggs y...;2024;164.0;;-8.7
8647;Total sales;108912 Eggs, not in shell, and eggs y...;2025 January;170.0;-1.9;1.7
8648;Total sales;108912 Eggs, not in shell, and eggs y...;2025 February;174.7;2.7;3.7
8649;Total sales;109 Prepared animal feeds;2018 January;83.7;;
8650;Total sales;109 Prepared animal feeds;2018 February;84.2;0.6;
8651;Total sales;109 Prepared animal feeds;2018 March;84.7;0.6;
8652;Total sales;109 Prepared animal feeds;2018 April;85.2;0.6;
8653;Total sales;109 Prepared animal feeds;2018 May;85.3;0.2;
8654;Total sales;109 Prepared animal feeds;2018 June;85.7;0.4;
8655;Total sales;109 Prepared animal feeds;2018 July;85.8;0.1;
8656;Total sales;109 Prepared animal feeds;2018 August;86.7;1.0;
8657;Total sales;109 Prepared animal feeds;2018 September;87.1;0.5;
8658;Total sales;109 Prepared animal feeds;2018 October;88.2;1.3;
8659;Total sales;109 Prepared animal feeds;2018 November;88.1;-0.2;
8660;Total sales;109 Prepared animal feeds;2018 December;88.3;0.3;
8661;Total sales;109 Prepared animal feeds;2018;86.1;;
8662;Total sales;109 Prepared animal feeds;2019 January;89.0;0.8;6.3
8663;Total sales;109 Prepared animal feeds;2019 February;89.7;0.8;6.6
8664;Total sales;109 Prepared animal feeds;2019 March;89.4;-0.4;5.6
8665;Total sales;109 Prepared animal feeds;2019 April;88.8;-0.7;4.3
8666;Total sales;109 Prepared animal feeds;2019 May;88.3;-0.6;3.4
8667;Total sales;109 Prepared animal feeds;2019 June;87.9;-0.4;2.6
8668;Total sales;109 Prepared animal feeds;2019 July;87.5;-0.5;2.0
8669;Total sales;109 Prepared animal feeds;2019 August;86.7;-0.9;0.1
8670;Total sales;109 Prepared animal feeds;2019 September;86.1;-0.7;-1.1
8671;Total sales;109 Prepared animal feeds;2019 October;85.6;-0.6;-2.9
8672;Total sales;109 Prepared animal feeds;2019 November;85.8;0.2;-2.5
8673;Total sales;109 Prepared animal feeds;2019 December;86.6;0.8;-2.0
8674;Total sales;109 Prepared animal feeds;2019;87.6;;1.8
8675;Total sales;109 Prepared animal feeds;2020 January;87.8;1.5;-1.4
8676;Total sales;109 Prepared animal feeds;2020 February;88.6;0.9;-1.3
8677;Total sales;109 Prepared animal feeds;2020 March;89.2;0.7;-0.3
8678;Total sales;109 Prepared animal feeds;2020 April;88.9;-0.3;0.1
8679;Total sales;109 Prepared animal feeds;2020 May;88.6;-0.3;0.4
8680;Total sales;109 Prepared animal feeds;2020 June;88.7;0.2;0.9
8681;Total sales;109 Prepared animal feeds;2020 July;88.7;-0.1;1.3
8682;Total sales;109 Prepared animal feeds;2020 August;88.4;-0.4;1.9
8683;Total sales;109 Prepared animal feeds;2020 September;88.1;-0.3;2.3
8684;Total sales;109 Prepared animal feeds;2020 October;87.8;-0.3;2.6
8685;Total sales;109 Prepared animal feeds;2020 November;88.1;0.3;2.6
8686;Total sales;109 Prepared animal feeds;2020 December;89.5;1.7;3.5
8687;Total sales;109 Prepared animal feeds;2020;88.5;;1.0
8688;Total sales;109 Prepared animal feeds;2021 January;91.5;2.2;4.2
8689;Total sales;109 Prepared animal feeds;2021 February;93.6;2.3;5.7
8690;Total sales;109 Prepared animal feeds;2021 March;95.4;1.9;7.0
8691;Total sales;109 Prepared animal feeds;2021 April;98.0;2.7;10.2
8692;Total sales;109 Prepared animal feeds;2021 May;99.6;1.7;12.4
8693;Total sales;109 Prepared animal feeds;2021 June;100.9;1.3;13.7
8694;Total sales;109 Prepared animal feeds;2021 July;102.0;1.0;15.0
8695;Total sales;109 Prepared animal feeds;2021 August;101.5;-0.5;14.8
8696;Total sales;109 Prepared animal feeds;2021 September;101.4;0.0;15.2
8697;Total sales;109 Prepared animal feeds;2021 October;103.4;1.9;17.7
8698;Total sales;109 Prepared animal feeds;2021 November;105.2;1.8;19.4
8699;Total sales;109 Prepared animal feeds;2021 December;107.4;2.1;20.0
8700;Total sales;109 Prepared animal feeds;2021;100.0;;13.0
8701;Total sales;109 Prepared animal feeds;2022 January;111.9;4.2;22.3
8702;Total sales;109 Prepared animal feeds;2022 February;114.7;2.4;22.5
8703;Total sales;109 Prepared animal feeds;2022 March;121.4;5.9;27.2
8704;Total sales;109 Prepared animal feeds;2022 April;132.2;8.9;34.9
8705;Total sales;109 Prepared animal feeds;2022 May;135.6;2.6;36.1
8706;Total sales;109 Prepared animal feeds;2022 June;136.0;0.3;34.8
8707;Total sales;109 Prepared animal feeds;2022 July;135.8;-0.1;33.2
8708;Total sales;109 Prepared animal feeds;2022 August;132.7;-2.3;30.8
8709;Total sales;109 Prepared animal feeds;2022 September;130.8;-1.4;29.0
8710;Total sales;109 Prepared animal feeds;2022 October;131.4;0.5;27.2
8711;Total sales;109 Prepared animal feeds;2022 November;130.7;-0.6;24.2
8712;Total sales;109 Prepared animal feeds;2022 December;129.8;-0.7;20.8
8713;Total sales;109 Prepared animal feeds;2022;128.6;;28.6
8714;Total sales;109 Prepared animal feeds;2023 January;128.1;-1.3;14.4
8715;Total sales;109 Prepared animal feeds;2023 February;126.7;-1.1;10.5
8716;Total sales;109 Prepared animal feeds;2023 March;124.8;-1.5;2.8
8717;Total sales;109 Prepared animal feeds;2023 April;122.2;-2.1;-7.6
8718;Total sales;109 Prepared animal feeds;2023 May;118.6;-2.9;-12.6
8719;Total sales;109 Prepared animal feeds;2023 June;115.9;-2.3;-14.8
8720;Total sales;109 Prepared animal feeds;2023 July;113.1;-2.4;-16.7
8721;Total sales;109 Prepared animal feeds;2023 August;111.5;-1.4;-15.9
8722;Total sales;109 Prepared animal feeds;2023 September;110.6;-0.9;-15.5
8723;Total sales;109 Prepared animal feeds;2023 October;109.6;-0.9;-16.6
8724;Total sales;109 Prepared animal feeds;2023 November;109.5;-0.1;-16.2
8725;Total sales;109 Prepared animal feeds;2023 December;110.0;0.4;-15.2
8726;Total sales;109 Prepared animal feeds;2023;116.7;;-9.2
8727;Total sales;109 Prepared animal feeds;2024 January;109.9;-0.1;-14.2
8728;Total sales;109 Prepared animal feeds;2024 February;108.4;-1.3;-14.4
8729;Total sales;109 Prepared animal feeds;2024 March;106.7;-1.5;-14.5
8730;Total sales;109 Prepared animal feeds;2024 April;105.4;-1.2;-13.7
8731;Total sales;109 Prepared animal feeds;2024 May;105.2;-0.2;-11.3
8732;Total sales;109 Prepared animal feeds;2024 June;106.0;0.7;-8.6
8733;Total sales;109 Prepared animal feeds;2024 July;106.2;0.3;-6.1
8734;Total sales;109 Prepared animal feeds;2024 August;106.4;0.1;-4.6
8735;Total sales;109 Prepared animal feeds;2024 September;106.7;0.3;-3.5
8736;Total sales;109 Prepared animal feeds;2024 October;107.5;0.7;-1.9
8737;Total sales;109 Prepared animal feeds;2024 November;107.9;0.4;-1.5
8738;Total sales;109 Prepared animal feeds;2024 December;108.4;0.5;-1.5
8739;Total sales;109 Prepared animal feeds;2024;107.1;;-8.3
8740;Total sales;109 Prepared animal feeds;2025 January;110.9;2.4;1.0
8741;Total sales;109 Prepared animal feeds;2025 February;111.3;0.3;2.7
8742;Total sales;1091 Prepared feeds for farm animals;2018 January;81.7;;
8743;Total sales;1091 Prepared feeds for farm animals;2018 February;82.3;0.6;
8744;Total sales;1091 Prepared feeds for farm animals;2018 March;82.8;0.7;
8745;Total sales;1091 Prepared feeds for farm animals;2018 April;83.4;0.7;
8746;Total sales;1091 Prepared feeds for farm animals;2018 May;83.5;0.2;
8747;Total sales;1091 Prepared feeds for farm animals;2018 June;84.0;0.5;
8748;Total sales;1091 Prepared feeds for farm animals;2018 July;84.0;0.1;
8749;Total sales;1091 Prepared feeds for farm animals;2018 August;85.0;1.2;
8750;Total sales;1091 Prepared feeds for farm animals;2018 September;85.5;0.6;
8751;Total sales;1091 Prepared feeds for farm animals;2018 October;86.8;1.5;
8752;Total sales;1091 Prepared feeds for farm animals;2018 November;86.6;-0.2;
8753;Total sales;1091 Prepared feeds for farm animals;2018 December;86.9;0.3;
8754;Total sales;1091 Prepared feeds for farm animals;2018;84.4;;
8755;Total sales;1091 Prepared feeds for farm animals;2019 January;87.6;0.9;7.2
8756;Total sales;1091 Prepared feeds for farm animals;2019 February;88.4;0.9;7.5
8757;Total sales;1091 Prepared feeds for farm animals;2019 March;88.0;-0.4;6.3
8758;Total sales;1091 Prepared feeds for farm animals;2019 April;87.4;-0.8;4.8
8759;Total sales;1091 Prepared feeds for farm animals;2019 May;86.8;-0.7;3.8
8760;Total sales;1091 Prepared feeds for farm animals;2019 June;86.4;-0.4;2.9
8761;Total sales;1091 Prepared feeds for farm animals;2019 July;85.9;-0.6;2.2
8762;Total sales;1091 Prepared feeds for farm animals;2019 August;85.0;-1.0;0.0
8763;Total sales;1091 Prepared feeds for farm animals;2019 September;84.3;-0.8;-1.4
8764;Total sales;1091 Prepared feeds for farm animals;2019 October;83.8;-0.7;-3.4
8765;Total sales;1091 Prepared feeds for farm animals;2019 November;84.0;0.3;-3.0
8766;Total sales;1091 Prepared feeds for farm animals;2019 December;84.8;1.0;-2.3
8767;Total sales;1091 Prepared feeds for farm animals;2019;86.0;;2.0
8768;Total sales;1091 Prepared feeds for farm animals;2020 January;86.2;1.7;-1.6
8769;Total sales;1091 Prepared feeds for farm animals;2020 February;87.1;1.0;-1.5
8770;Total sales;1091 Prepared feeds for farm animals;2020 March;87.8;0.7;-0.3
8771;Total sales;1091 Prepared feeds for farm animals;2020 April;87.4;-0.4;0.1
8772;Total sales;1091 Prepared feeds for farm animals;2020 May;87.1;-0.4;0.4
8773;Total sales;1091 Prepared feeds for farm animals;2020 June;87.2;0.2;1.0
8774;Total sales;1091 Prepared feeds for farm animals;2020 July;87.2;-0.1;1.5
8775;Total sales;1091 Prepared feeds for farm animals;2020 August;86.8;-0.4;2.1
8776;Total sales;1091 Prepared feeds for farm animals;2020 September;86.5;-0.4;2.6
8777;Total sales;1091 Prepared feeds for farm animals;2020 October;86.7;0.2;3.5
8778;Total sales;1091 Prepared feeds for farm animals;2020 November;87.0;0.3;3.5
8779;Total sales;1091 Prepared feeds for farm animals;2020 December;88.6;1.9;4.5
8780;Total sales;1091 Prepared feeds for farm animals;2020;87.1;;1.3
8781;Total sales;1091 Prepared feeds for farm animals;2021 January;90.7;2.4;5.2
8782;Total sales;1091 Prepared feeds for farm animals;2021 February;93.0;2.6;6.8
8783;Total sales;1091 Prepared feeds for farm animals;2021 March;95.1;2.2;8.3
8784;Total sales;1091 Prepared feeds for farm animals;2021 April;97.8;2.9;11.9
8785;Total sales;1091 Prepared feeds for farm animals;2021 May;99.7;1.9;14.4
8786;Total sales;1091 Prepared feeds for farm animals;2021 June;101.1;1.5;15.9
8787;Total sales;1091 Prepared feeds for farm animals;2021 July;102.2;1.0;17.2
8788;Total sales;1091 Prepared feeds for farm animals;2021 August;101.6;-0.6;17.0
8789;Total sales;1091 Prepared feeds for farm animals;2021 September;101.6;0.0;17.4
8790;Total sales;1091 Prepared feeds for farm animals;2021 October;103.5;1.9;19.4
8791;Total sales;1091 Prepared feeds for farm animals;2021 November;105.6;2.0;21.4
8792;Total sales;1091 Prepared feeds for farm animals;2021 December;108.1;2.4;22.0
8793;Total sales;1091 Prepared feeds for farm animals;2021;100.0;;14.8
8794;Total sales;1091 Prepared feeds for farm animals;2022 January;112.8;4.4;24.4
8795;Total sales;1091 Prepared feeds for farm animals;2022 February;115.9;2.7;24.6
8796;Total sales;1091 Prepared feeds for farm animals;2022 March;123.5;6.5;29.9
8797;Total sales;1091 Prepared feeds for farm animals;2022 April;134.7;9.1;37.7
8798;Total sales;1091 Prepared feeds for farm animals;2022 May;138.6;2.9;39.1
8799;Total sales;1091 Prepared feeds for farm animals;2022 June;139.0;0.3;37.5
8800;Total sales;1091 Prepared feeds for farm animals;2022 July;137.5;-1.1;34.5
8801;Total sales;1091 Prepared feeds for farm animals;2022 August;133.9;-2.6;31.8
8802;Total sales;1091 Prepared feeds for farm animals;2022 September;131.8;-1.6;29.8
8803;Total sales;1091 Prepared feeds for farm animals;2022 October;132.2;0.3;27.7
8804;Total sales;1091 Prepared feeds for farm animals;2022 November;131.4;-0.6;24.4
8805;Total sales;1091 Prepared feeds for farm animals;2022 December;130.3;-0.8;20.5
8806;Total sales;1091 Prepared feeds for farm animals;2022;130.1;;30.1
8807;Total sales;1091 Prepared feeds for farm animals;2023 January;128.5;-1.4;13.9
8808;Total sales;1091 Prepared feeds for farm animals;2023 February;127.0;-1.2;9.6
8809;Total sales;1091 Prepared feeds for farm animals;2023 March;124.9;-1.7;1.2
8810;Total sales;1091 Prepared feeds for farm animals;2023 April;122.0;-2.3;-9.4
8811;Total sales;1091 Prepared feeds for farm animals;2023 May;118.1;-3.3;-14.8
8812;Total sales;1091 Prepared feeds for farm animals;2023 June;115.0;-2.6;-17.3
8813;Total sales;1091 Prepared feeds for farm animals;2023 July;112.2;-2.4;-18.3
8814;Total sales;1091 Prepared feeds for farm animals;2023 August;110.2;-1.8;-17.7
8815;Total sales;1091 Prepared feeds for farm animals;2023 September;109.2;-0.9;-17.2
8816;Total sales;1091 Prepared feeds for farm animals;2023 October;108.3;-0.8;-18.1
8817;Total sales;1091 Prepared feeds for farm animals;2023 November;108.3;0.0;-17.6
8818;Total sales;1091 Prepared feeds for farm animals;2023 December;108.8;0.5;-16.5
8819;Total sales;1091 Prepared feeds for farm animals;2023;116.0;;-10.8
8820;Total sales;1091 Prepared feeds for farm animals;2024 January;108.7;-0.1;-15.4
8821;Total sales;1091 Prepared feeds for farm animals;2024 February;107.3;-1.3;-15.5
8822;Total sales;1091 Prepared feeds for farm animals;2024 March;105.3;-1.9;-15.7
8823;Total sales;1091 Prepared feeds for farm animals;2024 April;103.8;-1.4;-14.9
8824;Total sales;1091 Prepared feeds for farm animals;2024 May;103.6;-0.2;-12.2
8825;Total sales;1091 Prepared feeds for farm animals;2024 June;104.5;0.9;-9.1
8826;Total sales;1091 Prepared feeds for farm animals;2024 July;104.7;0.1;-6.7
8827;Total sales;1091 Prepared feeds for farm animals;2024 August;104.9;0.2;-4.8
8828;Total sales;1091 Prepared feeds for farm animals;2024 September;105.2;0.3;-3.6
8829;Total sales;1091 Prepared feeds for farm animals;2024 October;106.7;1.4;-1.5
8830;Total sales;1091 Prepared feeds for farm animals;2024 November;107.0;0.3;-1.1
8831;Total sales;1091 Prepared feeds for farm animals;2024 December;107.6;0.6;-1.1
8832;Total sales;1091 Prepared feeds for farm animals;2024;105.8;;-8.8
8833;Total sales;1091 Prepared feeds for farm animals;2025 January;109.1;1.4;0.4
8834;Total sales;1091 Prepared feeds for farm animals;2025 February;109.5;0.3;2.0
8835;Total sales;1092 Prepared pet foods;2018 January;99.7;;
8836;Total sales;1092 Prepared pet foods;2018 February;99.7;0.0;
8837;Total sales;1092 Prepared pet foods;2018 March;99.7;0.0;
8838;Total sales;1092 Prepared pet foods;2018 April;99.7;0.0;
8839;Total sales;1092 Prepared pet foods;2018 May;99.7;0.0;
8840;Total sales;1092 Prepared pet foods;2018 June;99.7;0.0;
8841;Total sales;1092 Prepared pet foods;2018 July;99.7;0.0;
8842;Total sales;1092 Prepared pet foods;2018 August;99.7;0.0;
8843;Total sales;1092 Prepared pet foods;2018 September;99.7;0.0;
8844;Total sales;1092 Prepared pet foods;2018 October;99.7;0.0;
8845;Total sales;1092 Prepared pet foods;2018 November;99.7;0.0;
8846;Total sales;1092 Prepared pet foods;2018 December;99.7;0.0;
8847;Total sales;1092 Prepared pet foods;2018;99.7;;
8848;Total sales;1092 Prepared pet foods;2019 January;100.4;0.7;0.7
8849;Total sales;1092 Prepared pet foods;2019 February;100.4;0.0;0.7
8850;Total sales;1092 Prepared pet foods;2019 March;100.4;0.0;0.7
8851;Total sales;1092 Prepared pet foods;2019 April;100.4;0.0;0.7
8852;Total sales;1092 Prepared pet foods;2019 May;100.4;0.0;0.7
8853;Total sales;1092 Prepared pet foods;2019 June;100.4;0.0;0.7
8854;Total sales;1092 Prepared pet foods;2019 July;100.4;0.0;0.7
8855;Total sales;1092 Prepared pet foods;2019 August;100.4;0.0;0.7
8856;Total sales;1092 Prepared pet foods;2019 September;100.4;0.0;0.7
8857;Total sales;1092 Prepared pet foods;2019 October;100.4;0.0;0.7
8858;Total sales;1092 Prepared pet foods;2019 November;100.4;0.0;0.7
8859;Total sales;1092 Prepared pet foods;2019 December;100.4;0.0;0.7
8860;Total sales;1092 Prepared pet foods;2019;100.4;;0.7
8861;Total sales;1092 Prepared pet foods;2020 January;100.5;0.0;0.0
8862;Total sales;1092 Prepared pet foods;2020 February;100.5;0.0;0.0
8863;Total sales;1092 Prepared pet foods;2020 March;100.5;0.0;0.0
8864;Total sales;1092 Prepared pet foods;2020 April;100.8;0.3;0.4
8865;Total sales;1092 Prepared pet foods;2020 May;100.8;0.0;0.4
8866;Total sales;1092 Prepared pet foods;2020 June;100.8;0.0;0.4
8867;Total sales;1092 Prepared pet foods;2020 July;100.7;-0.1;0.3
