ID;Client;BuildingPhases;Periods;TotalBuildingCosts_1;BuildingCostsAlteration_2;BuildingCostsNewBuildings_3;Dwelling_4;AAgricultureForestryAndFishing_5;BFManufacturingAndEnergy_6;GITradeHotelsRestaurantsBars_7;HJTransportICT_8;KNFinancialAndBusinessServices_9;OPublicAdministrationAndServices_10;PEducation_11;QHealthAndSocialWorkActivities_12;RUCultureRecreationOtherServices_13
4458;Other private clients;Remaining production of buildings;2015 October;4132;1268;2864;532.0;157.0;242.0;382.0;372.0;375.0;0.0;250.0;373.0;181.0
4459;Other private clients;Remaining production of buildings;2015 November;4003;1196;2807;561.0;151.0;232.0;391.0;362.0;368.0;0.0;225.0;353.0;164.0
4460;Other private clients;Remaining production of buildings;2015 December;4108;1263;2844;597.0;148.0;234.0;388.0;357.0;352.0;0.0;216.0;396.0;157.0
4461;Other private clients;Remaining production of buildings;2015 4th quarter;4108;1263;2844;597.0;148.0;234.0;388.0;357.0;352.0;0.0;216.0;396.0;157.0
4462;Other private clients;Remaining production of buildings;2015;4108;1263;2844;597.0;148.0;234.0;388.0;357.0;352.0;0.0;216.0;396.0;157.0
4463;Other private clients;Remaining production of buildings;2016 January;4135;1286;2849;632.0;135.0;239.0;396.0;362.0;334.0;0.0;224.0;383.0;144.0
4464;Other private clients;Remaining production of buildings;2016 February;4153;1243;2910;690.0;122.0;236.0;436.0;353.0;323.0;0.0;236.0;382.0;131.0
4465;Other private clients;Remaining production of buildings;2016 March;4095;1241;2854;693.0;121.0;243.0;407.0;340.0;318.0;0.0;244.0;371.0;117.0
4466;Other private clients;Remaining production of buildings;2016 1st quarter;4095;1241;2854;693.0;121.0;243.0;407.0;340.0;318.0;0.0;244.0;371.0;117.0
4467;Other private clients;Remaining production of buildings;2016 April;4077;1223;2854;724.0;124.0;260.0;412.0;340.0;297.0;0.0;237.0;355.0;106.0
4468;Other private clients;Remaining production of buildings;2016 May;4200;1247;2953;765.0;140.0;256.0;439.0;370.0;292.0;0.0;237.0;348.0;105.0
4469;Other private clients;Remaining production of buildings;2016 June;4196;1244;2952;771.0;150.0;260.0;432.0;359.0;328.0;0.0;224.0;330.0;99.0
4470;Other private clients;Remaining production of buildings;2016 2nd quarter;4196;1244;2952;771.0;150.0;260.0;432.0;359.0;328.0;0.0;224.0;330.0;99.0
4471;Other private clients;Remaining production of buildings;2016 July;4297;1248;3049;790.0;151.0;256.0;446.0;360.0;324.0;0.0;216.0;416.0;90.0
4472;Other private clients;Remaining production of buildings;2016 August;4665;1324;3340;926.0;170.0;293.0;479.0;397.0;320.0;0.0;234.0;415.0;107.0
4473;Other private clients;Remaining production of buildings;2016 September;4491;1297;3194;895.0;162.0;276.0;448.0;387.0;298.0;0.0;216.0;402.0;110.0
4474;Other private clients;Remaining production of buildings;2016 3rd quarter;4491;1297;3194;895.0;162.0;276.0;448.0;387.0;298.0;0.0;216.0;402.0;110.0
4475;Other private clients;Remaining production of buildings;2016 October;4436;1289;3146;864.0;162.0;265.0;419.0;372.0;312.0;0.0;251.0;380.0;122.0
4476;Other private clients;Remaining production of buildings;2016 November;4465;1252;3213;888.0;151.0;294.0;396.0;476.0;288.0;0.0;240.0;365.0;115.0
4477;Other private clients;Remaining production of buildings;2016 December;4433;1265;3168;888.0;150.0;295.0;379.0;476.0;272.0;0.0;234.0;355.0;119.0
4478;Other private clients;Remaining production of buildings;2016 4th quarter;4433;1265;3168;888.0;150.0;295.0;379.0;476.0;272.0;0.0;234.0;355.0;119.0
4479;Other private clients;Remaining production of buildings;2016;4433;1265;3168;888.0;150.0;295.0;379.0;476.0;272.0;0.0;234.0;355.0;119.0
4480;Other private clients;Remaining production of buildings;2017 January;4642;1324;3318;931.0;167.0;355.0;399.0;500.0;272.0;0.0;221.0;353.0;121.0
4481;Other private clients;Remaining production of buildings;2017 February;4588;1291;3297;905.0;152.0;355.0;403.0;506.0;307.0;0.0;205.0;351.0;113.0
4482;Other private clients;Remaining production of buildings;2017 March;4361;1239;3122;862.0;165.0;334.0;375.0;478.0;286.0;0.0;196.0;325.0;101.0
4483;Other private clients;Remaining production of buildings;2017 1st quarter;4361;1239;3122;862.0;165.0;334.0;375.0;478.0;286.0;0.0;196.0;325.0;101.0
4484;Other private clients;Remaining production of buildings;2017 April;4422;1243;3179;874.0;174.0;380.0;371.0;495.0;279.0;0.0;183.0;311.0;111.0
4485;Other private clients;Remaining production of buildings;2017 May;4429;1182;3247;852.0;164.0;398.0;387.0;519.0;265.0;0.0;180.0;296.0;187.0
4486;Other private clients;Remaining production of buildings;2017 June;4329;1133;3196;831.0;156.0;416.0;384.0;494.0;260.0;0.0;196.0;282.0;175.0
4487;Other private clients;Remaining production of buildings;2017 2nd quarter;4329;1133;3196;831.0;156.0;416.0;384.0;494.0;260.0;0.0;196.0;282.0;175.0
4488;Other private clients;Remaining production of buildings;2017 July;4319;1103;3215;853.0;150.0;438.0;393.0;491.0;244.0;0.0;200.0;272.0;173.0
4489;Other private clients;Remaining production of buildings;2017 August;4668;1204;3464;943.0;164.0;466.0;397.0;486.0;236.0;0.0;303.0;271.0;197.0
4490;Other private clients;Remaining production of buildings;2017 September;4726;1186;3539;951.0;166.0;475.0;491.0;500.0;223.0;0.0;293.0;255.0;186.0
4491;Other private clients;Remaining production of buildings;2017 3rd quarter;4726;1186;3539;951.0;166.0;475.0;491.0;500.0;223.0;0.0;293.0;255.0;186.0
4492;Other private clients;Remaining production of buildings;2017 October;4545;1162;3383;919.0;157.0;435.0;456.0;472.0;238.0;0.0;278.0;250.0;178.0
4493;Other private clients;Remaining production of buildings;2017 November;4403;1123;3280;887.0;160.0;455.0;429.0;456.0;217.0;0.0;258.0;239.0;179.0
4494;Other private clients;Remaining production of buildings;2017 December;4538;1143;3395;969.0;154.0;505.0;430.0;454.0;205.0;0.0;246.0;249.0;183.0
4495;Other private clients;Remaining production of buildings;2017 4th quarter;4538;1143;3395;969.0;154.0;505.0;430.0;454.0;205.0;0.0;246.0;249.0;183.0
4496;Other private clients;Remaining production of buildings;2017;4538;1143;3395;969.0;154.0;505.0;430.0;454.0;205.0;0.0;246.0;249.0;183.0
4497;Other private clients;Remaining production of buildings;2018 January;4623;1160;3462;965.0;174.0;558.0;413.0;512.0;186.0;0.0;235.0;237.0;182.0
4498;Other private clients;Remaining production of buildings;2018 February;4690;1201;3490;957.0;171.0;566.0;410.0;497.0;172.0;0.0;226.0;315.0;177.0
4499;Other private clients;Remaining production of buildings;2018 March;4624;1161;3463;943.0;178.0;538.0;439.0;477.0;158.0;0.0;221.0;306.0;202.0
4500;Other private clients;Remaining production of buildings;2018 1st quarter;4624;1161;3463;943.0;178.0;538.0;439.0;477.0;158.0;0.0;221.0;306.0;202.0
4501;Other private clients;Remaining production of buildings;2018 April;4554;1120;3434;915.0;172.0;540.0;415.0;516.0;149.0;0.0;216.0;301.0;209.0
4502;Other private clients;Remaining production of buildings;2018 May;4560;1159;3401;924.0;176.0;558.0;381.0;507.0;160.0;0.0;204.0;285.0;205.0
4503;Other private clients;Remaining production of buildings;2018 June;4486;1105;3380;894.0;162.0;580.0;420.0;499.0;147.0;0.0;201.0;279.0;198.0
4504;Other private clients;Remaining production of buildings;2018 2nd quarter;4486;1105;3380;894.0;162.0;580.0;420.0;499.0;147.0;0.0;201.0;279.0;198.0
4505;Other private clients;Remaining production of buildings;2018 July;4449;1066;3383;896.0;163.0;571.0;456.0;486.0;142.0;0.0;186.0;285.0;199.0
4506;Other private clients;Remaining production of buildings;2018 August;4712;1186;3526;976.0;177.0;617.0;461.0;483.0;142.0;0.0;189.0;285.0;198.0
4507;Other private clients;Remaining production of buildings;2018 September;4806;1186;3619;980.0;165.0;642.0;468.0;516.0;151.0;0.0;180.0;300.0;216.0
4508;Other private clients;Remaining production of buildings;2018 3rd quarter;4806;1186;3619;980.0;165.0;642.0;468.0;516.0;151.0;0.0;180.0;300.0;216.0
4509;Other private clients;Remaining production of buildings;2018 October;4694;1167;3527;931.0;162.0;616.0;444.0;520.0;150.0;0.0;170.0;323.0;210.0
4510;Other private clients;Remaining production of buildings;2018 November;4746;1116;3629;917.0;152.0;623.0;443.0;544.0;142.0;0.0;277.0;328.0;205.0
4511;Other private clients;Remaining production of buildings;2018 December;4853;1143;3710;960.0;150.0;643.0;452.0;526.0;193.0;0.0;266.0;317.0;202.0
4512;Other private clients;Remaining production of buildings;2018 4th quarter;4853;1143;3710;960.0;150.0;643.0;452.0;526.0;193.0;0.0;266.0;317.0;202.0
4513;Other private clients;Remaining production of buildings;2018;4853;1143;3710;960.0;150.0;643.0;452.0;526.0;193.0;0.0;266.0;317.0;202.0
4514;Other private clients;Remaining production of buildings;2019 January;4959;1190;3769;950.0;148.0;679.0;459.0;537.0;180.0;0.0;266.0;351.0;198.0
4515;Other private clients;Remaining production of buildings;2019 February;4953;1255;3698;916.0;142.0;657.0;465.0;560.0;168.0;0.0;260.0;341.0;190.0
4516;Other private clients;Remaining production of buildings;2019 March;4839;1213;3626;893.0;136.0;659.0;476.0;543.0;153.0;0.0;248.0;339.0;179.0
4517;Other private clients;Remaining production of buildings;2019 1st quarter;4839;1213;3626;893.0;136.0;659.0;476.0;543.0;153.0;0.0;248.0;339.0;179.0
4518;Other private clients;Remaining production of buildings;2019 April;4766;1224;3542;862.0;128.0;664.0;463.0;538.0;152.0;0.0;236.0;330.0;170.0
4519;Other private clients;Remaining production of buildings;2019 May;4737;1220;3517;837.0;122.0;642.0;431.0;574.0;179.0;0.0;230.0;334.0;169.0
4520;Other private clients;Remaining production of buildings;2019 June;4754;1229;3525;830.0;116.0;632.0;453.0;617.0;174.0;0.0;224.0;327.0;154.0
4521;Other private clients;Remaining production of buildings;2019 2nd quarter;4754;1229;3525;830.0;116.0;632.0;453.0;617.0;174.0;0.0;224.0;327.0;154.0
4522;Other private clients;Remaining production of buildings;2019 July;4732;1205;3527;821.0;113.0;646.0;420.0;599.0;202.0;0.0;215.0;359.0;152.0
4523;Other private clients;Remaining production of buildings;2019 August;4980;1313;3667;917.0;124.0;659.0;431.0;592.0;206.0;0.0;228.0;360.0;151.0
4524;Other private clients;Remaining production of buildings;2019 September;5017;1302;3715;941.0;121.0;680.0;412.0;564.0;223.0;0.0;235.0;397.0;142.0
4525;Other private clients;Remaining production of buildings;2019 3rd quarter;5017;1302;3715;941.0;121.0;680.0;412.0;564.0;223.0;0.0;235.0;397.0;142.0
4526;Other private clients;Remaining production of buildings;2019 October;4883;1297;3586;869.0;107.0;678.0;410.0;524.0;206.0;0.0;259.0;402.0;130.0
4527;Other private clients;Remaining production of buildings;2019 November;4752;1256;3496;840.0;103.0;691.0;408.0;492.0;215.0;0.0;246.0;382.0;119.0
4528;Other private clients;Remaining production of buildings;2019 December;4930;1332;3598;869.0;105.0;691.0;444.0;529.0;224.0;0.0;247.0;380.0;110.0
4529;Other private clients;Remaining production of buildings;2019 4th quarter;4930;1332;3598;869.0;105.0;691.0;444.0;529.0;224.0;0.0;247.0;380.0;110.0
4530;Other private clients;Remaining production of buildings;2019;4930;1332;3598;869.0;105.0;691.0;444.0;529.0;224.0;0.0;247.0;380.0;110.0
4531;Other private clients;Remaining production of buildings;2020 January;4984;1295;3689;830.0;96.0;778.0;449.0;625.0;214.0;0.0;231.0;366.0;100.0
4532;Other private clients;Remaining production of buildings;2020 February;5011;1288;3723;839.0;95.0;773.0;495.0;617.0;217.0;0.0;224.0;361.0;102.0
4533;Other private clients;Remaining production of buildings;2020 March;4790;1246;3544;803.0;85.0;734.0;467.0;575.0;202.0;0.0;241.0;344.0;93.0
4534;Other private clients;Remaining production of buildings;2020 1st quarter;4790;1246;3544;803.0;85.0;734.0;467.0;575.0;202.0;0.0;241.0;344.0;93.0
4535;Other private clients;Remaining production of buildings;2020 April;4777;1260;3517;799.0;83.0;759.0;462.0;554.0;214.0;0.0;227.0;327.0;92.0
4536;Other private clients;Remaining production of buildings;2020 May;4791;1285;3506;822.0;84.0;743.0;459.0;552.0;218.0;0.0;231.0;314.0;83.0
4537;Other private clients;Remaining production of buildings;2020 June;4886;1376;3511;816.0;84.0;732.0;470.0;558.0;244.0;0.0;234.0;298.0;75.0
4538;Other private clients;Remaining production of buildings;2020 2nd quarter;4886;1376;3511;816.0;84.0;732.0;470.0;558.0;244.0;0.0;234.0;298.0;75.0
4539;Other private clients;Remaining production of buildings;2020 July;4924;1377;3547;799.0;82.0;724.0;453.0;626.0;236.0;0.0;246.0;313.0;69.0
4540;Other private clients;Remaining production of buildings;2020 August;5346;1507;3839;892.0;105.0;816.0;476.0;675.0;234.0;0.0;257.0;312.0;72.0
4541;Other private clients;Remaining production of buildings;2020 September;5123;1443;3680;872.0;113.0;778.0;434.0;673.0;219.0;0.0;236.0;290.0;65.0
4542;Other private clients;Remaining production of buildings;2020 3rd quarter;5123;1443;3680;872.0;113.0;778.0;434.0;673.0;219.0;0.0;236.0;290.0;65.0
4543;Other private clients;Remaining production of buildings;2020 October;5017;1383;3634;815.0;105.0;723.0;426.0;721.0;234.0;0.0;244.0;305.0;62.0
4544;Other private clients;Remaining production of buildings;2020 November;4934;1351;3583;799.0;100.0;679.0;402.0;741.0;250.0;0.0;254.0;305.0;53.0
4545;Other private clients;Remaining production of buildings;2020 December;5109;1419;3690;848.0;101.0;706.0;407.0;757.0;261.0;0.0;247.0;312.0;50.0
4546;Other private clients;Remaining production of buildings;2020 4th quarter;5109;1419;3690;848.0;101.0;706.0;407.0;757.0;261.0;0.0;247.0;312.0;50.0
4547;Other private clients;Remaining production of buildings;2020;5109;1419;3690;848.0;101.0;706.0;407.0;757.0;261.0;0.0;247.0;312.0;50.0
4548;Other private clients;Remaining production of buildings;2021 January;5202;1407;3795;856.0;177.0;729.0;407.0;774.0;251.0;0.0;250.0;305.0;45.0
4549;Other private clients;Remaining production of buildings;2021 February;5368;1505;3863;914.0;174.0;728.0;398.0;750.0;293.0;0.0;258.0;302.0;45.0
4550;Other private clients;Remaining production of buildings;2021 March;5246;1493;3754;876.0;162.0;714.0;359.0;779.0;272.0;0.0;249.0;300.0;43.0
4551;Other private clients;Remaining production of buildings;2021 1st quarter;5246;1493;3754;876.0;162.0;714.0;359.0;779.0;272.0;0.0;249.0;300.0;43.0
4552;Other private clients;Remaining production of buildings;2021 April;5280;1463;3817;928.0;173.0;692.0;406.0;770.0;268.0;0.0;234.0;299.0;48.0
4553;Other private clients;Remaining production of buildings;2021 May;5498;1490;4008;997.0;175.0;742.0;437.0;797.0;278.0;0.0;242.0;289.0;51.0
4554;Other private clients;Remaining production of buildings;2021 June;5486;1504;3982;945.0;167.0;758.0;406.0;779.0;259.0;0.0;264.0;342.0;63.0
4555;Other private clients;Remaining production of buildings;2021 2nd quarter;5486;1504;3982;945.0;167.0;758.0;406.0;779.0;259.0;0.0;264.0;342.0;63.0
4556;Other private clients;Remaining production of buildings;2021 July;5372;1462;3910;899.0;163.0;747.0;390.0;775.0;245.0;0.0;281.0;335.0;74.0
4557;Other private clients;Remaining production of buildings;2021 August;5765;1587;4177;996.0;174.0;805.0;413.0;806.0;240.0;0.0;292.0;369.0;82.0
4558;Other private clients;Remaining production of buildings;2021 September;5679;1561;4118;961.0;173.0;774.0;418.0;850.0;229.0;0.0;286.0;348.0;79.0
4559;Other private clients;Remaining production of buildings;2021 3rd quarter;5679;1561;4118;961.0;173.0;774.0;418.0;850.0;229.0;0.0;286.0;348.0;79.0
4560;Other private clients;Remaining production of buildings;2021 October;5582;1544;4038;899.0;170.0;801.0;411.0;826.0;215.0;0.0;262.0;354.0;100.0
4561;Other private clients;Remaining production of buildings;2021 November;5428;1484;3944;887.0;164.0;764.0;430.0;793.0;216.0;0.0;267.0;333.0;91.0
4562;Other private clients;Remaining production of buildings;2021 December;5462;1490;3971;882.0;171.0;795.0;437.0;773.0;206.0;0.0;259.0;348.0;101.0
4563;Other private clients;Remaining production of buildings;2021 4th quarter;5462;1490;3971;882.0;171.0;795.0;437.0;773.0;206.0;0.0;259.0;348.0;101.0
4564;Other private clients;Remaining production of buildings;2021;5462;1490;3971;882.0;171.0;795.0;437.0;773.0;206.0;0.0;259.0;348.0;101.0
4565;Other private clients;Remaining production of buildings;2022 January;5534;1508;4025;902.0;169.0;842.0;437.0;779.0;199.0;0.0;254.0;348.0;95.0
4566;Other private clients;Remaining production of buildings;2022 February;5612;1509;4103;914.0;169.0;863.0;468.0;759.0;191.0;0.0;269.0;381.0;89.0
4567;Other private clients;Remaining production of buildings;2022 March;5510;1508;4003;847.0;163.0;937.0;434.0;742.0;172.0;0.0;260.0;365.0;83.0
4568;Other private clients;Remaining production of buildings;2022 1st quarter;5510;1508;4003;847.0;163.0;937.0;434.0;742.0;172.0;0.0;260.0;365.0;83.0
4569;Other private clients;Remaining production of buildings;2022 April;5390;1512;3878;854.0;162.0;894.0;418.0;699.0;168.0;0.0;249.0;354.0;81.0
4570;Other private clients;Remaining production of buildings;2022 May;5369;1508;3860;851.0;151.0;902.0;404.0;681.0;175.0;0.0;262.0;356.0;78.0
4571;Other private clients;Remaining production of buildings;2022 June;5230;1516;3714;827.0;138.0;859.0;375.0;640.0;164.0;0.0;262.0;357.0;92.0
4572;Other private clients;Remaining production of buildings;2022 2nd quarter;5230;1516;3714;827.0;138.0;859.0;375.0;640.0;164.0;0.0;262.0;357.0;92.0
4573;Other private clients;Remaining production of buildings;2022 July;5362;1601;3761;833.0;143.0;912.0;358.0;642.0;175.0;0.0;253.0;351.0;95.0
4574;Other private clients;Remaining production of buildings;2022 August;5920;1772;4149;945.0;145.0;1087.0;380.0;630.0;187.0;0.0;319.0;364.0;92.0
4575;Other private clients;Remaining production of buildings;2022 September;5943;1850;4093;919.0;146.0;1004.0;351.0;700.0;214.0;0.0;314.0;356.0;88.0
4576;Other private clients;Remaining production of buildings;2022 3rd quarter;5943;1850;4093;919.0;146.0;1004.0;351.0;700.0;214.0;0.0;314.0;356.0;88.0
4577;Other private clients;Remaining production of buildings;2022 October;5828;1941;3887;855.0;130.0;906.0;327.0;696.0;225.0;0.0;311.0;351.0;86.0
