ID;TypeOfBankruptcy;Periods;PronouncedBankruptcies_1
2349;Companies and institutions;1986 July;138
2350;Companies and institutions;1986 August;147
2351;Companies and institutions;1986 September;183
2352;Companies and institutions;1986 3rd quarter;468
2353;Companies and institutions;1986 October;157
2354;Companies and institutions;1986 November;192
2355;Companies and institutions;1986 December;153
2356;Companies and institutions;1986 4th quarter;502
2357;Companies and institutions;1986;1918
2358;Companies and institutions;1987 January;124
2359;Companies and institutions;1987 February;156
2360;Companies and institutions;1987 March;149
2361;Companies and institutions;1987 1st quarter;429
2362;Companies and institutions;1987 April;152
2363;Companies and institutions;1987 May;122
2364;Companies and institutions;1987 June;114
2365;Companies and institutions;1987 2nd quarter;388
2366;Companies and institutions;1987 July;162
2367;Companies and institutions;1987 August;115
2368;Companies and institutions;1987 September;165
2369;Companies and institutions;1987 3rd quarter;442
2370;Companies and institutions;1987 October;121
2371;Companies and institutions;1987 November;109
2372;Companies and institutions;1987 December;151
2373;Companies and institutions;1987 4th quarter;381
2374;Companies and institutions;1987;1640
2375;Companies and institutions;1988 January;109
2376;Companies and institutions;1988 February;153
2377;Companies and institutions;1988 March;173
2378;Companies and institutions;1988 1st quarter;435
2379;Companies and institutions;1988 April;121
2380;Companies and institutions;1988 May;166
2381;Companies and institutions;1988 June;169
2382;Companies and institutions;1988 2nd quarter;456
2383;Companies and institutions;1988 July;129
2384;Companies and institutions;1988 August;131
2385;Companies and institutions;1988 September;115
2386;Companies and institutions;1988 3rd quarter;375
2387;Companies and institutions;1988 October;137
2388;Companies and institutions;1988 November;155
2389;Companies and institutions;1988 December;117
2390;Companies and institutions;1988 4th quarter;409
2391;Companies and institutions;1988;1675
2392;Companies and institutions;1989 January;154
2393;Companies and institutions;1989 February;115
2394;Companies and institutions;1989 March;159
2395;Companies and institutions;1989 1st quarter;428
2396;Companies and institutions;1989 April;125
2397;Companies and institutions;1989 May;115
2398;Companies and institutions;1989 June;139
2399;Companies and institutions;1989 2nd quarter;379
2400;Companies and institutions;1989 July;115
2401;Companies and institutions;1989 August;127
2402;Companies and institutions;1989 September;133
2403;Companies and institutions;1989 3rd quarter;375
2404;Companies and institutions;1989 October;122
2405;Companies and institutions;1989 November;147
2406;Companies and institutions;1989 December;110
2407;Companies and institutions;1989 4th quarter;379
2408;Companies and institutions;1989;1561
2409;Companies and institutions;1990 January;146
2410;Companies and institutions;1990 February;102
2411;Companies and institutions;1990 March;129
2412;Companies and institutions;1990 1st quarter;377
2413;Companies and institutions;1990 April;124
2414;Companies and institutions;1990 May;151
2415;Companies and institutions;1990 June;129
2416;Companies and institutions;1990 2nd quarter;404
2417;Companies and institutions;1990 July;119
2418;Companies and institutions;1990 August;111
2419;Companies and institutions;1990 September;148
2420;Companies and institutions;1990 3rd quarter;378
2421;Companies and institutions;1990 October;140
2422;Companies and institutions;1990 November;138
2423;Companies and institutions;1990 December;90
2424;Companies and institutions;1990 4th quarter;368
2425;Companies and institutions;1990;1527
2426;Companies and institutions;1991 January;131
2427;Companies and institutions;1991 February;144
2428;Companies and institutions;1991 March;153
2429;Companies and institutions;1991 1st quarter;428
2430;Companies and institutions;1991 April;139
2431;Companies and institutions;1991 May;161
2432;Companies and institutions;1991 June;156
2433;Companies and institutions;1991 2nd quarter;456
2434;Companies and institutions;1991 July;164
2435;Companies and institutions;1991 August;146
2436;Companies and institutions;1991 September;148
2437;Companies and institutions;1991 3rd quarter;458
2438;Companies and institutions;1991 October;207
2439;Companies and institutions;1991 November;205
2440;Companies and institutions;1991 December;199
2441;Companies and institutions;1991 4th quarter;611
2442;Companies and institutions;1991;1953
2443;Companies and institutions;1992 January;177
2444;Companies and institutions;1992 February;154
2445;Companies and institutions;1992 March;202
2446;Companies and institutions;1992 1st quarter;533
2447;Companies and institutions;1992 April;209
2448;Companies and institutions;1992 May;183
2449;Companies and institutions;1992 June;185
2450;Companies and institutions;1992 2nd quarter;577
2451;Companies and institutions;1992 July;194
2452;Companies and institutions;1992 August;151
2453;Companies and institutions;1992 September;266
2454;Companies and institutions;1992 3rd quarter;611
2455;Companies and institutions;1992 October;272
2456;Companies and institutions;1992 November;242
2457;Companies and institutions;1992 December;266
2458;Companies and institutions;1992 4th quarter;780
2459;Companies and institutions;1992;2501
2460;Companies and institutions;1993 January;221
2461;Companies and institutions;1993 February;233
2462;Companies and institutions;1993 March;354
2463;Companies and institutions;1993 1st quarter;808
2464;Companies and institutions;1993 April;258
2465;Companies and institutions;1993 May;283
2466;Companies and institutions;1993 June;302
2467;Companies and institutions;1993 2nd quarter;843
2468;Companies and institutions;1993 July;316
2469;Companies and institutions;1993 August;271
2470;Companies and institutions;1993 September;322
2471;Companies and institutions;1993 3rd quarter;909
2472;Companies and institutions;1993 October;236
2473;Companies and institutions;1993 November;282
2474;Companies and institutions;1993 December;286
2475;Companies and institutions;1993 4th quarter;804
2476;Companies and institutions;1993;3364
2477;Companies and institutions;1994 January;263
2478;Companies and institutions;1994 February;262
2479;Companies and institutions;1994 March;324
2480;Companies and institutions;1994 1st quarter;849
2481;Companies and institutions;1994 April;239
2482;Companies and institutions;1994 May;214
2483;Companies and institutions;1994 June;341
2484;Companies and institutions;1994 2nd quarter;794
2485;Companies and institutions;1994 July;233
2486;Companies and institutions;1994 August;287
2487;Companies and institutions;1994 September;259
2488;Companies and institutions;1994 3rd quarter;779
2489;Companies and institutions;1994 October;233
2490;Companies and institutions;1994 November;298
2491;Companies and institutions;1994 December;207
2492;Companies and institutions;1994 4th quarter;738
2493;Companies and institutions;1994;3160
2494;Companies and institutions;1995 January;224
2495;Companies and institutions;1995 February;204
2496;Companies and institutions;1995 March;246
2497;Companies and institutions;1995 1st quarter;674
2498;Companies and institutions;1995 April;213
2499;Companies and institutions;1995 May;226
2500;Companies and institutions;1995 June;236
2501;Companies and institutions;1995 2nd quarter;675
2502;Companies and institutions;1995 July;240
2503;Companies and institutions;1995 August;237
2504;Companies and institutions;1995 September;262
2505;Companies and institutions;1995 3rd quarter;739
2506;Companies and institutions;1995 October;258
2507;Companies and institutions;1995 November;239
2508;Companies and institutions;1995 December;187
2509;Companies and institutions;1995 4th quarter;684
2510;Companies and institutions;1995;2772
2511;Companies and institutions;1996 January;217
2512;Companies and institutions;1996 February;204
2513;Companies and institutions;1996 March;228
2514;Companies and institutions;1996 1st quarter;649
2515;Companies and institutions;1996 April;207
2516;Companies and institutions;1996 May;228
2517;Companies and institutions;1996 June;222
2518;Companies and institutions;1996 2nd quarter;657
2519;Companies and institutions;1996 July;216
2520;Companies and institutions;1996 August;206
2521;Companies and institutions;1996 September;227
2522;Companies and institutions;1996 3rd quarter;649
2523;Companies and institutions;1996 October;277
2524;Companies and institutions;1996 November;187
2525;Companies and institutions;1996 December;216
2526;Companies and institutions;1996 4th quarter;680
2527;Companies and institutions;1996;2635
2528;Companies and institutions;1997 January;250
2529;Companies and institutions;1997 February;225
2530;Companies and institutions;1997 March;207
2531;Companies and institutions;1997 1st quarter;682
2532;Companies and institutions;1997 April;223
2533;Companies and institutions;1997 May;232
2534;Companies and institutions;1997 June;216
2535;Companies and institutions;1997 2nd quarter;671
2536;Companies and institutions;1997 July;251
2537;Companies and institutions;1997 August;177
2538;Companies and institutions;1997 September;212
2539;Companies and institutions;1997 3rd quarter;640
2540;Companies and institutions;1997 October;250
2541;Companies and institutions;1997 November;240
2542;Companies and institutions;1997 December;198
2543;Companies and institutions;1997 4th quarter;688
2544;Companies and institutions;1997;2681
2545;Companies and institutions;1998 January;189
2546;Companies and institutions;1998 February;201
2547;Companies and institutions;1998 March;253
2548;Companies and institutions;1998 1st quarter;643
2549;Companies and institutions;1998 April;248
2550;Companies and institutions;1998 May;164
2551;Companies and institutions;1998 June;205
2552;Companies and institutions;1998 2nd quarter;617
2553;Companies and institutions;1998 July;211
2554;Companies and institutions;1998 August;152
2555;Companies and institutions;1998 September;261
2556;Companies and institutions;1998 3rd quarter;624
2557;Companies and institutions;1998 October;183
2558;Companies and institutions;1998 November;192
2559;Companies and institutions;1998 December;211
2560;Companies and institutions;1998 4th quarter;586
2561;Companies and institutions;1998;2470
2562;Companies and institutions;1999 January;153
2563;Companies and institutions;1999 February;203
2564;Companies and institutions;1999 March;245
2565;Companies and institutions;1999 1st quarter;601
2566;Companies and institutions;1999 April;206
2567;Companies and institutions;1999 May;175
2568;Companies and institutions;1999 June;230
2569;Companies and institutions;1999 2nd quarter;611
2570;Companies and institutions;1999 July;166
2571;Companies and institutions;1999 August;157
2572;Companies and institutions;1999 September;199
2573;Companies and institutions;1999 3rd quarter;522
2574;Companies and institutions;1999 October;175
2575;Companies and institutions;1999 November;204
2576;Companies and institutions;1999 December;200
2577;Companies and institutions;1999 4th quarter;579
2578;Companies and institutions;1999;2313
2579;Companies and institutions;2000 January;172
2580;Companies and institutions;2000 February;207
2581;Companies and institutions;2000 March;207
2582;Companies and institutions;2000 1st quarter;586
2583;Companies and institutions;2000 April;170
2584;Companies and institutions;2000 May;229
2585;Companies and institutions;2000 June;205
2586;Companies and institutions;2000 2nd quarter;604
2587;Companies and institutions;2000 July;213
2588;Companies and institutions;2000 August;248
2589;Companies and institutions;2000 September;200
2590;Companies and institutions;2000 3rd quarter;661
2591;Companies and institutions;2000 October;268
2592;Companies and institutions;2000 November;301
2593;Companies and institutions;2000 December;201
2594;Companies and institutions;2000 4th quarter;770
2595;Companies and institutions;2000;2621
2596;Companies and institutions;2001 January;251
2597;Companies and institutions;2001 February;261
2598;Companies and institutions;2001 March;239
2599;Companies and institutions;2001 1st quarter;751
2600;Companies and institutions;2001 April;234
2601;Companies and institutions;2001 May;328
2602;Companies and institutions;2001 June;239
2603;Companies and institutions;2001 2nd quarter;801
2604;Companies and institutions;2001 July;304
2605;Companies and institutions;2001 August;296
2606;Companies and institutions;2001 September;265
2607;Companies and institutions;2001 3rd quarter;865
2608;Companies and institutions;2001 October;333
2609;Companies and institutions;2001 November;314
2610;Companies and institutions;2001 December;269
2611;Companies and institutions;2001 4th quarter;916
2612;Companies and institutions;2001;3333
2613;Companies and institutions;2002 January;348
2614;Companies and institutions;2002 February;296
2615;Companies and institutions;2002 March;307
2616;Companies and institutions;2002 1st quarter;951
2617;Companies and institutions;2002 April;283
2618;Companies and institutions;2002 May;328
2619;Companies and institutions;2002 June;329
2620;Companies and institutions;2002 2nd quarter;940
2621;Companies and institutions;2002 July;454
2622;Companies and institutions;2002 August;284
2623;Companies and institutions;2002 September;340
2624;Companies and institutions;2002 3rd quarter;1078
2625;Companies and institutions;2002 October;439
2626;Companies and institutions;2002 November;340
2627;Companies and institutions;2002 December;337
2628;Companies and institutions;2002 4th quarter;1116
2629;Companies and institutions;2002;4085
2630;Companies and institutions;2003 January;379
2631;Companies and institutions;2003 February;399
2632;Companies and institutions;2003 March;367
2633;Companies and institutions;2003 1st quarter;1145
2634;Companies and institutions;2003 April;493
2635;Companies and institutions;2003 May;482
2636;Companies and institutions;2003 June;455
2637;Companies and institutions;2003 2nd quarter;1430
2638;Companies and institutions;2003 July;467
2639;Companies and institutions;2003 August;335
2640;Companies and institutions;2003 September;512
2641;Companies and institutions;2003 3rd quarter;1314
2642;Companies and institutions;2003 October;496
2643;Companies and institutions;2003 November;413
2644;Companies and institutions;2003 December;437
2645;Companies and institutions;2003 4th quarter;1346
2646;Companies and institutions;2003;5235
2647;Companies and institutions;2004 January;422
2648;Companies and institutions;2004 February;437
2649;Companies and institutions;2004 March;559
2650;Companies and institutions;2004 1st quarter;1418
2651;Companies and institutions;2004 April;361
2652;Companies and institutions;2004 May;393
2653;Companies and institutions;2004 June;506
2654;Companies and institutions;2004 2nd quarter;1260
2655;Companies and institutions;2004 July;414
2656;Companies and institutions;2004 August;451
2657;Companies and institutions;2004 September;448
2658;Companies and institutions;2004 3rd quarter;1313
2659;Companies and institutions;2004 October;386
2660;Companies and institutions;2004 November;458
2661;Companies and institutions;2004 December;432
2662;Companies and institutions;2004 4th quarter;1276
2663;Companies and institutions;2004;5267
2664;Companies and institutions;2005 January;410
2665;Companies and institutions;2005 February;460
2666;Companies and institutions;2005 March;505
2667;Companies and institutions;2005 1st quarter;1375
2668;Companies and institutions;2005 April;418
2669;Companies and institutions;2005 May;394
2670;Companies and institutions;2005 June;435
2671;Companies and institutions;2005 2nd quarter;1247
2672;Companies and institutions;2005 July;388
2673;Companies and institutions;2005 August;399
2674;Companies and institutions;2005 September;447
2675;Companies and institutions;2005 3rd quarter;1234
2676;Companies and institutions;2005 October;382
2677;Companies and institutions;2005 November;483
2678;Companies and institutions;2005 December;362
2679;Companies and institutions;2005 4th quarter;1227
2680;Companies and institutions;2005;5083
2681;Companies and institutions;2006 January;424
2682;Companies and institutions;2006 February;395
2683;Companies and institutions;2006 March;402
2684;Companies and institutions;2006 1st quarter;1221
2685;Companies and institutions;2006 April;365
2686;Companies and institutions;2006 May;387
2687;Companies and institutions;2006 June;346
2688;Companies and institutions;2006 2nd quarter;1098
2689;Companies and institutions;2006 July;325
2690;Companies and institutions;2006 August;348
2691;Companies and institutions;2006 September;309
2692;Companies and institutions;2006 3rd quarter;982
2693;Companies and institutions;2006 October;323
2694;Companies and institutions;2006 November;322
2695;Companies and institutions;2006 December;282
2696;Companies and institutions;2006 4th quarter;927
2697;Companies and institutions;2006;4228
2698;Companies and institutions;2007 January;383
2699;Companies and institutions;2007 February;268
2700;Companies and institutions;2007 March;273
2701;Companies and institutions;2007 1st quarter;924
2702;Companies and institutions;2007 April;288
2703;Companies and institutions;2007 May;326
2704;Companies and institutions;2007 June;252
2705;Companies and institutions;2007 2nd quarter;866
2706;Companies and institutions;2007 July;308
2707;Companies and institutions;2007 August;308
2708;Companies and institutions;2007 September;319
2709;Companies and institutions;2007 3rd quarter;935
2710;Companies and institutions;2007 October;336
2711;Companies and institutions;2007 November;298
2712;Companies and institutions;2007 December;230
2713;Companies and institutions;2007 4th quarter;864
2714;Companies and institutions;2007;3589
2715;Companies and institutions;2008 January;291
2716;Companies and institutions;2008 February;295
2717;Companies and institutions;2008 March;259
2718;Companies and institutions;2008 1st quarter;845
2719;Companies and institutions;2008 April;319
2720;Companies and institutions;2008 May;228
2721;Companies and institutions;2008 June;320
2722;Companies and institutions;2008 2nd quarter;867
2723;Companies and institutions;2008 July;312
2724;Companies and institutions;2008 August;289
2725;Companies and institutions;2008 September;341
2726;Companies and institutions;2008 3rd quarter;942
2727;Companies and institutions;2008 October;341
2728;Companies and institutions;2008 November;427
2729;Companies and institutions;2008 December;420
2730;Companies and institutions;2008 4th quarter;1188
2731;Companies and institutions;2008;3842
2732;Companies and institutions;2009 January;464
2733;Companies and institutions;2009 February;538
2734;Companies and institutions;2009 March;678
2735;Companies and institutions;2009 1st quarter;1680
2736;Companies and institutions;2009 April;632
2737;Companies and institutions;2009 May;496
2738;Companies and institutions;2009 June;698
2739;Companies and institutions;2009 2nd quarter;1826
2740;Companies and institutions;2009 July;639
2741;Companies and institutions;2009 August;514
2742;Companies and institutions;2009 September;622
2743;Companies and institutions;2009 3rd quarter;1775
2744;Companies and institutions;2009 October;526
2745;Companies and institutions;2009 November;588
2746;Companies and institutions;2009 December;547
2747;Companies and institutions;2009 4th quarter;1661
2748;Companies and institutions;2009;6942
2749;Companies and institutions;2010 January;480
2750;Companies and institutions;2010 February;548
2751;Companies and institutions;2010 March;634
2752;Companies and institutions;2010 1st quarter;1662
2753;Companies and institutions;2010 April;489
2754;Companies and institutions;2010 May;399
2755;Companies and institutions;2010 June;658
2756;Companies and institutions;2010 2nd quarter;1546
2757;Companies and institutions;2010 July;497
2758;Companies and institutions;2010 August;495
2759;Companies and institutions;2010 September;445
2760;Companies and institutions;2010 3rd quarter;1437
2761;Companies and institutions;2010 October;525
2762;Companies and institutions;2010 November;565
2763;Companies and institutions;2010 December;427
2764;Companies and institutions;2010 4th quarter;1517
2765;Companies and institutions;2010;6162
2766;Companies and institutions;2011 January;477
2767;Companies and institutions;2011 February;511
2768;Companies and institutions;2011 March;538
2769;Companies and institutions;2011 1st quarter;1526
2770;Companies and institutions;2011 April;444
2771;Companies and institutions;2011 May;559
2772;Companies and institutions;2011 June;433
2773;Companies and institutions;2011 2nd quarter;1436
2774;Companies and institutions;2011 July;459
2775;Companies and institutions;2011 August;492
2776;Companies and institutions;2011 September;526
2777;Companies and institutions;2011 3rd quarter;1477
2778;Companies and institutions;2011 October;523
2779;Companies and institutions;2011 November;636
2780;Companies and institutions;2011 December;519
2781;Companies and institutions;2011 4th quarter;1678
2782;Companies and institutions;2011;6117
2783;Companies and institutions;2012 January;671
2784;Companies and institutions;2012 February;599
2785;Companies and institutions;2012 March;579
2786;Companies and institutions;2012 1st quarter;1849
2787;Companies and institutions;2012 April;593
2788;Companies and institutions;2012 May;684
2789;Companies and institutions;2012 June;599
2790;Companies and institutions;2012 2nd quarter;1876
2791;Companies and institutions;2012 July;721
2792;Companies and institutions;2012 August;516
2793;Companies and institutions;2012 September;556
2794;Companies and institutions;2012 3rd quarter;1793
2795;Companies and institutions;2012 October;700
2796;Companies and institutions;2012 November;579
2797;Companies and institutions;2012 December;552
2798;Companies and institutions;2012 4th quarter;1831
2799;Companies and institutions;2012;7349
2800;Companies and institutions;2013 January;734
2801;Companies and institutions;2013 February;760
2802;Companies and institutions;2013 March;714
2803;Companies and institutions;2013 1st quarter;2208
2804;Companies and institutions;2013 April;698
2805;Companies and institutions;2013 May;800
2806;Companies and institutions;2013 June;712
2807;Companies and institutions;2013 2nd quarter;2210
2808;Companies and institutions;2013 July;782
2809;Companies and institutions;2013 August;610
2810;Companies and institutions;2013 September;596
2811;Companies and institutions;2013 3rd quarter;1988
2812;Companies and institutions;2013 October;748
2813;Companies and institutions;2013 November;581
2814;Companies and institutions;2013 December;641
2815;Companies and institutions;2013 4th quarter;1970
2816;Companies and institutions;2013;8376
2817;Companies and institutions;2014 January;598
2818;Companies and institutions;2014 February;609
2819;Companies and institutions;2014 March;526
2820;Companies and institutions;2014 1st quarter;1733
2821;Companies and institutions;2014 April;716
2822;Companies and institutions;2014 May;552
2823;Companies and institutions;2014 June;464
2824;Companies and institutions;2014 2nd quarter;1732
2825;Companies and institutions;2014 July;631
2826;Companies and institutions;2014 August;465
2827;Companies and institutions;2014 September;539
2828;Companies and institutions;2014 3rd quarter;1635
2829;Companies and institutions;2014 October;537
2830;Companies and institutions;2014 November;488
2831;Companies and institutions;2014 December;520
2832;Companies and institutions;2014 4th quarter;1545
2833;Companies and institutions;2014;6645
2834;Companies and institutions;2015 January;477
2835;Companies and institutions;2015 February;480
2836;Companies and institutions;2015 March;645
2837;Companies and institutions;2015 1st quarter;1602
2838;Companies and institutions;2015 April;455
2839;Companies and institutions;2015 May;379
2840;Companies and institutions;2015 June;477
2841;Companies and institutions;2015 2nd quarter;1311
2842;Companies and institutions;2015 July;424
2843;Companies and institutions;2015 August;316
2844;Companies and institutions;2015 September;381
2845;Companies and institutions;2015 3rd quarter;1121
2846;Companies and institutions;2015 October;376
2847;Companies and institutions;2015 November;389
2848;Companies and institutions;2015 December;472
2849;Companies and institutions;2015 4th quarter;1237
2850;Companies and institutions;2015;5271
2851;Companies and institutions;2016 January;376
2852;Companies and institutions;2016 February;453
2853;Companies and institutions;2016 March;444
2854;Companies and institutions;2016 1st quarter;1273
2855;Companies and institutions;2016 April;362
2856;Companies and institutions;2016 May;383
2857;Companies and institutions;2016 June;365
2858;Companies and institutions;2016 2nd quarter;1110
2859;Companies and institutions;2016 July;349
2860;Companies and institutions;2016 August;321
2861;Companies and institutions;2016 September;280
2862;Companies and institutions;2016 3rd quarter;950
2863;Companies and institutions;2016 October;284
2864;Companies and institutions;2016 November;470
2865;Companies and institutions;2016 December;312
2866;Companies and institutions;2016 4th quarter;1066
2867;Companies and institutions;2016;4399
2868;Companies and institutions;2017 January;380
2869;Companies and institutions;2017 February;276
2870;Companies and institutions;2017 March;294
2871;Companies and institutions;2017 1st quarter;950
2872;Companies and institutions;2017 April;248
2873;Companies and institutions;2017 May;319
2874;Companies and institutions;2017 June;283
2875;Companies and institutions;2017 2nd quarter;850
2876;Companies and institutions;2017 July;251
2877;Companies and institutions;2017 August;263
2878;Companies and institutions;2017 September;224
2879;Companies and institutions;2017 3rd quarter;738
2880;Companies and institutions;2017 October;293
2881;Companies and institutions;2017 November;242
2882;Companies and institutions;2017 December;218
2883;Companies and institutions;2017 4th quarter;753
2884;Companies and institutions;2017;3291
2885;Companies and institutions;2018 January;313
2886;Companies and institutions;2018 February;221
2887;Companies and institutions;2018 March;252
2888;Companies and institutions;2018 1st quarter;786
2889;Companies and institutions;2018 April;252
2890;Companies and institutions;2018 May;299
2891;Companies and institutions;2018 June;235
2892;Companies and institutions;2018 2nd quarter;786
2893;Companies and institutions;2018 July;287
2894;Companies and institutions;2018 August;247
2895;Companies and institutions;2018 September;213
2896;Companies and institutions;2018 3rd quarter;747
2897;Companies and institutions;2018 October;306
2898;Companies and institutions;2018 November;263
2899;Companies and institutions;2018 December;257
2900;Companies and institutions;2018 4th quarter;826
2901;Companies and institutions;2018;3145
2902;Companies and institutions;2019 January;271
2903;Companies and institutions;2019 February;237
2904;Companies and institutions;2019 March;259
2905;Companies and institutions;2019 1st quarter;767
2906;Companies and institutions;2019 April;316
2907;Companies and institutions;2019 May;249
2908;Companies and institutions;2019 June;253
2909;Companies and institutions;2019 2nd quarter;818
2910;Companies and institutions;2019 July;312
2911;Companies and institutions;2019 August;244
2912;Companies and institutions;2019 September;240
2913;Companies and institutions;2019 3rd quarter;796
2914;Companies and institutions;2019 October;289
2915;Companies and institutions;2019 November;270
2916;Companies and institutions;2019 December;269
2917;Companies and institutions;2019 4th quarter;828
2918;Companies and institutions;2019;3209
2919;Companies and institutions;2020 January;254
2920;Companies and institutions;2020 February;257
2921;Companies and institutions;2020 March;290
2922;Companies and institutions;2020 1st quarter;801
2923;Companies and institutions;2020 April;321
2924;Companies and institutions;2020 May;262
2925;Companies and institutions;2020 June;264
2926;Companies and institutions;2020 2nd quarter;847
2927;Companies and institutions;2020 July;194
2928;Companies and institutions;2020 August;166
2929;Companies and institutions;2020 September;212
2930;Companies and institutions;2020 3rd quarter;572
2931;Companies and institutions;2020 October;162
2932;Companies and institutions;2020 November;168
2933;Companies and institutions;2020 December;153
2934;Companies and institutions;2020 4th quarter;483
2935;Companies and institutions;2020;2703
2936;Companies and institutions;2021 January;135
2937;Companies and institutions;2021 February;107
2938;Companies and institutions;2021 March;165
2939;Companies and institutions;2021 1st quarter;407
2940;Companies and institutions;2021 April;119
2941;Companies and institutions;2021 May;124
2942;Companies and institutions;2021 June;138
2943;Companies and institutions;2021 2nd quarter;381
2944;Companies and institutions;2021 July;103
2945;Companies and institutions;2021 August;110
2946;Companies and institutions;2021 September;113
2947;Companies and institutions;2021 3rd quarter;326
2948;Companies and institutions;2021 October;104
2949;Companies and institutions;2021 November;185
2950;Companies and institutions;2021 December;134
2951;Companies and institutions;2021 4th quarter;423
2952;Companies and institutions;2021;1537
2953;Companies and institutions;2022 January;112
2954;Companies and institutions;2022 February;149
2955;Companies and institutions;2022 March;168
2956;Companies and institutions;2022 1st quarter;429
2957;Companies and institutions;2022 April;87
2958;Companies and institutions;2022 May;177
2959;Companies and institutions;2022 June;129
2960;Companies and institutions;2022 2nd quarter;393
2961;Companies and institutions;2022 July;119
2962;Companies and institutions;2022 August;149
2963;Companies and institutions;2022 September;143
2964;Companies and institutions;2022 3rd quarter;411
2965;Companies and institutions;2022 October;182
2966;Companies and institutions;2022 November;224
2967;Companies and institutions;2022 December;215
2968;Companies and institutions;2022 4th quarter;621
2969;Companies and institutions;2022;1854
2970;Companies and institutions;2023 January;225
2971;Companies and institutions;2023 February;228
2972;Companies and institutions;2023 March;180
2973;Companies and institutions;2023 1st quarter;633
2974;Companies and institutions;2023 April;191
2975;Companies and institutions;2023 May;260
2976;Companies and institutions;2023 June;261
2977;Companies and institutions;2023 2nd quarter;712
2978;Companies and institutions;2023 July;207
2979;Companies and institutions;2023 August;267
2980;Companies and institutions;2023 September;244
2981;Companies and institutions;2023 3rd quarter;718
2982;Companies and institutions;2023 October;282
2983;Companies and institutions;2023 November;261
2984;Companies and institutions;2023 December;265
2985;Companies and institutions;2023 4th quarter;808
2986;Companies and institutions;2023;2871
2987;Companies and institutions;2024 January;363
2988;Companies and institutions;2024 February;291
2989;Companies and institutions;2024 March;272
2990;Companies and institutions;2024 1st quarter;926
2991;Companies and institutions;2024 April;353
2992;Companies and institutions;2024 May;288
2993;Companies and institutions;2024 June;315
2994;Companies and institutions;2024 2nd quarter;956
2995;Companies and institutions;2024 July;403
2996;Companies and institutions;2024 August;269
2997;Companies and institutions;2024 September;296
2998;Companies and institutions;2024 3rd quarter;968
2999;Companies and institutions;2024 October;329
3000;Companies and institutions;2024 November;286
3001;Companies and institutions;2024 December;317
3002;Companies and institutions;2024 4th quarter;932
3003;Companies and institutions;2024;3782
3004;Companies and institutions;2025 January;255
3005;Companies and institutions;2025 February;315
3006;Companies and institutions;2025 March;219
3007;Companies and institutions;2025 1st quarter;789
