ID;RegioS;Perioden;TotaalJeugdreclasseringstrajecten_1;TotaalBegonnenTrajecten_2;TotaalBeeindigdeTrajecten_3;k_0Tot3Maanden_4;k_3Tot6Maanden_5;k_6Tot12Maanden_6;k_1Tot2Jaar_7;k_2JaarOfLanger_8;BeeindigingVolgensPlan_9;TussentijdseOpheffing_10;OvergangNaarVolwassenReclassering_11;Terugmelding_12;NaderBesluitRechter_13;OverlijdenJeugdige_14;TotaalToezEnBegelGedwongenKader_15;TotaalBegonnenTrajecten_16;TotaalBeeindigdeTrajecten_17;k_0Tot3Maanden_18;k_3Tot6Maanden_19;k_6Tot12Maanden_20;k_1Tot2Jaar_21;k_2JaarOfLanger_22;BeeindigingVolgensPlan_23;TussentijdseOpheffing_24;OvergangNaarVolwassenReclassering_25;Terugmelding_26;NaderBesluitRechter_27;OverlijdenJeugdige_28;TotaalToezEnBegeleidingVrijwillig_29;TotaalBegonnenTrajecten_30;TotaalBeeindigdeTrajecten_31;k_0Tot3Maanden_32;k_3Tot6Maanden_33;k_6Tot12Maanden_34;k_1Tot2Jaar_35;k_2JaarOfLanger_36;BeeindigingVolgensPlan_37;TussentijdseOpheffing_38;OvergangNaarVolwassenReclassering_39;Terugmelding_40;NaderBesluitRechter_41;OverlijdenJeugdige_42;TotaalOverig_43;TotaalBegonnenTrajecten_44;TotaalBeeindigdeTrajecten_45;k_0Tot3Maanden_46;k_3Tot6Maanden_47;k_6Tot12Maanden_48;k_1Tot2Jaar_49;k_2JaarOfLanger_50;BeeindigingVolgensPlan_51;TussentijdseOpheffing_52;OvergangNaarVolwassenReclassering_53;Terugmelding_54;NaderBesluitRechter_55;OverlijdenJeugdige_56
412;Stichtse Vecht;2015 1e kwartaal;15.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
413;Strijen;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
414;Súdwest-Fryslân;2015 1e kwartaal;25.0;;10.0;;;;;;10.0;;;;;;25.0;;10.0;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
415;Terneuzen;2015 1e kwartaal;25.0;;;;;;;;;;;;;;25.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
416;Terschelling;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
417;Texel;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
418;Teylingen;2015 1e kwartaal;20.0;10.0;;;;;;;;;;;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
419;Tholen;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
420;Tiel;2015 1e kwartaal;30.0;;;;;;;;;;;;;;25.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
421;Tilburg;2015 1e kwartaal;175.0;15.0;30.0;;;;;15.0;30.0;;;;;;160.0;10.0;20.0;;;;;15.0;20.0;;;;;;15.0;;10.0;;;;;;10.0;;;;;;;;;;;;;;;;;;;
422;Tubbergen;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
423;Twenterand;2015 1e kwartaal;20.0;;;;;;;;;;;;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
424;Tynaarlo;2015 1e kwartaal;10.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
425;Tytsjerksteradiel;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
426;Uden;2015 1e kwartaal;15.0;;;;;;;;;;;;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
427;Uitgeest;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
428;Uithoorn;2015 1e kwartaal;10.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
429;Urk;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
430;Utrecht (gemeente);2015 1e kwartaal;220.0;40.0;50.0;10.0;10.0;10.0;;20.0;50.0;;;;;;170.0;20.0;35.0;;;;;20.0;35.0;;;;;;30.0;10.0;10.0;;;;;;10.0;;;;;;20.0;;10.0;;;;;;10.0;;;;;
431;Utrechtse Heuvelrug;2015 1e kwartaal;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
432;Vaals;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
433;Valkenburg aan de Geul;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
434;Valkenswaard;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
435;Veendam;2015 1e kwartaal;15.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
436;Veenendaal;2015 1e kwartaal;15.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
437;Veere;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
438;Veghel;2015 1e kwartaal;10.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
439;Veldhoven;2015 1e kwartaal;10.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
440;Velsen;2015 1e kwartaal;50.0;10.0;10.0;;;;;;10.0;;;;;;45.0;;10.0;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
441;Venlo;2015 1e kwartaal;75.0;20.0;15.0;;;;;;15.0;;;;;;65.0;10.0;10.0;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
442;Venray;2015 1e kwartaal;20.0;;;;;;;;;;;;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
443;Vianen;2015 1e kwartaal;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
444;Vlaardingen;2015 1e kwartaal;70.0;;;;;;;;;;;;;;55.0;;;;;;;;;;;;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
445;Vlagtwedde;2015 1e kwartaal;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
446;Vlieland;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
447;Vlissingen;2015 1e kwartaal;30.0;;;;;;;;;;;;;;30.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
448;Voerendaal;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
449;Voorschoten;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
450;Voorst;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
451;Vught;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
452;Waalre;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
453;Waalwijk;2015 1e kwartaal;20.0;;;;;;;;;;;;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
454;Waddinxveen;2015 1e kwartaal;10.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
455;Wageningen;2015 1e kwartaal;10.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
456;Wassenaar;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
457;Waterland;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
458;Weert;2015 1e kwartaal;20.0;;;;;;;;;;;;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
459;Weesp;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
460;Werkendam;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
461;West Maas en Waal;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
462;Westerveld;2015 1e kwartaal;10.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
463;Westervoort;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
464;Westland;2015 1e kwartaal;40.0;10.0;10.0;;;;;;10.0;;;;;;30.0;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
465;Weststellingwerf;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
466;Westvoorne;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
467;Wierden;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
468;Wijchen;2015 1e kwartaal;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
469;Wijdemeren;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
470;Wijk bij Duurstede;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
471;Winsum;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
472;Winterswijk;2015 1e kwartaal;15.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
473;Woensdrecht;2015 1e kwartaal;15.0;;;;;;;;;;;;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
474;Woerden;2015 1e kwartaal;10.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
475;De Wolden;2015 1e kwartaal;10.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
476;Wormerland;2015 1e kwartaal;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
477;Woudenberg;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
478;Woudrichem;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
479;Zaanstad;2015 1e kwartaal;85.0;15.0;10.0;;;;;;10.0;;;;;;60.0;10.0;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;15.0;;;;;;;;;;;;;
480;Zaltbommel;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
481;Zandvoort;2015 1e kwartaal;15.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
482;Zederik;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
483;Zeevang;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
484;Zeewolde;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
485;Zeist;2015 1e kwartaal;30.0;;10.0;;;;;;10.0;;;;;;25.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
486;Zevenaar;2015 1e kwartaal;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
487;Zoetermeer;2015 1e kwartaal;125.0;15.0;25.0;;;;;;25.0;;;;;;115.0;10.0;20.0;;;;;;20.0;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
488;Zoeterwoude;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
489;Zuidhorn;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
490;Zuidplas;2015 1e kwartaal;10.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
491;Zundert;2015 1e kwartaal;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
492;Zutphen;2015 1e kwartaal;30.0;;;;;;;;;;;;;;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
493;Zwartewaterland;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
494;Zwijndrecht;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
495;Zwolle;2015 1e kwartaal;85.0;10.0;15.0;;;;;;15.0;;;;;;65.0;;;;;;;;;;;;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
496;Buitenland;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
497;Niet-gemeentelijk ingedeeld;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
498;Niet in te delen;2015 1e kwartaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
499;Amsterdam (AR);2015 1e kwartaal;750.0;70.0;90.0;;15.0;25.0;20.0;30.0;90.0;;;;;;575.0;40.0;50.0;;;;10.0;30.0;50.0;;;;;;40.0;;10.0;;;;;;10.0;;;;;;130.0;25.0;30.0;;10.0;15.0;;;30.0;;;;;
500;Noord-Holland (AR);2015 1e kwartaal;665.0;110.0;120.0;20.0;15.0;15.0;15.0;50.0;120.0;;;;;;530.0;60.0;75.0;;;;15.0;50.0;75.0;;;;;;85.0;40.0;35.0;15.0;10.0;;;;35.0;;;;;;45.0;10.0;10.0;;;;;;10.0;;;;;
501;Gelderland (AR);2015 1e kwartaal;935.0;150.0;150.0;25.0;20.0;30.0;25.0;50.0;150.0;;;;;;760.0;75.0;100.0;;;15.0;20.0;50.0;100.0;;;;;;155.0;70.0;40.0;15.0;10.0;10.0;;;40.0;;;;;;20.0;;10.0;;;;;;10.0;;;;;
502;Midden-Nederland (AR);2015 1e kwartaal;860.0;125.0;170.0;20.0;30.0;35.0;25.0;60.0;170.0;;;;;;700.0;70.0;110.0;;10.0;10.0;25.0;60.0;110.0;;;;;;110.0;40.0;40.0;10.0;15.0;15.0;;;40.0;;;;;;55.0;15.0;20.0;;10.0;;;;20.0;;;;;
503;Noord-Nederland (AR);2015 1e kwartaal;940.0;170.0;175.0;35.0;25.0;20.0;15.0;80.0;170.0;;;;;;810.0;105.0;130.0;;15.0;15.0;15.0;80.0;125.0;;;;;;100.0;55.0;40.0;25.0;10.0;;;;40.0;;;;;;25.0;10.0;;;;;;;;;;;;
504;Overijssel (AR);2015 1e kwartaal;575.0;105.0;90.0;15.0;20.0;15.0;10.0;35.0;90.0;;;;;;450.0;50.0;50.0;;;;;35.0;50.0;;;;;;100.0;40.0;40.0;10.0;15.0;10.0;;;40.0;;;;;;25.0;10.0;;;;;;;;;;;;
505;Den Haag (AR);2015 1e kwartaal;1010.0;180.0;180.0;50.0;25.0;35.0;25.0;45.0;180.0;;;;;;870.0;115.0;115.0;15.0;10.0;25.0;20.0;45.0;110.0;;;;;;105.0;50.0;50.0;30.0;10.0;;;;50.0;;;;;;40.0;15.0;20.0;10.0;;;;;20.0;;;;;
506;Rotterdam (AR);2015 1e kwartaal;1470.0;205.0;195.0;10.0;30.0;45.0;40.0;70.0;195.0;;;;;;1150.0;125.0;125.0;;15.0;20.0;25.0;70.0;125.0;;;;;;300.0;80.0;60.0;10.0;15.0;20.0;20.0;;60.0;;;;;;25.0;;10.0;;;;;;10.0;;;;;
507;Limburg (AR);2015 1e kwartaal;645.0;130.0;110.0;25.0;15.0;25.0;20.0;30.0;105.0;;;;;;530.0;80.0;60.0;;;10.0;15.0;30.0;60.0;;;;;;70.0;25.0;35.0;20.0;;;;;30.0;;;;;;45.0;20.0;15.0;;;10.0;;;15.0;;;;;
508;Oost-Brabant (AR);2015 1e kwartaal;525.0;65.0;85.0;;15.0;20.0;10.0;30.0;85.0;;;;;;455.0;55.0;50.0;;;;10.0;30.0;50.0;;;;;;65.0;10.0;25.0;;10.0;15.0;;;25.0;;;;;;;;;;;;;;;;;;;
509;Zeeland-West-Brabant (AR);2015 1e kwartaal;715.0;105.0;130.0;10.0;20.0;20.0;35.0;45.0;130.0;;;;;;615.0;80.0;90.0;;;10.0;30.0;45.0;90.0;;;;;;90.0;20.0;35.0;;20.0;10.0;;;35.0;;;;;;;;;;;;;;;;;;;
510;Groningen (JZ);2015 1e kwartaal;440.0;75.0;85.0;15.0;10.0;10.0;;45.0;85.0;;;;;;375.0;45.0;60.0;;;;;45.0;60.0;;;;;;50.0;25.0;20.0;10.0;;;;;20.0;;;;;;15.0;;;;;;;;;;;;;
511;Friesland (Fryslân) (JZ);2015 1e kwartaal;255.0;50.0;55.0;10.0;10.0;10.0;;20.0;50.0;;;;;;215.0;30.0;35.0;;;;;20.0;35.0;;;;;;30.0;15.0;15.0;10.0;;;;;15.0;;;;;;10.0;;;;;;;;;;;;;
512;Kop van Noord-Holland (JZ);2015 1e kwartaal;60.0;15.0;15.0;;;;;;15.0;;;;;;55.0;;10.0;;;;;;10.0;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
513;Drenthe (JZ);2015 1e kwartaal;245.0;45.0;40.0;;10.0;;;15.0;40.0;;;;;;220.0;35.0;30.0;;;;;15.0;30.0;;;;;;20.0;10.0;10.0;;;;;;10.0;;;;;;;;;;;;;;;;;;;
514;West Friesland (JZ);2015 1e kwartaal;90.0;20.0;15.0;;;;;;15.0;;;;;;70.0;10.0;;;;;;;;;;;;;15.0;10.0;10.0;;;;;;10.0;;;;;;;;;;;;;;;;;;;
515;Alkmaar (Noord-Kennemerland) (JZ);2015 1e kwartaal;115.0;15.0;20.0;;;;;;20.0;;;;;;100.0;10.0;15.0;;;;;;15.0;;;;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
516;IJsselland (JZ);2015 1e kwartaal;235.0;30.0;35.0;;10.0;;;15.0;35.0;;;;;;190.0;15.0;20.0;;;;;15.0;20.0;;;;;;40.0;20.0;15.0;;10.0;;;;15.0;;;;;;;;;;;;;;;;;;;
517;Flevoland (JZ);2015 1e kwartaal;250.0;35.0;40.0;;;10.0;;15.0;40.0;;;;;;220.0;30.0;25.0;;;;;15.0;25.0;;;;;;20.0;;10.0;;;;;;10.0;;;;;;10.0;;;;;;;;;;;;;
518;Zaanstreek-Waterland (JZ);2015 1e kwartaal;135.0;20.0;20.0;;;;;10.0;20.0;;;;;;100.0;10.0;10.0;;;;;10.0;10.0;;;;;;15.0;;;;;;;;;;;;;;25.0;;;;;;;;;;;;;
519;IJmond (Midden Kennemerland) (JZ);2015 1e kwartaal;110.0;15.0;20.0;;;;;15.0;20.0;;;;;;95.0;10.0;20.0;;;;;15.0;20.0;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
520;Zuid Kennemerland (JZ);2015 1e kwartaal;100.0;15.0;25.0;;;;;10.0;25.0;;;;;;80.0;10.0;15.0;;;;;10.0;15.0;;;;;;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
521;Noord-Veluwe (JZ);2015 1e kwartaal;55.0;10.0;10.0;;;;;;10.0;;;;;;45.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;Amsterdam-Amstelland (JZ);2015 1e kwartaal;750.0;70.0;90.0;;15.0;25.0;20.0;30.0;90.0;;;;;;575.0;40.0;50.0;;;;10.0;30.0;50.0;;;;;;40.0;;10.0;;;;;;10.0;;;;;;130.0;25.0;30.0;;10.0;15.0;;;30.0;;;;;
523;Twente (JZ);2015 1e kwartaal;340.0;70.0;55.0;15.0;15.0;10.0;;20.0;55.0;;;;;;260.0;40.0;30.0;;;;;20.0;30.0;;;;;;55.0;25.0;25.0;10.0;10.0;;;;25.0;;;;;;25.0;10.0;;;;;;;;;;;;
524;Haarlemmermeer (JZ);2015 1e kwartaal;55.0;10.0;;;;;;;;;;;;;35.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;
525;Gooi en Vechtstreek (JZ);2015 1e kwartaal;55.0;10.0;;;;;;;;;;;;;45.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
526;Midden IJssel / Oost Veluwe (JZ);2015 1e kwartaal;160.0;25.0;25.0;;;;;10.0;25.0;;;;;;135.0;15.0;15.0;;;;;10.0;15.0;;;;;;25.0;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;
527;Holland Rijnland (JZ);2015 1e kwartaal;165.0;30.0;30.0;10.0;;10.0;;10.0;30.0;;;;;;140.0;15.0;20.0;;;;;10.0;20.0;;;;;;20.0;10.0;10.0;;;;;;10.0;;;;;;;;;;;;;;;;;;;
528;Utrecht West (JZ);2015 1e kwartaal;45.0;10.0;15.0;;;;;;15.0;;;;;;35.0;;10.0;;;;;;10.0;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
529;Eemland (JZ);2015 1e kwartaal;130.0;15.0;30.0;;;;;10.0;30.0;;;;;;100.0;;20.0;;;;;10.0;20.0;;;;;;20.0;10.0;;;;;;;;;;;;;10.0;;;;;;;;;;;;;
530;Food Valley (JZ);2015 1e kwartaal;140.0;20.0;30.0;10.0;;;;10.0;30.0;;;;;;110.0;10.0;20.0;;;;;10.0;20.0;;;;;;20.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;
531;Utrecht Stad (JZ);2015 1e kwartaal;220.0;40.0;50.0;10.0;10.0;10.0;;20.0;50.0;;;;;;170.0;20.0;35.0;;;;;20.0;35.0;;;;;;30.0;10.0;10.0;;;;;;10.0;;;;;;20.0;;10.0;;;;;;10.0;;;;;
532;Zuidoost Utrecht (JZ);2015 1e kwartaal;55.0;;15.0;;;;;;15.0;;;;;;45.0;;10.0;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
533;Haaglanden (JZ);2015 1e kwartaal;740.0;130.0;135.0;40.0;20.0;25.0;20.0;35.0;130.0;;;;;;630.0;85.0;80.0;10.0;;15.0;15.0;35.0;80.0;;;;;;80.0;35.0;35.0;20.0;;;;;35.0;;;;;;30.0;15.0;20.0;10.0;;;;;20.0;;;;;
534;Achterhoek (JZ);2015 1e kwartaal;110.0;25.0;20.0;;;10.0;;;20.0;;;;;;85.0;10.0;10.0;;;;;;10.0;;;;;;20.0;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;
535;Lekstroom (JZ);2015 1e kwartaal;80.0;;10.0;;;;;;10.0;;;;;;70.0;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
536;Midden Holland (JZ);2015 1e kwartaal;105.0;20.0;20.0;;;;;;20.0;;;;;;95.0;15.0;15.0;;;;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
537;Arnhem (JZ);2015 1e kwartaal;245.0;45.0;30.0;;;;;10.0;30.0;;;;;;195.0;20.0;20.0;;;;;10.0;20.0;;;;;;40.0;20.0;;;;;;;;;;;;;;;;;;;;;;;;;;
538;Rijnmond (JZ);2015 1e kwartaal;1315.0;185.0;180.0;;30.0;40.0;40.0;65.0;180.0;;;;;;1030.0;115.0;115.0;;10.0;20.0;20.0;65.0;115.0;;;;;;270.0;70.0;55.0;;15.0;15.0;20.0;;55.0;;;;;;15.0;;10.0;;;;;;10.0;;;;;
539;Rivierenland (JZ);2015 1e kwartaal;85.0;15.0;10.0;;;;;;10.0;;;;;;70.0;;10.0;;;;;;10.0;;;;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
540;Zuid-Holland Zuid (JZ);2015 1e kwartaal;155.0;25.0;15.0;;;;;;15.0;;;;;;120.0;10.0;10.0;;;;;;10.0;;;;;;30.0;10.0;;;;;;;;;;;;;10.0;;;;;;;;;;;;;
541;Nijmegen (JZ);2015 1e kwartaal;160.0;20.0;30.0;;;;10.0;15.0;30.0;;;;;;130.0;10.0;20.0;;;;;15.0;20.0;;;;;;30.0;10.0;10.0;;;;;;10.0;;;;;;;;;;;;;;;;;;;
542;Noordoost Brabant (JZ);2015 1e kwartaal;270.0;35.0;40.0;;10.0;10.0;;10.0;40.0;;;;;;230.0;25.0;20.0;;;;;10.0;20.0;;;;;;35.0;10.0;15.0;;;;;;15.0;;;;;;;;;;;;;;;;;;;
543;West Brabant Oost (JZ);2015 1e kwartaal;155.0;20.0;35.0;;;;10.0;10.0;35.0;;;;;;125.0;15.0;25.0;;;;10.0;10.0;25.0;;;;;;30.0;;10.0;;;;;;10.0;;;;;;;;;;;;;;;;;;;
544;Midden-Brabant (JZ);2015 1e kwartaal;260.0;30.0;40.0;;;10.0;;15.0;40.0;;;;;;230.0;25.0;25.0;;;;;15.0;25.0;;;;;;25.0;;15.0;;;;;;15.0;;;;;;;;;;;;;;;;;;;
545;West Brabant West (JZ);2015 1e kwartaal;170.0;30.0;25.0;;;;;10.0;25.0;;;;;;140.0;25.0;15.0;;;;;10.0;15.0;;;;;;25.0;;10.0;;;;;;10.0;;;;;;;;;;;;;;;;;;;
